d18O (permil),year (AD),depth (cm),d18O (permil)
-0.62,-1195.4,542,-0.13
-0.61,-1199.9,543,-0.15
-0.55,-1204.5,544,-0.51
-1,-1209.1,545,-0.32
-1.71,-1213.6,546,-2.62
-0.89,-1218.2,547,-1.05
-0.47,-1222.8,548,-0.77
-0.02,-1227.4,549,0.13
0.18,-1231.9,550,-0.46
0.17,-1236.5,551,-0.59
-0.37,-1241.1,552,-0.21
-0.02,-1245.6,553,-0.57
-0.22,-1250.2,554,0.51
0.08,-1254.8,555,-1.16
0.08,-1259.4,556,-0.07
-0.13,-1263.9,557,-0.01
-0.01,-1268.5,558,-0.85
0.2,-1273.1,559,-0.07
0.56,-1277.6,560,0.27
-1.15,-1282.2,561,-1.38
-0.77,-1286.8,562,-1.4
0.21,-1291.3,563,1.01
-0.99,-1295.9,564,-1.32
-0.34,-1300.5,565,-0.54
-0.25,-1305.1,566,-2.22
0.12,-1309.6,567,-0.46
0.18,-1314.2,568,-0.38
-0.42,-1318.8,569,-1.3
0.37,-1323.3,570,-1.42
-0.36,-1327.9,571,-0.19
1.09,-1332.5,572,0.94
0.84,-1337,573,1.49
0.49,-1341.6,574,1.81
-0.33,-1346.2,575,-0.52
-0.46,-1350.8,576,-1.87
-0.57,-1355.3,577,-2.72
-0.03,-1359.9,578,0.27
-0.59,-1364.5,579,-0.58
-0.74,-1369,580,-2.07
-0.36,-1373.6,581,-0.61
0.13,-1378.2,582,-0.78
-0.55,-1382.7,583,-0.24
-0.84,-1387.3,584,-0.02
0.07,-1391.9,585,-0.64
-0.32,-1396.5,586,1.33
0,-1419.3,591,-0.9
-1.34,-1423.9,592,-0.8
-0.72,-1428.4,593,-3.28
-0.72,-1433,594,-0.97
-0.82,-1437.6,595,-0.91
-0.43,-1442.2,596,-1
-0.68,-1446.7,597,-2.19
-0.8,-1451.3,598,-3.71
-0.94,-1455.9,599,-1.91
-1.05,-1460.4,600,1.09
-0.08,-1465,601,0.41
-0.32,-1469.6,602,-0.28
-0.38,-1474.1,603,-1.02
-0.02,-1478.7,604,1.2
0.32,-1483.3,605,-1.33
-0.1,-1487.9,606,-0.28
-0.46,-1492.4,607,-0.09
-0.78,-1497,608,-1.29
-0.01,-1501.6,609,-0.86
-0.26,-1506.1,610,-1.05
-0.45,-1510.7,611,-0.44
0.34,-1515.3,612,0.36
0.13,-1519.9,613,0.18
0.27,-1524.4,614,-0.34
0.19,-1529,615,0.25
-0.1,-1533.6,616,-0.52
-0.37,-1538.1,617,-0.54
-0.04,-1542.7,618,0.7
0.02,-1547.3,619,-0.08
0.16,-1551.8,620,NA
-0.38,-1556.4,621,-0.09
-0.7,-1561,622,-1.55
-0.4,-1565.6,623,-0.75
-0.54,-1570.1,624,0.47
-0.76,-1574.7,625,-1.24
0.48,-1579.3,626,0.58
0.02,-1583.8,627,0.37
0.06,-1588.4,628,0.05
-0.98,-1593,629,-1.39
-0.58,-1597.6,630,-0.89
