d18O (permil),year (AD),d18OUncertainty (per mil),deuteriumExcess (permil),d excess stdev (permil)
-34.3519,1796,0.188231825,10.45,NA
-35.1388,1795,0.570210908,10.833,NA
-32.9689,1794,0.740199379,12.418,NA
-32.4503,1793,0.773150555,12.62,NA
-33.92745,1792,0.360978012,11.191,NA
-34.5126,1791,0.427941024,10.679,NA
-34.04915,1790,1.275832765,9.45,NA
-31.8108,1789,1.41817336,10.346,NA
-32.21775,1788,0.047729708,12.131,NA
-33.3222,1787,0.285953982,11.611,NA
-33.6834,1786,0.226839855,10.588,NA
-32.5087,1785,0.340259783,10.657,NA
-33.98225,1784,0.400717413,9.089,NA
-34.2646,1783,0.744724862,10.25,NA
-33.4622,1782,0.058124177,10.922,NA
-32.6134,1781,0.266437835,11.818,NA
-33.46545,1780,0.644103567,11.182,NA
-34.6175,1779,0.400929545,12.38,NA
-34.6469,1778,0.971423296,11.125,NA
-33.8065,1777,0.392444264,9.51,NA
-33.168,1776,0.364867099,10.47,NA
-33.57175,1775,2.235518089,9.638,NA
-33.5974,1774,0.964210807,10.567,NA
-33.8709,1773,2.185384218,9.763,NA
-31.78585,1772,0.641133719,11.775,NA
-33.4065,1771,1.190060713,10.78,NA
-34.1662,1770,0.678115403,10.633,NA
-33.7555,1769,0.539522474,10.07,NA
-31.7756,1768,0.726481507,11.325,NA
-34.2603,1767,0.684620786,10.438,NA
-35.70765,1766,0.344290292,10.558,NA
-36.3475,1765,1.27632774,11.363,NA
-34.4708,1764,0.193747258,11.3,NA
-30.5951,1763,0.517319321,12.079,NA
-32.53835,1762,0.05734636,10.078,NA
-34.46445,1761,0.967958473,10.867,NA
-33.4728,1760,0.457639509,11.785,NA
-35.1344,1759,1.824335495,10.833,NA
-33.2472,1758,0.275064538,10.9,NA
-34.1222,1757,1.12825958,9.725,NA
-34.72215,1756,0.390959339,10.486,NA
-32.8539,1755,1.620830164,12.344,NA
-36.0735,1754,0.280721392,8.84,NA
-33.9704,1753,0.552108975,11.317,NA
-32.3331,1752,0.810485793,11.477,NA
-32.1628,1751,0.828022041,11.083,NA
-33.922,1750,0.111722871,11.78,NA
-35.5314,1749,0.402060916,10.2,NA
-33.16685,1748,0.545674303,12.182,NA
-33.1377,1747,1.013708282,10.346,NA
-35.93355,1746,0.087893373,10.371,NA
-33.4886,1745,0.635830418,11.44,NA
-32.67665,1744,0.039244426,9.333,NA
-32.4883,1743,1.548563851,11.511,NA
-33.429,1742,1.022476406,11.48,NA
-33.5487,1741,0.49525759,10.4,NA
-33.2972,1740,1.6475588,10.1,NA
-33.08345,1739,0.976585175,10.98,NA
-34.2587,1738,NA,11.5,NA
-34.3042,1737,NA,11.225,NA
-34.118,1736,NA,9.4,NA
-33.8125,1735,NA,9.838,NA
-32.6162,1734,NA,11.208,NA
-32.402,1733,NA,10.6,NA
-33.4786,1732,NA,10.643,NA
-32.5327,1731,NA,11.1,NA
-33.119,1730,NA,11.19,NA
-35.1456,1729,NA,9.656,NA
-34.021,1728,NA,12.3,NA
-33.243,1727,NA,11.87,NA
-35.6356,1726,NA,11.411,NA
-34.3218,1725,NA,11.1,NA
-34.466,1724,NA,10.08,NA
