d18O (permil),d18O (permil),d18O (permil),Mg_Ca (mmol/mol),temperature (degC),Mg_Ca (mmol/mol),year (AD),depth (cm),temperature (degC),d18O (permil),Mg_Ca (mmol/mol) [1-2],year (AD) [1-2],depth (cm) [1-2],temperature (degC) [1-2]
0.5014977955,NA,1.81,1.659,9,2.098,-3859.214286,134,9.71,NA,NA,NA,NA,NA
0.6234183136,0.5543937801,1.79,1.766,9.62,2.403,-4003.071429,136,11.08,1.91,NA,NA,NA,NA
0.3310493028,NA,1.78,1.562,8.39,NA,-4146.928571,138,NA,1.69,NA,NA,NA,NA
0.252438475,0.2167852602,1.6,1.633,8.83,2.212,-4290.785714,140,10.25,1.76,NA,NA,NA,NA
0.2832749953,NA,1.92,1.44,7.58,NA,-4434.642857,142,NA,1.49,NA,NA,NA,NA
0.2679218539,NA,1.65,1.608,8.68,1.895,-4578.5,144,8.7,NA,NA,NA,NA,NA
0.2765368515,-0.09658168637,1.89,1.455,7.68,2.078,-4673.65625,146,9.62,1.59,NA,NA,NA,NA
-0.08759048251,-0.03940505447,1.44,1.509,8.05,2.295,-4768.8125,148,10.62,1.42,NA,NA,NA,NA
0.2656022009,-0.09818651099,1.9,1.442,7.59,2.188,-4863.96875,150,10.14,1.47,NA,NA,NA,NA
0.1910496104,-0.1377531671,1.61,1.583,8.52,2.21,-4959.125,152,10.23,1.41,NA,NA,NA,NA
0.1346724381,-0.1428605804,1.86,1.386,7.2,2.019,-5054.28125,154,9.33,1.61,NA,NA,NA,NA
-0.1527651724,0.2687867004,1.47,1.449,7.64,2.508,-5149.4375,156,11.5,1.53,NA,NA,NA,NA
0.2581592915,-0.0672734784,1.86,1.462,7.73,2.179,-5244.59375,158,10.1,1.51,NA,NA,NA,NA
-0.02346314846,0.3054453339,1.59,1.454,7.68,2.153,-5339.75,160,9.98,1.91,NA,NA,NA,NA
0.07410137026,-0.02826841136,1.47,1.598,8.62,2.237,-5530.0625,164,10.36,1.49,NA,NA,NA,NA
0.1702841496,0.161865998,1.61,1.568,8.43,2.381,-5720.375,168,10.98,1.54,NA,NA,NA,NA
-0.008988460599,-0.03464948623,1.47,1.542,8.26,2.107,-5910.6875,172,9.76,1.62,NA,NA,NA,NA
0.171674637,NA,1.69,1.516,8.09,2.085,-6101,176,9.65,NA,NA,NA,NA,NA
0.1294485503,0.03905415842,1.62,1.534,8.21,2.215,-6142.15,180,10.26,1.58,NA,NA,NA,NA
0.32372943,0.03900639164,1.52,1.743,9.49,2.336,-6183.3,184,10.79,1.46,NA,NA,NA,NA
0.05618693882,0.04637320119,1.6,1.499,7.98,2.385,-6224.45,188,11,1.42,NA,NA,NA,NA
-0.3234631485,-0.3360490386,1.29,1.455,7.68,2.097,-6265.6,192,9.71,1.33,NA,NA,NA,NA
0.1070425246,-0.3049221419,1.63,1.512,8.07,1.99,-6306.75,196,9.19,1.48,NA,NA,NA,NA
-0.05895069719,0.2961297803,1.39,1.562,8.39,2.461,-6347.9,200,11.31,1.6,NA,NA,NA,NA
0.2186377474,-0.2972138761,1.58,1.622,8.77,1.989,-6389.05,204,9.18,1.49,NA,NA,NA,NA
0.2156617268,-0.3357573707,1.63,1.586,8.54,1.998,-6430.2,208,9.23,1.44,NA,NA,NA,NA
0.3864053343,0.1879005813,1.78,1.6,8.63,2.419,-6471.35,212,11.14,1.53,NA,NA,NA,NA
0.6739509614,NA,1.82,1.782,9.71,2.183,-6512.5,216,10.11,NA,NA,NA,NA,NA
0.5187400372,-0.2180482387,1.97,1.561,8.38,1.996,-6577.404762,220,9.22,1.56,NA,NA,NA,NA
0.5264053343,0.03719778149,1.92,1.6,8.63,2.233,-6642.309524,224,10.34,1.56,NA,NA,NA,NA
0.6802244981,-0.155035572,2.06,1.61,8.69,2.134,-6707.214286,228,9.89,1.47,NA,NA,NA,NA
0.6477280811,0.2151170556,1.86,1.731,9.42,2.302,-6772.119048,232,10.64,1.67,NA,NA,NA,NA
0.7714977955,-0.3163829804,2.08,1.66,9,1.98,-6837.02381,236,9.14,1.48,NA,NA,NA,NA
0.4721507579,-0.1731838029,1.76,1.675,9.09,2.165,-6901.928571,240,10.03,1.42,NA,NA,NA,NA
0.9454562612,-0.07503557202,1.86,1.974,10.73,2.135,-6966.833333,244,9.89,1.55,NA,NA,NA,NA
0.5346095566,-0.5035946657,1.85,1.656,8.97,1.881,-7031.738095,248,8.63,1.41,NA,NA,NA,NA
0.736744737,0.1172704274,1.86,1.801,9.81,2.185,-7096.642857,252,10.12,1.69,NA,NA,NA,NA
0.9681469378,-0.04166642167,1.77,2.075,11.23,2.293,-7161.547619,256,10.61,1.42,NA,NA,NA,NA
0.6331543311,0.05946478991,1.85,1.729,9.4,2.234,-7226.452381,260,10.35,1.58,NA,NA,NA,NA
0.6396606767,-0.4288641609,1.9,1.695,9.21,2.077,-7291.357143,264,9.61,1.26,NA,NA,NA,NA
0.7790897348,NA,1.85,1.842,10.04,NA,-7356.261905,268,NA,1.61,NA,NA,NA,NA
0.7045424478,-0.2900226963,1.78,1.839,10.02,2.207,-7421.166667,272,10.22,1.26,NA,NA,NA,NA
0.5129738385,NA,1.81,1.669,9.05,2.085,-7486.071429,276,9.66,NA,NA,NA,NA,NA
0.7872704274,0.2624113892,1.84,1.857,10.12,2.546,-7550.97619,280,11.65,1.49,NA,NA,NA,NA
0.7462920908,-0.0872734784,1.97,1.723,9.37,2.181,-7615.880952,284,10.1,1.49,NA,NA,NA,NA
NA,-0.1518663616,1.87,NA,NA,2.129,-7680.785714,288,9.86,1.48,NA,NA,NA,NA
0.841363061,0.1780356682,1.91,1.845,10.05,2.345,-7745.690476,292,10.83,1.59,NA,NA,NA,NA
1.186543431,0.2642285248,1.93,2.13,11.49,2.701,-7810.595238,296,12.24,1.36,NA,NA,NA,NA
0.9451170556,0.1221233509,1.88,1.955,10.64,2.259,-7875.5,300,10.45,1.62,NA,NA,NA,NA
0.9248920372,NA,1.72,2.08,11.26,NA,-7893,304,NA,1.49,NA,NA,NA,NA
0.6707913327,0.02585959206,1.81,1.788,9.74,2.221,-7910.5,308,10.29,1.56,NA,NA,NA,NA
0.8481276498,NA,1.86,1.891,10.3,NA,-7928,312,NA,1.44,NA,NA,NA,NA
0.7145161517,-0.1934297523,1.74,1.879,10.24,2.073,-7945.5,316,9.59,1.5,NA,NA,NA,NA
0.684964428,NA,1.79,1.815,9.89,NA,-7963,320,NA,1.45,NA,NA,NA,NA
1.104651211,7.966878628e-4,1.92,2.062,11.17,2.246,-7980.5,324,10.4,1.51,NA,NA,NA,NA
0.7354453339,NA,1.82,1.831,9.98,NA,-7998,328,NA,1.46,NA,NA,NA,NA
0.6394279109,-0.2683295893,1.87,1.717,9.34,2.095,-8015.5,332,9.7,1.4,NA,NA,NA,NA
0.5994279109,NA,1.83,1.718,9.34,NA,-8033,336,NA,1.51,NA,NA,NA,NA
0.7697202542,-0.1154575522,1.95,1.756,9.56,2.163,-8050.5,340,10.02,1.48,NA,NA,NA,NA
0.6088237164,NA,1.86,1.702,9.25,NA,-8063.625,343,NA,1.59,NA,NA,NA,NA
0.6913228464,0.1060720029,1.71,1.884,10.27,2.291,-8081.125,347,10.6,1.57,NA,NA,NA,NA
0.4344444444,NA,1.72,1.676,9.1,NA,-8098.625,351,NA,1.38,NA,NA,NA,NA
1.003810219,-0.10484748,1.95,1.947,10.59,2.062,-8116.125,355,9.54,1.6,NA,NA,NA,NA
0.7225460723,NA,1.88,1.774,9.66,NA,-8133.625,359,NA,1.4,NA,NA,NA,NA
0.9685114223,0.1360720029,2.11,1.785,9.73,2.291,-8151.125,363,10.6,1.6,NA,NA,NA,NA
NA,NA,1.97,NA,NA,NA,-8168.625,367,NA,1.53,NA,NA,NA,NA
NA,NA,1.83,NA,NA,NA,-8186.125,371,NA,1.38,NA,NA,NA,NA
NA,NA,2.09,NA,NA,NA,-8208,376,NA,1.57,NA,NA,NA,NA
0.7316704107,-0.03186636158,1.88,1.78,9.7,2.128,-8225.5,380,9.86,1.6,NA,NA,NA,NA
NA,NA,2,NA,NA,NA,-8243,384,NA,NA,NA,NA,NA,NA
NA,NA,1.79,NA,NA,NA,-8260.5,388,NA,1.31,NA,NA,NA,NA
NA,NA,2.01,NA,NA,NA,-8272.133333,392,NA,1.64,NA,NA,NA,NA
0.9395420637,0.09545626116,1.99,1.86,10.13,2.321,-8283.766667,396,10.73,1.53,NA,NA,NA,NA
NA,NA,1.94,NA,NA,NA,-8295.4,400,NA,1.67,NA,NA,NA,NA
NA,NA,1.93,NA,NA,NA,-8307.033333,404,NA,1.67,NA,NA,NA,NA
NA,NA,1.85,NA,NA,NA,-8318.666667,408,NA,1.78,NA,NA,NA,NA
0.7673693757,0.05317052587,2.03,1.694,9.2,2.152,-8330.3,412,9.97,1.66,NA,NA,NA,NA
NA,NA,1.85,NA,NA,NA,-8341.933333,416,NA,1.64,NA,NA,NA,NA
NA,NA,1.96,NA,NA,NA,-8353.566667,420,NA,1.64,NA,NA,NA,NA
NA,NA,2,NA,NA,NA,-8365.2,424,NA,1.7,NA,NA,NA,NA
0.6713242014,0.1896120873,1.95,1.682,9.13,2.379,-8376.833333,428,10.97,1.57,NA,NA,NA,NA
NA,NA,1.88,NA,NA,NA,-8388.466667,432,NA,1.66,NA,NA,NA,NA
NA,NA,1.86,NA,NA,NA,-8400.1,436,NA,1.4,NA,NA,NA,NA
NA,NA,2.02,NA,NA,NA,-8411.733333,440,NA,1.43,NA,NA,NA,NA
0.8181336384,-0.1818663616,1.93,1.808,9.86,2.129,-8423.366667,444,9.86,1.45,NA,NA,NA,NA
NA,NA,2.05,NA,NA,NA,-8435,448,NA,1.34,NA,NA,NA,NA
0.764964428,0.388227547,1.87,1.815,9.89,2.587,-8467.75,452,11.81,1.58,NA,NA,NA,NA
NA,NA,2,NA,NA,NA,-8500.5,456,NA,1.49,NA,NA,NA,NA
1.059054158,0.3556499611,2.08,1.883,10.26,2.416,-8533.25,460,11.13,1.7,NA,NA,NA,NA
NA,NA,1.98,NA,NA,NA,-8566,464,NA,1.59,NA,NA,NA,NA
1.231399996,-0.07027974584,2.04,2.068,11.2,2.066,-8598.75,468,9.56,1.63,NA,NA,NA,NA
NA,NA,1.93,NA,NA,NA,-8631.5,472,NA,1.73,NA,NA,NA,NA
1.28612978,0.1844663183,2.07,2.091,11.31,2.115,-8664.25,476,9.8,1.83,NA,NA,NA,NA
NA,NA,1.92,NA,NA,NA,-8697,480,NA,1.78,NA,NA,NA,NA
1.046084292,0.3270236184,1.92,2.009,10.91,2.282,-8724.219048,484,10.56,1.8,NA,NA,NA,NA
NA,NA,2.03,NA,NA,NA,-8751.438095,488,NA,1.83,NA,NA,NA,NA
1.098339441,0.333062439,1.97,2.012,10.92,2.249,-8778.657143,492,10.41,1.84,NA,NA,NA,NA
NA,NA,2.03,NA,NA,NA,-8805.87619,496,NA,1.68,NA,NA,NA,NA
1.242869975,0.286355707,2.02,2.097,11.34,2.194,-8833.095238,500,10.16,1.85,NA,NA,NA,NA
NA,NA,2.01,NA,NA,NA,-8860.314286,504,NA,1.7,NA,NA,NA,NA
1.113521444,0.6324012064,2.01,1.99,10.81,2.423,-8887.533333,508,11.16,1.97,NA,NA,NA,NA
NA,NA,1.97,NA,NA,NA,-8914.752381,512,NA,1.75,NA,NA,NA,NA
NA,0.3357084467,NA,2.078,11.24,2.27,-8941.971429,516,10.51,1.82,NA,NA,NA,NA
NA,NA,1.99,NA,NA,NA,-8969.190476,520,NA,1.76,NA,NA,NA,NA
1.278626494,0.4388968686,2.13,2.03,11.01,2.409,-8996.409524,524,11.1,1.79,NA,NA,NA,NA
NA,NA,2.14,NA,NA,NA,-9023.628571,528,NA,1.94,NA,NA,NA,NA
1.134761001,0.6988968686,2.09,1.939,10.55,2.41,-9050.847619,532,11.1,2.05,NA,NA,NA,NA
NA,NA,2.21,NA,NA,NA,-9078.066667,536,NA,1.89,NA,NA,NA,NA
NA,0.6666454271,NA,2.17,11.68,2.407,-9105.285714,540,11.09,2.02,NA,NA,NA,NA
NA,NA,2.2,NA,NA,NA,-9132.504762,544,NA,2.03,NA,NA,NA,NA
1.064084703,0.4018986608,2.11,1.862,10.15,2.308,-9159.72381,548,10.67,1.85,NA,NA,NA,NA
NA,NA,2.2,NA,NA,NA,-9186.942857,552,NA,1.93,NA,NA,NA,NA
1.568727596,0.4754562612,2.12,2.321,12.35,2.322,-9214.161905,556,10.73,1.91,NA,NA,NA,NA
1.071300936,NA,2.19,1.805,9.83,NA,-9241.380952,560,NA,2.11,NA,NA,NA,NA
1.469387748,0.1727861239,2.26,2.086,11.28,1.989,-9268.6,564,9.18,1.96,NA,NA,NA,NA
NA,NA,NA,1.805,9.84,NA,-9295.819048,568,NA,2.11,NA,NA,NA,NA
1.594299959,0.2727861239,2.34,2.127,11.48,1.988,-9323.038095,572,9.18,2.06,NA,NA,NA,NA
1.495385137,NA,2.34,2.037,11.04,NA,-9350.257143,576,NA,1.87,NA,NA,NA,NA
1.517757746,0.5792860271,2.25,2.139,11.54,2.284,-9377.47619,580,10.57,2.05,NA,NA,NA,NA
1.281322846,0.3365702477,2.3,1.885,10.27,2.072,-9404.695238,584,9.59,2.03,NA,NA,NA,NA
0.8909384164,0.2496606767,2.25,1.625,8.78,1.995,-9440.75,588,9.21,2.03,NA,NA,NA,NA
1.450796688,0.2788531505,2.44,1.909,10.4,2.075,-9479.75,592,9.6,1.97,NA,NA,NA,NA
1.36946479,0.3139330623,2.37,1.901,10.35,1.929,-9518.75,596,8.88,2.17,NA,NA,NA,NA
NA,0.5142426293,2.32,NA,NA,1.999,-9557.75,600,9.23,2.29,NA,NA,NA,NA
NA,0.3086993868,NA,NA,NA,1.811,-9596.75,604,8.25,2.31,NA,NA,NA,NA
NA,0.7785114223,NA,NA,NA,2.101,-9635.75,608,9.73,2.44,NA,NA,NA,NA
NA,0.2862313239,NA,NA,NA,1.931,-9665,611,8.89,2.14,NA,NA,NA,NA
NA,0.516872999,NA,NA,NA,2.045,-9704,615,9.46,2.24,NA,NA,NA,NA
NA,0.7615733763,NA,NA,NA,2.358,-9743,619,10.89,2.16,NA,NA,NA,NA
NA,0.3908271917,NA,NA,NA,1.935,-9782,623,8.91,2.24,NA,NA,NA,NA
1.451548227,0.4158562835,2.4,1.945,10.58,2.126,-9821,627,9.85,2.05,NA,NA,NA,NA
NA,0.2050778581,NA,1.894,10.32,1.991,-9860,631,9.19,1.99,NA,NA,NA,NA
1.430897082,0.654388056,2.47,1.868,10.18,2.261,-9899,635,10.46,2.15,NA,NA,NA,NA
1.258133638,0.501363061,2.37,1.809,9.86,2.168,-9918.5,637,10.05,2.09,NA,NA,NA,NA
