temperature (degC),year (AD),depth (cm),Mg_Ca (mmol/mol),d18O (permil),d18O (permil)
24.11368,1481.346,19,3.933377,1.412516667,-0.777
25.19361,1469.013,19.5,4.334872,1.236502083,-1.178
24.07777,1456.68,20,3.920686,NA,NA
24.8625,1444.347,20.5,4.207602,1.572520833,-0.773
NA,1432.014,21,NA,NA,-1.473
NA,1419.681,21.5,NA,NA,NA
23.05337,1407.348,22,3.575379,1.15661875,-0.812
NA,1395.015,22.5,NA,NA,-0.952
24.56816,1382.682,23,4.097602,0.8212,-1.463
23.95477,1370.349,23.5,3.877525,0.8984104167,-1.258
24.50691,1358.016,24,4.075076,0.8614395833,-1.41
24.35182,1345.683,24.5,4.01859,0.6891291667,-1.55
24.04598,1333.35,25,3.909485,0.7774125,-1.398
24.4165,1321.017,25.5,4.042052,0.6186041667,-1.634
23.72044,1308.684,26,3.796604,0.8005916667,-1.307
23.81895,1296.351,26.5,3.830416,0.6961145833,-1.432
23.29044,1284.018,27,3.652483,0.6120083333,-1.406
23.2246,1271.685,27.5,3.630904,0.4472916667,-1.557
23.33839,1259.352,28,3.668279,0.3509979167,-1.677
23.96318,1247.019,28.5,3.88046,0.8561625,-1.302
NA,1234.686,29,NA,NA,-1.321
23.91283,1222.353,29.5,3.862916,0.6196729167,-1.528
23.95501,1210.02,30,3.877608,0.7074604167,-1.449
24.61689,1197.687,30.5,4.115614,0.5983520833,-1.696
23.80408,1185.354,31,3.825292,0.7240166667,-1.401
23.2091,1173.021,31.5,3.625841,0.3950625,-1.606
23.88813,1160.688,32,3.854338,0.5445270833,-1.598
24.1119,1148.355,32.5,3.932748,0.6091458333,-1.58
24.39357,1136.022,33,4.033718,0.8178270833,-1.43
24.99661,1123.689,33.5,4.258695,0.8684604167,-1.505
23.2242,1111.356,34,3.630773,0.5462083333,-1.458
23.90744,1099.023,34.5,3.861043,0.78955,-1.357
22.60171,1086.69,35,3.432954,0.4175229167,-1.457
23.66687,1074.357,35.5,3.778345,0.55143125,-1.545
22.74083,1062.024,36,3.476208,0.11150625,-1.792
24.46848,1049.691,36.5,4.061006,0.4664333333,-1.797
24.81698,1037.358,37,4.190397,0.8920375,-1.444
24.44779,1025.025,37.5,4.053451,0.7741229167,-1.485
22.42973,1012.692,38,3.380229,0.49169375,-1.347
24.40914,1000.359,38.5,4.039377,0.9740708333,-1.277
26.72809,988.026,39,4.976845,1.078185417,-1.656
25.0132,975.693,39.5,4.265056,0.4959166667,-1.881
24.81174,963.36,40,4.188423,1.158945833,-1.176
26.59889,951.027,40.5,4.919305,1.11526875,-1.592
24.17975,938.694,41,3.956838,0.74828125,-1.455
24.23745,926.361,41.5,3.977439,1.026302083,-1.189
26.10568,914.028,42,4.70572,1.520516667,-1.084
26.91553,901.695,42.5,5.061513,1.566235417,-1.207
26.05313,889.362,43,4.683517,1.45856875,-1.135
25.81584,877.029,43.5,4.584556,1.125133333,-1.419
25.21538,864.696,44,4.343375,0.8120375,-1.607
24.59483,852.363,44.5,4.107449,0.86875625,-1.421
24.02828,840.03,45,3.903263,0.629725,-1.542
24.09801,827.697,45.5,3.927837,0.5312520833,-1.655
24.40719,815.364,46,4.038665,0.7856645833,-1.465
NA,803.031,46.5,NA,NA,-1.322
24.84296,790.698,47,4.200206,0.99745,-1.344
24.75623,778.365,47.5,4.167549,0.91938125,-1.404
24.78501,766.032,48,4.178358,0.8873770833,-1.442
26.43351,753.699,48.5,4.846629,1.282814583,-1.39
25.93273,741.366,49,4.633039,1.100485417,-1.468
23.84965,729.033,49.5,3.841014,0.7835104167,-1.351
24.03932,716.7,50,3.907143,0.530025,-1.644
25.79418,704.367,50.5,4.575628,1.342620833,-1.197
25.80656,692.034,51,4.580727,0.8312,-1.711
26.11094,679.701,51.5,4.707949,NA,NA
26.53417,667.368,52,4.890734,NA,NA
25.89646,655.035,52.5,4.617943,0.9189291667,-1.642
26.40259,642.702,53,4.833161,0.9113729167,-1.755
26.33967,630.369,53.5,4.80587,1.189264583,-1.464
26.29656,618.036,54,4.787259,0.8842833333,-1.76
25.78457,605.703,54.5,4.571673,0.98461875,-1.553
26.44368,593.37,55,4.851069,1.142933333,-1.532
25.27728,581.037,55.5,4.367642,0.8319333333,-1.6
25.24675,568.704,56,4.355656,1.239572917,-1.186
25.22645,556.371,56.5,4.347705,0.96834375,-1.453
24.90526,544.038,57,4.223823,1.030429167,-1.324
24.54175,531.705,57.5,4.087874,0.6646979167,-1.614
24.60784,519.372,58,4.112262,0.7294666667,-1.563
24.17864,507.039,58.5,3.956442,1.07805,-1.125
23.58835,494.706,59,3.751737,0.3660729167,-1.714
