d18O (permil),year (AD),depth (cm),TIC (%),CaCO3 (%),d13C (‰)
-3.421,1583,131.5,1.76,14.67,3.395
-3.193,1580,132.5,1.96,16.33,3.71
-3.474,1577,133.5,1.79,14.92,3.227
-3.228,1574,134.5,2.34,19.5,3.305
-3.256,1571,135.5,2.28,19,3.202
-3.503,1568,136.5,2.12,17.67,3.135
-3.093,1565,137.5,2.79,23.25,3.334
-4.7165,1562,138.5,2.09,17.42,2.279
-4.904,1559,139.5,2.32,19.33,2.823
-4.915,1556,140.5,3.31,27.58,2.945
-5.561,1553,141.5,1.78,14.83,2.555
-5.781,1550,142.5,1.91,15.92,2.519
-5.612,1547,143.5,1.76,14.67,2.525
-5.855,1544,144.5,1.26,10.5,2.377
-6.792,1541,145.5,0.94,7.83,1.745
-6.129,1538,146.5,1.17,9.75,2.1335
-5.877,1535,147.5,1.8,15,2.598
-5.983,1532,148.5,1.61,13.42,2.372
-5.975,1529,149.5,1.7,14.17,2.567
-5.737,1526,150.5,1.56,13,2.411
-5.474,1523,151.5,1.04,8.67,1.308
-4.764,1520,152.5,1.33,11.08,2.75
-4.32,1517,153.5,2.48,20.67,3.201
-5.295,1514,154.5,1.31,10.92,1.5925
-6.13,1511,155.5,0.84,7,0.339
-5.775,1508,156.5,1.04,8.67,1.598
-5.477,1505,157.5,1.54,12.83,1.375
-5.189,1502,158.5,1.68,14,2.826
-5.091,1499,159.5,1.99,16.58,2.795
-5.243,1495,160.5,2.01,16.75,2.6235
-5.4,1492,161.5,2.03,16.92,2.657
-5.317,1489,162.5,2.13,17.75,2.738
-5.603,1486,163.5,2.12,17.67,2.8
-5.583,1483,164.5,2.56,21.33,2.821
-6.065,1480,165.5,1.64,13.67,2.519
-6.449,1477,166.5,1.46,12.17,2.624
-6.656,1474,167.5,1.4,11.67,2.52
-6.459,1471,168.5,2.04,17,2.6955
-6.731,1468,169.5,1.13,9.42,1.445
-7.1,1465,170.5,0.77,6.42,0.567
-6.232,1462,171.5,1.01,8.42,2.222
-5.902,1459,172.5,1.23,10.25,2.348
-5.105,1456,173.5,1.79,14.92,3.597
-5.181,1453,174.5,2.1,17.5,3.787
-5.699,1450,175.5,1.47,12.25,2.379
-5.4255,1447,176.5,1.59,13.25,2.783
-5.598,1444,177.5,1.31,10.92,2.995
-6.144,1441,178.5,0.21,1.75,1.052
-4.847,1438,179.5,1.14,9.5,3.416
-4.458,1435,180.5,2.11,17.58,4.078
-4.778,1432,181.5,1.3,10.83,3.033
-4.999,1429,182.5,1.19,9.92,3.591
-5.299,1426,183.5,1.2,10,3.594
-5.218,1423,184.5,1.56,13,3.552
-4.96,1420,185.5,1.86,15.5,3.742
-5.359,1417,186.5,0.83,6.92,1.911
-6.322,1414,187.5,0.77,6.42,1.486
-6.024,1411,188.5,0.89,7.42,1.906
-4.675,1408,189.5,1.57,13.08,3.349
-5.532,1405,190.5,0.99,8.25,1.537
-5.082,1402,191.5,1.02,8.5,2.331
-4.292,1399,192.5,1.48,12.33,3.3285
-4.278,1396,193.5,1.72,14.33,3.449
-4.545,1392,194.5,0.97,8.08,2.819
-4.28,1389,195.5,1.05,8.75,3.054
-5.403,1386,196.5,0.54,4.5,0.31
-3.76,1383,197.5,0.67,5.58,2.533
-2.631,1380,198.5,1.3,10.83,3.025
-3.108,1377,199.5,1.15,9.58,2.545
-2.8215,1374,200.5,1.31,10.92,3.3745
-2.811,1371,201.5,1.52,12.67,3.569
-2.899,1368,202.5,1.66,13.83,3.548
-2.813,1365,203.5,1.88,15.67,3.57
-2.733,1362,204.5,2.01,16.75,3.579
-3.132,1359,205.5,1.65,13.75,3.458
-3.294,1356,206.5,1.65,13.75,3.459
-3.246,1353,207.5,1.44,12,3.342
-3.496,1350,208.5,1.29,10.75,3.3915
-4.261,1347,209.5,0.8,6.67,2.875
-4.421,1344,210.5,0.69,5.75,2.902
-4.194,1341,211.5,0.78,6.5,2.879
-3.943,1338,212.5,1.13,9.42,3.411
-3.889,1335,213.5,1.33,11.08,3.303
-3.946,1332,214.5,1.42,11.83,3.241
-4.277,1329,215.5,1.15,9.58,3.125
-4.6045,1326,216.5,0.87,7.25,2.8685
-5.32,1323,217.5,0.33,2.75,2.346
NA,1320,218.5,0.08,0.67,NA
-4.771,1317,219.5,0.9,7.5,3.218
-4.988,1314,220.5,1.41,11.75,3.068
-4.983,1311,221.5,1.03,8.58,2.814
-4.999,1308,222.5,0.85,7.08,2.758
-4.841,1305,223.5,1.3,10.83,2.872
-4.835,1302,224.5,1.21,10.08,2.807
-4.5935,1299,225.5,1.21,10.08,2.9095
-5.023,1296,226.5,1.44,12,2.761
-4.793,1293,227.5,1.59,13.25,3.03
-5.274,1289,228.5,0.96,8,2.602
-5.127,1286,229.5,1.65,13.75,2.913
-4.798,1283,230.5,2.19,18.25,3.081
-4.841,1280,231.5,1.77,14.75,2.888
-5.245,1277,232.5,1.39,11.58,2.736
-5.4445,1274,233.5,1.34,11.17,2.75
-5.537,1271,234.5,1.46,12.17,2.811
-5.315,1268,235.5,1.69,14.08,2.951
-5.5,1265,236.5,1.42,11.83,2.741
-5.886,1262,237.5,1.18,9.83,2.573
-6.071,1259,238.5,0.94,7.83,2.493
-5.969,1256,239.5,0.61,5.08,2.471
-6.004,1253,240.5,1.04,8.67,2.684
-6.3355,1250,241.5,0.26,2.17,2.3985
-6.324,1247,242.5,0.32,2.67,2.442
-6.171,1244,243.5,1.34,11.17,2.509
-6.082,1241,244.5,0.92,7.67,2.5
-6.213,1238,245.5,0.71,5.92,2.264
-5.981,1235,246.5,0.67,5.58,2.539
-5.866,1232,247.5,0.32,2.67,2.455
NA,1229,248.5,0,0,NA
NA,1226,249.5,0,0,NA
NA,1223,250.5,0,0,NA
NA,1220,251.5,0,0,NA
NA,1217,252.5,0,0,NA
-5.125,1214,253.5,0.4,3.33,2.588
-4.9925,1211,254.5,1.8,15,2.7765
-4.256,1208,255.5,2.51,20.92,2.97
-3.439,1205,256.5,3.63,30.25,3.139
-4.057,1202,257.5,2.1,17.5,2.91
-5.048,1199,258.5,1.87,15.58,2.734
-4.567,1196,259.5,2.37,19.75,2.85
-4.478,1193,260.5,2.88,24,2.793
-4.689,1190,261.5,2.08,17.33,2.624
-4.87,1186,262.5,1.64,13.67,2.61
-5.207,1183,263.5,2.09,17.42,2.538
-5.935,1180,264.5,1.54,12.83,2.487
-5.501,1177,265.5,1.49,12.42,2.579
-6.032,1174,266.5,1.35,11.25,2.457
-5.42,1171,267.5,1.39,11.58,2.748
-5.695,1168,268.5,0.58,4.83,2.6
-5.712,1165,269.5,0.99,8.25,2.628
-6.016,1162,270.5,2.01,16.75,2.749
-5.438,1159,271.5,1.59,13.25,2.85
-5.172,1156,272.5,2.26,18.83,2.73
-5.204,1153,273.5,2.4,20,2.964
-5.248,1150,274.5,2.57,21.42,2.928
-5.082,1147,275.5,2.92,24.33,3.024
-4.859,1144,276.5,3.22,26.83,2.953
-5.213,1141,277.5,2.63,21.92,2.69
-5.854,1138,278.5,1.62,13.5,2.3115
-6.824,1135,279.5,1.76,14.67,2.215
-6.265,1132,280.5,2.26,18.83,2.402
-6.311,1129,281.5,2.1,17.5,2.432
-7.299,1126,282.5,1.27,10.58,2.152
-6.898,1123,283.5,1.65,13.75,2.4
-6.819,1120,284.5,1.91,15.92,2.35
-6.428,1117,285.5,1.87,15.58,2.186
-7.439,1114,286.5,0.57,4.75,1.422
-6.899,1111,287.5,2.01,16.75,2.191
-6.916,1108,288.5,1.68,14,2.023
-6.856,1105,289.5,1.96,16.33,2.219
-6.948,1102,290.5,1.48,12.33,2.248
-7.41,1099,291.5,1.37,11.42,1.959
-6.95,1096,292.5,1.38,11.5,2.147
-6.898,1093,293.5,2.06,17.17,2.166
-7.119,1090,294.5,2.12,17.67,2.171
-7.639,1087,295.5,0.86,7.17,1.243
-7.412,1083,296.5,1.17,9.75,2.007
-7.277,1080,297.5,0.88,7.33,1.951
-6.333,1077,298.5,1.52,12.67,2.308
-6.339,1074,299.5,1.66,13.83,2.337
-6.066,1071,300.5,1.54,12.83,2.151
-5.6,1068,301.5,1.63,13.58,2.221
-6.0175,1065,302.5,1.59,13.25,2.0995
-5.342,1062,303.5,1.45,12.08,2.107
-5.112,1059,304.5,2.76,23,2.612
-5.674,1056,305.5,1.75,14.58,1.987
-5.264,1053,306.5,2.39,19.92,2.644
-5.557,1050,307.5,1.98,16.5,2.309
-5.405,1047,308.5,1.96,16.33,2.426
-5.795,1044,309.5,1.83,15.25,2.336
-5.751,1041,310.5,1.76,14.67,2.3175
-6.295,1038,311.5,1.82,15.17,2.234
-5.887,1035,312.5,1.72,14.33,2.531
-5.949,1032,313.5,2.78,23.17,2.693
-6.374,1029,314.5,2.58,21.5,2.263
-6.329,1026,315.5,2.41,20.08,2.207
-6.954,1023,316.5,1.96,16.33,1.837
-7.031,1020,317.5,2.03,16.92,1.513
-7.3145,1017,318.5,1.63,13.58,1.3745
-7.913,1014,319.5,1.48,12.33,1.176
-8.095,1011,320.5,1.36,11.33,1.232
-8.556,1008,321.5,1.42,11.83,1.03
-8.231,1005,322.5,1.14,9.5,1.088
-8.311,1002,323.5,0.72,6,0.782
-8.157,999,324.5,0.82,6.83,0.486
-8.434,996,325.5,0.76,6.33,0.496
-8.417,993,326.5,0.66,5.5,0.408
-8.45,990,327.5,0.79,6.58,0.272
-8.448,987,328.5,0.7,5.83,0.45
-8.334,984,329.5,0.78,6.5,0.616
-8.123,980,330.5,0.44,3.67,0.162
-8.306,977,331.5,0.46,3.83,0.226
-8.212,974,332.5,0.57,4.75,0.474
-8.367,971,333.5,0.45,3.75,-0.041
-8.173,968,334.5,0.29,2.42,-0.3305
-8.256,965,335.5,1.15,9.58,0.424
-7.799,962,336.5,0.82,6.83,0.266
-8.101,959,337.5,0.8,6.67,0.112
-8.532,956,338.5,1.56,13,0.36
-9.18,953,339.5,1.79,14.92,0.293
-8.967,950,340.5,0.56,4.67,-0.346
-7.806,947,341.5,0.75,6.25,0.348
-8.06,944,342.5,1.64,13.67,0.749
-8.232,941,343.5,1.56,13,0.649
-8.572,938,344.5,1.4,11.67,0.675
-8.668,935,345.5,1.88,15.67,0.797
-8.149,932,346.5,1.88,15.67,0.92
-7.393,929,347.5,1.72,14.33,0.921
-6.876,926,348.5,2.29,19.08,0.85
-6.133,923,349.5,1.77,14.75,0.56
-5.5375,920,350.5,1.74,14.5,0.322
-5.588,917,351.5,1.75,14.58,-0.09
-5.491,914,352.5,1.93,16.08,-0.412
-5.608,911,353.5,2.03,16.92,-0.81
-5.06,908,354.5,2.01,16.75,-0.53
-5.195,905,355.5,1.63,13.58,-0.11
-4.703,902,356.5,1.66,13.83,0.461
-4.527,899,357.5,1.61,13.42,-0.097
-4.7995,896,358.5,1.98,16.5,-0.6505
-5.795,893,359.5,2.08,17.33,-0.862
-6.27,890,360.5,2,16.67,-0.276
-5.549,887,361.5,2.4,20,0.625
-2.901,884,362.5,1.81,15.08,0.638
-2.927,881,363.5,1.86,15.5,0.791
-3.173,877,364.5,1.81,15.08,0.59
-3.155,874,365.5,1.79,14.92,0.545
-1.6305,871,366.5,1.92,16,1.26
-3.583,868,367.5,1.93,16.08,0.397
-3.9,865,368.5,2.02,16.83,0.288
-4.842,862,369.5,2.06,17.17,-0.074
-5.283,859,370.5,2.11,17.58,-0.069
-5.053,856,371.5,2.2,18.33,0.418
-3.919,853,372.5,2.17,18.08,0.913
-4.11,850,373.5,2.22,18.5,1.101
-3.188,847,374.5,2.28,19,1.5625
-3.423,844,375.5,2.2,18.33,1.09
-4.376,841,376.5,2.3,19.17,0.92
-3.386,838,377.5,2.31,19.25,1.455
-3.507,835,378.5,2.11,17.58,1.619
-3.607,832,379.5,2.26,18.83,1.468
-3,829,380.5,2.2,18.33,1.648
-2.658,826,381.5,2.46,20.5,1.833
-3.6565,823,382.5,2.14,17.83,1.614
-3.166,820,383.5,2.43,20.25,1.717
-2.72,817,384.5,2.24,18.67,1.72
-2.388,814,385.5,2.24,18.67,1.724
-2.38,811,386.5,2.36,19.67,1.712
-2.642,808,387.5,2.2,18.33,1.599
-2.945,805,388.5,2.11,17.58,1.411
-3.056,802,389.5,2.12,17.67,1.35
-2.9115,799,390.5,2.03,16.92,1.3345
-3.208,796,391.5,2.06,17.17,1.035
-3.151,793,392.5,2.06,17.17,1.108
-2.98,790,393.5,2.16,18,1.188
-3.185,787,394.5,2.04,17,1.126
-3.221,784,395.5,2.06,17.17,1.048
-3.484,781,396.5,2.05,17.08,0.795
-3.995,778,397.5,2.05,17.08,0.381
-3.847,775,398.5,1.98,16.5,0.5965
-3.995,772,399.5,1.9,15.83,0.588
-4.016,769,400.5,1.9,15.83,0.56
-4.103,766,401.5,1.81,15.08,0.841
-3.51,763,402.5,2.1,17.5,1.265
-3.676,759,403.5,1.82,15.17,1.447
-3.033,756,404.5,1.81,15.08,2.036
-2.547,753,405.5,1.81,15.08,2.226
-2.6365,750,406.5,1.9,15.83,2.2865
-2.409,747,407.5,1.99,16.58,2.344
-0.987,744,408.5,1.96,16.33,2.421
-0.716,741,409.5,1.58,13.17,1.907
-2.266,738,410.5,1.88,15.67,1.912
-1.778,735,411.5,1.87,15.58,2.298
-1.598,732,412.5,1.8,15,2.165
-1.548,729,413.5,1.72,14.33,1.821
-1.406,726,414.5,1.68,14,1.779
-1.318,723,415.5,1.37,11.42,1.868
-1.257,720,416.5,1.53,12.75,1.92
-1.631,717,417.5,1.68,14,2.22
-1.778,714,418.5,1.84,15.33,2.007
-1.703,711,419.5,1.59,13.25,2.155
-1.829,708,420.5,1.51,12.58,2.449
-1.084,705,421.5,1.71,14.25,2.689
-1.088,702,422.5,1.65,13.75,2.233
-1.303,699,423.5,1.5,12.5,1.665
-1.926,696,424.5,1.37,11.42,1.52
-2.84,693,425.5,1.56,13,0.932
-1.647,690,426.5,1.49,12.42,1.773
-1.6,687,427.5,1.69,14.08,1.791
-2.26,684,428.5,1.72,14.33,1.685
-2.028,681,429.5,1.54,12.83,2.107
-1.266,678,430.5,2.32,19.33,3.062
-2.189,675,431.5,1.78,14.83,3.12
-1.432,672,432.5,1.92,16,3.19
-1.08,669,433.5,2.07,17.25,2.86
-0.943,666,434.5,1.97,16.42,2.546
-1.097,663,435.5,1.83,15.25,2.579
-1.484,660,436.5,1.59,13.25,2.597
-1.376,657,437.5,1.5,12.5,2.619
-1.7775,653,438.5,1.41,11.75,2.2535
-0.446,650,439.5,2.59,21.58,1.979
-0.689,647,440.5,2.17,18.08,2.52
-0.691,644,441.5,2.29,19.08,1.805
-1.22,641,442.5,2.48,20.67,2.564
-1.587,638,443.5,2.02,16.83,2.651
-1.492,635,444.5,2.01,16.75,2.73
-0.208,632,445.5,2.21,18.42,2.694
0.319,629,446.5,2.09,17.42,2.4305
-0.408,626,447.5,1.82,15.17,2.177
0.396,623,448.5,1.79,14.92,1.682
0.802,620,449.5,3.15,26.25,1.306
0.163,617,450.5,2.6,21.67,1.094
0.729,614,451.5,2.62,21.83,1.279
0.4045,611,452.5,2.38,19.83,1.0715
0.653,608,453.5,3.34,27.83,1.266
0.663,605,454.5,2.56,21.33,0.954
-0.297,602,455.5,1.84,15.33,0.719
-0.51,599,456.5,2.38,19.83,0.744
-1.069,596,457.5,2.39,19.92,1.218
-0.875,593,458.5,1.85,15.42,1.4
-1.063,590,459.5,3.12,26,1.536
-0.9465,587,460.5,1.38,11.5,1.365
-1.123,584,461.5,2.4,20,1.498
-0.94,581,462.5,3.69,30.75,1.508
-1.063,578,463.5,2.71,22.58,1.389
-0.67,575,464.5,2.89,24.08,1.273
-1.567,572,465.5,1.76,14.67,1.173
-1.329,569,466.5,2.98,24.83,1.349
-1.369,566,467.5,2.91,24.25,1.415
-0.775,563,468.5,3.43,28.58,1.3415
-3.547,560,469.5,0.28,2.33,0.157
-1.713,557,470.5,0.83,6.92,0.836
-1.108,554,471.5,1.37,11.42,0.975
-0.823,550,472.5,1.41,11.75,1.198
-0.449,547,473.5,2,16.67,1.558
-1.2,544,474.5,1.07,8.92,1.699
