d13C (permil),year (AD),depth (cm)
-4.26,1297.6,6.5
-4.01,1291.5,6.55
-4.37,1285.4,6.6
-4.27,1279.4,6.65
-4.21,1273.3,6.7
-4.36,1267.3,6.75
-4.39,1261.2,6.8
-4.16,1255.1,6.85
-3.93,1249.1,6.9
-3.97,1243,6.95
-3.98,1237,7
-4.41,1230.9,7.05
-4.16,1224.8,7.1
-3.63,1218.8,7.15
-4.76,1212.7,7.2
-4.89,1206.7,7.25
-4.68,1200.6,7.3
-4.84,1194.5,7.35
-4.94,1188.5,7.4
-4.87,1182.4,7.45
-4.56,1176.4,7.5
-4.39,1170.3,7.55
-4.38,1164.2,7.6
-4.52,1158.2,7.65
-4.63,1152.1,7.7
-4.75,1146.1,7.75
-4.73,1140,7.8
-4.48,1125.3,7.85
-4.06,1110.5,7.9
-4,1095.8,7.95
-4.54,1081,8
-4.79,1066.3,8.05
-4.7,1051.5,8.1
-4.6,1036.8,8.15
-4.64,1022,8.2
-4.54,1007.3,8.25
-4.75,992.5,8.3
-4.78,977.8,8.35
-4.48,963,8.4
-4.47,948.3,8.45
-4.71,933.5,8.5
-4.69,918.8,8.55
-4.54,904,8.6
-4.66,889.3,8.65
-4.61,874.5,8.7
-4.49,859.8,8.75
-4.41,845,8.8
-4.27,830.3,8.85
-4.28,815.5,8.9
-4.3,800.8,8.95
-3.89,786.1,9
-3.83,771.3,9.05
-3.65,756.6,9.1
-4.09,741.8,9.15
-4.01,727.1,9.2
-3.92,712.3,9.25
-4.39,697.6,9.3
-4.28,682.8,9.35
-4.17,668.1,9.4
-4.68,653.3,9.45
-4.91,638.6,9.5
-4.25,623.8,9.55
-4.01,609.1,9.6
-3.82,594.3,9.65
-3.59,579.6,9.7
-3.89,564.8,9.75
-3.9,550.1,9.8
-3.93,535.3,9.85
-4.07,520.6,9.9
-4.1,505.8,9.95
-4.59,491.1,10
-4.61,476.3,10.05
-4.31,461.6,10.1
-4.52,446.9,10.15
-3.86,432.1,10.2
-4.23,417.4,10.25
-4.14,402.6,10.3
-4.6,387.9,10.35
-4.12,373.1,10.4
-4.22,358.4,10.45
-4.28,343.6,10.5
-3.92,328.9,10.6
-4.19,314.1,10.65
-3.79,299.4,10.7
-3.61,284.6,10.75
-4.13,269.9,10.8
-4.19,255.1,10.85
-4.27,240.4,10.9
-4.41,225.6,10.95
-4.42,210.9,11
-4.38,196.1,11.05
-4.2,181.4,11.1
-3.97,166.6,11.15
-4.16,151.9,11.2
-4.33,137.1,11.25
-4.09,122.4,11.3
-4.15,107.7,11.35
-4.33,92.9,11.4
-3.98,78.2,11.45
-3.99,63.4,11.5
-4.02,48.7,11.55
-3.56,33.9,11.6
-3.49,19.2,11.65
-3.82,4.4,11.7
-4.36,-10.3,11.75
-4.82,-25.1,11.8
-4.93,-39.8,11.85
-4.93,-54.6,11.9
-4.43,-69.3,11.95
-4.24,-84.1,12
-4.77,-98.8,12.05
-4.43,-113.6,12.1
-4.26,-128.3,12.15
-4.39,-143.1,12.2
-4.53,-157.8,12.25
-4.54,-172.6,12.3
-4.26,-187.3,12.35
-4.71,-202.1,12.4
-4.42,-216.8,12.45
-4.57,-231.5,12.5
-4.83,-246.3,12.55
-4.53,-261,12.6
-4.25,-275.8,12.65
-3.93,-290.5,12.7
-4.08,-305.3,12.75
-4.11,-320,12.8
-4.16,-334.8,12.85
-4.26,-349.5,12.9
-4.47,-364.3,12.95
-4.33,-379,13
-4.51,-393.8,13.05
-4.75,-408.5,13.1
-4.84,-423.3,13.15
-4.92,-438,13.2
-4.17,-452.8,13.25
-4.04,-467.5,13.3
-4.11,-482.3,13.35
-3.85,-497,13.4
-3.79,-511.8,13.45
-3.77,-526.5,13.5
-3.64,-541.3,13.55
-3.64,-556,13.6
-3.75,-560,13.65
-4.05,-564,13.7
-4.55,-568,13.75
-4.05,-572,13.8
-4.33,-576,13.85
-4.56,-580,13.9
-4.86,-584,13.95
-5.28,-588,14
-4.98,-592,14.05
-5.31,-596,14.1
-4.95,-600,14.15
-5.04,-604,14.2
-5.19,-608,14.25
-5.11,-612,14.3
-5.07,-616,14.35
-4.61,-620,14.4
-5.04,-624,14.45
-5.3,-628,14.5
-5.11,-632,14.55
-4.62,-636,14.6
-4.66,-640,14.65
-4.85,-644,14.7
-5.27,-648,14.75
-4.78,-652,14.8
-5.36,-656,14.85
-5.13,-660,14.9
-4.95,-664,14.95
-4.57,-668,15
-5.11,-672,15.05
-5.66,-676,15.1
-5.34,-680,15.15
-5.41,-684,15.2
-5.21,-688,15.25
-5.07,-692,15.3
-4.76,-696,15.35
-4.8,-700,15.4
-4.86,-704,15.45
-4.78,-708,15.5
-3.93,-712,15.55
-3.66,-716,15.6
-3.8,-720,15.65
-3.79,-724,15.7
-3.85,-728,15.75
-3.76,-732,15.8
-4.12,-736,15.85
-4.45,-740,15.9
-4.02,-744,15.95
-4.17,-748,16
-4.25,-752,16.05
-4.31,-756,16.1
-4.46,-760,16.15
-3.92,-764,16.2
-4.51,-768,16.25
-4.41,-772,16.3
-4.86,-776,16.35
-4.14,-780,16.4
-4.61,-784,16.45
-4.17,-788,16.5
-4.21,-792,16.55
-4.63,-796,16.6
-4.88,-800,16.65
-4.38,-804,16.7
-4.37,-808,16.75
-4.39,-812,16.8
-3.94,-816,16.85
-4.13,-820,16.9
-4.18,-824,16.95
-4.28,-828,17
-4.94,-832,17.05
-5.03,-836,17.1
-4.74,-840,17.15
-4.62,-844,17.2
-4.35,-848,17.25
-4.65,-852,17.3
-4.55,-856,17.35
-4.38,-860,17.4
-4.75,-864,17.45
-4.48,-868,17.5
-4.55,-872,17.55
-4.39,-876,17.6
-4.69,-880,17.65
-4.19,-884,17.7
-4.97,-888,17.75
-4.71,-892,17.8
-4.65,-896,17.85
-4.39,-900,17.9
-4.15,-904,17.95
-3.96,-908,18
-3.89,-912,18.05
-4.27,-916,18.1
-4.68,-920,18.15
-4.76,-928,18.2
-4.25,-935.9,18.25
-4.29,-943.9,18.3
-4.47,-951.8,18.35
-4.62,-959.8,18.4
-4.44,-967.8,18.45
-4.67,-975.7,18.5
-4.6,-983.7,18.55
-4.35,-991.6,18.6
-4.25,-999.6,18.65
-4.5,-1007.5,18.7
-4.09,-1015.5,18.75
-3.9,-1023.5,18.8
-3.74,-1031.4,18.85
-3.87,-1039.4,18.9
-3.98,-1047.3,18.95
-3.67,-1055.3,19
-3.99,-1063.3,19.05
-3.44,-1071.2,19.1
-3.86,-1079.2,19.15
-3.68,-1087.1,19.2
-3.93,-1095.1,19.25
-3.43,-1103,19.3
-3.49,-1111,19.35
-3.61,-1119.9,19.4
-3.97,-1128.8,19.45
-3.99,-1137.7,19.5
-3.69,-1146.7,19.55
-4.04,-1155.6,19.6
-3.84,-1164.5,19.65
-4.12,-1173.4,19.7
-4.44,-1182.3,19.75
-4.3,-1191.2,19.85
-4.17,-1200.1,19.9
-4,-1209,19.95
-4.11,-1218,20
-4.35,-1226.9,20.05
-4.43,-1235.8,20.1
-4.58,-1244.7,20.15
-4.55,-1253.6,20.2
-4.16,-1262.5,20.25
-4.49,-1271.4,20.3
-4.36,-1280.3,20.35
-4.17,-1289.3,20.4
-3.63,-1298.2,20.45
-3.95,-1307.1,20.5
-4.03,-1316,20.55
-4.33,-1324.9,20.6
-4.37,-1333.8,20.65
-4.46,-1342.7,20.7
-4.48,-1351.6,20.75
-4.4,-1360.6,20.8
-5.63,-1369.5,20.85
-5.12,-1378.4,20.9
-6.36,-1387.3,20.95
-5.84,-1396.2,21
-5.91,-1405.1,21.05
-5.63,-1414,21.1
-5.71,-1422.9,21.15
-5.56,-1431.9,21.2
-5.84,-1440.8,21.25
-6.05,-1449.7,21.3
-5.55,-1458.6,21.35
-5.46,-1467.5,21.4
-5.58,-1476.4,21.45
-5.84,-1485.3,21.5
-5.22,-1494.2,21.55
-5.69,-1503.2,21.6
-5.94,-1512.1,21.65
-5.63,-1521,21.7
-5.29,-1529.9,21.75
-5.44,-1538.8,21.8
-5.46,-1547.7,21.85
-5.46,-1556.6,21.9
-5.57,-1565.5,21.95
-5.4,-1574.5,22
-5.49,-1583.4,22.05
-5.85,-1592.3,22.1
-5.39,-1601.2,22.15
-5.44,-1610.1,22.2
-5.47,-1619,22.25
-5.41,-1627.9,22.3
-5.31,-1636.8,22.35
-5.38,-1645.8,22.4
-5.81,-1654.7,22.45
-5.55,-1663.6,22.5
-6,-1672.5,22.55
-5.58,-1681.4,22.6
-5.61,-1690.3,22.65
-5.4,-1699.2,22.7
-5.21,-1708.1,22.75
-5.58,-1717.1,22.8
-5.63,-1726,22.85
-6.02,-1734.9,22.9
-5.74,-1743.8,22.95
-5.46,-1752.7,23
-5.64,-1761.6,23.05
-6.15,-1770.5,23.1
-5.65,-1779.4,23.15
-5.43,-1788.4,23.2
-5.99,-1797.3,23.25
-5.49,-1806.2,23.3
-6.11,-1815.1,23.35
-5.85,-1824,23.4
-5.71,-1832.9,23.45
-5.65,-1841.8,23.5
-5.74,-1850.7,23.55
-6.25,-1859.7,23.6
-6.05,-1868.6,23.65
-5.77,-1877.5,23.7
-5.49,-1886.4,23.75
-5.43,-1895.3,23.8
-5.72,-1904.2,23.85
-5.96,-1913.1,23.9
-6.02,-1922,23.95
-5.47,-1931,24
-5.51,-1939.9,24.05
-5.74,-1948.8,24.1
-5.64,-1957.7,24.15
-5.55,-1966.6,24.2
-5.73,-1975.5,24.25
-5.99,-1984.4,24.3
-5.74,-1993.3,24.35
-5.73,-2002.3,24.4
-5.7,-2011.2,24.45
-5.52,-2020.1,24.5
-4.38,-2029,24.55
-5.32,-2037.3,24.6
-4.87,-2045.6,24.65
-4.57,-2053.9,24.7
-5.11,-2062.2,24.75
-4.8,-2070.5,24.8
-4.72,-2078.8,24.85
-4.49,-2087.1,24.9
-4.15,-2095.4,24.95
-4.89,-2103.7,25
-4.96,-2112,25.05
-5.37,-2120.4,25.1
-5.24,-2128.7,25.15
-5.14,-2137,25.2
-5.79,-2145.3,25.25
-5.64,-2153.6,25.3
-5.83,-2161.9,25.35
-5.49,-2170.2,25.4
-5.29,-2178.5,25.45
-5.31,-2186.8,25.5
-5.11,-2195.1,25.55
-5.21,-2203.4,25.6
-5.49,-2211.7,25.65
-5.65,-2220,25.7
-5.46,-2228.3,25.75
-4.99,-2236.6,25.8
-4.73,-2244.9,25.85
-4.7,-2253.2,25.9
-4.71,-2261.5,25.95
-5.08,-2269.8,26
-5.23,-2278.1,26.05
-5.39,-2286.4,26.1
-5.27,-2294.7,26.15
-4.79,-2303.1,26.2
-4.56,-2311.4,26.25
-4.59,-2319.7,26.3
-5.04,-2328,26.35
-4.91,-2336.3,26.4
-5.12,-2344.6,26.45
-5.33,-2352.9,26.5
-5.37,-2361.2,26.55
-5.3,-2369.5,26.6
-5.52,-2377.8,26.65
-5.79,-2386.1,26.7
-5.43,-2394.4,26.75
-5.73,-2402.7,26.8
-5.5,-2411,26.85
-5.65,-2419.3,26.9
-5.22,-2427.6,26.95
-5.53,-2435.9,27
-5.64,-2444.2,27.05
-5.52,-2452.5,27.1
-5.6,-2460.8,27.15
-4.94,-2469.1,27.2
-5.77,-2477.5,27.25
-5.56,-2485.8,27.3
-5.66,-2494.1,27.35
-5.34,-2502.4,27.4
-5.32,-2510.7,27.45
-5.66,-2519,27.5
-5.71,-2527.3,27.55
-5.76,-2535.6,27.6
-5.72,-2543.9,27.65
-6.58,-2552.2,27.7
-6.42,-2560.5,27.75
-5.97,-2568.8,27.8
-5.93,-2577.1,27.85
-5.77,-2585.4,27.9
-5.49,-2593.7,27.95
-5.58,-2602,28
-5.08,-2610.3,28.05
-5.29,-2618.6,28.1
-5.48,-2626.9,28.15
-5.65,-2635.2,28.2
-5.65,-2643.5,28.25
-5.43,-2651.8,28.3
-5.09,-2660.2,28.35
-5.8,-2668.5,28.4
-6.13,-2676.8,28.45
-6.02,-2685.1,28.5
-6.19,-2693.4,28.55
-5.91,-2701.7,28.6
-6.16,-2710,28.65
-6.28,-2718.3,28.7
-6.25,-2726.6,28.75
-5.82,-2734.9,28.8
-5.7,-2743.2,28.85
-5.64,-2751.5,28.9
-5.09,-2759.8,28.95
-5.45,-2768.1,29
-5.4,-2776.4,29.05
-5.56,-2784.7,29.1
-5.87,-2793,29.15
-6.06,-2801.3,29.2
-6.43,-2809.6,29.25
-6.77,-2817.9,29.3
-6.44,-2826.2,29.35
-6.44,-2834.5,29.4
-6.51,-2842.9,29.45
-6.45,-2851.2,29.5
-6.35,-2859.5,29.55
-6.23,-2867.8,29.6
-6.47,-2876.1,29.65
-6.31,-2884.4,29.7
-5.96,-2892.7,29.75
-6.17,-2901,29.8
-5.97,-2909.3,29.85
-6.31,-2917.6,30
-5.76,-2925.9,30.05
-6.24,-2934.2,30.1
-6.26,-2942.5,30.15
-6,-2950.8,30.2
-6.09,-2959.1,30.25
-6.21,-2967.4,30.3
-6.19,-2975.7,30.35
-6.47,-2984,30.4
-5.94,-2992.3,30.45
-5.98,-3000.6,30.5
-6.29,-3008.9,30.55
-6.49,-3017.3,30.6
-6.49,-3025.6,30.65
-6.31,-3033.9,30.7
-6.26,-3042.2,30.75
-6.35,-3050.5,30.8
-6.51,-3058.8,30.85
-6.69,-3067.1,30.9
-6.46,-3075.4,30.95
-6.48,-3083.7,31
-6.18,-3092,31.05
-6.36,-3100.3,31.1
-6.39,-3108.6,31.15
-6.82,-3116.9,31.2
-6.95,-3125.2,31.25
-6.79,-3133.5,31.3
-6.57,-3141.8,31.35
-6.21,-3150.1,31.4
-6.19,-3158.4,31.45
-6.38,-3166.7,31.5
-6.77,-3175,31.55
-6.51,-3183.3,31.6
-6.87,-3191.6,31.65
-5.41,-3200,31.7
-5.48,-3208.3,31.75
-6.08,-3216.6,31.8
-5.66,-3224.9,31.85
-5.94,-3233.2,31.9
-5.91,-3241.5,31.95
-6.02,-3249.8,32
-5.93,-3258.1,32.05
-5.92,-3266.4,32.1
-6.01,-3274.7,32.15
-5.62,-3283,32.2
-5.83,-3290.6,32.25
-5.56,-3298.2,32.3
-5.91,-3305.8,32.35
-5.98,-3313.4,32.4
-5.42,-3321.1,32.45
-5.66,-3328.7,32.5
-5.71,-3336.3,32.55
-5.79,-3343.9,32.6
-5.56,-3351.5,32.65
-5.82,-3359.1,32.7
-5.5,-3366.7,32.75
-5.77,-3374.3,32.8
-5.82,-3382,32.85
-6.09,-3389.6,32.9
-5.88,-3397.2,32.95
-6.01,-3404.8,33
-6.02,-3412.4,33.05
-6,-3420,33.1
-6.07,-3427.6,33.15
-5.9,-3435.2,33.2
-5.75,-3442.9,33.25
-5.93,-3450.5,33.3
-5.78,-3458.1,33.35
-5.15,-3465.7,33.4
-5.23,-3473.3,33.45
-5.41,-3480.9,33.5
-5.67,-3488.5,33.55
-5.92,-3496.1,33.6
-6.59,-3503.8,33.65
-6.51,-3511.4,33.7
-6.22,-3519,33.75
-6.09,-3526.6,33.8
-5.81,-3534.2,33.85
-5.81,-3541.8,33.9
-6.16,-3549.4,33.95
-5.98,-3557,34
-6,-3564.7,34.05
-6.17,-3572.3,34.1
-5.75,-3579.9,34.15
-5.97,-3587.5,34.2
-5.97,-3595.1,34.25
-5.98,-3602.7,34.3
-6,-3610.3,34.35
-5.86,-3617.9,34.4
-6.17,-3625.6,34.45
-5.8,-3633.2,34.5
-5.92,-3640.8,34.55
-5.63,-3648.4,34.6
-6.09,-3656,34.65
-6.05,-3663.6,34.7
-5.79,-3671.2,34.75
-5.68,-3678.8,34.8
-5.62,-3686.5,34.85
-5.84,-3694.1,34.9
-6.14,-3701.7,34.95
-5.54,-3709.3,35
-5.62,-3716.9,35.05
-6.13,-3724.5,35.1
-4.79,-3732.1,35.15
-4.8,-3739.7,35.2
-5.14,-3747.4,35.25
-4.96,-3755,35.3
-5.15,-3762.6,35.35
-4.84,-3770.2,35.4
-5.56,-3777.8,35.45
-5.41,-3785.4,35.5
-5.43,-3793,35.55
-5.96,-3800.6,35.6
-6.03,-3808.3,35.65
-5.8,-3815.9,35.7
-5.84,-3823.5,35.75
-5.71,-3831.1,35.8
-5.42,-3838.7,35.85
-5.52,-3846.3,35.9
-5.72,-3853.9,35.95
-6.22,-3861.5,36
-4.93,-3869.2,36.05
-4.52,-3876.8,36.1
-4.96,-3884.4,36.15
-4.81,-3892,36.2
-5.11,-3899.6,36.25
-4.72,-3907.2,36.3
-4.81,-3914.8,36.35
-4.74,-3922.4,36.4
-4.37,-3930.1,36.45
-4.76,-3937.7,36.5
-4.25,-3945.3,36.55
-4.53,-3952.9,36.6
-4.76,-3960.5,36.65
-4.84,-3968.1,36.7
-4.86,-3975.7,36.75
-5.38,-3983.3,36.8
-5.11,-3990.9,36.85
-4.91,-3998.6,36.9
-5.03,-4006.2,36.95
-4.8,-4013.8,37
-4.6,-4021.4,37.05
-5.01,-4029,37.1
-5.03,-4036.6,37.15
-5.44,-4044.2,37.2
-5.2,-4051.8,37.25
-5.24,-4059.5,37.3
-4.96,-4067.1,37.35
-4.84,-4074.7,37.4
-4.95,-4082.3,37.45
-4.6,-4089.9,37.5
-4.34,-4097.5,37.55
-4.5,-4105.1,37.6
-4.5,-4112.7,37.65
-4.13,-4120.4,37.7
-4.45,-4128,37.75
-4.72,-4135.6,37.8
-4.67,-4143.2,37.85
-4.82,-4150.8,37.9
-4.81,-4158.4,37.95
-4.84,-4166,38
-5.46,-4173.6,38.05
-5.42,-4181.3,38.1
-5.54,-4188.9,38.15
-5.54,-4196.5,38.2
-5.75,-4204.1,38.25
-5.49,-4211.7,38.3
-5.91,-4219.3,38.35
-5.98,-4226.9,38.4
-5.45,-4234.5,38.45
-5.52,-4242.2,38.5
-4.67,-4249.8,38.55
-5.09,-4257.4,38.6
-5.34,-4265,38.65
-5.58,-4272.6,38.7
-5.48,-4280.2,38.75
-6.09,-4287.8,38.8
-6.14,-4295.4,38.85
-6.43,-4303.1,38.9
-6.31,-4310.7,38.95
-6.34,-4318.3,39
-5.7,-4325.9,39.05
-5.58,-4333.5,39.1
-5.83,-4341.1,39.15
-6.03,-4348.7,39.2
-5.74,-4356.3,39.25
-5.77,-4364,39.3
-5.51,-4371.6,39.35
-5.28,-4379.2,39.4
-5.36,-4386.8,39.45
-5.3,-4394.4,39.5
-5.58,-4402,39.55
-5.94,-4409.6,39.6
-6.11,-4417.2,39.65
-6.05,-4424.9,39.7
-5.97,-4432.5,39.75
-5.21,-4440.1,39.8
-5.66,-4447.7,39.85
-5.58,-4455.3,39.9
-5.49,-4462.9,39.95
-5.2,-4470.5,40
-5.32,-4478.1,40.05
-5.42,-4485.8,40.1
-5.69,-4493.4,40.15
-6.07,-4501,40.2
-6.21,-4508.6,40.25
-5.84,-4516.2,40.3
-5.58,-4523.8,40.35
-5.46,-4531.4,40.4
-5.33,-4539,40.45
-5.35,-4546.7,40.5
-5.23,-4554.3,40.55
-5.21,-4561.9,40.6
-5.01,-4569.5,40.65
-4.82,-4577.1,40.7
-4.63,-4584.7,40.75
-4.89,-4592.3,40.8
-4.73,-4599.9,40.85
-4.98,-4607.6,40.9
-4.55,-4615.2,40.95
-4.91,-4622.8,41
-5.23,-4630.4,41.05
-4.73,-4638,41.15
