d18O (permil),year (AD),depth (mm),d13C (permil)
-8.995,1311,5.37,-3.02
-8.89,1309,5.4,-3.267
-8.834,1306,5.43,-2.798
-8.847,1304,5.46,-2.723
-8.855,1302,5.49,-2.621
-8.952,1300,5.52,-2.995
-8.853,1297,5.55,-2.781
-8.938,1295,5.58,-2.816
-8.828,1293,5.61,-2.807
-8.934,1291,5.64,-2.821
-8.819,1288,5.67,-2.909
-8.941,1286,5.7,-2.845
-8.793,1284,5.73,-2.78
-8.893,1282,5.76,-2.822
-8.834,1280,5.79,-2.903
-8.865,1277,5.82,-2.851
-8.848,1275,5.85,-2.817
-8.829,1273,5.88,-2.772
-8.867,1271,5.91,-2.733
-8.854,1268,5.94,-2.84
-8.893,1266,5.97,-2.801
-8.76,1264,6,-2.67
-8.83,1262,6.03,-2.82
-8.859,1259,6.06,-2.576
-8.894,1257,6.09,-2.719
-8.844,1255,6.12,-2.721
-8.902,1253,6.15,-2.811
-8.864,1250,6.18,-2.732
-8.844,1248,6.21,-2.694
-8.726,1246,6.24,-2.839
-8.966,1243,6.27,-2.712
-8.9,1241,6.3,-2.878
-8.943,1239,6.33,-2.938
-8.895,1237,6.36,-2.805
-8.935,1234,6.39,-3.005
-8.909,1232,6.42,-3.113
-8.957,1230,6.45,-3.258
-8.946,1228,6.48,-3.429
-8.931,1225,6.51,-3.196
-8.93,1223,6.54,-3.387
-8.914,1221,6.57,-3.991
-8.889,1219,6.6,-4.033
-8.872,1216,6.63,-4.076
-8.957,1214,6.66,-3.804
-8.733,1212,6.69,-4.195
-8.722,1210,6.72,-4.113
-8.668,1207,6.75,-4.172
-8.649,1205,6.78,-4.106
-8.623,1203,6.81,-4.222
-8.63,1201,6.84,-4.061
-8.625,1199,6.87,-4.246
-8.487,1196,6.9,-4.097
-8.575,1194,6.93,-4.142
-8.613,1190,6.99,-4.234
-8.616,1187,7.02,-4.243
-8.587,1185,7.05,-4.194
-8.627,1183,7.08,-4.273
-8.593,1181,7.11,-4.172
-8.555,1178,7.14,-4.274
-8.609,1176,7.17,-4.194
-8.539,1174,7.2,-4.189
-8.762,1172,7.23,-4.236
-8.692,1169,7.26,-4.187
-8.645,1167,7.29,-4.191
-8.641,1165,7.32,-4.222
-8.819,1162,7.35,-4.33
-8.709,1160,7.38,-4.21
-8.804,1158,7.41,-4.319
-8.889,1156,7.44,-4.371
-8.993,1153,7.47,-4.398
-9.008,1151,7.5,-4.428
-8.981,1150,7.53,-4.391
-8.975,1150,7.56,-4.403
-9.067,1149,7.59,-4.411
-8.981,1148,7.62,-4.32
-9.178,1148,7.65,-4.384
-9.063,1147,7.68,-4.313
-9.014,1146,7.71,-4.329
-9.146,1146,7.74,-4.263
-8.988,1145,7.77,-4.074
-9.16,1144,7.8,-4.093
-9.182,1144,7.83,-4.037
-9.166,1143,7.86,-4.2
-9.149,1142,7.89,-3.976
-9.107,1142,7.92,-4.001
-9.09,1141,7.95,-4.033
-9.132,1140,7.98,-3.975
-9.106,1140,8.01,-3.828
-9.14,1139,8.04,-3.738
-8.951,1138,8.07,-3.624
-8.974,1138,8.1,-3.699
-8.957,1137,8.13,-3.498
-8.933,1136,8.16,-3.715
-8.897,1135,8.19,-3.513
-8.845,1135,8.22,-3.596
-8.849,1134,8.25,-3.521
-8.804,1133,8.31,-3.416
-8.761,1132,8.34,-3.292
-8.811,1131,8.37,-3.481
-8.847,1130,8.4,-3.643
-8.804,1130,8.43,-3.514
-8.666,1129,8.46,-3.448
-8.808,1128,8.49,-3.419
-8.793,1128,8.52,-3.398
-8.735,1127,8.55,-3.325
-8.824,1126,8.58,-3.555
-8.673,1125,8.61,-3.034
-8.842,1125,8.64,-3.439
-8.705,1124,8.67,-3.17
-8.756,1123,8.7,-3.103
-8.838,1122,8.73,-3.381
-8.829,1122,8.76,-3.182
-8.76,1121,8.79,-3.314
-8.856,1120,8.82,-3.22
-8.908,1120,8.85,-3.205
-8.838,1119,8.88,-3.229
-8.842,1118,8.91,-3.22
-8.767,1117,8.94,-3.194
-8.786,1117,8.97,-3.242
-8.695,1116,9,-3.505
-8.566,1115,9.03,-3.301
-8.763,1113,9.12,-3.362
-8.667,1112,9.15,-3.399
-8.668,1112,9.18,-3.534
-8.734,1111,9.21,-3.356
-8.781,1110,9.24,-3.42
-8.737,1110,9.27,-3.384
-8.769,1109,9.3,-3.168
-8.603,1108,9.33,-3.342
-8.726,1107,9.36,-3.174
-8.598,1107,9.39,-3.362
-8.535,1106,9.42,-3.273
-8.521,1105,9.45,-3.382
-8.529,1104,9.48,-3.058
-8.335,1104,9.51,-2.935
-8.449,1103,9.54,-3.016
-8.517,1102,9.57,-3.051
-8.571,1102,9.6,-3.019
-8.603,1101,9.63,-3.009
-8.53,1100,9.66,-2.864
-8.574,1100,9.69,-2.812
-8.61,1099,9.72,-2.76
-8.544,1098,9.75,-2.926
-8.559,1098,9.78,-2.736
-8.658,1097,9.81,-2.942
-8.555,1097,9.84,-2.884
-8.784,1096,9.87,-2.872
-8.787,1095,9.9,-2.805
-8.737,1095,9.93,-2.716
-8.772,1094,9.96,-2.745
-8.814,1091,10.02,-2.779
-8.911,1087,10.05,-2.823
-8.818,1083,10.08,-2.715
-8.849,1079,10.11,-2.749
-8.871,1076,10.14,-2.664
-8.792,1072,10.17,-2.712
-8.905,1068,10.2,-2.731
-8.88,1064,10.23,-2.77
-8.922,1061,10.26,-2.797
-8.904,1057,10.29,-2.864
-8.881,1053,10.32,-2.996
-9.075,1050,10.35,-2.964
-8.889,1046,10.38,-2.995
-8.9,1042,10.41,-2.952
-8.919,1038,10.44,-3.047
-8.911,1035,10.47,-2.984
-9.028,1031,10.5,-3.023
-8.909,1027,10.53,-2.941
-8.948,1024,10.56,-2.918
-9.02,1016,10.62,-2.972
-8.947,1012,10.65,-2.952
-8.899,1009,10.68,-2.962
-8.931,1005,10.71,-2.941
-8.813,1001,10.74,-2.975
-8.843,998,10.77,-2.901
-9.051,994,10.8,-2.858
-8.734,990,10.83,-2.971
-8.803,986,10.86,-2.955
-8.808,983,10.89,-2.907
-8.727,979,10.92,-3.001
-8.682,975,10.95,-2.966
-8.829,971,10.98,-3.196
-8.691,968,11.01,-3.07
-8.715,964,11.04,-2.988
-8.673,957,11.1,-3.121
-8.636,953,11.13,-3.125
-8.766,949,11.16,-2.945
-8.714,945,11.19,-3.039
-8.684,942,11.22,-2.948
-8.928,938,11.25,-2.957
-8.813,934,11.28,-2.987
-8.751,931,11.31,-3.137
-8.676,927,11.34,-3.21
-8.833,923,11.37,-3.216
-8.757,919,11.4,-3.319
-8.847,916,11.43,-3.328
-8.866,912,11.46,-3.319
-8.862,908,11.49,-3.214
-8.8,905,11.52,-3.248
-8.922,901,11.55,-3.378
-8.867,897,11.58,-3.174
-8.93,894,11.61,-3.483
-8.835,890,11.64,-3.412
-8.897,886,11.67,-3.493
-8.901,883,11.7,-3.512
-8.726,875,11.76,-3.565
-8.584,872,11.79,-3.575
-8.566,868,11.82,-3.616
-8.532,864,11.85,-3.519
-8.449,861,11.88,-3.725
-8.542,857,11.91,-3.467
-8.397,853,11.94,-3.437
-8.52,850,11.97,-3.613
-8.518,846,12,-3.791
-8.559,842,12.03,-3.895
-8.553,839,12.06,-4.096
-8.581,835,12.09,-3.962
-8.791,827,12.15,-3.968
-8.541,824,12.18,-3.862
-8.584,820,12.21,-3.951
-8.611,816,12.24,-3.922
-8.582,813,12.27,-3.803
-8.609,809,12.3,-3.901
-8.566,805,12.33,-3.837
-8.575,801,12.36,-3.674
-8.598,798,12.39,-4.167
-8.644,794,12.42,-4.251
-8.607,790,12.45,-4.26
-8.565,786,12.48,-4.3
-8.626,783,12.51,-4.777
-8.667,779,12.54,-4.185
-8.695,775,12.57,-4.463
-8.702,772,12.6,-4.6
-8.565,768,12.63,-4.512
-8.626,764,12.66,-4.656
-8.606,760,12.69,-4.798
-8.565,757,12.72,-4.728
-8.661,753,12.75,-4.69
-8.538,749,12.78,-4.766
-8.695,746,12.81,-4.727
-8.592,742,12.84,-4.782
-8.688,738,12.87,-4.895
-8.63,734,12.9,-4.987
-8.775,731,12.93,-5.044
-8.682,727,12.96,-5.155
-8.719,723,12.99,-5.058
-8.621,720,13.02,-5.016
-8.933,716,13.05,-5.006
-8.614,712,13.08,-4.819
-8.617,708,13.11,-4.963
-8.635,705,13.14,-4.89
-8.54,701,13.17,-4.708
-8.71,697,13.2,-5.004
-8.594,693,13.23,-4.787
-8.653,690,13.26,-4.723
-8.619,686,13.29,-4.855
-8.623,682,13.32,-4.841
-8.549,679,13.35,-4.704
-8.735,675,13.38,-4.826
-8.556,671,13.41,-4.755
-8.548,667,13.44,-5.076
-8.546,664,13.47,-4.964
-8.721,660,13.5,-4.984
-8.706,653,13.56,-5.158
-8.793,649,13.59,-5.003
-8.657,645,13.62,-4.914
-8.641,641,13.65,-4.897
-8.672,638,13.68,-4.833
-8.715,634,13.71,-4.636
-8.675,630,13.74,-4.456
-8.76,627,13.77,-4.247
-8.619,623,13.8,-3.964
-8.654,619,13.83,-3.911
-8.589,615,13.86,-3.629
-8.548,612,13.89,-3.548
-8.652,608,13.92,-3.558
-8.822,604,13.95,-3.365
-8.554,600,13.98,-3.305
-8.58,597,14.01,-3.29
-8.504,593,14.04,-3.305
-8.601,589,14.07,-3.306
-8.523,586,14.1,-3.251
-8.59,582,14.13,-3.249
-8.359,578,14.16,-3.233
-8.505,574,14.19,-3.192
-8.314,571,14.22,-3.082
-8.393,567,14.25,-3.211
-8.451,563,14.28,-3.126
-8.421,560,14.31,-3.068
-8.379,556,14.34,-3.088
-8.351,552,14.37,-3.077
-8.396,548,14.4,-3.041
-8.399,541,14.46,-3.083
-8.425,537,14.49,-3.01
-8.326,530,14.55,-2.951
-8.353,527,14.58,-2.992
-8.421,523,14.61,-3.048
-8.455,520,14.64,-3.077
-8.402,510,14.73,-3.08
-8.498,506,14.76,-3.134
-8.433,493,14.88,-3.06
-8.389,489,14.91,-2.979
-8.42,479,15,-2.951
-8.445,476,15.03,-3.054
-8.504,472,15.06,-3.129
-8.384,469,15.09,-3.17
-8.464,465,15.12,-3.205
-8.468,462,15.15,-3.24
-8.405,452,15.24,-3.246
-8.45,448,15.27,-3.58
-8.452,445,15.3,-3.579
-8.346,441,15.33,-3.863
-8.437,438,15.36,-3.96
-8.501,435,15.39,-4.029
-8.515,431,15.42,-4.424
-8.528,428,15.45,-4.307
-8.456,424,15.48,-4.53
-8.437,421,15.51,-4.583
-8.532,414,15.57,-4.696
-8.621,411,15.6,-4.533
-8.553,404,15.66,-5.238
-8.625,400,15.69,-5.27
-8.671,397,15.72,-5.005
-8.626,390,15.78,-5.243
-8.655,383,15.84,-5.498
-8.727,380,15.87,-5.585
-8.694,376,15.9,-5.247
-8.773,373,15.93,-5.626
-8.695,370,15.96,-5.827
-8.641,366,15.99,-5.644
-8.69,363,16.02,-5.664
-8.795,359,16.05,-5.774
-8.73,356,16.08,-5.945
-8.823,352,16.11,-5.832
-8.781,349,16.14,-5.88
-8.802,345,16.17,-5.861
-8.945,342,16.2,-6.047
-8.755,338,16.23,-6.08
-8.81,335,16.26,-6.054
-8.86,331,16.29,-6.189
-8.831,328,16.32,-6.19
-8.804,324,16.35,-6.3
-8.758,321,16.38,-6.342
-8.782,317,16.41,-6.195
-8.849,314,16.44,-6.445
-8.881,310,16.47,-6.18
-8.856,307,16.5,-6.539
-8.967,304,16.53,-6.256
-8.982,300,16.56,-6.27
-8.921,297,16.59,-6.187
-9.046,293,16.62,-6.1
-9.054,286,16.68,-6.051
-8.972,283,16.71,-6.138
-8.923,280,16.74,-5.997
-9.063,276,16.77,-6.127
-9.036,273,16.8,-6.151
-9.127,269,16.83,-5.987
-9.049,266,16.86,-6.051
-9.012,263,16.89,-6.22
-8.931,256,16.95,-6.082
-8.997,249,17.01,-5.89
-9.001,245,17.04,-6.065
-9.107,242,17.07,-6.048
-9.134,238,17.1,-6.02
-9.076,235,17.13,-5.785
-9.025,228,17.19,-5.953
-9.026,224,17.22,-5.739
-8.987,221,17.25,-5.659
-9.047,218,17.28,-5.462
-9.076,214,17.31,-5.791
-9.149,211,17.34,-5.658
-9.025,207,17.37,-5.845
-8.982,204,17.4,-5.662
-8.987,200,17.43,-5.869
-9.013,197,17.46,-5.789
-9.003,193,17.49,-5.566
-9.007,190,17.52,-5.539
-9.05,183,17.58,-5.557
-9.055,179,17.61,-5.653
-8.946,176,17.64,-5.699
-9.018,173,17.67,-5.482
-8.891,169,17.7,-5.512
-8.997,166,17.73,-5.511
-8.976,162,17.76,-5.562
-8.935,159,17.79,-5.734
-8.868,156,17.82,-5.59
-8.92,152,17.85,-5.616
-8.892,149,17.88,-5.768
-8.966,145,17.91,-5.671
-8.848,142,17.94,-5.611
-8.948,138,17.97,-5.518
-9.072,135,18,-5.377
-8.951,132,18.03,-5.213
-8.845,128,18.06,-5.404
-8.679,125,18.09,-5.26
-8.907,121,18.12,-5.289
-8.747,118,18.15,-5.358
-8.874,114,18.18,-5.365
-8.735,111,18.21,-5.321
-8.715,107,18.24,-5.195
-8.762,104,18.27,-5.334
-8.764,100,18.3,-5.256
-8.815,97,18.33,-5.492
-8.881,93,18.36,-5.359
-8.758,90,18.39,-5.507
-8.86,86,18.42,-5.925
-8.793,79,18.48,-5.563
-8.848,76,18.51,-5.742
-8.854,72,18.54,-5.682
-8.817,69,18.57,-5.436
-8.825,65,18.6,-5.415
-8.815,58,18.66,-5.429
-8.839,55,18.69,-5.488
-8.803,51,18.72,-5.697
-8.929,48,18.75,-5.201
-8.88,45,18.78,-5.402
-8.93,41,18.81,-5.43
-8.831,38,18.84,-5.38
-8.94,34,18.87,-5.305
-9.101,31,18.9,-5.183
-8.895,27,18.93,-5.405
-8.838,24,18.96,-5.241
-8.787,20,18.99,-5.416
-8.737,17,19.02,-5.098
-8.856,13,19.05,-5.011
-8.88,10,19.08,-4.901
-8.744,6,19.11,-4.979
-8.832,3,19.14,-5.001
-8.762,0,19.17,-4.929
-8.744,-4,19.2,-4.831
-8.687,-7,19.23,-4.804
-8.85,-11,19.26,-4.723
-8.762,-14,19.29,-4.658
-8.823,-17,19.32,-4.604
-8.798,-24,19.38,-4.61
-8.845,-28,19.41,-4.507
-8.83,-31,19.44,-4.494
-8.796,-35,19.47,-4.445
-8.876,-38,19.5,-4.487
-8.897,-41,19.53,-4.624
-8.814,-45,19.56,-4.46
-8.888,-48,19.59,-4.478
-8.787,-52,19.62,-4.618
-8.791,-55,19.65,-4.517
-8.829,-59,19.68,-4.542
-8.879,-62,19.71,-4.562
-8.742,-66,19.74,-4.522
-8.92,-69,19.77,-4.488
-9.067,-73,19.8,-4.543
-8.79,-76,19.83,-4.572
-8.873,-80,19.86,-4.577
-8.813,-83,19.89,-4.621
-8.889,-87,19.92,-4.582
-8.843,-90,19.95,-4.614
-8.856,-94,19.98,-4.607
-8.795,-97,20.01,-4.616
-8.855,-101,20.04,-4.715
-8.702,-104,20.07,-4.658
-8.838,-108,20.1,-4.685
-8.693,-111,20.13,-4.701
-8.818,-115,20.16,-4.719
-8.836,-118,20.19,-4.796
-8.672,-122,20.22,-4.771
-8.753,-128,20.28,-4.869
-8.765,-132,20.31,-4.91
-8.627,-135,20.34,-4.986
-8.585,-139,20.37,-4.936
-8.702,-142,20.4,-5.016
-8.593,-146,20.43,-5.027
-8.598,-149,20.46,-5.059
-8.736,-153,20.49,-5.144
-8.766,-156,20.52,-5.15
-8.663,-160,20.55,-5.122
-8.666,-163,20.58,-5.098
-8.732,-167,20.61,-4.853
-8.604,-170,20.64,-4.976
-8.715,-174,20.67,-4.905
-8.826,-177,20.7,-4.867
-8.518,-181,20.73,-4.799
-8.59,-184,20.76,-4.824
-8.59,-188,20.79,-4.842
-8.784,-191,20.82,-4.873
-8.627,-195,20.85,-4.84
-8.679,-198,20.88,-4.82
-8.674,-202,20.91,-4.778
-8.752,-205,20.94,-4.794
-8.601,-209,20.97,-4.53
-8.735,-212,21,-4.664
-8.676,-215,21.03,-4.635
-8.75,-219,21.06,-4.465
-8.641,-222,21.09,-4.191
-8.61,-226,21.12,-4.255
-8.673,-233,21.18,-4.185
-8.768,-236,21.21,-4.176
-8.747,-240,21.24,-4.257
-8.796,-243,21.27,-4.428
-8.798,-247,21.3,-4.402
-8.881,-250,21.33,-4.385
-8.674,-254,21.36,-4.39
-8.767,-257,21.39,-4.447
-8.75,-261,21.42,-4.39
-8.839,-264,21.45,-4.45
-8.777,-268,21.48,-4.44
-8.841,-271,21.51,-4.503
-8.818,-275,21.54,-4.485
-8.815,-278,21.57,-4.386
-8.883,-282,21.6,-4.46
-8.813,-285,21.63,-4.424
-8.822,-289,21.66,-4.548
-8.689,-292,21.69,-4.471
-8.827,-296,21.72,-4.545
-8.598,-299,21.75,-4.554
-8.82,-302,21.78,-4.511
-8.694,-306,21.81,-4.436
-8.63,-309,21.84,-4.354
-8.597,-313,21.87,-4.289
-8.639,-316,21.9,-4.208
-8.743,-320,21.93,-4.283
-8.918,-323,21.96,-4.337
-8.687,-327,21.99,-4.129
-8.799,-330,22.02,-4.159
-8.595,-337,22.08,-4.347
-8.715,-341,22.11,-4.385
-8.697,-344,22.14,-4.321
-8.7,-347,22.17,-4.245
-8.746,-351,22.2,-4.296
-8.709,-358,22.26,-4.624
-8.805,-361,22.29,-4.593
-8.725,-364,22.32,-4.947
-8.767,-368,22.35,-4.87
-8.705,-371,22.38,-4.919
-8.777,-375,22.41,-4.997
-8.741,-378,22.44,-5.119
-8.74,-382,22.47,-5.012
-8.876,-385,22.5,-5.018
-8.662,-388,22.53,-4.808
-8.68,-392,22.56,-5.004
-8.735,-395,22.59,-5.094
-8.714,-399,22.62,-5.003
-8.964,-402,22.65,-5.167
-8.908,-406,22.68,-5.078
-8.906,-409,22.71,-5.115
-8.94,-413,22.74,-5.135
-9,-416,22.77,-5.128
-9.038,-420,22.8,-5.147
-9.007,-423,22.83,-5.147
-9.147,-427,22.86,-5.165
-9,-430,22.89,-5.181
-9.032,-434,22.92,-5.086
-8.904,-441,22.98,-4.919
-9.013,-444,23.01,-4.705
-8.97,-447,23.04,-4.799
-8.886,-449,23.07,-4.811
-8.883,-452,23.1,-4.662
-9.011,-455,23.13,-4.576
-9.092,-458,23.16,-4.53
-8.855,-460,23.19,-4.566
-8.841,-463,23.22,-4.535
-8.835,-466,23.25,-4.519
-8.69,-469,23.28,-4.353
-8.856,-472,23.31,-4.389
-8.84,-474,23.34,-3.873
-8.929,-477,23.37,-4.141
-9.028,-480,23.4,-4.098
-8.778,-483,23.43,-4.124
-8.86,-485,23.46,-4.143
-8.858,-488,23.49,-3.927
-8.892,-491,23.52,-3.948
-8.887,-494,23.55,-4.02
-8.965,-497,23.58,-4.114
-8.85,-499,23.61,-4.015
-8.94,-502,23.64,-4.156
-8.893,-505,23.67,-4.316
-8.921,-508,23.7,-4.413
-8.999,-511,23.73,-4.505
-8.943,-513,23.76,-4.732
-8.847,-516,23.79,-4.723
-8.9,-519,23.82,-4.693
-8.801,-525,23.88,-4.776
-8.852,-528,23.91,-4.859
-8.652,-530,23.94,-4.46
-8.803,-533,23.97,-4.756
-8.702,-536,24,-4.699
-8.717,-539,24.03,-4.561
-8.8,-542,24.06,-4.671
-8.751,-544,24.09,-4.474
-8.731,-547,24.12,-4.623
-8.879,-550,24.15,-4.715
-8.71,-553,24.18,-4.685
-8.676,-555,24.21,-4.667
-8.73,-558,24.24,-4.941
-8.702,-561,24.27,-4.729
-9.007,-564,24.3,-4.794
-8.779,-566,24.33,-4.868
-8.74,-569,24.36,-4.87
-8.747,-572,24.39,-4.904
-8.728,-575,24.42,-4.781
-8.726,-577,24.45,-4.793
-8.802,-580,24.48,-4.995
-8.685,-583,24.51,-4.981
-8.655,-586,24.54,-4.722
-8.758,-589,24.57,-4.969
-8.695,-591,24.6,-4.946
-8.717,-594,24.63,-4.843
-8.652,-597,24.66,-4.935
-8.64,-600,24.69,-5
-8.669,-603,24.72,-5.037
-8.752,-608,24.78,-5.279
-8.687,-611,24.81,-5.202
-8.665,-614,24.84,-5.129
-8.516,-617,24.87,-4.981
-8.672,-620,24.9,-5.282
-8.718,-622,24.93,-5.189
-8.691,-625,24.96,-5.208
-8.75,-628,24.99,-5.201
-8.599,-634,25.05,-4.975
-8.611,-636,25.08,-5.383
-8.652,-639,25.11,-5.207
-8.765,-642,25.14,-5.125
-8.737,-645,25.17,-5.338
-8.881,-647,25.2,-5.281
-8.702,-650,25.23,-5.309
-8.694,-653,25.26,-5.221
-8.724,-656,25.29,-5.186
-8.731,-658,25.32,-5.2
-8.733,-661,25.35,-5.196
-8.737,-664,25.38,-5.299
-8.801,-667,25.41,-5.381
-8.794,-669,25.44,-5.423
-8.777,-672,25.47,-5.531
-8.732,-675,25.5,-5.244
-8.814,-678,25.53,-5.472
-8.874,-681,25.56,-5.742
-8.77,-683,25.59,-5.625
-8.682,-686,25.62,-5.604
-8.694,-692,25.68,-5.574
-8.773,-695,25.71,-5.637
-8.789,-698,25.74,-5.609
-8.817,-700,25.77,-5.625
-8.728,-703,25.8,-5.516
-8.754,-706,25.83,-5.464
-8.795,-709,25.86,-5.561
-8.822,-712,25.89,-5.491
-8.761,-714,25.92,-5.486
-8.804,-717,25.95,-5.589
-8.787,-720,25.98,-5.436
-8.818,-723,26.01,-5.405
-8.79,-726,26.04,-5.393
-8.814,-729,26.07,-5.393
-8.893,-731,26.1,-5.326
-8.744,-734,26.13,-5.26
-8.768,-737,26.16,-5.154
-8.786,-740,26.19,-5.274
-8.803,-743,26.22,-5.381
-8.704,-746,26.25,-5.251
-8.714,-748,26.28,-5.205
-8.86,-751,26.31,-5.136
-8.776,-754,26.34,-5.186
-8.727,-757,26.37,-5.141
-8.655,-760,26.4,-4.956
-8.723,-762,26.43,-5.039
-8.622,-765,26.46,-4.934
-8.584,-768,26.49,-4.993
-8.722,-771,26.52,-5.029
