deuteriumExcess (permil),year (AD),depth (cm)
6.96108,1871,NA
6.111228571,1870,NA
11.0485,1869,NA
7.10615,1868,NA
10.25675,1867,NA
9.931826667,1866,NA
9.29176,1865,NA
9.64004,1864,NA
8.41356,1863,NA
9.047552,1862,NA
7.33583,1861,NA
4.98618,1860,NA
6.87603,1859,NA
5.944656,1858,NA
9.49752,1857,NA
10.71852,1856,NA
8.646348,1855,NA
11.22344,1854,NA
10.99236,1853,NA
9.42662,1852,NA
11.32128,1851,NA
10.173736,1850,NA
5.45316,1849,NA
10.05296,1848,NA
8.629168,1847,NA
8.6096,1846,NA
7.40216,1845,NA
9.12688,1844,NA
9.01932,1843,NA
7.10872,1842,NA
8.66876,1841,NA
5.31336,1840,NA
8.93551,1839,NA
7.403544,1838,NA
6.21376,1837,NA
10.50748,1836,NA
6.16512,1835,NA
6.6373,1834,NA
8.12198,1833,NA
6.11422,1832,NA
9.5462,1830,NA
7.99556,1829,NA
4.915813333,1828,NA
15.69644,1827,NA
6.20178,1826,NA
6.42588,1825,NA
6.6882,1824,NA
5.8915,1823,NA
7.9806,1822,NA
5.331053333,1821,NA
7.511933333,1820,NA
13.878,1819,NA
8.14556,1818,NA
7.70028,1817,NA
6.924508571,1816,NA
6.051853333,1815,NA
12.00554,1813,NA
7.1002,1812,NA
10.05494,1811,NA
12.16396,1810,NA
3.1122,1809,NA
9.1972,1808,NA
9.3676,1807,NA
8.16128,1806,NA
8.16732,1804,NA
8.96618,1803,NA
6.8388,1802,NA
2.57616,1801,NA
4.84692,1799,NA
3.60884,1798,NA
5.63696,1797,NA
7.98484,1796,NA
6.00448,1795,NA
-1.82296,1794,NA
9.25444,1793,NA
7.47364,1791,NA
9.0376,1790,NA
10.10404,1789,NA
7.65868,1788,NA
8.39672,1787,NA
4.677,1786,NA
8.54044,1785,NA
8.0896,1784,NA
4.91654,1783,NA
6.68432,1782,NA
4.37612,1781,NA
8.3237,1780,NA
7.35016,1779,NA
10.62908,1778,NA
6.90462,1777,NA
3.5734,1776,NA
8.6406,1775,NA
7.87184,1773,NA
10.39482,1772,NA
8.57364,1771,NA
6.99798,1770,NA
9.38032,1769,NA
7.3558,1768,NA
8.405186667,1767,NA
5.48628,1766,NA
7.028448,1765,NA
6.805022857,1764,NA
4.82332,1763,NA
2.95474,1762,NA
3.624853333,1761,NA
4.38574,1760,NA
4.93615,1759,NA
9.67858,1758,NA
6.179853333,1757,NA
6.317466667,1756,NA
5.948626667,1755,NA
5.965064,1754,NA
25.233,1753,NA
10.71056,1752,NA
7.76752,1751,NA
7.49596,1750,NA
8.57618,1749,NA
9.08552,1748,NA
6.78032,1747,NA
9.96996,1746,NA
6.55568,1745,NA
12.10928,1744,NA
2.58408,1743,NA
14.13732,1742,NA
6.92612,1741,NA
7.5246,1740,NA
2.53964,1737,NA
12.0764,1736,NA
2.4448,1734,NA
10.36104,1733,NA
11.7692,1730,NA
4.61416,1729,NA
9.17172,1727,NA
5.3364,1725,NA
8.8466,1724,NA
8.48896,1723,NA
10.09492,1722,NA
5.63088,1721,NA
6.09192,1720,NA
4.85108,1719,NA
11.58728,1718,NA
5.20616,1717,NA
7.0641,1714,NA
8.44748,1712,NA
6.58936,1710,NA
11.51684,1709,NA
7.08164,1707,NA
11.95248,1706,NA
6.71472,1705,NA
9.32444,1699,NA
6.25708,1698,NA
10.47416,1697,NA
7.01672,1696,NA
7.6358,1695,NA
6.76988,1694,NA
14.37696,1692,NA
9.24692,1689,NA
11.24188,1686,NA
4.52916,1683,NA
8.85736,1680,NA
5.76736,1679,NA
10.45488,1678,NA
3.94988,1675,NA
8.2576,1674,NA
5.16784,1671,NA
15.43544,1669,NA
0.84168,1668,NA
10.28572,1666,NA
5.69844,1664,NA
9.02992,1663,NA
2.24348,1662,NA
7.16396,1660,NA
5.42864,1658,NA
8.94756,1657,NA
5.5136,1655,NA
8.64888,1653,NA
5.26048,1651,NA
10.45616,1649,NA
4.91372,1648,NA
5.87268,1646,NA
10.76984,1644,NA
-1.06336,1641,NA
6.72284,1639,NA
6.01256,1638,NA
7.05748,1636,NA
-2.6858,1633,NA
7.7362,1632,NA
12.64172,1630,NA
9.29628,1628,NA
9.44332,1627,NA
11.5788,1625,NA
11.04828,1623,NA
8.06992,1621,NA
8.94836,1619,NA
11.25624,1618,NA
9.96212,1617,NA
8.02512,1615,NA
3.25572,1614,NA
10.40148,1612,NA
4.3408,1610,NA
11.40952,1608,NA
3.20144,1607,NA
9.63852,1605,NA
3.29148,1603,NA
8.91684,1601,NA
4.16276,1600,NA
7.95904,1598,NA
11.61908,1597,NA
8.71434,1596,NA
7.36132,1595,NA
7.56666,1594,NA
10.91584,1593,NA
7.96788,1592,NA
6.6868,1591,NA
11.9495,1590,NA
8.5661,1589,NA
10.45076,1588,NA
13.22664,1587,NA
12.04686,1586,NA
12.00194,1585,NA
9.12156,1584,NA
8.60742,1583,NA
12.32718,1582,NA
12.2786,1581,NA
9.42324,1580,NA
11.82992,1579,NA
10.18434,1578,NA
11.27496,1577,NA
11.4167,1576,NA
13.3214,1575,NA
6.45252,1573,NA
9.4462,1571,NA
4.68996,1569,NA
-2.75648,1568,NA
7.36144,1565,NA
-1.46764,1564,NA
4.43816,1562,NA
-0.89372,1560,NA
6.4686,1558,NA
-1.79232,1556,NA
7.989,1554,NA
0.76204,1553,NA
9.60476,1550,NA
11.04968,1548,NA
7.33296,1545,NA
-1.78248,1544,NA
9.48336,1541,NA
-4.76156,1539,NA
8.34772,1537,NA
13.74048,1535,NA
10.91248,1533,NA
9.00728,1531,NA
13.4444,1529,NA
7.60864,1527,NA
11.99364,1523,NA
9.83556,1521,NA
12.71644,1518,NA
12.4898,1516,NA
10.2204,1514,NA
12.59116,1512,NA
10.21752,1509,NA
12.09656,1505,NA
9.95004,1502,NA
11.2658,1499,NA
11.36696,1497,NA
9.31648,1495,NA
10.22448,1492,NA
12.39028,1489,NA
13.83548,1486,NA
8.5654,1484,NA
9.04256,1481,NA
8.61328,1478,NA
10.18288,1475,NA
8.17452,1473,NA
9.98652,1468,NA
12.48284,1465,NA
11.65532,1462,NA
11.8416,1459,NA
10.9808,1456,NA
4.70432,1453,NA
11.37844,1450,NA
11.13796,1448,NA
10.96484,1446,NA
15.52428,1444,NA
14.89417333,1443,NA
11.5012,1442,NA
10.47866667,1441,NA
9.01538,1440,NA
8.15396,1439,NA
10.12046667,1438,NA
10.248,1437,NA
11.09214,1436,NA
9.066506667,1435,NA
9.03432,1434,NA
8.54672,1433,NA
7.2635,1432,NA
10.8252,1431,NA
7.25816,1424,NA
11.27196,1421,NA
10.29064,1417,NA
12.86612,1414,NA
14.28612,1410,NA
14.75044,1406,NA
14.92664,1403,NA
15.23268,1400,NA
10.1236,1396,NA
13.75584,1393,NA
13.642760000000001,1389,NA
12.3658,1386,NA
10.57768,1382,NA
10.1246,1373,NA
10.58676,1371,NA
11.85864,1360,NA
7.96676,1355,NA
12.03964,1351,NA
8.42212,1339,NA
11.018,1337,NA
13.01036,1323,NA
9.76456,1318,NA
7.91464,1305,NA
10.34028,1296,NA
8.22216,1290,NA
10.91552,1260,NA
7.55544,1252,NA
12.31532,1247,NA
6.88608,1230,NA
11.37168,1216,NA
8.87772,1207,NA
10.36284,1163,NA
8.75012,1149,NA
10.0042,1122,NA
9.51376,1110,NA
10.66092,1102,NA
9.14636,1093,NA
7.00984,1063,NA
8.091,1052,NA
8.68736,1043,NA
7.77612,1029,NA
9.09652,1015,NA
8.75552,1001,NA
12.59972,985,NA
10.03952,964,NA
12.1974,950,NA
8.35876,930,NA
8.36496,909,NA
8.1292,881,NA
9.96848,863,NA
7.72224,836,NA
7.13812,777,NA
