d18O (permil),year (AD),depth (cm),core (),d18O (permil)
NA,1155,267,D13902,0.14
NA,1146,268,D13902,0.22
NA,1138,269,D13902,-0.05
0.68,1129,270,D13902,0.32
NA,1121,271,D13902,0.09
NA,1112,272,D13902,0.22
NA,1104,273,D13902,-0.12
NA,1095,274,D13902,-0.03
NA,1087,275,D13902,-0.02
NA,1078,276,D13902,0.34
NA,1070,277,D13902,0.09
NA,1061,278,D13902,0.07
NA,1053,279,D13902,0.04
0.73,1044,280,D13902,0.3
NA,1036,281,D13902,-0.23
NA,1027,282,D13902,0.14
NA,1019,283,D13902,0.1
NA,1010,284,D13902,0.35
NA,1002,285,D13902,0.46
NA,990,286,D13902,-0.02
NA,979,287,D13902,0.07
NA,967,288,D13902,0.22
NA,956,289,D13902,0.16
NA,944,290,D13902,0.15
NA,933,291,D13902,0.16
NA,921,292,D13902,0.12
NA,910,293,D13902,0.44
NA,898,294,D13902,0.03
NA,887,295,D13902,-0.05
NA,875,296,D13902,0.1
NA,864,297,D13902,0.2
NA,852,298,D13902,0.2
0.67,840,299,D13902,-0.05
NA,829,300,D13902,0.31
NA,817,301,D13902,-0.15
NA,806,302,D13902,-0.01
NA,794,303,D13902,-0.21
NA,783,304,D13902,-0.04
NA,771,305,D13902,0.01
NA,760,306,D13902,0.12
NA,748,307,D13902,0.12
NA,737,308,D13902,0.03
NA,725,309,D13902,-0.2
NA,714,310,D13902,0.46
NA,633,318,D13902,-0.03
0.53,624,319,D13902,0.19
NA,615,320,D13902,0.58
NA,606,321,D13902,0.04
NA,596,322,D13902,0.09
NA,587,323,D13902,0.01
NA,578,324,D13902,0.05
NA,569,325,D13902,0.02
NA,560,326,D13902,0.45
NA,550,327,D13902,-0.1
NA,541,328,D13902,0.46
NA,532,329,D13902,-0.27
0.44,523,330,D13902,0.12
NA,514,331,D13902,-0.06
NA,504,332,D13902,0.22
NA,495,333,D13902,0.08
NA,486,334,D13902,0.2
NA,477,335,D13902,0.16
NA,468,336,D13902,0.32
NA,459,337,D13902,-0.23
NA,449,338,D13902,0.45
0.75,440,339,D13902,0.11
NA,431,340,D13902,0.37
NA,421,341,D13902,0.3
NA,411,342,D13902,-0.02
NA,401,343,D13902,0.17
NA,391,344,D13902,0.19
NA,381,345,D13902,-0.2
NA,371,346,D13902,0.25
NA,361,347,D13902,0.28
NA,351,348,D13902,0.36
NA,341,349,D13902,0.13
NA,331,350,D13902,0.56
NA,321,351,D13902,0.31
NA,311,352,D13902,0.49
NA,301,353,D13902,0.56
NA,291,354,D13902,0.4
NA,281,355,D13902,0.11
NA,271,356,D13902,0.43
NA,261,357,D13902,0
NA,251,358,D13902,0.55
NA,241,359,D13902,0.15
0.79,231,360,D13902,0.52
NA,221,361,D13902,0.17
NA,211,362,D13902,0.52
NA,201,363,D13902,0.22
NA,190,364,D13902,0.26
NA,180,365,D13902,0.24
NA,170,366,D13902,0.19
NA,160,367,D13902,0.07
NA,150,368,D13902,0.18
NA,140,369,D13902,-0.3
0.71,130,370,D13902,-0.12
NA,120,371,D13902,0.25
NA,110,372,D13902,0.18
NA,100,373,D13902,0.18
NA,90,374,D13902,0.24
NA,80,375,D13902,0.26
NA,70,376,D13902,0.13
NA,60,377,D13902,0.23
NA,50,378,D13902,-0.07
NA,40,379,D13902,0.35
NA,30,380,D13902,0.47
NA,20,381,D13902,0.05
NA,10,382,D13902,0.36
NA,0,383,D13902,-0.07
NA,-10,384,D13902,0.23
NA,-20,385,D13902,0.22
NA,-30,386,D13902,0.48
NA,-40,387,D13902,-0.05
NA,-50,388,D13902,0.6
NA,-59,389,D13902,-0.35
0.69,-68,390,D13902,0.02
NA,-76,391,D13902,-0.14
NA,-85,392,D13902,0.1
NA,-94,393,D13902,0.2
NA,-103,394,D13902,0.21
NA,-111,395,D13902,0.17
NA,-120,396,D13902,0.06
NA,-129,397,D13902,0.34
NA,-138,398,D13902,0.16
NA,-146,399,D13902,0
0.7,-155,400,D13902,0.08
