d18O (permil),year (AD),depth (cm),MgCa (mmol/mol),temperature (degC),d18O (permil)
0.77,-11700.4,700,3.94,27.06,-1.7
0.669,-11830.7,702,3.99,27.2,-1.83
0.954,-11895.9,703,4.05,27.366,-1.58
0.552,-11961.1,704,3.76,26.54,-1.81
0.636,-12091.5,706,3.8,26.658,-1.75
0.936,-12221.9,708,3.9,26.947,-1.51
0.628,-12352.3,710,3.87,26.861,-1.8
0.978,-12482.7,712,3.82,26.716,-1.42
0.754,-12547.9,713,3.83,26.745,-1.65
0.956,-12613.1,714,3.67,26.271,-1.35
0.946,-12743.5,716,3.9,26.947,-1.5
0.964,-12873.8,718,3.7,26.362,-1.36
0.904,-13004.2,720,3.7,26.362,-1.42
0.939,-13134.6,722,3.66,26.241,-1.36
0.844,-13199.8,723,3.93,27.032,-1.62
0.814,-13265,724,3.78,26.599,-1.56
0.971,-13511.5,726,3.71,26.392,-1.36
1.16,-13758,728,3.94,27.06,-1.31
1.119,-14004.4,730,3.49,25.712,-1.07
1.269,-14250.9,732,3.55,25.902,-0.96
1.042,-14374.2,733,3.57,25.964,-1.2
1.218,-14497.4,734,3.92,27.003,-1.24
0.906,-14743.9,736,3.8,26.658,-1.48
1.301,-14990.4,738,4.01,27.256,-1.21
1.197,-15236.9,740,3.72,26.421,-1.14
1.292,-15483.3,742,3.76,26.54,-1.07
1.036,-15606.6,743,3.41,25.455,-1.1
1.186,-15729.8,744,3.67,26.271,-1.12
1.136,-15976.3,746,3.5,25.744,-1.06
1.206,-16222.8,748,3.41,25.455,-0.93
1.197,-16469.3,750,3.61,26.088,-1.07
1.399,-16715.8,752,3.74,26.481,-0.95
1.138,-16839,753,3.34,25.224,-0.95
1.125,-16944.4,754,3.38,25.357,-0.99
1.416,-17155.2,756,3.53,25.839,-0.8
1.209,-17366,758,3.55,25.902,-1.02
1.511,-17576.8,760,3.71,26.392,-0.82
1.002,-17787.5,762,3.54,25.87,-1.22
1.11,-17892.9,763,3.63,26.149,-1.17
1.036,-17998.3,764,3.41,25.455,-1.1
1.166,-18209.1,766,3.53,25.839,-1.05
0.964,-18419.9,768,3.32,25.158,-1.11
1.459,-18630.7,770,3.66,26.241,-0.84
1.002,-18841.5,772,3.54,25.87,-1.22
0.812,-18946.9,773,3.39,25.389,-1.31
0.608,-19052.3,774,3.34,25.224,-1.48
1.066,-19263.1,776,3.21,24.783,-0.93
1.036,-19684.6,780,3.41,25.455,-1.1
1.053,-19895.4,782,3.65,26.21,-1.24
1.057,-20000.8,783,3.315,25.127,-1.01
0.748,-20106.2,784,3.34,25.224,-1.34
1.124,-20317,786,3.7,26.362,-1.2
1.226,-20533,788,3.44,25.552,-0.93
0.835,-20749,790,3.56,25.933,-1.4
1.232,-20965,792,3.57,25.964,-1.01
1.056,-21073,793,3.47,25.649,-1.12
1.252,-21181,794,3.57,25.964,-0.99
1.162,-21397,796,3.51,25.776,-1.04
1.013,-21613,798,3.29,25.057,-1.04
0.973,-21829,800,3.45,25.584,-1.19
1.082,-22045,802,3.42,25.487,-1.06
0.885,-22153,803,3.14,24.538,-1.06
1.091,-22261,804,3.6,26.057,-1.17
1.102,-22477,806,3.51,25.776,-1.1
0.889,-22693,808,3.4,25.422,-1.24
0.909,-22909,810,3.4,25.422,-1.22
1.184,-23125,812,3.62,26.119,-1.09
1.355,-23233,813,3.56,25.933,-0.88
0.847,-23341,814,3.61,26.088,-1.42
0.992,-23557,816,3.57,25.964,-1.25
0.87,-23773,818,3.63,26.149,-1.41
1.129,-24060.1,822,3.74,26.481,-1.22
0.912,-24131.8,823,3.42,25.487,-1.23
1.439,-24203.6,824,3.74,26.481,-0.91
0.838,-24347.1,826,3.34,25.224,-1.25
0.572,-24490.6,828,3.39,25.389,-1.55
1.522,-24634.2,830,3.86,26.832,-0.9
1.424,-24777.7,832,3.62,26.119,-0.85
1.028,-24849.4,833,3.37,25.324,-1.08
0.771,-24921.2,834,3.26,24.955,-1.26
0.932,-25064.7,836,3.42,25.487,-1.21
0.764,-25208.3,838,3.18,24.679,-1.21
0.975,-25351.8,840,3.38,25.357,-1.14
1.136,-25495.3,842,3.47,25.649,-1.04
0.641,-25567.1,843,3.33,25.191,-1.44
0.978,-25638.8,844,3.37,25.324,-1.13
0.787,-25782.4,846,3.24,24.886,-1.23
1.039,-25925.9,848,3.49,25.712,-1.15
0.931,-26069.4,850,3.33,25.191,-1.15
1.052,-26212.9,852,3.57,25.964,-1.19
1.255,-26284.7,853,3.56,25.933,-0.98
1.171,-26356.5,854,3.6,26.057,-1.09
0.829,-26500,856,3.43,25.52,-1.32
1.168,-26643.5,858,3.69,26.332,-1.15
0.813,-26787.1,860,3.48,25.68,-1.37
0.551,-26930.6,862,3.19,24.714,-1.43
0.809,-27002.3,863,3.49,25.712,-1.38
0.723,-27074.1,864,3.22,24.818,-1.28
0.671,-27217.6,866,3.26,24.955,-1.36
0.956,-27361.2,868,3.44,25.552,-1.2
0.743,-27504.7,870,3.48,25.68,-1.44
0.92,-27648.2,872,3.63,26.149,-1.36
0.931,-27720,873,3.6,26.057,-1.33
0.842,-27791.7,874,3.51,25.776,-1.36
0.709,-27935.3,876,3.52,25.807,-1.5
0.889,-28078.8,878,3.55,25.902,-1.34
0.682,-28222.3,880,3.54,25.87,-1.54
1.203,-28365.8,882,3.48,25.68,-0.98
0.905,-28437.6,883,3.56,25.933,-1.33
0.731,-28509.4,884,3.36,25.291,-1.37
0.782,-28796.4,888,3.51,25.776,-1.42
0.718,-28939.9,890,3.34,25.224,-1.37
0.879,-29083.5,892,3.4,25.422,-1.25
0.646,-29155.2,893,3.28,25.023,-1.4
0.946,-29227,894,3.44,25.552,-1.21
0.833,-29358.1,896,3.48,25.68,-1.35
1.14,-29489.1,898,3.63,26.149,-1.14
1.026,-29620.2,900,3.44,25.552,-1.13
0.892,-29751.2,902,3.39,25.389,-1.23
1.322,-29816.7,903,3.54,25.87,-0.9
1.019,-29882.3,904,3.52,25.807,-1.19
0.951,-30013.3,906,3.33,25.191,-1.13
0.821,-30144.4,908,3.26,24.955,-1.21
0.924,-30275.4,910,3.62,26.119,-1.35
1.102,-30406.5,912,3.51,25.776,-1.1
0.882,-30472,913,3.51,25.776,-1.32
0.968,-30537.5,914,3.34,25.224,-1.12
1.008,-30668.6,916,3.37,25.324,-1.1
0.698,-30799.6,918,3.34,25.224,-1.39
0.589,-30930.7,920,3.49,25.712,-1.6
0.781,-31061.7,922,3.36,25.291,-1.32
0.628,-31127.2,923,3.34,25.224,-1.46
0.703,-31192.8,924,3.45,25.584,-1.46
0.567,-31323.8,926,3.09,24.36,-1.34
0.828,-31454.9,928,3.34,25.224,-1.26
0.905,-31585.9,930,3.59,26.026,-1.35
0.912,-31717,932,3.57,25.964,-1.33
0.624,-31782.5,933,3.35,25.257,-1.47
0.916,-31848,934,3.47,25.649,-1.26
0.524,-31979.1,936,3.25,24.921,-1.5
0.883,-32110.1,938,3.48,25.68,-1.3
0.461,-32241.2,940,3.26,24.955,-1.57
0.617,-32372.2,942,3.13,24.503,-1.32
0.739,-32437.7,943,3.43,25.52,-1.41
0.696,-32503.3,944,3.28,25.023,-1.35
0.819,-32634.3,946,3.43,25.52,-1.33
0.67,-32765.4,948,3.63,26.149,-1.61
0.503,-32896.4,950,3.45,25.584,-1.66
0.832,-33027.5,952,3.51,25.776,-1.37
0.559,-33093,953,3.49,25.712,-1.63
1.112,-33158.5,954,3.81,26.687,-1.28
0.785,-33289.6,956,3.56,25.933,-1.45
