d18O (permil),year (AD),Sr_Ca (mmol/mol),d13C (permil)
-5,1988.46,8.86,-1.17
-4.96,1988.37,8.832,-0.85
-5.18,1988.29,8.813,-0.78
-5.19,1988.21,8.842,-0.93
-5.17,1988.12,8.79,-0.7
-5.12,1988.04,8.838,-0.62
-4.97,1987.95,8.877,-0.76
-4.76,1987.87,8.835,-0.79
-4.64,1987.79,8.84,-0.92
-4.45,1987.7,8.894,-1.13
-4.59,1987.62,9.005,-1.22
-4.72,1987.56,8.984,-1.1
-4.87,1987.51,8.933,-0.76
-4.81,1987.45,8.94,-0.88
-4.95,1987.39,8.905,-1.04
-5.09,1987.34,8.864,-0.96
-5.11,1987.28,8.906,-0.99
-5.08,1987.22,8.826,-1.07
-5.08,1987.16,8.816,-0.92
-5.22,1987.11,8.82,-0.89
-5.02,1987.05,8.825,-0.78
-5.02,1986.99,8.849,-0.78
-4.88,1986.94,8.846,-0.87
-4.73,1986.88,8.875,-0.97
-4.7,1986.82,8.881,-0.95
-4.7,1986.77,8.939,-0.72
-4.77,1986.71,8.949,-1.06
-4.69,1986.64,8.938,-1.12
-4.77,1986.57,8.899,-0.99
-4.84,1986.5,8.907,-1.02
-5.01,1986.43,8.88,-1.23
-5.19,1986.36,8.855,-1.18
-5.26,1986.29,8.832,-1.25
-5.23,1986.22,8.816,-1.07
-5.28,1986.15,8.805,-1.04
-5.25,1986.09,8.805,-0.78
-5.2,1986.02,8.764,-0.93
-5.02,1985.95,8.836,-1.01
-4.97,1985.88,8.836,-1.28
-4.99,1985.81,8.872,-1.25
-5,1985.74,8.903,-1.19
-5.01,1985.67,8.929,-1.12
-4.96,1985.6,8.919,-1.25
-4.98,1985.53,8.936,-1.3
-5.04,1985.46,8.944,-1.35
-4.92,1985.4,8.897,-1.14
-5.01,1985.34,8.882,-0.74
-5.05,1985.27,8.823,-0.83
-5.16,1985.21,8.805,-0.6
-5.17,1985.15,8.807,-0.71
-5.17,1985.09,8.812,-0.84
-5.08,1985.02,8.818,-0.83
-4.89,1984.96,8.84,-1.02
-4.86,1984.9,8.865,-0.68
-4.89,1984.84,8.874,-0.82
-4.89,1984.77,8.846,-0.83
-5,1984.71,8.839,-1.04
-5.09,1984.65,8.873,-1.25
-5.17,1984.59,8.917,-1.32
-5.16,1984.52,8.875,-0.97
-5.23,1984.46,8.882,-1.03
-5.24,1984.4,8.872,-1.11
-5.25,1984.34,8.851,-1.02
-5.24,1984.27,8.802,-0.95
-5.17,1984.21,8.791,-1.01
-5.01,1984.14,8.806,-1.04
-5.01,1984.06,8.843,-0.83
-5.08,1983.99,8.857,-0.85
-5.04,1983.91,8.864,-1
-4.71,1983.84,8.867,-0.73
-4.55,1983.77,8.882,-0.87
-4.4,1983.69,8.905,-0.87
-4.33,1983.62,8.989,-0.84
-4.27,1983.57,8.963,-0.96
-4.41,1983.52,8.915,-1.06
-4.6,1983.47,8.944,-1.06
-4.68,1983.42,8.933,-1.09
-4.8,1983.37,8.875,-0.78
-4.9,1983.32,8.872,-0.45
-4.99,1983.26,8.834,-0.56
-5.03,1983.21,8.881,-0.69
-5.08,1983.16,8.86,-0.68
-5.06,1983.11,8.901,-0.84
-4.84,1983.06,8.889,-1.03
-4.77,1983.01,8.876,-1.41
-4.88,1983,8.863,-1.15
-4.82,1982.96,8.931,-0.84
-4.79,1982.95,8.889,-0.84
-4.78,1982.87,8.954,-0.99
-4.78,1982.86,8.88,-1.13
-4.78,1982.79,9.029,-1.08
-4.77,1982.76,8.951,-0.99
-4.77,1982.7,9.03,-0.98
-4.83,1982.67,9,-1.2
-4.88,1982.62,8.993,-1.31
-4.74,1982.57,8.979,-1.26
-4.98,1982.54,9.021,-1.2
-5.07,1982.47,9.01,-1.27
-5.12,1982.46,8.946,-1.18
-5.18,1982.42,8.93,-1.03
-5.23,1982.41,8.911,-1.07
-5.27,1982.37,8.913,-1.11
-5.28,1982.36,8.94,-1.07
-5.24,1982.33,8.911,-1.19
-5.24,1982.31,8.954,-1.19
-5.3,1982.29,8.855,-1.01
-5.28,1982.26,8.875,-0.92
-5.25,1982.24,8.875,-0.84
-5.23,1982.2,8.892,-0.8
-5.22,1982.19,8.877,-0.81
-5.19,1982.14,8.88,-0.75
-5.21,1982.12,8.909,-0.78
-5.16,1982.09,8.874,-1.03
-5.05,1982.08,8.889,-1.21
-4.91,1982.04,8.872,-1.06
-4.88,1982.02,8.892,-1.01
-4.88,1981.99,8.897,-0.98
-4.8,1981.96,8.851,-0.81
-4.63,1981.93,8.951,-0.73
-4.61,1981.82,8.981,-0.95
-4.62,1981.72,8.995,-1.01
-4.96,1981.62,9.015,-1.16
-4.94,1981.54,8.983,-1.07
-5.09,1981.47,8.922,-0.92
-5.21,1981.39,8.922,-0.84
-5.23,1981.32,8.857,-0.64
-5.25,1981.24,8.863,-0.39
-5.22,1981.16,8.831,-0.59
-5.1,1981.09,8.826,-0.79
-4.93,1981.01,8.857,-0.72
-4.7,1980.94,8.855,-0.95
-4.63,1980.86,8.902,-1.14
-4.54,1980.79,8.915,-0.96
-4.44,1980.71,8.989,-0.98
-4.56,1980.66,8.991,-0.98
-4.58,1980.62,8.99,-1.06
-4.59,1980.57,8.942,-1.19
-4.63,1980.51,8.908,-1.23
-4.66,1980.46,8.869,-1.13
-4.68,1980.41,8.884,-1.06
-4.81,1980.36,8.872,-0.91
-5,1980.3,8.854,-0.75
-5,1980.25,8.84,-0.79
-4.99,1980.2,8.856,-0.51
-5.21,1980.15,8.859,-0.57
-5.12,1980.09,8.842,-0.66
-5.07,1980.04,8.79,-0.57
-4.73,1979.88,8.869,-0.83
-4.63,1979.71,8.94,-0.77
-4.53,1979.63,8.929,-0.93
-4.71,1979.54,8.957,-1.16
-4.8,1979.5,8.943,-1.15
-4.85,1979.47,8.876,-1.14
-4.91,1979.43,8.909,-1.17
-4.96,1979.39,8.899,-0.96
-5.02,1979.36,8.894,-0.68
-5.04,1979.32,8.854,-0.61
-5.06,1979.28,8.866,-0.62
-5.09,1979.25,8.854,-0.58
-5.15,1979.21,8.816,-0.59
-5.01,1979.11,8.819,-0.54
-4.82,1979.01,8.884,-0.85
-4.66,1978.91,8.922,-1
-4.54,1978.81,8.941,-0.93
-4.48,1978.71,8.991,-0.95
-4.48,1978.66,8.949,-1.04
-4.5,1978.61,8.953,-1.1
-4.55,1978.56,8.918,-1.14
-4.58,1978.51,8.894,-1.14
-4.55,1978.46,8.878,-1.04
-4.52,1978.42,8.874,-0.95
-4.62,1978.37,8.887,-0.96
-4.75,1978.32,8.884,-1
-4.83,1978.27,8.892,-0.94
-4.89,1978.22,8.883,-0.83
-4.94,1978.17,8.838,-0.65
-5.04,1978.12,8.82,-0.8
-4.81,1978.04,8.853,-0.93
-4.57,1977.96,8.912,-0.9
-4.62,1977.87,8.895,-0.98
-4.64,1977.79,8.956,-0.94
-4.65,1977.71,8.985,-1.04
-4.66,1977.58,8.967,-1.12
-4.66,1977.46,8.905,-1.11
-4.86,1977.34,8.864,-1.21
-5.01,1977.21,8.9,-0.86
-5.08,1977.08,8.858,-0.87
-4.92,1976.96,8.89,-0.85
-4.78,1976.83,8.866,-0.97
-4.78,1976.71,8.91,-1.1
-4.73,1976.59,8.877,-1.37
-4.9,1976.47,8.863,-1.51
-5.16,1976.36,8.839,-1.2
-5.24,1976.24,8.819,-0.63
-5.13,1976.12,8.802,-0.45
-4.99,1975.93,8.855,-0.81
-4.79,1975.73,8.94,-0.75
-4.76,1975.54,8.934,-0.87
-4.81,1975.51,8.929,-0.85
-4.85,1975.48,8.936,-0.83
-4.87,1975.45,8.902,-0.9
-4.89,1975.42,8.874,-1.01
-4.91,1975.39,8.844,-1.12
-4.94,1975.36,8.821,-1.04
-5.01,1975.33,8.806,-0.66
-5.11,1975.3,8.804,-0.69
-5.14,1975.27,8.804,-0.7
-5.15,1975.24,8.815,-0.68
-5.18,1975.21,8.774,-0.59
-5.16,1975.13,8.809,-0.45
-5.2,1975.04,8.823,-0.9
-5.04,1974.96,8.821,-1.08
-4.91,1974.88,8.88,-0.97
-4.85,1974.79,8.885,-0.82
-4.87,1974.71,8.888,-0.85
-5.02,1974.57,8.892,-1
-5.09,1974.43,8.835,-1
-5.11,1974.29,8.805,-0.78
-5.2,1974.24,8.816,-0.72
-5.14,1974.2,8.817,-0.79
-5.09,1974.15,8.812,-0.85
-5.11,1974.1,8.815,-0.81
-5.03,1974.06,8.796,-0.62
-4.83,1974.01,8.817,-0.43
-4.76,1973.96,8.849,-0.52
-4.78,1973.92,8.834,-0.74
-4.72,1973.87,8.821,-0.88
-4.63,1973.75,8.873,-0.79
-4.66,1973.62,8.934,-0.85
-4.67,1973.56,8.926,-0.88
-4.71,1973.51,8.918,-0.9
-4.73,1973.45,8.88,-0.92
-4.75,1973.4,8.884,-0.91
-4.81,1973.34,8.866,-0.74
-4.86,1973.29,8.857,-0.73
-4.88,1973.23,8.843,-0.81
-4.87,1973.18,8.804,-0.92
-4.88,1973.12,8.795,-0.69
-4.86,1973.04,8.827,-0.43
-4.76,1972.96,8.88,-0.59
-4.7,1972.87,8.912,-0.91
-4.45,1972.79,8.944,-0.84
-4.41,1972.71,8.989,-0.83
-4.43,1972.65,8.95,-1.22
-4.5,1972.59,8.984,-1.09
-4.54,1972.52,8.98,-1.37
-4.72,1972.46,8.954,-1.2
-4.94,1972.4,8.957,-1.03
-5.08,1972.34,8.922,-1.13
-4.99,1972.28,8.867,-0.98
-4.9,1972.22,8.82,-0.71
-4.96,1972.15,8.845,-0.79
-4.97,1972.09,8.906,-0.95
-4.86,1972.03,8.873,-1.22
-4.85,1971.97,8.888,-1.2
-4.84,1971.91,8.897,-1.15
-4.86,1971.84,8.846,-1.14
-4.89,1971.78,8.837,-1.17
-4.93,1971.72,8.867,-1.21
-4.9,1971.66,8.854,-1.16
-4.83,1971.6,8.864,-1.07
-4.79,1971.53,8.879,-1.03
-4.85,1971.47,8.902,-1.24
-5,1971.41,8.892,-1.45
-5.02,1971.35,8.845,-1.35
-5.07,1971.29,8.781,-1.19
-5.07,1971.23,8.85,-1.08
-5,1971.16,8.837,-0.96
-5.03,1971.1,8.836,-0.9
-5.12,1971.04,8.82,-0.92
-5.08,1971,8.839,-0.81
-5.15,1970.97,8.877,-0.96
-5.19,1970.93,8.904,-0.95
-5.15,1970.89,8.866,-0.98
-5.05,1970.86,8.89,-1.15
-4.92,1970.82,8.895,-1.1
-4.81,1970.78,8.895,-0.88
-4.71,1970.75,8.899,-0.79
-4.65,1970.71,8.952,-0.89
-4.66,1970.65,8.956,-1.08
-4.67,1970.6,8.95,-1.05
-4.71,1970.54,8.959,-0.99
-4.76,1970.48,8.869,-0.91
-4.8,1970.41,8.87,-0.9
-4.84,1970.35,8.857,-0.94
-4.9,1970.28,8.846,-0.85
-5,1970.22,8.771,-0.45
-5.11,1970.15,8.817,-0.46
-5.05,1970.09,8.802,-0.65
-4.81,1970.02,8.809,-0.78
-4.75,1969.96,8.824,-0.87
-4.65,1969.85,8.862,-0.7
-4.62,1969.73,8.892,-0.76
-4.55,1969.62,8.932,-1.13
-4.51,1969.57,8.917,-1.21
-4.48,1969.51,8.897,-1.2
-4.46,1969.46,8.842,-1.01
-4.85,1969.41,8.803,-0.84
-4.98,1969.36,8.81,-0.86
-5.05,1969.3,8.777,-0.85
-5.09,1969.25,8.768,-0.6
-5.01,1969.2,8.8,-0.81
-4.82,1969.15,8.775,-0.87
-4.66,1969.09,8.778,-0.92
-4.69,1969.04,8.78,-0.96
-4.77,1968.96,8.805,-0.98
-4.79,1968.87,8.844,-0.89
-4.68,1968.79,8.889,-0.82
-4.66,1968.71,8.882,-0.8
-4.86,1968.63,8.86,-0.86
-4.94,1968.54,8.836,-0.93
-4.97,1968.46,8.864,-0.99
-4.95,1968.4,8.845,-0.99
-5.06,1968.35,8.805,-1
-5.07,1968.29,8.81,-0.78
-5.12,1968.23,8.803,-0.69
-5.2,1968.18,8.795,-0.84
-5.15,1968.12,8.8,-0.81
-5.14,1968.04,8.791,-0.82
-4.85,1967.95,8.811,-0.56
-4.84,1967.87,8.824,-0.96
-4.83,1967.79,8.818,-1.12
-4.9,1967.71,8.819,-0.99
-4.74,1967.62,8.856,-0.89
-4.91,1967.54,8.875,-0.92
-4.94,1967.49,8.854,-0.94
-4.93,1967.45,8.841,-0.93
-4.89,1967.4,8.846,-0.9
-4.98,1967.35,8.814,-0.89
-5.18,1967.3,8.806,-0.91
-5.13,1967.26,8.772,-0.88
-5.24,1967.21,8.765,-0.62
-5.13,1967.09,8.809,-0.63
-4.94,1966.97,8.798,-0.71
-4.75,1966.86,8.802,-0.8
-4.59,1966.74,8.848,-0.82
-4.5,1966.62,8.935,-0.78
-4.5,1966.56,8.898,-0.92
-4.52,1966.5,8.884,-1.06
-4.57,1966.44,8.904,-1.06
-4.63,1966.38,8.866,-1.03
-4.7,1966.32,8.84,-0.95
-4.83,1966.26,8.784,-0.91
-4.98,1966.2,8.801,-0.91
-4.91,1966.14,8.77,-0.61
-5.01,1966.08,8.83,-0.5
-4.86,1966.02,8.834,-0.82
-4.71,1965.96,8.845,-1
-4.59,1965.75,8.962,-1.09
-4.64,1965.54,8.973,-1.4
-4.82,1965.45,8.89,-1.22
-5,1965.37,8.846,-1.02
-5.06,1965.31,8.873,-0.77
-5.06,1965.24,8.801,-0.71
-5.12,1965.18,8.783,-0.62
-5.08,1965.12,8.744,-0.42
-5.02,1965.06,8.748,-0.39
-4.96,1964.99,8.778,-0.71
-4.73,1964.93,8.77,-0.73
-4.61,1964.87,8.742,-0.77
-4.6,1964.81,8.768,-0.92
-4.54,1964.74,8.849,-1.03
-4.66,1964.68,8.877,-1.11
-4.87,1964.62,8.924,-1.02
-4.82,1964.56,8.881,-0.96
-4.76,1964.49,8.866,-0.93
-4.92,1964.42,8.846,-0.96
-4.99,1964.36,8.878,-1.01
-4.93,1964.3,8.853,-0.86
-5.01,1964.23,8.852,-0.86
-5.03,1964.17,8.846,-0.88
-4.88,1964.1,8.84,-0.67
-4.79,1964.03,8.88,-0.92
-4.73,1963.97,8.847,-1.09
-4.73,1963.9,8.879,-0.99
-4.72,1963.84,8.924,-0.84
-4.7,1963.77,8.891,-0.87
-4.7,1963.71,8.968,-0.92
-4.76,1963.66,8.942,-1.01
-4.85,1963.61,8.912,-1.05
-4.84,1963.55,8.932,-0.96
-4.88,1963.5,8.87,-0.89
-5.06,1963.45,8.828,-0.95
-5.12,1963.39,8.818,-0.99
-5.13,1963.34,8.819,-0.96
-5.2,1963.29,8.792,-0.97
-5.15,1963.19,8.796,-0.91
-5.12,1963.1,8.794,-0.9
-4.88,1963,8.817,-0.87
-4.89,1962.9,8.822,-0.8
-4.81,1962.81,8.839,-0.85
-4.76,1962.71,8.905,-1.03
-4.83,1962.65,8.898,-1.09
-4.93,1962.6,8.878,-1.12
-5.01,1962.54,8.908,-1.15
-5.03,1962.48,8.88,-1.28
-5.11,1962.43,8.867,-1.28
-5.22,1962.37,8.783,-1.21
-5.24,1962.33,8.835,-1.15
-5.24,1962.29,8.799,-1.1
-5.22,1962.25,8.806,-1.03
-5.2,1962.21,8.762,-0.88
-5.27,1962.16,8.753,-0.89
-5.21,1962.12,8.781,-1.02
-5.14,1962.08,8.838,-0.89
-5.13,1962.04,8.806,-0.72
-5.02,1962,8.811,-0.78
-4.86,1961.96,8.803,-0.7
-4.96,1961.88,8.857,-0.91
-4.56,1961.79,8.852,-1.17
-4.48,1961.71,8.878,-0.88
-4.61,1961.63,8.851,-0.9
-4.74,1961.54,8.85,-1
-4.79,1961.46,8.816,-1.08
-4.83,1961.38,8.8,-1.11
-4.98,1961.29,8.802,-1.01
-5.21,1961.21,8.774,-0.98
-5.18,1961.15,8.779,-0.81
-5.09,1961.1,8.791,-0.91
-4.93,1961.04,8.798,-0.7
-4.86,1960.98,8.812,-0.67
-4.84,1960.93,8.816,-0.81
-4.78,1960.87,8.79,-0.71
-4.74,1960.79,8.874,-0.7
-4.68,1960.7,8.888,-0.66
-4.62,1960.62,8.895,-0.57
-4.72,1960.52,8.832,-0.57
-4.96,1960.42,8.861,-0.82
-5.06,1960.32,8.849,-0.91
-5.14,1960.22,8.758,-0.81
-5.15,1960.12,8.747,-0.78
-5,1960.07,8.769,-0.59
-4.94,1960.02,8.776,-0.54
-4.97,1959.97,8.796,-0.67
-4.97,1959.92,8.781,-0.84
-4.94,1959.87,8.78,-1.01
-4.88,1959.82,8.792,-1.15
-4.8,1959.77,8.79,-1.19
-4.73,1959.72,8.815,-1.11
-4.71,1959.67,8.828,-1.01
-4.7,1959.62,8.85,-0.94
-4.61,1959.54,8.835,-1.1
-4.52,1959.46,8.831,-1.22
-4.74,1959.37,8.828,-1.17
-4.95,1959.29,8.803,-0.97
-4.97,1959.21,8.77,-0.83
-4.95,1959.15,8.771,-0.64
-4.95,1959.09,8.792,-0.54
-4.92,1959.02,8.811,-0.69
-4.75,1958.96,8.826,-0.52
-4.68,1958.9,8.81,-0.45
-4.57,1958.84,8.825,-0.57
-4.44,1958.77,8.812,-0.59
-4.23,1958.71,8.859,-0.51
-4.15,1958.65,8.861,-0.5
-4.3,1958.6,8.856,-0.53
-4.42,1958.54,8.863,-0.61
-4.5,1958.46,8.822,-0.68
-4.66,1958.38,8.823,-0.6
-4.72,1958.29,8.789,-0.39
-4.73,1958.21,8.739,-0.4
-4.7,1958.16,8.769,-0.39
-4.74,1958.12,8.774,-0.42
-4.77,1958.08,8.759,-0.46
-4.75,1958.04,8.821,-0.47
-4.74,1957.99,8.839,-0.42
-4.69,1957.95,8.856,-0.57
-4.69,1957.91,8.881,-0.85
-4.72,1957.87,8.867,-1.14
-4.67,1957.82,8.859,-1.19
-4.49,1957.78,8.92,-1.03
-4.47,1957.74,8.93,-0.98
-4.44,1957.66,8.874,-0.92
-4.49,1957.58,8.828,-1.05
-4.67,1957.5,8.796,-1.18
-4.87,1957.42,8.771,-1.11
-5.01,1957.34,8.781,-0.78
-5.05,1957.26,8.749,-0.7
-5.2,1957.2,8.757,-0.7
-5.11,1957.13,8.753,-0.73
-4.95,1957.08,8.757,-0.79
-4.65,1957.01,8.764,-1.1
-4.71,1956.94,8.774,-1.21
-4.74,1956.87,8.854,-1.01
-4.73,1956.78,8.872,-0.87
-4.69,1956.71,8.91,-0.93
-4.79,1956.63,8.907,-1.1
-4.92,1956.45,8.869,-1.01
-5.08,1956.37,8.802,-0.94
-5.1,1956.32,8.812,-0.85
-5.14,1956.28,8.844,-0.91
-5.18,1956.23,8.857,-0.96
-5.2,1956.18,8.836,-0.92
-5.19,1956.13,8.816,-0.88
-5.16,1956.09,8.81,-0.94
-5.11,1956.04,8.804,-0.94
-4.9,1955.91,8.838,-0.98
-4.75,1955.78,8.901,-0.92
-4.78,1955.71,8.897,-0.81
-4.83,1955.65,8.878,-1.01
-4.83,1955.58,8.885,-1.12
-4.8,1955.52,8.886,-1.1
-4.79,1955.45,8.833,-1.1
-4.91,1955.38,8.773,-1.12
-5.03,1955.31,8.796,-1.01
-5.03,1955.25,8.798,-0.96
-5.06,1955.18,8.782,-0.94
-5.05,1955.13,8.785,-0.89
-5.04,1955.09,8.79,-0.79
-5.02,1955.04,8.796,-0.62
-5.02,1954.99,8.861,-0.53
-5.07,1954.94,8.87,-0.56
-5.06,1954.9,8.894,-0.61
-4.88,1954.84,8.912,-0.75
-4.79,1954.59,8.916,-0.84
-4.82,1954.51,8.86,-1.17
-4.82,1954.44,8.885,-1
-4.79,1954.36,8.842,-0.66
-4.91,1954.27,8.834,-0.45
-4.89,1954.2,8.83,-0.5
-4.87,1954.12,8.791,-0.85
-4.82,1954.04,8.825,-0.98
-4.79,1953.97,8.828,-1.01
-4.79,1953.89,8.809,-0.81
-4.76,1953.81,8.869,-0.79
-4.68,1953.73,8.917,-0.96
-4.68,1953.65,8.933,-0.97
-4.75,1953.57,8.893,-0.97
-4.88,1953.49,8.889,-1.06
-4.94,1953.42,8.845,-1.02
-4.97,1953.34,8.819,-1.02
-5.08,1953.26,8.829,-1.04
-5.15,1953.18,8.808,-0.76
-5.04,1953.1,8.816,-0.59
-4.96,1953.02,8.829,-0.47
-4.92,1952.95,8.786,-0.68
-4.85,1952.87,8.868,-0.67
-4.74,1952.79,8.909,-0.6
-4.82,1952.72,8.908,-0.64
-4.75,1952.63,8.944,-0.82
-4.85,1952.56,8.915,-0.82
-4.89,1952.49,8.901,-0.72
-4.9,1952.42,8.904,-0.63
-4.9,1952.36,8.923,-0.55
-4.92,1952.29,8.854,-0.5
-4.96,1952.22,8.822,-0.48
-5,1952.04,8.822,-0.39
-4.87,1951.96,8.892,-0.62
-4.69,1951.88,8.873,-0.75
-4.57,1951.79,8.936,-0.61
-4.58,1951.71,8.982,-0.56
-4.62,1951.66,8.983,-0.71
-4.72,1951.59,8.963,-1.03
-4.82,1951.54,8.942,-1.06
-4.9,1951.49,8.932,-0.99
-4.99,1951.43,8.932,-1.03
-5.09,1951.37,8.94,-1.15
-5.13,1951.32,8.919,-0.91
-5.17,1951.26,8.846,-0.81
-5.11,1951.21,8.833,-0.93
-5.06,1951.16,8.84,-0.98
-5.13,1951.09,8.823,-0.79
-5.19,1951.04,8.843,-0.67
-5.06,1950.99,8.852,-0.81
-5.05,1950.93,8.831,-1.03
-5.02,1950.87,8.851,-1.05
-4.9,1950.82,8.936,-0.85
-4.76,1950.76,8.919,-0.72
-4.79,1950.71,8.954,-0.93
-4.89,1950.64,8.934,-0.83
-4.94,1950.56,8.922,-0.86
-4.95,1950.49,8.919,-0.94
-5,1950.42,8.877,-1.14
-5.09,1950.34,8.83,-1.25
-5.09,1950.27,8.829,-1.06
-5.1,1950.21,8.862,-0.87
-5.15,1950.13,8.837,-0.72
-5.1,1950.06,8.766,-0.61
-5.17,1949.99,8.886,-0.68
-5.08,1949.91,8.871,-0.72
-4.79,1949.84,8.873,-0.75
-4.75,1949.77,8.895,-0.74
-4.79,1949.69,8.903,-0.73
-4.78,1949.62,8.957,-0.72
-4.79,1949.57,8.937,-0.73
-4.81,1949.5,8.874,-0.75
-4.87,1949.44,8.882,-0.84
-4.99,1949.38,8.817,-1.06
-5.06,1949.32,8.841,-1.16
-5.12,1949.25,8.829,-1.14
-5.13,1949.19,8.81,-1.17
-5.18,1949.13,8.812,-1.07
-5.15,1949.07,8.819,-0.82
-5.01,1949.01,8.819,-0.72
-4.96,1948.94,8.853,-0.8
-4.83,1948.88,8.825,-0.98
-4.78,1948.83,8.838,-1
-4.77,1948.77,8.944,-1.03
-4.69,1948.7,8.956,-1.08
-4.53,1948.64,8.965,-1.05
-4.52,1948.57,8.885,-1.04
-4.57,1948.5,8.866,-1.04
-4.6,1948.43,8.862,-1.03
-4.76,1948.36,8.844,-0.96
-4.95,1948.29,8.785,-0.86
-4.94,1948.22,8.804,-0.84
-5.05,1948.15,8.861,-0.77
-4.84,1948.09,8.853,-1.01
-4.68,1948.03,8.82,-1.09
-4.65,1947.96,8.856,-0.79
-4.54,1947.89,8.812,-0.72
-4.42,1947.82,8.83,-0.79
-4.46,1947.75,8.886,-0.82
-4.46,1947.68,8.939,-0.95
-4.53,1947.61,8.929,-1.1
-4.86,1947.54,8.936,-1.25
-5.04,1947.43,8.798,-1.31
-5.03,1947.38,8.802,-0.88
-4.99,1947.33,8.803,-0.76
-5,1947.27,8.796,-0.74
-5.02,1947.22,8.794,-0.54
-4.98,1947.17,8.809,-0.29
-4.9,1947.12,8.798,-0.72
-4.82,1947.07,8.818,-0.57
-4.74,1947.01,8.841,-0.37
-4.67,1946.96,8.831,-0.47
-4.58,1946.83,8.9,-0.59
-4.53,1946.71,8.937,-0.6
-4.52,1946.62,8.933,-0.66
-4.67,1946.51,8.844,-0.73
-4.88,1946.42,8.839,-0.63
-5.14,1946.31,8.799,-0.69
-5.19,1946.21,8.777,-0.72
-5.2,1946.16,8.777,-0.62
-5.1,1946.1,8.794,-0.54
-4.94,1946.04,8.766,-0.51
-4.78,1945.98,8.779,-0.62
-4.66,1945.92,8.811,-0.81
-4.68,1945.86,8.823,-1
-4.73,1945.79,8.852,-1.04
-4.79,1945.74,8.846,-0.95
-4.72,1945.67,8.904,-0.84
-4.65,1945.62,8.913,-0.8
-4.71,1945.48,8.889,-0.94
-4.94,1945.35,8.802,-0.77
-5.14,1945.21,8.757,-0.91
-5.14,1945.15,8.773,-0.8
-5.08,1945.09,8.797,-0.68
-4.99,1945.02,8.812,-0.68
-4.85,1944.96,8.782,-0.83
-4.73,1944.89,8.829,-0.88
-4.73,1944.84,8.857,-1.06
-4.71,1944.78,8.876,-0.98
-4.59,1944.71,8.956,-0.95
-4.65,1944.65,8.912,-1.05
-4.83,1944.59,8.906,-1.2
-4.97,1944.54,8.862,-1.14
-5.07,1944.48,8.876,-1.05
-5.18,1944.42,8.878,-1.04
-5.23,1944.36,8.832,-1.04
-5.18,1944.3,8.799,-0.92
-5.11,1944.25,8.83,-0.81
-5.08,1944.19,8.809,-0.93
-5.17,1944.13,8.799,-0.95
-5.21,1944.08,8.829,-0.77
-5.1,1944.01,8.82,-0.79
-4.95,1943.96,8.824,-0.85
-4.96,1943.9,8.843,-0.92
-5.06,1943.83,8.867,-0.83
-4.74,1943.77,8.881,-0.89
-4.69,1943.7,8.901,-0.91
-4.8,1943.64,8.903,-0.94
-4.86,1943.57,8.895,-1.13
-4.95,1943.5,8.832,-1.1
-4.98,1943.43,8.801,-1.01
-5,1943.35,8.803,-0.91
-5.05,1943.29,8.835,-1.03
-4.94,1943.22,8.788,-0.92
-4.91,1943.08,8.798,-0.74
