d18O (permil),year (AD),d18O (permil) [2-1],year (AD) [2-1],depth (cm) [2-1]
-27.85,941,-26.5014,1770,NA
-27.31,946,-27.19,1769,NA
-26.55,951,-26.8023,1768,NA
-26.36,956,-28.6687,1767,NA
-26.87,961,-27.9693,1766,NA
-28.01,966,-26.4512,1765,NA
-27.34,971,-25.6891,1764,NA
-28.18,976,-26.2504,1763,NA
-27.88,981,-27.8666,1762,NA
-27.95,986,-27.93,1761,NA
-28.88,991,-28.3106,1760,NA
-29.51,996,-28.7077,1759,NA
-28.94,1001,-29.2084,1758,NA
-28.43,1006,-28.9351,1757,NA
-27.9,1011,-28.7246,1756,NA
-28.08,1016,-29.3344,1755,NA
-27.75,1021,-29.7976,1754,NA
-27.38,1026,-28.93,1753,NA
-27.62,1031,-26.7393,1752,NA
-28.63,1036,-27.3462,1751,NA
-28.28,1041,-27.9204,1750,NA
-27.72,1046,-28.0558,1749,NA
-28.03,1051,-27.9805,1748,NA
-28.23,1056,-27.02,1747,NA
-28.57,1061,-28.1844,1746,NA
-28.61,1066,-30.1199,1745,NA
-28.22,1071,-29.893,1744,NA
-27.5,1076,-29.0258,1743,NA
-26.76,1081,-27.9204,1742,NA
-26.84,1086,-25.9974,1741,NA
-27.58,1091,-25.93,1740,NA
-28.52,1096,-28.2601,1739,NA
-27.72,1101,-29.0921,1738,NA
-27.31,1106,-28.7964,1737,NA
-28.23,1111,-28.3382,1736,NA
-28.41,1116,-28.4618,1735,NA
-28.27,1121,-26.92,1734,NA
-27.65,1126,-26.8162,1733,NA
-28,1131,-26.5346,1732,NA
-28.19,1136,-28.69,1731,NA
-27.65,1141,-28.9095,1730,NA
-28.57,1146,-27.7962,1729,NA
-28.45,1151,-28.6319,1728,NA
-28.71,1156,-27.78,1727,NA
-28.24,1161,-27.8598,1726,NA
-28.59,1166,-28.8935,1725,NA
-28.85,1171,-28.0525,1724,NA
-27.83,1176,-27.7788,1723,NA
-27.25,1181,-27.9062,1722,NA
-27.41,1186,-28.0499,1721,NA
-28.29,1191,-29.0852,1720,NA
-28.26,1196,-30.63,1719,NA
-27.56,1201,-28.8263,1718,NA
-28.03,1206,-30.0715,1717,NA
-27.01,1211,-30.1983,1716,NA
-27.56,1216,-28.911,1715,NA
-27.89,1221,-27.6072,1714,NA
-27.72,1226,-27.76,1713,NA
-26.98,1231,-26.494,1712,NA
-26.08,1236,-27.2404,1711,NA
-27.3,1241,-27.9849,1710,NA
-27.1,1246,-28.7483,1709,NA
-28.32,1251,-29.26,1708,NA
-27.12,1256,-29.0522,1707,NA
-28.06,1261,-29.08,1706,NA
-27.99,1266,-29.264,1705,NA
-27.9,1271,-28.3305,1704,NA
-28.18,1276,-28.6994,1703,NA
-27.41,1281,-28.5751,1702,NA
-28.45,1286,-27.6345,1701,NA
-28.59,1291,-27.6406,1700,NA
-29.51,1296,-29.43,1699,NA
-27.6,1301,-30.5267,1698,NA
-28.24,1306,-29.3429,1697,NA
-27.96,1311,-28.6795,1696,NA
-27.98,1316,-28.2895,1695,NA
-28.12,1321,-27.9114,1694,NA
-28.34,1326,-27.8476,1693,NA
-28,1331,-29.18,1692,NA
-28.64,1336,-29.1297,1691,NA
-28.12,1341,-29.5508,1690,NA
-28.42,1346,-29.1589,1689,NA
-27.54,1351,-28.2532,1688,NA
-27.7,1356,-28.1534,1687,NA
-27.3,1361,-28.8,1686,NA
-27.06,1366,-29.0194,1685,NA
-26.71,1371,-28.5321,1684,NA
-26.21,1376,-28.5006,1683,NA
-26.42,1381,-28.7124,1682,NA
-27.68,1386,-28.8572,1681,NA
-28.44,1391,-29.58,1680,NA
-28.09,1396,-27.9772,1679,NA
-27.42,1401,-27.3077,1678,NA
-27.04,1406,-26.6992,1677,NA
-28.04,1411,-26.39,1676,NA
-28.19,1416,-26.6693,1675,NA
-28.15,1421,-27.7797,1674,NA
-28.84,1426,-27.77,1673,NA
-28.81,1431,-28.8402,1672,NA
-27.71,1436,-27.5387,1671,NA
-26.86,1441,-26.6407,1670,NA
-27.17,1446,-27.1814,1669,NA
-27.18,1451,-28.841,1668,NA
-27.18,1456,-29.76,1667,NA
-27.57,1461,-26.0213,1666,NA
-28.04,1466,-27.4039,1665,NA
-27.67,1471,-29.1022,1664,NA
-27.62,1476,-29.8375,1663,NA
-27.98,1481,-29.5168,1662,NA
-28.03,1486,-28.3562,1661,NA
-28.53,1491,-27.2186,1660,NA
-28.14,1496,-26.39,1659,NA
-27.45,1501,-25.9101,1658,NA
-28.26,1506,-27.0454,1657,NA
-28.52,1511,-28.3811,1656,NA
-28.58,1516,-28.7973,1655,NA
-29.34,1521,-28.4987,1654,NA
-28.29,1526,-28.4081,1653,NA
-28.03,1531,-28.5066,1652,NA
-26.7,1536,-26.2632,1651,NA
-27.57,1541,-26.99,1650,NA
-28.28,1546,-29.2378,1649,NA
-26.91,1551,-28.2483,1648,NA
-28.22,1556,-27.9102,1647,NA
-29.33,1561,-27.8811,1646,NA
-27.61,1566,-27.3287,1645,NA
-28.78,1571,-26.7596,1644,NA
-27.36,1576,-28.73,1643,NA
-27.06,1581,-29.8774,1642,NA
-28.05,1586,-28.9727,1641,NA
-27.79,1591,-29.1964,1640,NA
-27.67,1596,-29.4112,1639,NA
-27.86,1601,-28.9445,1638,NA
-28.76,1606,-27.9889,1637,NA
-27.81,1611,-27.34,1636,NA
-28.8,1616,-26.7822,1635,NA
-27.32,1621,-27.4715,1634,NA
-27.7,1626,-26.8477,1633,NA
-28.08,1631,-26.2522,1632,NA
-26.83,1636,-26.9358,1631,NA
-29.24,1641,-28.3856,1630,NA
-28.36,1646,-27.8181,1629,NA
-28.51,1651,-28.31,1628,NA
-28.33,1656,-29.7601,1627,NA
-27.54,1661,-29.5163,1626,NA
-28.55,1666,-27.2258,1625,NA
-27.82,1671,-26.6381,1624,NA
-27.06,1676,-26.7123,1623,NA
-28.38,1681,-26.9912,1622,NA
-28.51,1686,-27.7638,1621,NA
-28.6,1691,-27.092,1620,NA
-28.64,1696,-26.57,1619,NA
-28.5,1701,-28.8429,1618,NA
-28.76,1706,-29.0534,1617,NA
-28.23,1711,-29.9293,1616,NA
-28.34,1716,-30.2252,1615,NA
-28.81,1721,-29.4131,1614,NA
-27.95,1726,-28.3995,1613,NA
-28.29,1731,-28.0609,1612,NA
-27.87,1736,-28.56,1611,NA
-27.79,1741,-27.487,1610,NA
-28.71,1746,-27.0556,1609,NA
-27.93,1751,-28.1854,1608,NA
-28.88,1756,-29.1188,1607,NA
-28.8,1761,-29.3029,1606,NA
-26.92,1766,-29.8526,1605,NA
-27.11,1771,-30.1206,1604,NA
-28.42,1776,-28.2309,1603,NA
-27.64,1781,-27.2262,1602,NA
-28.04,1786,-26.1385,1601,NA
-28.78,1791,-26.95,1600,NA
-27.64,1796,-28.5904,1599,NA
-28.05,1801,-29.2589,1598,NA
-28.15,1806,-29.35,1597,NA
-28.17,1811,-28.6469,1596,NA
-28.57,1816,-28.2544,1595,NA
-28.23,1821,-28.2473,1594,NA
-29.24,1826,-28.3075,1593,NA
-27.76,1831,-28.016,1592,NA
-27.47,1836,-27.7561,1591,NA
-27.77,1841,-28.6883,1590,NA
-28.24,1846,-28.8032,1589,NA
-28.2,1851,-29.9999,1588,NA
-28.64,1856,-27.77,1587,NA
-27.7,1861,-28.3099,1586,NA
-28.25,1866,-28.3685,1585,NA
-26.94,1871,-27.4166,1584,NA
-28.66,1876,-27.7188,1583,NA
-28.1,1881,-27.5325,1582,NA
-28.43,1886,-27.1324,1581,NA
-27.85,1891,-27.3532,1580,NA
-27.31,1896,-27.0813,1579,NA
-27.51,1901,-25.3265,1578,NA
-28.83,1906,-27.0205,1577,NA
-28.26,1911,-25.94,1576,NA
-27.33,1916,-27.0595,1575,NA
-27.61,1921,-27.5072,1574,NA
-26.46,1926,-29.1761,1573,NA
-27.58,1931,-29.0928,1572,NA
-27.19,1936,-28.9299,1571,NA
-27.84,1941,-29.23,1570,NA
-26.92,1946,-28.8443,1569,NA
-27.26,1951,-28.755,1568,NA
-27.05,1956,-28.2979,1567,NA
-27.68,1961,-28.7052,1566,NA
-28.36,1966,-27.0577,1565,NA
-28.03,1971,-26.4774,1564,NA
NA,NA,-27.9029,1563,NA
NA,NA,-29.0159,1562,NA
NA,NA,-28.9525,1561,NA
NA,NA,-28.8591,1560,NA
NA,NA,-29.0105,1559,NA
NA,NA,-28.8444,1558,NA
NA,NA,-28.062,1557,NA
NA,NA,-27.4452,1556,NA
NA,NA,-28.2045,1555,NA
NA,NA,-28.7437,1554,NA
NA,NA,-27.6838,1553,NA
NA,NA,-26.599,1552,NA
NA,NA,-25.9353,1551,NA
NA,NA,-26.4039,1550,NA
NA,NA,-28.0508,1549,NA
NA,NA,-27.4177,1548,NA
NA,NA,-25.4727,1547,NA
NA,NA,-25.4922,1546,NA
NA,NA,-27.2513,1545,NA
NA,NA,-30.39,1544,NA
NA,NA,-29.1507,1543,NA
NA,NA,-27.4821,1542,NA
NA,NA,-27.9939,1541,NA
NA,NA,-29.3157,1540,NA
NA,NA,-27.8509,1539,NA
NA,NA,-25.4287,1538,NA
NA,NA,-26.6695,1537,NA
NA,NA,-26.2585,1536,NA
NA,NA,-25.3716,1535,NA
NA,NA,-26.8431,1534,NA
NA,NA,-27.03,1533,NA
NA,NA,-28.5223,1532,NA
NA,NA,-27.51,1531,NA
NA,NA,-27.6458,1530,NA
NA,NA,-29.4493,1529,NA
NA,NA,-28.563,1528,NA
NA,NA,-28.5598,1527,NA
NA,NA,-27.1477,1526,NA
NA,NA,-28.0309,1525,NA
NA,NA,-26.678,1524,NA
NA,NA,-29.1091,1523,NA
NA,NA,-31.6928,1522,NA
NA,NA,-31.215,1521,NA
NA,NA,-30.0697,1520,NA
NA,NA,-29.2537,1519,NA
NA,NA,-28.1578,1518,NA
NA,NA,-28.5329,1517,NA
NA,NA,-27.0897,1516,NA
NA,NA,-27.5075,1515,NA
NA,NA,-27.74,1514,NA
NA,NA,-28.575,1513,NA
NA,NA,-28.2398,1512,NA
NA,NA,-27.96,1511,NA
NA,NA,-27.3147,1510,NA
NA,NA,-28.1228,1509,NA
