d18O (permil),year (AD),depth (cm),d18O (permil),d18O (permil),core (unitless),d18O (permil)
NA,1574,2.3,NA,0.69,POS287_06-3G,0.79
NA,1572,2.31,1,0.84,POS287_06-3G,0.41
NA,1537,2.5,0.81,NA,POS287_06-3G,NA
NA,1528,2.55,NA,NA,POS287_06-3G,0.91
NA,1519,2.6,NA,NA,POS287_06-3G,1.29
NA,1509,2.65,0.91,NA,POS287_06-3G,0.53
NA,1500,2.7,NA,0.83,POS287_06-3G,0.2
NA,1491,2.75,1.08,1.31,POS287_06-3G,1.12
NA,1481,2.8,0.58,0.8,POS287_06-3G,0.67
NA,1480,2.81,0.7,NA,POS287_06-3G,0.76
NA,1479,2.81,NA,0.66,POS287_06-3G,NA
NA,1472,2.85,1.45,0.89,POS287_06-3G,0.41
NA,1463,2.9,0.76,0.8,POS287_06-3G,0.56
NA,1454,2.95,0.66,0.69,POS287_06-3G,1.42
NA,1444,3,0.75,0.97,POS287_06-3G,0.16
NA,1435,3.05,0.75,0.77,POS287_06-3G,0.33
NA,1426,3.1,1.43,0.86,POS287_06-3G,0.63
NA,1417,3.15,1.04,NA,POS287_06-3G,0.5
NA,1416,3.15,NA,0.9,POS287_06-3G,NA
NA,1407,3.2,0.94,0.91,POS287_06-3G,0.5
NA,1398,3.25,1.06,0.82,POS287_06-3G,0.61
NA,1389,3.3,0.95,0.79,POS287_06-3G,0.16
NA,1380,3.35,0.64,NA,POS287_06-3G,0.68
NA,1379,3.35,NA,0.71,POS287_06-3G,NA
NA,1370,3.4,0.91,0.73,POS287_06-3G,0.74
NA,1361,3.45,1.08,0.78,POS287_06-3G,0.5
NA,1352,3.5,0.67,0.89,POS287_06-3G,0.53
NA,1350,3.51,1,0.91,POS287_06-3G,0.17
NA,1343,3.55,0.84,NA,POS287_06-3G,0.5
NA,1342,3.55,NA,0.84,POS287_06-3G,NA
NA,1333,3.6,1.02,0.76,POS287_06-3G,0.68
NA,1324,3.65,0.77,0.79,POS287_06-3G,0.61
NA,1315,3.7,0.79,0.7,POS287_06-3G,0.27
NA,1306,3.75,0.99,NA,POS287_06-3G,-0.21
NA,1305,3.75,NA,0.71,POS287_06-3G,NA
NA,1296,3.8,0.74,0.83,POS287_06-3G,0.55
NA,1287,3.85,0.68,0.8,POS287_06-3G,0.07
NA,1278,3.9,0.55,0.9,POS287_06-3G,0.78
NA,1269,3.95,0.74,NA,POS287_06-3G,0.49
NA,1268,3.95,NA,0.79,POS287_06-3G,NA
NA,1261,3.99,0.81,0.76,POS287_06-3G,0.38
NA,1259,4,0.88,0.79,POS287_06-3G,NA
NA,1257,4.01,0.87,0.58,POS287_06-3G,0.64
NA,1250,4.05,0.79,0.8,POS287_06-3G,0.04
NA,1241,4.1,1.03,0.68,POS287_06-3G,0.75
NA,1231,4.15,0.81,0.77,POS287_06-3G,0.57
NA,1226,4.18,0.61,0.77,POS287_06-3G,0.13
NA,1224,4.19,0.79,0.73,POS287_06-3G,0.59
NA,1222,4.2,0.72,0.75,POS287_06-3G,0.57
NA,1222,4.2,0.9,NA,POS287_06-3G,NA
NA,1213,4.25,0.92,0.61,POS287_06-3G,0.83
NA,1204,4.3,NA,0.68,POS287_06-3G,0.41
NA,1194,4.35,1.2,NA,POS287_06-3G,0.31
NA,1185,4.4,0.67,0.91,POS287_06-3G,0.59
NA,1176,4.45,0.74,0.71,POS287_06-3G,0.56
NA,1169,4.49,0.77,NA,POS287_06-3G,0.43
NA,1168,4.49,NA,0.77,POS287_06-3G,NA
NA,1167,4.5,NA,NA,POS287_06-3G,1.46
NA,1166,4.5,NA,1.08,POS287_06-3G,NA
NA,1165,4.51,0.93,0.78,POS287_06-3G,0.56
NA,1157,4.55,NA,0.8,POS287_06-3G,0.6
NA,1148,4.6,NA,0.61,POS287_06-3G,0.64
NA,1139,4.65,0.79,0.77,POS287_06-3G,0.54
NA,1130,4.7,0.65,NA,POS287_06-3G,-0.18
NA,1129,4.7,NA,0.83,POS287_06-3G,NA
NA,1120,4.75,1.27,0.74,POS287_06-3G,0.63
NA,1111,4.8,0.73,0.9,POS287_06-3G,NA
NA,1102,4.85,0.94,0.8,POS287_06-3G,NA
NA,1083,4.95,0.8,0.98,POS287_06-3G,1.39
