d18O (permil),year (AD),temperature (degC),Mg_Ca (mmol/mol),depth (cm),core (),d18O (permil)
-0.66,1411.22,27.67,4.33,52.5,34GGC,-3.26
NA,1409.77,NA,NA,96,32GGC,-3.03
-0.5,1407.16,27.88,4.42,53.5,34GGC,-3.14
-0.37,1394.97,28.28,4.59,56.5,34GGC,-3.09
-0.37,1392.6,27.64,4.57,97,32GGC,-2.96
-0.34,1390.91,28.76,4.81,57.5,34GGC,-3.16
-0.38,1386.84,27.4,4.22,58.5,34GGC,-2.92
-0.31,1386.32,28.18,4.8,100,32GGC,-3.02
-0.1,1384.23,27.71,4.6,101,32GGC,-2.7
NA,1382.78,NA,NA,59.5,34GGC,-3.15
NA,1380.23,NA,NA,111,32GGC,-2.78
-0.12,1373.77,28.5,4.94,106,32GGC,-2.89
-0.09,1366.53,28.3,4.6,63.5,34GGC,-2.82
NA,1362.47,NA,NA,64.5,34GGC,-3.38
NA,1360.54,NA,NA,121,32GGC,-2.93
NA,1358.57,NA,NA,122,32GGC,-2.95
-0.3,1358.41,27.63,4.32,65.5,34GGC,-2.89
-0.1,1354.94,28.16,4.79,115,32GGC,-2.8
-0.45,1352.85,28.24,4.82,116,32GGC,-3.17
NA,1350.69,NA,NA,126,32GGC,-2.88
-0.35,1350.28,28.44,4.66,67.5,34GGC,-3.11
-0.43,1342.16,27.78,4.38,69.5,34GGC,-3.05
NA,1340.85,NA,NA,131,32GGC,-3.03
-0.09,1334.03,28.28,4.6,71.5,34GGC,-2.81
NA,1332.97,NA,NA,135,32GGC,-3.05
-0.31,1317.78,28.15,4.54,75.5,34GGC,-3.01
-0.42,1301.53,28.21,4.56,79.5,34GGC,-3.13
NA,1293.41,NA,NA,81.5,34GGC,-3.11
NA,1286.91,NA,NA,141,32GGC,-2.9
NA,1285.28,NA,NA,83.5,34GGC,-3.28
NA,1277.16,NA,NA,85.5,34GGC,-2.97
NA,1269.27,NA,NA,143,32GGC,-2.99
-0.31,1260.91,27.97,4.46,89.5,34GGC,-2.97
0.08,1252.78,28.77,4.81,91.5,34GGC,-2.75
NA,1244.66,NA,NA,93.5,34GGC,-3.03
NA,1236.53,NA,NA,95.5,34GGC,-3.17
NA,1228.41,NA,NA,97.5,34GGC,-2.99
-0.1,1221.23,28.69,5.02,146,32GGC,-2.9
-0.28,1220.28,27.59,4.3,99.5,34GGC,-2.86
NA,1212.16,NA,NA,101.5,34GGC,-3.13
NA,1207.55,NA,NA,150,32GGC,-2.99
NA,1198.73,NA,NA,151,32GGC,-3.24
-3.1,1198.55,NA,NA,104.5,34GGC,NA
NA,1193.06,NA,NA,105.5,34GGC,-3.11
-0.29,1181.15,28.94,4.89,107.5,34GGC,-3.15
-0.08,1169.23,29.14,4.99,109.5,34GGC,-2.98
NA,1154.64,NA,NA,156,32GGC,-3.09
-0.24,1145.4,28.63,4.75,113.5,34GGC,-3.04
-0.3,1133.48,28.86,4.85,115.5,34GGC,-3.14
-0.5,1121.56,28.5,4.69,117.5,34GGC,-3.27
NA,1110.55,NA,NA,161,32GGC,-2.97
-0.59,1109.65,27.76,4.37,119.5,34GGC,-3.21
-0.06,1097.73,29.01,4.92,121.5,34GGC,-2.94
-0.21,1085.81,27.87,4.42,123.5,34GGC,-2.85
NA,1073.9,NA,NA,125.5,34GGC,-2.89
NA,1066.45,NA,NA,166,32GGC,-3
NA,1050.06,NA,NA,129.5,34GGC,-2.71
-0.38,1038.15,28.58,4.73,131.5,34GGC,-3.17
-0.14,1014.31,28.54,4.71,135.5,34GGC,-2.92
-0.06,1002.4,28.43,4.66,137.5,34GGC,-2.82
-0.36,996.8,28.34,4.87,171,32GGC,-3.09
-0.41,990.48,28.15,4.54,139.5,34GGC,-3.11
NA,978.56,NA,NA,141.5,34GGC,-3.2
NA,978.27,NA,NA,176,32GGC,-2.87
-0.41,966.65,28.05,4.49,143.5,34GGC,-3.09
-0.25,960.89,27.76,4.62,175,32GGC,-2.87
NA,954.73,NA,NA,145.5,34GGC,-3.17
-0.54,930.9,28.33,4.62,149.5,34GGC,-3.27
-0.05,918.98,29.03,4.93,151.5,34GGC,-2.93
-0.13,916,28.59,4.98,180,32GGC,-2.92
-0.3,907.06,28.71,4.78,153.5,34GGC,-3.11
-0.31,903.8,27.88,4.67,181,32GGC,-2.95
NA,883.23,NA,NA,157.5,34GGC,-3.01
-0.55,871.31,27.62,4.32,159.5,34GGC,-3.14
NA,870.64,NA,NA,186,32GGC,-2.96
NA,859.4,28.84,4.84,161.5,34GGC,NA
-0.23,835.56,28.74,4.8,165.5,34GGC,-3.05
-0.05,823.65,27.62,4.32,167.5,34GGC,-2.64
-0.24,811.73,28.46,4.67,169.5,34GGC,-3
-0.43,799.81,28.07,4.5,171.5,34GGC,-3.11
NA,787.9,NA,NA,173.5,34GGC,-2.9
-0.34,781.8,27.59,4.55,191,32GGC,-2.92
NA,775.98,NA,NA,175.5,34GGC,-3.2
-0.14,764.06,28.54,4.71,177.5,34GGC,-2.92
-0.65,752.15,28.23,4.57,179.5,34GGC,-3.36
NA,740.23,NA,NA,181.5,34GGC,-2.8
NA,728.31,NA,NA,183.5,34GGC,-3.26
-0.64,720.8,27.96,4.7,196,32GGC,-3.3
NA,716.4,NA,NA,185.5,34GGC,-2.75
NA,704.48,NA,NA,187.5,34GGC,-3.06
NA,692.56,NA,NA,189.5,34GGC,-2.82
-0.42,680.65,28.49,4.68,191.5,34GGC,-3.19
0.09,668.73,28.84,4.84,193.5,34GGC,-2.75
-0.55,659.8,27.88,4.67,201,32GGC,-3.19
-0.26,656.81,28.44,4.66,195.5,34GGC,-3.02
NA,644.9,NA,NA,197.5,34GGC,-3.31
-0.39,632.98,27.45,4.24,199.5,34GGC,-2.94
-0.38,616.57,27.97,4.46,203.5,34GGC,-3.04
-0.18,608.9,28.85,4.85,205.5,34GGC,-3.02
NA,601.23,NA,NA,207.5,34GGC,-3.28
-0.42,598.8,28.18,4.8,206,32GGC,-3.12
-0.2,593.55,28.18,4.55,209.5,34GGC,-2.9
-0.28,585.88,28.53,4.71,211.5,34GGC,-3.06
-0.26,578.21,28.4,4.64,213.5,34GGC,-3.01
0.15,570.53,29.4,5.11,215.5,34GGC,-2.81
-0.2,562.86,28.01,4.48,217.5,34GGC,-2.87
-0.5,555.19,27.33,4.2,219.5,34GGC,-3.03
-0.21,547.51,28.78,4.82,221.5,34GGC,-3.04
-0.54,539.84,27.71,4.35,223.5,34GGC,-3.15
-0.57,537.8,27.97,4.71,211,32GGC,-3.23
NA,532.17,NA,NA,225.5,34GGC,-3.15
-0.14,524.5,28.56,4.72,227.5,34GGC,-2.92
-0.44,516.82,28.4,4.65,229.5,34GGC,-3.19
-0.45,509.15,27.45,4.25,231.5,34GGC,-3
NA,501.48,NA,NA,233.5,34GGC,-3.06
-0.09,486.13,28.5,4.69,237.5,34GGC,-2.86
-0.23,478.46,28.29,4.6,239.5,34GGC,-2.96
-0.4,476.8,28.4,4.89,216,32GGC,-3.15
-0.15,470.78,28.74,4.8,241.5,34GGC,-2.97
-0.23,463.11,27.99,4.47,243.5,34GGC,-2.89
-0.2,455.44,28.62,4.74,245.5,34GGC,-3
-0.45,447.76,28.3,4.6,247.5,34GGC,-3.18
NA,440.09,NA,NA,249.5,34GGC,-3.12
-0.87,432.42,27.36,4.21,251.5,34GGC,-3.4
-0.08,424.75,28.83,4.84,253.5,34GGC,-2.92
-0.34,417.07,28.25,4.58,255.5,34GGC,-3.06
-0.44,415.8,27.89,4.68,221,32GGC,-3.08
-0.28,401.73,28.25,4.58,259.5,34GGC,-3
NA,394.05,NA,NA,261.5,34GGC,-3.27
-0.54,386.38,28.54,4.71,263.5,34GGC,-3.32
-0.14,378.71,28.71,4.78,265.5,34GGC,-2.95
-0.18,371.03,28.84,4.84,267.5,34GGC,-3.02
NA,355.69,NA,NA,271.5,34GGC,-3.08
-0.11,354.8,28.91,5.13,226,32GGC,-2.96
NA,348.01,NA,NA,273.5,34GGC,-2.92
-0.46,340.34,28.29,4.6,275.5,34GGC,-3.19
NA,333.65,NA,NA,231,32GGC,-2.93
-0.18,332.67,29,4.92,277.5,34GGC,-3.05
-0.25,325,29.07,4.95,279.5,34GGC,-3.14
-0.32,317.32,28.46,4.67,281.5,34GGC,-3.08
0.07,306,29.02,5.18,230,32GGC,-2.8
-0.33,294.3,28.56,4.72,287.5,34GGC,-3.11
-0.44,278.96,27.67,4.33,291.5,34GGC,-3.04
NA,271.28,28.83,4.84,293.5,34GGC,NA
NA,270.17,NA,NA,241,32GGC,-3.1
-0.14,268.96,29.29,5.3,236,32GGC,-3.08
-0.01,263.61,28.54,4.71,295.5,34GGC,-2.79
NA,255.94,28.65,4.76,297.5,34GGC,NA
-0.02,248.26,28.2,4.56,299.5,34GGC,-2.73
NA,240.59,28.67,4.77,301.5,34GGC,NA
-0.34,232.92,28.71,4.79,303.5,34GGC,-3.15
-0.19,207.22,28.69,5.02,246,32GGC,-2.99
NA,206.7,NA,NA,251,32GGC,-3.32
-0.3,204.05,28.05,4.49,307.5,34GGC,-2.98
-0.32,188.65,28.55,4.71,309.5,34GGC,-3.1
-0.14,173.25,28.86,4.85,311.5,34GGC,-2.98
NA,157.86,28.93,4.89,313.5,34GGC,NA
NA,143.22,NA,NA,261,32GGC,-3.12
NA,142.46,NA,NA,315.5,34GGC,-3.17
-0.5,139.3,28.09,4.76,257,32GGC,-3.18
-0.19,127.06,29.27,5.04,317.5,34GGC,-3.12
NA,117.83,NA,NA,265,32GGC,-3.07
-0.16,111.66,29,4.92,319.5,34GGC,-3.03
NA,111.48,NA,NA,266,32GGC,-3.25
-0.35,96.26,28.11,4.52,321.5,34GGC,-3.04
-0.46,80.86,28.09,4.51,323.5,34GGC,-3.14
-0.06,65.46,28.31,4.61,325.5,34GGC,-2.79
-0.31,52.87,28.71,5.04,271,32GGC,-3.13
-0.44,50.07,28.54,4.71,327.5,34GGC,-3.22
NA,48,NA,NA,276,32GGC,-2.96
-0.23,19.27,28.34,4.62,331.5,34GGC,-2.97
-0.45,3.87,28.2,4.56,333.5,34GGC,-3.16
-0.35,-57.73,28.43,4.66,341.5,34GGC,-3.1
NA,-73.12,NA,NA,343.5,34GGC,-3.46
NA,-134.72,28.97,4.9,351.5,34GGC,NA
NA,-165.52,NA,NA,355.5,34GGC,-2.91
-0.68,-180.92,28.07,4.5,357.5,34GGC,-3.36
NA,-211.71,NA,NA,361.5,34GGC,-2.92
NA,-242.51,NA,NA,365.5,34GGC,NA
-0.16,-257.91,28.28,4.6,367.5,34GGC,-2.88
-0.36,-304.1,28.58,4.72,373.5,34GGC,-3.15
NA,-334.9,29.06,4.95,377.5,34GGC,NA
NA,-350.3,NA,NA,379.5,34GGC,-2.88
NA,-365.7,NA,NA,381.5,34GGC,-2.91
