depth (cm),year (AD),d18O (permil),year (AD) [1-2],d18O (permil) [1-2]
48.7,1956.31,-4.99,1956.08,-4.67
48.9,1956.11,-4.72,1955.92,-4.31
49.1,1955.91,-4.29,1955.75,-4.23
49.3,1955.71,-4.21,1955.58,-4.55
49.5,1955.54,-4.66,1955.42,-5.03
49.7,1955.37,-5.15,1955.25,-5.06
49.9,1955.21,-5.02,1955.08,-4.66
50.1,1955.04,-4.54,1954.92,-4.49
50.3,1954.87,-4.47,1954.75,-4.23
50.5,1954.71,-4.15,1954.58,-4.52
50.7,1954.54,-4.64,1954.42,-4.82
50.9,1954.37,-4.88,1954.25,-4.94
51.1,1954.21,-4.96,1954.08,-4.59
51.3,1954.04,-4.46,1953.92,-4.33
51.5,1953.87,-4.29,1953.75,-4.22
51.7,1953.71,-4.19,1953.58,-4.45
51.9,1953.51,-4.61,1953.42,-4.74
52.1,1953.31,-4.9,1953.25,-4.79
52.3,1953.11,-4.53,1953.08,-4.52
52.5,1952.91,-4.43,1952.92,-4.43
52.7,1952.71,-4.36,1952.75,-4.37
52.9,1952.54,-4.39,1952.58,-4.38
53.1,1952.37,-4.78,1952.42,-4.68
53.3,1952.21,-5.17,1952.25,-5.07
53.5,1952.04,-5.05,1952.08,-5.08
53.7,1951.87,-4.52,1951.92,-4.65
53.9,1951.71,-3.93,1951.75,-4.08
54.1,1951.54,-4.08,1951.58,-4.04
54.3,1951.37,-4.63,1951.42,-4.49
54.5,1951.21,-4.98,1951.25,-4.89
54.7,1951.04,-4.43,1951.08,-4.57
54.9,1950.87,-4.55,1950.92,-4.52
55.1,1950.71,-4.3,1950.75,-4.37
55.3,1950.58,-4.32,1950.58,-4.32
55.5,1950.46,-4.59,1950.42,-4.74
55.7,1950.33,-5.06,1950.25,-5.04
55.9,1950.21,-5.03,1950.08,-4.41
56.1,1950.08,-4.41,1949.92,-4.28
56.3,1949.96,-4.26,1949.75,-4.07
56.5,1949.83,-4.33,1949.58,-4.57
56.7,1949.71,-3.94,1949.42,-4.91
56.9,1949.51,-4.96,1949.25,-4.76
57.1,1949.31,-4.86,1949.08,-4.5
57.3,1949.11,-4.53,1948.92,-4.35
57.5,1948.91,-4.35,1948.75,-4.3
57.7,1948.71,-4.29,1948.58,-4.4
57.9,1948.54,-4.43,1948.42,-4.81
58.1,1948.37,-4.93,1948.25,-5.12
58.3,1948.21,-5.18,1948.08,-4.84
58.5,1948.04,-4.73,1947.92,-4.53
58.7,1947.87,-4.47,1947.75,-4.24
58.9,1947.71,-4.16,1947.58,-4.26
59.1,1947.57,-4.27,1947.42,-4.88
59.3,1947.42,-4.88,1947.25,-5
59.5,1947.28,-5,1947.08,-4.75
59.7,1947.14,-5.01,1946.92,-4.32
59.9,1946.99,-4.31,1946.75,-4.28
60.1,1946.85,-4.32,1946.58,-4.61
60.3,1946.71,-4.26,1946.42,-5.04
60.5,1946.54,-4.72,1946.25,-4.93
60.7,1946.37,-5.14,1946.08,-4.71
60.9,1946.21,-4.86,1945.92,-4.41
61.1,1946.04,-4.66,1945.75,-4.19
61.3,1945.87,-4.33,1945.58,-4.6
61.5,1945.71,-4.14,1945.42,-4.86
61.7,1945.54,-4.76,1945.25,-5.04
61.9,1945.37,-4.89,1945.08,-5.07
62.1,1945.21,-5.09,1944.92,-4.71
62.3,1945.04,-5.07,1944.75,-4.35
62.5,1944.87,-4.59,1944.58,-4.4
62.7,1944.71,-4.26,1944.42,-4.76
62.9,1944.54,-4.44,1944.25,-4.8
63.1,1944.37,-4.87,1944.08,-4.61
63.3,1944.21,-4.77,1943.92,-4.44
63.5,1944.04,-4.56,1943.75,-4.2
63.7,1943.87,-4.41,1943.58,-4.29
63.9,1943.71,-4.13,1943.42,-4.71
64.1,1943.54,-4.34,1943.25,-5.07
64.3,1943.37,-4.84,1943.08,-5.05
64.5,1943.21,-5.14,1942.92,-4.68
64.7,1943.04,-5.02,1942.75,-4.33
64.9,1942.87,-4.57,1942.58,-4.37
65.1,1942.71,-4.24,1942.42,-4.7
65.3,1942.51,-4.45,1942.25,-4.99
65.5,1942.31,-4.99,1942.08,-4.93
65.7,1942.11,-4.98,1941.92,-4.54
65.9,1941.91,-4.52,1941.75,-4.25
66.1,1941.71,-4.18,1941.58,-4.3
66.3,1941.51,-4.36,1941.42,-4.52
66.5,1941.31,-4.71,1941.25,-4.74
66.7,1941.11,-4.83,1941.08,-4.76
66.9,1940.91,-4.28,1940.92,-4.3
67.1,1940.71,-4.23,1940.75,-4.24
67.3,1940.57,-4.25,1940.58,-4.25
67.5,1940.42,-4.3,1940.42,-4.31
67.7,1940.28,-4.49,1940.25,-4.52
67.9,1940.14,-4.65,1940.08,-4.71
68.1,1939.99,-4.82,1939.92,-4.68
68.3,1939.85,-4.57,1939.75,-4.12
68.5,1939.71,-3.94,1939.58,-4.2
68.7,1939.51,-4.36,1939.42,-4.58
68.9,1939.31,-4.84,1939.25,-4.87
69.1,1939.11,-4.96,1939.08,-4.95
69.3,1938.91,-4.87,1938.92,-4.88
69.5,1938.71,-3.87,1938.75,-4.08
69.7,1938.57,-4.01,1938.58,-3.99
69.9,1938.42,-4.84,1938.42,-4.85
70.1,1938.28,-4.97,1938.25,-4.92
70.3,1938.14,-4.74,1938.08,-4.7
70.5,1937.99,-4.62,1937.92,-4.48
70.7,1937.85,-4.35,1937.75,-4.09
70.9,1937.71,-3.98,1937.58,-4.27
71.1,1937.54,-4.36,1937.42,-4.58
71.3,1937.37,-4.66,1937.25,-4.61
71.5,1937.21,-4.6,1937.08,-4.34
71.7,1937.04,-4.25,1936.92,-4.46
71.9,1936.87,-4.53,1936.75,-4.29
72.1,1936.71,-4.21,1936.58,-4.35
72.3,1936.51,-4.44,1936.42,-4.68
72.5,1936.31,-4.97,1936.25,-4.8
72.7,1936.11,-4.39,1936.08,-4.37
72.9,1935.91,-4.25,1935.92,-4.26
73.1,1935.71,-4.01,1935.75,-4.06
73.3,1935.54,-4.17,1935.58,-4.13
73.5,1935.37,-4.88,1935.42,-4.7
73.7,1935.21,-4.79,1935.25,-4.81
73.9,1935.04,-4.72,1935.08,-4.73
74.1,1934.87,-4.5,1934.92,-4.56
74.3,1934.71,-4.3,1934.75,-4.35
74.5,1934.57,-4.46,1934.58,-4.44
74.7,1934.42,-5.05,1934.42,-5.06
74.9,1934.28,-5.24,1934.25,-5.19
75.1,1934.14,-5.01,1934.08,-4.87
75.3,1933.99,-4.65,1933.92,-4.34
75.5,1933.85,-4.08,1933.75,-4
75.7,1933.71,-3.96,1933.58,-4.38
75.9,1933.51,-4.64,1933.42,-4.81
76.1,1933.31,-5.02,1933.25,-4.95
76.3,1933.11,-4.78,1933.08,-4.72
76.5,1932.91,-4.28,1932.92,-4.3
76.7,1932.71,-4.04,1932.75,-4.09
76.9,1932.57,-4.5,1932.58,-4.44
77.1,1932.42,-4.79,1932.42,-4.8
77.3,1932.28,-5.08,1932.25,-5.01
77.5,1932.14,-4.72,1932.08,-4.7
77.7,1931.99,-4.68,1931.92,-4.5
77.9,1931.85,-4.35,1931.75,-4.19
78.1,1931.71,-4.12,1931.58,-4.38
78.3,1931.54,-4.46,1931.42,-4.75
78.5,1931.37,-4.85,1931.25,-4.69
78.7,1931.21,-4.64,1931.08,-4.76
78.9,1931.04,-4.8,1930.92,-4.55
79.1,1930.87,-4.46,1930.75,-4.14
79.3,1930.71,-4.03,1930.58,-4.14
79.5,1930.54,-4.18,1930.42,-4.2
79.7,1930.37,-4.21,1930.25,-4.51
79.9,1930.21,-4.61,1930.08,-4.55
80.1,1930.04,-4.53,1929.92,-4.28
80.3,1929.87,-4.19,1929.75,-3.83
80.5,1929.71,-3.71,1929.58,-4.05
80.7,1929.54,-4.16,1929.42,-4.68
80.9,1929.37,-4.85,1929.25,-4.91
81.1,1929.21,-4.93,1929.08,-4.7
81.3,1929.04,-4.63,1928.92,-4.28
81.5,1928.87,-4.16,1928.75,-4.06
81.7,1928.71,-4.03,1928.58,-4.31
81.9,1928.54,-4.41,1928.42,-4.8
82.1,1928.37,-4.94,1928.25,-4.92
82.3,1928.21,-4.91,1928.08,-4.52
82.5,1928.04,-4.39,1927.92,-4.37
82.7,1927.87,-4.36,1927.75,-4.26
82.9,1927.71,-4.22,1927.58,-4.29
83.1,1927.54,-4.31,1927.42,-4.67
83.3,1927.37,-4.79,1927.25,-4.78
83.5,1927.21,-4.77,1927.08,-4.63
83.7,1927.04,-4.58,1926.92,-4.51
83.9,1926.87,-4.49,1926.75,-4.34
84.1,1926.71,-4.29,1926.58,-4.39
84.3,1926.54,-4.42,1926.42,-4.63
84.5,1926.37,-4.7,1926.25,-4.96
84.7,1926.21,-5.05,1926.08,-4.91
84.9,1926.04,-4.86,1925.92,-4.42
85.1,1925.87,-4.27,1925.75,-4.19
85.3,1925.71,-4.16,1925.58,-4.42
85.5,1925.54,-4.51,1925.42,-4.78
85.7,1925.37,-4.87,1925.25,-4.83
85.9,1925.21,-4.81,1925.08,-4.68
86.1,1925.04,-4.63,1924.92,-4.29
86.3,1924.87,-4.17,1924.75,-4.17
86.5,1924.71,-4.16,1924.58,-4.34
86.7,1924.54,-4.4,1924.42,-4.64
86.9,1924.37,-4.73,1924.25,-4.72
87.1,1924.21,-4.72,1924.08,-4.6
87.3,1924.04,-4.56,1923.92,-4.33
87.5,1923.87,-4.25,1923.75,-3.92
87.7,1923.71,-3.81,1923.58,-4.17
87.9,1923.57,-4.23,1923.42,-4.5
88.1,1923.42,-4.49,1923.25,-4.76
88.3,1923.28,-4.76,1923.08,-4.77
88.5,1923.14,-4.75,1922.92,-4.41
88.7,1922.99,-4.79,1922.75,-3.98
88.9,1922.85,-4.08,1922.58,-4.07
89.1,1922.71,-3.94,1922.42,-4.33
89.3,1922.51,-4.14,1922.25,-4.51
89.5,1922.31,-4.55,1922.08,-4.37
89.9,1921.91,-4.23,1921.92,-4.24
90.1,1921.71,-4.06,1921.75,-4.1
90.3,1921.57,-4.37,1921.58,-4.33
90.5,1921.42,-4.8,1921.42,-4.81
90.7,1921.28,-4.98,1921.25,-4.97
90.9,1921.14,-4.94,1921.08,-4.87
91.1,1920.99,-4.74,1920.92,-4.59
91.3,1920.85,-4.46,1920.75,-4.25
91.5,1920.71,-4.17,1920.58,-4.19
91.7,1920.54,-4.2,1920.42,-4.64
91.9,1920.37,-4.79,1920.25,-4.54
92.1,1920.21,-4.45,1920.08,-4.31
92.3,1920.04,-4.26,1919.92,-4.23
92.5,1919.87,-4.22,1919.75,-4.17
92.7,1919.71,-4.16,1919.58,-4.45
92.9,1919.51,-4.62,1919.42,-4.73
93.1,1919.31,-4.86,1919.25,-4.82
93.3,1919.11,-4.73,1919.08,-4.68
93.5,1918.91,-4.32,1918.92,-4.34
93.7,1918.71,-4.17,1918.75,-4.2
93.9,1918.58,-4.28,1918.58,-4.28
94.1,1918.46,-4.52,1918.42,-4.58
94.3,1918.33,-4.69,1918.25,-4.83
94.5,1918.21,-4.9,1918.08,-5.13
94.7,1918.08,-5.13,1917.92,-4.41
94.9,1917.96,-4.45,1917.75,-4.18
95.1,1917.83,-4.31,1917.58,-4.35
95.3,1917.71,-4.11,1917.42,-4.62
95.5,1917.51,-4.49,1917.25,-4.77
95.7,1917.31,-4.77,1917.08,-4.75
95.9,1917.11,-4.76,1916.92,-4.68
96.1,1916.91,-4.68,1916.75,-4.27
96.3,1916.71,-4.16,1916.58,-4.28
96.5,1916.57,-4.29,1916.42,-4.25
96.7,1916.44,-4.17,1916.25,-4.73
96.9,1916.31,-4.61,1916.08,-4.73
97.1,1916.17,-4.89,1915.92,-4.4
97.4,1915.97,-4.55,1915.75,-4.07
97.6,1915.84,-4.22,1915.58,-4.27
97.8,1915.71,-4,1915.42,-4.5
98,1915.57,-4.31,1915.25,-4.69
98.2,1915.42,-4.49,1915.08,-4.35
98.4,1915.28,-4.73,1914.92,-4.1
98.6,1915.14,-4.56,1914.75,-4
98.8,1914.99,-3.99,1914.58,-4.25
99,1914.85,-4.18,1914.42,-4.46
99.2,1914.71,-3.92,1914.25,-4.41
99.4,1914.51,-4.45,1914.08,-4.22
99.6,1914.31,-4.47,1913.92,-4.04
99.8,1914.11,-4.25,1913.75,-3.97
100,1913.91,-4.03,1913.58,-3.97
100.2,1913.71,-3.96,1913.42,-4.51
100.4,1913.57,-3.97,1913.25,-4.67
100.6,1913.42,-4.5,1913.08,-4.59
100.8,1913.28,-4.66,1912.92,-4.27
101,1913.14,-4.71,1912.75,-4.08
101.2,1912.99,-4.39,1912.58,-4.17
101.4,1912.85,-4.16,1912.42,-4.6
101.6,1912.71,-4.05,1912.25,-4.77
101.8,1912.54,-4.21,1912.08,-4.74
102,1912.37,-4.73,1911.92,-4.34
102.2,1912.21,-4.79,1911.75,-4.1
102.4,1912.04,-4.73,1911.58,-4.12
102.6,1911.87,-4.21,1911.42,-4.47
102.8,1911.71,-4.06,1911.25,-4.79
103,1911.57,-4.13,1911.08,-4.59
103.2,1911.42,-4.46,1910.92,-4.4
103.4,1911.28,-4.82,1910.75,-4.12
103.6,1911.14,-4.68,1910.58,-4.1
103.8,1910.99,-4.43,1910.42,-4.61
104,1910.85,-4.38,1910.25,-4.87
104.2,1910.71,-4.01,1910.08,-4.54
104.4,1910.57,-4.11,1909.92,-4.24
104.6,1910.42,-4.6,1909.75,-4.09
104.8,1910.28,-4.92,1909.58,-4.29
105,1910.14,-4.71,1909.42,-4.52
105.2,1909.99,-4.25,1909.25,-4.8
105.4,1909.85,-4.22,1909.08,-4.65
105.6,1909.71,-4.03,1908.92,-4.35
105.8,1909.54,-4.37,1908.75,-3.96
106,1909.37,-4.57,1908.58,-4.04
106.2,1909.21,-4.87,1908.42,-4.3
106.4,1909.04,-4.58,1908.25,-4.53
106.6,1908.87,-4.27,1908.08,-4.68
106.8,1908.71,-3.85,1907.92,-4.55
107,1908.51,-4.16,1907.75,-4.23
107.2,1908.31,-4.47,1907.58,-4.2
107.4,1908.11,-4.7,1907.42,-4.21
107.6,1907.91,-4.54,1907.25,-4.24
107.8,1907.71,-4.15,1907.08,-4.61
108,1907.57,-4.2,1906.92,-4.67
108.2,1907.42,-4.21,1906.75,-4.3
108.4,1907.28,-4.19,1906.58,-4.28
108.6,1907.14,-4.46,1906.42,-4.24
108.8,1906.99,-4.85,1906.25,-4.59
109,1906.85,-4.52,1906.08,-4.59
109.2,1906.71,-4.2,1905.92,-4.41
109.4,1906.58,-4.28,1905.75,-4.01
109.6,1906.46,-4.2,1905.58,-4.14
109.8,1906.33,-4.32,1905.42,-4.32
110,1906.21,-4.72,1905.25,-4.61
110.2,1906.08,-4.59,1905.08,-4.46
110.4,1905.96,-4.54,1904.92,-4.23
110.6,1905.83,-4.14,1904.75,-4.04
110.8,1905.71,-3.95,1904.58,-4.21
111,1905.55,-4.18,1904.42,-4.57
111.1,1905.48,-4.09,1904.25,-4.76
111.3,1905.32,-4.66,1904.08,-4.44
111.5,1905.17,-4.56,1903.92,-4.23
111.7,1905.02,-4.39,1903.75,-4.11
111.9,1904.86,-4.14,1903.58,-4.28
112.1,1904.71,-4.01,1903.42,-4.47
112.3,1904.54,-4.28,1903.25,-4.56
112.5,1904.37,-4.67,1903.08,-4.54
112.7,1904.21,-4.79,1902.92,-4.13
112.9,1904.04,-4.32,1902.75,-4.09
113.1,1903.87,-4.2,1902.58,-4.19
113.3,1903.71,-4.08,1902.42,-4.32
113.5,1903.51,-4.4,1902.25,-4.79
113.7,1903.31,-4.55,1902.08,-4.96
113.9,1903.11,-4.6,1901.92,-4.37
114.1,1902.91,-4.11,1901.75,-4.04
114.3,1902.71,-4.08,1901.58,-4.26
114.5,1902.58,-4.19,1901.42,-4.89
114.7,1902.46,-4.15,1901.25,-4.82
114.9,1902.33,-4.67,1901.08,-4.5
115.1,1902.21,-4.86,1900.92,-4.14
115.3,1902.08,-4.96,1900.75,-4.02
115.5,1901.96,-4.51,1900.58,-4.34
115.7,1901.83,-4.11,1900.42,-4.83
115.9,1901.71,-4.01,1900.25,-4.93
116.1,1901.57,-4.3,1900.08,-4.38
116.3,1901.42,-4.89,1899.92,-4.18
116.5,1901.28,-4.87,1899.75,-4.11
116.7,1901.14,-4.66,1899.58,-4.31
116.9,1900.99,-4.24,1899.42,-4.71
117.1,1900.85,-4.05,1899.25,-4.91
117.3,1900.71,-4,1899.08,-4.49
117.5,1900.54,-4.45,1898.92,-4.21
117.7,1900.37,-4.95,1898.75,-4.15
117.9,1900.21,-4.92,1898.58,-4.3
118.1,1900.04,-4.19,1898.42,-4.65
118.3,1899.87,-4.18,1898.25,-4.86
118.5,1899.71,-4.09,1898.08,-4.56
