d18O (permil),year (AD),depth (cm),core (),d18O (permil)
-1.656,1899.83,11,PL07-71 BC,-1.204
-1.736,1898.67,11.1,PL07-71 BC,-1.112
-2.074,1897.5,11.2,PL07-71 BC,-1.284
-1.571,1896.33,11.3,PL07-71 BC,-1.206
-1.371,1895.17,11.4,PL07-71 BC,-1.284
-1.718,1894,11.5,PL07-71 BC,-1.319
-1.521,1892.83,11.6,PL07-71 BC,-1.159
-1.661,1891.67,11.7,PL07-71 BC,-1.243
-1.637,1890.5,11.8,PL07-71 BC,-1.301
-1.335,1889.33,11.9,PL07-71 BC,-1.312
-1.592,1888.17,12,PL07-71 BC,-1.182
-1.891,1887,12.1,PL07-71 BC,-1.316
-1.627,1886,12.2,PL07-71 BC,-1.251
-1.726,1885,12.3,PL07-71 BC,-1.127
-1.408,1884,12.4,PL07-71 BC,-1.222
-1.754,1883,12.5,PL07-71 BC,-1.072
-1.767,1880,12.6,PL07-71 BC,-1.277
-1.791,1879.11,12.7,PL07-71 BC,-1.375
-1.602,1878.23,12.8,PL07-71 BC,-1.237
-1.803,1877.34,12.9,PL07-71 BC,-1.315
-1.556,1876.45,13,PL07-71 BC,-0.956
-1.649,1875.57,13.1,PL07-71 BC,-0.832
-1.614,1874.68,13.2,PL07-71 BC,-1.23
-1.518,1873.8,13.3,PL07-71 BC,-1.048
-1.533,1872.91,13.4,PL07-71 BC,-1.157
-1.5,1872.02,13.5,PL07-71 BC,-1.087
-1.719,1871.14,13.6,PL07-71 BC,-1.104
-1.666,1870.25,13.7,PL07-71 BC,-1.098
-1.994,1869.36,13.8,PL07-71 BC,-1.022
-1.399,1868.48,13.9,PL07-71 BC,-1.142
-1.913,1867.59,14,PL07-71 BC,-1.046
-1.372,1866.7,14.1,PL07-71 BC,-1.176
-1.571,1865.82,14.2,PL07-71 BC,-0.704
-1.73,1864.93,14.3,PL07-71 BC,-1.081
-1.638,1864.05,14.4,PL07-71 BC,-1.271
-1.546,1863.16,14.5,PL07-71 BC,-1.191
-1.63,1862.27,14.6,PL07-71 BC,-1.008
-1.906,1861.39,14.7,PL07-71 BC,-1.337
-1.636,1860.45,14.8,PL07-71 BC,-1.198
-1.844,1859.5,14.9,PL07-71 BC,-1.195
-1.417,1858.55,15,PL07-71 BC,-1.24
-1.207,1857.6,15.1,PL07-71 BC,-0.978
-1.73,1856.65,15.2,PL07-71 BC,-1.054
-1.439,1855.69,15.3,PL07-71 BC,-1.103
-1.793,1854.74,15.4,PL07-71 BC,-1.291
-1.523,1853.78,15.5,PL07-71 BC,-0.998
-1.822,1852.82,15.6,PL07-71 BC,-1.271
-1.812,1851.86,15.7,PL07-71 BC,-1.305
-1.791,1850.9,15.8,PL07-71 BC,-1.318
-1.704,1849.93,15.9,PL07-71 BC,-1.158
-1.646,1848.97,16,PL07-71 BC,-1.043
-1.612,1848,16.1,PL07-71 BC,-1.012
NA,1847.03,16.2,PL07-71 BC,-1.155
-1.356,1846.06,16.3,PL07-71 BC,-1.248
-0.852,1845.09,16.4,PL07-71 BC,-0.831
-1.792,1844.11,16.5,PL07-71 BC,-1.309
NA,1843.13,16.6,PL07-71 BC,-0.783
-1.486,1842.16,16.7,PL07-71 BC,-1.139
-1.18,1841.17,16.8,PL07-71 BC,-1.245
-1.651,1840.19,16.9,PL07-71 BC,-1.154
-1.712,1839.21,17,PL07-71 BC,-1.257
-1.965,1838.22,17.1,PL07-71 BC,-1.058
-1.363,1837.23,17.2,PL07-71 BC,-1.027
-1.394,1836.24,17.3,PL07-71 BC,-0.996
NA,1835.25,17.4,PL07-71 BC,-1.139
-1.92,1834.26,17.5,PL07-71 BC,-1.109
-1.581,1833.26,17.6,PL07-71 BC,-1.24
-1.736,1832.26,17.7,PL07-71 BC,-1.404
-1.408,1831.26,17.8,PL07-71 BC,-1.119
-1.917,1830.26,17.9,PL07-71 BC,-1.271
-1.695,1829.25,18,PL07-71 BC,-1.131
-1.586,1828.25,18.1,PL07-71 BC,-0.962
NA,1827.24,18.2,PL07-71 BC,-1.081
-1.661,1826.23,18.3,PL07-71 BC,-1.228
-2.122,1825.22,18.4,PL07-71 BC,-1.309
-1.944,1824.2,18.5,PL07-71 BC,-1.235
-2.056,1823.19,18.6,PL07-71 BC,-1.213
-1.784,1822.17,18.7,PL07-71 BC,-1.09
-1.515,1821.15,18.8,PL07-71 BC,-1.169
-1.609,1820.12,18.9,PL07-71 BC,-1.347
-1.597,1819.1,19,PL07-71 BC,-1.191
-1.528,1818.07,19.1,PL07-71 BC,-1.232
-1.476,1817.04,19.2,PL07-71 BC,-1.03
-1.635,1816.01,19.3,PL07-71 BC,-1.143
-1.773,1814.97,19.4,PL07-71 BC,-1.226
-1.759,1813.94,19.5,PL07-71 BC,-1.058
-1.546,1812.9,19.6,PL07-71 BC,-1.142
-1.522,1811.86,19.7,PL07-71 BC,-1.12
-1.467,1810.81,19.8,PL07-71 BC,-1.252
-1.78,1809.77,19.9,PL07-71 BC,-1.238
-1.455,1808.72,20,PL07-71 BC,-0.996
-1.598,1807.67,20.1,PL07-71 BC,-1.104
-1.577,1806.62,20.2,PL07-71 BC,-0.92
-1.905,1805.56,20.3,PL07-71 BC,-1.208
-1.45,1804.5,20.4,PL07-71 BC,-1.245
-1.54,1803.45,20.5,PL07-71 BC,-1.206
-1.714,1802.38,20.6,PL07-71 BC,-1.356
-1.72,1801.32,20.7,PL07-71 BC,-1.198
-1.64,1800.25,20.8,PL07-71 BC,-1.208
NA,1799.18,20.9,PL07-71 BC,-1.246
-1.736,1798.11,21,PL07-71 BC,-1.308
-1.801,1797.04,21.1,PL07-71 BC,-1.341
-1.896,1795.96,21.2,PL07-71 BC,-1.456
-1.662,1794.88,21.3,PL07-71 BC,-1.319
-1.927,1793.8,21.4,PL07-71 BC,-1.535
-1.072,1792.72,21.5,PL07-71 BC,-1.025
-1.547,1791.63,21.6,PL07-71 BC,-1.33
-1.663,1790.54,21.7,PL07-71 BC,-1.293
-1.848,1789.45,21.8,PL07-71 BC,-1.376
-1.393,1788.35,21.9,PL07-71 BC,-1.294
-1.558,1787.26,22,PL07-71 BC,-1.04
-1.464,1786.16,22.1,PL07-71 BC,-1.301
-1.419,1785.05,22.2,PL07-71 BC,-1.442
-1.674,1783.95,22.3,PL07-71 BC,-1.244
-1.549,1782.84,22.4,PL07-71 BC,-0.993
-1.855,1781.73,22.5,PL07-71 BC,-1.327
-1.48,1780.62,22.6,PL07-71 BC,-1.154
-1.54,1779.51,22.7,PL07-71 BC,-1.3
-1.7,1778.39,22.8,PL07-71 BC,-1.362
-1.85,1777.27,22.9,PL07-71 BC,-1.476
-1.793,1776.14,23,PL07-71 BC,-1.124
-1.4,1775.02,23.1,PL07-71 BC,-1.11
-1.85,1773.89,23.2,PL07-71 BC,-1.045
-1.68,1772.76,23.3,PL07-71 BC,-1.312
-1.63,1771.62,23.4,PL07-71 BC,-1.207
-1.15,1770.49,23.5,PL07-71 BC,-1.202
-1.67,1769.35,23.6,PL07-71 BC,-1.301
-1.45,1768.2,23.7,PL07-71 BC,-0.667
-1.52,1767.06,23.8,PL07-71 BC,-1.017
-1.34,1765.91,23.9,PL07-71 BC,-0.981
-1.51,1764.76,24,PL07-71 BC,-0.927
-1.5,1763.6,24.1,PL07-71 BC,-1.221
-1.31,1762.45,24.2,PL07-71 BC,-1.243
-1.29,1761.29,24.3,PL07-71 BC,-1.346
-1.73,1760.12,24.4,PL07-71 BC,-1.086
-1.44,1758.96,24.5,PL07-71 BC,-1.266
-1.61,1757.79,24.6,PL07-71 BC,-1.338
-1.56,1756.62,24.7,PL07-71 BC,-1.205
-1.45,1755.44,24.8,PL07-71 BC,-1.259
-1.29,1754.27,24.9,PL07-71 BC,-1.311
-1.63,1753.09,25,PL07-71 BC,-1.299
-1.44,1751.9,25.1,PL07-71 BC,-1.173
-1.35,1750.72,25.2,PL07-71 BC,-1.27
-1.65,1749.53,25.3,PL07-71 BC,-1.258
-1.72,1748.33,25.4,PL07-71 BC,-1.32
-1.54,1747.14,25.5,PL07-71 BC,-1.52
-1.54,1745.94,25.6,PL07-71 BC,-1.154
-1.52,1744.74,25.7,PL07-71 BC,-1.241
-1.7,1743.53,25.8,PL07-71 BC,-1.145
-1.6,1742.33,25.9,PL07-71 BC,-1.168
-1.79,1741.12,26,PL07-71 BC,-1.26
-1.65,1739.9,26.1,PL07-71 BC,-1.155
-1.6,1738.68,26.2,PL07-71 BC,-1.354
-1.88,1737.46,26.3,PL07-71 BC,-1.342
-1.94,1736.24,26.4,PL07-71 BC,-1.28
-1.66,1735.01,26.5,PL07-71 BC,-1.4
-1.94,1733.78,26.6,PL07-71 BC,-1.21
-1.64,1732.55,26.7,PL07-71 BC,-1.25
-1.82,1731.31,26.8,PL07-71 BC,-1.15
-1.73,1730.08,26.9,PL07-71 BC,-1.19
-1.7,1728.83,27,PL07-71 BC,-1.31
-1.65,1727.59,27.1,PL07-71 BC,-1.29
-1.61,1726.34,27.2,PL07-71 BC,-1.23
-1.86,1725.08,27.3,PL07-71 BC,-1.29
-1.71,1723.83,27.4,PL07-71 BC,-1.25
-1.6,1722.57,27.5,PL07-71 BC,-1.49
-1.82,1721.31,27.6,PL07-71 BC,-1.15
-1.64,1720.04,27.7,PL07-71 BC,-1.25
-1.61,1718.77,27.8,PL07-71 BC,NA
-1.75,1717.5,27.9,PL07-71 BC,-1.29
-1.76,1716.22,28,PL07-71 BC,-1.17
-1.42,1714.94,28.1,PL07-71 BC,-1.05
-1.5,1713.66,28.2,PL07-71 BC,-1.19
-1.79,1712.37,28.3,PL07-71 BC,-1.31
-1.55,1711.09,28.4,PL07-71 BC,-1.14
-1.7,1709.79,28.5,PL07-71 BC,-1.07
-1.62,1708.5,28.6,PL07-71 BC,-0.89
-1.55,1707.2,28.7,PL07-71 BC,-1.29
-1.71,1705.89,28.8,PL07-71 BC,-1.27
-1.74,1704.59,28.9,PL07-71 BC,-1.35
-1.45,1703.27,29,PL07-71 BC,-1.02
-1.61,1701.96,29.1,PL07-71 BC,-1.15
-1.3,1700.64,29.2,PL07-71 BC,-1.12
-1.79,1699.32,29.3,PL07-71 BC,-1.37
-1.7,1698,29.4,PL07-71 BC,-0.96
-1.57,1696.67,29.5,PL07-71 BC,-0.9
-1.54,1695.34,29.6,PL07-71 BC,-1.18
-1.71,1694,29.7,PL07-71 BC,-1.06
-1.57,1692.66,29.8,PL07-71 BC,-1.025
-1.97,1691.32,29.9,PL07-71 BC,-1.181
-1.85,1689.97,30,PL07-71 BC,-0.957
-1.55,1688.62,30.1,PL07-71 BC,-1.162
-1.58,1687.27,30.2,PL07-71 BC,-1.194
-1.8,1685.91,30.3,PL07-71 BC,-1.033
-1.38,1684.55,30.4,PL07-71 BC,-1.007
-1.48,1683.19,30.5,PL07-71 BC,-1.11
-1.78,1681.82,30.6,PL07-71 BC,-1.259
-1.64,1680.45,30.7,PL07-71 BC,-1.167
-1.62,1679.07,30.8,PL07-71 BC,-0.751
-1.69,1677.69,30.9,PL07-71 BC,-1.164
-1.58,1676.31,31,PL07-71 BC,-1.245
-1.58,1674.92,31.1,PL07-71 BC,-1.158
-1.715,1673.53,31.2,PL07-71 BC,-1.26
-1.634,1672.13,31.3,PL07-71 BC,-1.34
-1.406,1670.73,31.4,PL07-71 BC,-1.248
-1.577,1669.33,31.5,PL07-71 BC,-1.136
-1.404,1667.92,31.6,PL07-71 BC,-1.112
-1.375,1666.51,31.7,PL07-71 BC,-1.18
-1.555,1665.1,31.8,PL07-71 BC,-1.248
-1.461,1663.68,31.9,PL07-71 BC,-1.083
-1.479,1662.26,32,PL07-71 BC,-1.221
-1.718,1660.83,32.1,PL07-71 BC,-1.173
-1.272,1659.4,32.2,PL07-71 BC,-1.076
-1.456,1657.97,32.3,PL07-71 BC,-0.942
-1.518,1656.53,32.4,PL07-71 BC,-1.266
-1.442,1655.09,32.5,PL07-71 BC,-1.013
-1.083,1653.64,32.6,PL07-71 BC,-0.931
-1.494,1652.19,32.7,PL07-71 BC,-1.156
-1.272,1650.74,32.8,PL07-71 BC,-1.127
-1.512,1649.28,32.9,PL07-71 BC,-1.07
-1.008,1647.82,33,PL07-71 BC,-1.158
-1.416,1646.35,33.1,PL07-71 BC,-1.32
-1.39,1644.88,33.2,PL07-71 BC,-0.909
-1.6,1643.41,33.3,PL07-71 BC,-1.305
-1.34,1641.93,33.4,PL07-71 BC,-1.162
-1.53,1640.45,33.5,PL07-71 BC,-1.163
-1.62,1638.96,33.6,PL07-71 BC,-1.198
-1.63,1637.47,33.7,PL07-71 BC,-1.029
-1.67,1635.97,33.8,PL07-71 BC,-1.101
-1.28,1634.47,33.9,PL07-71 BC,-1.3
-1.58,1632.97,34,PL07-71 BC,-1.188
-1.61,1631.46,34.1,PL07-71 BC,-1.038
-1.83,1629.95,34.2,PL07-71 BC,-0.985
-1.45,1628.44,34.3,PL07-71 BC,-1.014
-1.91,1626.92,34.4,PL07-71 BC,-1.121
-1.52,1625.39,34.5,PL07-71 BC,-1.353
-1.83,1623.86,34.6,PL07-71 BC,-1.066
-1.45,1622.33,34.7,PL07-71 BC,-1.096
-1.82,1620.79,34.8,PL07-71 BC,-1.233
-1.79,1619.25,34.9,PL07-71 BC,-1.23
-1.26,1617.7,35,PL07-71 BC,-1.106
-1.51,1616.15,35.1,PL07-71 BC,-1.271
-1.68,1614.6,35.2,PL07-71 BC,-1.132
-1.73,1613.04,35.3,PL07-71 BC,-1.184
-1.77,1611.48,35.4,PL07-71 BC,-1.253
-1.73,1609.91,35.5,PL07-71 BC,-1.154
-2.04,1608.34,35.6,PL07-71 BC,-1.049
-1.94,1606.76,35.7,PL07-71 BC,-1.043
-1.09,1605.18,35.8,PL07-71 BC,-1.344
-1.95,1603.59,35.9,PL07-71 BC,-1.214
-1.6,1602,36,PL07-71 BC,-1.177
-1.49,1600.41,36.1,PL07-71 BC,-1.089
-1.35,1598.81,36.2,PL07-71 BC,-1.089
-1.65,1597.21,36.3,PL07-71 BC,-1.19
-1.65,1595.6,36.4,PL07-71 BC,-1.094
-1.45,1593.99,36.5,PL07-71 BC,-1.115
-1.277,1592.37,36.6,PL07-71 BC,-1.178
-1.36,1590.75,36.7,PL07-71 BC,-1.123
-1.814,1589.12,36.8,PL07-71 BC,-0.942
-1.549,1587.49,36.9,PL07-71 BC,-0.978
-1.54,1585.86,37,PL07-71 BC,-1.03
-1.459,1584.22,37.1,PL07-71 BC,-1.284
-1.77,1582.57,37.2,PL07-71 BC,-1.175
-1.762,1580.92,37.3,PL07-71 BC,-1.102
-1.381,1579.27,37.4,PL07-71 BC,-1.096
-1.69,1577.61,37.5,PL07-71 BC,-1.065
-1.646,1575.95,37.6,PL07-71 BC,-0.986
-1.461,1574.28,37.7,PL07-71 BC,-1.137
-1.431,1572.61,37.8,PL07-71 BC,-0.997
-1.827,1570.93,37.9,PL07-71 BC,-1.115
-1.577,1569.25,38,PL07-71 BC,-1.108
-1.888,1567.56,38.1,PL07-71 BC,-1.183
-1.693,1565.87,38.2,PL07-71 BC,-0.833
-1.523,1564.18,38.3,PL07-71 BC,-1.06
-1.772,1562.47,38.4,PL07-71 BC,-1.188
-1.51,1560.77,38.5,PL07-71 BC,-1.027
-1.61,1559.06,38.6,PL07-71 BC,-0.85
-1.53,1557.34,38.7,PL07-71 BC,-1.254
-1.63,1555.62,38.8,PL07-71 BC,-1.171
-1.311,1553.9,38.9,PL07-71 BC,-1.044
-1.575,1552.17,39,PL07-71 BC,-1.296
-1.616,1550.43,39.1,PL07-71 BC,-1.141
-1.52,1548.69,39.2,PL07-71 BC,-1.189
-1.641,1546.95,39.3,PL07-71 BC,-0.936
-1.734,1545.2,39.4,PL07-71 BC,-1.073
-1.705,1543.45,39.5,PL07-71 BC,-0.958
-1.373,1541.69,39.6,PL07-71 BC,-1.075
-1.33,1539.92,39.7,PL07-71 BC,-1.045
-1.521,1538.15,39.8,PL07-71 BC,-1.092
-1.491,1536.38,39.9,PL07-71 BC,-1.164
-1.175,1534.6,40,PL07-71 BC,-0.733
-1.493,1532.82,40.1,PL07-71 BC,-0.95
-1.485,1531.03,40.2,PL07-71 BC,-1.238
-1.575,1529.23,40.3,PL07-71 BC,-1.154
-1.438,1527.43,40.4,PL07-71 BC,-1.225
-1.335,1525.63,40.5,PL07-71 BC,-1.375
-1.613,1523.82,40.6,PL07-71 BC,-1.23
-1.781,1522.01,40.7,PL07-71 BC,-1.291
-1.631,1520.19,40.8,PL07-71 BC,-1.182
-1.086,1518.36,40.9,PL07-71 BC,-1.461
-1.774,1516.53,41,PL07-71 BC,-1.133
-1.582,1514.7,41.1,PL07-71 BC,-1.505
-1.718,1512.86,41.2,PL07-71 BC,-1.207
-1.879,1511.01,41.3,PL07-71 BC,-1.189
-1.427,1509.16,41.4,PL07-71 BC,-1.311
-1.445,1507.31,41.5,PL07-71 BC,-1.395
-1.334,1505.45,41.6,PL07-71 BC,-1.267
-1.454,1503.58,41.7,PL07-71 BC,-1.232
-1.865,1501.71,41.8,PL07-71 BC,-1.293
-1.196,1499.83,41.9,PL07-71 BC,-1.266
-1.773,1497.95,42,PL07-71 BC,-1.327
-1.359,1496.06,42.1,PL07-71 BC,-1.212
-1.123,1494.17,42.2,PL07-71 BC,-1.085
-1.615,1492.27,42.3,PL07-71 BC,-1.118
-1.786,1490.37,42.4,PL07-71 BC,-1.301
-1.288,1488.46,42.5,PL07-71 BC,-1.129
-1.862,1486.55,42.6,PL07-71 BC,-1.065
-1.642,1484.63,42.7,PL07-71 BC,-1.25
-1.819,1482.71,42.8,PL07-71 BC,-1.173
-1.867,1480.78,42.9,PL07-71 BC,-1.168
-1.637,1478.84,43,PL07-71 BC,-1.094
-1.722,1476.9,43.1,PL07-71 BC,-1.219
-1.557,1474.96,43.2,PL07-71 BC,-1.266
-1.629,1473,43.3,PL07-71 BC,-1.074
-1.59,1471.05,43.4,PL07-71 BC,-1.148
-1.47,1469.09,43.5,PL07-71 BC,-0.971
-1.36,1467.12,43.6,PL07-71 BC,-1.158
-1.83,1465.14,43.7,PL07-71 BC,-1.115
-1.66,1463.17,43.8,PL07-71 BC,-1.173
-1.56,1461.18,43.9,PL07-71 BC,-1.093
-2.04,1459.19,44,PL07-71 BC,-1.238
-1.69,1457.2,44.1,PL07-71 BC,-1.067
-1.56,1455.2,44.2,PL07-71 BC,-1.294
-1.58,1453.19,44.3,PL07-71 BC,-1.137
-1.17,1451.18,44.4,PL07-71 BC,-1.098
-1.67,1449.16,44.5,PL07-71 BC,-0.969
-1.95,1447.14,44.6,PL07-71 BC,-1.155
-1.55,1445.11,44.7,PL07-71 BC,-1.185
-1.32,1443.07,44.8,PL07-71 BC,-1.181
-1.74,1441.03,44.9,PL07-71 BC,-1.195
-1.88,1438.99,45,PL07-71 BC,-1.24
-1.68,1436.94,45.1,PL07-71 BC,-1.223
-2.01,1434.88,45.2,PL07-71 BC,-1.198
-1.55,1432.82,45.3,PL07-71 BC,-1.046
-2.04,1430.75,45.4,PL07-71 BC,-1.263
-1.72,1428.67,45.5,PL07-71 BC,-1.236
-1.51,1426.59,45.6,PL07-71 BC,-1.209
-1.29,1424.51,45.7,PL07-71 BC,-1.159
-1.57,1422.42,45.8,PL07-71 BC,-1.185
-1.7,1420.32,45.9,PL07-71 BC,-1.29
-1.65,1418.22,46,PL07-71 BC,-1.215
-1.84,1416.11,46.1,PL07-71 BC,-1.23
-1.73,1413.99,46.2,PL07-71 BC,-1.124
-1.95,1411.87,46.3,PL07-71 BC,-1.095
-1.85,1409.75,46.4,PL07-71 BC,-1.312
-1.71,1407.61,46.5,PL07-71 BC,-1.142
-1.84,1405.48,46.6,PL07-71 BC,-1.12
-1.86,1403.33,46.7,PL07-71 BC,-1.141
-1.89,1401.18,46.8,PL07-71 BC,-1.199
-1.69,1399.03,46.9,PL07-71 BC,-1.158
-1.49,1396.86,47,PL07-71 BC,-1
-1.8,1394.7,47.1,PL07-71 BC,-1.045
-2.04,1392.52,47.2,PL07-71 BC,-1.136
-1.67,1390.34,47.3,PL07-71 BC,-0.972
-1.43,1388.16,47.4,PL07-71 BC,-1.09
-1.59,1385.97,47.5,PL07-71 BC,-1.09
-1.49,1383.77,47.6,PL07-71 BC,-0.957
-1.67,1381.56,47.7,PL07-71 BC,-1.24
-1.57,1379.35,47.8,PL07-71 BC,-0.969
-1.71,1377.14,47.9,PL07-71 BC,-0.96
-2.11,1374.92,48,PL07-71 BC,-1.204
-1.99,1372.69,48.1,PL07-71 BC,-1.061
-1.46,1370.46,48.2,PL07-71 BC,-0.995
-1.65,1368.21,48.3,PL07-71 BC,-1.087
-1.83,1365.97,48.4,PL07-71 BC,-1.119
-1.56,1363.72,48.5,PL07-71 BC,-1.167
-1.51,1361.46,48.6,PL07-71 BC,-1.122
-1.74,1359.19,48.7,PL07-71 BC,-1.265
-1.91,1356.92,48.8,PL07-71 BC,-1.085
-1.57,1354.65,48.9,PL07-71 BC,-1.085
-1.61,1352.36,49,PL07-71 BC,-1.274
-1.72,1350.07,49.1,PL07-71 BC,-1.141
-1.9,1347.78,49.2,PL07-71 BC,-1.148
-1.38,1345.48,49.3,PL07-71 BC,-1.083
-1.48,1343.17,49.4,PL07-71 BC,-0.963
-1.89,1340.85,49.5,PL07-71 BC,-1.393
-1.83,1338.53,49.6,PL07-71 BC,-1.147
-1.59,1336.21,49.7,PL07-71 BC,-1.089
-2.11,1333.87,49.8,PL07-71 BC,-1.316
-1.93,1331.53,49.9,PL07-71 BC,-1.295
-1.59,1329.19,50,PL07-71 BC,-1.182
-1.76,1326.83,50.1,PL07-71 BC,-1.355
-1.52,1324.48,50.2,PL07-71 BC,-1.173
-1.69,1322.11,50.3,PL07-71 BC,-1.186
-1.23,1319.74,50.4,PL07-71 BC,-1.124
