d18O (permil),year (AD),d18O (permil) [2-1],year (AD) [2-1]
-3.702,1950.75,-4.031,1938.9
-3.751,1950.92,-3.994,1938.96
-4.15,1951.09,-3.929,1939.03
-4.21,1951.25,-3.898,1939.1
-4.161,1951.42,-3.873,1939.17
-3.861,1951.58,-3.909,1939.33
-4.327,1951.75,-4.123,1939.5
-4.064,1951.88,-4.276,1939.67
-3.597,1952,-4.184,1939.84
-3.739,1952.13,-4.098,1940
-3.737,1952.25,-3.816,1940.17
-4.144,1952.37,-4.48,1940.33
-3.832,1952.5,-4.154,1940.5
-3.957,1952.63,-4.381,1940.67
-3.782,1952.75,-4.056,1940.84
-3.599,1952.86,-3.758,1941.17
-3.694,1952.95,-3.855,1941.3
-3.787,1953.06,-4.297,1941.44
-4.103,1953.26,-4.296,1941.59
-4.277,1953.35,-4.152,1941.73
-4.31,1953.46,-4.097,1941.88
-3.967,1953.56,-4.1,1942.02
-3.999,1953.66,-4.071,1942.17
-3.986,1953.75,-3.96,1942.3
-3.721,1953.89,-4.176,1942.44
-3.987,1954.03,-4.217,1942.59
-4.403,1954.31,-4.03,1942.88
-4.157,1954.46,-3.992,1943.02
-4.278,1954.6,-3.868,1943.17
-4.025,1954.75,-3.951,1943.29
-3.664,1954.92,-999,1943.35
-3.475,1955.09,-3.98,1943.44
-3.637,1955.25,-4.092,1943.53
-3.712,1955.42,-3.961,1943.72
-3.861,1955.58,-4.058,1943.81
-4.269,1955.75,-3.746,1943.9
-3.643,1956.03,-999,1944.08
-3.854,1956.23,-4.053,1944.17
-3.994,1956.43,-4.082,1944.29
-4.12,1956.63,-4.055,1944.42
-3.998,1956.75,-4.15,1944.54
-3.888,1956.86,-4.018,1944.67
-3.561,1956.97,-3.948,1944.79
-3.857,1957.09,-3.821,1944.92
-3.396,1957.19,-3.771,1945.04
-3.489,1957.3,-3.69,1945.17
-3.762,1957.42,-3.79,1945.33
-3.824,1957.53,-4.01,1945.5
-3.897,1957.64,-4.093,1945.67
-4.295,1957.75,-4.067,1945.84
-4.056,1957.88,-4.215,1946.01
-3.936,1958.01,-4.22,1946.17
-3.522,1958.25,-4.364,1946.28
-3.812,1958.37,-4.208,1946.39
-3.684,1958.5,-3.938,1946.5
-4.184,1958.62,-4.41,1946.61
-4.311,1958.75,-4.3,1946.72
-3.628,1958.92,-4.843,1946.84
-3.699,1959.09,-4.387,1946.94
-3.947,1959.25,-4.14,1947.06
-3.912,1959.42,-4.141,1947.17
-3.915,1959.59,-4.261,1947.3
-4.382,1959.75,-4.173,1947.44
-4.21,1959.85,-3.954,1947.59
-4.326,1959.94,-4.538,1947.73
-4.098,1960.03,-4.138,1947.88
-3.875,1960.12,-4.373,1948.02
-3.711,1960.21,-3.998,1948.17
-3.587,1960.3,-4.13,1948.3
-3.334,1960.39,-4.088,1948.44
-3.748,1960.48,-4.057,1948.59
-4.27,1960.57,-4.035,1948.73
-4.574,1960.66,-4.492,1948.88
-4.362,1960.75,-4.655,1949.02
-4.377,1960.86,-4.099,1949.17
-4.003,1960.95,-4.127,1949.3
-4.146,1961.06,-3.989,1949.44
-3.833,1961.16,-3.963,1949.59
-4.309,1961.26,-3.873,1949.73
-3.902,1961.35,-4.149,1949.88
-3.619,1961.46,-4.136,1950.09
-3.799,1961.56,-3.918,1950.5
-3.85,1961.66,-3.702,1950.67
-3.99,1961.75,-3.908,1950.84
-3.873,1961.85,-4.282,1951
-3.627,1961.95,-3.86,1951.17
-3.899,1962.05,-3.854,1951.5
-3.685,1962.16,-3.733,1951.67
-3.865,1962.25,-3.737,1951.84
-3.945,1962.35,-4.17,1952
-3.995,1962.46,-4.114,1952.17
-4.029,1962.56,-4.223,1952.29
-4.118,1962.66,-3.702,1952.42
-4.274,1962.75,-4.016,1952.54
-4.371,1962.88,-3.938,1952.67
-4.306,1963,-4.088,1952.79
-4.513,1963.13,-3.81,1952.92
-3.934,1963.5,-3.706,1953.04
-4.215,1963.62,-3.726,1953.17
-4.083,1963.75,-3.998,1953.28
-3.668,1963.88,-3.902,1953.39
-4.252,1964,-3.767,1953.5
-4.112,1964.13,-3.804,1953.61
-4.017,1964.37,-3.653,1953.72
-4.009,1964.5,-3.905,1953.84
-3.933,1964.63,-3.91,1953.94
-3.95,1964.75,-4.087,1954.06
-3.908,1964.86,-3.917,1954.17
-3.782,1964.95,-4.093,1954.33
-3.968,1965.06,-4.007,1954.5
-4.042,1965.16,-999,1954.67
-3.95,1965.26,-4.181,1954.84
-4.16,1965.35,-4.117,1955
-4.327,1965.46,-3.718,1955.17
-4.412,1965.56,-4.074,1955.33
-4.296,1965.66,-4.087,1955.5
-4.166,1965.75,-3.527,1955.67
-4.021,1965.89,-3.988,1955.84
-4.25,1966.03,-4.243,1956
-4.101,1966.17,-4.163,1956.17
-4.638,1966.31,-3.568,1956.37
-4.647,1966.46,-4.027,1956.43
-4.503,1966.61,-4.05,1956.56
-4.214,1966.75,-4.206,1956.64
-4.159,1966.88,-4.148,1956.7
-4.415,1967,-3.953,1956.77
-4.344,1967.13,-3.997,1956.83
-4.554,1967.25,-3.746,1956.9
-4.2,1967.37,-3.754,1956.96
-4.438,1967.62,-3.978,1957.03
-4.41,1967.75,-3.899,1957.17
-4.038,1967.88,-3.951,1957.5
-4.397,1968,-3.887,1957.67
-4.122,1968.13,-3.834,1957.84
-4.191,1968.25,-3.817,1958.01
-4.435,1968.37,-3.628,1958.17
-4.077,1969.04,-3.82,1958.27
-4.203,1969.23,-4.101,1958.37
-3.88,1969.63,-3.613,1958.5
-3.869,1969.75,-4.061,1958.6
-3.545,1969.89,-3.817,1958.7
-3.548,1970.17,-3.732,1958.8
-3.747,1970.31,-4.224,1959.03
-3.899,1970.46,-4.002,1959.17
-3.915,1970.75,-3.809,1959.33
-3.931,1970.95,-4.004,1959.5
-3.838,1971.16,-3.964,1959.67
-4.02,1971.35,-3.908,1959.84
-3.915,1971.46,-4.012,1960
-3.691,1971.56,-3.939,1960.17
-3.823,1971.66,-4.632,1960.42
-4.313,1971.75,-4.55,1960.54
-3.969,1971.86,-3.878,1960.67
-3.969,1971.97,-4.149,1960.79
-3.834,1972.09,-4.071,1960.92
-3.765,1972.19,-4.09,1961.04
-4.489,1972.31,-3.977,1961.17
-4.035,1972.42,-3.984,1961.3
-4.038,1972.53,-4.047,1961.44
-3.609,1972.64,-4.065,1961.59
-4.235,1972.75,-3.894,1961.73
-3.861,1972.92,-4.193,1961.88
-4.091,1973.09,-3.836,1962.02
-4.171,1973.25,-4.007,1962.17
-4.344,1973.42,-999,1962.27
-4.188,1973.75,-3.888,1962.37
-3.841,1973.86,-3.779,1962.47
-3.821,1973.97,-4.375,1962.57
-3.865,1974.09,-4.176,1962.67
-3.974,1974.19,-3.943,1962.88
-4.169,1974.3,-3.814,1962.97
-4.198,1974.42,-3.96,1963.08
-4.42,1974.53,-3.64,1963.17
-4.419,1974.75,-3.889,1963.33
-3.979,1974.86,-3.762,1963.5
-4.037,1974.97,-3.87,1963.67
-3.899,1975.09,-3.862,1964
-3.758,1975.19,-3.767,1964.17
-4.02,1975.42,-3.883,1964.31
-3.856,1975.53,-4.18,1964.44
-3.874,1975.64,-3.986,1964.59
-4.33,1975.75,-4.106,1964.74
-3.92,1975.86,-4.157,1964.88
-3.906,1975.97,-4.383,1965.03
-3.786,1976.19,-4.23,1965.17
-4.263,1976.31,-4.269,1965.3
-4.235,1976.53,-4.113,1965.44
-4.091,1976.64,-4.184,1965.59
-4.129,1976.75,-3.867,1965.73
-3.98,1976.89,-4.066,1965.88
-3.898,1977.03,-3.895,1966.02
-3.799,1977.17,-3.933,1966.17
-3.877,1977.32,-4.203,1966.26
-3.985,1977.75,-4.126,1966.35
-3.674,1977.92,-4.137,1966.44
-3.814,1978.09,-3.71,1966.53
-4.079,1978.42,-3.943,1966.62
-3.647,1978.75,-3.588,1966.72
-3.651,1978.92,-4.041,1966.81
-3.712,1979.09,-4.382,1966.9
-4.267,1979.25,-4.035,1966.99
-4.112,1979.42,-4.333,1967.08
-4.013,1979.75,-3.776,1967.17
-4.04,1980.09,-3.846,1967.27
-4.008,1980.42,-3.938,1967.37
-4.027,1980.59,-4.207,1967.47
-4.158,1980.75,-3.864,1967.57
-3.963,1980.86,-3.952,1967.67
-3.789,1980.97,-4.081,1967.77
-4.034,1981.09,-4.211,1967.88
-4.407,1981.19,-4.04,1967.97
-3.959,1981.64,-3.999,1968.08
-4.082,1981.75,-3.827,1968.17
-3.714,1982.09,-4.011,1968.29
-3.725,1982.42,-4.412,1968.42
-3.737,1982.75,-4.088,1968.54
-3.709,1982.88,-4.403,1968.79
-3.858,1983.01,-4.334,1968.92
-3.594,1983.13,-4.263,1969.04
-3.41,1983.25,-3.793,1969.17
-3.45,1983.37,-4.085,1969.28
-3.751,1983.5,-3.998,1969.39
-3.467,1983.62,-4.26,1969.5
-4.127,1983.75,-4.245,1969.61
-3.532,1983.88,-4.233,1969.72
-3.785,1984,-4.308,1969.84
-3.646,1984.13,-4.131,1969.95
-4.072,1984.25,-3.837,1970.06
-4.058,1984.37,-3.734,1970.17
-3.884,1984.5,-3.993,1970.33
-3.934,1984.63,-3.911,1970.5
-3.647,1984.75,-3.948,1970.67
-3.567,1984.88,-4.002,1970.84
-3.594,1985.01,-4.011,1971
-3.716,1985.13,-3.972,1971.17
-3.831,1985.25,-4.131,1971.3
-3.701,1985.37,-4.643,1971.37
-3.679,1985.5,-4.196,1971.47
-3.651,1985.63,-3.94,1971.57
-3.71,1985.75,-4.227,1971.67
-3.475,1986.04,-4.249,1971.77
-3.626,1986.23,-4.319,1971.88
-3.688,1986.43,-4.334,1971.97
-3.536,1986.63,-4.482,1972.08
-3.78,1986.67,-4.268,1972.17
-3.62,1987.04,-4.286,1972.29
-3.685,1987.23,-3.864,1972.42
-3.901,1987.43,-4.087,1972.54
-3.807,1987.63,-3.978,1972.67
-3.838,1987.75,-4.235,1972.79
-3.963,1987.89,-4.367,1973.04
-3.714,1988.03,-4.358,1973.17
-3.969,1988.32,-4.129,1973.65
-3.888,1988.46,-4.069,1973.85
-3.897,1988.75,-4.278,1974.05
-3.696,1989.09,-4.334,1974.17
-3.863,1989.25,-4.132,1975.17
-3.665,1989.42,-4.356,1976.17
-3.658,1989.59,-4.348,1976.39
-4.185,1989.75,-4.001,1976.5
-4.204,1989.88,-4.193,1976.61
-3.725,1990.01,-4.039,1976.67
-3.896,1990.13,-4.436,1976.72
-3.704,1990.25,-4.192,1976.84
-3.781,1990.37,-4.196,1977.01
-3.809,1990.5,-4.312,1977.17
-4.195,1990.62,-4.289,1977.33
-4.054,1990.75,-4.143,1977.5
-3.779,1990.92,-4.253,1977.67
-3.626,1991.09,-4.09,1977.84
-3.445,1991.59,-4.283,1978.01
-3.773,1991.75,-4.081,1978.17
-3.62,1991.89,-4.172,1978.3
-3.432,1992.03,-4.216,1978.37
-3.689,1992.17,-4.03,1978.47
-4.194,1992.46,-3.936,1978.57
-3.769,1992.75,-4.193,1978.67
-3.955,1993.01,-3.873,1978.88
-3.785,1993.13,-3.981,1979.08
-3.933,1993.25,-4.104,1979.17
-4.156,1993.37,-4.144,1979.27
-4.185,1993.5,-4.229,1979.5
-4.062,1993.63,-4.338,1979.7
-3.966,1993.75,-4.308,1979.91
-3.719,1993.92,-4.137,1980.03
-3.747,1994.09,-4.054,1980.17
-4.339,1994.25,-4.168,1980.28
-4.021,1994.42,-4.189,1980.5
-4.104,1994.59,-4.293,1980.72
-3.888,1994.75,-4.192,1980.95
-4.033,1994.92,-3.835,1981.17
-3.891,1995.09,-3.828,1981.42
-3.946,1995.25,-3.956,1981.67
-4.053,1995.42,-4.052,1981.92
-3.942,1995.59,-3.939,1982.17
-3.894,1995.75,-3.977,1982.33
-4.108,1995.92,-3.937,1982.5
-4.201,1996.09,-4.151,1982.67
-4.28,1996.25,-4.175,1982.84
-4.279,1996.59,-4.206,1983.01
-4.064,1996.75,-4.186,1983.17
-4.21,1996.88,-4.021,1983.33
-4.015,1997.01,-4.099,1983.67
-4.016,1997.25,-3.863,1983.84
-4,1997.37,-4.065,1984
-4.221,1997.5,-4.128,1984.17
-4.288,1997.63,-4.003,1984.31
-4.181,1997.75,-4.252,1984.45
-4.215,1997.92,-4.058,1984.59
-3.933,1998.09,-4.064,1984.88
-3.886,1998.25,-4.18,1985.17
-3.541,1998.59,-4.011,1985.45
-3.444,1998.75,-3.947,1985.65
-3.589,1999.01,-3.791,1985.85
-3.746,1999.25,-3.91,1986.05
-4.214,1999.5,-4.111,1986.17
-3.985,1999.75,-4.103,1986.3
-3.581,1999.92,-4.165,1986.44
-3.785,2000.09,-4.296,1986.59
-4.023,2000.25,-3.903,1986.73
-3.722,2000.42,-4.13,1986.88
-4.146,2000.59,-3.818,1987.17
-4.578,2000.75,-3.981,1987.45
-4.295,2000.82,-3.873,1987.65
-4.316,2000.89,-3.834,1987.85
-4.127,2000.95,-4.039,1988.05
-4.293,2001.02,-3.845,1988.17
-4.108,2001.09,-3.843,1988.31
-4.215,2001.15,-3.855,1988.45
-3.925,2001.22,-3.973,1988.59
-3.953,2001.28,-3.99,1988.74
-3.819,2001.35,-3.947,1988.88
-3.992,2001.41,-3.97,1989.03
-4.32,2001.48,-3.784,1989.17
-4.087,2001.61,-4.185,1989.28
-4.15,2001.68,-4.167,1989.39
-4.268,2001.75,-4.326,1989.5
-4.015,2001.88,-3.971,1989.61
-4.206,2001.94,-4.168,1989.72
-4.008,2002,-3.882,1989.95
-4.043,2002.06,-3.74,1990.17
-4.17,2002.12,-3.987,1990.5
-4.362,2002.18,-3.993,1990.7
-4.008,2002.24,-4.106,1990.8
-4.199,2002.3,-4.103,1991.04
-4.193,2002.36,-3.945,1991.17
-4.241,2002.42,-4.048,1991.65
-4.484,2002.48,-3.831,1991.85
-4.489,2002.54,-4.296,1992.05
-4.256,2002.6,-3.929,1992.17
-4.051,2002.66,-4.424,1992.29
-4.396,2002.75,-4.426,1992.42
-4.257,2002.82,-3.91,1992.54
-4.474,2002.89,-4.484,1992.67
-4.456,2002.95,-4.139,1992.79
-4.035,2003.02,-4.004,1992.92
-3.81,2003.08,-4.165,1993.05
-3.758,2003.15,-3.813,1993.17
-3.941,2003.22,-4.186,1993.34
-3.844,2003.28,-3.964,1993.5
-4.167,2003.35,-4.38,1993.67
-4.288,2003.41,-4.276,1993.84
-4.134,2003.48,-4.43,1994.01
-4.12,2003.54,-3.822,1994.17
-4.206,2003.61,-4.066,1994.33
-4.146,2003.68,-4.407,1994.5
-4.215,2003.75,-4.037,1994.67
-3.904,2003.88,-4.311,1994.84
-3.902,2004,-4.065,1995.01
-3.993,2004.06,-4.003,1995.17
-4.168,2004.12,-4.221,1995.42
-3.901,2004.24,-4.856,1995.67
-4.387,2004.3,-4.192,1995.92
-4.204,2004.36,-4.049,1996.17
-4.374,2004.42,-3.822,1996.31
-4.374,2004.48,-3.848,1996.45
-4.289,2004.6,-4.143,1996.59
-4.132,2004.66,-3.729,1996.74
-4.392,2004.76,-3.883,1996.88
-4.12,2004.86,-3.935,1997.03
-4.088,2004.97,-3.848,1997.17
-3.638,2005.09,-4.173,1997.34
-3.639,2005.19,-3.951,1997.5
-3.835,2005.31,-4.108,1997.67
-3.783,2005.42,-3.998,1997.84
-4.227,2005.53,-4.053,1998.01
-4.022,2005.64,-3.837,1998.17
-4.313,2005.75,-4.376,1998.23
-4.402,2005.84,-4.182,1998.3
-4.109,2005.88,-4.539,1998.37
-4.18,2005.92,-4.742,1998.43
-4.117,2006.01,-4.398,1998.5
NA,NA,-4.517,1998.72
NA,NA,-4.756,1998.95
NA,NA,-4.222,1999.17
NA,NA,-4.435,1999.59
NA,NA,-4.222,2000.17
NA,NA,-3.997,2000.34
NA,NA,-4.168,2000.5
NA,NA,-4.213,2000.67
NA,NA,-4.025,2000.84
NA,NA,-4.365,2001.01
NA,NA,-4.66,2001.17
NA,NA,-4.735,2001.26
NA,NA,-4.736,2001.35
NA,NA,-4.806,2001.44
NA,NA,-4.725,2001.53
NA,NA,-4.348,2001.63
NA,NA,-4.703,2001.72
NA,NA,-4.729,2001.81
NA,NA,-4.797,2001.9
NA,NA,-4.613,2001.99
NA,NA,-4.702,2002.08
NA,NA,-4.454,2002.17
NA,NA,-4.624,2002.26
NA,NA,-4.494,2002.35
NA,NA,-4.244,2002.44
NA,NA,-4.505,2002.53
NA,NA,-4.434,2002.62
NA,NA,-4.268,2002.72
NA,NA,-4.43,2002.81
NA,NA,-4.725,2002.9
NA,NA,-4.342,2002.99
NA,NA,-4.522,2003.08
NA,NA,-4.01,2003.17
NA,NA,-3.953,2003.26
NA,NA,-4.355,2003.35
NA,NA,-3.954,2003.44
NA,NA,-4.127,2003.53
NA,NA,-4.034,2003.62
NA,NA,-4.481,2003.72
NA,NA,-4.21,2003.81
NA,NA,-4.192,2003.9
NA,NA,-4.111,2003.99
NA,NA,-4.072,2004.08
NA,NA,-3.93,2004.17
NA,NA,-3.983,2004.29
NA,NA,-4.216,2004.42
NA,NA,-4.2,2004.54
NA,NA,-4.249,2004.67
NA,NA,-4.189,2004.79
NA,NA,-4.279,2004.92
NA,NA,-4.154,2005.05
NA,NA,-4.118,2005.17
NA,NA,-4.298,2005.28
NA,NA,-4.456,2005.39
NA,NA,-4.343,2005.5
NA,NA,-4.621,2005.61
NA,NA,-4.276,2005.72
NA,NA,-4.479,2005.82
NA,NA,-4.246,2005.92
