Age (years),d18O (per mil),Sr/Ca (mmol/mol)
1937.4999,-3.9434,9.2846
1937.3332,-4.01,9.25
1937.1666,-3.99,9.246
1936.9999,-3.97,9.242
1936.8332,-3.9502,9.238
1936.6666,-4.2069,9.1983
1936.4999,-4.3533,9.1843
1936.3332,-4.4097,9.1782
1936.1666,-4.0466,9.3279
1935.9999,-4.1335,9.2513
1935.8332,-4.1401,9.241
1935.6666,-4.3001,9.1936
1935.4999,-4.3934,9.166
1935.3332,-4.4199,9.158
1935.1666,-4.2499,9.197
1934.9999,-4.17,9.233
1934.8332,-4.1601,9.303
1934.6666,-4.25,9.27
1934.4999,-4.3001,9.2409
1934.3332,-4.4599,9.132
1934.1666,-4.25,9.182
1933.9999,-4.3198,9.1381
1933.8332,-4.0601,9.239
1933.6666,-4.2467,9.2067
1933.4999,-4.3367000000000004,9.1841
1933.3332,-4.5399,9.192
1933.1666,-4.35,9.203
1932.9999,-4.27,9.191
1932.8332,-4.2502,9.2159
1932.6666,-4.3432,9.2094
1932.4999,-4.46,9.1333
1932.3332,-4.5998,9.165
1932.1666,-4.3467,9.1893
1931.9999,-4.2532,9.19
1931.8332,-4.0501,9.3489
1931.6666,-4.3135,9.2143
1931.4999,-4.4266,9.1955
1931.3332,-4.48,9.26
1931.1666,-4.42,9.205
1930.9999,-4.3399,9.287
1930.8332,-4.1701,9.21
1930.6666,-4.3034,9.224
1930.4999,-4.39,9.207
1930.3332,-4.43,9.159
1930.1666,-4.41,9.127
1929.9999,-4.3967,9.0823
1929.8332,-4.39,9.0251
1929.6666,-4.4034,9.1577
1929.4999,-4.2832,9.1634
1929.3332,-4.6999,9.0721
1929.1666,-4.4298,9.225
1928.9999,-4.0498,9.2631
1928.8332,-3.7401,9.303
1928.6666,-4.0199,9.296
1928.4999,-3.8602,9.304
1928.3333,-4.2299,9.318
1928.1666,-4.01,9.2907
1927.9999,-3.9833,9.31
1927.8333,-3.7301,9.353
1927.6666,-3.97,9.304
1927.4999,-3.98,9.319
1927.3333,-4.06,9.294
1927.1666,-4.04,9.3067
1926.9999,-3.9399,9.302
1926.8333,-3.7601,9.28
1926.6666,-3.8934,9.264
1926.4999,-4.0401,9.255
1926.3333,-4.1999,9.253
1926.1666,-4.01,9.254
1925.9999,-4.0999,9.266
1925.8333,-3.9201,9.283
1925.6666,-4.0867000000000004,9.2739
1925.4999,-4.3833,9.1656
1925.3333,-4.4699,9.18
1925.1666,-4.2399,9.25
1924.9999,-4.02,9.263
1924.8333,-3.9602,9.276
1924.6666,-4.2133,9.249
1924.4999,-4.3832,9.1803
1924.3333,-4.4499,9.196
1924.1666,-4.09,9.204
1923.9999,-4.01,9.299
1923.8333,-3.9001,9.28
1923.6666,-4.0033,9.282
1923.4999,-4.2667,9.1613
1923.3333,-4.39,9.091
1923.1666,-4.3567,9.139
1922.9999,-4.3066,9.1907
1922.8333,-4.24,9.246
1922.6666,-4.3267,9.1557
1922.4999,-4.3467,9.0983
1922.3333,-4.43,9.063
1922.1666,-4.2132,9.2247
1921.9999,-4.0067,9.2523
1921.8333,-3.9801,9.227
1921.6666,-4.2266,9.2273
1921.4999,-4.2734,9.1266
1921.3333,-4.47,9.091
1921.1666,-4.33,9.163
1920.9999,-4.28,9.1947
1920.8333,-4.26,9.192
1920.6666,-4.3634,9.1663
1920.5,-4.4366,9.1564
1920.3333,-4.44,9.19
1920.1666,-4.28,9.226
1920,-4.2799,9.242
1919.8333,-4.0401,9.205
1919.6666,-4.26,9.146
1919.5,-4.2101,9.142
1919.3333,-4.43,9.134
1919.1666,-4.3233,9.1783
1919,-4.2166,9.2313
1918.8333,-4.03,9.265
1918.6666,-4.1234,9.2273
1918.5,-4.2167,9.1897
1918.3333,-4.3099,9.152
1918.1666,-3.97,9.258
1918,-4.13,9.318
1917.8333,-3.9901,9.289
1917.6666,-4.2367,9.283
1917.5,-4.1334,9.3073
1917.3333,-4.21,9.355
1917.1666,-4.0566,9.369
1917,-3.89,9.4067
1916.8333,-3.71,9.468
1916.6666,-3.7933,9.443
1916.5,-3.8767,9.418
1916.3333,-3.9599,9.393
1916.1666,-3.8,9.3573
1916,-3.8,9.327
1915.8333,-3.61,9.359
1915.6666,-3.72,9.3287
1915.5,-3.83,9.2983
1915.3333,-3.94,9.268
1915.1666,-3.8301,9.217
1915,-4.28,9.196
1914.8333,-4.12,9.262
1914.6666,-4.1067,9.1813
1914.5,-4.2134,9.1307
1914.3333,-4.44,9.11
1914.1666,-4.2333,9.1513
1914,-3.9633,9.219
1913.8333,-3.63,9.313
1913.6666,-3.85,9.325
1913.5,-3.88,9.251
1913.3333,-4.05,9.246
1913.1666,-4.0133,9.2403
1913,-3.9767,9.2347
1912.8333,-3.94,9.229
1912.6666,-4.03,9.267
1912.5,-3.9801,9.27
1912.3333,-4.57,9.205
1912.1666,-4.16,9.227
1912,-4.21,9.166
1911.8333,-4.04,9.173
1911.6667,-4.21,9.187
1911.5,-4.34,9.166
1911.3333,-4.45,9.075
1911.1667,-4.3033,9.1717
1911,-4.24,9.2117
1910.8333,-4.26,9.195
1910.6667,-4.24,9.169
1910.5,-4.56,9.092
1910.3333,-4.75,9.101
1910.1667,-4.3267,9.1167
1910,-4.2333,9.1413
1909.8333,NA,9.095
1909.6667,NA,9.1497
1909.5,-4.1467,9.161
1909.3333,-4.32,9.129
1909.1667,-4.3443,9.173
