dD (permil),year (AD)
-157.635,1498
-145.37,1497
-160.935,1496
-152.52,1495
-159.845,1494
-142.4,1493
-154.365,1492
-150.13,1491
-153.29,1490
-155.87,1489
-145.15,1488
-139.28,1487
-140.8,1486
-150.48,1485
-149.25,1484
-155.575,1483
-167.88,1482
-168.56,1481
-159.35,1480
-136.115,1479
-140.69,1478
-154.22,1477
-160.01,1476
-140.07,1475
-154.05,1474
-147.135,1473
-135.08,1472
-159.495,1471
-170.87,1470
-143.02,1469
-125.75,1468
-146.69,1467
-153.645,1466
-146.89,1465
-147.355,1464
-139.81,1463
-148.695,1462
-150.78,1461
-147.685,1460
-146.74,1459
-160.47,1458
-162.6,1457
-154.865,1456
-152.52,1455
-157.19,1454
-158.425,1453
-174.05,1452
-151.92,1451
-156.15,1450
-157.74,1449
-152.2,1448
-155.945,1447
-159.44,1446
-151.17,1445
-150.105,1444
-141.44,1443
-146.775,1442
-142.42,1441
-137.86,1440
-151.86,1439
-138.06,1438
-157.73,1437
-164.95,1436
-158.45,1435
-154.99,1434
-159.79,1433
-163.51,1432
-153.72,1431
-151.72,1430
-148.13,1429
-150.395,1428
-177.49,1427
-180.05,1426
-165.75,1425
-140.6,1424
-164.29,1423
-182.62,1422
-146.93,1421
-153.115,1420
-127.68,1419
-146.43,1418
-149.09,1417
-150.31,1416
-152.37,1415
-164.51,1414
-151.31,1413
-161.325,1412
-166.3,1411
-170.655,1410
-165.24,1409
-139.27,1408
-151.08,1407
-140.83,1406
-137.21,1405
-146.69,1404
-149.59,1403
-147.95,1402
-155.11,1401
-145.47,1400
-149.315,1399
-140.91,1398
-151,1397
-162.905,1396
-150.6,1395
-150.625,1394
-153.4,1393
-165.13,1392
-146.08,1391
-148.21,1390
-148.13,1389
-164.02,1388
-160.93,1387
-146.57,1386
-150.2,1385
-164.99,1384
-149.55,1383
-165.805,1382
-171.96,1381
-155.09,1380
-157.375,1379
-148.07,1378
-157.13,1377
-154.04,1376
-152.19,1375
-158.34,1374
-151.33,1373
-167.39,1372
-153.705,1371
-165.94,1370
-161.36,1369
-158.48,1368
-156.38,1367
-138.45,1366
-140,1365
-145.08,1364
-171.63,1363
-156.585,1362
-155.89,1361
-158.3,1360
-147.975,1359
-146.58,1358
-149.94,1357
-150.045,1356
-154.88,1355
-158.44,1354
-146.19,1353
-170.18,1352
-144.71,1351
-152.31,1350
-139.3,1349
-151.96,1348
-157.455,1347
-142.88,1346
-142.69,1345
-140.415,1344
