d18O (permil),year (AD),depth (cm),Mg_Ca (mmol/mol),temperature (degC),d18O (permil)
0.44,949.09,69.25,1.67,9.08,1.73
0.27,942.88,69.75,1.54,8.26,1.75
0.04,936.68,70.25,1.38,7.14,1.78
0.24,930.47,70.75,1.4,7.27,1.95
0.4,924.26,71.25,1.52,8.09,1.92
0.09,918.05,71.75,1.42,7.4,1.77
0.29,911.84,72.25,1.52,8.09,1.8
0.66,905.64,72.75,1.58,8.52,2.08
0.32,899.43,73.25,1.58,8.51,1.74
0.2,893.22,73.75,1.51,8.08,1.72
0.47,887.01,74.25,1.67,9.08,1.75
0.45,880.8,74.75,1.58,8.52,1.87
0.48,874.6,75.25,1.66,9.02,1.79
0.29,868.39,75.75,1.58,8.48,1.71
0.49,862.18,76.25,1.75,9.55,1.67
0.52,855.97,76.75,1.72,9.37,1.74
0.67,849.76,77.25,1.76,9.59,1.84
0.41,843.56,77.75,1.74,9.48,1.61
0.43,837.35,78.25,1.66,9,1.74
0.23,831.14,78.75,1.5,8.01,1.77
0.3,824.93,79.25,1.51,8.07,1.82
NA,818.72,79.75,1.44,7.6,NA
