Sample ID (unitless),year (AD),d18O (per mil),Sr/Ca (mmol/mol),d18Osw (per mil)
167,1996.92,-5.06,8.85,0.21
168,1996.81,-4.98,8.89,0.13
169,1996.69,-4.99,8.87,0.2
170,1996.58,-4.88,8.84,0.45
171,1996.47,-5.1,8.8,0.35
172,1996.36,-5.09,8.81,0.31
173,1996.25,-5,8.77,0.55
174,1996.18,-5.09,8.81,0.33
175,1996.11,-5.03,8.91,0.01
176,1996.03,-5.04,8.93,-0.05
177,1995.96,-4.92,8.95,-0.01
178,1995.89,-4.85,8.97,-0.03
179,1995.82,-4.99,9,-0.29
180,1995.74,-5.02,8.99,-0.28
181,1995.67,-4.92,9,-0.19
182,1995.6,-4.88,8.98,-0.07
183,1995.53,-5.01,8.92,0.01
184,1995.46,-4.99,8.89,0.12
185,1995.38,-4.94,8.9,0.14
186,1995.31,-4.96,8.85,0.3
187,1995.24,-5.09,8.79,0.41
188,1995.17,-5.19,8.78,0.32
189,1995.07,-4.94,8.81,0.46
190,1994.97,-5.01,8.81,0.41
191,1994.87,-4.94,8.81,0.49
192,1994.77,-4.8,8.79,0.68
193,1994.67,-4.95,8.88,0.22
194,1994.57,-5.1,8.83,0.23
195,1994.47,-4.85,8.85,0.41
196,1994.37,-5.01,8.84,0.29
197,1994.27,-5.1,8.82,0.28
198,1994.17,-5.22,8.74,0.44
199,1994.05,-5.01,8.76,0.58
200,1993.94,-5.04,8.8,0.43
201,1993.82,-4.95,8.86,0.3
202,1993.71,-5.07,8.88,0.1
203,1993.59,-4.93,8.89,0.2
204,1993.48,-4.98,8.84,0.33
205,1993.36,-5.06,8.8,0.38
206,1993.25,-5.12,8.77,0.46
207,1993.16,-5.28,8.78,0.25
208,1993.07,-5.08,8.87,0.11
209,1992.98,-4.83,8.85,0.45
210,1992.89,-5.05,8.9,0.04
211,1992.8,-4.95,8.89,0.17
212,1992.71,-4.98,8.95,-0.08
213,1992.62,-4.85,8.96,0.04
214,1992.53,-4.91,8.92,0.1
215,1992.44,-4.89,8.85,0.39
216,1992.35,-4.95,8.87,0.23
217,1992.26,-4.84,8.85,0.44
218,1992.17,-5.11,8.84,0.18
219,1992.08,-5.23,8.87,-0.03
220,1992,-5.09,8.83,0.25
221,1991.92,-4.91,8.85,0.36
222,1991.83,-5.07,8.9,0.02
223,1991.75,-4.93,8.86,0.3
224,1991.67,-5.02,8.92,0.01
225,1991.58,-5.23,8.88,-0.05
226,1991.5,NA,8.84,NA
227,1991.42,-5.24,8.81,0.16
228,1991.33,-5.23,8.83,0.1
229,1991.25,-5.19,8.81,0.21
230,1991.17,-5.31,8.79,0.17
231,1991.08,-5.16,8.79,0.33
232,1991,-5.21,8.83,0.15
233,1990.92,-5.05,8.86,0.17
234,1990.83,-5.02,8.89,0.08
235,1990.75,-5.19,8.86,0.05
236,1990.67,-4.97,8.84,0.33
237,1990.58,-4.91,8.88,0.24
238,1990.5,-4.89,8.87,0.29
239,1990.42,-5,8.8,0.44
240,1990.33,-5.2,8.8,0.23
241,1990.25,-5.08,8.77,0.49
242,1990.17,-5.2,8.76,0.38
243,1990.07,-5.05,8.78,0.47
244,1989.97,-5.01,8.81,0.42
245,1989.87,-5.14,8.82,0.23
246,1989.77,-5.07,8.85,0.2
247,1989.67,-4.96,8.85,0.3
248,1989.57,-4.88,8.82,0.5
249,1989.47,-5,8.83,0.34
250,1989.37,-5.14,8.79,0.35
251,1989.27,-4.96,8.77,0.6
252,1989.17,-5.21,8.76,0.4
253,1989.09,-5.15,8.78,0.37
254,1989.02,-5.18,8.77,0.37
255,1988.95,-5.09,8.81,0.34
256,1988.88,-5.13,8.8,0.32
257,1988.8,-5.05,8.81,0.38
258,1988.73,-5,8.8,0.47
259,1988.66,-5.14,8.78,0.39
260,1988.58,-5.23,8.77,0.32
