d18O (permil),year (AD),depthice (m),depthwe (m),Accumulation rate ice (kg/m2/yr) (kg/m2/yr)
-34.4,1891,25.58,12.12,126
-35.5,1890,25.79,12.25,126
-37.9,1889,25.99,12.38,126
-37.3,1888,26.19,12.5,125
-37.5,1887,26.38,12.63,126
-37.2,1886,26.58,12.75,126
-36.8,1885,26.78,12.88,125
-36.1,1884,26.98,13,126
-36.3,1883,27.17,13.13,126
-34.9,1882,27.37,13.25,126
-33.8,1881,27.57,13.38,126
-34.7,1880,27.76,13.51,126
-36.5,1879,27.96,13.63,126
-37.1,1878,28.15,13.76,126
-36.9,1877,28.35,13.88,125
-35.8,1876,28.54,14.01,126
-35.2,1875,28.73,14.13,126
-34.9,1874,28.93,14.26,126
-34.7,1873,29.12,14.38,126
-35.1,1872,29.31,14.51,126
-34.9,1871,29.5,14.64,126
-36.7,1870,29.69,14.76,126
-36.3,1869,29.88,14.89,125
-36.4,1868,30.07,15.01,126
-36.2,1867,30.26,15.14,126
-36.1,1866,30.45,15.26,125
-36.6,1865,30.64,15.39,126
-35.8,1864,30.83,15.52,126
-36.1,1863,31.02,15.64,126
-37.4,1862,31.2,15.77,126
-36,1861,31.39,15.89,126
-34.6,1860,31.58,16.02,126
-35,1859,31.76,16.14,126
-35.7,1858,31.95,16.27,126
-36.6,1857,32.14,16.39,126
-37.9,1856,32.32,16.52,125
-37.6,1855,32.51,16.65,126
-37.5,1854,32.69,16.77,126
-37,1853,32.88,16.9,126
-36.6,1852,33.06,17.02,126
-35.4,1851,33.24,17.15,126
-35.1,1850,33.43,17.27,126
-35.3,1849,33.61,17.4,126
-35.2,1848,33.79,17.52,125
-34.5,1847,33.97,17.65,126
-33.5,1846,34.16,17.78,126
-34.7,1845,34.34,17.9,125
-35.4,1844,34.52,18.03,126
-36,1843,34.7,18.15,126
-36.1,1842,34.88,18.28,126
-36,1841,35.06,18.4,126
-36,1840,35.24,18.53,125
-35.8,1839,35.42,18.65,126
-36.3,1838,35.6,18.78,126
-35.5,1837,35.78,18.91,125
-37.6,1836,35.96,19.03,126
-39.2,1835,36.14,19.16,126
-39.2,1834,36.32,19.28,126
-39,1833,36.49,19.41,126
-38.6,1832,36.67,19.53,125
-37.2,1831,36.85,19.66,126
-36.4,1830,37.03,19.78,126
-37.6,1829,37.2,19.91,125
-37.7,1828,37.38,20.04,126
-36.5,1827,37.56,20.16,126
-35.2,1826,37.73,20.29,125
-34.9,1825,37.91,20.41,126
-35,1824,38.09,20.54,125
-34.4,1823,38.26,20.66,126
-34,1822,38.44,20.79,126
-36.2,1821,38.61,20.91,125
-38.7,1820,38.79,21.04,126
-38.5,1819,38.96,21.17,126
-37.4,1818,39.13,21.29,125
-36.7,1817,39.31,21.42,126
-36.3,1816,39.48,21.54,125
-37.5,1815,39.67,21.67,126
-37.6,1814,39.85,21.81,132
-37,1813,40.03,21.94,132
-36.5,1812,40.21,22.07,133
-35.3,1811,40.39,22.2,132
-35.6,1810,40.58,22.34,133
-36.2,1809,40.76,22.47,132
-35.6,1808,40.94,22.6,133
-34.7,1807,41.12,22.73,132
-33.1,1806,41.3,22.87,133
-32.6,1805,41.48,23,132
-33.9,1804,41.66,23.13,133
-34.8,1803,41.84,23.26,133
-35.5,1802,42.02,23.4,132
-36.3,1801,42.2,23.53,133
-37.7,1800,42.38,23.66,132
-36.2,1799,42.56,23.79,133
-35.6,1798,42.74,23.93,132
-36.4,1797,42.92,24.06,133
-37.2,1796,43.1,24.19,132
-37.6,1795,43.27,24.32,133
-36,1794,43.45,24.46,132
-35.6,1793,43.63,24.59,133
-36.7,1792,43.81,24.72,133
-36.4,1791,43.99,24.85,132
-35.6,1790,44.16,24.99,133
-34.5,1789,44.34,25.12,132
-34.4,1788,44.52,25.25,133
-34.3,1787,44.69,25.38,132
-35.3,1786,44.87,25.52,133
-36,1785,45.05,25.65,132
-35.4,1784,45.22,25.78,133
-35.4,1783,45.4,25.91,132
-35.5,1782,45.56,26.03,133
-35.1,1781,45.72,26.16,121
-34.8,1780,45.88,26.28,121
-36.4,1779,46.04,26.4,121
-37.4,1778,46.2,26.52,121
-36,1777,46.36,26.64,121
-35,1776,46.52,26.76,121
-34.2,1775,46.68,26.88,121
-34.7,1774,46.84,27,121
-36.1,1773,47,27.12,121
-35.9,1772,47.16,27.24,121
-35,1771,47.32,27.37,121
-35.1,1770,47.47,27.49,121
-36.2,1769,47.63,27.61,121
-36,1768,47.79,27.73,121
-35.8,1767,47.95,27.85,121
-36.4,1766,48.11,27.97,121
-35.6,1765,48.27,28.09,121
-36.1,1764,48.42,28.21,121
-37.3,1763,48.58,28.33,121
-36.3,1762,48.74,28.46,121
-34.5,1761,48.9,28.58,121
-35.3,1760,49.05,28.7,121
-36.4,1759,49.21,28.82,121
-37.4,1758,49.37,28.94,121
-36.9,1757,49.53,29.06,121
-35.5,1756,49.68,29.18,121
-35.7,1755,49.84,29.3,121
-35.5,1754,50,29.42,121
-36.5,1753,50.15,29.54,121
-36.5,1752,50.31,29.67,121
-35.9,1751,50.46,29.79,121
-35.2,1750,50.62,29.91,121
-34.9,1749,50.78,30.03,121
-35.3,1748,50.93,30.15,121
-34.5,1747,51.09,30.27,121
-34.1,1746,51.24,30.39,121
-36.1,1745,51.4,30.51,121
-38.2,1744,51.55,30.63,121
-38.4,1743,51.71,30.76,121
-37,1742,51.87,30.88,121
-35.5,1741,52.02,31,121
-35.6,1740,52.17,31.12,121
-35.8,1739,52.33,31.24,121
-35.4,1738,52.48,31.36,121
-35,1737,52.64,31.48,121
-35.9,1736,52.79,31.6,121
-36.3,1735,52.95,31.72,121
-36.1,1734,53.1,31.84,121
-34.9,1733,53.26,31.97,121
-34.5,1732,53.41,32.09,121
-34.7,1731,53.56,32.21,121
-34.6,1730,53.72,32.33,121
-34.8,1729,53.87,32.45,121
-34.8,1728,54.03,32.57,121
-35.8,1727,54.18,32.69,121
-38,1726,54.33,32.81,121
-38.5,1725,54.49,32.93,121
-37.1,1724,54.64,33.06,121
-36.2,1723,54.79,33.18,121
-37.5,1722,54.94,33.3,121
-38,1721,55.1,33.42,121
-38.1,1720,55.25,33.54,121
-38.9,1719,55.4,33.66,121
-37.6,1718,55.56,33.78,121
-35.5,1717,55.71,33.9,121
-35.8,1716,55.86,34.02,121
-38.7,1715,56.01,34.14,121
-37.7,1714,56.16,34.27,121
-35.9,1713,56.32,34.39,121
-35.7,1712,56.47,34.51,121
-36.5,1711,56.62,34.63,121
-36.5,1710,56.77,34.75,121
-36.9,1709,56.92,34.87,121
-38.3,1708,57.08,34.99,121
-37.9,1707,57.23,35.11,121
-36.9,1706,57.38,35.23,121
-34.7,1705,57.53,35.36,121
-34.3,1704,57.68,35.48,121
-36.4,1703,57.83,35.6,121
-36.1,1702,57.98,35.72,121
-34.7,1701,58.13,35.84,121
-34.7,1700,58.29,35.96,121
-35.1,1699,58.44,36.08,121
-35.8,1698,58.59,36.2,121
-37.1,1697,58.74,36.32,121
-37.4,1696,58.89,36.44,121
-37.3,1695,59.04,36.57,121
-37.7,1694,59.19,36.69,121
-38.2,1693,59.34,36.81,121
-38.3,1692,59.49,36.93,121
-38.4,1691,59.64,37.05,121
-37.3,1690,59.79,37.17,121
-35.5,1689,59.94,37.29,121
-36.2,1688,60.09,37.41,121
-37,1687,60.24,37.53,121
-36.2,1686,60.39,37.66,121
-34.8,1685,60.54,37.78,121
-36.2,1684,60.69,37.9,121
-37.7,1683,60.84,38.02,121
-36.2,1682,60.99,38.14,121
-35,1681,61.14,38.26,121
-36.3,1680,61.29,38.38,121
-37.1,1679,61.44,38.5,121
-35.8,1678,61.59,38.62,121
-35.6,1677,61.74,38.74,121
-36.5,1676,61.89,38.87,121
-38,1675,62.04,38.99,121
-37.6,1674,62.18,39.11,121
-37.5,1673,62.33,39.23,121
-37.2,1672,62.48,39.35,121
-36.2,1671,62.63,39.47,121
-35.3,1670,62.78,39.59,121
-36.2,1669,62.93,39.71,121
-37.2,1668,63.07,39.83,121
-36,1667,63.22,39.96,121
-34.5,1666,63.37,40.08,121
-35.3,1665,63.52,40.2,121
-36.8,1664,63.67,40.32,121
-36.4,1663,63.82,40.44,121
-35.1,1662,63.96,40.56,121
-34.4,1661,64.11,40.68,121
-36,1660,64.26,40.8,121
-36.9,1659,64.41,40.92,121
-36.4,1658,64.55,41.04,121
-34.5,1657,64.7,41.17,121
-34.1,1656,64.85,41.29,121
-34.9,1655,65,41.41,121
-36,1654,65.14,41.53,121
-37.1,1653,65.29,41.65,121
-37.3,1652,65.44,41.77,121
-36.6,1651,65.59,41.89,121
-36.2,1650,65.73,42.01,121
-35.9,1649,65.88,42.13,121
-35.9,1648,66.03,42.26,121
-35.8,1647,66.17,42.38,121
-34.8,1646,66.32,42.5,121
-33.8,1645,66.47,42.62,121
-34.3,1644,66.61,42.74,121
-33,1643,66.76,42.86,121
-34,1642,66.91,42.98,121
-35.3,1641,67.06,43.1,121
-35.7,1640,67.2,43.22,121
-36.8,1639,67.35,43.34,121
-37.3,1638,67.49,43.47,121
-37.2,1637,67.64,43.59,121
-36.2,1636,67.79,43.71,121
-36,1635,67.93,43.83,121
-36.2,1634,68.08,43.95,121
-36.4,1633,68.23,44.07,121
-36.5,1632,68.37,44.19,121
-35.7,1631,68.52,44.31,121
-35.6,1630,68.66,44.43,121
-36.4,1629,68.81,44.56,121
-37,1628,68.96,44.68,121
-36.6,1627,69.1,44.8,121
-35.8,1626,69.25,44.92,121
-35.9,1625,69.39,45.04,121
-35.8,1624,69.54,45.16,121
-35.2,1623,69.68,45.28,121
-35,1622,69.83,45.4,121
-37,1621,69.97,45.52,121
-37.3,1620,70.12,45.64,121
-36.4,1619,70.27,45.77,121
-37.1,1618,70.41,45.89,121
-36.7,1617,70.56,46.01,121
-35.9,1616,70.7,46.13,121
-35.9,1615,70.85,46.25,121
-36.4,1614,70.99,46.37,121
-36,1613,71.14,46.49,121
-34.8,1612,71.28,46.61,121
-33.9,1611,71.43,46.73,121
-33.7,1610,71.57,46.86,121
-34,1609,71.72,46.98,121
-35.6,1608,71.86,47.1,121
-37.2,1607,72,47.22,121
-37.6,1606,72.15,47.34,121
-37.6,1605,72.29,47.46,121
-37.1,1604,72.44,47.58,121
-35.7,1603,72.58,47.7,121
-33.8,1602,72.73,47.82,121
-33.3,1601,72.87,47.94,121
-34.4,1600,73.02,48.06,121
-35.8,1599,73.16,48.18,120
-36.8,1598,73.3,48.3,120
-36.8,1597,73.44,48.42,120
-35.7,1596,73.59,48.54,120
-36,1595,73.73,48.66,120
-37.4,1594,73.87,48.78,120
-37.3,1593,74.02,48.9,120
-36.9,1592,74.16,49.02,120
-37.5,1591,74.3,49.14,120
-35.1,1590,74.44,49.26,120
-34.1,1589,74.59,49.38,120
-35.1,1588,74.73,49.5,120
-35.3,1587,74.87,49.62,120
-35.8,1586,75.01,49.74,120
-36.5,1585,75.16,49.86,120
-35.9,1584,75.3,49.98,120
-35.4,1583,75.44,50.1,120
-35.9,1582,75.58,50.22,120
-37,1581,75.73,50.34,120
-36.8,1580,75.87,50.46,120
-36.1,1579,76.01,50.58,120
-35.3,1578,76.15,50.7,120
-34.8,1577,76.29,50.82,120
-35.9,1576,76.44,50.94,120
-37.4,1575,76.58,51.06,120
-37.3,1574,76.72,51.18,120
-36.8,1573,76.86,51.3,120
-35.7,1572,77,51.42,120
-35.8,1571,77.15,51.54,120
-36.7,1570,77.29,51.66,120
-35.2,1569,77.43,51.78,120
-33.6,1568,77.57,51.9,120
-34.9,1567,77.71,52.02,120
-35.8,1566,77.85,52.14,120
-36.6,1565,78,52.26,120
-36.2,1564,78.14,52.38,120
-36,1563,78.28,52.5,120
-34.9,1562,78.42,52.62,120
-34.4,1561,78.56,52.74,120
-35.9,1560,78.7,52.86,120
-35.8,1559,78.84,52.98,120
-34.9,1558,78.99,53.1,120
-35.4,1557,79.13,53.22,120
-36.4,1556,79.27,53.34,120
-36,1555,79.41,53.46,120
-35.4,1554,79.55,53.58,120
-36.1,1553,79.69,53.7,120
-35.5,1552,79.83,53.82,120
-35.1,1551,79.98,53.94,120
-35.1,1550,80.12,54.06,120
-36.5,1549,80.26,54.18,120
-37.3,1548,80.4,54.3,120
-36.6,1547,80.54,54.42,120
-35.8,1546,80.68,54.54,120
-35.9,1545,80.82,54.66,120
-35.9,1544,80.96,54.78,120
-35.5,1543,81.1,54.9,120
-36,1542,81.24,55.02,120
-36.7,1541,81.38,55.14,120
-36.9,1540,81.52,55.26,120
-36.3,1539,81.67,55.38,120
-35.1,1538,81.81,55.5,120
-34.2,1537,81.95,55.62,120
-34.9,1536,82.09,55.74,120
-34.8,1535,82.23,55.86,120
-34.4,1534,82.37,55.98,120
-34.9,1533,82.51,56.1,120
-36.3,1532,82.65,56.22,120
-37.5,1531,82.79,56.34,120
-36.9,1530,82.93,56.46,120
-36.3,1529,83.07,56.58,120
-36.9,1528,83.21,56.7,120
-36.4,1527,83.35,56.82,120
-36,1526,83.49,56.94,120
-37.8,1525,83.63,57.06,120
-38.7,1524,83.77,57.18,120
-37.1,1523,83.91,57.3,120
-35.7,1522,84.05,57.42,120
-35.7,1521,84.19,57.54,120
-36.7,1520,84.33,57.66,120
-36.8,1519,84.47,57.78,120
-37,1518,84.61,57.9,120
-35.7,1517,84.75,58.02,120
-35,1516,84.89,58.14,120
-35.6,1515,85.03,58.26,120
-37.1,1514,85.17,58.38,120
-37.8,1513,85.31,58.5,120
-37.2,1512,85.45,58.62,120
-37,1511,85.59,58.74,120
-36.8,1510,85.73,58.86,120
-36.3,1509,85.87,58.98,120
-34.4,1508,86.01,59.1,120
-34.3,1507,86.15,59.22,120
-35.4,1506,86.29,59.34,120
-35.8,1505,86.43,59.46,120
-34.7,1504,86.57,59.58,120
-33.8,1503,86.71,59.7,120
-35,1502,86.85,59.82,120
-35.9,1501,86.99,59.94,120
-35.4,1500,87.13,60.06,120
-35.8,1499,87.27,60.18,120
-36.5,1498,87.4,60.3,120
-36.7,1497,87.54,60.42,120
-36.1,1496,87.68,60.54,120
-37.6,1495,87.82,60.66,120
-36.8,1494,87.96,60.78,120
-34.8,1493,88.1,60.9,120
-34.8,1492,88.24,61.02,120
-34.4,1491,88.38,61.14,120
-33.2,1490,88.52,61.26,120
-34.4,1489,88.66,61.38,120
-36.7,1488,88.8,61.5,120
-36.4,1487,88.94,61.62,120
-35.2,1486,89.08,61.74,120
-34.6,1485,89.21,61.86,120
-34.5,1484,89.35,61.98,120
-35.2,1483,89.49,62.1,120
-36.3,1482,89.63,62.22,120
-36.3,1481,89.77,62.34,120
-35.9,1480,89.91,62.46,120
-35.2,1479,90.05,62.58,120
-35.4,1478,90.19,62.7,120
-36.1,1477,90.33,62.82,120
-35.8,1476,90.47,62.94,120
-36.7,1475,90.6,63.06,120
-36.1,1474,90.74,63.18,120
-35.9,1473,90.88,63.3,120
-36.7,1472,91.02,63.42,120
-36.8,1471,91.16,63.54,120
-36.8,1470,91.3,63.66,120
-36.9,1469,91.44,63.78,120
-36.8,1468,91.57,63.9,120
-35.9,1467,91.71,64.02,120
-35.9,1466,91.85,64.14,120
-36.5,1465,91.99,64.26,120
-36,1464,92.13,64.38,120
-35.7,1463,92.27,64.5,120
-35.8,1462,92.41,64.62,120
-36.1,1461,92.54,64.74,120
-36,1460,92.68,64.86,120
-35.7,1459,92.82,64.98,120
-35.8,1458,92.96,65.1,120
-35.2,1457,93.1,65.22,120
-35.7,1456,93.24,65.34,120
-36.2,1455,93.38,65.46,120
-35.6,1454,93.51,65.58,120
-35.3,1453,93.65,65.7,120
-35,1452,93.79,65.82,120
-34.4,1451,93.93,65.94,120
-33.2,1450,94.07,66.06,120
-33.3,1449,94.2,66.18,120
-34.6,1448,94.34,66.3,120
-34.8,1447,94.48,66.42,120
-34.5,1446,94.62,66.54,120
-36.2,1445,94.76,66.66,120
-37.5,1444,94.9,66.78,120
-35.6,1443,95.03,66.9,120
-35.9,1442,95.17,67.02,120
-36.6,1441,95.31,67.14,120
-36.7,1440,95.45,67.26,120
-36.6,1439,95.59,67.38,120
-37.1,1438,95.72,67.5,120
-36.7,1437,95.86,67.62,120
-35.7,1436,96,67.74,120
-34.6,1435,96.14,67.86,120
-34.4,1434,96.28,67.98,120
-35.3,1433,96.41,68.1,120
-34.5,1432,96.55,68.22,120
-34.7,1431,96.69,68.34,120
-35.6,1430,96.83,68.46,120
-34.9,1429,96.96,68.58,120
-34.1,1428,97.1,68.7,120
-35.1,1427,97.24,68.82,120
-35.7,1426,97.38,68.94,120
-34.9,1425,97.52,69.06,120
-35,1424,97.65,69.18,120
-35.9,1423,97.79,69.3,120
-34.8,1422,97.93,69.42,120
-33.4,1421,98.07,69.54,120
-34,1420,98.2,69.66,120
-35.1,1419,98.34,69.78,120
-35.1,1418,98.48,69.9,120
-34.9,1417,98.62,70.02,120
-35.2,1416,98.76,70.14,120
-34.4,1415,98.89,70.26,120
-33.9,1414,99.03,70.38,120
-33.9,1413,99.17,70.5,120
-33.4,1412,99.31,70.62,120
-33.4,1411,99.44,70.74,120
-34.5,1410,99.58,70.86,120
-35.3,1409,99.72,70.98,120
-34.6,1408,99.86,71.1,120
-34.9,1407,99.99,71.22,120
-37,1406,100.13,71.34,120
-37.6,1405,100.27,71.46,120
-35.6,1404,100.41,71.58,120
-34.9,1403,100.55,71.7,120
-36.5,1402,100.68,71.82,120
-36.6,1401,100.82,71.94,120
-35.7,1400,100.96,72.06,120
-35.9,1399,101.09,72.18,120
-37.1,1398,101.23,72.3,120
-38.1,1397,101.37,72.42,120
-38.2,1396,101.51,72.54,120
-38,1395,101.64,72.66,120
-36.3,1394,101.78,72.78,120
-34.4,1393,101.92,72.9,120
-34.5,1392,102.05,73.02,120
-34.9,1391,102.19,73.14,120
-36,1390,102.33,73.26,120
-35.7,1389,102.47,73.38,120
-36,1388,102.6,73.5,120
-37,1387,102.74,73.62,120
-36.7,1386,102.88,73.74,120
-36.9,1385,103.01,73.86,120
-38.1,1384,103.15,73.98,120
-37.3,1383,103.29,74.1,120
-37.4,1382,103.42,74.22,120
-37.3,1381,103.56,74.34,120
-36.2,1380,103.7,74.46,120
-36,1379,103.84,74.58,120
-36,1378,103.97,74.7,120
-37.2,1377,104.11,74.82,120
-37.4,1376,104.25,74.94,120
-37,1375,104.38,75.06,120
-35.7,1374,104.52,75.18,120
-36.2,1373,104.66,75.3,120
-36.4,1372,104.79,75.42,120
-35.8,1371,104.93,75.54,120
-36.8,1370,105.07,75.66,120
-38.5,1369,105.2,75.78,120
-37.6,1368,105.34,75.9,120
-35.8,1367,105.48,76.02,120
-34.4,1366,105.62,76.14,120
-32.7,1365,105.75,76.26,120
-33.4,1364,105.89,76.38,120
-35.1,1363,106.02,76.5,120
-35.6,1362,106.16,76.62,120
-35.2,1361,106.3,76.74,120
-35.3,1360,106.44,76.86,120
-36.5,1359,106.57,76.98,120
-37.1,1358,106.71,77.1,120
-37.1,1357,106.85,77.22,120
-36.7,1356,106.98,77.34,120
-35.9,1355,107.12,77.46,120
-36,1354,107.25,77.58,120
-37,1353,107.39,77.7,120
-36.1,1352,107.53,77.82,120
-34.4,1351,107.66,77.94,120
-34.6,1350,107.8,78.06,120
-35.6,1349,107.94,78.18,120
-37.3,1348,108.07,78.3,120
-36.8,1347,108.21,78.42,120
-34.3,1346,108.35,78.54,120
-34,1345,108.48,78.66,120
-35.1,1344,108.62,78.78,120
-35.2,1343,108.76,78.9,120
-35.2,1342,108.89,79.02,120
-36.7,1341,109.03,79.14,120
-37.6,1340,109.17,79.26,120
-37.1,1339,109.3,79.38,120
-36.8,1338,109.44,79.5,120
-37.6,1337,109.57,79.62,120
-37.4,1336,109.71,79.74,120
-37.5,1335,109.85,79.86,120
-37.5,1334,109.98,79.98,120
-36.5,1333,110.12,80.1,120
-35.2,1332,110.26,80.22,120
-35.3,1331,110.39,80.34,120
-36.4,1330,110.53,80.46,120
-36.8,1329,110.67,80.58,120
-36.3,1328,110.8,80.7,120
-35.6,1327,110.94,80.82,120
-35.3,1326,111.07,80.94,120
-35.6,1325,111.21,81.06,120
-36.8,1324,111.35,81.18,120
-37.3,1323,111.48,81.3,120
-36.3,1322,111.62,81.42,120
-35.7,1321,111.76,81.54,120
-36.8,1320,111.89,81.66,120
-36.6,1319,112.03,81.78,120
-34.7,1318,112.16,81.9,120
-34.9,1317,112.3,82.02,120
-34.7,1316,112.44,82.14,120
-35.2,1315,112.57,82.26,120
-35.8,1314,112.71,82.38,120
-35.7,1313,112.84,82.5,120
-35.9,1312,112.98,82.62,120
-36,1311,113.12,82.74,120
-36,1310,113.25,82.86,120
-36.5,1309,113.39,82.98,120
-37.9,1308,113.52,83.1,120
-37.4,1307,113.66,83.22,120
-36.6,1306,113.8,83.34,120
-35.7,1305,113.93,83.46,120
-34.3,1304,114.07,83.58,120
-34.9,1303,114.2,83.7,120
-36.3,1302,114.34,83.82,120
-35.8,1301,114.48,83.94,120
-33.5,1300,114.61,84.06,120
-33.6,1299,114.75,84.18,120
-34.8,1298,114.88,84.3,120
-34.7,1297,115.02,84.42,120
-35,1296,115.16,84.54,120
-35.9,1295,115.29,84.66,120
-35.9,1294,115.43,84.78,120
-35.6,1293,115.56,84.9,120
-36.3,1292,115.7,85.02,120
-36.7,1291,115.84,85.14,120
-35,1290,115.97,85.26,120
-34.8,1289,116.11,85.38,120
-36,1288,116.24,85.5,120
-36,1287,116.38,85.62,120
-35.2,1286,116.51,85.74,120
-34.8,1285,116.65,85.86,120
-34.7,1284,116.79,85.98,120
-35.1,1283,116.92,86.1,120
-35.3,1282,117.06,86.22,120
-35.5,1281,117.19,86.34,120
-34.8,1280,117.33,86.46,120
-34.7,1279,117.47,86.58,120
-34.2,1278,117.6,86.7,120
-33.7,1277,117.74,86.82,120
-34.2,1276,117.87,86.94,120
-35.3,1275,118.01,87.06,120
-35,1274,118.15,87.18,120
-34.6,1273,118.28,87.3,120
-35,1272,118.42,87.42,120
-34.4,1271,118.55,87.54,120
-34.1,1270,118.69,87.66,120
-35.7,1269,118.82,87.78,120
-36.1,1268,118.96,87.9,120
-36.2,1267,119.09,88.02,120
-36.6,1266,119.23,88.14,120
-35.9,1265,119.36,88.26,120
-35.9,1264,119.5,88.38,120
-35.8,1263,119.64,88.5,120
-36.6,1262,119.77,88.62,120
-37.5,1261,119.91,88.74,120
-37.2,1260,120.04,88.86,120
-36.4,1259,120.18,88.98,120
-36.1,1258,120.31,89.09,120
-35.6,1257,120.44,89.21,116
-36.5,1256,120.57,89.32,116
-38.1,1255,120.7,89.44,116
-38.3,1254,120.83,89.56,116
-36.3,1253,120.96,89.67,116
-35.5,1252,121.09,89.79,116
-35.9,1251,121.22,89.9,116
-36.4,1250,121.35,90.02,116
-37,1249,121.48,90.13,116
-37.4,1248,121.62,90.25,116
-35.7,1247,121.75,90.37,116
-35.3,1246,121.88,90.48,116
-35.8,1245,122.01,90.6,116
-35.9,1244,122.14,90.71,116
-36,1243,122.27,90.83,116
-36.3,1242,122.4,90.94,116
-36.9,1241,122.53,91.06,116
-35.4,1240,122.66,91.18,116
-34.5,1239,122.79,91.29,116
-37.1,1238,122.92,91.41,116
-37.7,1237,123.05,91.52,116
-35.4,1236,123.18,91.64,116
-34,1235,123.31,91.75,116
-34.7,1234,123.44,91.87,116
-35.8,1233,123.57,91.99,116
-35,1232,123.7,92.1,116
-33.7,1231,123.84,92.22,116
-34.3,1230,123.97,92.33,116
-36.9,1229,124.1,92.45,116
-35.2,1228,124.23,92.56,116
-34.4,1227,124.36,92.68,116
-35.1,1226,124.49,92.8,116
-36.2,1225,124.62,92.91,116
-37.6,1224,124.75,93.03,116
-37.4,1223,124.88,93.14,116
-35.9,1222,125.01,93.26,116
-36.7,1221,125.14,93.37,116
-37.8,1220,125.27,93.49,116
-38.2,1219,125.4,93.61,116
-37.4,1218,125.53,93.72,116
-37.2,1217,125.66,93.84,116
-36,1216,125.79,93.95,116
-34.3,1215,125.92,94.07,116
-34.2,1214,126.05,94.18,116
-34.5,1213,126.18,94.3,116
-34.7,1212,126.31,94.42,116
