d18O (permil),year (AD),Sr_Ca (mmol/mol)
-4.78,1875.5,9.2752
-4.78,1874.5,9.2626
-4.78,1873.5,9.2461
-4.91,1872.5,9.2786
-4.89,1871.5,9.281
-4.83,1870.5,9.2886
-4.87,1869.5,9.2828
-4.73,1868.5,9.3101
-4.78,1867.5,9.2972
-4.6,1866.5,9.3246
-4.56,1865.5,9.354
-4.77,1864.5,9.2717
-4.76,1863.5,9.2681
-4.75,1862.5,9.2729
-4.9,1861.5,9.2518
-5.01,1860.5,9.2467
-4.9,1859.5,9.266
-4.85,1858.5,9.2578
-4.78,1857.5,9.2998
-4.92,1856.5,9.2598
-4.79,1855.5,9.288
-4.77,1854.5,9.3052
-4.79,1853.5,9.2798
-4.86,1852.5,9.2544
-4.84,1851.5,9.2378
-4.78,1850.5,9.262
-4.67,1849.5,9.2845
-4.98,1848.5,9.2725
-4.96,1847.5,9.2962
-4.8,1846.5,9.3299
-4.62,1845.5,9.3665
-4.75,1844.5,9.3233
-4.76,1843.5,9.2948
-4.8,1842.5,9.2899
-5.01,1841.5,9.3015
-4.88,1840.5,9.3321
-4.88,1839.5,9.3007
-4.71,1838.5,9.3111
-4.94,1837.5,9.2727
-4.78,1836.5,9.314
-4.77,1835.5,9.3482
-4.86,1834.5,9.2997
-4.64,1833.5,9.3044
-4.72,1832.5,9.2928
-4.85,1831.5,9.2718
-4.99,1830.5,9.2333
-5.01,1829.5,9.2331
-4.9,1828.5,9.2268
-4.92,1827.5,9.2439
-4.86,1826.5,9.2702
-4.99,1825.5,9.2579
-4.76,1824.5,9.2853
-4.86,1823.5,9.3013
-4.87,1822.5,9.2594
-4.83,1821.5,9.2753
-4.74,1820.5,9.3061
-5.03,1819.5,9.267
-5.11,1818.5,9.2432
-4.81,1817.5,9.2585
-4.74,1816.5,9.2676
-4.74,1815.5,9.3038
-4.69,1814.5,9.3153
-4.88,1813.5,9.2432
-4.89,1812.5,9.2282
-4.73,1811.5,9.3065
-4.62,1810.5,9.3204
-4.72,1809.5,9.2974
-4.81,1808.5,9.2994
-4.96,1807.5,9.2289
-5.01,1806.5,9.2077
-5,1805.5,9.2258
-4.97,1804.5,9.2373
-4.66,1803.5,9.2575
-4.71,1802.5,9.2828
-4.76,1801.5,9.2772
-4.89,1800.5,9.2578
-4.74,1799.5,9.3414
-4.84,1798.5,9.3302
-4.96,1797.5,9.2533
-4.9,1796.5,9.2472
-4.87,1795.5,9.3294
-4.96,1794.5,9.2668
-4.83,1793.5,9.2936
-4.77,1792.5,9.2828
-4.7,1791.5,9.3012
-4.56,1790.5,9.2849
-4.66,1789.5,9.2781
-4.58,1788.5,9.2729
-4.65,1787.5,9.2588
-4.81,1786.5,9.2159
-4.74,1785.5,9.2385
-4.88,1784.5,9.2613
-4.62,1783.5,9.2604
-4.66,1782.5,9.2455
-4.66,1781.5,9.2354
