Depth (cm),year (AD),d18O (per mil)
226,408.4,-10.76
229,380.8,-10.98
230,371.8,-10.83
231,362.5,-11.06
232,353.4,-10.27
235,326.6,-11.19
238,299.3,-12.02
240,281.2,-11.38
242,262.7,-10.83
245,234.6,-11.43
248,206.9,-9.81
250,188.4,-11.37
252,169.8,-11.17
255,142.4,-11.48
256,133,-12.05
258,114.1,-11.69
260,95,-11.59
263,66.7,-12.63
265,47.3,-12.34
270,1.5,-11.89
272,-18.3,-10.75
275,-47.7,-11.24
278,-76.8,-10.17
280,-96.3,-10.59
282,-115.4,-10.73
285,-144.6,-11.95
286,-154,-11.51
288,-173.8,-12.12
290,-193.6,-11.2
291,-203.8,-11.14
293,-222.7,-11.64
295,-242.5,-12.05
296,-252.7,-11.83
298,-271.8,-10.93
302,-310.4,-10.77
304,-329,-10.96
305,-338.4,-11.59
306,-347.8,-10.36
308,-366.5,-11.73
309,-375.8,-10.31
313,-413.2,-13.88
315,-432.1,-11.83
316,-441.9,-10.68
318,-460.2,-10.12
321,-488.7,-11.36
323,-507.8,-10.97
326,-535.7,-10.74
329,-563.6,-10.62
331,-582.1,-11.35
333,-600.4,-10.98
335,-618.6,-11.93
336,-628,-11.3
340,-664.6,-10.56
341,-673.8,-11.18
342,-683.1,-11.41
344,-701.3,-14.14
350,-756.5,-12.32
351,-765.7,-11.17
358,-829.7,-10.41
359,-839.3,-11.27
361,-858.2,-10.68
368,-925.2,-12.16
369,-935,-9.96
371,-953.8,-11.39
374,-983.8,-14.05
375,-993.4,-13.12
376,-1002.8,-11.79
378,-1021.6,-10.35
379,-1031.5,-11.91
380,-1041.5,-10.25
381,-1050.5,-10.71
384,-1079.9,-11.21
386,-1098.8,-11.35
387,-1108.4,-9.79
389,-1128.2,-10.14
390,-1137.9,-10.58
392,-1155.9,-9.9
393,-1165,-11.18
395,-1183.2,-10.01
396,-1192.4,-15.03
397,-1201.9,-11.52
399,-1220.1,-9.66
400,-1229.5,-9.94
402,-1248.5,-12.81
403,-1257,-13.04
405,-1275.2,-11.63
406,-1284.5,-9.53
407,-1294,-11.08
408,-1303.5,-12.26
410,-1322.7,-10.92
411,-1332,-10.89
412,-1341.1,-11.98
413,-1350.6,-11.14
416,-1378.2,-9.85
417,-1387.8,-11.79
418,-1397.8,-12.08
420,-1416.3,-9.37
421,-1425.9,-10.57
422,-1435.4,-11.64
423,-1444.8,-10.55
425,-1464,-9.68
426,-1473.2,-9.63
429,-1502.5,-10.52
431,-1521.3,-12.2
432,-1531.2,-11.48
433,-1540.6,-11.17
435,-1559.8,-10.5
436,-1569.6,-9.53
437,-1579,-9.41
438,-1588.2,-10.47
446,-1662.9,-10.09
449,-1691,-11.7
455,-1750.7,-13.13
462,-1822.7,-10.03
463,-1832.6,-13.05
465,-1853.4,-11.33
469,-1951.1,-11.1
470,-1975.3,-10.91
471,-2000,-11.04
475,-2097.3,-11.93
477,-2146.3,-10.23
479,-2194.9,-10.04
481,-2242.8,-10.81
483,-2290.4,-9.7
484,-2313.8,-12.43
486,-2362.1,-11.86
487,-2385.5,-11.75
488,-2408.9,-10.95
489,-2432,-10.09
496,-2599.4,-12.57
498,-2649.2,-9.53
499,-2674,-11.95
502,-2748.3,-12.24
503,-2773.1,-11.66
505,-2822.8,-10.68
508,-2897.4,-11.47
509,-2921.7,-10.13
511,-2970.8,-13.09
512,-2995.6,-11.81
513,-3020.5,-10.57
515,-3069.4,-10.56
516,-3094.9,-10.99
517,-3120.4,-11.06
518,-3145.9,-10.72
519,-3170.7,-9.73
521,-3222.3,-10.92
522,-3247.6,-10.86
523,-3273.3,-11.32
524,-3298.5,-10.54
525,-3323.7,-11.44
526,-3345.9,-10.66
527,-3368.8,-10.39
528,-3391.6,-11.11
529,-3414.7,-9.96
530,-3437.5,-10.81
531,-3460.6,-10.29
532,-3483.4,-11.73
533,-3506.2,-10.64
534,-3529.2,-10.95
535,-3552.1,-10.82
536,-3575.3,-11.04
537,-3598.2,-10.63
538,-3621.2,-10.89
539,-3644.5,-10.55
540,-3667.2,-11.46
541,-3690.6,-11.53
542,-3714,-11.2
543,-3737.3,-12.04
544,-3760.7,-11.54
545,-3784.1,-11.26
546,-3807.3,-11.21
547,-3830.5,-12.24
549,-3877.2,-10.85
551,-3924,-11.01
552,-3947.6,-11.53
553,-3971.7,-11.04
554,-3995.6,-11.21
555,-4019.5,-10.01
556,-4035,-11.18
557,-4050.5,-11.26
558,-4066.2,-10.6
559,-4081.8,-10.98
560,-4097.2,-9.59
561,-4112.8,-11.19
562,-4128.3,-10.44
563,-4143.7,-11.22
564,-4159.1,-11.13
565,-4174.5,-10.07
566,-4189.5,-11.54
567,-4204.5,-10.95
568,-4219.7,-11.83
569,-4234.9,-10.99
570,-4250,-10.71
571,-4264.6,-10.85
572,-4279.4,-11.58
573,-4293.9,-11.2
574,-4308.7,-10.91
575,-4323.8,-9.92
576,-4338.7,-11.32
577,-4353.6,-10.79
578,-4368.7,-11.38
579,-4383.5,-10.75
580,-4398.5,-9.98
581,-4413.7,-11.32
583,-4443.6,-11.19
584,-4458.8,-11.03
586,-4489,-10.95
587,-4504.6,-10.31
588,-4520.3,-10.36
589,-4535.9,-10.4
590,-4551.6,-10.89
591,-4567.1,-10.81
592,-4582.9,-10.13
593,-4598.8,-10.92
594,-4614.4,-11.57
595,-4629.9,-10.41
596,-4645.4,-11
597,-4661.1,-10.83
598,-4676.9,-11.53
599,-4692.4,-11.59
600,-4708.1,-10.59
601,-4723.4,-10.78
602,-4738.2,-10.32
603,-4753.5,-10.66
604,-4768.4,-11.02
605,-4783.9,-10.34
606,-4799.1,-11.31
607,-4814.3,-11.75
608,-4829.6,-10.8
609,-4845,-10.15
610,-4860.7,-11.9
611,-4876.2,-11.08
612,-4891.5,-10.41
613,-4907,-10.93
615,-4937.8,-10.9
616,-4951.2,-10.08
617,-4964.9,-10.4
618,-4978.8,-10.52
619,-4992.4,-10.82
620,-5006.3,-10.37
621,-5020.1,-11.33
622,-5034.2,-10.8
623,-5047.9,-11.05
625,-5074.7,-10.91
626,-5088.3,-10.85
627,-5101.7,-10.22
628,-5115.1,-10.55
629,-5128.6,-10.36
630,-5141.8,-10.78
631,-5154.4,-10.66
632,-5167.1,-10.66
633,-5179.4,-10.82
634,-5191.9,-10.99
635,-5204.7,-10.54
636,-5217.1,-10.25
637,-5229.4,-11.03
638,-5241.7,-10.01
639,-5254.2,-10.01
640,-5266.4,-11.35
641,-5278.6,-10.29
642,-5290.5,-10.44
643,-5302.6,-11.36
644,-5314.6,-10.96
645,-5326.5,-10.18
646,-5338.7,-11.07
648,-5363.4,-9.78
649,-5375.1,-10.54
650,-5387.2,-9.9
651,-5399,-10.43
652,-5410.7,-10.22
653,-5423,-10.34
654,-5434.7,-10.86
655,-5446.8,-10.69
656,-5458.9,-10.6
657,-5471.1,-12.05
658,-5482.4,-11.3
659,-5494.5,-10.7
660,-5506.9,-10.71
661,-5519.4,-10.78
662,-5531.6,-11.48
663,-5543.8,-10.92
664,-5556.1,-10.65
665,-5568.3,-10.68
666,-5580.6,-10.02
667,-5593.1,-11.67
668,-5605.4,-11.2
669,-5617.4,-10.17
670,-5629.9,-10.68
671,-5641.9,-11.12
672,-5654.2,-10.72
673,-5666.8,-10.47
674,-5679.4,-11.25
675,-5691.5,-10.79
676,-5703.8,-10.13
677,-5715.6,-11.85
678,-5728.3,-11.18
679,-5741,-10.65
680,-5753.2,-11.5
682,-5778.9,-10.65
684,-5803.9,-10.61
685,-5816.4,-10.61
690,-5879.6,-10.08
691,-5922.1,-10.37
692,-5964.5,-10.65
693,-6007.1,-11.81
694,-6049.4,-11.2
695,-6092,-11.01
697,-6177.2,-11.71
698,-6219.4,-11.12
699,-6262.3,-11.16
700,-6305,-11.9
701,-6347.4,-11.56
702,-6389.2,-11.74
703,-6431.6,-11.2
704,-6474.4,-10.6
705,-6515.5,-10.92
707,-6630.1,-11.19
709,-6746.4,-11.94
710,-6804.5,-11.24
711,-6862.6,-11.62
712,-6921.1,-11.2
713,-6978.8,-12.43
715,-7094.5,-10.68
717,-7210.5,-11.25
718,-7268.3,-10.99
719,-7326.6,-11.87
720,-7384.3,-11.03
721,-7440.4,-13.18
722,-7497,-11.91
