d18O (permil),year (AD),depth (cm),core (),d18O (permil),d18O (permil),Mg_Ca (mmol/mol),temperature (deg C),d18O (permil),depth (cm)
NA,990,0.4,GeoB6211-1,-0.786,1.646,3.852,23.798,0.93,0.4
0.783,955,0.41,GeoB6211-1,-1.009,NA,NA,NA,NA,0.41
0.927,920,0.42,GeoB6211-1,-1.047,NA,NA,NA,0.77,0.42
0.833,885,0.43,GeoB6211-1,-0.82,NA,NA,NA,NA,0.43
0.802,850,0.44,GeoB6211-1,-0.874,1.58,3.891,23.897,0.93,0.44
1.074,810,0.45,GeoB6211-1,-1,NA,NA,NA,NA,0.45
NA,770,0.46,GeoB6211-2,-0.916,1.279,3.997,22.749,0.99,0.17
NA,720,0.47,GeoB6211-2,-0.929,1.356,3.461,23.148,0.98,0.18
NA,600,0.48,GeoB6211-2,-1.259,1.198,3.605,23.911,1,0.19
NA,500,0.49,GeoB6211-2,-1.23,1.173,3.897,23.675,0.91,0.2
NA,400,0.5,GeoB6211-2,-0.923,1.329,3.804,23.006,0.96,0.21
NA,300,0.51,GeoB6211-2,-0.986,1.367,3.553,23.452,0.81,0.22
NA,200,0.52,GeoB6211-2,-0.715,1.976,3.718,24.957,0.99,0.23
NA,100,0.53,GeoB6211-2,-1.001,1.473,4.335,23.996,0.96,0.24
NA,0,0.54,GeoB6211-2,-0.644,1.862,3.93,24.138,0.98,0.25
NA,-100,0.55,GeoB6211-2,-0.922,1.603,3.988,24.224,1.12,0.26
NA,-210,0.56,GeoB6211-2,-0.619,1.598,4.023,22.856,1.04,0.27
NA,-310,0.57,GeoB6211-2,-0.929,1.347,3.499,23.118,0.93,0.28
NA,-410,0.58,GeoB6211-2,-0.81,1.495,3.594,23.249,0.91,0.29
NA,-510,0.59,GeoB6211-2,-0.874,1.831,3.642,25.026,1.28,0.3
NA,-610,0.6,GeoB6211-2,-0.743,1.627,4.366,23.538,0.94,0.31
NA,-710,0.61,GeoB6211-2,-0.931,1.388,3.751,23.316,0.79,0.32
NA,-810,0.62,GeoB6211-2,-0.721,1.378,3.667,22.343,0.87,0.33
NA,-910,0.63,GeoB6211-2,-0.644,1.484,3.321,22.474,0.97,0.34
NA,-1010,0.64,GeoB6211-2,-1.048,1.187,3.366,22.953,1.05,0.35
NA,-1100,0.65,GeoB6211-2,-0.915,1.281,3.534,22.78,1.11,0.36
NA,-1200,0.66,GeoB6211-2,-0.824,1.454,3.472,23.142,0.92,0.37
NA,-1290,0.67,GeoB6211-2,-0.477,1.789,3.603,23.093,0.89,0.38
NA,-1390,0.68,GeoB6211-2,-0.811,1.67,3.585,24.048,0.93,0.39
NA,-1480,0.69,GeoB6211-2,-0.955,1.197,3.952,22.589,1.17,0.4
NA,-1580,0.7,GeoB6211-2,NA,NA,3.405,NA,0.91,0.41
NA,-1670,0.71,GeoB6211-2,-0.976,1.25,3.69,22.918,0.99,0.42
NA,-1770,0.72,GeoB6211-2,-0.731,NA,3.521,NA,0.97,0.43
NA,-1860,0.73,GeoB6211-2,-0.613,1.403,3.887,21.998,1.09,0.44
NA,-1960,0.74,GeoB6211-2,-0.725,1.805,3.206,24.28,1.12,0.45
NA,-2050,0.75,GeoB6211-2,-0.287,NA,4.046,NA,1.01,0.46
NA,-2140,0.76,GeoB6211-2,-0.731,2.032,3.36,25.321,1.17,0.47
NA,-2240,0.77,GeoB6211-2,-0.633,1.521,4.499,22.616,1.05,0.48
NA,-2330,0.78,GeoB6211-2,-0.364,NA,3.415,NA,0.98,0.49
NA,-2430,0.79,GeoB6211-2,-0.67,1.334,NA,21.957,1.08,0.5
NA,-2520,0.8,GeoB6211-2,-0.543,1.583,3.192,22.5,1.06,0.51
NA,-2620,0.81,GeoB6211-2,-0.364,1.77,3.374,22.538,1.16,0.52
NA,-2710,0.82,GeoB6211-2,-0.459,1.89,3.387,23.497,0.95,0.53
NA,-2810,0.83,GeoB6211-2,-0.513,1.297,3.736,21.104,0.96,0.54
NA,-2900,0.84,GeoB6211-2,-0.722,NA,2.926,NA,0.99,0.55
NA,-3050,0.85,GeoB6211-2,NA,NA,NA,NA,1.07,0.56
NA,-3210,0.86,GeoB6211-2,NA,NA,NA,NA,1.09,0.57
NA,-3360,0.87,GeoB6211-2,NA,NA,NA,NA,0.93,0.58
NA,-3510,0.88,GeoB6211-2,NA,NA,NA,NA,1.42,0.59
NA,-3670,0.89,GeoB6211-2,NA,NA,NA,NA,1.14,0.6
NA,-3820,0.9,GeoB6211-2,NA,NA,NA,NA,1.09,0.61
NA,-3970,0.91,GeoB6211-2,NA,NA,NA,NA,1.06,0.62
NA,-4130,0.92,GeoB6211-2,NA,NA,NA,NA,1.11,0.63
NA,-4280,0.93,GeoB6211-2,NA,NA,NA,NA,1,0.64
NA,-4430,0.94,GeoB6211-2,NA,NA,NA,NA,0.99,0.65
NA,-4590,0.95,GeoB6211-2,NA,NA,NA,NA,1.22,0.66
NA,-4740,0.96,GeoB6211-2,NA,NA,NA,NA,1.18,0.67
NA,-4890,0.97,GeoB6211-2,NA,NA,NA,NA,1.26,0.68
NA,-5050,0.98,GeoB6211-2,NA,NA,NA,NA,1.16,0.69
NA,-5200,0.99,GeoB6211-2,NA,NA,NA,NA,1.23,0.7
NA,-5350,1,GeoB6211-2,NA,NA,NA,NA,1.19,0.71
NA,-5510,1.01,GeoB6211-2,NA,NA,NA,NA,1.2,0.72
NA,-5660,1.02,GeoB6211-2,NA,NA,NA,NA,1.05,0.73
NA,-5860,1.03,GeoB6211-2,NA,NA,NA,NA,1.22,0.74
NA,-6060,1.04,GeoB6211-2,NA,NA,NA,NA,1.05,0.75
NA,-6260,1.05,GeoB6211-2,NA,NA,NA,NA,1.16,0.76
NA,-6460,1.06,GeoB6211-2,NA,NA,NA,NA,1.11,0.77
NA,-6660,1.07,GeoB6211-2,NA,NA,NA,NA,1.46,0.78
NA,-6860,1.08,GeoB6211-2,NA,NA,NA,NA,1.24,0.79
NA,-7050,1.09,GeoB6211-2,NA,NA,NA,NA,1.4,0.8
NA,-7250,1.1,GeoB6211-2,NA,NA,NA,NA,1.94,0.81
NA,-7450,1.11,GeoB6211-2,NA,NA,NA,NA,1.65,0.82
NA,-7650,1.12,GeoB6211-2,NA,NA,NA,NA,1.84,0.83
NA,-7850,1.13,GeoB6211-2,NA,NA,NA,NA,1.71,0.84
NA,-8050,1.14,GeoB6211-2,NA,NA,NA,NA,1.94,0.85
NA,-8250,1.15,GeoB6211-2,NA,NA,NA,NA,1.62,0.86
NA,-8300,1.16,GeoB6211-2,NA,NA,NA,NA,1.92,0.87
NA,-8350,1.17,GeoB6211-2,NA,NA,NA,NA,1.76,0.88
NA,-8400,1.18,GeoB6211-2,NA,NA,NA,NA,1.36,0.89
NA,-8450,1.19,GeoB6211-2,NA,NA,NA,NA,1.73,0.9
NA,-8500,1.2,GeoB6211-2,NA,NA,NA,NA,1.62,0.91
NA,-8550,1.21,GeoB6211-2,NA,NA,NA,NA,1.72,0.92
NA,-8600,1.22,GeoB6211-2,NA,NA,NA,NA,1.89,0.93
NA,-8650,1.23,GeoB6211-2,NA,NA,NA,NA,1.78,0.94
NA,-8700,1.24,GeoB6211-2,NA,NA,NA,NA,1.9,0.95
NA,-8750,1.25,GeoB6211-2,NA,NA,NA,NA,1.31,0.96
NA,-8800,1.26,GeoB6211-2,NA,NA,NA,NA,1.49,0.97
NA,-8850,1.27,GeoB6211-2,NA,NA,NA,NA,1.74,0.98
NA,-8980,1.28,GeoB6211-2,NA,NA,NA,NA,1.8,0.99
NA,-9110,1.29,GeoB6211-2,NA,NA,NA,NA,2.05,1
NA,-9240,1.3,GeoB6211-2,NA,NA,NA,NA,2.02,1.01
NA,-9370,1.31,GeoB6211-2,NA,NA,NA,NA,1.73,1.02
NA,-9500,1.32,GeoB6211-2,NA,NA,NA,NA,1.77,1.03
NA,-9630,1.33,GeoB6211-2,NA,NA,NA,NA,1.81,1.04
NA,-9760,1.34,GeoB6211-2,NA,NA,NA,NA,1.92,1.05
NA,-9890,1.35,GeoB6211-2,NA,NA,NA,NA,2.15,1.06
NA,-10020,1.36,GeoB6211-2,NA,NA,NA,NA,1.74,1.07
NA,-10150,1.37,GeoB6211-2,NA,NA,NA,NA,1.74,1.08
NA,-10280,1.38,GeoB6211-2,NA,NA,NA,NA,1.81,1.09
NA,-10410,1.39,GeoB6211-2,NA,NA,NA,NA,1.73,1.1
NA,-10540,1.4,GeoB6211-2,NA,NA,NA,NA,1.81,1.11
NA,-10670,1.41,GeoB6211-2,NA,NA,NA,NA,1.87,1.12
NA,-10800,1.42,GeoB6211-2,NA,NA,NA,NA,1.74,1.13
NA,-10930,1.43,GeoB6211-2,NA,NA,NA,NA,1.96,1.14
NA,-11060,1.44,GeoB6211-2,NA,NA,NA,NA,1.78,1.15
NA,-11190,1.45,GeoB6211-2,NA,NA,NA,NA,1.89,1.16
NA,-11320,1.46,GeoB6211-2,NA,NA,NA,NA,1.82,1.17
NA,-11450,1.47,GeoB6211-2,NA,NA,NA,NA,1.97,1.18
NA,-11580,1.48,GeoB6211-2,NA,NA,NA,NA,1.98,1.19
NA,-11710,1.49,GeoB6211-2,NA,NA,NA,NA,1.99,1.2
NA,-11840,1.5,GeoB6211-2,NA,NA,NA,NA,2.15,1.21
NA,-11970,1.51,GeoB6211-2,NA,NA,NA,NA,1.97,1.22
