d18O (permil),year (AD),depth (cm),d18O (permil) [2-1],year (AD) [2-1],depth (cm) [2-1]
-8.84,659,NA,NA,NA,NA
-8.7,657,NA,NA,NA,NA
-8.55,654,NA,NA,NA,NA
-8.41,652,NA,NA,NA,NA
-8.34,646,NA,NA,NA,NA
-8.44,643,NA,NA,NA,NA
-8.82,643,NA,NA,NA,NA
-8.49,640,NA,NA,NA,NA
-8.52,638,NA,NA,NA,NA
-9.09,633,NA,NA,NA,NA
-8.98,631,NA,NA,NA,NA
-9.42,630,NA,NA,NA,NA
-9.48,627,NA,NA,NA,NA
-9.6,625,NA,NA,NA,NA
-9.33,619,NA,NA,NA,NA
-9.28,616,NA,NA,NA,NA
-9.48,613,NA,NA,NA,NA
-8.9,608,NA,NA,NA,NA
-9.27,607,NA,NA,NA,NA
-9.17,604,NA,NA,NA,NA
-9.17,601,NA,NA,NA,NA
-9.25,599,NA,NA,NA,NA
-9.5,598,NA,NA,NA,NA
-9.58,593,NA,NA,NA,NA
-9.65,590,NA,NA,NA,NA
-9.77,589,NA,NA,NA,NA
-9.46,588,NA,NA,NA,NA
-9.33,585,NA,NA,NA,NA
-9.12,580,NA,NA,NA,NA
-9.15,578,NA,NA,NA,NA
-9.22,577,NA,NA,NA,NA
-9.25,575,NA,NA,NA,NA
-9.4,572,NA,NA,NA,NA
-9.41,567,NA,NA,NA,NA
-9.34,566,NA,NA,NA,NA
-9.36,565,NA,NA,NA,NA
-9.29,563,NA,NA,NA,NA
-8.52,561,NA,NA,NA,NA
-8.29,558,NA,NA,NA,NA
-8.64,556,NA,NA,NA,NA
-8.93,550,NA,NA,NA,NA
-8.76,545,NA,NA,NA,NA
-8.77,539,NA,NA,NA,NA
-8.34,539,NA,NA,NA,NA
-8.03,534,NA,NA,NA,NA
-8.22,523,NA,NA,NA,NA
-8.22,517,NA,NA,NA,NA
-8.28,515,NA,NA,NA,NA
-8.51,512,NA,NA,NA,NA
-8.5,507,NA,NA,NA,NA
-9.33,496,NA,NA,NA,NA
-9.71,490,NA,NA,NA,NA
-9.71,485,NA,NA,NA,NA
-9.18,480,NA,NA,NA,NA
-7.63,470,NA,NA,NA,NA
-7.47,468,NA,NA,NA,NA
-7.28,465,NA,NA,NA,NA
-7.94,456,NA,NA,NA,NA
-7.75,440,NA,NA,NA,NA
-7.91,438,NA,NA,NA,NA
-7.59,433,NA,NA,NA,NA
-6.5,426,NA,NA,NA,NA
-7.56,419,NA,NA,NA,NA
-8.88,414,NA,NA,NA,NA
-9.37,408,NA,NA,NA,NA
-9.59,402,NA,NA,NA,NA
-9.04,396,NA,NA,NA,NA
-8.91,391,NA,NA,NA,NA
-8.62,386,NA,NA,NA,NA
-8.71,381,NA,NA,NA,NA
-8.75,376,NA,NA,NA,NA
-8.39,372,NA,NA,NA,NA
-8.59,367,NA,NA,NA,NA
-8.36,358,NA,NA,NA,NA
-8.77,353,NA,NA,NA,NA
-8.79,353,NA,NA,NA,NA
-9.14,349,NA,NA,NA,NA
-7.87,344,NA,NA,NA,NA
-9.02,344,NA,NA,NA,NA
-7.23,339,NA,NA,NA,NA
-6.9,331,NA,NA,NA,NA
-7.24,326,NA,NA,NA,NA
-7.43,322,NA,NA,NA,NA
-7.48,317,NA,NA,NA,NA
-8.02,312,NA,NA,NA,NA
-8.66,304,NA,NA,NA,NA
-8.85,299,NA,NA,NA,NA
-8.97,298,NA,NA,NA,NA
-9.11,295,NA,NA,NA,NA
-9.29,290,NA,NA,NA,NA
-9.56,285,NA,NA,NA,NA
-11.02,276,NA,NA,NA,NA
-8.29,271,NA,NA,NA,NA
-11.37,265,NA,NA,NA,NA
-8.61,248,NA,NA,NA,NA
-8.65,242,NA,NA,NA,NA
-8.18,236,NA,NA,NA,NA
-7.99,234,NA,NA,NA,NA
-7.4,230,NA,NA,NA,NA
-7.54,220,NA,NA,NA,NA
-7.87,214,NA,NA,NA,NA
-8.09,208,NA,NA,NA,NA
-8.32,203,NA,NA,NA,NA
-8.1,194,NA,NA,NA,NA
-8.42,188,NA,NA,NA,NA
-8.45,185,NA,NA,NA,NA
-8.66,182,NA,NA,NA,NA
-8.88,177,NA,NA,NA,NA
-8.95,166,NA,NA,NA,NA
-9.24,160,NA,NA,NA,NA
-9.72,154,NA,NA,NA,NA
-9.98,149,NA,NA,NA,NA
-9.16,144,NA,NA,NA,NA
-10.14,137,NA,NA,NA,NA
-9.94,131,NA,NA,NA,NA
-9.07,125,NA,NA,NA,NA
-9.21,121,NA,NA,NA,NA
-8.74,116,NA,NA,NA,NA
-8.87,109,NA,NA,NA,NA
-8.73,101,NA,NA,NA,NA
-9.52,94,NA,NA,NA,NA
-10.18,89,NA,NA,NA,NA
-9.53,82,NA,NA,NA,NA
-9.73,74,NA,NA,NA,NA
-8.5,66,NA,NA,NA,NA
-8.88,61,NA,NA,NA,NA
-8.48,56,NA,NA,NA,NA
-8.3,48,NA,NA,NA,NA
-8.31,41,NA,NA,NA,NA
-9.05,34,NA,NA,NA,NA
-9.47,27,NA,NA,NA,NA
-8.51,19,NA,NA,NA,NA
-8.27,12,NA,NA,NA,NA
-8.88,6,NA,NA,NA,NA
-8.65,0,NA,NA,NA,NA
-8.62,-8,NA,NA,NA,NA
-9.29,-15,NA,NA,NA,NA
-9.02,-21,NA,NA,NA,NA
-8.66,-27,NA,NA,NA,NA
-8.98,-33,NA,NA,NA,NA
-9.85,-46,NA,NA,NA,NA
-8.83,-59,NA,NA,NA,NA
-9.22,-71,NA,NA,NA,NA
-8.27,-83,NA,NA,NA,NA
-8.47,-99,NA,NA,NA,NA
-8.65,-115,NA,NA,NA,NA
-9.06,-130,NA,NA,NA,NA
-8.62,-142,NA,NA,NA,NA
-8.27,-155,NA,NA,NA,NA
-8.19,-171,NA,NA,NA,NA
-8.49,-187,NA,NA,NA,NA
-8.85,-199,NA,NA,NA,NA
-8.8,-213,NA,NA,NA,NA
-8.88,-224,NA,NA,NA,NA
-8.14,-240,NA,NA,NA,NA
-8.27,-256,NA,NA,NA,NA
-8.76,-271,NA,NA,NA,NA
-8.58,-284,NA,NA,NA,NA
-8.87,-299,NA,NA,NA,NA
-8.78,-315,NA,NA,NA,NA
-8.38,-330,NA,NA,NA,NA
-8.14,-342,NA,NA,NA,NA
-8.43,-355,NA,NA,NA,NA
-8,-369,NA,NA,NA,NA
-8.98,-386,NA,NA,NA,NA
-10.03,-401,NA,NA,NA,NA
-10.96,-414,NA,NA,NA,NA
-8.69,-426,NA,NA,NA,NA
-10.06,-436,NA,NA,NA,NA
-8.45,-453,NA,NA,NA,NA
-8.35,-470,NA,NA,NA,NA
-8.6,-484,NA,NA,NA,NA
-8.52,-497,NA,NA,NA,NA
-8.67,-512,NA,NA,NA,NA
-9.19,-529,NA,NA,NA,NA
-9.08,-544,NA,NA,NA,NA
-8.93,-557,NA,NA,NA,NA
-8.16,-569,NA,NA,NA,NA
-8.71,-582,NA,NA,NA,NA
-8.45,-599,NA,NA,NA,NA
-8.09,-617,NA,NA,NA,NA
-7.69,-631,NA,NA,NA,NA
-7.42,-640,NA,NA,NA,NA
-7.22,-655,NA,NA,NA,NA
-7.63,-672,NA,NA,NA,NA
-7.83,-687,NA,NA,NA,NA
-8.04,-697,NA,NA,NA,NA
-8.09,-711,NA,NA,NA,NA
-9.36,-726,NA,NA,NA,NA
-10.37,-741,NA,NA,NA,NA
-10.5,-756,NA,NA,NA,NA
-10,-766,NA,NA,NA,NA
-10.81,-782,NA,NA,NA,NA
-9.59,-787,NA,NA,NA,NA
-9.3,-793,NA,NA,NA,NA
-9.61,-798,NA,NA,NA,NA
-9.42,-804,NA,NA,NA,NA
-9.88,-809,NA,NA,NA,NA
-8.42,-814,NA,NA,NA,NA
-7.72,-819,NA,NA,NA,NA
-8.47,-825,NA,NA,NA,NA
-8.27,-830,NA,NA,NA,NA
-9.54,-836,NA,NA,NA,NA
-8.46,-842,NA,NA,NA,NA
-9.69,-847,NA,NA,NA,NA
-9.88,-853,NA,NA,NA,NA
-9.49,-858,NA,NA,NA,NA
-8.5,-862,NA,NA,NA,NA
-8.95,-868,NA,NA,NA,NA
-9.38,-874,NA,NA,NA,NA
-9.4,-879,NA,NA,NA,NA
-9.07,-885,NA,NA,NA,NA
-8.92,-889,NA,NA,NA,NA
-7.76,-894,NA,NA,NA,NA
-8.17,-899,NA,NA,NA,NA
-8.53,-904,NA,NA,NA,NA
-7.98,-910,NA,NA,NA,NA
-7.03,-916,NA,NA,NA,NA
-7.88,-920,NA,NA,NA,NA
-6.22,-925,NA,NA,NA,NA
-7.11,-930,NA,NA,NA,NA
-7.74,-935,NA,NA,NA,NA
-7.47,-939,NA,NA,NA,NA
-7.63,-942,NA,NA,NA,NA
-7.69,-948,NA,NA,NA,NA
-7.4,-953,NA,NA,NA,NA
-7.37,-958,NA,NA,NA,NA
-7.34,-963,NA,NA,NA,NA
-7.43,-969,NA,NA,NA,NA
-7.19,-974,NA,NA,NA,NA
-7.52,-979,NA,NA,NA,NA
-7.63,-985,NA,NA,NA,NA
-7.86,-990,NA,NA,NA,NA
-8.18,-996,NA,NA,NA,NA
-8.22,-1001,NA,NA,NA,NA
-8.69,-1006,NA,NA,NA,NA
-8.62,-1011,NA,NA,NA,NA
-7.93,-1016,NA,NA,NA,NA
-8.34,-1023,NA,NA,NA,NA
-8.39,-1028,NA,NA,NA,NA
-8.31,-1033,NA,NA,NA,NA
-8.38,-1038,NA,NA,NA,NA
-8.31,-1043,NA,NA,NA,NA
-8.34,-1049,NA,NA,NA,NA
-10.32,-1054,NA,NA,NA,NA
-12.2,-1060,NA,NA,NA,NA
-10.8,-1066,NA,NA,NA,NA
-10.77,-1071,NA,NA,NA,NA
-8.8,-1076,NA,NA,NA,NA
-9.6,-1081,NA,NA,NA,NA
-9.47,-1086,NA,NA,NA,NA
-9.24,-1092,NA,NA,NA,NA
-9.22,-1097,NA,NA,NA,NA
-9.92,-1103,NA,NA,NA,NA
-8.74,-1108,NA,NA,NA,NA
-9,-1113,NA,NA,NA,NA
-9.2,-1118,NA,NA,NA,NA
-8.38,-1124,NA,NA,NA,NA
-9.11,-1130,NA,NA,NA,NA
-9.05,-1136,NA,NA,NA,NA
-8.69,-1141,NA,NA,NA,NA
-9.48,-1146,NA,NA,NA,NA
-10.38,-1151,NA,NA,NA,NA
-8.96,-1156,NA,NA,NA,NA
-9.02,-1183,NA,NA,NA,NA
-9.37,-1210,NA,NA,NA,NA
-8.84,-1236,NA,NA,NA,NA
-8.81,-1263,NA,NA,NA,NA
-9.04,-1290,NA,NA,NA,NA
-9.21,-1317,NA,NA,NA,NA
-9.41,-1343,NA,NA,NA,NA
-9.29,-1370,NA,NA,NA,NA
-9.43,-1397,NA,NA,NA,NA
-9.66,-1424,NA,NA,NA,NA
-9.83,-1450,NA,NA,NA,NA
-10.06,-1477,NA,NA,NA,NA
-10.06,-1497,NA,NA,NA,NA
-9.29,-1516,NA,NA,NA,NA
-10.51,-1536,NA,NA,NA,NA
-8.35,-1556,NA,NA,NA,NA
-9.81,-1575,NA,NA,NA,NA
-8.62,-1595,NA,NA,NA,NA
-8.85,-1614,NA,NA,NA,NA
-9.34,-1634,NA,NA,NA,NA
-9.32,-1654,NA,NA,NA,NA
-8.87,-1673,NA,NA,NA,NA
-9.21,-1693,NA,NA,NA,NA
-7.82,-1713,NA,NA,NA,NA
-8.95,-1732,NA,NA,NA,NA
-8.9,-1752,NA,NA,NA,NA
-8.53,-1772,NA,NA,NA,NA
-8.95,-1791,NA,NA,NA,NA
-9.23,-1811,NA,NA,NA,NA
-8.83,-1830,NA,NA,NA,NA
-8.9,-1850,NA,NA,NA,NA
-9.42,-1857,NA,NA,NA,NA
-10.23,-1865,NA,NA,NA,NA
-10.28,-1872,NA,NA,NA,NA
-11.51,-1879,NA,NA,NA,NA
-9.08,-1886,NA,NA,NA,NA
-9.28,-1894,NA,NA,NA,NA
-10.37,-1901,NA,NA,NA,NA
-10.93,-1908,NA,NA,NA,NA
-10.67,-1915,NA,NA,NA,NA
-10.09,-1923,NA,NA,NA,NA
-9.63,-1930,NA,NA,NA,NA
-9.74,-1937,NA,NA,NA,NA
