d18O (permil),year (AD),depth (cm),d18O (permil) [2-1],year (AD) [2-1],depth (cm) [2-1],d18O (permil) [3-1],year (AD) [3-1],depth (cm) [3-1]
1.41,1749.9,42,NA,1496.3,NA,-0.41,641.18,192
1.17,1743.8,43,NA,1489.7,NA,0,624.79,194
1.59,1737.7,44,2.61,1483,NA,0.19,616.57,195
0.77,1731.6,45,NA,1473,NA,0.32,608.34,196
1.52,1725.5,46,NA,1469.7,NA,-0.04,600.1,197
2.36,1719.4,47,NA,1463,NA,0.18,591.84,198
1.71,1713.2,48,-1.07,1456.3,NA,0.08,583.58,199
1.15,1707.1,49,NA,1449.6,NA,-0.04,575.3,200
0.85,1700.9,50,-1.08,1442.9,NA,0.01,567.01,201
0.59,1694.7,51,-0.57,1436.2,NA,-0.13,558.7,202
1.39,1688.5,52,-0.72,1429.4,NA,0.06,550.39,203
0.42,1682.3,53,-0.97,1422.7,NA,-0.08,542.06,204
0.48,1676.1,54,-0.23,1415.9,NA,-0.63,533.72,205
3.64,1669.9,55,-0.32,1409.1,NA,-0.51,525.36,206
3.82,1663.6,56,-0.77,1402.3,NA,-0.29,517,207
NA,1657.3,57,-0.56,1395.5,NA,0.26,508.62,208
2.92,1651.1,58,-0.76,1388.7,NA,-0.06,466.55,213
3,1644.8,59,-0.46,1381.9,NA,-0.37,449.63,215
2.57,1638.5,60,-0.6,1375,NA,-0.83,441.16,216
0.45,1632.1,61,-1.39,1368.1,NA,-0.32,432.67,217
0.87,1625.8,62,-0.55,1361.3,NA,-0.59,424.17,218
1.98,1619.5,63,-0.96,1354.4,NA,-0.21,415.65,219
-0.9,1613.1,64,-0.61,1347.5,NA,-0.79,407.13,220
0.38,1606.7,65,-0.87,1340.5,NA,-1.13,398.59,221
0.88,1600.3,66,-0.85,1333.6,NA,-0.41,390.04,222
2.98,1593.9,67,-0.79,1326.6,NA,-0.24,381.48,223
1.87,1587.5,68,-1.28,1319.7,NA,-0.44,372.9,224
3.28,1581.1,69,-1.15,1312.7,NA,NA,364.31,225
2.67,1574.7,70,-0.73,1305.7,NA,-0.69,355.71,226
-0.04,1568.2,71,-0.87,1298.7,NA,-0.48,347.1,227
1.82,1561.7,72,-1.21,1291.7,NA,-0.85,338.48,228
0.85,1555.2,73,-0.66,1284.7,NA,-0.63,329.84,229
1.4,1548.7,74,-0.62,1277.6,NA,-0.69,321.19,230
1.35,1542.2,75,-0.11,1270.6,NA,-0.42,312.53,231
2.45,1535.7,76,-2.89,1263.5,NA,-0.68,303.86,232
0.89,1529.2,77,-0.62,1256.4,NA,-0.88,295.17,233
2.96,1522.6,78,-0.54,1249.3,NA,-0.69,286.47,234
0.96,1516.1,79,-1.38,1242.2,NA,-1.13,277.76,235
1.98,1509.5,80,-1.05,1235.1,NA,-0.82,269.04,236
NA,1502.9,81,-1.24,1227.9,NA,NA,260.3,237
-0.58,1496.3,82,-1.08,1220.8,NA,-0.68,251.55,238
0.33,1489.7,83,-1.6,1213.6,NA,-0.75,242.79,239
1.1,1483,84,-1.61,1206.4,NA,-0.16,234.02,240
0.42,1476.4,85,-2.79,1199.2,NA,NA,225.24,241
-0.96,1469.7,86,-1.56,1192,NA,-0.46,216.44,242
1.33,1463,87,-1.91,1184.8,NA,-0.32,207.63,243
-1.13,1456.3,88,-1.22,1177.6,NA,-0.47,198.81,244
-0.3,1449.6,89,-1.45,1170.3,NA,-1.03,192.02,250
0.02,1442.9,90,-1.52,1163,NA,NA,183.11,251
-0.85,1436.2,91,-1.73,1155.8,NA,-0.64,174.17,252
-0.54,1429.4,92,-1.65,1148.5,NA,-0.21,165.22,253
-0.99,1422.7,93,-1.25,1141.2,NA,NA,156.26,254
-0.38,1415.9,94,-1.67,1133.9,NA,-0.45,138.3,256
-0.76,1409.1,95,-1.18,1126.5,NA,-0.75,129.3,257
-0.2,1402.3,96,-1.02,1119.2,NA,-0.79,111.25,259
-0.92,1395.5,97,-1.38,1111.8,NA,-1.19,102.21,260
NA,NA,NA,-1.11,1104.4,NA,-1.34,93.155,261
NA,NA,NA,-1.54,1097.1,NA,-0.44,84.085,262
NA,NA,NA,NA,1089.7,NA,-0.56,75.001,263
NA,NA,NA,NA,1082.2,NA,-0.8,65.903,264
NA,NA,NA,NA,1074.8,NA,-0.87,56.792,265
NA,NA,NA,NA,1067.4,NA,-0.82,47.667,266
NA,NA,NA,-1.39,1059.9,NA,-1.41,38.528,267
NA,NA,NA,-1.28,1052.4,NA,-1.21,29.376,268
NA,NA,NA,-1.4,1045,NA,-1.13,20.21,269
NA,NA,NA,-1.5,1037.5,NA,-1.15,11.03,270
NA,NA,NA,-1.6,1030,NA,-1.43,1.8366,271
NA,NA,NA,-1.42,1022.4,NA,-1.27,-7.3705,272
NA,NA,NA,-1.09,1014.9,NA,-0.73,-16.591,273
NA,NA,NA,-0.67,1007.3,NA,-0.79,-25.826,274
NA,NA,NA,-0.95,999.77,NA,-0.54,-35.074,275
NA,NA,NA,-1.34,992.2,NA,-1.14,-44.336,276
NA,NA,NA,-1.28,984.6,NA,-0.67,-53.611,277
NA,NA,NA,-0.9,977,NA,-0.54,-62.901,278
NA,NA,NA,-0.89,969.38,NA,-0.76,-81.52,280
NA,NA,NA,-0.74,961.74,NA,-0.94,-90.85,281
NA,NA,NA,-0.84,954.1,NA,-1.13,-100.19,282
NA,NA,NA,-0.18,946.44,NA,-0.54,-109.55,283
NA,NA,NA,-0.85,938.76,NA,-0.39,-118.92,284
NA,NA,NA,-1.17,931.07,NA,-0.33,-128.31,285
NA,NA,NA,-1.03,923.37,NA,-0.25,-137.71,286
NA,NA,NA,-0.83,915.66,NA,-1.15,-147.12,287
NA,NA,NA,-1.1,907.93,NA,-1.97,-156.55,288
NA,NA,NA,-0.79,900.19,NA,-1.36,-165.99,289
NA,NA,NA,-1.1,892.43,NA,-1.99,-175.44,290
NA,NA,NA,-1.45,884.66,NA,-1.9,-184.91,291
NA,NA,NA,-1.52,876.87,NA,-1.57,-194.39,292
NA,NA,NA,-1.14,869.08,NA,-1.84,-203.88,293
NA,NA,NA,-0.62,861.27,NA,-1.65,-213.39,294
NA,NA,NA,-1.27,853.44,NA,-1.65,-222.91,295
NA,NA,NA,-1.35,845.6,NA,-1.93,-232.45,296
NA,NA,NA,-1.25,837.75,NA,-2.26,-242,297
NA,NA,NA,-1.31,829.88,NA,-1.85,-251.56,298
NA,NA,NA,-1.13,822,NA,-1.83,-261.14,299
NA,NA,NA,-1.23,814.11,NA,-1.81,-270.73,300
NA,NA,NA,-1.37,806.2,NA,-1.97,-280.33,301
NA,NA,NA,-1.06,798.28,NA,-1.75,-289.95,302
NA,NA,NA,-1.25,790.35,NA,-2.05,-299.58,303
NA,NA,NA,-0.73,782.4,NA,-1.24,-309.22,304
NA,NA,NA,-0.63,774.44,NA,-1.46,-318.88,305
NA,NA,NA,-0.88,766.46,NA,-2.2,-328.56,306
NA,NA,NA,-0.62,758.47,NA,-2,-338.24,307
NA,NA,NA,-1.36,750.47,NA,-2.08,-347.94,308
NA,NA,NA,-1.6,742.45,NA,-2.39,-357.65,309
NA,NA,NA,-1.06,734.42,NA,-1.84,-367.38,310
NA,NA,NA,-0.8,726.38,NA,-1.91,-377.12,311
NA,NA,NA,-0.32,718.32,NA,-2.34,-386.88,312
NA,NA,NA,-0.98,710.25,NA,-2.27,-396.65,313
NA,NA,NA,-0.92,702.17,NA,-2.65,-406.43,314
NA,NA,NA,-0.94,694.07,NA,-2.65,-416.22,315
NA,NA,NA,-1.03,685.96,NA,-2.23,-426.03,316
NA,NA,NA,-1.01,677.83,NA,-2.36,-435.85,317
NA,NA,NA,-0.64,669.69,NA,-2.27,-445.69,318
NA,NA,NA,-0.57,661.54,NA,-2.42,-455.54,319
NA,NA,NA,-0.75,653.37,NA,NA,-465.41,320
NA,NA,NA,-1.35,645.19,NA,-2.58,-475.28,321
NA,NA,NA,-0.35,636.99,NA,NA,-485.17,322
NA,NA,NA,-0.44,628.79,NA,-2.19,-495.08,323
NA,NA,NA,-1.24,620.56,NA,-2.43,-505,324
NA,NA,NA,-1.53,612.33,NA,-2.64,-514.93,325
NA,NA,NA,-0.73,604.08,NA,-2.38,-524.88,326
NA,NA,NA,0.23,595.82,NA,-2.54,-534.84,327
NA,NA,NA,-0.7,587.54,NA,-2.68,-544.81,328
NA,NA,NA,-1.13,579.25,NA,-2.6,-554.8,329
NA,NA,NA,-0.2,570.95,NA,-2.27,-564.8,330
NA,NA,NA,-0.37,562.63,NA,-2.68,-574.81,331
NA,NA,NA,-0.88,554.3,NA,-2.53,-584.84,332
NA,NA,NA,-1.16,545.95,NA,-3.17,-594.88,333
NA,NA,NA,-0.3,537.59,NA,-2.57,-604.94,334
NA,NA,NA,-0.75,529.22,NA,-2.13,-615.01,335
NA,NA,NA,-1.1,520.83,NA,-2.86,-625.09,336
NA,NA,NA,-1.33,512.44,NA,-2.22,-635.19,337
NA,NA,NA,-0.97,504.02,NA,-2.16,-645.3,338
NA,NA,NA,-1.12,495.59,NA,-2.42,-655.42,339
NA,NA,NA,-1.61,487.15,NA,NA,-665.56,340
NA,NA,NA,-0.46,478.7,NA,-2.54,-675.71,341
NA,NA,NA,0.08,470.23,NA,-2.53,-685.88,342
NA,NA,NA,-1.3,461.75,NA,NA,-696.05,343
NA,NA,NA,-0.25,453.25,NA,-2.55,-706.25,344
NA,NA,NA,-0.51,444.74,NA,-2.22,-716.45,345
NA,NA,NA,-0.61,436.22,NA,-2.52,-726.67,346
NA,NA,NA,-0.36,427.69,NA,-2.14,-736.91,347
NA,NA,NA,-0.1,419.13,NA,-1.71,-767.69,350
NA,NA,NA,NA,410.57,NA,NA,-767.69,350
NA,NA,NA,NA,401.99,NA,-2.2,-777.98,351
NA,NA,NA,NA,393.4,NA,-1.93,-788.28,352
NA,NA,NA,-0.95,384.8,NA,-1.65,-798.59,353
NA,NA,NA,-1.21,376.18,NA,-1.64,-808.92,354
NA,NA,NA,-0.74,367.55,NA,-1.78,-819.27,355
NA,NA,NA,-1.31,358.9,NA,-1.74,-829.62,356
NA,NA,NA,-1.11,350.24,NA,-1.36,-839.99,357
NA,NA,NA,-1.05,341.57,NA,-1.38,-850.38,358
NA,NA,NA,-1.1,332.88,NA,-1.27,-860.78,359
NA,NA,NA,-0.63,324.18,NA,-2.05,-871.19,360
NA,NA,NA,-1.15,315.46,NA,-1.49,-881.61,361
NA,NA,NA,-1.31,306.74,NA,-1.63,-892.05,362
NA,NA,NA,-0.96,297.99,NA,-1.86,-902.5,363
NA,NA,NA,-0.68,289.24,NA,-1.4,-912.97,364
NA,NA,NA,-1.01,280.47,NA,NA,-923.45,365
NA,NA,NA,-1.3,271.69,NA,-2.06,-933.94,366
NA,NA,NA,-1.63,262.89,NA,NA,-944.45,367
NA,NA,NA,-1.64,254.08,NA,-1.31,-954.97,368
NA,NA,NA,-1.46,245.26,NA,NA,-976.05,370
NA,NA,NA,-0.92,236.42,NA,-1.9,-986.62,371
NA,NA,NA,-1.23,227.57,NA,NA,-997.19,372
NA,NA,NA,-0.88,218.7,NA,-1.69,-1007.8,373
NA,NA,NA,-0.72,209.82,NA,NA,-1018.4,374
NA,NA,NA,-0.85,200.93,NA,NA,-1029,375
NA,NA,NA,-0.91,192.02,NA,-1.84,-1039.6,376
NA,NA,NA,-1.12,183.11,NA,NA,-1060.9,378
NA,NA,NA,-1.01,174.17,NA,-2.08,-1071.6,379
NA,NA,NA,-0.9,165.22,NA,NA,-1082.3,380
NA,NA,NA,-0.75,156.26,NA,-1.9,-1093,381
NA,NA,NA,-0.34,147.29,NA,NA,-1103.7,382
NA,NA,NA,-1.39,138.3,NA,-2.33,-1114.4,383
NA,NA,NA,-0.95,129.3,NA,NA,-1125.2,384
NA,NA,NA,-0.79,120.28,NA,-2.69,-1135.9,385
NA,NA,NA,NA,NA,NA,-2.42,-1146.7,386
NA,NA,NA,NA,NA,NA,-2.38,-1157.5,387
NA,NA,NA,NA,NA,NA,-3.04,-1168.3,388
NA,NA,NA,NA,NA,NA,-3.08,-1179.1,389
NA,NA,NA,NA,NA,NA,NA,-1200.7,391
NA,NA,NA,NA,NA,NA,-2.45,-1233.3,394
NA,NA,NA,NA,NA,NA,NA,-1244.2,395
NA,NA,NA,NA,NA,NA,-2.27,-1255.1,396
NA,NA,NA,NA,NA,NA,NA,-1266,397
NA,NA,NA,NA,NA,NA,-2.4,-1277,398
NA,NA,NA,NA,NA,NA,-2.5,-1287.9,399
NA,NA,NA,NA,NA,NA,-2.39,-1298.9,400
NA,NA,NA,NA,NA,NA,-2.4,-1309.8,401
NA,NA,NA,NA,NA,NA,-2.4,-1320.8,402
NA,NA,NA,NA,NA,NA,-2.88,-1331.8,403
NA,NA,NA,NA,NA,NA,-2.84,-1342.8,404
NA,NA,NA,NA,NA,NA,-2.91,-1353.9,405
NA,NA,NA,NA,NA,NA,-2.83,-1364.9,406
NA,NA,NA,NA,NA,NA,-2.7,-1376,407
NA,NA,NA,NA,NA,NA,-2.64,-1387,408
NA,NA,NA,NA,NA,NA,-3.12,-1398.1,409
NA,NA,NA,NA,NA,NA,-2.69,-1409.2,410
NA,NA,NA,NA,NA,NA,-2.9,-1420.3,411
NA,NA,NA,NA,NA,NA,-2.89,-1431.4,412
NA,NA,NA,NA,NA,NA,-2.85,-1442.6,413
NA,NA,NA,NA,NA,NA,-3.07,-1453.7,414
NA,NA,NA,NA,NA,NA,-2.59,-1464.9,415
NA,NA,NA,NA,NA,NA,-2.72,-1476.1,416
NA,NA,NA,NA,NA,NA,-2.81,-1487.3,417
NA,NA,NA,NA,NA,NA,-2.98,-1498.5,418
NA,NA,NA,NA,NA,NA,-3.14,-1509.7,419
NA,NA,NA,NA,NA,NA,-3.03,-1520.9,420
NA,NA,NA,NA,NA,NA,-3.13,-1532.2,421
NA,NA,NA,NA,NA,NA,-2.78,-1543.4,422
NA,NA,NA,NA,NA,NA,-2.69,-1554.7,423
NA,NA,NA,NA,NA,NA,-2.89,-1566,424
NA,NA,NA,NA,NA,NA,-3.66,-1577.3,425
NA,NA,NA,NA,NA,NA,-2.84,-1588.6,426
NA,NA,NA,NA,NA,NA,-2.86,-1599.9,427
NA,NA,NA,NA,NA,NA,-2.92,-1611.3,428
NA,NA,NA,NA,NA,NA,-2.73,-1622.6,429
NA,NA,NA,NA,NA,NA,-2.73,-1634,430
NA,NA,NA,NA,NA,NA,-2.64,-1645.4,431
NA,NA,NA,NA,NA,NA,-2.65,-1656.8,432
NA,NA,NA,NA,NA,NA,-2.93,-1668.2,433
NA,NA,NA,NA,NA,NA,-2.78,-1679.6,434
NA,NA,NA,NA,NA,NA,-2.73,-1691,435
NA,NA,NA,NA,NA,NA,-2.76,-1702.5,436
NA,NA,NA,NA,NA,NA,-2.63,-1714,437
NA,NA,NA,NA,NA,NA,-2.26,-1725.4,438
NA,NA,NA,NA,NA,NA,-2.98,-1736.9,439
NA,NA,NA,NA,NA,NA,-2.67,-1748.4,440
NA,NA,NA,NA,NA,NA,-2.69,-1760,441
NA,NA,NA,NA,NA,NA,-2.98,-1771.5,442
NA,NA,NA,NA,NA,NA,-2.61,-1783,443
NA,NA,NA,NA,NA,NA,-2.59,-1794.6,444
NA,NA,NA,NA,NA,NA,-2.76,-1806.2,445
NA,NA,NA,NA,NA,NA,-3.24,-1817.8,446
NA,NA,NA,NA,NA,NA,-2.5,-1829.4,447
NA,NA,NA,NA,NA,NA,-1.28,-1864.3,450
NA,NA,NA,NA,NA,NA,-2.39,-1875.9,451
NA,NA,NA,NA,NA,NA,-1.76,-1887.6,452
NA,NA,NA,NA,NA,NA,-2.04,-1899.3,453
NA,NA,NA,NA,NA,NA,-1.71,-1911,454
NA,NA,NA,NA,NA,NA,-2.67,-1922.7,455
NA,NA,NA,NA,NA,NA,-2.77,-1934.4,456
NA,NA,NA,NA,NA,NA,-2.8,-1946.1,457
NA,NA,NA,NA,NA,NA,-3.3,-1957.9,458
NA,NA,NA,NA,NA,NA,-3.15,-1969.7,459
NA,NA,NA,NA,NA,NA,-2.5,-1981.4,460
NA,NA,NA,NA,NA,NA,-2.78,-1993.2,461
NA,NA,NA,NA,NA,NA,-2.76,-2005,462
NA,NA,NA,NA,NA,NA,-2.59,-2016.9,463
NA,NA,NA,NA,NA,NA,NA,-2028.7,464
NA,NA,NA,NA,NA,NA,-2.59,-2040.5,465
NA,NA,NA,NA,NA,NA,-2.95,-2052.4,466
NA,NA,NA,NA,NA,NA,-2.57,-2064.3,467
NA,NA,NA,NA,NA,NA,-2.93,-2076.2,468
NA,NA,NA,NA,NA,NA,-2.79,-2088.1,469
NA,NA,NA,NA,NA,NA,-2.73,-2100,470
NA,NA,NA,NA,NA,NA,-2.44,-2111.9,471
NA,NA,NA,NA,NA,NA,-2.64,-2123.9,472
NA,NA,NA,NA,NA,NA,-2.72,-2135.8,473
NA,NA,NA,NA,NA,NA,-2.44,-2147.8,474
NA,NA,NA,NA,NA,NA,-2.15,-2159.8,475
NA,NA,NA,NA,NA,NA,-2.52,-2171.8,476
NA,NA,NA,NA,NA,NA,-2.59,-2183.8,477
NA,NA,NA,NA,NA,NA,-3.34,-2195.8,478
NA,NA,NA,NA,NA,NA,-3.11,-2219.9,480
NA,NA,NA,NA,NA,NA,-2.87,-2232,481
NA,NA,NA,NA,NA,NA,-2.98,-2244.1,482
NA,NA,NA,NA,NA,NA,NA,-2256.1,483
NA,NA,NA,NA,NA,NA,NA,-2268.3,484
NA,NA,NA,NA,NA,NA,NA,-2280.4,485
NA,NA,NA,NA,NA,NA,-2.8,-2292.5,486
NA,NA,NA,NA,NA,NA,NA,-2304.7,487
NA,NA,NA,NA,NA,NA,-2.72,-2316.8,488
NA,NA,NA,NA,NA,NA,NA,-2329,489
NA,NA,NA,NA,NA,NA,NA,-2341.2,490
NA,NA,NA,NA,NA,NA,NA,-2353.4,491
NA,NA,NA,NA,NA,NA,NA,-2365.6,492
NA,NA,NA,NA,NA,NA,-2.75,-2377.8,493
NA,NA,NA,NA,NA,NA,-2.73,-2390.1,494
NA,NA,NA,NA,NA,NA,-2.66,-2402.4,495
NA,NA,NA,NA,NA,NA,-2.69,-2414.6,496
NA,NA,NA,NA,NA,NA,NA,-2426.9,497
NA,NA,NA,NA,NA,NA,-2.37,-2439.2,498
NA,NA,NA,NA,NA,NA,NA,-2451.5,499
NA,NA,NA,NA,NA,NA,-2.65,-2463.9,500
NA,NA,NA,NA,NA,NA,-2.8,-2476.2,501
NA,NA,NA,NA,NA,NA,-2.44,-2488.5,502
NA,NA,NA,NA,NA,NA,NA,-2500.9,503
NA,NA,NA,NA,NA,NA,-2.78,-2513.3,504
NA,NA,NA,NA,NA,NA,-2.92,-2525.7,505
NA,NA,NA,NA,NA,NA,-3.1,-2538.1,506
NA,NA,NA,NA,NA,NA,-2.9,-2550.5,507
NA,NA,NA,NA,NA,NA,NA,-2563,508
NA,NA,NA,NA,NA,NA,-2.62,-2575.4,509
NA,NA,NA,NA,NA,NA,NA,-2587.9,510
NA,NA,NA,NA,NA,NA,-2.67,-2600.4,511
NA,NA,NA,NA,NA,NA,-2.52,-2612.8,512
