d18O (permil),year (AD),d18O (permil) [1-2],year (AD) [1-2],d18O (permil) [1-3],year (AD) [1-3],d18O (permil) [1-4],year (AD) [1-4],d18O (permil) [1-5],year (AD) [1-5],d18O (permil) [1-6],year (AD) [1-6],d18O (permil) [1-7],year (AD) [1-7],d18O (permil) [1-8],year (AD) [1-8],d18O (permil) [1-9],year (AD) [1-9],d18O (permil) [1-10],year (AD) [1-10],d18O (permil) [1-11],year (AD) [1-11],d18O (permil) [1-12],year (AD) [1-12],depth (cm) [1-12]
-5.13,1997.2,-4.56,929.461,-4.892,1150.335,-4.81,1318.3665,-4.93,1399.704125,-4.48,1406.3098,-4.68,1413.021143,-5.005,1328.1964,-4.9,1635.8665,-4.79,1654.126615,-4.79,1665.890556,-5.62,1887.14,NA
-5.2,1997.13,-4.53,929.5555,-4.793,1150.398,-4.9,1318.437375,-4.89,1399.75825,-4.53,1406.4232,-4.58,1413.083,-4.945,1328.3098,-4.78,1635.920625,-4.87,1654.170231,-4.87,1665.938667,-5.54,1887.21,NA
-5.18,1997.04,-4.61,929.65,-4.75,1150.461,-4.8,1318.50825,-4.96,1399.812375,-4.63,1406.5366,-4.58,1413.146,-5.145,1328.4232,-4.74,1635.97475,-5.05,1654.213846,-4.87,1665.986778,-5.52,1887.27,NA
-5.21,1996.96,-4.51,929.75825,-4.918,1150.524,-4.89,1318.579125,-5.05,1399.8665,-4.75,1406.65,-4.63,1413.209,-5.115,1328.5366,-4.62,1636.028875,-4.95,1654.257462,-4.83,1666.034889,-5.35,1887.33,NA
-5.2,1996.88,-4.58,929.8665,-4.965,1150.587,-4.95,1318.65,-5.26,1399.920625,-4.74,1406.704125,-4.68,1413.272,-5.235,1328.65,-4.61,1636.083,-4.62,1654.301077,-4.74,1666.083,-5.42,1887.4,NA
-5.27,1996.79,-4.57,929.97475,-4.982,1150.65,-4.75,1318.711857,-4.97,1399.97475,-4.67,1406.75825,-4.59,1413.335,-4.965,1328.75825,-4.68,1636.1397,-4.81,1654.344692,-4.78,1666.126615,-5.38,1887.46,NA
-5.35,1996.71,-4.52,930.083,-4.84,1150.722167,-4.72,1318.773714,-4.82,1400.028875,-4.64,1406.812375,-4.63,1413.398,-5.005,1328.8665,-4.75,1636.1964,-4.5,1654.388308,-4.84,1666.170231,-5.19,1887.52,NA
-5.34,1996.62,-4.58,930.22475,-4.866,1150.794333,-4.65,1318.835571,-4.7,1400.083,-4.63,1406.8665,-4.67,1413.461,-5.035,1328.97475,-4.76,1636.2531,-4.58,1654.431923,-4.83,1666.213846,-5.12,1887.59,NA
-5.33,1996.54,-4.68,930.3665,-4.905,1150.8665,-4.67,1318.897429,-4.83,1400.1397,-4.6,1406.920625,-4.64,1413.524,-5.015,1329.083,-4.62,1636.3098,-4.44,1654.475538,-4.86,1666.257462,-5.18,1887.65,NA
-5.39,1996.46,-4.65,930.50825,-4.833,1150.938667,-4.67,1318.959286,-4.72,1400.1964,-4.56,1406.97475,-4.7,1413.587,-5.245,1329.153875,-4.69,1636.3665,-4.55,1654.519154,-4.83,1666.301077,-5.29,1887.7,NA
-5.34,1996.37,-4.91,930.65,-4.729,1151.010833,-4.63,1319.021143,-4.79,1400.2531,-4.54,1407.028875,-4.75,1413.65,-5.105,1329.22475,-4.84,1636.4232,-4.53,1654.562769,-4.95,1666.344692,-5.12,1887.75,NA
-5.08,1996.29,-4.9,930.7118571,-4.696,1151.083,-4.61,1319.083,-4.83,1400.3098,-4.52,1407.083,-4.66,1413.711857,-5.145,1329.295625,-4.71,1636.4799,-4.54,1654.606385,-4.9,1666.388308,-5.21,1887.79,NA
-5.21,1996.21,-4.82,930.7737143,-4.735,1151.146,-4.76,1319.164,-5.09,1400.3665,-4.62,1407.1775,-4.63,1413.773714,-5.235,1329.3665,-4.77,1636.5366,-4.62,1654.65,-5.06,1666.431923,-5.24,1887.84,NA
-5.04,1996.13,-4.75,930.8355714,-4.703,1151.209,-4.82,1319.245,-4.98,1400.4232,-4.56,1407.272,-4.65,1413.835571,-5.175,1329.437375,-4.87,1636.5933,-4.54,1654.722167,-5.08,1666.475538,-5.15,1887.89,NA
-5.03,1996.04,-4.74,930.8974286,-4.72,1151.272,-4.81,1319.326,-4.84,1400.4799,-4.71,1407.3665,-4.68,1413.897429,-5.245,1329.50825,-4.96,1636.65,-4.64,1654.794333,-5,1666.519154,-5.28,1887.94,NA
-4.98,1995.96,-4.73,930.9592857,-4.663,1151.335,-4.84,1319.407,-4.92,1400.5366,-4.7,1407.461,-4.54,1413.959286,-5.235,1329.579125,-4.91,1636.704125,-4.73,1654.8665,-4.91,1666.562769,-5.35,1887.98,NA
-5.02,1995.87,-4.73,931.0211429,-4.709,1151.398,-4.76,1319.488,-5.23,1400.5933,-4.71,1407.5555,-4.58,1414.021143,-5.365,1329.65,-4.83,1636.75825,-4.58,1654.938667,-5.03,1666.606385,-5.34,1888.03,NA
-5.01,1995.79,-4.64,931.083,-4.78,1151.461,-4.72,1319.569,-5.34,1400.65,-4.79,1407.65,-4.5,1414.083,-5.245,1329.75825,-4.97,1636.812375,-4.66,1655.010833,-5.17,1666.65,-5.34,1888.08,NA
-5.02,1995.71,-4.72,931.153875,-4.714,1151.524,-4.86,1319.65,-5.22,1400.711857,-4.7,1407.711857,-4.51,1414.146,-5.165,1329.8665,-5.09,1636.8665,-4.55,1655.083,-5.08,1666.711857,-5.33,1888.22,NA
-5.23,1995.62,-4.73,931.22475,-4.789,1151.587,-4.81,1319.711857,-4.99,1400.773714,-4.59,1407.773714,-4.56,1414.209,-5.035,1329.97475,-5.02,1636.920625,-4.63,1655.146,-5.07,1666.773714,-5.32,1888.37,NA
-5.25,1995.54,-4.83,931.295625,-4.786,1151.65,-4.88,1319.773714,-5,1400.835571,-4.58,1407.835571,-4.51,1414.272,-4.905,1330.083,-4.91,1636.97475,-4.6,1655.209,-4.92,1666.835571,-5.42,1888.51,NA
-5.3,1995.46,-4.78,931.3665,-4.737,1151.7366,-4.71,1319.835571,-4.95,1400.897429,-4.63,1407.897429,-4.55,1414.335,-4.995,1330.1964,-4.74,1637.028875,-4.75,1655.272,-4.9,1666.897429,-5.35,1888.65,NA
-5.35,1995.37,-4.64,931.437375,-4.628,1151.8232,-4.76,1319.897429,-4.888,1400.959286,-4.68,1407.959286,-4.6,1414.398,-5.045,1330.3098,-4.67,1637.083,-4.91,1655.335,-4.92,1666.959286,-5.22,1888.74,NA
-5.16,1995.29,-4.68,931.50825,-4.563,1151.9098,-4.74,1319.959286,-4.872,1401.021143,-4.59,1408.021143,-4.65,1414.461,-4.955,1330.4232,-4.78,1637.126615,-5.08,1655.398,-4.94,1667.021143,-4.95,1888.82,NA
-5.28,1995.2,-4.73,931.579125,-4.557,1151.9964,-4.75,1320.021143,-4.87,1401.083,-4.51,1408.083,-4.51,1414.524,-4.935,1330.5366,-4.86,1637.170231,-4.81,1655.461,-4.87,1667.083,-5.22,1888.91,NA
-5.2,1995.13,-4.78,931.65,-4.555,1152.083,-4.67,1320.083,-5.029,1401.1964,-4.68,1408.153875,-4.56,1414.587,-4.945,1330.65,-4.9,1637.213846,-5.08,1655.524,-4.89,1667.1397,-5.01,1888.99,NA
-5.39,1995.04,-4.72,931.704125,-4.562,1152.1775,-4.73,1320.146,-5.091,1401.3098,-4.56,1408.22475,-4.59,1414.65,-4.855,1330.794333,-4.79,1637.257462,-5.08,1655.587,-4.95,1667.1964,-5.1,1889.08,NA
-5.58,1994.96,-4.71,931.75825,-4.619,1152.272,-4.82,1320.209,-5.217,1401.4232,-4.6,1408.295625,-4.55,1414.698111,-4.775,1330.938667,-4.96,1637.301077,-5.28,1655.65,-5.01,1667.2531,-5.01,1889.37,NA
-5.63,1994.87,-4.65,931.812375,-4.652,1152.3665,-4.82,1320.272,-4.907,1401.5366,-4.63,1408.3665,-4.56,1414.746222,-4.755,1331.083,-5.08,1637.344692,-5.13,1655.689364,-5.06,1667.3098,-4.91,1889.65,NA
-5.68,1994.79,-4.62,931.8665,-4.581,1152.461,-4.86,1320.335,-5.141,1401.65,-4.63,1408.437375,-4.51,1414.794333,-4.795,1331.1964,-5.11,1637.388308,-4.97,1655.728727,-5.12,1667.3665,-5.04,1889.7,NA
-5.49,1994.71,-4.71,931.920625,-4.598,1152.5555,-4.93,1320.398,-5.017,1401.7366,-4.65,1408.50825,-4.53,1414.842444,-4.685,1331.3098,-5.1,1637.431923,-5.06,1655.768091,-5.13,1667.4232,-5.12,1889.76,NA
-5.53,1994.62,-4.68,931.97475,-4.639,1152.65,-4.79,1320.461,-4.997,1401.8232,-4.71,1408.579125,-4.5,1414.890556,-4.575,1331.4232,-5.09,1637.475538,-5.03,1655.807455,-5.16,1667.4799,-4.95,1889.81,NA
-5.57,1994.54,-4.62,932.028875,-4.617,1152.689364,-4.84,1320.524,-4.802,1401.9098,-4.81,1408.65,-4.4,1414.938667,-4.675,1331.5366,-5.18,1637.519154,-4.88,1655.846818,-5.24,1667.5366,-5.06,1889.87,NA
-5.38,1994.46,-4.58,932.083,-4.624,1152.728727,-4.92,1320.587,-4.907,1401.9964,-4.677,1408.7366,-4.45,1414.986778,-4.715,1331.65,-5.07,1637.562769,-4.91,1655.886182,-5.33,1667.5933,-5,1889.92,NA
-5.21,1994.37,-4.61,932.1345455,-4.571,1152.768091,-4.94,1320.65,-4.712,1402.083,-4.66,1408.8232,-4.48,1415.034889,-4.625,1331.7366,-5.27,1637.606385,-4.98,1655.925545,-5.38,1667.65,-5.07,1889.97,NA
-5.07,1994.29,-4.73,932.1860909,-4.599,1152.807455,-4.82,1320.7366,-4.816,1402.1775,-4.646,1408.9098,-4.28,1415.083,-4.575,1331.8232,-5.35,1637.65,-4.88,1655.964909,-5.33,1667.704125,-5,1890.03,NA
-5.07,1994.2,-4.66,932.2376364,-4.655,1152.846818,-4.85,1320.8232,-4.908,1402.272,-4.66,1408.9964,-4.4,1415.13025,-4.665,1331.9098,-5.3,1637.704125,-4.9,1656.004273,-5.23,1667.75825,-5.06,1890.08,NA
-5.16,1994.13,-4.66,932.2891818,-4.588,1152.886182,-4.75,1320.9098,-4.939,1402.3665,-4.442,1409.083,-4.45,1415.1775,-4.715,1331.9964,-5.28,1637.75825,-5,1656.043636,-5.15,1667.812375,-5.05,1890.18,NA
-5.21,1994.04,-4.71,932.3407273,-4.522,1152.925545,-4.82,1320.9964,-4.883,1402.461,-4.542,1409.1397,-4.42,1415.22475,-4.645,1332.083,-5.27,1637.812375,-4.83,1656.083,-5.04,1667.8665,-5.02,1890.27,NA
-5.4,1993.96,-4.73,932.3922727,-4.472,1152.964909,-4.7,1321.083,-4.97,1402.5555,-4.697,1409.1964,-4.47,1415.272,-4.565,1332.1775,-5.14,1637.8665,-4.86,1656.164,-5.02,1667.920625,-5.07,1890.37,NA
-5.43,1993.88,-4.91,932.4438182,-4.525,1153.004273,-4.79,1321.1397,-4.967,1402.65,-4.792,1409.2531,-4.59,1415.31925,-4.785,1332.272,-5.16,1637.920625,-4.88,1656.245,-4.91,1667.97475,-5.09,1890.46,NA
-5.52,1993.79,-4.97,932.4953636,-4.468,1153.043636,-4.78,1321.1964,-4.869,1402.794333,-4.684,1409.3098,-4.57,1415.3665,-4.805,1332.3665,-5.13,1637.97475,-4.93,1656.326,-4.86,1668.028875,-5.23,1890.56,NA
-5.66,1993.71,-5,932.5469091,-4.392,1153.083,-4.78,1321.2531,-4.898,1402.938667,-4.864,1409.3665,-4.59,1415.41375,-5.055,1332.461,-5.16,1638.028875,-5,1656.407,-4.76,1668.083,-5.23,1890.65,NA
-5.55,1993.62,-5.01,932.5984545,-4.457,1153.1397,-4.82,1321.3098,-4.866,1403.083,-4.691,1409.4232,-4.56,1415.461,-4.935,1332.5555,-5.08,1638.083,-5,1656.488,-4.89,1668.1964,-5.29,1890.72,NA
-5.36,1993.54,-5.02,932.65,-4.516,1153.1964,-4.85,1321.3665,-4.877,1403.1964,-4.852,1409.4799,-4.61,1415.50825,-4.895,1332.65,-5.22,1638.164,-4.9,1656.569,-4.86,1668.3098,-5.27,1890.79,NA
-5.19,1993.46,-4.95,932.6933,-4.542,1153.2531,-4.83,1321.4232,-5.017,1403.3098,-4.928,1409.5366,-4.65,1415.5555,-4.785,1332.711857,-5.21,1638.245,-5.08,1656.65,-4.86,1668.4232,-5.21,1890.86,NA
-5.1,1993.37,-4.77,932.7366,-4.542,1153.3098,-4.88,1321.4799,-5.046,1403.4232,-4.85,1409.5933,-4.58,1415.60275,-4.695,1332.773714,-5.13,1638.326,-4.87,1656.698111,-4.88,1668.5366,-5.25,1890.94,NA
-5.09,1993.29,-4.71,932.7799,-4.649,1153.3665,-5.03,1321.5366,-5.155,1403.5366,-4.949,1409.65,-4.68,1415.65,-4.675,1332.835571,-5.2,1638.407,-4.88,1656.746222,-4.93,1668.65,-5.27,1891.01,NA
-5.08,1993.2,-4.77,932.8232,-4.603,1153.4232,-5.07,1321.5933,-5.042,1403.65,-4.869,1409.722167,-4.67,1415.711857,-4.845,1332.897429,-5.26,1638.488,-4.89,1656.794333,-4.88,1668.698111,-5.35,1891.08,NA
-5.17,1993.13,-4.74,932.8665,-4.716,1153.4799,-5.08,1321.65,-4.955,1403.722167,-4.903,1409.794333,-4.7,1415.773714,-4.945,1332.959286,-5.28,1638.569,-4.91,1656.842444,-4.79,1668.746222,-5.28,1891.15,NA
-5.35,1993.04,-4.75,932.9098,-4.741,1153.5366,-4.96,1321.711857,-5.023,1403.794333,-4.966,1409.8665,-4.7,1415.835571,-4.795,1333.021143,-5.33,1638.65,-4.96,1656.890556,-4.8,1668.794333,-5.38,1891.22,NA
-5.18,1992.96,-4.74,932.9531,-4.736,1153.5933,-4.93,1321.773714,-4.848,1403.8665,-4.857,1409.938667,-4.61,1415.897429,-4.645,1333.083,-5.32,1638.7366,-4.94,1656.938667,-4.95,1668.842444,-5.33,1891.29,NA
-5.32,1992.88,-4.74,932.9964,-4.749,1153.65,-4.79,1321.835571,-5.04,1403.938667,-4.81,1410.010833,-4.55,1415.959286,-4.945,1333.164,-5.21,1638.8232,-4.86,1656.986778,-4.7,1668.890556,-5.4,1891.37,NA
-5.27,1992.79,-4.7,933.0397,-4.686,1153.6933,-4.76,1321.897429,-4.826,1404.010833,-4.718,1410.083,-4.6,1416.021143,-4.955,1333.245,-5.22,1638.9098,-4.79,1657.034889,-4.77,1668.938667,-5.17,1891.44,NA
-5.24,1992.71,-4.63,933.083,-4.668,1153.7366,-4.7,1321.959286,-4.735,1404.083,-4.716,1410.153875,-4.53,1416.083,-5.015,1333.326,-5,1638.9964,-4.73,1657.083,-4.72,1668.986778,-5.15,1891.51,NA
-5.31,1992.62,-4.66,933.1775,-4.742,1153.7799,-4.63,1322.021143,-4.864,1404.1775,-4.819,1410.22475,-4.56,1416.13025,-4.945,1333.407,-4.86,1639.083,-4.83,1657.1235,-4.78,1669.034889,-5.29,1891.58,NA
-5.45,1992.54,-4.65,933.272,-4.653,1153.8232,-4.54,1322.083,-4.859,1404.272,-4.856,1410.295625,-4.61,1416.1775,-4.815,1333.488,-4.89,1639.1964,-4.81,1657.164,-4.66,1669.083,-5.19,1891.65,NA
-5.24,1992.46,-4.81,933.3665,-4.699,1153.8665,-4.67,1322.1964,-4.806,1404.3665,-5.003,1410.3665,-4.66,1416.22475,-4.895,1333.569,-4.93,1639.3098,-4.83,1657.2045,-4.71,1669.1775,-5.3,1891.74,NA
-5.18,1992.37,-4.98,933.461,-4.698,1153.9098,-4.63,1322.3098,-4.81,1404.461,-5.001,1410.437375,-4.62,1416.272,-4.895,1333.65,-4.89,1639.4232,-4.74,1657.245,-4.73,1669.272,-5.58,1891.82,NA
-5.2,1992.29,-5.06,933.5555,-4.609,1153.9531,-4.72,1322.4232,-4.731,1404.5555,-4.976,1410.50825,-4.68,1416.31925,-4.985,1333.722167,-4.87,1639.5366,-4.76,1657.2855,-4.65,1669.3665,-5.59,1891.91,NA
-5.18,1992.21,-5.23,933.65,-4.591,1153.9964,-4.68,1322.5366,-4.791,1404.65,-4.941,1410.579125,-4.79,1416.3665,-5.045,1333.794333,-4.96,1639.65,-4.77,1657.326,-4.82,1669.461,-5.66,1891.99,NA
-5.1,1992.13,-5.21,933.6860833,-4.598,1154.0397,-4.75,1322.65,-4.84,1404.7366,-4.94,1410.65,-4.76,1416.41375,-4.985,1333.8665,-4.94,1639.698111,-4.85,1657.3665,-4.83,1669.5555,-5.68,1892.08,NA
-5.17,1992.04,-5.19,933.7221667,-4.558,1154.083,-4.72,1322.704125,-4.77,1404.8232,-5.005,1410.7366,-4.8,1416.461,-4.885,1333.938667,-4.87,1639.746222,-4.95,1657.407,-4.9,1669.65,-5.48,1892.22,NA
-5.32,1991.96,-5.15,933.75825,-4.667,1154.146,-4.65,1322.75825,-4.74,1404.9098,-5.096,1410.8232,-4.79,1416.50825,-4.655,1334.010833,-4.83,1639.794333,-5.03,1657.4475,-4.83,1669.686083,-5.52,1892.37,NA
-5.46,1991.87,-5,933.7943333,-4.659,1154.209,-4.53,1322.812375,-4.67,1404.9964,-4.986,1410.9098,-4.76,1416.5555,-4.645,1334.083,-4.74,1639.842444,-5.03,1657.488,-4.83,1669.722167,-5.63,1892.51,NA
-5.55,1991.79,-4.94,933.8304167,-4.677,1154.272,-4.49,1322.8665,-4.64,1405.083,-4.827,1410.9964,-4.81,1416.60275,-4.835,1334.1775,-4.68,1639.890556,-5.15,1657.5285,-4.82,1669.75825,-5.4,1892.65,NA
-5.54,1991.71,-4.77,933.8665,-4.592,1154.335,-4.61,1322.920625,-4.72,1405.1775,-4.826,1411.083,-4.96,1416.65,-4.835,1334.272,-4.62,1639.938667,-5.13,1657.569,-4.74,1669.794333,-5.34,1892.74,NA
-5.54,1991.62,-4.77,933.9025833,-4.672,1154.398,-4.53,1322.97475,-4.74,1405.272,-4.97,1411.146,-4.87,1416.722167,-4.755,1334.3665,-4.77,1639.986778,-5.4,1657.6095,-4.6,1669.830417,-5.11,1892.82,NA
-5.39,1991.54,-4.68,933.9386667,-4.686,1154.461,-4.51,1323.028875,-4.83,1405.3665,-4.906,1411.209,-4.88,1416.794333,-4.735,1334.461,-4.69,1640.034889,-5.5,1657.65,-4.62,1669.8665,-5.05,1892.91,NA
-5.41,1991.46,-4.66,933.97475,-4.664,1154.524,-4.48,1323.083,-4.78,1405.461,-4.949,1411.272,-4.82,1416.8665,-4.875,1334.5555,-4.52,1640.083,-5.25,1657.722167,-4.55,1669.902583,-5.07,1892.99,NA
-5.29,1991.37,-4.64,934.0108333,-4.707,1154.587,-4.54,1323.1775,-4.68,1405.5555,-4.913,1411.335,-4.76,1416.938667,-5.035,1334.65,-4.6,1640.146,-5,1657.794333,-4.53,1669.938667,-5.14,1893.08,NA
-5.09,1991.29,-4.46,934.0469167,-4.721,1154.65,-4.57,1323.272,-4.87,1405.65,-4.985,1411.398,-4.77,1417.010833,-4.965,1334.75825,-4.62,1640.209,-4.97,1657.8665,-4.59,1669.97475,-5.25,1893.14,NA
-5.1,1991.2,-4.41,934.083,-4.613,1154.6933,-4.73,1323.3665,-4.85,1405.722167,-5.022,1411.461,-4.75,1417.083,-5.115,1334.8665,-4.66,1640.272,-5.04,1657.938667,-4.54,1670.010833,-5.18,1893.19,NA
-5.12,1991.13,-4.46,934.272,-4.611,1154.7366,-4.59,1323.461,-4.71,1405.794333,-4.926,1411.524,-4.8,1417.153875,-4.925,1334.97475,-4.66,1640.335,-4.92,1658.010833,-4.52,1670.046917,-5.41,1893.25,NA
-5.12,1991.04,-4.44,934.461,-4.687,1154.7799,-4.63,1323.5555,-4.8,1405.8665,-4.955,1411.587,-4.76,1417.22475,-4.645,1335.083,-4.58,1640.398,-4.84,1658.083,-4.5,1670.083,-5.39,1893.31,NA
-5.29,1990.96,-4.49,934.65,-4.54,1154.8232,-4.71,1323.65,-4.79,1405.938667,-5.001,1411.65,-4.76,1417.295625,-4.655,1335.1775,-4.63,1640.461,-5.02,1658.134545,-4.52,1670.146,-5.51,1893.37,NA
-5.44,1990.87,-4.47,934.704125,-4.621,1154.8665,-4.67,1323.722167,-4.59,1406.010833,-4.954,1411.704125,-4.81,1417.3665,-4.825,1335.272,-4.7,1640.524,-5.14,1658.186091,-4.48,1670.209,-5.52,1893.42,NA
-5.43,1990.79,-4.46,934.75825,-4.574,1154.9098,-4.65,1323.794333,-4.6,1406.083,-4.985,1411.75825,-4.82,1417.437375,-4.905,1335.3665,-4.77,1640.587,-5.17,1658.237636,-4.57,1670.272,-5.66,1893.48,NA
-5.36,1990.71,-4.35,934.812375,-4.649,1154.9531,-4.59,1323.8665,-4.63,1406.153875,-5.012,1411.812375,-4.81,1417.50825,-5.005,1335.461,-4.94,1640.65,-5.13,1658.289182,-4.69,1670.335,-5.61,1893.54,NA
-5.44,1990.62,-4.46,934.8665,-4.597,1154.9964,-4.59,1323.938667,-4.69,1406.22475,-5.103,1411.8665,-4.84,1417.579125,-4.805,1335.5555,-4.9,1640.6933,-5.09,1658.340727,-4.72,1670.398,-5.46,1893.59,NA
-5.16,1990.54,-4.31,934.920625,-4.608,1155.0397,-4.49,1324.010833,-4.75,1406.295625,-5.002,1411.920625,-5.06,1417.65,-4.815,1335.65,-4.83,1640.7366,-4.94,1658.392273,-4.79,1670.461,-5.33,1893.65,NA
-5.14,1990.46,-4.52,934.97475,-4.49,1155.083,-4.45,1324.083,-4.76,1406.3665,-4.966,1411.97475,-4.89,1417.7366,-4.785,1335.7366,-4.78,1640.7799,-4.86,1658.443818,-4.78,1670.524,-5.2,1893.7,NA
-5.06,1990.37,-4.66,935.028875,-4.568,1155.164,-4.49,1324.164,-4.66,1406.437375,-4.876,1412.028875,-4.73,1417.8232,-4.845,1335.8232,-4.75,1640.8232,-4.77,1658.495364,-4.77,1670.587,-5.14,1893.75,NA
-5.09,1990.29,-4.35,935.083,-4.577,1155.245,-4.49,1324.245,-4.67,1406.50825,-4.84,1412.083,-4.71,1417.9098,-4.955,1335.9098,-4.73,1640.8665,-4.75,1658.546909,-4.83,1670.65,-5.07,1893.79,NA
-5.03,1990.2,-4.44,935.1964,-4.591,1155.326,-4.54,1324.326,-4.66,1406.579125,-4.943,1412.134545,-4.75,1417.9964,-4.835,1335.9964,-4.75,1640.9098,-4.85,1658.598455,-4.66,1670.711857,-5.08,1893.84,NA
-5.05,1990.13,-4.45,935.3098,-4.604,1155.407,-4.56,1324.407,-4.67,1406.65,-4.946,1412.186091,-4.71,1418.083,-4.635,1336.083,-4.64,1640.9531,-4.86,1658.65,-4.6,1670.773714,-5.13,1893.89,NA
-5,1990.04,-4.62,935.4232,-4.678,1155.488,-4.61,1324.488,-4.71,1406.7366,-4.83,1412.237636,-4.74,1418.164,-4.665,1336.153875,-4.72,1640.9964,-4.78,1658.6933,-4.55,1670.835571,-5.07,1893.94,NA
-5.06,1989.96,-4.6,935.5366,-4.683,1155.569,-4.64,1324.569,-4.6,1406.8232,-5.062,1412.289182,-4.73,1418.245,-4.695,1336.22475,-4.7,1641.0397,-4.84,1658.7366,-4.65,1670.897429,-5.11,1893.98,NA
-5.13,1989.88,-4.62,935.65,-4.7,1155.65,-4.69,1324.65,-4.61,1406.9098,-4.993,1412.340727,-4.73,1418.326,-4.645,1336.295625,-4.63,1641.083,-4.83,1658.7799,-4.57,1670.959286,-5.16,1894.03,NA
-5.04,1989.79,-4.42,935.704125,-4.621,1155.6933,-4.69,1324.722167,-4.61,1406.9964,-5.136,1412.392273,-4.75,1418.407,-4.735,1336.3665,-4.67,1641.1397,-4.69,1658.8232,-4.53,1671.021143,-5.25,1894.08,NA
