d18O (permil),year (AD),d13C (permil),d18O (permil)
-3.16,603,-7.04,-3.16
-3.48,511,-7.14,-3.48
-3.37,434,-7.73,-3.37
-3.33,418,-7.36,-3.33
-3.17,315,-6.08,-3.17
-3.46,257,-7.37,-3.46
-3.75,223,-8.65,-3.75
-3.32,223,-7.83,-3.32
-3.5,157,-7.79,-3.5
-3.51,90,-7.14,-3.51
-3.45,23,-7.29,-3.45
-3.35,6,-7.73,-3.35
-3.39,-44,-7.31,-3.39
-3.39,-120,-7.25,-3.39
-3.09,-186,-6.7,-3.09
-3.13,-218,-7.52,-3.13
-3.01,-262,-5.88,-3.01
-3.36,-329,-7.97,-3.36
-3.24,-396,-6.82,-3.24
-3.41,-447,-7.45,-3.41
-3.18,-463,-7.37,-3.18
-3.43,-538,-7.47,-3.43
-3.28,-605,-7.87,-3.28
-3.34,-672,-6.89,-3.34
-3.35,-682,-7.65,-3.35
-3.16,-747,-6.63,-3.16
-3.09,-814,-6.1,-3.09
-3.19,-864,-6.29,-3.19
-3.01,-884,-5.15,-3.01
-3.53,-921,-7.47,-3.53
-3.22,-975,-6.02,-3.22
-3.18,-1055,-6.71,-3.18
-3.04,-1145,-4.32,-3.04
-3.06,-1165,-6.08,-3.06
-3.38,-1226,-7,-3.38
-2.93,-1306,-4.61,-2.93
-2.85,-1376,-4.88,-2.85
-3.04,-1413,-6.06,-3.04
-3.1,-1477,-5.54,-3.1
-3.34,-1557,-7.41,-3.34
-3.24,-1563,-6.41,-3.24
-3.35,-1637,-7.63,-3.35
-3.38,-1664,-6.64,-3.38
-3.21,-1728,-6.74,-3.21
-3.05,-1808,-7,-3.05
-3.32,-1889,-6.88,-3.32
-3.22,-1919,-6.53,-3.22
-3.31,-1979,-7.78,-3.31
-3.44,-2059,-6.17,-3.44
-3.31,-2140,-5.67,-3.31
-3.17,-2176,-7.74,-3.17
-3.62,-2190,-7.94,-3.62
-3.4,-2435,-8.13,-3.4
-3.39,-2696,-8.44,-3.39
-3.49,-2958,-8.69,-3.49
-3.19,-2963,-7.77,-3.19
-3.39,-2974,-7.44,-3.39
-3.33,-2985,-7.11,-3.33
-3.22,-2992,-7.98,-3.22
-3.55,-3003,-7.17,-3.55
-3.29,-3010,-7.18,-3.29
-3.23,-3017,-7.59,-3.23
-3.23,-3024,-7.48,-3.23
-3.34,-3031,-7.24,-3.34
-3.32,-3036,-6.53,-3.32
-3.3,-3042,-6.75,-3.3
-3.39,-3060,-6.84,-3.39
-3.58,-3077,-7.68,-3.58
-3.4,-3099,-8.62,-3.4
-3.39,-3106,-7.82,-3.39
-3.38,-3162,-7.02,-3.38
-3.65,-3221,-9,-3.65
-3.21,-3294,-8.56,-3.21
-3.3,-3350,-7.74,-3.3
-3.37,-3462,-8.25,-3.37
-3.17,-3484,-7.97,-3.17
-3.38,-3537,-7.32,-3.38
-3.1,-3613,-7,-3.1
-3.13,-3725,-7.93,-3.13
-3.65,-3748,-8.77,-3.65
-3.15,-3763,-7.98,-3.15
-3.19,-3772,-8.15,-3.19
-3.23,-3776,-8.31,-3.23
-3.31,-3801,-8.64,-3.31
-3.22,-3834,-7.66,-3.22
-3.53,-3866,-8.4,-3.53
-3.3,-3916,-7.49,-3.3
-3.3,-3940,-6.98,-3.3
-3.36,-3973,-6.96,-3.36
-3.43,-3998,-9.08,-3.43
-3.62,-4010,-8.72,-3.62
-3.42,-4018,-8.82,-3.42
-3.41,-4039,-8.55,-3.41
-3.38,-4121,-8.02,-3.38
-3.34,-4203,-6.55,-3.34
-3.01,-4272,-6.48,-3.01
-3.2,-4409,-7.24,-3.2
-3.44,-4491,-6.15,-3.44
-3.05,-4532,-7.02,-3.04
-3.5,-4714,-7.12,-3.48
-2.94,-4791,-7.42,-2.91
-3.21,-4821,-7.57,-3.18
-2.95,-5047,-8,-2.89
-3.44,-5203,-6.45,-3.37
-3.14,-5232,-7.92,-3.07
-3.45,-5250,-6.41,-3.37
-3.44,-5300,-9.02,-3.36
-3.09,-5520,-5.66,-2.99
-3.42,-5550,-8.9,-3.32
-3.48,-5650,-6,-3.36
-3.29,-5797,-8.09,-3.16
-3.64,-5808,-8.14,-3.51
-3.11,-6039,-7.72,-2.96
-3.57,-6058,-6.09,-3.41
-3.59,-6117,-8.37,-3.43
-3.52,-6151,-8.59,-3.35
-3.22,-6277,-8.73,-3.04
-3.4,-6378,-7.78,-3.21
-3.5,-6429,-6.05,-3.31
-3.28,-6464,-6.19,-3.08
-3.42,-6509,-8.36,-3.22
-3.6,-6627,-7.95,-3.38
-3.38,-6736,-8.75,-3.16
-3.47,-6767,-7.05,-3.24
-3.57,-6831,-7.69,-3.34
-3.38,-6958,-8.26,-3.14
-3.55,-7074,-7.42,-3.28
-3.82,-7149,-8.29,-3.55
-3.57,-7171,-6.62,-3.3
-3.24,-7172,-7.63,-2.98
-3.3,-7330,-8,-3.01
-3.44,-7353,-6.55,-3.15
-3.29,-7380,-8.64,-3.01
-3.69,-7557,-7.1,-3.38
-3.4,-7581,-7.63,-3.09
-3.68,-7607,-9.54,-3.37
-3.36,-7716,-6.64,-3.03
-3.3,-7774,-7.68,-2.98
-3.25,-7829,-7.01,-2.91
-3.44,-7839,-10.34,-3.1
-3.44,-7942,-7.45,-3.09
-3.38,-7959,-8.21,-3.03
-3.48,-8033,-7.47,-3.12
-3.53,-8052,-9.53,-3.17
-3.46,-8056,-7.75,-3.1
-3.24,-8103,-7.52,-2.87
-3.39,-8135,-7.72,-3.03
-3.48,-8249,-8.09,-3.11
-3.42,-8283,-7.11,-3.05
-3.39,-8302,-7.75,-3.01
-3.64,-8419,-7.8,-3.26
-3.41,-8432,-7.89,-3.02
-3.32,-8460,-7.91,-2.93
-3.62,-8509,-8.33,-3.23
-3.45,-8532,-8.18,-3.06
-3.27,-8579,-8.02,-2.88
-3.39,-8604,-8.31,-2.99
-3.5,-8644,-8.06,-3.09
-3.36,-8672,-7.67,-2.96
-3.36,-8769,-9.55,-2.95
-3.15,-8777,-7.31,-2.74
-3.39,-8859,-8.04,-2.98
-3.36,-8929,-10,-2.93
-3.36,-8976,-8.16,-2.94
-3.6,-9023,-8.24,-3.16
-3.33,-9046,-8.78,-2.9
-3.75,-9075,-3.76,-3.32
-3.29,-9087,-9.09,-2.85
-3.51,-9106,-4.02,-3.08
-3.39,-9137,-4.77,-2.95
-3.5,-9151,-8.09,-3.06
-3.36,-9169,-4.43,-2.92
-3.65,-9185,-8.31,-3.19
-3.7,-9200,-6.02,-3.26
-3.7,-9231,-6.04,-3.26
-3.35,-9246,-9.12,-2.9
-3.39,-9256,-9.28,-2.95
-3.32,-9262,-9.04,-2.88
-3.9,-9262,-6.42,-3.45
-3.25,-9270,-8.79,-2.81
-3.8,-9294,-6.36,-3.36
-3.79,-9325,-6.43,-3.34
-4.11,-9356,-6.08,-3.67
-3.11,-9367,-8.3,-2.66
-4.16,-9388,-7.06,-3.71
-3.39,-9409,-6.68,-2.93
-3.84,-9419,-6.96,-3.39
-3.43,-9431,-8.62,-2.97
-3.73,-9450,-6.71,-3.28
-3.84,-9481,-6.67,-3.38
-3.41,-9493,-7.74,-2.94
-3.53,-9496,-8.4,-3.07
-3.72,-9513,-6.5,-3.26
-3.64,-9544,-6.35,-3.17
-3.76,-9575,-6.6,-3.3
-3.42,-9579,-7.02,-2.95
-3.33,-9593,-8.35,-2.86
-3.97,-9606,-6.84,-3.51
-4.08,-9638,-6.58,-3.61
-3.35,-9667,-7,-2.87
-4.16,-9669,-6.88,-3.68
-3.28,-9674,-8,-2.81
-3.93,-9700,-6.81,-3.46
-3.43,-9726,-7.6,-2.94
-4.02,-9731,-6.7,-3.54
-3.41,-9758,-7.72,-2.92
-4.01,-9763,-7.09,-3.53
-4.05,-9794,-7.33,-3.57
-3.14,-9803,-7.4,-2.66
-4.01,-9815,-7.3,-3.52
-4.01,-9837,-7.04,-3.53
-3.39,-9853,-6.86,-2.9
-4.15,-9858,-7.22,-3.67
-4.01,-9880,-6.73,-3.52
-3.41,-9891,-7.9,-2.91
-3.88,-9901,-6.9,-3.39
-3.76,-9922,-6.67,-3.27
-3.32,-9932,-8.26,-2.82
-3.93,-9944,-6.61,-3.44
-3.4,-9950,-7.98,-2.9
-4.06,-9965,-6.93,-3.57
-3.88,-9987,-6.81,-3.39
-4.11,-10008,-6.95,-3.62
-4.08,-10029,-6.9,-3.59
-3.85,-10051,-6.78,-3.35
-3.32,-10052,-7.42,-2.8
-3.45,-10061,-7.45,-2.94
-3.93,-10072,-6.81,-3.42
-3.7,-10093,-6.19,-3.19
-3.77,-10115,-6.57,-3.26
-3.9,-10136,-7,-3.39
-3.66,-10157,-7.87,-3.13
-4,-10158,-7.3,-3.48
-4.11,-10179,-7.53,-3.59
-4.12,-10200,-7.5,-3.59
-3.93,-10222,-7.24,-3.41
-3.67,-10238,-6.43,-3.13
-4.12,-10243,-7.44,-3.59
-3.91,-10265,-7.09,-3.38
-3.51,-10267,-7.42,-2.96
-3.8,-10286,-7.05,-3.27
-3.67,-10311,-7.25,-3.12
-3.95,-10319,-7,-3.41
-3.38,-10322,-7.81,-2.84
-3.94,-10352,-6.89,-3.4
-3.65,-10357,-8.06,-3.1
-3.38,-10383,-6.44,-2.82
-4.09,-10385,-7.23,-3.55
-3.7,-10417,-6.92,-3.15
-3.98,-10450,-7.32,-3.42
-4.15,-10483,-7.53,-3.59
-3.1,-10503,-6.06,-2.52
-4.27,-10516,-7.88,-3.71
-3.31,-10538,-7.63,-2.74
-4.11,-10549,-7.79,-3.54
-3.93,-10582,-7.45,-3.35
-3.99,-10614,-7.29,-3.41
-3.57,-10629,-7.57,-2.97
-3.44,-10635,-6.47,-2.85
-3.89,-10647,-6.96,-3.3
-3.88,-10680,-7.12,-3.29
-4.02,-10713,-7.41,-3.43
-3.28,-10761,-6.71,-2.67
-4.03,-10877,-8.02,-3.41
-3.62,-10900,-7.25,-2.98
-3.69,-10912,-7.27,-3.06
-3.27,-11018,-7.45,-2.63
-3.84,-11041,-7.14,-3.2
-3.38,-11045,-7.42,-2.72
-3.68,-11067,-7.01,-3.03
-3.72,-11197,-8.77,-3.04
-3.75,-11205,-6.23,-3.09
-3.73,-11271,-6.57,-3.06
-3.56,-11313,-7.16,-2.87
-3.7,-11346,-7.08,-3.02
-3.58,-11357,-9.86,-2.88
-4.05,-11472,-7.32,-3.36
-2.86,-11479,-5.44,-2.15
-3.11,-11497,-6.66,-2.4
-3.63,-11524,-7.38,-2.91
-3.31,-11526,-6.65,-2.59
-3.53,-11529,-5.93,-2.81
-3.35,-11556,-5.96,-2.63
-3.29,-11585,-6.66,-2.57
-3.7,-11598,-6.26,-2.99
-3.31,-11614,-6.98,-2.58
-3.23,-11644,-6.71,-2.5
-3.06,-11673,-6.6,-2.33
-3.52,-11700,-7.41,-2.78
-3.59,-11702,-7.45,-2.85
-3.73,-11724,-6.97,-3
-3.86,-11732,-8.13,-3.12
-3.86,-11761,-8.36,-3.11
-3.07,-11790,-6.82,-2.32
-3.29,-11820,-7.16,-2.53
-3.44,-11849,-7.56,-2.68
-3.8,-11849,-6.74,-3.06
-3.65,-11865,-7.2,-2.88
-3.73,-11878,-8.04,-2.97
-3.65,-11884,-7.19,-2.88
-3.56,-11908,-7.17,-2.79
-3.42,-11937,-7.43,-2.65
-3.65,-11966,-7.96,-2.87
-4.17,-11975,-7.27,-3.41
-3.51,-11977,-7.86,-2.74
-3.45,-11996,-7.3,-2.67
-3.58,-12025,-7.7,-2.79
-3.6,-12055,-8.04,-2.81
-2.87,-12077,-4.95,-2.07
-3.2,-12078,-6.75,-2.41
-3.1,-12084,-6.43,-2.31
-3.63,-12101,-5.65,-2.85
-3.08,-12117,-6.48,-2.29
-3.37,-12149,-6.61,-2.57
-3.57,-12181,-6.9,-2.76
-3.45,-12213,-6.5,-2.64
-3.17,-12245,-7.06,-2.35
-3.58,-12277,-6.87,-2.76
-3.4,-12279,-6.84,-2.57
-3.18,-12309,-5.91,-2.36
-3.11,-12342,-6.32,-2.28
-3.52,-12374,-6.87,-2.69
-3.58,-12406,-6.92,-2.75
-3.34,-12438,-6.48,-2.5
-3.36,-12470,-6.07,-2.51
-3.21,-12491,-6.06,-2.36
-3.64,-12502,-6.82,-2.79
-3.29,-12535,-6.41,-2.43
-3.48,-12567,-7.22,-2.62
-3.9,-12599,-7.96,-3.04
-3.96,-12631,-7.77,-3.1
-3.22,-12663,-6.42,-2.35
-3.12,-12695,-5.96,-2.24
-3.52,-12713,-6.98,-2.64
-3.16,-12727,-5.84,-2.28
-3.09,-12760,-6.19,-2.2
-3.48,-12792,-7,-2.59
-3.54,-12811,-6.79,-2.65
-3.58,-12819,-6.65,-2.69
-3.77,-12841,-7.79,-2.87
-3.61,-12862,-6.79,-2.71
-3.77,-12883,-7.06,-2.86
-3.55,-12904,-6.43,-2.64
-3.27,-12925,-5.42,-2.36
-3.33,-12936,-6.72,-2.43
-3.5,-12945,-6.68,-2.58
-3.38,-12946,-6.07,-2.47
-3.82,-12967,-5.63,-2.9
-3.42,-12989,-6.06,-2.51
-3.36,-13010,-5.86,-2.44
-3.34,-13031,-6.35,-2.42
-3.49,-13044,-5.47,-2.58
-3.86,-13073,-6.83,-2.93
-3.33,-13094,-6.26,-2.39
-3.49,-13116,-6.46,-2.55
-3.97,-13137,-6.93,-3.03
-3.93,-13158,-6.84,-2.99
-3.66,-13188,-7.52,-2.71
-3.75,-13200,-6.75,-2.8
-3.48,-13221,-6.71,-2.53
-3.62,-13242,-6.38,-2.67
-3.58,-13264,-6.72,-2.63
-4.06,-13285,-7.36,-3.1
-3.84,-13306,-6.72,-2.88
-3.85,-13327,-7.11,-2.88
-3.78,-13359,-5.77,-2.81
-3.93,-13385,-6.92,-2.96
-3.97,-13440,-6.16,-2.99
-3.51,-13442,-6.88,-2.52
-4.33,-13442,-7.82,-3.35
-3.43,-13500,-6.43,-2.44
-3.77,-13509,-6.29,-2.78
-3.73,-13526,-6.32,-2.73
-3.52,-13557,-6.5,-2.53
-3.97,-13612,-6.22,-2.96
-3.66,-13615,-6.73,-2.66
-3.71,-13673,-6.18,-2.7
-4.18,-13694,-7.37,-3.16
-3.86,-13707,-7.08,-2.84
-3.81,-13730,-6.7,-2.79
-4.02,-13784,-6.42,-2.99
-3.89,-13788,-6.3,-2.86
-3.68,-13845,-6.12,-2.65
-3.98,-13870,-7.51,-2.94
-3.68,-13903,-6.22,-2.64
-4.27,-13956,-7.66,-3.22
-3.5,-13960,-5.7,-2.45
-3.66,-13984,-8.04,-2.6
-3.82,-13988,-4.91,-2.79
-3.56,-14015,-6.9,-2.51
-3.72,-14018,-6.24,-2.67
-4.03,-14050,-7.02,-2.98
-3.69,-14076,-5.97,-2.63
-4.08,-14123,-6.9,-3.01
-4.2,-14133,-7.27,-3.14
-4.11,-14149,-7.06,-3.05
-3.79,-14191,-5.98,-2.72
-4.14,-14248,-7.32,-3.07
-3.48,-14273,-6.39,-2.41
-3.66,-14306,-6.47,-2.59
-3.6,-14329,-6.32,-2.53
-3.51,-14357,-6.1,-2.43
-3.93,-14403,-6.68,-2.86
-4.23,-14429,-7.42,-3.15
-3.83,-14449,-6.53,-2.75
-3.62,-14495,-6.3,-2.54
-3.65,-14541,-6.34,-2.57
-4,-14547,-6.19,-2.91
-3.8,-14575,-8.17,-2.71
-3.58,-14587,-6.16,-2.49
-4.32,-14634,-7.49,-3.23
-3.99,-14660,-7.14,-2.9
-4.02,-14680,-6.71,-2.93
-4.43,-14726,-7.02,-3.34
-3.93,-14772,-6.12,-2.84
-3.95,-14773,-6.55,-2.85
-3.57,-14818,-5.8,-2.47
-3.67,-14864,-5.53,-2.57
-4.15,-14886,-7.13,-3.05
-3.77,-14889,-7.4,-2.66
-3.43,-14910,-5.51,-2.33
-4.01,-14931,-6.27,-2.93
-3.46,-14957,-5.83,-2.35
-4.16,-14998,-7.17,-3.06
-4.06,-15003,-6.88,-2.95
-3.77,-15049,-6.38,-2.66
-4.03,-15095,-6.82,-2.92
-4.03,-15111,-5.9,-2.92
-4.05,-15118,-6.77,-2.94
-4.07,-15141,-6.71,-2.96
-4.17,-15187,-7.03,-3.05
-4,-15224,-7.18,-2.88
-4.19,-15233,-7.05,-3.07
-3.78,-15279,-5.98,-2.66
-3.79,-15284,-6.72,-2.68
-3.59,-15326,-5.67,-2.46
-4.1,-15326,-5.55,-2.97
-4.16,-15337,-5.09,-3.04
-3.57,-15372,-5.75,-2.44
-4.16,-15416,-5.89,-3.03
-3.64,-15418,-5.29,-2.51
-4.16,-15455,-6.16,-3.03
-3.83,-15464,-6.23,-2.7
-3.6,-15510,-5.52,-2.46
-3.59,-15556,-5.64,-2.46
-3.51,-15602,-5.51,-2.37
-3.84,-15620,-5.66,-2.7
-3.94,-15642,-5.05,-2.8
-3.61,-15649,-6.13,-2.47
-3.9,-15663,-5.57,-2.76
-4.14,-15695,-6.78,-3
-3.79,-15695,-6.21,-2.65
-3.98,-15727,-5.41,-2.84
-3.85,-15741,-6.38,-2.7
-3.97,-15759,-5.28,-2.82
-3.82,-15776,-5.02,-2.67
-3.63,-15787,-5.19,-2.48
-4.06,-15803,-5.25,-2.91
-3.71,-15858,-4.79,-2.56
-3.89,-15874,-1.52,-2.77
-3.78,-15915,-5.13,-2.63
-4.26,-15933,-6.99,-3.1
-3.87,-15985,-5.55,-2.71
-4.4,-16033,-6.55,-3.24
-3.87,-16076,-4.77,-2.72
-4.23,-16090,-7.01,-3.07
-4.09,-16094,-3.93,-2.93
-3.91,-16158,-5.43,-2.75
-3.95,-16223,-5.59,-2.78
-4.11,-16247,-5.6,-2.95
-4.23,-16291,-5.5,-3.07
-4.23,-16360,-6,-3.06
-4.07,-16393,-5.83,-2.91
-4.07,-16395,-6.1,-2.9
-4.14,-16433,-6.01,-2.97
-4.08,-16507,-5.71,-2.91
-4.08,-16552,-5.82,-2.91
-4.17,-16560,-6.29,-3
-4,-16585,-5.96,-2.83
-3.97,-16620,-5.92,-2.8
-3.97,-16665,-5.96,-2.8
-4.36,-16710,-5.95,-3.19
-4.3,-16717,-6.46,-3.13
-4.01,-16749,-5.76,-2.83
-4.09,-16786,-2.96,-2.94
-3.99,-16823,-5.76,-2.82
-3.89,-16836,-6.02,-2.71
-4.04,-16873,-6.78,-2.86
-3.88,-16926,-5.3,-2.7
-4.09,-16936,-5.75,-2.91
-4.26,-17019,-5.99,-3.08
-4.18,-17030,-5.93,-3
-4.06,-17071,-5.96,-2.88
-4.22,-17085,-5.97,-3.04
-4.09,-17116,-5.33,-2.91
-4.12,-17117,-5.71,-2.94
-4.02,-17162,-5.35,-2.84
-4.31,-17212,-6.04,-3.12
-4.1,-17218,-6.2,-2.92
-3.85,-17274,-5.83,-2.67
-4.03,-17323,-6.14,-2.85
-3.86,-17365,-5.92,-2.68
-4.31,-17387,-5.97,-3.13
-3.93,-17406,-4.63,-2.74
-4.32,-17500,-6.47,-3.13
-3.71,-17545,-5.26,-2.51
-4.02,-17568,-4.59,-2.83
-4.23,-17582,-6.32,-3.04
-4.01,-17601,-4.69,-2.81
-4.15,-17640,-6.27,-2.96
-4.09,-17698,-2.54,-2.92
-4.05,-17698,-6.06,-2.85
-4.16,-17698,-6.26,-2.97
-4.12,-17749,-5.8,-2.93
-4.11,-17766,-5.69,-2.92
-4.28,-17785,-6.79,-3.08
-4.18,-17796,-5.44,-2.98
-4.14,-17899,-6.36,-2.94
-4.18,-17966,-6.15,-2.98
-3.87,-17990,-3.53,-2.67
-4.22,-18044,-9.48,-3.02
-4.14,-18099,-5.77,-2.95
-4,-18185,-4.71,-2.8
-4.08,-18265,-6.23,-2.9
-4.22,-18299,-6.51,-3.04
-4.31,-18323,-6.8,-3.12
-3.9,-18370,-4.03,-2.71
-3.91,-18380,-5.31,-2.72
-3.99,-18432,-6.3,-2.82
-4.06,-18500,-6.79,-2.87
-4.02,-18565,-6.7,-2.86
-4.17,-18574,-6.71,-2.99
-4.7,-18609,-4.56,-3.53
-4.14,-18623,-9.84,-2.96
-4.22,-18632,-6.59,-3.07
-4.22,-18665,-6.58,-3.07
-4.06,-18769,-5.38,-2.89
-4.07,-18775,-6.36,-2.93
-4.07,-18781,-9.15,-2.9
-4,-18945,-8.46,-2.84
-3.98,-18964,-5.86,-2.81
-4.13,-19051,-6.38,-3.01
-4.15,-19051,-6.44,-3.03
-4.02,-19168,-6.03,-2.86
-3.84,-19271,-6.64,-2.74
-3.87,-19291,-7.25,-2.71
-3.96,-19353,-4.87,-2.8
-4.22,-19492,-6.78,-3.13
-4.31,-19521,-3.41,-3.14
-3.86,-19547,-5.83,-2.78
-4.1,-19548,-5.36,-2.96
-3.89,-19662,-7.44,-2.75
-3.7,-19713,-5.53,-2.63
-3.78,-19823,-5.76,-2.72
-3.81,-19933,-5.95,-2.76
-3.92,-19988,-5.74,-2.86
-3.77,-20059,-5.76,-2.64
-3.66,-20098,-5.54,-2.62
-3.6,-20209,-5.98,-2.57
-3.74,-20319,-6.66,-2.71
-3.92,-20429,-6.92,-2.91
-4.31,-20433,-3.55,-3.14
-3.94,-20483,-5.31,-2.83
-3.57,-20484,-5.31,-2.56
-3.94,-20539,-6.87,-2.93
-4.15,-20705,-7.54,-3.15
-4.07,-20760,-7.5,-3.08
-3.92,-20935,-3.99,-2.82
-4.43,-20980,-3.68,-3.26
-3.99,-21036,-7.45,-3.01
-4.51,-21345,-3.79,-3.34
-3.84,-21588,-6.96,-2.91
-3.72,-22140,-6.17,-2.84
-3.74,-22416,-6.32,-2.87
-3.26,-23243,-5.69,-2.45
-3.17,-23795,-5.98,-2.4
-3.53,-24071,-6.34,-2.79
-3.23,-24546,-6.16,-2.52
-3.37,-25971,-6.7,-2.69
-3.65,-26921,-7.43,-2.97
-3.47,-27396,-6.51,-2.74
-3.53,-27871,-6.27,-2.75
