d18O (permil),year (AD),d18O (permil) [1-2],year (AD) [1-2],depthice (m) [1-2],depthwe (m) [1-2]
-37.1,1863,-37.1,1863,28.26,13.81
-38.4,1862,-38.4,1862,28.43,13.91
-38.7,1861,-38.7,1861,28.6,14.02
-37.4,1860,-37.4,1860,28.76,14.13
-37,1859,-37,1859,28.94,14.24
-37.4,1858,-37.4,1858,29.08,14.35
-37.2,1857,-37.2,1857,29.26,14.46
-36,1856,-36,1856,29.42,14.57
-35.4,1855,-35.4,1855,29.58,14.67
-35.6,1854,-35.6,1854,29.74,14.78
-35.4,1853,-35.4,1853,29.91,14.89
-35.5,1852,-35.5,1852,30.06,15
-35.9,1851,-35.9,1851,30.23,15.11
-35.1,1850,-35.1,1850,30.38,15.22
-34.5,1849,-34.5,1849,30.54,15.33
-36.6,1848,-36.6,1848,30.71,15.43
-37.1,1847,-37.1,1847,30.86,15.54
-36,1846,-36,1846,30.99,15.65
-35.6,1845,-35.6,1845,31.12,15.76
-35.2,1844,-35.2,1844,31.28,15.87
-34.8,1843,-34.8,1843,31.44,15.98
-35.2,1842,-35.2,1842,31.6,16.09
-36.4,1841,-36.4,1841,31.76,16.19
-37.4,1840,-37.4,1840,31.92,16.3
-37.6,1839,-37.6,1839,32.08,16.41
-37.9,1838,-37.9,1838,32.24,16.52
-38.1,1837,-38.1,1837,32.39,16.63
-37.9,1836,-37.9,1836,32.55,16.74
-37.6,1835,-37.6,1835,32.71,16.85
-35.6,1834,-35.6,1834,32.86,16.96
-33.8,1833,-33.8,1833,33.02,17.06
-35.2,1832,-35.2,1832,33.18,17.17
-37.3,1831,-37.3,1831,33.34,17.28
-37.7,1830,-37.7,1830,33.48,17.39
-37.8,1829,-37.8,1829,33.65,17.5
-37.7,1828,-37.7,1828,33.8,17.61
-37.6,1827,-37.6,1827,33.96,17.72
-37.6,1826,-37.6,1826,34.11,17.82
-36.9,1825,-36.9,1825,34.27,17.93
-36.3,1824,-36.3,1824,34.42,18.04
-38,1823,-38,1823,34.58,18.15
-38.8,1822,-38.8,1822,34.73,18.26
-38.5,1821,-38.5,1821,34.89,18.37
-38.6,1820,-38.6,1820,35.08,18.48
-37.5,1819,-37.5,1819,35.23,18.58
-36.4,1818,-36.4,1818,35.39,18.69
-36.7,1817,-36.7,1817,35.54,18.8
-37.7,1816,-37.7,1816,35.69,18.91
-38.5,1815,-38.5,1815,35.85,19.02
-39,1814,-39,1814,35.98,19.12
-39.1,1813,-39.1,1813,36.11,19.23
-37.5,1812,-37.5,1812,36.26,19.34
-36.1,1811,-36.1,1811,36.41,19.45
-36.3,1810,-36.3,1810,36.56,19.55
-37.7,1809,-37.7,1809,36.71,19.66
-37.8,1808,-37.8,1808,36.85,19.77
-37.7,1807,-37.7,1807,37.01,19.87
-38.3,1806,-38.3,1806,37.15,19.98
-38.7,1805,-38.7,1805,37.3,20.09
-39.2,1804,-39.2,1804,37.45,20.2
-38,1803,-38,1803,37.6,20.3
-37.2,1802,-37.2,1802,37.75,20.41
-37.2,1801,-37.2,1801,37.89,20.52
-36.8,1800,-36.8,1800,38.05,20.63
-36.9,1799,-36.9,1799,38.19,20.73
-36.8,1798,-36.8,1798,38.34,20.84
-36.5,1797,-36.5,1797,38.49,20.95
-36.5,1796,-36.5,1796,38.64,21.05
-36,1795,-36,1795,38.78,21.16
-35.6,1794,-35.6,1794,38.93,21.27
-35.5,1793,-35.5,1793,39.08,21.38
-35,1792,-35,1792,39.22,21.48
-34.2,1791,-34.2,1791,39.37,21.59
-34,1790,-34,1790,39.5,21.7
-34.4,1789,-34.4,1789,39.64,21.8
-35,1788,-35,1788,39.79,21.91
-35.7,1787,-35.7,1787,39.94,22.02
-35.5,1786,-35.5,1786,40.09,22.13
-35.1,1785,-35.1,1785,40.23,22.23
-35.2,1784,-35.2,1784,40.38,22.34
-34.7,1783,-34.7,1783,40.52,22.45
-34.9,1782,-34.9,1782,40.66,22.55
-36.1,1781,-36.1,1781,40.8,22.65
-36.4,1780,-36.4,1780,40.93,22.75
-36.7,1779,-36.7,1779,41.03,22.85
-36.9,1778,-36.9,1778,41.17,22.95
-36.3,1777,-36.3,1777,41.3,23.05
-35.2,1776,-35.2,1776,41.44,23.16
-33.8,1775,-33.8,1775,41.58,23.26
-33.1,1774,-33.1,1774,41.71,23.36
-33.7,1773,-33.7,1773,41.85,23.46
-34.9,1772,-34.9,1772,41.98,23.56
-36.2,1771,-36.2,1771,42.12,23.66
-36.8,1770,-36.8,1770,42.25,23.76
-36.9,1769,-36.9,1769,42.39,23.86
-36.9,1768,-36.9,1768,42.52,23.96
-37.2,1767,-37.2,1767,42.66,24.07
-36.4,1766,-36.4,1766,42.79,24.17
-35.3,1765,-35.3,1765,42.92,24.27
-35.8,1764,-35.8,1764,43.06,24.37
-37.6,1763,-37.6,1763,43.2,24.47
-39.8,1762,-39.8,1762,43.33,24.57
-41.5,1761,-41.5,1761,43.45,24.67
-41,1760,-41,1760,43.6,24.77
-39.4,1759,-39.4,1759,43.73,24.87
-38.1,1758,-38.1,1758,43.87,24.97
-37.5,1757,-37.5,1757,44,25.08
-38,1756,-38,1756,44.14,25.18
-38.6,1755,-38.6,1755,44.27,25.28
-37.4,1754,-37.4,1754,44.41,25.38
-35.4,1753,-35.4,1753,44.6,25.48
-35.1,1752,-35.1,1752,44.73,25.58
-36.6,1751,-36.6,1751,44.86,25.68
-38,1750,-38,1750,44.98,25.78
-38.4,1749,-38.4,1749,45.09,25.88
-37.9,1748,-37.9,1748,45.22,25.99
-37.3,1747,-37.3,1747,45.35,26.09
-37.2,1746,-37.2,1746,45.49,26.19
-37.6,1745,-37.6,1745,45.62,26.29
-38.1,1744,-38.1,1744,45.75,26.39
-38.4,1743,-38.4,1743,45.88,26.49
-37.5,1742,-37.5,1742,46.02,26.59
-36.2,1741,-36.2,1741,46.15,26.69
-35.7,1740,-35.7,1740,46.28,26.79
-36.5,1739,-36.5,1739,46.41,26.9
-36.9,1738,-36.9,1738,46.56,27.01
-36.4,1737,-36.4,1737,46.7,27.12
-35.5,1736,-35.5,1736,46.84,27.22
-35,1735,-35,1735,46.98,27.33
-35.1,1734,-35.1,1734,47.13,27.44
-35.7,1733,-35.7,1733,47.27,27.55
-36.7,1732,-36.7,1732,47.41,27.66
-36.8,1731,-36.8,1731,47.56,27.77
-36.2,1730,-36.2,1730,47.7,27.88
-36.8,1729,-36.8,1729,47.84,27.99
-38.1,1728,-38.1,1728,47.98,28.1
-38.9,1727,-38.9,1727,48.13,28.21
-38.5,1726,-38.5,1726,48.27,28.32
-38.5,1725,-38.5,1725,48.42,28.43
-39,1724,-39,1724,48.62,28.54
-39,1723,-39,1723,48.76,28.65
-38.4,1722,-38.4,1722,48.9,28.76
-37.6,1721,-37.6,1721,49.01,28.87
-37.4,1720,-37.4,1720,49.15,28.98
-37,1719,-37,1719,49.29,29.09
-36.5,1718,-36.5,1718,49.43,29.2
-37.3,1717,-37.3,1717,49.57,29.31
-38.9,1716,-38.9,1716,49.71,29.42
-38.9,1715,-38.9,1715,49.85,29.53
-37.1,1714,-37.1,1714,49.99,29.64
-35.9,1713,-35.9,1713,50.13,29.75
-34.7,1712,-34.7,1712,50.28,29.86
-34.3,1711,-34.3,1711,50.42,29.97
-35.7,1710,-35.7,1710,50.55,30.08
-36.5,1709,-36.5,1709,50.69,30.19
-36.7,1708,-36.7,1708,50.83,30.3
-36.3,1707,-36.3,1707,50.98,30.41
-35.8,1706,-35.8,1706,51.12,30.52
-35.9,1705,-35.9,1705,51.26,30.63
-36.8,1704,-36.8,1704,51.39,30.74
-37.9,1703,-37.9,1703,51.53,30.85
-38.2,1702,-38.2,1702,51.68,30.96
-38,1701,-38,1701,51.82,31.07
-37.5,1700,-37.5,1700,51.96,31.18
-36.7,1699,-36.7,1699,52.09,31.29
-36,1698,-36,1698,52.23,31.4
-35.6,1697,-35.6,1697,52.37,31.51
-36.1,1696,-36.1,1696,52.56,31.62
-37.4,1695,-37.4,1695,52.7,31.73
-37.5,1694,-37.5,1694,52.84,31.84
-36.8,1693,-36.8,1693,52.97,31.95
-36.6,1692,-36.6,1692,53.15,32.05
-36.6,1691,-36.6,1691,53.28,32.16
-37.3,1690,-37.3,1690,53.41,32.26
-37.5,1689,-37.5,1689,53.54,32.36
-37.2,1688,-37.2,1688,53.67,32.47
-37.8,1687,-37.8,1687,53.79,32.57
-38.2,1686,-38.2,1686,53.94,32.67
-37.9,1685,-37.9,1685,54.06,32.78
-37.4,1684,-37.4,1684,54.19,32.88
-36.7,1683,-36.7,1683,54.32,32.99
-37.2,1682,-37.2,1682,54.45,33.09
-38.1,1681,-38.1,1681,54.58,33.19
-38.1,1680,-38.1,1680,54.71,33.3
-38.1,1679,-38.1,1679,54.84,33.4
-37.4,1678,-37.4,1678,54.97,33.5
-36,1677,-36,1677,55.1,33.61
-36.3,1676,-36.3,1676,55.23,33.71
-37.3,1675,-37.3,1675,55.36,33.82
-38.1,1674,-38.1,1674,55.49,33.92
-38.5,1673,-38.5,1673,55.62,34.02
-38.3,1672,-38.3,1672,55.74,34.13
-37.7,1671,-37.7,1671,55.87,34.23
-37.4,1670,-37.4,1670,56.01,34.33
-37,1669,-37,1669,56.14,34.44
-36.5,1668,-36.5,1668,56.27,34.54
-35.9,1667,-35.9,1667,56.39,34.65
-34.9,1666,-34.9,1666,56.56,34.75
-34.9,1665,-34.9,1665,56.69,34.85
-35.4,1664,-35.4,1664,56.83,34.96
-35.4,1663,-35.4,1663,56.95,35.06
-35.4,1662,-35.4,1662,57.05,35.17
-36.3,1661,-36.3,1661,57.18,35.27
-37.6,1660,-37.6,1660,57.31,35.38
-38.2,1659,-38.2,1659,57.44,35.48
-38.1,1658,-38.1,1658,57.57,35.59
-37.1,1657,-37.1,1657,57.7,35.69
-35.9,1656,-35.9,1656,57.81,35.8
-36.1,1655,-36.1,1655,57.96,35.9
-37.4,1654,-37.4,1654,58.09,36.01
-38.1,1653,-38.1,1653,58.22,36.11
-38.7,1652,-38.7,1652,58.35,36.22
-39.5,1651,-39.5,1651,58.46,36.32
-39.4,1650,-39.4,1650,58.61,36.43
-37.6,1649,-37.6,1649,58.74,36.53
-36.5,1648,-36.5,1648,58.87,36.64
-37.3,1647,-37.3,1647,59.07,36.74
-38,1646,-38,1646,59.2,36.85
-38.1,1645,-38.1,1645,59.33,36.95
-37.7,1644,-37.7,1644,59.46,37.06
-37.5,1643,-37.5,1643,59.59,37.16
-38.3,1642,-38.3,1642,59.72,37.27
-39,1641,-39,1641,59.85,37.38
-38.6,1640,-38.6,1640,59.98,37.48
-37,1639,-37,1639,60.11,37.59
-36.3,1638,-36.3,1638,60.24,37.69
-37.3,1637,-37.3,1637,60.37,37.8
-37.3,1636,-37.3,1636,60.5,37.9
-37.3,1635,-37.3,1635,60.59,38.01
-38,1634,-38,1634,60.72,38.12
-36.3,1633,-36.3,1633,60.85,38.22
-33.9,1632,-33.9,1632,61.02,38.33
-34.2,1631,-34.2,1631,61.15,38.44
-35.5,1630,-35.5,1630,61.28,38.54
-37.3,1629,-37.3,1629,61.41,38.65
-38.5,1628,-38.5,1628,61.53,38.75
-38.1,1627,-38.1,1627,61.67,38.86
-37.8,1626,-37.8,1626,61.8,38.97
-36.2,1625,-36.2,1625,61.92,39.07
-34.2,1624,-34.2,1624,62.05,39.18
-34.3,1623,-34.3,1623,62.18,39.28
-35.4,1622,-35.4,1622,62.31,39.39
-35.6,1621,-35.6,1621,62.44,39.5
-35.4,1620,-35.4,1620,62.57,39.6
-35,1619,-35,1619,62.7,39.71
-34.8,1618,-34.8,1618,62.83,39.82
-34.8,1617,-34.8,1617,62.95,39.92
-35.5,1616,-35.5,1616,63.09,40.03
-36.4,1615,-36.4,1615,63.22,40.13
-36.4,1614,-36.4,1614,63.35,40.24
-37.2,1613,-37.2,1613,63.47,40.35
-38.1,1612,-38.1,1612,63.6,40.45
-38.1,1611,-38.1,1611,63.72,40.56
-38.3,1610,-38.3,1610,63.86,40.66
-38.1,1609,-38.1,1609,63.99,40.77
-36.9,1608,-36.9,1608,64.12,40.88
-36.9,1607,-36.9,1607,64.25,40.98
-36.6,1606,-36.6,1606,64.38,41.09
-35.5,1605,-35.5,1605,64.5,41.2
-36,1604,-36,1604,64.63,41.3
-36.6,1603,-36.6,1603,64.76,41.41
-37.4,1602,-37.4,1602,64.89,41.51
-37.8,1601,-37.8,1601,65.02,41.62
-37.2,1600,-37.2,1600,65.14,41.73
-35.4,1599,-35.4,1599,65.27,41.83
-35.2,1598,-35.2,1598,65.4,41.93
-35.4,1597,-35.4,1597,65.52,42.04
-35,1596,-35,1596,65.65,42.14
-34.6,1595,-34.6,1595,65.78,42.25
-34.3,1594,-34.3,1594,65.9,42.35
-34.7,1593,-34.7,1593,66.03,42.46
-35.8,1592,-35.8,1592,66.16,42.56
-36.2,1591,-36.2,1591,66.28,42.67
-35.2,1590,-35.2,1590,66.41,42.77
-34.9,1589,-34.9,1589,66.53,42.88
-35.7,1588,-35.7,1588,66.66,42.98
-37.6,1587,-37.6,1587,66.79,43.09
-38.2,1586,-38.2,1586,66.91,43.19
-36.1,1585,-36.1,1585,67.04,43.3
-35.4,1584,-35.4,1584,67.17,43.4
-36.6,1583,-36.6,1583,67.29,43.51
-37.2,1582,-37.2,1582,67.42,43.61
-36.7,1581,-36.7,1581,67.54,43.72
-36.6,1580,-36.6,1580,67.67,43.82
-36.8,1579,-36.8,1579,67.8,43.93
-37.3,1578,-37.3,1578,67.92,44.03
-37.4,1577,-37.4,1577,68.05,44.14
-36.5,1576,-36.5,1576,68.17,44.24
-35.3,1575,-35.3,1575,68.3,44.35
-36.4,1574,-36.4,1574,68.43,44.45
-38.3,1573,-38.3,1573,68.55,44.56
-37.3,1572,-37.3,1572,68.68,44.66
-35.7,1571,-35.7,1571,68.8,44.77
-35.7,1570,-35.7,1570,68.93,44.87
-37.3,1569,-37.3,1569,69.05,44.98
-39.3,1568,-39.3,1568,69.18,45.08
-38.8,1567,-38.8,1567,69.31,45.19
-38,1566,-38,1566,69.43,45.29
-37.4,1565,-37.4,1565,69.56,45.4
-37,1564,-37,1564,69.68,45.5
-36.2,1563,-36.2,1563,69.81,45.61
-35,1562,-35,1562,69.93,45.71
-35.1,1561,-35.1,1561,70.06,45.82
-35.8,1560,-35.8,1560,70.18,45.92
-36.3,1559,-36.3,1559,70.31,46.03
-36.6,1558,-36.6,1558,70.43,46.13
-36,1557,-36,1557,70.56,46.24
-36.4,1556,-36.4,1556,70.68,46.34
-37,1555,-37,1555,70.81,46.45
-36.8,1554,-36.8,1554,70.93,46.55
-37.3,1553,-37.3,1553,71.06,46.66
-37.6,1552,-37.6,1552,71.18,46.76
-37.2,1551,-37.2,1551,71.31,46.87
-36.3,1550,-36.3,1550,71.43,46.97
-35.9,1549,-35.9,1549,71.57,47.08
-37.2,1548,-37.2,1548,71.69,47.18
-38.5,1547,-38.5,1547,71.82,47.29
-39.4,1546,-39.4,1546,71.94,47.39
-38.9,1545,-38.9,1545,72.07,47.5
-37.1,1544,-37.1,1544,72.19,47.6
-36,1543,-36,1543,72.32,47.71
-36.4,1542,-36.4,1542,72.44,47.81
-37.3,1541,-37.3,1541,72.56,47.92
-37.2,1540,-37.2,1540,72.69,48.02
-35.7,1539,-35.7,1539,72.81,48.13
-34.3,1538,-34.3,1538,72.94,48.23
-35.6,1537,-35.6,1537,73.1,48.34
-37,1536,-37,1536,73.22,48.44
-37.5,1535,-37.5,1535,73.35,48.55
-37.7,1534,-37.7,1534,73.47,48.65
-37.1,1533,-37.1,1533,73.6,48.76
-37.5,1532,-37.5,1532,73.72,48.86
-38.8,1531,-38.8,1531,73.84,48.97
-37.6,1530,-37.6,1530,73.97,49.07
-35.9,1529,-35.9,1529,74.09,49.18
-36.2,1528,-36.2,1528,74.22,49.28
-35.8,1527,-35.8,1527,74.34,49.39
-35.1,1526,-35.1,1526,74.47,49.49
-35.1,1525,-35.1,1525,74.59,49.6
-34.9,1524,-34.9,1524,74.71,49.7
-35.4,1523,-35.4,1523,74.84,49.81
-36.8,1522,-36.8,1522,74.96,49.91
-36.8,1521,-36.8,1521,75.09,50.02
-36.1,1520,-36.1,1520,75.21,50.12
-36.1,1519,-36.1,1519,75.33,50.23
-36.9,1518,-36.9,1518,75.46,50.33
-37.9,1517,-37.9,1517,75.58,50.44
-37.9,1516,-37.9,1516,75.7,50.54
-37.9,1515,-37.9,1515,75.83,50.65
-38.2,1514,-38.2,1514,75.95,50.75
-38,1513,-38,1513,76.07,50.86
-37.5,1512,-37.5,1512,76.2,50.96
-36.2,1511,-36.2,1511,76.32,51.07
-35.8,1510,-35.8,1510,76.44,51.17
-36.8,1509,-36.8,1509,76.58,51.28
-37,1508,-37,1508,76.7,51.38
-36.3,1507,-36.3,1507,76.83,51.49
-35.8,1506,-35.8,1506,76.95,51.59
-35.4,1505,-35.4,1505,77.07,51.7
-35.2,1504,-35.2,1504,77.2,51.8
-35.1,1503,-35.1,1503,77.32,51.91
-35.1,1502,-35.1,1502,77.44,52.01
-35.7,1501,-35.7,1501,77.57,52.12
-35.9,1500,-35.9,1500,77.69,52.22
-36.1,1499,-36.1,1499,77.81,52.33
-36.3,1498,-36.3,1498,77.94,52.43
-36.1,1497,-36.1,1497,78.08,52.53
-35.8,1496,-35.8,1496,78.21,52.64
-36,1495,-36,1495,78.33,52.74
-36.3,1494,-36.3,1494,78.45,52.85
-36.3,1493,-36.3,1493,78.58,52.95
-36.9,1492,-36.9,1492,78.7,53.06
-36.8,1491,-36.8,1491,78.82,53.16
-36.4,1490,-36.4,1490,78.94,53.27
-36,1489,-36,1489,79.08,53.37
-35.5,1488,-35.5,1488,79.2,53.48
-35.7,1487,-35.7,1487,79.33,53.58
-36.6,1486,-36.6,1486,79.45,53.69
-36.4,1485,-36.4,1485,79.57,53.79
-35,1484,-35,1484,79.69,53.9
-34.2,1483,-34.2,1483,79.82,54
-35.5,1482,-35.5,1482,79.94,54.11
-38,1481,-38,1481,80.06,54.21
-39.1,1480,-39.1,1480,80.18,54.32
-38.8,1479,-38.8,1479,80.31,54.42
-37.4,1478,-37.4,1478,80.43,54.52
-36,1477,-36,1477,80.54,54.63
-35.6,1476,-35.6,1476,80.66,54.73
-37.1,1475,-37.1,1475,80.78,54.83
-38.6,1474,-38.6,1474,80.9,54.93
-38,1473,-38,1473,81.03,55.03
-37.1,1472,-37.1,1472,81.15,55.13
-36.9,1471,-36.9,1471,81.26,55.23
-37.5,1470,-37.5,1470,81.38,55.33
-38.6,1469,-38.6,1469,81.5,55.43
-39.5,1468,-39.5,1468,81.62,55.53
-38.7,1467,-38.7,1467,81.73,55.63
-37.4,1466,-37.4,1466,81.85,55.73
-37.1,1465,-37.1,1465,81.97,55.84
-37,1464,-37,1464,82.09,55.94
-36.7,1463,-36.7,1463,82.2,56.04
-36.7,1462,-36.7,1462,82.32,56.14
-36.6,1461,-36.6,1461,82.44,56.24
-37,1460,-37,1460,82.56,56.34
-38.1,1459,-38.1,1459,82.67,56.44
-38.4,1458,-38.4,1458,82.79,56.54
-38.1,1457,-38.1,1457,82.91,56.64
-37.9,1456,-37.9,1456,83.03,56.74
-36.8,1455,-36.8,1455,83.14,56.84
-35.9,1454,-35.9,1454,83.26,56.94
-35.4,1453,-35.4,1453,83.38,57.04
-35.2,1452,-35.2,1452,83.49,57.15
-35.4,1451,-35.4,1451,83.61,57.25
-36.3,1450,-36.3,1450,83.73,57.35
-36.9,1449,-36.9,1449,83.85,57.45
-36.6,1448,-36.6,1448,83.96,57.55
-36.5,1447,-36.5,1447,84.08,57.65
-36.4,1446,-36.4,1446,84.2,57.75
-36.7,1445,-36.7,1445,84.31,57.85
-37.2,1444,-37.2,1444,84.43,57.95
-37.2,1443,-37.2,1443,84.54,58.05
-36.7,1442,-36.7,1442,84.66,58.15
-36.7,1441,-36.7,1441,84.78,58.25
-37,1440,-37,1440,84.9,58.36
-36.9,1439,-36.9,1439,85.01,58.46
-37.1,1438,-37.1,1438,85.13,58.56
-37,1437,-37,1437,85.25,58.66
-38,1436,-38,1436,85.37,58.76
-39,1435,-39,1435,85.48,58.86
-36.5,1434,-36.5,1434,85.59,58.96
-33.4,1433,-33.4,1433,85.71,59.06
-33.5,1432,-33.5,1432,85.83,59.16
-34.6,1431,-34.6,1431,85.94,59.26
-34.8,1430,-34.8,1430,86.06,59.36
-35.9,1429,-35.9,1429,86.18,59.46
-36.6,1428,-36.6,1428,86.29,59.56
-37.1,1427,-37.1,1427,86.41,59.67
-36.8,1426,-36.8,1426,86.53,59.77
-35.9,1425,-35.9,1425,86.64,59.87
-35.4,1424,-35.4,1424,86.76,59.97
-35.2,1423,-35.2,1423,86.88,60.07
-35.2,1422,-35.2,1422,86.99,60.17
-34.9,1421,-34.9,1421,87.11,60.27
-33.8,1420,-33.8,1420,87.23,60.37
-32.7,1419,-32.7,1419,87.34,60.47
-32.8,1418,-32.8,1418,87.46,60.57
-34.4,1417,-34.4,1417,87.58,60.67
-35.3,1416,-35.3,1416,87.69,60.77
-35.6,1415,-35.6,1415,87.81,60.87
-35.9,1414,-35.9,1414,87.93,60.98
-35.9,1413,-35.9,1413,88.04,61.08
-36.2,1412,-36.2,1412,88.16,61.18
-36.7,1411,-36.7,1411,88.28,61.28
-36.4,1410,-36.4,1410,88.39,61.38
-35.8,1409,-35.8,1409,88.51,61.48
-36.1,1408,-36.1,1408,88.62,61.58
-36.8,1407,-36.8,1407,88.74,61.68
-36.8,1406,-36.8,1406,88.86,61.78
-36.6,1405,-36.6,1405,88.97,61.88
-37.1,1404,-37.1,1404,89.09,61.98
