dD (permil),year (AD),depth (m),dD (permil) [1-2],year (AD) [1-2],depth (m) [1-2]
-271.5,1950,18.3,-258.61,1984.9471,2.2654
-276.8,1949,18.62,-249.39,1984.8979,2.2984
-270.26,1948,18.95,-239.04,1984.8486,2.3314
-264.18,1947,19.41,-226.17,1984.7994,2.3644
-267.85,1946,19.84,-220.69,1984.7501,2.3974
-264.67,1945,20.37,-221.75,1984.7009,2.4304
-274.86,1944,20.79,-234.4,1984.6516,2.4634
-284.36,1943,21.07,-250.77,1984.6024,2.4964
-257.09,1942,21.56,-263.22,1984.5531,2.5294
-254.02,1941,21.97,-272.3,1984.5039,2.5624
-261.19,1940,22.25,-275.84,1984.4546,2.5954
-249.26,1939,22.73,-274.52,1984.4054,2.6284
-269.87,1938,23.08,-272.5,1984.3561,2.6614
-277.02,1937,23.45,-271.76,1984.3069,2.6944
-262.21,1936,23.83,-268.31,1984.2576,2.7274
-260.46,1935,24.13,-262.46,1984.2084,2.7604
-252.64,1934,24.57,-249.55,1984.1591,2.7934
-264.86,1933,24.98,-235.97,1984.1099,2.8264
-252.69,1932,25.41,-231.23,1984.0606,2.8594
-268.17,1931,25.75,-226.95,1984.0114,2.8924
-277.52,1930,26.11,-223.43,1983.9648,2.9254
-263.87,1929,26.48,-223.12,1983.9189,2.9584
-257,1928,26.88,-225.39,1983.8731,2.9914
-264.28,1927,27.27,-231.58,1983.8273,3.0244
-279.27,1926,27.5,-239.95,1983.7814,3.0574
-282.55,1925,27.9,-250.27,1983.7356,3.0904
-294.6,1924,28.03,-261.16,1983.6898,3.1234
-281.41,1923,28.42,-272.88,1983.644,3.1564
-283.44,1922,28.75,-285.42,1983.5981,3.1894
-291.07,1921,29.04,-301.37,1983.5523,3.2224
-273.21,1920,29.43,-315.51,1983.5065,3.2553
-277.31,1919,29.7,-312.62,1983.4606,3.2883
-280.22,1918,30.07,-304.9,1983.4148,3.3213
-283.12,1917,30.37,-294.59,1983.369,3.3543
-250.72,1916,30.87,-285.05,1983.3231,3.3873
-278.93,1915,31.2,-276.66,1983.2773,3.4203
-284.62,1914,31.5,-270.41,1983.2315,3.4533
-280.93,1913,31.87,-259.25,1983.1857,3.4863
-275.72,1912,32.2,-248.64,1983.1398,3.5193
-270.82,1911,32.6,-242.37,1983.094,3.5523
-268.8,1910,32.93,-237.99,1983.0482,3.5853
-254.08,1909,33.27,-235.76,1983.0023,3.6183
-256.75,1908,33.53,-236.14,1982.9334,3.6513
-265.08,1907,33.93,-240.61,1982.8632,3.6843
-280.84,1906,34.13,-250.15,1982.793,3.7173
-263.14,1905,34.57,-269.8,1982.7227,3.7503
-270.05,1904,34.8,-295.07,1982.6525,3.7833
-263.7,1903,35.03,-315.67,1982.5823,3.8163
-261.63,1902,35.4,-329.95,1982.5121,3.8493
-265.19,1901,35.7,-339.72,1982.4419,3.8823
-270.61,1900,36.27,-347.89,1982.3717,3.9153
-271.22,1899,36.6,-345.15,1982.3015,3.9483
-269.17,1898,36.93,-332.89,1982.2313,3.9813
-289.63,1897,37.24,-300.53,1982.1611,4.0143
-275.14,1896,37.6,-273.77,1982.0908,4.0473
-258.93,1895,37.9,-253.03,1982.0206,4.0803
-271.74,1894,38.3,-248.76,1981.9314,4.1133
-268.35,1893,38.63,-257.64,1981.8343,4.1464
-265.24,1892,38.97,-277.55,1981.7372,4.1794
-266.36,1891,39.33,-290.01,1981.6401,4.2124
-269.45,1890,39.6,-298.37,1981.543,4.2454
-255.08,1889,40.03,-302.63,1981.4459,4.2784
-266.15,1888,40.4,-298.37,1981.3488,4.3114
-269.12,1887,40.73,-290.52,1981.2517,4.3444
-282.24,1886,41.02,-279.54,1981.1546,4.3774
-283.51,1885,41.32,-266.25,1981.0575,4.4105
-270.43,1884,41.69,-254.24,1980.9741,4.4435
-267.88,1883,41.98,-243.64,1980.9106,4.4765
-269.98,1882,42.24,-233.04,1980.8471,4.5095
-264.99,1881,42.57,-234.43,1980.7846,4.542
-265.86,1880,42.87,-240.21,1980.7211,4.575
-259.17,1879,43.22,-249.53,1980.6576,4.608
-261.91,1878,43.56,-256.4,1980.5941,4.6411
-267.69,1877,43.81,-263.04,1980.5307,4.6741
-259.68,1876,44.1,-270.41,1980.4672,4.7071
-260.74,1875,44.41,-282.59,1980.4037,4.7401
-265.93,1874,44.81,-295.59,1980.3402,4.7731
-267.47,1873,45.17,-307.74,1980.2767,4.8061
-254.65,1872,45.49,-315.85,1980.2132,4.8391
-246.38,1871,45.84,-311.13,1980.1497,4.8721
-262.5,1870,46.2,-298.2,1980.0862,4.9052
-273.31,1869,46.47,-280.17,1980.0228,4.9382
-273.24,1868,46.79,-263.51,1979.9641,4.9712
-271.74,1867,47.12,-248.96,1979.9081,5.0042
-285.06,1866,47.36,-242.39,1979.8522,5.0372
-280.07,1865,47.52,-238.55,1979.7962,5.0702
-266.72,1864,47.94,-240.82,1979.7403,5.1032
-268.87,1863,48.26,-248.94,1979.6843,5.1363
-268.73,1862,48.59,-262.14,1979.6284,5.1693
-268.94,1861,48.88,-274.59,1979.5724,5.2023
-273.09,1860,49.15,-285.16,1979.5165,5.2353
-279.27,1859,49.42,-294.05,1979.4605,5.2683
-282.56,1858,49.72,-301.54,1979.4045,5.3013
-281,1857,50.06,-307.74,1979.3486,5.3343
-268.77,1856,50.51,-311.1,1979.2926,5.3673
-269.05,1855,50.72,-303.8,1979.2367,5.4004
-265.21,1854,51.12,-290.85,1979.1807,5.4334
-271.3,1853,51.33,-276.86,1979.1248,5.4664
-255.68,1852,51.78,-271.13,1979.0688,5.4994
-258.23,1851,52.03,-269.69,1979.0129,5.5324
-270.24,1850,52.36,-272.64,1978.9331,5.5654
-281.19,1849,52.55,-288.23,1978.8462,5.5984
-266.24,1848,52.91,-303.89,1978.7593,5.6315
-256.28,1847,53.27,-316.34,1978.6725,5.6645
-270.45,1846,53.45,-322.25,1978.5856,5.6975
-270.4,1845,53.72,-316.87,1978.4987,5.7305
-280.48,1844,53.99,-311.03,1978.4132,5.763
-280.28,1843,54.27,-306.46,1978.3263,5.796
-274.95,1842,54.51,-303.34,1978.2394,5.829
-276.18,1841,54.72,-295.88,1978.1525,5.862
-264.76,1840,55,-283.08,1978.0656,5.8951
-265.62,1839,55.35,-266.89,1977.9868,5.9281
-252.21,1838,55.67,-248.69,1977.9327,5.9611
-265.73,1837,55.97,-242.18,1977.8785,5.9941
-289.35,1836,56.21,-242.36,1977.8244,6.0271
-289.78,1835,56.45,-249.34,1977.7703,6.0601
-278.74,1834,56.76,-259.23,1977.7162,6.0931
-271.3,1833,57.07,-269.41,1977.662,6.1262
-272.02,1832,57.41,-278.81,1977.6079,6.1592
-262.22,1831,57.76,-287.26,1977.5538,6.1922
-261.39,1830,58.22,-293.6,1977.4997,6.2252
-269.05,1829,58.62,-297.74,1977.4456,6.2582
-269.61,1828,58.93,-297.58,1977.3914,6.2912
-271.42,1827,59.17,-292.63,1977.3373,6.3242
-265.16,1826,59.54,-287.5,1977.2832,6.3572
-266.74,1825,59.81,-281.8,1977.2291,6.3903
-268.02,1824,60.03,-272.96,1977.175,6.4233
-263.03,1823,60.29,-260.54,1977.1209,6.4563
-276.62,1822,60.49,-245.13,1977.0667,6.4893
-266.63,1821,60.87,-228.66,1977.0126,6.5223
-265.24,1820,61.17,-220.3,1976.9578,6.5553
-262.74,1819,61.36,-216.63,1976.9028,6.5883
-273.77,1818,61.6,-218.39,1976.8478,6.6214
-275,1817,61.94,-223.7,1976.7927,6.6544
-274.62,1816,62.11,-236.84,1976.7377,6.6874
-258.8,1815,62.43,-246.78,1976.6827,6.7204
-272.38,1814,62.66,-257.89,1976.6277,6.7534
-262.87,1813,63.03,-272.27,1976.5726,6.7864
-274.73,1812,63.27,-285.08,1976.5176,6.8194
-275.93,1811,63.52,-292.7,1976.4626,6.8524
-271.66,1810,63.85,-292.17,1976.4076,6.8855
-268.27,1809,64.19,-285.39,1976.3526,6.9185
-271.24,1808,64.5,-268.14,1976.2975,6.9515
-284.43,1807,64.69,-257.23,1976.2425,6.9845
-265.7,1806,65.03,-249.93,1976.1883,7.017
-262.8,1805,65.3,-246.31,1976.1333,7.05
-249.72,1804,65.64,-247.64,1976.0783,7.083
-274.79,1803,65.85,-252.17,1976.0233,7.1161
-282.02,1802,66.15,-262.74,1975.964,7.1491
-264.14,1801,66.53,-283.38,1975.9017,7.1821
-269.65,1800,66.83,-302.03,1975.8395,7.2151
-277.41,1799,67.02,-313.73,1975.7772,7.2481
-286.79,1798,67.3,-313.91,1975.7149,7.2811
-287.98,1797,67.6,-305,1975.6526,7.3141
-275.37,1796,67.88,-285.57,1975.5903,7.3471
-249.23,1795,68.19,-270.02,1975.528,7.3802
-275.3,1794,68.45,-258.9,1975.4657,7.4132
-263.8,1793,68.7,-250.06,1975.4034,7.4462
-258.9,1792,68.96,-240.56,1975.3411,7.4792
-270.7,1791,69.18,-235.78,1975.2788,7.5122
-261.53,1790,69.48,-233.03,1975.2166,7.5452
-266.16,1789,69.67,-232.79,1975.1543,7.5782
-264.86,1788,69.87,-234.48,1975.092,7.6113
-252.65,1787,70.28,-242.58,1975.0297,7.6443
-276.93,1786,70.56,-253.68,1974.964,7.6773
-281.6,1785,71.03,-267.44,1974.8952,7.7103
-288.03,1784,71.21,-279.38,1974.8265,7.7433
-271.79,1783,71.45,-284.88,1974.7577000000001,7.7763
-266.92,1782,71.73,-286.62,1974.6889,7.8093
-283.16,1781,71.97,-284.24,1974.6201,7.8423
-273.99,1780,72.48,-280.09,1974.5513,7.8754
-273.54,1779,72.68,-277.05,1974.4826,7.9084
-266.87,1778,72.94,-269.64,1974.4138,7.9414
-258.36,1777,73.16,-259.57,1974.345,7.9744
-268.33,1776,73.35,-250.39,1974.2763,8.0074
-260.97,1775,73.58,-244.73,1974.2075,8.0404
-259.46,1774,73.84,-248.22,1974.1388,8.0734
-257.89,1773,74.1,-259.12,1974.0701,8.1064
-265.09,1772,74.42,-272.42,1974.0014,8.1393
-274.65,1771,74.68,-283.03,1973.8803,8.1723
-266.96,1770,74.97,-286.49,1973.7582,8.2053
-274.85,1769,75.19,-284.49,1973.636,8.2383
-272.8,1768,75.45,-278.98,1973.5139,8.2713
-268.23,1767,75.71,-271.91,1973.3917,8.3042
-276.19,1766,75.9,-262.52,1973.2696,8.3372
-264.58,1765,76.22,-255.61,1973.1474,8.3702
-255.99,1764,76.5,-252.97,1973.0252,8.4032
-269.37,1763,76.81,-253.55,1972.9362,8.4362
-281.16,1762,77.03,-253.41,1972.8557,8.4692
-273.15,1761,77.32,-254.5,1972.7753,8.5021
-283.87,1760,77.57,-259.38,1972.6949,8.5351
-282.14,1759,77.86,-269.31,1972.6144,8.5681
-282.18,1758,78.12,-283,1972.534,8.6011
-277.68,1757,78.35,-290.35,1972.4535,8.6341
-265.21,1756,78.67,-293.97,1972.3731,8.667
-273.2,1755,79.03,-291.21,1972.2926,8.7
-272.5,1754,79.26,-280.94,1972.2122,8.733
-275.98,1753,79.48,-263.69,1972.1305,8.7665
-272.2,1752,79.81,-253.58,1972.0501,8.7995
-273.18,1751,80.06,-246.59,1971.9761,8.8325
-267.37,1750,80.38,-245.09,1971.9126,8.8654
-269.14,1749,80.61,-250.3,1971.8492,8.8984
-268.58,1748,80.9,-266.82,1971.7858,8.9314
-276.73,1747,81.18,-279.98,1971.7223,8.9644
-288.38,1746,81.39,-290.92,1971.6589,8.9974
-279.52,1745,81.57,-297.9,1971.5955,9.0303
-260.92,1744,81.75,-299.11,1971.5321,9.0633
-266.58,1743,81.96,-299.12,1971.4687,9.0963
-274.19,1742,82.3,-298.67,1971.4052,9.1293
-258.68,1741,82.66,-296.7,1971.3418,9.1623
-260.18,1740,82.93,-292.96,1971.2784,9.1953
-265.78,1739,83.21,-284.97,1971.2149,9.2282
-276.91,1738,83.51,-270.67,1971.1515,9.2612
-280.67,1737,83.72,-255.85,1971.0881,9.2942
-278.59,1736,84.03,-245.76,1971.0247,9.3272
-282.24,1735,84.24,-243.91,1970.9496,9.3602
-269.77,1734,84.54,-257.96,1970.8672,9.3931
-266.03,1733,84.78,-270.97,1970.7847,9.4261
-263.86,1732,85.09,-282.7,1970.7022,9.4591
-266.25,1731,85.33,-291.45,1970.6198,9.4921
-257.91,1730,85.67,-294.69,1970.5373,9.5251
-270.96,1729,85.97,-292.6,1970.4549,9.5581
-253.28,1728,86.27,-285.25,1970.3724,9.591
-263.24,1727,86.45,-272.48,1970.29,9.624
-252.61,1726,86.8,-257.37,1970.2063,9.6575
-279.78,1725,87.01,-245.67,1970.1238,9.6905
-265.46,1724,87.25,-236.27,1970.0414,9.7235
-283.92,1723,87.49,-234,1969.9635,9.7564
-287.69,1722,87.7,-241.4,1969.8902,9.7894
-268.08,1721,88.04,-256.98,1969.8169,9.8224
-278.34,1720,88.24,-270.56,1969.7436,9.8554
-262.43,1719,88.55,-278.53,1969.6703,9.8884
-279.53,1718,88.78,-281.53,1969.597,9.9214
-257.72,1717,89,-282.53,1969.5237,9.9543
-286.35,1716,89.21,-283.28,1969.4504,9.9873
-284.31,1715,89.39,-276.4,1969.3771,10.0203
-260.49,1714,89.75,-271.99,1969.3038,10.0533
-263.24,1713,90.06,-264.22,1969.2305,10.0863
-260.99,1712,90.3,-256.98,1969.1572,10.1192
-263.54,1711,90.55,-256.86,1969.084,10.1522
-263.32,1710,90.82,-262.16,1969.0106,10.1852
-266.38,1709,91.13,-273.92,1968.9359,10.2182
-268.8,1708,91.32,-281.84,1968.861,10.2512
-279.95,1707,91.52,-283.51,1968.786,10.2842
-274,1706,91.77,-279.33,1968.7111,10.3171
-259.6,1705,92.06,-271.75,1968.6361,10.3501
-262.9,1704,92.24,-261.89,1968.5611,10.3831
-264.98,1703,92.5,-250.17,1968.4862,10.4161
-268.94,1702,92.74,-238.58,1968.4112,10.4491
-281.06,1701,92.91,-229.57,1968.3363,10.482
-275.32,1700,93.15,-224.69,1968.2613,10.515
-268.43,1699,93.42,-226.03,1968.1863,10.548
-279.13,1698,93.64,-232.25,1968.1103,10.5815
-268.84,1697,93.85,-241.27,1968.0353,10.6145
-270.23,1696,94.07,-253.58,1967.9585,10.6475
-280.83,1695,94.32,-270.59,1967.8799,10.6804
-273.54,1694,94.6,-288.26,1967.8014,10.7134
-267.57,1693,94.91,-298.07,1967.7229,10.7464
-274.92,1692,95.12,-298.44,1967.6443,10.7794
-265.46,1691,95.3,-291.64,1967.5658,10.8124
-256.87,1690,95.51,-281.68,1967.4873,10.8453
-274.89,1689,95.72,-273.08,1967.4087,10.8783
-277.05,1688,95.93,-266.43,1967.3302,10.9113
-257.79,1687,96.3,-260.54,1967.2517,10.9443
-275.25,1686,96.54,-254.42,1967.1732,10.9773
-277.74,1685,96.72,-247.87,1967.0946,11.0103
-252.49,1684,97.03,-244.38,1967.0161,11.0432
-260.03,1683,97.33,-244.78,1966.939,11.0762
-278.09,1682,97.58,-250.06,1966.8623,11.1092
-266.88,1681,97.85,-257.88,1966.7856,11.1422
-277.52,1680,98.03,-266.99,1966.7089,11.1752
-267.58,1679,98.42,-277.79,1966.6322,11.2081
-275.78,1678,98.63,-278.42,1966.5555,11.2411
-270.44,1677,98.93,-273.38,1966.4788,11.2741
-278.52,1676,99.15,-263.57,1966.4021,11.3071
-269.72,1675,99.46,-252.4,1966.3254,11.3401
-259.61,1674,99.77,-243.44,1966.2487,11.3731
-263.09,1673,100.03,-238.38,1966.172,11.406
-265.99,1672,100.24,-243.95,1966.0953,11.439
-268.34,1671,100.54,-256.29,1966.0186,11.472
-265.53,1670,100.75,-269.73,1965.9121,11.5055
-267.58,1669,100.96,-278.07,1965.7984,11.5385
-275.32,1668,101.19,-278.19,1965.6847,11.5714
-259.46,1667,101.65,-272.52,1965.5709,11.6044
-271.44,1666,101.81,-264.78,1965.4572,11.6374
-268.09,1665,101.94,-259.19,1965.3435,11.6704
-258.25,1664,102.16,-256.4,1965.2298,11.7034
-267.42,1663,102.42,-257.35,1965.116,11.7364
-286.57,1662,102.67,-263.05,1965.0023,11.7693
-272.7,1661,102.91,-271.97,1964.9248,11.8023
-258.85,1660,103.2,-277.34,1964.8481,11.8353
-273.91,1659,103.43,-279.23,1964.7714,11.8683
-270.3,1658,103.73,-279.66,1964.6947,11.9013
-264.49,1657,103.96,-280.21,1964.618,11.9343
-270.31,1656,104.29,-281.01,1964.5413,11.9672
-269.96,1655,104.49,-280.62,1964.4646,12.0002
-271.91,1654,104.72,-278.53,1964.3879,12.0332
-274.4,1653,104.85,-275.8,1964.3112,12.0662
-262,1652,105.14,-273.29,1964.2345,12.0992
-255.39,1651,105.4,-269.07,1964.1578,12.1321
-257.64,1650,105.67,-261.79,1964.0811,12.1651
-265.85,1649,106,-251.56,1964.0044,12.1981
-290.94,1648,106.16,-241.3,1963.9309,12.2311
-278.88,1647,106.44,-236.4,1963.8576,12.2641
-263.69,1646,106.72,-237.23,1963.7843,12.2971
-264.21,1645,107,-242.53,1963.711,12.33
-275.15,1644,107.23,-250.65,1963.6378,12.363
-275.69,1643,107.5,-260.63,1963.5634,12.3965
-268.84,1642,107.73,-268.51,1963.4901,12.4295
-272.89,1641,107.97,-275.76,1963.4168,12.4625
-278.21,1640,108.27,-281.2,1963.3435,12.4954
-289.38,1639,108.47,-283.68,1963.2702,12.5284
-291.36,1638,108.7,-282.53,1963.1969,12.5614
-279.09,1637,109.1,-278.08,1963.1236,12.5944
-263.54,1636,109.43,-269.79,1963.0503,12.6274
-276.17,1635,109.67,-259.03,1962.9765,12.6604
-273.38,1634,109.9,-253.52,1962.9015,12.6933
-263.68,1633,110.16,-254.01,1962.8266,12.7263
-262.63,1632,110.35,-258.2,1962.7516,12.7593
-263.65,1631,110.55,-263.93,1962.6767,12.7923
-259.39,1630,111.03,-271.3,1962.6017,12.8253
-268.8,1629,111.29,-276,1962.5267,12.8582
-277.02,1628,111.55,-277.81,1962.4518,12.8912
-276.86,1627,111.74,-277.98,1962.3768,12.9242
-273.31,1626,111.94,-276.11,1962.3019,12.9572
-275.15,1625,112.19,-271.31,1962.2269,12.9902
-273.99,1624,112.35,-264.88,1962.1519,13.0232
-269.21,1623,112.65,-253.98,1962.077,13.0561
-266.09,1622,112.9,-246.57,1962.002,13.0891
-268.76,1621,113.16,-241.44,1961.9271,13.1221
-275.13,1620,113.46,-240.06,1961.8521,13.1551
-261.2,1619,113.68,-242.26,1961.7771,13.1881
-263.86,1618,113.85,-246.94,1961.7022,13.221
-248.16,1617,114.13,-252.88,1961.6272,13.254
-262.96,1616,114.34,-256.18,1961.5523,13.287
-266.65,1615,114.83,-256.98,1961.4762,13.3205
-272.96,1614,115.07,-251.96,1961.4012,13.3535
-275.39,1613,115.37,-242.6,1961.3263,13.3865
-276.62,1612,115.56,-235.6,1961.2513,13.4194
-266.05,1611,115.8,-232.62,1961.1763,13.4524
-261.05,1610,116.01,-232.08,1961.1014,13.4854
-270.1,1609,116.23,-235.25,1961.0264,13.5184
-287.12,1608,116.39,-242.23,1960.9311,13.5514
-285.37,1607,116.59,-252.26,1960.8247,13.5843
-263.1,1606,116.83,-265.52,1960.7183,13.6173
-274.38,1605,117.06,-277.32,1960.6119,13.6503
-267.89,1604,117.33,-282.78,1960.5055,13.6833
-263.19,1603,117.6,-285.05,1960.3991,13.7163
-282.52,1602,117.81,-279.69,1960.2927,13.7493
-273.93,1601,118.06,-271.59,1960.1864,13.7822
-259.88,1600,118.27,-264.16,1960.08,13.8152
-266.97,1599,118.48,-258.97,1959.9833,13.8482
-263.95,1598,118.79,-259.13,1959.916,13.8812
-260.04,1597,119.06,-263.25,1959.8487,13.9142
-260.41,1596,119.3,-269.02,1959.7813,13.9471
-267.3,1595,119.52,-277.49,1959.714,13.9801
-268.21,1594,119.82,-282.84,1959.6467,14.0131
-285.64,1593,119.97,-286.27,1959.5794,14.0461
-276.86,1592,120.12,-287.09,1959.5121,14.0791
-279.07,1591,120.33,-282.77,1959.4448,14.1121
-282.86,1590,120.57,-273.88,1959.3775,14.145
-265.15,1589,120.87,-260.17,1959.3102,14.178
-274.36,1588,121.33,-245.44,1959.2419,14.2115
-272.18,1587,121.61,-234.29,1959.1745,14.2445
-267.67,1586,121.85,-227.57,1959.1072,14.2775
-266.14,1585,122.04,-226.14,1959.0399,14.3104
-268.73,1584,122.31,-231.36,1958.968,14.3434
-276.97,1583,122.56,-240.28,1958.8895,14.3764
-271.17,1582,122.8,-252.31,1958.811,14.4094
-268.57,1581,123.06,-266.51,1958.7325,14.4424
-266.77,1580,123.33,-279.13,1958.6539,14.4754
-275.35,1579,123.55,-290.64,1958.5754,14.5083
-274.03,1578,123.82,-292.15,1958.4969,14.5413
-262.26,1577,124.12,-287.4,1958.4184,14.5743
-263.98,1576,124.36,-278.9,1958.3398,14.6073
-262.53,1575,124.63,-268.69,1958.2613,14.6403
-270.66,1574,124.84,-258.3,1958.1828,14.6732
-269.61,1573,125.09,-249.59,1958.1042,14.7062
-274.19,1572,125.33,-245.46,1958.0257,14.7392
-289.99,1571,125.48,-247.42,1957.9472,14.7722
-273.86,1570,125.75,-252.62,1957.8686,14.8052
-275.53,1569,125.93,-260.65,1957.7901,14.8382
-279.11,1568,126.21,-269.55,1957.7116,14.8711
-288.49,1567,126.42,-276.11,1957.6331,14.9041
-283.98,1566,126.67,-280.41,1957.5545,14.9371
-271.95,1565,126.88,-283.09,1957.476,14.9701
-275.92,1564,127.03,-283.3,1957.3975,15.0031
-268.14,1563,127.29,-282.03,1957.319,15.036
-268.62,1562,127.53,-278.58,1957.2404,15.069
-280.45,1561,127.74,-275.22,1957.1619,15.102
-271.3,1560,127.88,-272.18,1957.0822,15.1355
-257.71,1559,128.03,-268.59,1957.0036,15.1685
-258.49,1558,128.25,-264.91,1956.9269,15.2015
-263.02,1557,128.53,-266.08,1956.8502,15.2344
-263.5,1556,128.8,-271.15,1956.7735,15.2674
-267.36,1555,128.96,-279.41,1956.6967,15.3004
-260.99,1554,129.22,-289.67,1956.62,15.3334
-259.18,1553,129.49,-295.21,1956.5433,15.3664
-261.18,1552,129.73,-295.99,1956.4667,15.3993
-261.06,1551,130,-293.34,1956.39,15.4323
-269.45,1550,130.24,-287.15,1956.3133,15.4653
-280.81,1549,130.48,-277.84,1956.2365,15.4983
-284.01,1548,130.76,-271.06,1956.1598,15.5313
-275.31,1547,130.94,-266.88,1956.0831,15.5643
-275.39,1546,131.24,-265.62,1956.0064,15.5972
-292.54,1545,131.42,-269.19,1955.9161,15.6302
-274.77,1544,131.67,-276.61,1955.8244,15.6632
-258.1,1543,132,-284.46,1955.7328,15.6962
-279.41,1542,132.21,-292.48,1955.6412,15.7292
-271.71,1541,132.42,-296.8,1955.5496,15.7621
-260.37,1540,132.79,-297.32,1955.458,15.7951
-267.1,1539,133.03,-291.96,1955.3664,15.8281
-272.92,1538,133.27,-282.44,1955.2748,15.8611
-265.08,1537,133.54,-270.32,1955.1831,15.8941
-260.34,1536,133.81,-262.48,1955.0915,15.9271
-262.92,1535,134.03,-258.23,1954.9999,15.96
-256.52,1534,134.31,-255.38,1954.934,15.993
-258.13,1533,134.56,-252.84,1954.868,16.026
-268.98,1532,134.78,-254.33,1954.801,16.0595
-275.36,1531,134.97,-256.81,1954.7351,16.0925
-269.5,1530,135.21,-259.82,1954.6691,16.1254
-260.81,1529,135.49,-266.09,1954.6032,16.1584
-267.06,1528,135.7,-274.37,1954.5372,16.1914
-269.83,1527,135.94,-283.97,1954.4712,16.2244
-272.78,1526,136.19,-291.86,1954.4053,16.2574
-268.91,1525,136.37,-294.5,1954.3393,16.2904
-264.55,1524,136.62,-289,1954.2733,16.3233
-279.82,1523,136.86,-281.19,1954.2074,16.3563
-292.73,1522,137.13,-272.68,1954.1414,16.3893
-285.83,1521,137.34,-262.85,1954.0754,16.4223
-275.56,1520,137.58,-261.57,1954.0095,16.4553
-273.65,1519,137.76,-263.01,1953.9412,16.4882
-272.01,1518,138,-268.02,1953.8725,16.5212
-279.39,1517,138.12,-276.62,1953.8037,16.5542
-265.33,1516,138.39,-285.69,1953.735,16.5872
-280.04,1515,138.51,-291.43,1953.6663,16.6202
-264.18,1514,138.78,-294.92,1953.5976,16.6532
-262.21,1513,139.08,-294.34,1953.5289,16.6861
-254.18,1512,139.35,-287.15,1953.4602,16.7191
-271.19,1511,139.57,-277.3,1953.3915,16.7521
-272.8,1510,139.81,-263,1953.3228,16.7851
-266.34,1509,140.08,-251.5,1953.254,16.8181
-272.49,1508,140.26,-243.1,1953.1853,16.851
-272.22,1507,140.57,-236.92,1953.1166,16.884
-276.04,1506,140.81,-236.61,1953.0469,16.9175
-277.46,1505,141.05,-242.41,1952.9762,16.9505
-276.37,1504,141.23,-251.39,1952.9012,16.9835
-264.11,1503,141.48,-266.49,1952.8263,17.0165
-260.03,1502,141.82,-274.9,1952.7513,17.0494
-268.09,1501,142.06,-280.22,1952.6763,17.0824
-261.1,1500,142.39,-283.28,1952.6014,17.1154
-276.14,1499,142.58,-281.9,1952.5264,17.1484
-260.55,1498,142.73,-279.21,1952.4515,17.1814
-257.97,1497,142.97,-274.25,1952.3765,17.2143
-261.51,1496,143.24,-265.51,1952.3015,17.2473
-272.24,1495,143.46,-257.52,1952.2266,17.2803
-270.42,1494,143.67,-249.91,1952.1516,17.3133
-281.43,1493,143.91,-243.08,1952.0767,17.3463
-271.83,1492,144.24,-243.12,1952.0017,17.3793
-245.21,1491,144.58,-246.19,1951.9267,17.4122
-268.06,1490,144.79,-254.97,1951.8518,17.4452
-272.33,1489,145,-262.51,1951.7768,17.4782
-268.55,1488,145.3,-270.48,1951.7019,17.5112
-274.82,1487,145.52,-275.95,1951.6269,17.5442
-277.74,1486,145.7,-278.32,1951.552,17.5771
