d18O (permil),year (AD),depth (mm),d18O (permil) [2-1],year (AD) [2-1],depth (mm) [2-1],d18O (permil) [3-1],year (AD) [3-1],depth (mm) [3-1]
-6.17,-840,58.5,-6.07,-1502,118.5,-6.14,-1852,58.5
-6.26,-874,59.5,-6.22,-1539,119.5,-5.99,-1883,59.5
-6.2,-902,60.5,-6.16,-1576,120.5,-5.97,-1914,60.5
-6.19,-922,61.5,-6.03,-1614,121.5,-6.03,-1945,61.5
-6.11,-943,62.5,-6.18,-1645,122.5,-5.98,-1967,62.5
-6.33,-963,63.5,-6.05,-1676,123.5,-5.98,-1982,63.5
-6.11,-984,64.5,-5.98,-1708,124.5,-5.93,-1996,64.5
-6.57,-1004,65.5,-6.09,-1739,125.5,-5.97,-2010,65.5
-6.08,-1025,66.5,-5.78,-1770,126.5,-6.08,-2025,66.5
-6.15,-1045,67.5,-6,-1802,127.5,-6.09,-2039,67.5
-6.24,-1066,68.5,-5.91,-1833,128.5,-6.01,-2053,68.5
-6.02,-1086,69.5,-5.92,-1864,129.5,-5.99,-2068,69.5
-6.21,-1107,70.5,-5.77,-1895,130.5,-5.9,-2082,70.5
-6.23,-1127,71.5,-5.84,-1927,131.5,-5.84,-2096,71.5
-6.06,-1148,72.5,-5.83,-1958,132.5,-5.88,-2111,72.5
-5.97,-1168,73.5,-5.94,-1989,133.5,-5.86,-2125,73.5
-6.02,-1189,74.5,-5.69,-2020,134.5,-6,-2139,74.5
-5.83,-1209,75.5,-5.91,-2052,135.5,-5.97,-2154,75.5
-6.13,-1230,76.5,-5.92,-2083,136.5,-6.06,-2168,76.5
-6.28,-1250,77.5,-5.89,-2112,137.5,-5.82,-2182,77.5
-6.67,-1271,78.5,-6.11,-2138,138.5,-5.97,-2197,78.5
-6.09,-1291,79.5,-5.77,-2164,139.5,-5.89,-2211,79.5
-6.12,-1315,80.5,-5.67,-2190,140.5,-6.09,-2225,80.5
-6.05,-1339,81.5,-5.74,-2217,141.5,-5.92,-2240,81.5
-5.96,-1362,82.5,-5.78,-2243,142.5,-6.05,-2254,82.5
-6.07,-1386,83.5,-5.91,-2269,143.5,-6.06,-2268,83.5
-5.99,-1410,84.5,-5.75,-2295,144.5,-6.11,-2283,84.5
-6.25,-1434,85.5,-6.07,-2322,145.5,-6.1,-3285,85.5
-6.11,-1457,86.5,-5.83,-2348,146.5,-5.76,-3304,86.5
-6.06,-1481,87.5,-5.87,-2374,147.5,-6.02,-3323,87.5
-6.05,-1505,88.5,-5.72,-2400,148.5,-5.7,-3341,88.5
-6.14,-1529,89.5,-5.75,-2426,149.5,-5.91,-3360,89.5
-6.03,-1552,90.5,-5.69,-2476,150.5,-5.89,-3379,90.5
-5.93,-1576,91.5,-5.65,-2526,151.5,-5.95,-3398,91.5
-6.03,-1600,92.5,-5.75,-2576,152.5,-5.86,-3416,92.5
-6.03,-1624,93.5,-5.62,-2626,153.5,-5.93,-3435,93.5
-6.14,-1647,94.5,-5.63,-2676,154.5,-5.8,-3454,94.5
-6.19,-1671,95.5,-5.59,-2726,155.5,-5.92,-3473,95.5
-6.14,-1695,96.5,-5.63,-2776,156.5,-5.73,-3491,96.5
-6.15,-1719,97.5,-5.62,-2826,157.5,-5.76,-3510,97.5
-6.14,-1742,98.5,-5.61,-2876,158.5,-5.75,-3529,98.5
-5.99,-1766,99.5,-5.55,-2926,159.5,-5.75,-3548,99.5
-6.23,-1790,100.5,-5.54,-2967,160.5,-5.68,-4083,100.5
-6.31,-1813,101.5,-5.66,-3000,161.5,-5.72,-4115,101.5
-6.17,-1837,102.5,-5.56,-3033,162.5,-5.56,-4147,102.5
-6.31,-1861,103.5,-5.67,-3066,163.5,-5.73,-4179,103.5
-6.5,-1885,104.5,-5.73,-3098,164.5,-5.7,-4211,104.5
-6.77,-1908,105.5,-5.81,-3131,165.5,-5.74,-4243,105.5
-5.95,-1931,106.5,-5.69,-3164,166.5,-5.47,-4276,106.5
-6.24,-1953,107.5,-5.68,-3200,167.5,-5.64,-4308,107.5
-6.02,-1976,108.5,-5.73,-3239,168.5,-5.55,-4340,108.5
-5.98,-1999,109.5,-5.78,-3278,169.5,-5.65,-4370,109.5
-5.95,-2022,110.5,-5.61,-3316,170.5,-5.67,-4399,110.5
-6.03,-2044,111.5,-5.53,-3355,171.5,-5.56,-4428,111.5
-6.19,-2067,112.5,-5.71,-3394,172.5,-5.59,-4457,112.5
-6.16,-2090,113.5,-5.7,-3433,173.5,-5.59,-4485,113.5
-5.88,-2113,114.5,-5.69,-3472,174.5,-5.84,-4514,114.5
-6.11,-2135,115.5,-5.64,-3511,175.5,-5.89,-4543,115.5
-5.94,-2158,116.5,-5.78,-3550,176.5,-5.82,-4572,116.5
-5.92,-2181,117.5,-5.83,-3588,177.5,-5.91,-4600,117.5
-5.99,-2204,118.5,-5.83,-3627,178.5,-5.99,-4629,118.5
-5.91,-2226,119.5,-5.77,-3647,179,-5.91,-4658,119.5
-5.97,-2249,120.5,-5.72,-3666,179.5,-5.81,-4687,120.5
-5.61,-2274,121.5,-5.8,-3705,180.5,-5.95,-4715,121.5
-5.48,-2301,122.5,-5.76,-3744,181.5,-5.92,-4744,122.5
-5.65,-2328,123.5,-5.75,-3783,182.5,-5.86,-4773,123.5
-5.4,-2355,124.5,-5.8,-3822,183.5,-5.9,-4802,124.5
-5.76,-2383,125.5,-5.77,-3860,184.5,-5.93,-4830,125.5
-5.66,-2410,126.5,-5.52,-3899,185.5,-6.01,-4859,126.5
-5.97,-2437,127.5,-5.61,-3938,186.5,-6.05,-4888,127.5
-5.77,-2464,128.5,-5.88,-3977,187.5,-6.17,-4917,128.5
-6.04,-2491,129.5,-5.77,-4016,188.5,-5.81,-4945,129.5
-6.03,-2518,130.5,-5.57,-4055,189.5,-5.71,-4972,130.5
-5.74,-2545,131.5,-5.6,-4094,190.5,-5.73,-4997,131.5
-5.75,-2573,132.5,-5.86,-4133,191.5,-5.99,-5021,132.5
-5.77,-2604,133.5,-5.76,-4171,192.5,-5.93,-5046,133.5
-5.59,-2639,134.5,-5.78,-4210,193.5,-5.97,-5070,134.5
-5.54,-2674,135.5,-5.73,-4249,194.5,-6.13,-5095,135.5
-5.77,-2709,136.5,-5.87,-4269,195,-5.98,-5119,136.5
-5.59,-2744,137.5,-6.02,-4288,195.5,-5.99,-5144,137.5
-5.62,-2779,138.5,-6.02,-4327,196.5,-5.86,-5169,138.5
-5.55,-2814,139.5,-5.89,-4366,197.5,-5.89,-5193,139.5
-5.7,-2849,140.5,-5.8,-4420,198.5,-5.73,-5218,140.5
-5.85,-2884,141.5,-5.77,-4474,199.5,-5.66,-5242,141.5
-5.82,-2919,142.5,-5.78,-4529,200.5,-5.74,-5267,142.5
-5.82,-2954,143.5,-5.87,-4583,201.5,-5.75,-5291,143.5
-5.84,-2989,144.5,-5.75,-4637,202.5,-5.88,-5316,144.5
-5.77,-3024,145.5,-5.79,-4691,203.5,-5.88,-5341,145.5
-5.87,-3066,146.5,-5.8,-4746,204.5,-5.62,-5365,146.5
-5.85,-3117,147.5,-5.73,-4800,205.5,-5.55,-5390,147.5
-5.79,-3167,148.5,-6,-4854,206.5,-5.68,-5414,148.5
-5.75,-3217,149.5,-5.8,-4909,207.5,-5.62,-5439,149.5
-5.77,-3268,150.5,-5.75,-4963,208.5,-5.58,-5462,150.5
-5.68,-3318,151.5,-5.66,-5017,209.5,-5.88,-5485,151.5
-5.58,-3368,152.5,-5.64,-5071,210.5,-5.93,-5508,152.5
-5.86,-3419,153.5,-5.69,-5126,211.5,-5.81,-5531,153.5
-5.79,-3469,154.5,-5.58,-5180,212.5,-5.89,-5553,154.5
-5.79,-3519,155.5,-5.59,-5234,213.5,-5.93,-5576,155.5
-5.84,-3570,156.5,NA,NA,NA,-5.85,-5599,156.5
-5.88,-3620,157.5,NA,NA,NA,-5.78,-5622,157.5
-5.68,-3670,158.5,NA,NA,NA,-5.88,-5645,158.5
-5.69,-3721,159.5,NA,NA,NA,-5.85,-5668,159.5
-5.83,-3771,160.5,NA,NA,NA,-5.98,-5691,160.5
-5.78,-3808,161.5,NA,NA,NA,-5.87,-5714,161.5
-5.91,-3831,162.5,NA,NA,NA,-5.67,-5737,162.5
-5.85,-3854,163.5,NA,NA,NA,-5.75,-5760,163.5
-5.57,-3877,164.5,NA,NA,NA,-5.8,-5783,164.5
-5.51,-3900,165.5,NA,NA,NA,-5.73,-5806,165.5
-5.55,-3923,166.5,NA,NA,NA,-5.64,-5829,166.5
-5.69,-3946,167.5,NA,NA,NA,-5.66,-5852,167.5
-5.52,-3969,168.5,NA,NA,NA,-5.63,-5875,168.5
-5.87,-3993,169.5,NA,NA,NA,-5.53,-5898,169.5
-5.92,-4016,170.5,NA,NA,NA,NA,NA,NA
-5.82,-4039,171.5,NA,NA,NA,NA,NA,NA
-5.88,-4062,172.5,NA,NA,NA,NA,NA,NA
-5.78,-4085,173.5,NA,NA,NA,NA,NA,NA
-5.7,-4108,174.5,NA,NA,NA,NA,NA,NA
-5.68,-4131,175.5,NA,NA,NA,NA,NA,NA
-5.84,-4154,176.5,NA,NA,NA,NA,NA,NA
-5.93,-4177,177.5,NA,NA,NA,NA,NA,NA
-6,-4200,178.5,NA,NA,NA,NA,NA,NA
-5.98,-4223,179.5,NA,NA,NA,NA,NA,NA
-6.09,-4246,180.5,NA,NA,NA,NA,NA,NA
-6.22,-4278,181.5,NA,NA,NA,NA,NA,NA
-6.14,-4318,182.5,NA,NA,NA,NA,NA,NA
-6.08,-4358,183.5,NA,NA,NA,NA,NA,NA
-6.17,-4398,184.5,NA,NA,NA,NA,NA,NA
-6.2,-4437,185.5,NA,NA,NA,NA,NA,NA
-6.2,-4477,186.5,NA,NA,NA,NA,NA,NA
-5.98,-4517,187.5,NA,NA,NA,NA,NA,NA
-6.06,-4557,188.5,NA,NA,NA,NA,NA,NA
-5.94,-4597,189.5,NA,NA,NA,NA,NA,NA
-6.14,-4637,190.5,NA,NA,NA,NA,NA,NA
-5.91,-4676,191.5,NA,NA,NA,NA,NA,NA
-5.99,-4716,192.5,NA,NA,NA,NA,NA,NA
-5.99,-4756,193.5,NA,NA,NA,NA,NA,NA
-5.95,-4796,194.5,NA,NA,NA,NA,NA,NA
-5.8,-4836,195.5,NA,NA,NA,NA,NA,NA
-5.8,-4876,196.5,NA,NA,NA,NA,NA,NA
-5.81,-4916,197.5,NA,NA,NA,NA,NA,NA
-5.86,-4955,198.5,NA,NA,NA,NA,NA,NA
-5.71,-4995,199.5,NA,NA,NA,NA,NA,NA
