d18O (permil),year start (AD),d18O (permil) [1-2],year start (AD) [1-2],d18O (permil) [1-3],year start (AD) [1-3]
-15.14,1574.5,-14.42,1787,-14.55,1574.5
-14.29,1564.5,-14.67,1782,-15.01,1564.5
-13.76,1554.5,-13.85,1777,-14.63,1554.5
-14.46,1544.5,-17.28,1772,-14.68,1544.5
-16.01,1534.5,-15.59,1767,-14.5,1534.5
-15.94,1524.5,-14.78,1762,-14.33,1524.5
-14.6,1514.5,-15.27,1757,-15.21,1514.5
-14.43,1504.5,-16.28,1752,-15.89,1504.5
-14.91,1494.5,-14.9,1747,-15.48,1494.5
-14.22,1484.5,-16.55,1742,-16.32,1484.5
-14.55,1474.5,-15.85,1737,-14.41,1474.5
-12.28,1464.5,-15.21,1732,-13.14,1464.5
-14.17,1454.5,-16.23,1727,-15.39,1454.5
-15.04,1444.5,-13.59,1722,-16.49,1444.5
-15.25,1434.5,-13.55,1717,-15.39,1434.5
-15,1424.5,-14.85,1712,-15.65,1424.5
-15.05,1414.5,-14.23,1707,-15.75,1414.5
-13.67,1404.5,-14.47,1702,-16.37,1404.5
-15.03,1394.5,-15.39,1697,-14.13,1394.5
-14.83,1384.5,-15.46,1692,-14.71,1384.5
-13.72,1374.5,-14.07,1687,-15.85,1374.5
-15.13,1364.5,-15.17,1682,-15.2,1364.5
-17.04,1354.5,-15.8,1677,-15.27,1354.5
-17.48,1344.5,-14.44,1672,-14.83,1344.5
-15.2,1334.5,-15.08,1667,-15.07,1334.5
-15.13,1324.5,-15.78,1662,-17.02,1324.5
-15.03,1314.5,-15.47,1657,-15.15,1314.5
-13.45,1304.5,-14.66,1652,-15.38,1304.5
-12.22,1294.5,-14.49,1647,-13.88,1294.5
-14.03,1284.5,-16.98,1642,-14.92,1284.5
-16.03,1274.5,-15.59,1637,-15.47,1274.5
-14.87,1264.5,-14.88,1632,-15.96,1264.5
-14.65,1254.5,-18,1627,-16.25,1254.5
-16.1,1244.5,-14.44,1622,-15.45,1244.5
-17.7,1234.5,-14.89,1617,-14.77,1234.5
-14.61,1224.5,-15.49,1612,-14.59,1224.5
-17.03,1214.5,-15.33,1607,-16.41,1214.5
-16.13,1204.5,-15.28,1602,-15.94,1204.5
-15.4,1194.5,NA,NA,-14.23,1194.5
-14.35,1184.5,NA,NA,-15.94,1184.5
-14.44,1174.5,NA,NA,-15.32,1174.5
-14.79,1164.5,NA,NA,-13.81,1164.5
-15.44,1154.5,NA,NA,-13.74,1154.5
-14.6,1144.5,NA,NA,-15.36,1144.5
-14.92,1134.5,NA,NA,-16.49,1134.5
-15.01,1124.5,NA,NA,-16.7,1124.5
-15.6,1114.5,NA,NA,-15.37,1114.5
-15.98,1104.5,NA,NA,-14.73,1104.5
-15.07,1094.5,NA,NA,-15.68,1094.5
-15.06,1084.5,NA,NA,-14.7,1084.5
-14.27,1074.5,NA,NA,-14.81,1074.5
-14.72,1064.5,NA,NA,-14.82,1064.5
-13.7,1054.5,NA,NA,-15.47,1054.5
-16.58,1044.5,NA,NA,-14.2,1044.5
-14.32,1034.5,NA,NA,-15.78,1034.5
-15.01,1024.5,NA,NA,-16.89,1024.5
-15.33,1014.5,NA,NA,-15.91,1014.5
-17.08,1004.5,NA,NA,-15.05,1004.5
-14.23,994.5,NA,NA,-12.55,994.5
-15.22,984.5,NA,NA,-14.27,984.5
-16.68,974.5,NA,NA,-14.08,974.5
-15.48,964.5,NA,NA,-16.15,964.5
-16.9,954.5,NA,NA,-15.16,954.5
-14.57,944.5,NA,NA,-14.5,944.5
-13.75,934.5,NA,NA,-14.97,934.5
-14.15,924.5,NA,NA,-17.1,924.5
-14.52,914.5,NA,NA,-15.68,914.5
-14.63,904.5,NA,NA,-15.02,904.5
-12.37,894.5,NA,NA,-16.27,894.5
-11.25,884.5,NA,NA,-16.75,884.5
-16.09,874.5,NA,NA,-16.61,874.5
-15.77,864.5,NA,NA,-15.33,864.5
-13.72,854.5,NA,NA,-14.77,854.5
-13.62,844.5,NA,NA,-13.8,844.5
-13.36,834.5,NA,NA,-14.65,834.5
-14.26,824.5,NA,NA,-15.57,824.5
-15.36,814.5,NA,NA,-14.87,814.5
-13.84,804.5,NA,NA,-13.32,804.5
-14.76,794.5,NA,NA,-14.29,794.5
-15.1,784.5,NA,NA,-15.4,784.5
-14.18,774.5,NA,NA,-16.36,774.5
-16.88,764.5,NA,NA,-15.62,764.5
-14.99,754.5,NA,NA,-14.78,754.5
-13.66,744.5,NA,NA,-15.11,744.5
-15.18,734.5,NA,NA,-14.8,734.5
-15.29,724.5,NA,NA,-14.28,724.5
-15.23,714.5,NA,NA,-16.39,714.5
-15.09,704.5,NA,NA,-15.35,704.5
-13.9,694.5,NA,NA,-15.62,694.5
-15.15,684.5,NA,NA,-15.67,684.5
-13.06,674.5,NA,NA,-15.19,674.5
-14.29,664.5,NA,NA,-14.49,664.5
-14.32,654.5,NA,NA,-16.22,654.5
-12.53,644.5,NA,NA,-15.41,644.5
-13.88,634.5,NA,NA,-13.92,634.5
-14.22,624.5,NA,NA,-15.28,624.5
-14.1,614.5,NA,NA,-14.75,614.5
-13.03,604.5,NA,NA,-15.5,604.5
-13.85,594.5,NA,NA,-14.39,594.5
-14.07,584.5,NA,NA,-15.4,584.5
-14.45,574.5,NA,NA,-15.01,574.5
-14.36,564.5,NA,NA,-15.17,564.5
-13.72,554.5,NA,NA,-14.99,554.5
-15.58,544.5,NA,NA,-14.51,544.5
-14.87,534.5,NA,NA,-15.1,534.5
-13.86,524.5,NA,NA,-17.68,524.5
-14.65,514.5,NA,NA,-16.93,514.5
-13.29,504.5,NA,NA,-16.21,504.5
-14.36,494.5,NA,NA,-14.6,494.5
-15.26,484.5,NA,NA,-15.78,484.5
-14.31,474.5,NA,NA,-15,474.5
-16.09,464.5,NA,NA,-15.28,464.5
-14.95,454.5,NA,NA,-15.92,454.5
-14.05,444.5,NA,NA,-18.19,444.5
-14.18,434.5,NA,NA,-15.65,434.5
-14.35,424.5,NA,NA,-16.65,424.5
-14.09,414.5,NA,NA,-14.73,414.5
-14.86,404.5,NA,NA,-14.92,404.5
-13.54,394.5,NA,NA,-14.22,394.5
-12.64,384.5,NA,NA,-15.27,384.5
-13.56,374.5,NA,NA,-14.4,374.5
-13.95,364.5,NA,NA,-13.6,364.5
-13.23,354.5,NA,NA,-14.17,354.5
-15.64,344.5,NA,NA,-13.96,344.5
-15.5,334.5,NA,NA,-14.22,334.5
-14.66,324.5,NA,NA,-13.37,324.5
-15.64,314.5,NA,NA,-14.2,314.5
-13.92,304.5,NA,NA,-16.11,304.5
-14.01,294.5,NA,NA,-16.56,294.5
-14.36,284.5,NA,NA,-15.44,284.5
-15.95,274.5,NA,NA,-15.43,274.5
-14.75,264.5,NA,NA,-14.16,264.5
-15.16,254.5,NA,NA,-13.92,254.5
-14.05,244.5,NA,NA,-15.65,244.5
-16.22,234.5,NA,NA,-14.19,234.5
-14.56,224.5,NA,NA,-15.91,224.5
-16.36,214.5,NA,NA,-17.95,214.5
-12.11,204.5,NA,NA,-14.09,204.5
-14.22,194.5,NA,NA,-15.69,194.5
-12.98,184.5,NA,NA,-14.74,184.5
-15.45,174.5,NA,NA,-14.69,174.5
-13.9,164.5,NA,NA,-14.6,164.5
-12.9,154.5,NA,NA,-17.07,154.5
-13.64,144.5,NA,NA,-17.69,144.5
-12.66,134.5,NA,NA,-15.86,134.5
-14.84,124.5,NA,NA,-15.33,124.5
-15.3,114.5,NA,NA,-14.86,114.5
-15.6,104.5,NA,NA,-13.58,104.5
-16.12,94.5,NA,NA,-13.75,94.5
-14.96,84.5,NA,NA,-14.08,84.5
-15.23,74.5,NA,NA,-14.55,74.5
-15.79,64.5,NA,NA,-16.06,64.5
-15.59,54.5,NA,NA,-16.62,54.5
-14.94,44.5,NA,NA,-14.64,44.5
-15.16,34.5,NA,NA,-15.12,34.5
-15.86,24.5,NA,NA,-15.99,24.5
-16.03,14.5,NA,NA,-15.18,14.5
-15.54,4.5,NA,NA,-14.85,4.5
