dD (permil),year (AD)
-244.504252,1982.055
-240.746348,1982.02
-239.140319,1981.98
-239.625826,1981.935
-240.390248,1981.89
-243.372103,1981.85
-244.264941,1981.805
-246.016237,1981.76
-249.071905,1981.72
-253.336898,1981.675
-257.23788,1981.63
-258.22981,1981.59
-259.987173,1981.545
-259.602939,1981.5
-257.463365,1981.455
-256.837468,1981.41
-256.49368,1981.37
-259.918415,1981.325
-263.1753,1981.28
-265.488791,1981.24
-265.164215,1981.195
-264.071171,1981.15
-258.812227,1981.11
-253.818201,1981.065
-250.003166,1981.02
-248.641159,1980.98
-248.988992,1980.945
-249.605788,1980.91
-251.084076,1980.875
-254.07402,1980.84
-257.372362,1980.805
-261.803182,1980.77
-266.650592,1980.73
-270.69819,1980.695
-271.724498,1980.66
-267.549276,1980.625
-264.270371,1980.59
-258.996406,1980.555
-254.893189,1980.52
-254.111672,1980.48
-253.4097,1980.445
-256.109447,1980.41
-258.862784,1980.375
-260.407807,1980.34
-261.475572,1980.305
-260.314782,1980.27
-257.063964,1980.23
-254.18019,1980.195
-247.305442,1980.16
-242.224458,1980.125
-237.798694,1980.09
-235.462958,1980.055
-224.723629,1980.02
-229.417346,1979.98
-231.587254,1979.935
-234.657117,1979.89
-236.869777,1979.85
-240.125548,1979.805
-243.205937,1979.76
-245.801989,1979.72
-248.934381,1979.675
-251.394818,1979.63
-252.725472,1979.59
-254.126484,1979.545
-253.367857,1979.5
-252.877402,1979.455
-250.649447,1979.41
-249.214787,1979.37
-247.081661,1979.325
-246.362801,1979.28
-246.563674,1979.24
-246.36586,1979.195
-244.378545,1979.15
-242.66042,1979.11
-240.841348,1979.065
-238.099486,1979.02
-238.470641,1978.98
-240.523215,1978.945
-241.277762,1978.91
-244.755819,1978.87
-248.771235,1978.83
-253.321973,1978.795
-258.611963,1978.76
-263.443107,1978.72
-269.278614,1978.685
-271.396446,1978.65
-272.959583,1978.61
-272.915738,1978.575
-271.941963,1978.54
-268.548539,1978.5
-265.538506,1978.46
-258.764912,1978.425
-252.878421,1978.39
-247.623099,1978.35
-235.737956,1978.315
-237.497887,1978.28
-235.393311,1978.24
-235.577869,1978.205
-234.454205,1978.17
-233.690481,1978.13
