d18O (permil),year (AD),depth (cm),core (),depth (cm),d18O (permil),depth (cm)
1.33,192,NA,MD95-2011,NA,1.92,138.5
1.2,179,NA,MD95-2011,NA,1.28,139.5
1.13,167,NA,MD95-2011,NA,1.75,140.5
1.12,155,NA,MD95-2011,NA,2,141.5
0.83,143,NA,MD95-2011,NA,1.72,142.5
0.75,130,NA,MD95-2011,NA,1.74,143.5
1.09,118,NA,MD95-2011,NA,1.67,144.5
1,106,NA,MD95-2011,NA,1.72,145.5
1.06,94,NA,MD95-2011,NA,1.63,146.5
1.01,81,NA,MD95-2011,NA,1.72,147.5
0.85,69,NA,MD95-2011,NA,2.06,148.5
0.73,57,NA,MD95-2011,NA,1.76,149.5
1.05,45,NA,MD95-2011,NA,NA,150.5
0.98,32,NA,MD95-2011,NA,1.82,151.5
0.92,20,NA,MD95-2011,NA,1.78,152.5
0.99,8,NA,MD95-2011,NA,1.63,153.5
0.89,-14,NA,MD95-2011,NA,1.72,154.5
0.94,-35,NA,MD95-2011,NA,1.69,155.5
0.93,-57,NA,MD95-2011,NA,1.84,156.5
1.15,-78,NA,MD95-2011,NA,1.68,157.5
0.92,-100,NA,MD95-2011,NA,1.97,158.5
0.96,-122,NA,MD95-2011,NA,1.49,159.5
0.97,-143,NA,MD95-2011,NA,1.77,160.5
0.81,-165,NA,MD95-2011,NA,1.69,161.5
1.28,-251,NA,MD95-2011,NA,1.57,165.5
1.06,-273,NA,MD95-2011,NA,1.84,166.5
1,-294,NA,MD95-2011,NA,2.03,167.5
0.99,-316,NA,MD95-2011,NA,1.83,168.5
1.25,-337,NA,MD95-2011,NA,1.6,169.5
1.22,-359,NA,MD95-2011,NA,1.9,170.5
0.99,-374,NA,MD95-2011,NA,1.85,171.5
1.34,-388,NA,MD95-2011,NA,2.14,172.5
0.99,-403,NA,MD95-2011,NA,1.75,173.5
1.23,-418,NA,MD95-2011,NA,1.92,174.5
1.21,-432,NA,MD95-2011,NA,1.9,175.5
1.1,-447,NA,MD95-2011,NA,1.7,176.5
1.28,-462,NA,MD95-2011,NA,1.99,177.5
1.27,-476,NA,MD95-2011,NA,1.92,178.5
1.07,-491,NA,MD95-2011,NA,2.15,179.5
0.7,-506,NA,MD95-2011,NA,NA,180.5
1.22,-521,NA,MD95-2011,NA,1.53,181.5
0.96,-535,NA,MD95-2011,NA,1.78,182.5
0.71,-550,NA,MD95-2011,NA,1.8,183.5
1.11,-565,NA,MD95-2011,NA,1.92,184.5
0.63,-579,NA,MD95-2011,NA,2.1,185.5
0.83,-594,NA,MD95-2011,NA,2.15,186.5
1,-609,NA,MD95-2011,NA,1.9,187.5
1.29,-623,NA,MD95-2011,NA,1.8,188.5
0.56,-638,NA,MD95-2011,NA,2.03,189.5
1.29,-653,NA,MD95-2011,NA,2.09,190.5
1.66,-667,NA,MD95-2011,NA,2.04,191.5
1.52,-682,NA,MD95-2011,NA,2.13,192.5
1.52,-697,NA,MD95-2011,NA,2.22,193.5
1.79,-711,NA,MD95-2011,NA,2.07,194.5
1.34,-726,NA,MD95-2011,NA,2.23,195.5
1.83,-741,NA,MD95-2011,NA,2.08,196.5
1.6,-756,NA,MD95-2011,NA,2.35,197.5
1.71,-770,NA,MD95-2011,NA,2.17,198.5
1.6,-785,NA,MD95-2011,NA,2.31,199.5
1.39,-800,NA,MD95-2011,NA,2.11,200.5
1.29,-814,NA,MD95-2011,NA,1.84,201.5
1.26,-829,NA,MD95-2011,NA,2.14,202.5
1.41,-844,NA,MD95-2011,NA,1.93,203.5
1.1,-858,NA,MD95-2011,NA,1.94,204.5
2.05,-873,NA,MD95-2011,NA,1.91,205.5
1.32,-888,NA,MD95-2011,NA,2.02,206.5
1.33,-902,NA,MD95-2011,NA,1.94,207.5
1.35,-917,NA,MD95-2011,NA,1.95,208.5
1.32,-932,NA,MD95-2011,NA,1.9,209.5
1.24,-946,NA,MD95-2011,NA,2.18,210.5
1.1,-961,NA,MD95-2011,NA,1.74,211.5
1.28,-976,NA,MD95-2011,NA,1.94,212.5
1.14,-991,NA,MD95-2011,NA,1.64,213.5
1.33,-1005,NA,MD95-2011,NA,1.79,214.5
1.43,-1020,NA,MD95-2011,NA,2.08,215.5
1.25,-1035,NA,MD95-2011,NA,1.89,216.5
1.36,-1049,NA,MD95-2011,NA,1.83,217.5
1.51,-1064,NA,MD95-2011,NA,1.75,218.5
1.38,-1079,NA,MD95-2011,NA,2.03,219.5
0.95,-1093,NA,MD95-2011,NA,1.36,220.5
1.13,-1108,NA,MD95-2011,NA,1.6,221.5
1.16,-1123,NA,MD95-2011,NA,1.73,222.5
1.31,-1137,NA,MD95-2011,NA,1.7,223.5
1.22,-1152,NA,MD95-2011,NA,1.58,224.5
0.96,-1167,NA,MD95-2011,NA,1.78,225.5
1.31,-1181,NA,MD95-2011,NA,1.81,226.5
1.36,-1196,NA,MD95-2011,NA,1.94,227.5
1.39,-1211,NA,MD95-2011,NA,1.77,228.5
1.12,-1226,NA,MD95-2011,NA,1.69,229.5
1.36,-1255,NA,MD95-2011,NA,NA,231.5
1.3,-1270,NA,MD95-2011,NA,1.63,232.5
1.33,-1284,NA,MD95-2011,NA,1.6,233.5
1.34,-1299,NA,MD95-2011,NA,1.78,234.5
NA,-1314,NA,MD95-2011,NA,2.12,235.5
1.18,-1328,NA,MD95-2011,NA,1.74,236.5
1.21,-1343,NA,MD95-2011,NA,1.65,237.5
1.15,-1358,NA,MD95-2011,NA,1.84,238.5
1.26,-1372,NA,MD95-2011,NA,1.71,239.5
1.15,-1402,NA,MD95-2011,NA,1.71,241.5
1.11,-1416,NA,MD95-2011,NA,1.73,242.5
1.03,-1431,NA,MD95-2011,NA,1.82,243.5
1.19,-1446,NA,MD95-2011,NA,1.83,244.5
NA,-1461,NA,MD95-2011,NA,2.07,245.5
1.41,-1475,NA,MD95-2011,NA,2.11,246.5
1.13,-1490,NA,MD95-2011,NA,1.83,247.5
1.27,-1505,NA,MD95-2011,NA,1.81,248.5
1.3,-1519,NA,MD95-2011,NA,1.79,249.5
1.46,-1534,NA,MD95-2011,NA,2.02,250.5
1.3,-1549,NA,MD95-2011,NA,1.81,251.5
1.19,-1563,NA,MD95-2011,NA,1.78,252.5
1.16,-1578,NA,MD95-2011,NA,2.18,253.5
1.25,-1593,NA,MD95-2011,NA,2.19,254.5
1.64,-1607,NA,MD95-2011,NA,2.17,255.5
1.34,-1622,NA,MD95-2011,NA,2.17,256.5
1.38,-1637,NA,MD95-2011,NA,2.05,257.5
1.47,-1651,NA,MD95-2011,NA,2.12,258.5
1.39,-1666,NA,MD95-2011,NA,2.14,259.5
1.79,-1681,NA,MD95-2011,NA,2.4,260.5
1.18,-1696,NA,MD95-2011,NA,2.22,261.5
1.29,-1710,NA,MD95-2011,NA,2.17,262.5
1.45,-1725,NA,MD95-2011,NA,2.02,263.5
1.48,-1740,NA,MD95-2011,NA,2.01,264.5
1.59,-1754,NA,MD95-2011,NA,2.62,265.5
1.3,-1769,NA,MD95-2011,NA,2.03,266.5
1.29,-1784,NA,MD95-2011,NA,2.18,267.5
1.33,-1798,NA,MD95-2011,NA,2.05,268.5
1.47,-1813,NA,MD95-2011,NA,2.3,269.5
1.66,-1826,NA,MD95-2011,NA,2.41,270.5
1.39,-1839,NA,MD95-2011,NA,2.1,271.5
1.46,-1852,NA,MD95-2011,NA,2.16,272.5
1.44,-1866,NA,MD95-2011,NA,2.2,273.5
1.46,-1879,NA,MD95-2011,NA,2.05,274.5
1.97,-1892,NA,MD95-2011,NA,2.19,275.5
1.67,-1905,NA,MD95-2011,NA,2.13,276.5
1.81,-1918,NA,MD95-2011,NA,2.2,277.5
1.54,-1931,NA,MD95-2011,NA,2.28,278.5
1.48,-1945,NA,MD95-2011,NA,2.1,279.5
1.83,-1958,NA,MD95-2011,NA,2.24,280.5
1.34,-1971,NA,MD95-2011,NA,2.01,281.5
1.55,-1984,NA,MD95-2011,NA,1.9,282.5
1.42,-1997,NA,MD95-2011,NA,2.17,283.5
1.47,-2010,NA,MD95-2011,NA,1.92,284.5
1.88,-2024,NA,MD95-2011,NA,2.45,285.5
1.45,-2037,NA,MD95-2011,NA,2.09,286.5
1.43,-2050,NA,MD95-2011,NA,1.72,287.5
1.61,-2063,NA,MD95-2011,NA,2.11,288.5
1.45,-2076,NA,MD95-2011,NA,2.19,289.5
1.53,-2089,NA,MD95-2011,NA,2.01,290.5
1.59,-2102,NA,MD95-2011,NA,2.06,291.5
1.25,-2116,NA,MD95-2011,NA,2.05,292.5
1.21,-2129,NA,MD95-2011,NA,1.96,293.5
1.41,-2142,NA,MD95-2011,NA,2,294.5
1.78,-2155,NA,MD95-2011,NA,2.3,295.5
1.4,-2168,NA,MD95-2011,NA,NA,296.5
1.3,-2181,NA,MD95-2011,NA,1.87,297.5
1.38,-2195,NA,MD95-2011,NA,1.81,298.5
1.43,-2208,NA,MD95-2011,NA,2.12,299.5
1.63,-2221,NA,MD95-2011,NA,2.07,300.5
1.22,-2234,NA,MD95-2011,NA,1.98,301.5
1.42,-2247,NA,MD95-2011,NA,2.11,302.5
1.49,-2260,NA,MD95-2011,NA,1.93,303.5
1.46,-2273,NA,MD95-2011,NA,2.12,304.5
1.88,-2287,NA,MD95-2011,NA,2.44,305.5
1.49,-2300,NA,MD95-2011,NA,2.19,306.5
1.66,-2313,NA,MD95-2011,NA,2.25,307.5
1.66,-2326,NA,MD95-2011,NA,2.19,308.5
1.67,-2339,NA,MD95-2011,NA,2.04,309.5
1.75,-2352,NA,MD95-2011,NA,2.27,310.5
1.41,-2366,NA,MD95-2011,NA,1.99,311.5
1.38,-2379,NA,MD95-2011,NA,2.2,312.5
1.59,-2418,NA,MD95-2011,NA,2.47,315.5
1.39,-2549,NA,MD95-2011,NA,2.04,324.5
1.65,-2566,NA,MD95-2011,NA,2.13,325.5
1.39,-2582,NA,MD95-2011,NA,1.99,326.5
1.47,-2598,NA,MD95-2011,NA,2.07,327.5
1.43,-2615,NA,MD95-2011,NA,1.97,328.5
1.36,-2631,NA,MD95-2011,NA,2.03,329.5
1.42,-2647,NA,MD95-2011,NA,2.05,330.5
1.38,-2663,NA,MD95-2011,NA,1.81,331.5
NA,-2680,NA,MD95-2011,NA,1.77,332.5
1.55,-2696,NA,MD95-2011,NA,1.92,333.5
1.29,-2712,NA,MD95-2011,NA,1.97,334.5
1.54,-2729,NA,MD95-2011,NA,2.26,335.5
1.44,-2745,NA,MD95-2011,NA,2.1,336.5
1.59,-2761,NA,MD95-2011,NA,2.22,337.5
1.46,-2778,NA,MD95-2011,NA,1.96,338.5
1.41,-2794,NA,MD95-2011,NA,2.09,339.5
1.58,-2810,NA,MD95-2011,NA,2.21,340.5
1.52,-2827,NA,MD95-2011,NA,NA,341.5
1.38,-2843,NA,MD95-2011,NA,2.09,342.5
1.29,-2859,NA,MD95-2011,NA,2.09,343.5
1.36,-2876,NA,MD95-2011,NA,2.06,344.5
1.58,-2892,NA,MD95-2011,NA,2.35,345.5
1.28,-2908,NA,MD95-2011,NA,2.13,346.5
1.7,-2925,NA,MD95-2011,NA,2.1,347.5
1.64,-2941,NA,MD95-2011,NA,2.12,348.5
1.63,-2957,NA,MD95-2011,NA,2.05,349.5
1.57,-2973,NA,MD95-2011,NA,2.56,350.5
1.59,-2990,NA,MD95-2011,NA,2.26,351.5
1.47,-3006,NA,MD95-2011,NA,2.05,352.5
1.44,-3022,NA,MD95-2011,NA,2.09,353.5
1.37,-3039,NA,MD95-2011,NA,2.06,354.5
1.61,-3055,NA,MD95-2011,NA,2.09,355.5
1.54,-3071,NA,MD95-2011,NA,2.13,356.5
1.41,-3088,NA,MD95-2011,NA,1.96,357.5
1.6,-3104,NA,MD95-2011,NA,2.05,358.5
1.61,-3120,NA,MD95-2011,NA,2.05,359.5
1.75,-3137,NA,MD95-2011,NA,2.43,360.5
1.36,-3153,NA,MD95-2011,NA,1.95,361.5
1.34,-3169,NA,MD95-2011,NA,2,362.5
1.38,-3186,NA,MD95-2011,NA,2.08,363.5
1.36,-3202,NA,MD95-2011,NA,2.03,364.5
1.68,-3218,NA,MD95-2011,NA,2.28,365.5
1.56,-3234,NA,MD95-2011,NA,2.02,366.5
1.43,-3251,NA,MD95-2011,NA,2.21,367.5
1.53,-3267,NA,MD95-2011,NA,1.99,368.5
1.42,-3283,NA,MD95-2011,NA,2.02,369.5
1.69,-3300,NA,MD95-2011,NA,2.08,370.5
1.47,-3316,NA,MD95-2011,NA,2.04,371.5
1.32,-3332,NA,MD95-2011,NA,2.1,372.5
1.56,-3349,NA,MD95-2011,NA,1.91,373.5
1.55,-3365,NA,MD95-2011,NA,1.96,374.5
NA,-3381,NA,MD95-2011,NA,1.98,375.5
1.42,-3398,NA,MD95-2011,NA,2.05,376.5
1.38,-3414,NA,MD95-2011,NA,1.99,377.5
1.4,-3430,NA,MD95-2011,NA,2.05,378.5
1.41,-3447,NA,MD95-2011,NA,1.91,379.5
1.34,-3463,NA,MD95-2011,NA,2.26,380.5
1.28,-3479,NA,MD95-2011,NA,2.07,381.5
1.34,-3496,NA,MD95-2011,NA,2.03,382.5
1.32,-3512,NA,MD95-2011,NA,2.05,383.5
1.51,-3528,NA,MD95-2011,NA,1.94,384.5
1.27,-3544,NA,MD95-2011,NA,2.03,385.5
1.6,-3561,NA,MD95-2011,NA,2,386.5
1.62,-3577,NA,MD95-2011,NA,1.85,387.5
1.79,-3593,NA,MD95-2011,NA,1.93,388.5
1.35,-3610,NA,MD95-2011,NA,1.85,389.5
1.54,-3626,NA,MD95-2011,NA,1.94,390.5
1.51,-3642,NA,MD95-2011,NA,2.01,391.5
1.39,-3659,NA,MD95-2011,NA,2,392.5
1.63,-3675,NA,MD95-2011,NA,2.05,393.5
1.38,-3691,NA,MD95-2011,NA,2.02,394.5
1.64,-3708,NA,MD95-2011,NA,2.12,395.5
1.54,-3724,NA,MD95-2011,NA,2,396.5
1.65,-3740,NA,MD95-2011,NA,1.86,397.5
1.45,-3757,NA,MD95-2011,NA,2,398.5
1.6,-3773,NA,MD95-2011,NA,1.93,399.5
1.57,-3789,NA,MD95-2011,NA,2.12,400.5
NA,-3806,NA,MD95-2011,NA,NA,401.5
NA,-3822,NA,MD95-2011,NA,NA,402.5
1.43,-3838,NA,MD95-2011,NA,2.01,403.5
1.75,-3854,NA,MD95-2011,NA,2.09,404.5
1.59,-3871,NA,MD95-2011,NA,2.11,405.5
1.47,-3887,NA,MD95-2011,NA,1.98,406.5
1.52,-3903,NA,MD95-2011,NA,2.02,407.5
1.33,-3920,NA,MD95-2011,NA,2.16,408.5
1.27,-3936,NA,MD95-2011,NA,2.09,409.5
1.48,-3952,NA,MD95-2011,NA,2.36,410.5
1.41,-3969,NA,MD95-2011,NA,1.98,411.5
1.55,-3985,NA,MD95-2011,NA,2.04,412.5
1.22,-4018,NA,MD95-2011,NA,2.12,414.5
1.54,-4034,NA,MD95-2011,NA,2.12,415.5
1.21,-4050,NA,MD95-2011,NA,2.05,416.5
1.51,-4067,NA,MD95-2011,NA,2.21,417.5
1.37,-4083,NA,MD95-2011,NA,2.19,418.5
1.26,-4099,NA,MD95-2011,NA,2.1,419.5
1.59,-4116,NA,MD95-2011,NA,2.09,420.5
1.35,-4132,NA,MD95-2011,NA,1.82,421.5
1.32,-4148,NA,MD95-2011,NA,2.06,422.5
1.43,-4164,NA,MD95-2011,NA,1.92,423.5
1.49,-4181,NA,MD95-2011,NA,1.97,424.5
1.82,-4197,NA,MD95-2011,NA,2.25,425.5
1.58,-4213,NA,MD95-2011,NA,2.09,426.5
1.52,-4230,NA,MD95-2011,NA,2.09,427.5
1.43,-4246,NA,MD95-2011,NA,2.13,428.5
1.52,-4262,NA,MD95-2011,NA,2.01,429.5
1.66,-4279,NA,MD95-2011,NA,1.98,430.5
1.37,-4295,NA,MD95-2011,NA,2.09,431.5
1.24,-4311,NA,MD95-2011,NA,2.14,432.5
1.36,-4328,NA,MD95-2011,NA,2.18,433.5
1.34,-4344,NA,MD95-2011,NA,2.24,434.5
1.58,-4360,NA,MD95-2011,NA,2.06,435.5
1.39,-4377,NA,MD95-2011,NA,1.92,436.5
1.38,-4393,NA,MD95-2011,NA,1.87,437.5
1.37,-4409,NA,MD95-2011,NA,2,438.5
1.34,-4425,NA,MD95-2011,NA,2.02,439.5
1.69,-4442,NA,MD95-2011,NA,2.28,440.5
1.48,-4458,NA,MD95-2011,NA,2.07,441.5
1.47,-4474,NA,MD95-2011,NA,2.12,442.5
1.4,-4491,NA,MD95-2011,NA,2.1,443.5
1.36,-4507,NA,MD95-2011,NA,1.94,444.5
1.9,-4523,NA,MD95-2011,NA,2.26,445.5
1.32,-4540,NA,MD95-2011,NA,2.09,446.5
1.32,-4556,NA,MD95-2011,NA,2.16,447.5
1.46,-4572,NA,MD95-2011,NA,2.06,448.5
1.41,-4589,NA,MD95-2011,NA,2.06,449.5
1.8,-4605,NA,MD95-2011,NA,2.23,450.5
1.47,-4621,NA,MD95-2011,NA,2,451.5
1.56,-4638,NA,MD95-2011,NA,2.2,452.5
1.35,-4654,NA,MD95-2011,NA,2.08,453.5
1.51,-4670,NA,MD95-2011,NA,2.21,454.5
