year (AD),depth (cm),d18O (permil),d18O (permil),d18O (permil),d18O (permil),core (unitless)
1648,1.9,NA,1.22,NA,0.47,POS287_06-3G
1646,1.91,NA,1.17,0.93,1.13,POS287_06-3G
1639,1.95,NA,0.9,0.71,1.2,POS287_06-3G
1630,2,NA,0.76,NA,0.65,POS287_06-3G
1629,2,NA,NA,0.76,NA,POS287_06-3G
1620,2.05,NA,0.82,0.85,1.08,POS287_06-3G
1611,2.1,NA,NA,NA,0.68,POS287_06-3G
1602,2.15,NA,NA,NA,0.47,POS287_06-3G
1593,2.2,NA,NA,NA,0.45,POS287_06-3G
1591,2.21,NA,0.91,NA,1.09,POS287_06-3G
1583,2.25,NA,NA,NA,0.3,POS287_06-3G
1574,2.3,NA,NA,0.69,0.79,POS287_06-3G
1572,2.31,NA,1,0.84,0.41,POS287_06-3G
1537,2.5,NA,0.81,NA,NA,POS287_06-3G
1528,2.55,NA,NA,NA,0.91,POS287_06-3G
1519,2.6,NA,NA,NA,1.29,POS287_06-3G
1509,2.65,NA,0.91,NA,0.53,POS287_06-3G
1500,2.7,NA,NA,0.83,0.2,POS287_06-3G
1491,2.75,NA,1.08,1.31,1.12,POS287_06-3G
1481,2.8,NA,0.58,0.8,0.67,POS287_06-3G
1480,2.81,NA,0.7,NA,0.76,POS287_06-3G
1479,2.81,NA,NA,0.66,NA,POS287_06-3G
1472,2.85,NA,1.45,0.89,0.41,POS287_06-3G
1463,2.9,NA,0.76,0.8,0.56,POS287_06-3G
1454,2.95,NA,0.66,0.69,1.42,POS287_06-3G
1444,3,NA,0.75,0.97,0.16,POS287_06-3G
1435,3.05,NA,0.75,0.77,0.33,POS287_06-3G
1426,3.1,NA,1.43,0.86,0.63,POS287_06-3G
1417,3.15,NA,1.04,NA,0.5,POS287_06-3G
1416,3.15,NA,NA,0.9,NA,POS287_06-3G
1407,3.2,NA,0.94,0.91,0.5,POS287_06-3G
1398,3.25,NA,1.06,0.82,0.61,POS287_06-3G
1389,3.3,NA,0.95,0.79,0.16,POS287_06-3G
1380,3.35,NA,0.64,NA,0.68,POS287_06-3G
1379,3.35,NA,NA,0.71,NA,POS287_06-3G
1370,3.4,NA,0.91,0.73,0.74,POS287_06-3G
1361,3.45,NA,1.08,0.78,0.5,POS287_06-3G
1352,3.5,NA,0.67,0.89,0.53,POS287_06-3G
1350,3.51,NA,1,0.91,0.17,POS287_06-3G
1343,3.55,NA,0.84,NA,0.5,POS287_06-3G
1342,3.55,NA,NA,0.84,NA,POS287_06-3G
1333,3.6,NA,1.02,0.76,0.68,POS287_06-3G
1324,3.65,NA,0.77,0.79,0.61,POS287_06-3G
1315,3.7,NA,0.79,0.7,0.27,POS287_06-3G
1306,3.75,NA,0.99,NA,-0.21,POS287_06-3G
1305,3.75,NA,NA,0.71,NA,POS287_06-3G
1296,3.8,NA,0.74,0.83,0.55,POS287_06-3G
1287,3.85,NA,0.68,0.8,0.07,POS287_06-3G
1278,3.9,NA,0.55,0.9,0.78,POS287_06-3G
1269,3.95,NA,0.74,NA,0.49,POS287_06-3G
1268,3.95,NA,NA,0.79,NA,POS287_06-3G
1261,3.99,NA,0.81,0.76,0.38,POS287_06-3G
1259,4,NA,0.88,0.79,NA,POS287_06-3G
1257,4.01,NA,0.87,0.58,0.64,POS287_06-3G
1250,4.05,NA,0.79,0.8,0.04,POS287_06-3G
1241,4.1,NA,1.03,0.68,0.75,POS287_06-3G
1231,4.15,NA,0.81,0.77,0.57,POS287_06-3G
1226,4.18,NA,0.61,0.77,0.13,POS287_06-3G
1224,4.19,NA,0.79,0.73,0.59,POS287_06-3G
1222,4.2,NA,0.72,0.75,0.57,POS287_06-3G
1222,4.2,NA,0.9,NA,NA,POS287_06-3G
1213,4.25,NA,0.92,0.61,0.83,POS287_06-3G
1204,4.3,NA,NA,0.68,0.41,POS287_06-3G
1194,4.35,NA,1.2,NA,0.31,POS287_06-3G
1185,4.4,NA,0.67,0.91,0.59,POS287_06-3G
1176,4.45,NA,0.74,0.71,0.56,POS287_06-3G
1169,4.49,NA,0.77,NA,0.43,POS287_06-3G
1168,4.49,NA,NA,0.77,NA,POS287_06-3G
1167,4.5,NA,NA,NA,1.46,POS287_06-3G
1166,4.5,NA,NA,1.08,NA,POS287_06-3G
1165,4.51,NA,0.93,0.78,0.56,POS287_06-3G
1157,4.55,NA,NA,0.8,0.6,POS287_06-3G
1148,4.6,NA,NA,0.61,0.64,POS287_06-3G
1139,4.65,NA,0.79,0.77,0.54,POS287_06-3G
1130,4.7,NA,0.65,NA,-0.18,POS287_06-3G
1129,4.7,NA,NA,0.83,NA,POS287_06-3G
1120,4.75,NA,1.27,0.74,0.63,POS287_06-3G
1111,4.8,NA,0.73,0.9,NA,POS287_06-3G
1102,4.85,NA,0.94,0.8,NA,POS287_06-3G
1083,4.95,NA,0.8,0.98,1.39,POS287_06-3G
