year (AD) [1-1],d18O (permil) [1-1],year (AD) [1-2],d18O (permil) [1-2],year (AD) [1-3],d18O (permil) [1-3],year (AD) [1-4],d18O (permil) [1-4],year (AD) [1-5],d18O (permil) [1-5],year (AD) [1-6],d18O (permil) [1-6],year (AD) [1-7],d18O (permil) [1-7],year (AD) [1-8],d18O (permil) [1-8],year (AD) [1-9],d18O (permil) [1-9],year (AD) [1-10],d18O (permil) [1-10],year (AD) [1-11],d18O (permil) [1-11],year (AD) [1-12],depth (cm) [1-12],d18O (permil) [1-12]
1997.2,-5.13,929.461,-4.56,1150.335,-4.892,1318.3665,-4.81,1399.704125,-4.93,1406.3098,-4.48,1413.021143,-4.68,1328.1964,-5.005,1635.8665,-4.9,1654.126615,-4.79,1665.890556,-4.79,1887.14,NA,-5.62
1997.13,-5.2,929.5555,-4.53,1150.398,-4.793,1318.437375,-4.9,1399.75825,-4.89,1406.4232,-4.53,1413.083,-4.58,1328.3098,-4.945,1635.920625,-4.78,1654.170231,-4.87,1665.938667,-4.87,1887.21,NA,-5.54
1997.04,-5.18,929.65,-4.61,1150.461,-4.75,1318.50825,-4.8,1399.812375,-4.96,1406.5366,-4.63,1413.146,-4.58,1328.4232,-5.145,1635.97475,-4.74,1654.213846,-5.05,1665.986778,-4.87,1887.27,NA,-5.52
1996.96,-5.21,929.75825,-4.51,1150.524,-4.918,1318.579125,-4.89,1399.8665,-5.05,1406.65,-4.75,1413.209,-4.63,1328.5366,-5.115,1636.028875,-4.62,1654.257462,-4.95,1666.034889,-4.83,1887.33,NA,-5.35
1996.88,-5.2,929.8665,-4.58,1150.587,-4.965,1318.65,-4.95,1399.920625,-5.26,1406.704125,-4.74,1413.272,-4.68,1328.65,-5.235,1636.083,-4.61,1654.301077,-4.62,1666.083,-4.74,1887.4,NA,-5.42
1996.79,-5.27,929.97475,-4.57,1150.65,-4.982,1318.711857,-4.75,1399.97475,-4.97,1406.75825,-4.67,1413.335,-4.59,1328.75825,-4.965,1636.1397,-4.68,1654.344692,-4.81,1666.126615,-4.78,1887.46,NA,-5.38
1996.71,-5.35,930.083,-4.52,1150.722167,-4.84,1318.773714,-4.72,1400.028875,-4.82,1406.812375,-4.64,1413.398,-4.63,1328.8665,-5.005,1636.1964,-4.75,1654.388308,-4.5,1666.170231,-4.84,1887.52,NA,-5.19
1996.62,-5.34,930.22475,-4.58,1150.794333,-4.866,1318.835571,-4.65,1400.083,-4.7,1406.8665,-4.63,1413.461,-4.67,1328.97475,-5.035,1636.2531,-4.76,1654.431923,-4.58,1666.213846,-4.83,1887.59,NA,-5.12
1996.54,-5.33,930.3665,-4.68,1150.8665,-4.905,1318.897429,-4.67,1400.1397,-4.83,1406.920625,-4.6,1413.524,-4.64,1329.083,-5.015,1636.3098,-4.62,1654.475538,-4.44,1666.257462,-4.86,1887.65,NA,-5.18
1996.46,-5.39,930.50825,-4.65,1150.938667,-4.833,1318.959286,-4.67,1400.1964,-4.72,1406.97475,-4.56,1413.587,-4.7,1329.153875,-5.245,1636.3665,-4.69,1654.519154,-4.55,1666.301077,-4.83,1887.7,NA,-5.29
1996.37,-5.34,930.65,-4.91,1151.010833,-4.729,1319.021143,-4.63,1400.2531,-4.79,1407.028875,-4.54,1413.65,-4.75,1329.22475,-5.105,1636.4232,-4.84,1654.562769,-4.53,1666.344692,-4.95,1887.75,NA,-5.12
1996.29,-5.08,930.7118571,-4.9,1151.083,-4.696,1319.083,-4.61,1400.3098,-4.83,1407.083,-4.52,1413.711857,-4.66,1329.295625,-5.145,1636.4799,-4.71,1654.606385,-4.54,1666.388308,-4.9,1887.79,NA,-5.21
1996.21,-5.21,930.7737143,-4.82,1151.146,-4.735,1319.164,-4.76,1400.3665,-5.09,1407.1775,-4.62,1413.773714,-4.63,1329.3665,-5.235,1636.5366,-4.77,1654.65,-4.62,1666.431923,-5.06,1887.84,NA,-5.24
1996.13,-5.04,930.8355714,-4.75,1151.209,-4.703,1319.245,-4.82,1400.4232,-4.98,1407.272,-4.56,1413.835571,-4.65,1329.437375,-5.175,1636.5933,-4.87,1654.722167,-4.54,1666.475538,-5.08,1887.89,NA,-5.15
1996.04,-5.03,930.8974286,-4.74,1151.272,-4.72,1319.326,-4.81,1400.4799,-4.84,1407.3665,-4.71,1413.897429,-4.68,1329.50825,-5.245,1636.65,-4.96,1654.794333,-4.64,1666.519154,-5,1887.94,NA,-5.28
1995.96,-4.98,930.9592857,-4.73,1151.335,-4.663,1319.407,-4.84,1400.5366,-4.92,1407.461,-4.7,1413.959286,-4.54,1329.579125,-5.235,1636.704125,-4.91,1654.8665,-4.73,1666.562769,-4.91,1887.98,NA,-5.35
1995.87,-5.02,931.0211429,-4.73,1151.398,-4.709,1319.488,-4.76,1400.5933,-5.23,1407.5555,-4.71,1414.021143,-4.58,1329.65,-5.365,1636.75825,-4.83,1654.938667,-4.58,1666.606385,-5.03,1888.03,NA,-5.34
1995.79,-5.01,931.083,-4.64,1151.461,-4.78,1319.569,-4.72,1400.65,-5.34,1407.65,-4.79,1414.083,-4.5,1329.75825,-5.245,1636.812375,-4.97,1655.010833,-4.66,1666.65,-5.17,1888.08,NA,-5.34
1995.71,-5.02,931.153875,-4.72,1151.524,-4.714,1319.65,-4.86,1400.711857,-5.22,1407.711857,-4.7,1414.146,-4.51,1329.8665,-5.165,1636.8665,-5.09,1655.083,-4.55,1666.711857,-5.08,1888.22,NA,-5.33
1995.62,-5.23,931.22475,-4.73,1151.587,-4.789,1319.711857,-4.81,1400.773714,-4.99,1407.773714,-4.59,1414.209,-4.56,1329.97475,-5.035,1636.920625,-5.02,1655.146,-4.63,1666.773714,-5.07,1888.37,NA,-5.32
1995.54,-5.25,931.295625,-4.83,1151.65,-4.786,1319.773714,-4.88,1400.835571,-5,1407.835571,-4.58,1414.272,-4.51,1330.083,-4.905,1636.97475,-4.91,1655.209,-4.6,1666.835571,-4.92,1888.51,NA,-5.42
1995.46,-5.3,931.3665,-4.78,1151.7366,-4.737,1319.835571,-4.71,1400.897429,-4.95,1407.897429,-4.63,1414.335,-4.55,1330.1964,-4.995,1637.028875,-4.74,1655.272,-4.75,1666.897429,-4.9,1888.65,NA,-5.35
1995.37,-5.35,931.437375,-4.64,1151.8232,-4.628,1319.897429,-4.76,1400.959286,-4.888,1407.959286,-4.68,1414.398,-4.6,1330.3098,-5.045,1637.083,-4.67,1655.335,-4.91,1666.959286,-4.92,1888.74,NA,-5.22
1995.29,-5.16,931.50825,-4.68,1151.9098,-4.563,1319.959286,-4.74,1401.021143,-4.872,1408.021143,-4.59,1414.461,-4.65,1330.4232,-4.955,1637.126615,-4.78,1655.398,-5.08,1667.021143,-4.94,1888.82,NA,-4.95
1995.2,-5.28,931.579125,-4.73,1151.9964,-4.557,1320.021143,-4.75,1401.083,-4.87,1408.083,-4.51,1414.524,-4.51,1330.5366,-4.935,1637.170231,-4.86,1655.461,-4.81,1667.083,-4.87,1888.91,NA,-5.22
1995.13,-5.2,931.65,-4.78,1152.083,-4.555,1320.083,-4.67,1401.1964,-5.029,1408.153875,-4.68,1414.587,-4.56,1330.65,-4.945,1637.213846,-4.9,1655.524,-5.08,1667.1397,-4.89,1888.99,NA,-5.01
1995.04,-5.39,931.704125,-4.72,1152.1775,-4.562,1320.146,-4.73,1401.3098,-5.091,1408.22475,-4.56,1414.65,-4.59,1330.794333,-4.855,1637.257462,-4.79,1655.587,-5.08,1667.1964,-4.95,1889.08,NA,-5.1
1994.96,-5.58,931.75825,-4.71,1152.272,-4.619,1320.209,-4.82,1401.4232,-5.217,1408.295625,-4.6,1414.698111,-4.55,1330.938667,-4.775,1637.301077,-4.96,1655.65,-5.28,1667.2531,-5.01,1889.37,NA,-5.01
1994.87,-5.63,931.812375,-4.65,1152.3665,-4.652,1320.272,-4.82,1401.5366,-4.907,1408.3665,-4.63,1414.746222,-4.56,1331.083,-4.755,1637.344692,-5.08,1655.689364,-5.13,1667.3098,-5.06,1889.65,NA,-4.91
1994.79,-5.68,931.8665,-4.62,1152.461,-4.581,1320.335,-4.86,1401.65,-5.141,1408.437375,-4.63,1414.794333,-4.51,1331.1964,-4.795,1637.388308,-5.11,1655.728727,-4.97,1667.3665,-5.12,1889.7,NA,-5.04
1994.71,-5.49,931.920625,-4.71,1152.5555,-4.598,1320.398,-4.93,1401.7366,-5.017,1408.50825,-4.65,1414.842444,-4.53,1331.3098,-4.685,1637.431923,-5.1,1655.768091,-5.06,1667.4232,-5.13,1889.76,NA,-5.12
1994.62,-5.53,931.97475,-4.68,1152.65,-4.639,1320.461,-4.79,1401.8232,-4.997,1408.579125,-4.71,1414.890556,-4.5,1331.4232,-4.575,1637.475538,-5.09,1655.807455,-5.03,1667.4799,-5.16,1889.81,NA,-4.95
1994.54,-5.57,932.028875,-4.62,1152.689364,-4.617,1320.524,-4.84,1401.9098,-4.802,1408.65,-4.81,1414.938667,-4.4,1331.5366,-4.675,1637.519154,-5.18,1655.846818,-4.88,1667.5366,-5.24,1889.87,NA,-5.06
1994.46,-5.38,932.083,-4.58,1152.728727,-4.624,1320.587,-4.92,1401.9964,-4.907,1408.7366,-4.677,1414.986778,-4.45,1331.65,-4.715,1637.562769,-5.07,1655.886182,-4.91,1667.5933,-5.33,1889.92,NA,-5
1994.37,-5.21,932.1345455,-4.61,1152.768091,-4.571,1320.65,-4.94,1402.083,-4.712,1408.8232,-4.66,1415.034889,-4.48,1331.7366,-4.625,1637.606385,-5.27,1655.925545,-4.98,1667.65,-5.38,1889.97,NA,-5.07
1994.29,-5.07,932.1860909,-4.73,1152.807455,-4.599,1320.7366,-4.82,1402.1775,-4.816,1408.9098,-4.646,1415.083,-4.28,1331.8232,-4.575,1637.65,-5.35,1655.964909,-4.88,1667.704125,-5.33,1890.03,NA,-5
1994.2,-5.07,932.2376364,-4.66,1152.846818,-4.655,1320.8232,-4.85,1402.272,-4.908,1408.9964,-4.66,1415.13025,-4.4,1331.9098,-4.665,1637.704125,-5.3,1656.004273,-4.9,1667.75825,-5.23,1890.08,NA,-5.06
1994.13,-5.16,932.2891818,-4.66,1152.886182,-4.588,1320.9098,-4.75,1402.3665,-4.939,1409.083,-4.442,1415.1775,-4.45,1331.9964,-4.715,1637.75825,-5.28,1656.043636,-5,1667.812375,-5.15,1890.18,NA,-5.05
1994.04,-5.21,932.3407273,-4.71,1152.925545,-4.522,1320.9964,-4.82,1402.461,-4.883,1409.1397,-4.542,1415.22475,-4.42,1332.083,-4.645,1637.812375,-5.27,1656.083,-4.83,1667.8665,-5.04,1890.27,NA,-5.02
1993.96,-5.4,932.3922727,-4.73,1152.964909,-4.472,1321.083,-4.7,1402.5555,-4.97,1409.1964,-4.697,1415.272,-4.47,1332.1775,-4.565,1637.8665,-5.14,1656.164,-4.86,1667.920625,-5.02,1890.37,NA,-5.07
1993.88,-5.43,932.4438182,-4.91,1153.004273,-4.525,1321.1397,-4.79,1402.65,-4.967,1409.2531,-4.792,1415.31925,-4.59,1332.272,-4.785,1637.920625,-5.16,1656.245,-4.88,1667.97475,-4.91,1890.46,NA,-5.09
1993.79,-5.52,932.4953636,-4.97,1153.043636,-4.468,1321.1964,-4.78,1402.794333,-4.869,1409.3098,-4.684,1415.3665,-4.57,1332.3665,-4.805,1637.97475,-5.13,1656.326,-4.93,1668.028875,-4.86,1890.56,NA,-5.23
1993.71,-5.66,932.5469091,-5,1153.083,-4.392,1321.2531,-4.78,1402.938667,-4.898,1409.3665,-4.864,1415.41375,-4.59,1332.461,-5.055,1638.028875,-5.16,1656.407,-5,1668.083,-4.76,1890.65,NA,-5.23
1993.62,-5.55,932.5984545,-5.01,1153.1397,-4.457,1321.3098,-4.82,1403.083,-4.866,1409.4232,-4.691,1415.461,-4.56,1332.5555,-4.935,1638.083,-5.08,1656.488,-5,1668.1964,-4.89,1890.72,NA,-5.29
1993.54,-5.36,932.65,-5.02,1153.1964,-4.516,1321.3665,-4.85,1403.1964,-4.877,1409.4799,-4.852,1415.50825,-4.61,1332.65,-4.895,1638.164,-5.22,1656.569,-4.9,1668.3098,-4.86,1890.79,NA,-5.27
1993.46,-5.19,932.6933,-4.95,1153.2531,-4.542,1321.4232,-4.83,1403.3098,-5.017,1409.5366,-4.928,1415.5555,-4.65,1332.711857,-4.785,1638.245,-5.21,1656.65,-5.08,1668.4232,-4.86,1890.86,NA,-5.21
1993.37,-5.1,932.7366,-4.77,1153.3098,-4.542,1321.4799,-4.88,1403.4232,-5.046,1409.5933,-4.85,1415.60275,-4.58,1332.773714,-4.695,1638.326,-5.13,1656.698111,-4.87,1668.5366,-4.88,1890.94,NA,-5.25
1993.29,-5.09,932.7799,-4.71,1153.3665,-4.649,1321.5366,-5.03,1403.5366,-5.155,1409.65,-4.949,1415.65,-4.68,1332.835571,-4.675,1638.407,-5.2,1656.746222,-4.88,1668.65,-4.93,1891.01,NA,-5.27
1993.2,-5.08,932.8232,-4.77,1153.4232,-4.603,1321.5933,-5.07,1403.65,-5.042,1409.722167,-4.869,1415.711857,-4.67,1332.897429,-4.845,1638.488,-5.26,1656.794333,-4.89,1668.698111,-4.88,1891.08,NA,-5.35
1993.13,-5.17,932.8665,-4.74,1153.4799,-4.716,1321.65,-5.08,1403.722167,-4.955,1409.794333,-4.903,1415.773714,-4.7,1332.959286,-4.945,1638.569,-5.28,1656.842444,-4.91,1668.746222,-4.79,1891.15,NA,-5.28
1993.04,-5.35,932.9098,-4.75,1153.5366,-4.741,1321.711857,-4.96,1403.794333,-5.023,1409.8665,-4.966,1415.835571,-4.7,1333.021143,-4.795,1638.65,-5.33,1656.890556,-4.96,1668.794333,-4.8,1891.22,NA,-5.38
1992.96,-5.18,932.9531,-4.74,1153.5933,-4.736,1321.773714,-4.93,1403.8665,-4.848,1409.938667,-4.857,1415.897429,-4.61,1333.083,-4.645,1638.7366,-5.32,1656.938667,-4.94,1668.842444,-4.95,1891.29,NA,-5.33
1992.88,-5.32,932.9964,-4.74,1153.65,-4.749,1321.835571,-4.79,1403.938667,-5.04,1410.010833,-4.81,1415.959286,-4.55,1333.164,-4.945,1638.8232,-5.21,1656.986778,-4.86,1668.890556,-4.7,1891.37,NA,-5.4
1992.79,-5.27,933.0397,-4.7,1153.6933,-4.686,1321.897429,-4.76,1404.010833,-4.826,1410.083,-4.718,1416.021143,-4.6,1333.245,-4.955,1638.9098,-5.22,1657.034889,-4.79,1668.938667,-4.77,1891.44,NA,-5.17
1992.71,-5.24,933.083,-4.63,1153.7366,-4.668,1321.959286,-4.7,1404.083,-4.735,1410.153875,-4.716,1416.083,-4.53,1333.326,-5.015,1638.9964,-5,1657.083,-4.73,1668.986778,-4.72,1891.51,NA,-5.15
1992.62,-5.31,933.1775,-4.66,1153.7799,-4.742,1322.021143,-4.63,1404.1775,-4.864,1410.22475,-4.819,1416.13025,-4.56,1333.407,-4.945,1639.083,-4.86,1657.1235,-4.83,1669.034889,-4.78,1891.58,NA,-5.29
1992.54,-5.45,933.272,-4.65,1153.8232,-4.653,1322.083,-4.54,1404.272,-4.859,1410.295625,-4.856,1416.1775,-4.61,1333.488,-4.815,1639.1964,-4.89,1657.164,-4.81,1669.083,-4.66,1891.65,NA,-5.19
1992.46,-5.24,933.3665,-4.81,1153.8665,-4.699,1322.1964,-4.67,1404.3665,-4.806,1410.3665,-5.003,1416.22475,-4.66,1333.569,-4.895,1639.3098,-4.93,1657.2045,-4.83,1669.1775,-4.71,1891.74,NA,-5.3
1992.37,-5.18,933.461,-4.98,1153.9098,-4.698,1322.3098,-4.63,1404.461,-4.81,1410.437375,-5.001,1416.272,-4.62,1333.65,-4.895,1639.4232,-4.89,1657.245,-4.74,1669.272,-4.73,1891.82,NA,-5.58
1992.29,-5.2,933.5555,-5.06,1153.9531,-4.609,1322.4232,-4.72,1404.5555,-4.731,1410.50825,-4.976,1416.31925,-4.68,1333.722167,-4.985,1639.5366,-4.87,1657.2855,-4.76,1669.3665,-4.65,1891.91,NA,-5.59
1992.21,-5.18,933.65,-5.23,1153.9964,-4.591,1322.5366,-4.68,1404.65,-4.791,1410.579125,-4.941,1416.3665,-4.79,1333.794333,-5.045,1639.65,-4.96,1657.326,-4.77,1669.461,-4.82,1891.99,NA,-5.66
1992.13,-5.1,933.6860833,-5.21,1154.0397,-4.598,1322.65,-4.75,1404.7366,-4.84,1410.65,-4.94,1416.41375,-4.76,1333.8665,-4.985,1639.698111,-4.94,1657.3665,-4.85,1669.5555,-4.83,1892.08,NA,-5.68
1992.04,-5.17,933.7221667,-5.19,1154.083,-4.558,1322.704125,-4.72,1404.8232,-4.77,1410.7366,-5.005,1416.461,-4.8,1333.938667,-4.885,1639.746222,-4.87,1657.407,-4.95,1669.65,-4.9,1892.22,NA,-5.48
1991.96,-5.32,933.75825,-5.15,1154.146,-4.667,1322.75825,-4.65,1404.9098,-4.74,1410.8232,-5.096,1416.50825,-4.79,1334.010833,-4.655,1639.794333,-4.83,1657.4475,-5.03,1669.686083,-4.83,1892.37,NA,-5.52
1991.87,-5.46,933.7943333,-5,1154.209,-4.659,1322.812375,-4.53,1404.9964,-4.67,1410.9098,-4.986,1416.5555,-4.76,1334.083,-4.645,1639.842444,-4.74,1657.488,-5.03,1669.722167,-4.83,1892.51,NA,-5.63
1991.79,-5.55,933.8304167,-4.94,1154.272,-4.677,1322.8665,-4.49,1405.083,-4.64,1410.9964,-4.827,1416.60275,-4.81,1334.1775,-4.835,1639.890556,-4.68,1657.5285,-5.15,1669.75825,-4.82,1892.65,NA,-5.4
1991.71,-5.54,933.8665,-4.77,1154.335,-4.592,1322.920625,-4.61,1405.1775,-4.72,1411.083,-4.826,1416.65,-4.96,1334.272,-4.835,1639.938667,-4.62,1657.569,-5.13,1669.794333,-4.74,1892.74,NA,-5.34
1991.62,-5.54,933.9025833,-4.77,1154.398,-4.672,1322.97475,-4.53,1405.272,-4.74,1411.146,-4.97,1416.722167,-4.87,1334.3665,-4.755,1639.986778,-4.77,1657.6095,-5.4,1669.830417,-4.6,1892.82,NA,-5.11
1991.54,-5.39,933.9386667,-4.68,1154.461,-4.686,1323.028875,-4.51,1405.3665,-4.83,1411.209,-4.906,1416.794333,-4.88,1334.461,-4.735,1640.034889,-4.69,1657.65,-5.5,1669.8665,-4.62,1892.91,NA,-5.05
1991.46,-5.41,933.97475,-4.66,1154.524,-4.664,1323.083,-4.48,1405.461,-4.78,1411.272,-4.949,1416.8665,-4.82,1334.5555,-4.875,1640.083,-4.52,1657.722167,-5.25,1669.902583,-4.55,1892.99,NA,-5.07
1991.37,-5.29,934.0108333,-4.64,1154.587,-4.707,1323.1775,-4.54,1405.5555,-4.68,1411.335,-4.913,1416.938667,-4.76,1334.65,-5.035,1640.146,-4.6,1657.794333,-5,1669.938667,-4.53,1893.08,NA,-5.14
1991.29,-5.09,934.0469167,-4.46,1154.65,-4.721,1323.272,-4.57,1405.65,-4.87,1411.398,-4.985,1417.010833,-4.77,1334.75825,-4.965,1640.209,-4.62,1657.8665,-4.97,1669.97475,-4.59,1893.14,NA,-5.25
1991.2,-5.1,934.083,-4.41,1154.6933,-4.613,1323.3665,-4.73,1405.722167,-4.85,1411.461,-5.022,1417.083,-4.75,1334.8665,-5.115,1640.272,-4.66,1657.938667,-5.04,1670.010833,-4.54,1893.19,NA,-5.18
1991.13,-5.12,934.272,-4.46,1154.7366,-4.611,1323.461,-4.59,1405.794333,-4.71,1411.524,-4.926,1417.153875,-4.8,1334.97475,-4.925,1640.335,-4.66,1658.010833,-4.92,1670.046917,-4.52,1893.25,NA,-5.41
1991.04,-5.12,934.461,-4.44,1154.7799,-4.687,1323.5555,-4.63,1405.8665,-4.8,1411.587,-4.955,1417.22475,-4.76,1335.083,-4.645,1640.398,-4.58,1658.083,-4.84,1670.083,-4.5,1893.31,NA,-5.39
1990.96,-5.29,934.65,-4.49,1154.8232,-4.54,1323.65,-4.71,1405.938667,-4.79,1411.65,-5.001,1417.295625,-4.76,1335.1775,-4.655,1640.461,-4.63,1658.134545,-5.02,1670.146,-4.52,1893.37,NA,-5.51
1990.87,-5.44,934.704125,-4.47,1154.8665,-4.621,1323.722167,-4.67,1406.010833,-4.59,1411.704125,-4.954,1417.3665,-4.81,1335.272,-4.825,1640.524,-4.7,1658.186091,-5.14,1670.209,-4.48,1893.42,NA,-5.52
1990.79,-5.43,934.75825,-4.46,1154.9098,-4.574,1323.794333,-4.65,1406.083,-4.6,1411.75825,-4.985,1417.437375,-4.82,1335.3665,-4.905,1640.587,-4.77,1658.237636,-5.17,1670.272,-4.57,1893.48,NA,-5.66
1990.71,-5.36,934.812375,-4.35,1154.9531,-4.649,1323.8665,-4.59,1406.153875,-4.63,1411.812375,-5.012,1417.50825,-4.81,1335.461,-5.005,1640.65,-4.94,1658.289182,-5.13,1670.335,-4.69,1893.54,NA,-5.61
1990.62,-5.44,934.8665,-4.46,1154.9964,-4.597,1323.938667,-4.59,1406.22475,-4.69,1411.8665,-5.103,1417.579125,-4.84,1335.5555,-4.805,1640.6933,-4.9,1658.340727,-5.09,1670.398,-4.72,1893.59,NA,-5.46
1990.54,-5.16,934.920625,-4.31,1155.0397,-4.608,1324.010833,-4.49,1406.295625,-4.75,1411.920625,-5.002,1417.65,-5.06,1335.65,-4.815,1640.7366,-4.83,1658.392273,-4.94,1670.461,-4.79,1893.65,NA,-5.33
1990.46,-5.14,934.97475,-4.52,1155.083,-4.49,1324.083,-4.45,1406.3665,-4.76,1411.97475,-4.966,1417.7366,-4.89,1335.7366,-4.785,1640.7799,-4.78,1658.443818,-4.86,1670.524,-4.78,1893.7,NA,-5.2
1990.37,-5.06,935.028875,-4.66,1155.164,-4.568,1324.164,-4.49,1406.437375,-4.66,1412.028875,-4.876,1417.8232,-4.73,1335.8232,-4.845,1640.8232,-4.75,1658.495364,-4.77,1670.587,-4.77,1893.75,NA,-5.14
1990.29,-5.09,935.083,-4.35,1155.245,-4.577,1324.245,-4.49,1406.50825,-4.67,1412.083,-4.84,1417.9098,-4.71,1335.9098,-4.955,1640.8665,-4.73,1658.546909,-4.75,1670.65,-4.83,1893.79,NA,-5.07
1990.2,-5.03,935.1964,-4.44,1155.326,-4.591,1324.326,-4.54,1406.579125,-4.66,1412.134545,-4.943,1417.9964,-4.75,1335.9964,-4.835,1640.9098,-4.75,1658.598455,-4.85,1670.711857,-4.66,1893.84,NA,-5.08
1990.13,-5.05,935.3098,-4.45,1155.407,-4.604,1324.407,-4.56,1406.65,-4.67,1412.186091,-4.946,1418.083,-4.71,1336.083,-4.635,1640.9531,-4.64,1658.65,-4.86,1670.773714,-4.6,1893.89,NA,-5.13
1990.04,-5,935.4232,-4.62,1155.488,-4.678,1324.488,-4.61,1406.7366,-4.71,1412.237636,-4.83,1418.164,-4.74,1336.153875,-4.665,1640.9964,-4.72,1658.6933,-4.78,1670.835571,-4.55,1893.94,NA,-5.07
1989.96,-5.06,935.5366,-4.6,1155.569,-4.683,1324.569,-4.64,1406.8232,-4.6,1412.289182,-5.062,1418.245,-4.73,1336.22475,-4.695,1641.0397,-4.7,1658.7366,-4.84,1670.897429,-4.65,1893.98,NA,-5.11
1989.88,-5.13,935.65,-4.62,1155.65,-4.7,1324.65,-4.69,1406.9098,-4.61,1412.340727,-4.993,1418.326,-4.73,1336.295625,-4.645,1641.083,-4.63,1658.7799,-4.83,1670.959286,-4.57,1894.03,NA,-5.16
1989.79,-5.04,935.704125,-4.42,1155.6933,-4.621,1324.722167,-4.69,1406.9964,-4.61,1412.392273,-5.136,1418.407,-4.75,1336.3665,-4.735,1641.1397,-4.67,1658.8232,-4.69,1671.021143,-4.53,1894.08,NA,-5.25
