year (AD),Sample ID (unitless),d18O (per mil),Sr/Ca (mmol/mol),d18Osw (per mil)
1986.01,174,-5.09,8.83,-0.15
1985.86,175,-4.78,8.89,-0.04
1985.71,176,NA,9.02,NA
1985.56,177,-4.52,8.98,-0.12
1985.4,178,-4.78,8.84,0.12
1985.25,179,-4.84,8.84,0.08
1984.98,180,NA,8.85,NA
1984.71,181,NA,8.93,NA
1984.44,182,-4.68,8.92,-0.07
1984.17,183,-5.11,8.75,0.13
1983.92,184,-4.54,8.76,0.67
1983.67,185,-4.66,8.9,0.02
1983.42,186,-4.35,8.99,0.02
1983.17,187,-4.76,8.82,0.22
1982.92,188,-4.9,8.84,0.01
1982.67,189,NA,8.97,NA
1982.42,190,-4.52,8.95,-0.02
1982.17,191,-4.93,8.87,-0.14
1981.97,192,-4.67,8.92,-0.03
1981.77,193,-4.55,8.99,-0.16
1981.57,194,-4.63,8.95,-0.11
1981.37,195,-4.89,8.8,0.17
1981.17,196,-5.07,8.78,0.09
1981.02,197,-5,8.82,-0.02
1980.88,198,-4.43,8.93,0.17
1980.74,199,-4.41,8.96,0.07
1980.6,200,-4.49,8.93,0.1
1980.45,201,-4.61,8.87,0.21
1980.31,202,-4.79,8.86,0.06
1980.17,203,-4.83,8.79,0.29
1980.05,204,-4.72,8.82,0.29
1979.93,205,NA,8.86,NA
1979.81,206,NA,8.97,NA
1979.69,207,-4.32,9,0.01
1979.56,208,-4.46,8.99,-0.09
1979.44,209,-4.23,9.01,0.06
1979.32,210,-4.47,8.96,0
1979.2,211,-4.79,8.85,0.07
1979.08,212,-4.85,8.87,-0.03
1978.95,213,-4.7,8.86,0.15
1978.82,214,-4.46,8.93,0.11
1978.69,215,-4.57,8.95,-0.04
1978.56,216,-4.23,8.98,0.17
1978.43,217,-4.43,8.95,0.09
1978.3,218,-4.54,8.89,0.18
1978.17,219,NA,8.86,NA
1977.97,220,-4.27,8.98,0.14
1977.77,221,-4.04,9.06,0.08
1977.57,222,-4.28,8.99,0.07
1977.37,223,-4.47,8.89,0.26
1977.17,224,-4.77,8.85,0.1
1977.07,225,-4.68,8.85,0.18
1976.97,226,-4.52,8.87,0.29
1976.87,227,-4.46,8.9,0.23
1976.77,228,-4.55,8.95,-0.04
1976.67,229,-4.71,8.89,0.02
1976.57,230,-4.6,8.95,-0.07
1976.47,231,-4.37,8.93,0.22
1976.37,232,-4.67,8.88,0.11
1976.27,233,-4.68,8.86,0.16
1976.17,234,-4.78,8.85,0.1
1976.06,235,-4.48,8.97,-0.02
1975.94,236,-4.42,8.99,-0.05
1975.83,237,-4.48,8.98,-0.09
1975.72,238,-4.71,8.9,-0.01
1975.61,239,NA,8.9,NA
1975.5,240,-4.78,8.86,0.07
1975.39,241,NA,8.83,NA
1975.28,242,-4.87,8.83,0.07
1975.17,243,-4.35,8.82,0.65
1975.01,244,-4.44,8.84,0.49
1974.86,245,-4.75,8.86,0.09
1974.7,246,-4.76,8.87,0.03
1974.55,247,-4.88,8.9,-0.18
1974.39,248,-4.53,8.91,0.14
1974.24,249,-4.71,8.84,0.2
1974.08,250,-4.88,8.86,-0.02
1973.96,251,-4.86,8.84,0.07
1973.85,252,NA,9.05,NA
1973.73,253,NA,9.04,NA
1973.61,254,NA,8.98,NA
1973.49,255,NA,8.91,NA
1973.37,256,NA,8.88,NA
1973.25,257,-4.89,8.85,-0.02
1973.03,258,-4.66,8.98,-0.26
1972.82,259,-4.69,8.98,-0.28
1972.6,260,-4.69,8.92,-0.06
1972.38,261,-4.81,8.89,-0.08
1972.17,262,-4.94,8.84,-0.01
1971.97,263,-4.95,8.9,-0.24
1971.77,264,-4.76,8.97,-0.31
1971.57,265,-4.39,9.02,-0.13
1971.37,266,-4.67,8.92,-0.06
1971.17,267,-4.78,8.91,-0.13
1970.86,268,-4.08,9.06,0.03
1970.56,269,-4.42,8.96,0.06
1970.25,270,-4.46,8.93,0.12
1969.89,271,-4.34,9.02,-0.08
1969.53,272,-4.11,9.08,-0.06
1969.17,273,-4.39,8.94,0.17
1968.92,274,-4.09,9.02,0.16
1968.67,275,-4.32,9.05,-0.16
1968.42,276,-4.64,8.94,-0.08
1968.17,277,-4.74,8.89,0.01
1967.9,278,-4.28,8.97,0.18
1967.63,279,-4.08,9.04,0.11
1967.35,280,-4.62,8.97,-0.18
1967.08,281,NA,8.87,NA
1966.81,282,-4.51,8.95,-0.01
1966.53,283,-4.49,8.95,0.02
1966.25,284,-4.73,8.88,0.05
1966.03,285,-4.79,8.8,0.28
1965.82,286,-4.59,8.95,-0.08
1965.6,287,-4.36,9.02,-0.09
1965.38,288,-4.58,8.91,0.09
1965.17,289,-4.99,8.8,0.07
1964.92,290,-4.72,8.82,0.26
1964.67,291,-4.49,8.97,-0.06
1964.42,292,NA,8.95,NA
1964.17,293,-5,8.8,0.05
1964,294,-4.9,8.83,0.07
1963.83,295,-4.79,8.84,0.11
1963.67,296,-4.68,8.93,-0.1
1963.5,297,-4.38,8.96,0.09
1963.33,298,-4.78,8.86,0.05
1963.17,299,-4.79,8.9,-0.09
1963,300,NA,8.86,NA
1962.83,301,-4.88,8.9,-0.18
1962.67,302,-4.65,8.95,-0.15
1962.5,303,-4.68,8.92,-0.04
1962.33,304,-4.93,8.85,-0.06
1962.17,305,NA,8.83,NA
1961.83,306,-4.7,8.89,0.03
1961.5,307,-4.93,8.9,-0.22
1961.17,308,-4.94,8.85,-0.06
1960.83,309,-4.79,8.9,-0.11
1960.5,310,-4.77,8.9,-0.08
1960.17,311,NA,8.82,NA
1959.99,312,-4.54,8.87,0.28
1959.81,313,-4.47,8.94,0.08
1959.63,314,-4.3,9.01,0
1959.44,315,NA,8.99,NA
1959.26,316,-4.75,8.9,-0.07
1959.08,317,-4.74,8.87,0.08
1958.78,318,NA,9.04,NA
1958.47,319,NA,9.05,NA
1958.17,320,NA,NA,NA
1957.97,321,NA,8.82,NA
1957.77,322,-4.59,8.92,0.03
1957.57,323,-4.25,9.03,-0.04
1957.37,324,-4.51,8.98,-0.11
1957.17,325,-4.86,NA,NA
1956.9,326,-4.5,8.93,0.08
1956.63,327,-4.32,8.99,0.04
1956.35,328,NA,8.92,NA
1956.08,329,-4.87,8.81,0.14
1955.83,330,-4.35,8.96,0.12
1955.58,331,-4.27,9,0.07
1955.33,332,-4.3,8.99,0.05
1955.08,333,-4.88,8.87,-0.09
1954.88,334,-4.48,8.94,0.07
1954.67,335,-4.27,8.96,0.2
1954.46,336,-4.48,8.93,0.09
1954.25,337,-4.77,8.8,0.31
1953.98,338,-4.68,8.93,-0.09
1953.71,339,-4.33,8.98,0.09
1953.44,340,NA,8.91,NA
1953.17,341,-4.6,8.83,0.34
1953.01,342,-4.55,8.85,0.32
1952.86,343,-4.5,8.92,0.14
1952.71,344,-4.68,8.92,-0.06
1952.56,345,-4.66,8.88,0.1
1952.4,346,-4.96,8.8,0.11
1952.25,347,NA,8.78,NA
1952.08,348,-4.81,8.8,0.27
1951.92,349,-4.53,8.88,0.23
1951.75,350,-4.71,8.91,-0.03
1951.58,351,-4.73,8.87,0.08
1951.42,352,NA,8.85,NA
1951.25,353,NA,8.79,NA
1951.08,354,-4.87,8.79,0.22
1949.98,355,-4.87,8.88,-0.1
1949.88,356,-4.57,8.9,0.12
1949.78,357,-4.57,8.89,0.17
1949.68,358,-4.55,8.91,0.12
1949.57,359,-4.61,8.93,-0.01
1949.47,360,-4.78,8.86,0.07
1949.37,361,-4.69,8.87,0.12
1949.27,362,-4.99,8.79,0.13
1949.17,363,-4.84,8.74,0.45
1949.03,364,-4.94,8.77,0.25
1948.9,365,-4.71,8.8,0.37
1948.76,366,-4.52,8.88,0.26
1948.63,367,-4.52,8.92,0.1
1948.49,368,-4.45,8.94,0.1
1948.35,369,-4.67,8.92,-0.03
1948.22,370,-4.81,8.83,0.16
1948.08,371,-4.97,8.81,0.04
1947.94,372,-4.68,8.83,0.26
1947.81,373,-4.91,8.87,-0.08
1947.67,374,-4.43,8.97,0.01
1947.53,375,-4.42,9.09,-0.4
1947.39,376,-4.41,8.99,-0.05
1947.25,377,-4.65,8.96,-0.16
1947.08,378,-4.06,9.08,-0.02
1946.92,379,-4.26,9.02,-0.01
1946.75,380,-4.13,9.08,-0.11
1946.58,381,-4.04,9.09,-0.03
1946.42,382,-4.59,8.96,-0.12
1946.25,383,-4.68,8.91,0
1945.98,384,-4.47,9,-0.14
1945.71,385,-4.43,9.03,-0.21
1945.44,386,-4.69,8.89,0.03
1945.17,387,-4.95,8.84,-0.03
1944.98,388,-4.86,8.84,0.07
1944.8,389,-4.74,8.96,-0.28
1944.62,390,-4.51,8.97,-0.08
1944.43,391,-4.83,8.87,-0.01
1944.25,392,-4.96,8.83,0.01
1944.03,393,-4.69,8.93,-0.1
1943.82,394,-4.47,9.02,-0.23
1943.6,395,-4.52,8.98,-0.1
1943.38,396,-4.67,8.94,-0.13
1943.17,397,-4.74,8.87,0.09
1943.02,398,-4.65,8.9,0.06
1942.88,399,-4.6,8.92,0.04
1942.74,400,-4.42,8.95,0.11
1942.6,401,-4.48,8.94,0.07
1942.45,402,-4.53,8.92,0.1
1942.31,403,-4.39,8.92,0.24
1942.17,404,-4.39,8.9,0.33
1942,405,-4.49,8.91,0.16
1941.83,406,-4.33,8.97,0.12
1941.67,407,-4.29,8.98,0.1
1941.5,408,-4.5,8.93,0.09
1941.33,409,-4.71,8.84,0.22
1941.17,410,-4.94,8.8,0.12
1941,411,-4.84,8.8,0.22
1940.83,412,-4.55,8.92,0.08
1940.67,413,-4.5,8.98,-0.09
1940.5,414,-4.53,8.96,-0.05
1940.33,415,-4.68,8.87,0.14
1940.17,416,-4.84,8.81,0.19
1940.06,417,-4.92,8.83,0.04
1939.94,418,-4.73,8.87,0.07
1939.83,419,-4.84,8.9,-0.15
1939.72,420,-4.77,8.91,-0.11
1939.61,421,-4.7,8.96,-0.23
1939.5,422,-4.68,8.97,-0.24
1939.39,423,-4.77,8.92,-0.15
1939.28,424,-4.88,8.89,-0.15
1939.17,425,-4.94,8.82,0.04
1939.01,426,-4.92,8.84,-0.01
1938.86,427,-4.65,8.88,0.11
1938.7,428,-4.6,8.92,0.02
1938.55,429,-4.54,8.95,-0.02
1938.39,430,-4.79,8.89,-0.05
1938.24,431,-4.85,8.85,0.04
1938.08,432,-4.7,8.83,0.24
1937.94,433,-4.69,8.91,-0.02
1937.8,434,-4.6,8.9,0.09
1937.65,435,-4.73,8.92,-0.09
1937.51,436,-4.66,8.9,0.05
1937.37,437,-4.84,8.86,0
1937.23,438,-4.77,8.86,0.08
1937.08,439,-4.83,8.83,0.14
1936.92,440,-4.71,8.88,0.05
1936.75,441,-4.6,8.88,0.16
1936.58,442,-4.75,8.87,0.07
1936.42,443,-4.67,8.84,0.26
1936.25,444,-4.78,8.84,0.15
1936.08,445,-4.74,8.8,0.33
1935.94,446,-4.73,8.9,-0.04
1935.81,447,-4.6,8.92,0.02
1935.67,448,-4.52,8.94,0.04
1935.53,449,-4.55,8.92,0.08
1935.39,450,-4.71,8.84,0.2
1935.25,451,-4.8,8.81,0.23
1935.1,452,-4.94,8.83,0.02
1934.96,453,-4.71,8.88,0.06
1934.81,454,-4.69,8.91,-0.02
1934.67,455,-4.57,8.92,0.05
1934.52,456,-4.78,8.87,0.01
1934.38,457,-4.7,8.89,0.04
1934.23,458,-4.74,8.88,0.05
1934.08,459,-5.12,8.85,-0.22
1933.88,460,-4.76,8.86,0.1
1933.68,461,-4.54,8.94,0.03
1933.48,462,-4.71,8.92,-0.11
1933.28,463,-4.62,8.92,0
1933.08,464,-4.74,8.88,0.04
1932.9,465,-4.58,8.91,0.06
1932.72,466,-4.33,9.03,-0.11
1932.53,467,-4.48,9,-0.15
1932.35,468,-4.71,8.92,-0.09
1932.17,469,-5.14,8.82,-0.14
1931.97,470,-4.51,8.94,0.04
1931.77,471,-4.67,8.97,-0.24
1931.57,472,-4.47,8.99,-0.12
1931.37,473,-4.63,8.89,0.09
1931.17,474,-4.81,8.8,0.27
1930.96,475,-4.17,9.01,0.13
1930.75,476,-4.41,9.02,-0.15
1930.54,477,-4.51,8.93,0.09
1930.33,478,-4.65,8.9,0.06
1930.12,479,-4.37,8.94,0.19
1929.9,480,-4.17,9.03,0.05
1929.68,481,-4.29,9.02,-0.02
1929.47,482,-4.31,8.95,0.19
1929.25,483,-4.57,8.86,0.28
1929.03,484,-4.59,8.92,0.05
1928.82,485,-4.4,8.94,0.15
1928.6,486,-4.41,8.96,0.07
1928.38,487,-4.61,8.91,0.05
1928.17,488,-4.61,8.86,0.25
1927.92,489,-4.34,8.98,0.05
1927.67,490,-4.31,8.99,0.06
1927.42,491,-4.47,8.94,0.09
1927.17,492,-4.67,8.93,-0.07
1926.92,493,-4.44,8.93,0.15
1926.67,494,-4.4,8.99,-0.02
1926.42,495,-4.56,8.93,0.04
1926.17,496,-4.82,8.84,0.1
1925.97,497,-4.71,8.95,-0.21
1925.77,498,-4.17,9.04,0.02
1925.57,499,-4.19,9.03,0.03
1925.37,500,-4.57,8.91,0.09
1925.17,501,-4.63,8.88,0.16
1925,502,-4.6,8.93,-0.01
1924.83,503,-4.58,8.95,-0.05
1924.67,504,-4.51,8.92,0.1
1924.5,505,-4.6,8.89,0.14
1924.33,506,-4.76,8.85,0.13
1924.17,507,-4.99,8.76,0.21
1924.02,508,-4.6,8.8,0.46
1923.88,509,-4.52,8.85,0.37
1923.74,510,-4.67,8.91,-0.01
1923.6,511,-4.36,8.99,0.02
1923.45,512,-4.41,8.97,0.03
1923.31,513,-4.52,8.93,0.06
1923.17,514,-4.65,8.85,0.23
1922.99,515,-4.71,8.89,0.02
1922.81,516,-4.42,8.98,-0.01
1922.63,517,-4.26,9.02,-0.01
1922.44,518,-4.49,9,-0.15
1922.26,519,-4.36,8.93,0.25
1922.08,520,-4.58,8.88,0.17
1921.96,521,-4.45,8.9,0.25
1921.85,522,-4.12,8.9,0.59
1921.73,523,-4.39,8.95,0.14
1921.61,524,-4.52,8.95,0
1921.49,525,-4.3,8.94,0.26
1921.37,526,-4.48,8.9,0.22
1921.25,527,-4.54,8.89,0.18
1921.03,528,-4.34,8.94,0.22
1920.82,529,-4.28,9,0.06
1920.6,530,-4.24,8.97,0.22
1920.38,531,-4.73,8.9,-0.01
1920.17,532,-4.62,8.88,0.15
1919.99,533,-4.58,8.93,-0.01
1919.81,534,-4.4,9.01,-0.11
1919.63,535,-4.36,8.97,0.08
1919.44,536,-4.51,8.92,0.11
1919.26,537,-4.66,8.89,0.09
1919.08,538,-4.76,8.87,0.03
1918.96,539,-4.47,8.89,0.26
1918.85,540,-4.48,8.91,0.19
1918.73,541,-4.5,8.93,0.09
1918.61,542,-4.61,8.92,0.02
1918.49,543,-4.61,8.9,0.07
1918.37,544,-4.77,8.85,0.1
1918.25,545,-4.72,8.83,0.22
1918.13,546,-4.71,8.88,0.06
1918.02,547,-4.7,8.89,0.03
1917.9,548,-4.72,8.89,0.01
1917.78,549,-4.61,8.92,-0.01
1917.67,550,-4.57,8.93,0.03
1917.55,551,-4.49,8.93,0.12
1917.43,552,-4.61,8.88,0.16
1917.32,553,-4.62,8.85,0.27
1917.2,554,-4.65,8.86,0.2
1917.08,555,-4.77,8.83,0.19
1916.93,556,-4.65,8.83,0.31
1916.78,557,-4.57,8.91,0.08
1916.63,558,-4.41,8.93,0.18
1916.47,559,-4.47,8.97,-0.01
1916.32,560,-4.4,8.92,0.24
1916.17,561,-4.73,8.9,-0.01
1916,562,-4.54,8.91,0.13
1915.83,563,-4.5,8.89,0.26
1915.67,564,-4.57,8.87,0.23
1915.5,565,-4.76,8.86,0.07
1915.33,566,-4.97,8.79,0.13
1915.17,567,-4.96,8.76,0.27
1915.02,568,-4.84,8.78,0.29
1914.88,569,-4.9,8.81,0.13
1914.74,570,-4.62,8.84,0.32
1914.6,571,-4.44,8.86,0.4
1914.45,572,-4.39,8.89,0.35
1914.31,573,-4.58,8.88,0.19
1914.17,574,-4.69,8.84,0.21
1913.9,575,-4.68,8.84,0.22
1913.63,576,-4.49,8.92,0.13
1913.35,577,-4.29,8.97,0.17
1913.08,578,-4.37,8.93,0.23
1912.85,579,-4.28,8.97,0.18
1912.63,580,-4.13,9,0.21
1912.4,581,-4.12,8.95,0.4
1912.17,582,-4.61,8.84,0.3
1911.92,583,-4.18,8.96,0.31
1911.67,584,-4.21,8.96,0.29
1911.42,585,-4.1,8.96,0.36
1911.17,586,-4.53,8.9,0.18
1910.97,587,-4.34,8.94,0.22
1910.77,588,-4.37,8.94,0.19
1910.57,589,-4.01,8.87,0.81
1910.37,590,-4.21,8.85,0.67
1910.17,591,-4.69,8.82,0.3
1909.98,592,-4.71,8.86,0.12
1909.8,593,-4.19,8.91,0.48
1909.62,594,-4.69,8.87,0.12
1909.43,595,-4.9,8.79,0.2
1909.25,596,-4.94,8.76,0.25
1909.05,597,-4.75,8.81,0.29
1908.85,598,-4.54,8.89,0.21
1908.65,599,-4.43,8.93,0.15
1908.45,600,-4.79,8.82,0.21
1908.25,601,-5.02,8.78,0.13
1908.07,602,-4.84,8.78,0.29
1907.89,603,-4.52,8.89,0.21
1907.71,604,-4.42,8.92,0.2
1907.53,605,-4.59,8.88,0.19
1907.35,606,-4.64,8.82,0.34
1907.17,607,-4.83,8.81,0.18
1907,608,-4.67,8.83,0.29
1906.83,609,-4.8,8.81,0.23
1906.67,610,-4.76,8.84,0.17
1906.5,611,-4.71,8.86,0.14
1906.33,612,-4.88,8.81,0.16
1906.17,613,-4.79,8.79,0.32
1906,614,-4.66,8.83,0.31
1905.83,615,-4.51,8.92,0.12
1905.67,616,-4.59,8.95,-0.08
1905.5,617,-4.43,8.92,0.18
1905.33,618,-4.64,8.87,0.16
1905.17,619,-4.79,8.83,0.18
1904.97,620,-4.61,8.91,0.04
1904.77,621,-4.43,8.98,-0.02
1904.57,622,-4.21,9,0.13
1904.37,623,-4.44,8.9,0.25
1904.17,624,-4.62,8.85,0.26
1904.04,625,-4.72,8.9,-0.01
1903.92,626,-4.63,8.91,0.05
1903.79,627,-4.55,8.91,0.12
1903.67,628,-4.49,8.88,0.29
1903.54,629,-4.61,8.88,0.17
1903.42,630,-4.81,8.83,0.15
1903.29,631,-4.89,8.81,0.12
1903.17,632,-4.87,8.79,0.23
1902.97,633,-4.74,8.86,0.12
1902.77,634,-4.58,8.96,-0.1
1902.57,635,-4.61,8.92,0.01
1902.37,636,-4.68,8.9,0.04
1902.17,637,-4.93,8.81,0.08
1902.02,638,-4.93,8.82,0.07
1901.88,639,-4.81,8.87,0.01
1901.74,640,-4.7,8.92,-0.07
1901.6,641,-4.66,8.95,-0.15
1901.45,642,-4.78,8.86,0.06
1901.31,643,-4.81,8.84,0.12
1901.17,644,-4.76,8.83,0.19
1901,645,-4.85,8.84,0.07
1900.83,646,-4.73,8.86,0.13
1900.67,647,-4.63,8.89,0.1
1900.5,648,-4.57,8.91,0.09
1900.33,649,-4.92,8.84,0.02
1900.17,650,-5.05,8.76,0.17
1899.98,651,-4.79,8.82,0.21
1899.8,652,-4.64,8.88,0.12
1899.62,653,-4.59,8.9,0.11
1899.43,654,-4.6,8.87,0.19
1899.25,655,-4.86,8.87,-0.04
1899.13,656,-4.83,8.91,-0.17
1899.01,657,-4.61,8.93,-0.02
1898.89,658,-4.78,8.87,0.04
1898.77,659,-4.69,8.85,0.18
1898.65,660,-4.6,8.86,0.23
1898.53,661,-4.8,8.84,0.11
1898.41,662,-4.7,8.86,0.15
1898.29,663,-4.73,8.81,0.29
1898.17,664,-4.45,8.78,0.68
1897.94,665,-4.58,8.97,-0.15
1897.71,666,-4.72,8.86,0.11
1897.48,667,-4.88,8.79,0.23
1897.25,668,-4.81,8.75,0.43
1896.96,669,-4.71,8.9,0
1896.67,670,-4.4,8.95,0.13
1896.38,671,-4.77,8.89,-0.04
1896.08,672,-4.81,8.82,0.16
1895.85,673,-4.58,8.87,0.23
1895.63,674,-4.53,8.9,0.16
1895.4,675,-4.35,8.96,0.11
1895.17,676,-4.87,8.88,-0.08
1894.99,677,-4.84,8.89,-0.12
1894.81,678,-4.58,8.96,-0.1
1894.63,679,-4.52,8.99,-0.16
1894.44,680,-4.57,8.93,0.03
1894.26,681,-4.73,8.82,0.25
1894.08,682,-4.93,8.8,0.14
1893.9,683,-4.67,8.9,0.05
1893.72,684,-4.71,8.87,0.1
1893.53,685,-4.79,8.9,-0.1
1893.35,686,-5.18,8.8,-0.12
1893.17,687,-4.91,8.85,-0.01
1892.99,688,-4.96,8.8,0.12
1892.81,689,-4.81,8.84,0.11
1892.63,690,-4.78,8.87,0.02
1892.44,691,-4.95,8.85,-0.06
1892.26,692,-4.81,8.83,0.15
1892.08,693,-4.9,8.8,0.16
1891.92,694,-4.84,8.88,-0.08
1891.75,695,-4.5,8.96,-0.01
1891.58,696,-4.65,8.91,0
1891.42,697,-4.84,8.84,0.07
