year (AD),depth (cm),d18O (permil),d18O (permil),core ()
1947.05,4.4,-1.411,-1.049,PL07-71 BC
1946.58,4.5,-1.48,-1.01,PL07-71 BC
1946.11,4.6,-1.638,-1.007,PL07-71 BC
1945.63,4.7,-1.626,-0.975,PL07-71 BC
1945.16,4.8,-1.603,-0.85,PL07-71 BC
1944.68,4.9,-1.826,-0.794,PL07-71 BC
1944.21,5,-1.945,-0.697,PL07-71 BC
1943.74,5.1,-1.452,-0.886,PL07-71 BC
1943.26,5.2,-1.732,-0.865,PL07-71 BC
1942.79,5.3,-1.686,-0.651,PL07-71 BC
1942.32,5.4,-1.366,-1.042,PL07-71 BC
1941.84,5.5,NA,-0.968,PL07-71 BC
1941.37,5.6,-1.53,-0.811,PL07-71 BC
1940.89,5.7,-1.711,-1.137,PL07-71 BC
1940.42,5.8,-1.643,-0.553,PL07-71 BC
1939.95,5.9,-1.492,-0.566,PL07-71 BC
1939.47,6,-1.442,-0.86,PL07-71 BC
1939,6.1,-1.847,-0.877,PL07-71 BC
1938.11,6.2,-1.757,-0.946,PL07-71 BC
1937.21,6.3,-1.781,-1.116,PL07-71 BC
1936.32,6.4,-1.606,-1.124,PL07-71 BC
1935.42,6.5,-1.449,-1.028,PL07-71 BC
1934.53,6.6,-1.26,-0.938,PL07-71 BC
1933.63,6.7,NA,-1.31,PL07-71 BC
1932.74,6.8,-1.745,-1.007,PL07-71 BC
1931.84,6.9,-1.379,-1.363,PL07-71 BC
1930.95,7,-1.448,-0.979,PL07-71 BC
1930.05,7.1,NA,-1.037,PL07-71 BC
1929.16,7.2,-1.268,-1.043,PL07-71 BC
1928.26,7.3,-1.84,-1.16,PL07-71 BC
1927.37,7.4,-1.378,-0.788,PL07-71 BC
1926.47,7.5,-1.471,-1.223,PL07-71 BC
1925.58,7.6,-1.44,-1.22,PL07-71 BC
1924.68,7.7,-1.75,-0.977,PL07-71 BC
1923.79,7.8,-1.513,-1.193,PL07-71 BC
1922.89,7.9,-1.703,-1.12,PL07-71 BC
1922,8,-1.539,-1.017,PL07-71 BC
1920.6,8.1,-1.759,-0.515,PL07-71 BC
1919.2,8.2,-1.496,-0.92,PL07-71 BC
1917.8,8.3,-1.382,-1.157,PL07-71 BC
1916.4,8.4,-1.374,-1.193,PL07-71 BC
1915,8.5,-1.455,-1.127,PL07-71 BC
1914.67,8.6,-1.688,-1.233,PL07-71 BC
1914.33,8.7,-1.502,-0.955,PL07-71 BC
1914,8.8,-1.62,-1.178,PL07-71 BC
1913.67,8.9,-1.309,-1.141,PL07-71 BC
1913.33,9,-1.563,-1.322,PL07-71 BC
1913,9.1,-1.355,-1.116,PL07-71 BC
1911.67,9.2,-1.595,-1.218,PL07-71 BC
1910.33,9.3,-1.745,-1.181,PL07-71 BC
1909,9.4,-1.883,-1.304,PL07-71 BC
1908.5,9.5,-1.243,-1.066,PL07-71 BC
1908,9.6,-1.754,-1.079,PL07-71 BC
1907,9.7,-1.54,-1.102,PL07-71 BC
1906.5,9.8,-1.333,-1.134,PL07-71 BC
1906,9.9,-1.804,-1.207,PL07-71 BC
1905.6,10,-1.569,-1.189,PL07-71 BC
1905.2,10.1,-1.406,-1.222,PL07-71 BC
1904.8,10.2,-1.941,-0.875,PL07-71 BC
1904.4,10.3,-1.571,-0.977,PL07-71 BC
1904,10.4,-1.492,-1.171,PL07-71 BC
1903.4,10.5,-1.517,-1.169,PL07-71 BC
1902.8,10.6,-1.756,-1.163,PL07-71 BC
1902.2,10.7,-1.779,-1.209,PL07-71 BC
1901.6,10.8,-1.89,-1.192,PL07-71 BC
1901,10.9,-1.44,-1.172,PL07-71 BC
1899.83,11,-1.656,-1.204,PL07-71 BC
1898.67,11.1,-1.736,-1.112,PL07-71 BC
1897.5,11.2,-2.074,-1.284,PL07-71 BC
1896.33,11.3,-1.571,-1.206,PL07-71 BC
1895.17,11.4,-1.371,-1.284,PL07-71 BC
1894,11.5,-1.718,-1.319,PL07-71 BC
1892.83,11.6,-1.521,-1.159,PL07-71 BC
1891.67,11.7,-1.661,-1.243,PL07-71 BC
1890.5,11.8,-1.637,-1.301,PL07-71 BC
1889.33,11.9,-1.335,-1.312,PL07-71 BC
1888.17,12,-1.592,-1.182,PL07-71 BC
1887,12.1,-1.891,-1.316,PL07-71 BC
1886,12.2,-1.627,-1.251,PL07-71 BC
1885,12.3,-1.726,-1.127,PL07-71 BC
1884,12.4,-1.408,-1.222,PL07-71 BC
1883,12.5,-1.754,-1.072,PL07-71 BC
1880,12.6,-1.767,-1.277,PL07-71 BC
1879.11,12.7,-1.791,-1.375,PL07-71 BC
1878.23,12.8,-1.602,-1.237,PL07-71 BC
1877.34,12.9,-1.803,-1.315,PL07-71 BC
1876.45,13,-1.556,-0.956,PL07-71 BC
1875.57,13.1,-1.649,-0.832,PL07-71 BC
1874.68,13.2,-1.614,-1.23,PL07-71 BC
1873.8,13.3,-1.518,-1.048,PL07-71 BC
1872.91,13.4,-1.533,-1.157,PL07-71 BC
1872.02,13.5,-1.5,-1.087,PL07-71 BC
1871.14,13.6,-1.719,-1.104,PL07-71 BC
1870.25,13.7,-1.666,-1.098,PL07-71 BC
1869.36,13.8,-1.994,-1.022,PL07-71 BC
1868.48,13.9,-1.399,-1.142,PL07-71 BC
1867.59,14,-1.913,-1.046,PL07-71 BC
1866.7,14.1,-1.372,-1.176,PL07-71 BC
1865.82,14.2,-1.571,-0.704,PL07-71 BC
1864.93,14.3,-1.73,-1.081,PL07-71 BC
1864.05,14.4,-1.638,-1.271,PL07-71 BC
1863.16,14.5,-1.546,-1.191,PL07-71 BC
1862.27,14.6,-1.63,-1.008,PL07-71 BC
1861.39,14.7,-1.906,-1.337,PL07-71 BC
1860.45,14.8,-1.636,-1.198,PL07-71 BC
1859.5,14.9,-1.844,-1.195,PL07-71 BC
1858.55,15,-1.417,-1.24,PL07-71 BC
1857.6,15.1,-1.207,-0.978,PL07-71 BC
1856.65,15.2,-1.73,-1.054,PL07-71 BC
1855.69,15.3,-1.439,-1.103,PL07-71 BC
1854.74,15.4,-1.793,-1.291,PL07-71 BC
1853.78,15.5,-1.523,-0.998,PL07-71 BC
1852.82,15.6,-1.822,-1.271,PL07-71 BC
1851.86,15.7,-1.812,-1.305,PL07-71 BC
1850.9,15.8,-1.791,-1.318,PL07-71 BC
1849.93,15.9,-1.704,-1.158,PL07-71 BC
1848.97,16,-1.646,-1.043,PL07-71 BC
1848,16.1,-1.612,-1.012,PL07-71 BC
1847.03,16.2,NA,-1.155,PL07-71 BC
1846.06,16.3,-1.356,-1.248,PL07-71 BC
1845.09,16.4,-0.852,-0.831,PL07-71 BC
1844.11,16.5,-1.792,-1.309,PL07-71 BC
1843.13,16.6,NA,-0.783,PL07-71 BC
1842.16,16.7,-1.486,-1.139,PL07-71 BC
1841.17,16.8,-1.18,-1.245,PL07-71 BC
1840.19,16.9,-1.651,-1.154,PL07-71 BC
1839.21,17,-1.712,-1.257,PL07-71 BC
1838.22,17.1,-1.965,-1.058,PL07-71 BC
1837.23,17.2,-1.363,-1.027,PL07-71 BC
1836.24,17.3,-1.394,-0.996,PL07-71 BC
1835.25,17.4,NA,-1.139,PL07-71 BC
1834.26,17.5,-1.92,-1.109,PL07-71 BC
1833.26,17.6,-1.581,-1.24,PL07-71 BC
1832.26,17.7,-1.736,-1.404,PL07-71 BC
1831.26,17.8,-1.408,-1.119,PL07-71 BC
1830.26,17.9,-1.917,-1.271,PL07-71 BC
1829.25,18,-1.695,-1.131,PL07-71 BC
1828.25,18.1,-1.586,-0.962,PL07-71 BC
1827.24,18.2,NA,-1.081,PL07-71 BC
1826.23,18.3,-1.661,-1.228,PL07-71 BC
1825.22,18.4,-2.122,-1.309,PL07-71 BC
1824.2,18.5,-1.944,-1.235,PL07-71 BC
1823.19,18.6,-2.056,-1.213,PL07-71 BC
1822.17,18.7,-1.784,-1.09,PL07-71 BC
1821.15,18.8,-1.515,-1.169,PL07-71 BC
1820.12,18.9,-1.609,-1.347,PL07-71 BC
1819.1,19,-1.597,-1.191,PL07-71 BC
1818.07,19.1,-1.528,-1.232,PL07-71 BC
1817.04,19.2,-1.476,-1.03,PL07-71 BC
1816.01,19.3,-1.635,-1.143,PL07-71 BC
1814.97,19.4,-1.773,-1.226,PL07-71 BC
1813.94,19.5,-1.759,-1.058,PL07-71 BC
1812.9,19.6,-1.546,-1.142,PL07-71 BC
1811.86,19.7,-1.522,-1.12,PL07-71 BC
1810.81,19.8,-1.467,-1.252,PL07-71 BC
1809.77,19.9,-1.78,-1.238,PL07-71 BC
1808.72,20,-1.455,-0.996,PL07-71 BC
1807.67,20.1,-1.598,-1.104,PL07-71 BC
1806.62,20.2,-1.577,-0.92,PL07-71 BC
1805.56,20.3,-1.905,-1.208,PL07-71 BC
1804.5,20.4,-1.45,-1.245,PL07-71 BC
1803.45,20.5,-1.54,-1.206,PL07-71 BC
1802.38,20.6,-1.714,-1.356,PL07-71 BC
1801.32,20.7,-1.72,-1.198,PL07-71 BC
1800.25,20.8,-1.64,-1.208,PL07-71 BC
1799.18,20.9,NA,-1.246,PL07-71 BC
1798.11,21,-1.736,-1.308,PL07-71 BC
1797.04,21.1,-1.801,-1.341,PL07-71 BC
1795.96,21.2,-1.896,-1.456,PL07-71 BC
1794.88,21.3,-1.662,-1.319,PL07-71 BC
1793.8,21.4,-1.927,-1.535,PL07-71 BC
1792.72,21.5,-1.072,-1.025,PL07-71 BC
1791.63,21.6,-1.547,-1.33,PL07-71 BC
1790.54,21.7,-1.663,-1.293,PL07-71 BC
1789.45,21.8,-1.848,-1.376,PL07-71 BC
1788.35,21.9,-1.393,-1.294,PL07-71 BC
1787.26,22,-1.558,-1.04,PL07-71 BC
1786.16,22.1,-1.464,-1.301,PL07-71 BC
1785.05,22.2,-1.419,-1.442,PL07-71 BC
1783.95,22.3,-1.674,-1.244,PL07-71 BC
1782.84,22.4,-1.549,-0.993,PL07-71 BC
1781.73,22.5,-1.855,-1.327,PL07-71 BC
1780.62,22.6,-1.48,-1.154,PL07-71 BC
1779.51,22.7,-1.54,-1.3,PL07-71 BC
1778.39,22.8,-1.7,-1.362,PL07-71 BC
1777.27,22.9,-1.85,-1.476,PL07-71 BC
1776.14,23,-1.793,-1.124,PL07-71 BC
1775.02,23.1,-1.4,-1.11,PL07-71 BC
1773.89,23.2,-1.85,-1.045,PL07-71 BC
1772.76,23.3,-1.68,-1.312,PL07-71 BC
1771.62,23.4,-1.63,-1.207,PL07-71 BC
1770.49,23.5,-1.15,-1.202,PL07-71 BC
1769.35,23.6,-1.67,-1.301,PL07-71 BC
1768.2,23.7,-1.45,-0.667,PL07-71 BC
1767.06,23.8,-1.52,-1.017,PL07-71 BC
1765.91,23.9,-1.34,-0.981,PL07-71 BC
1764.76,24,-1.51,-0.927,PL07-71 BC
1763.6,24.1,-1.5,-1.221,PL07-71 BC
1762.45,24.2,-1.31,-1.243,PL07-71 BC
1761.29,24.3,-1.29,-1.346,PL07-71 BC
1760.12,24.4,-1.73,-1.086,PL07-71 BC
1758.96,24.5,-1.44,-1.266,PL07-71 BC
1757.79,24.6,-1.61,-1.338,PL07-71 BC
1756.62,24.7,-1.56,-1.205,PL07-71 BC
1755.44,24.8,-1.45,-1.259,PL07-71 BC
1754.27,24.9,-1.29,-1.311,PL07-71 BC
1753.09,25,-1.63,-1.299,PL07-71 BC
1751.9,25.1,-1.44,-1.173,PL07-71 BC
1750.72,25.2,-1.35,-1.27,PL07-71 BC
1749.53,25.3,-1.65,-1.258,PL07-71 BC
1748.33,25.4,-1.72,-1.32,PL07-71 BC
1747.14,25.5,-1.54,-1.52,PL07-71 BC
1745.94,25.6,-1.54,-1.154,PL07-71 BC
1744.74,25.7,-1.52,-1.241,PL07-71 BC
1743.53,25.8,-1.7,-1.145,PL07-71 BC
1742.33,25.9,-1.6,-1.168,PL07-71 BC
1741.12,26,-1.79,-1.26,PL07-71 BC
1739.9,26.1,-1.65,-1.155,PL07-71 BC
1738.68,26.2,-1.6,-1.354,PL07-71 BC
1737.46,26.3,-1.88,-1.342,PL07-71 BC
1736.24,26.4,-1.94,-1.28,PL07-71 BC
1735.01,26.5,-1.66,-1.4,PL07-71 BC
1733.78,26.6,-1.94,-1.21,PL07-71 BC
1732.55,26.7,-1.64,-1.25,PL07-71 BC
1731.31,26.8,-1.82,-1.15,PL07-71 BC
1730.08,26.9,-1.73,-1.19,PL07-71 BC
1728.83,27,-1.7,-1.31,PL07-71 BC
1727.59,27.1,-1.65,-1.29,PL07-71 BC
1726.34,27.2,-1.61,-1.23,PL07-71 BC
1725.08,27.3,-1.86,-1.29,PL07-71 BC
1723.83,27.4,-1.71,-1.25,PL07-71 BC
1722.57,27.5,-1.6,-1.49,PL07-71 BC
1721.31,27.6,-1.82,-1.15,PL07-71 BC
1720.04,27.7,-1.64,-1.25,PL07-71 BC
1718.77,27.8,-1.61,NA,PL07-71 BC
1717.5,27.9,-1.75,-1.29,PL07-71 BC
1716.22,28,-1.76,-1.17,PL07-71 BC
1714.94,28.1,-1.42,-1.05,PL07-71 BC
1713.66,28.2,-1.5,-1.19,PL07-71 BC
1712.37,28.3,-1.79,-1.31,PL07-71 BC
1711.09,28.4,-1.55,-1.14,PL07-71 BC
1709.79,28.5,-1.7,-1.07,PL07-71 BC
1708.5,28.6,-1.62,-0.89,PL07-71 BC
1707.2,28.7,-1.55,-1.29,PL07-71 BC
1705.89,28.8,-1.71,-1.27,PL07-71 BC
1704.59,28.9,-1.74,-1.35,PL07-71 BC
1703.27,29,-1.45,-1.02,PL07-71 BC
1701.96,29.1,-1.61,-1.15,PL07-71 BC
1700.64,29.2,-1.3,-1.12,PL07-71 BC
1699.32,29.3,-1.79,-1.37,PL07-71 BC
1698,29.4,-1.7,-0.96,PL07-71 BC
1696.67,29.5,-1.57,-0.9,PL07-71 BC
1695.34,29.6,-1.54,-1.18,PL07-71 BC
1694,29.7,-1.71,-1.06,PL07-71 BC
1692.66,29.8,-1.57,-1.025,PL07-71 BC
1691.32,29.9,-1.97,-1.181,PL07-71 BC
1689.97,30,-1.85,-0.957,PL07-71 BC
1688.62,30.1,-1.55,-1.162,PL07-71 BC
1687.27,30.2,-1.58,-1.194,PL07-71 BC
1685.91,30.3,-1.8,-1.033,PL07-71 BC
1684.55,30.4,-1.38,-1.007,PL07-71 BC
1683.19,30.5,-1.48,-1.11,PL07-71 BC
1681.82,30.6,-1.78,-1.259,PL07-71 BC
1680.45,30.7,-1.64,-1.167,PL07-71 BC
1679.07,30.8,-1.62,-0.751,PL07-71 BC
1677.69,30.9,-1.69,-1.164,PL07-71 BC
1676.31,31,-1.58,-1.245,PL07-71 BC
1674.92,31.1,-1.58,-1.158,PL07-71 BC
1673.53,31.2,-1.715,-1.26,PL07-71 BC
1672.13,31.3,-1.634,-1.34,PL07-71 BC
1670.73,31.4,-1.406,-1.248,PL07-71 BC
1669.33,31.5,-1.577,-1.136,PL07-71 BC
1667.92,31.6,-1.404,-1.112,PL07-71 BC
1666.51,31.7,-1.375,-1.18,PL07-71 BC
1665.1,31.8,-1.555,-1.248,PL07-71 BC
1663.68,31.9,-1.461,-1.083,PL07-71 BC
1662.26,32,-1.479,-1.221,PL07-71 BC
1660.83,32.1,-1.718,-1.173,PL07-71 BC
1659.4,32.2,-1.272,-1.076,PL07-71 BC
1657.97,32.3,-1.456,-0.942,PL07-71 BC
1656.53,32.4,-1.518,-1.266,PL07-71 BC
1655.09,32.5,-1.442,-1.013,PL07-71 BC
1653.64,32.6,-1.083,-0.931,PL07-71 BC
1652.19,32.7,-1.494,-1.156,PL07-71 BC
1650.74,32.8,-1.272,-1.127,PL07-71 BC
1649.28,32.9,-1.512,-1.07,PL07-71 BC
1647.82,33,-1.008,-1.158,PL07-71 BC
1646.35,33.1,-1.416,-1.32,PL07-71 BC
1644.88,33.2,-1.39,-0.909,PL07-71 BC
1643.41,33.3,-1.6,-1.305,PL07-71 BC
1641.93,33.4,-1.34,-1.162,PL07-71 BC
1640.45,33.5,-1.53,-1.163,PL07-71 BC
1638.96,33.6,-1.62,-1.198,PL07-71 BC
1637.47,33.7,-1.63,-1.029,PL07-71 BC
1635.97,33.8,-1.67,-1.101,PL07-71 BC
1634.47,33.9,-1.28,-1.3,PL07-71 BC
1632.97,34,-1.58,-1.188,PL07-71 BC
1631.46,34.1,-1.61,-1.038,PL07-71 BC
1629.95,34.2,-1.83,-0.985,PL07-71 BC
1628.44,34.3,-1.45,-1.014,PL07-71 BC
1626.92,34.4,-1.91,-1.121,PL07-71 BC
1625.39,34.5,-1.52,-1.353,PL07-71 BC
1623.86,34.6,-1.83,-1.066,PL07-71 BC
1622.33,34.7,-1.45,-1.096,PL07-71 BC
1620.79,34.8,-1.82,-1.233,PL07-71 BC
1619.25,34.9,-1.79,-1.23,PL07-71 BC
1617.7,35,-1.26,-1.106,PL07-71 BC
1616.15,35.1,-1.51,-1.271,PL07-71 BC
1614.6,35.2,-1.68,-1.132,PL07-71 BC
1613.04,35.3,-1.73,-1.184,PL07-71 BC
1611.48,35.4,-1.77,-1.253,PL07-71 BC
1609.91,35.5,-1.73,-1.154,PL07-71 BC
1608.34,35.6,-2.04,-1.049,PL07-71 BC
1606.76,35.7,-1.94,-1.043,PL07-71 BC
1605.18,35.8,-1.09,-1.344,PL07-71 BC
1603.59,35.9,-1.95,-1.214,PL07-71 BC
1602,36,-1.6,-1.177,PL07-71 BC
1600.41,36.1,-1.49,-1.089,PL07-71 BC
1598.81,36.2,-1.35,-1.089,PL07-71 BC
1597.21,36.3,-1.65,-1.19,PL07-71 BC
1595.6,36.4,-1.65,-1.094,PL07-71 BC
1593.99,36.5,-1.45,-1.115,PL07-71 BC
1592.37,36.6,-1.277,-1.178,PL07-71 BC
1590.75,36.7,-1.36,-1.123,PL07-71 BC
1589.12,36.8,-1.814,-0.942,PL07-71 BC
1587.49,36.9,-1.549,-0.978,PL07-71 BC
1585.86,37,-1.54,-1.03,PL07-71 BC
1584.22,37.1,-1.459,-1.284,PL07-71 BC
1582.57,37.2,-1.77,-1.175,PL07-71 BC
1580.92,37.3,-1.762,-1.102,PL07-71 BC
1579.27,37.4,-1.381,-1.096,PL07-71 BC
1577.61,37.5,-1.69,-1.065,PL07-71 BC
1575.95,37.6,-1.646,-0.986,PL07-71 BC
1574.28,37.7,-1.461,-1.137,PL07-71 BC
1572.61,37.8,-1.431,-0.997,PL07-71 BC
1570.93,37.9,-1.827,-1.115,PL07-71 BC
1569.25,38,-1.577,-1.108,PL07-71 BC
1567.56,38.1,-1.888,-1.183,PL07-71 BC
1565.87,38.2,-1.693,-0.833,PL07-71 BC
1564.18,38.3,-1.523,-1.06,PL07-71 BC
1562.47,38.4,-1.772,-1.188,PL07-71 BC
1560.77,38.5,-1.51,-1.027,PL07-71 BC
1559.06,38.6,-1.61,-0.85,PL07-71 BC
1557.34,38.7,-1.53,-1.254,PL07-71 BC
1555.62,38.8,-1.63,-1.171,PL07-71 BC
1553.9,38.9,-1.311,-1.044,PL07-71 BC
1552.17,39,-1.575,-1.296,PL07-71 BC
1550.43,39.1,-1.616,-1.141,PL07-71 BC
1548.69,39.2,-1.52,-1.189,PL07-71 BC
1546.95,39.3,-1.641,-0.936,PL07-71 BC
1545.2,39.4,-1.734,-1.073,PL07-71 BC
1543.45,39.5,-1.705,-0.958,PL07-71 BC
1541.69,39.6,-1.373,-1.075,PL07-71 BC
1539.92,39.7,-1.33,-1.045,PL07-71 BC
1538.15,39.8,-1.521,-1.092,PL07-71 BC
1536.38,39.9,-1.491,-1.164,PL07-71 BC
1534.6,40,-1.175,-0.733,PL07-71 BC
1532.82,40.1,-1.493,-0.95,PL07-71 BC
1531.03,40.2,-1.485,-1.238,PL07-71 BC
1529.23,40.3,-1.575,-1.154,PL07-71 BC
1527.43,40.4,-1.438,-1.225,PL07-71 BC
1525.63,40.5,-1.335,-1.375,PL07-71 BC
1523.82,40.6,-1.613,-1.23,PL07-71 BC
1522.01,40.7,-1.781,-1.291,PL07-71 BC
1520.19,40.8,-1.631,-1.182,PL07-71 BC
1518.36,40.9,-1.086,-1.461,PL07-71 BC
1516.53,41,-1.774,-1.133,PL07-71 BC
1514.7,41.1,-1.582,-1.505,PL07-71 BC
1512.86,41.2,-1.718,-1.207,PL07-71 BC
1511.01,41.3,-1.879,-1.189,PL07-71 BC
1509.16,41.4,-1.427,-1.311,PL07-71 BC
1507.31,41.5,-1.445,-1.395,PL07-71 BC
1505.45,41.6,-1.334,-1.267,PL07-71 BC
1503.58,41.7,-1.454,-1.232,PL07-71 BC
1501.71,41.8,-1.865,-1.293,PL07-71 BC
1499.83,41.9,-1.196,-1.266,PL07-71 BC
1497.95,42,-1.773,-1.327,PL07-71 BC
1496.06,42.1,-1.359,-1.212,PL07-71 BC
1494.17,42.2,-1.123,-1.085,PL07-71 BC
1492.27,42.3,-1.615,-1.118,PL07-71 BC
1490.37,42.4,-1.786,-1.301,PL07-71 BC
1488.46,42.5,-1.288,-1.129,PL07-71 BC
1486.55,42.6,-1.862,-1.065,PL07-71 BC
1484.63,42.7,-1.642,-1.25,PL07-71 BC
1482.71,42.8,-1.819,-1.173,PL07-71 BC
1480.78,42.9,-1.867,-1.168,PL07-71 BC
1478.84,43,-1.637,-1.094,PL07-71 BC
1476.9,43.1,-1.722,-1.219,PL07-71 BC
1474.96,43.2,-1.557,-1.266,PL07-71 BC
1473,43.3,-1.629,-1.074,PL07-71 BC
1471.05,43.4,-1.59,-1.148,PL07-71 BC
1469.09,43.5,-1.47,-0.971,PL07-71 BC
1467.12,43.6,-1.36,-1.158,PL07-71 BC
1465.14,43.7,-1.83,-1.115,PL07-71 BC
1463.17,43.8,-1.66,-1.173,PL07-71 BC
1461.18,43.9,-1.56,-1.093,PL07-71 BC
1459.19,44,-2.04,-1.238,PL07-71 BC
1457.2,44.1,-1.69,-1.067,PL07-71 BC
1455.2,44.2,-1.56,-1.294,PL07-71 BC
1453.19,44.3,-1.58,-1.137,PL07-71 BC
1451.18,44.4,-1.17,-1.098,PL07-71 BC
1449.16,44.5,-1.67,-0.969,PL07-71 BC
1447.14,44.6,-1.95,-1.155,PL07-71 BC
1445.11,44.7,-1.55,-1.185,PL07-71 BC
1443.07,44.8,-1.32,-1.181,PL07-71 BC
1441.03,44.9,-1.74,-1.195,PL07-71 BC
1438.99,45,-1.88,-1.24,PL07-71 BC
1436.94,45.1,-1.68,-1.223,PL07-71 BC
1434.88,45.2,-2.01,-1.198,PL07-71 BC
1432.82,45.3,-1.55,-1.046,PL07-71 BC
1430.75,45.4,-2.04,-1.263,PL07-71 BC
1428.67,45.5,-1.72,-1.236,PL07-71 BC
1426.59,45.6,-1.51,-1.209,PL07-71 BC
1424.51,45.7,-1.29,-1.159,PL07-71 BC
1422.42,45.8,-1.57,-1.185,PL07-71 BC
1420.32,45.9,-1.7,-1.29,PL07-71 BC
1418.22,46,-1.65,-1.215,PL07-71 BC
1416.11,46.1,-1.84,-1.23,PL07-71 BC
1413.99,46.2,-1.73,-1.124,PL07-71 BC
1411.87,46.3,-1.95,-1.095,PL07-71 BC
1409.75,46.4,-1.85,-1.312,PL07-71 BC
1407.61,46.5,-1.71,-1.142,PL07-71 BC
1405.48,46.6,-1.84,-1.12,PL07-71 BC
1403.33,46.7,-1.86,-1.141,PL07-71 BC
1401.18,46.8,-1.89,-1.199,PL07-71 BC
1399.03,46.9,-1.69,-1.158,PL07-71 BC
1396.86,47,-1.49,-1,PL07-71 BC
1394.7,47.1,-1.8,-1.045,PL07-71 BC
1392.52,47.2,-2.04,-1.136,PL07-71 BC
1390.34,47.3,-1.67,-0.972,PL07-71 BC
1388.16,47.4,-1.43,-1.09,PL07-71 BC
1385.97,47.5,-1.59,-1.09,PL07-71 BC
1383.77,47.6,-1.49,-0.957,PL07-71 BC
1381.56,47.7,-1.67,-1.24,PL07-71 BC
1379.35,47.8,-1.57,-0.969,PL07-71 BC
1377.14,47.9,-1.71,-0.96,PL07-71 BC
1374.92,48,-2.11,-1.204,PL07-71 BC
1372.69,48.1,-1.99,-1.061,PL07-71 BC
1370.46,48.2,-1.46,-0.995,PL07-71 BC
1368.21,48.3,-1.65,-1.087,PL07-71 BC
1365.97,48.4,-1.83,-1.119,PL07-71 BC
1363.72,48.5,-1.56,-1.167,PL07-71 BC
1361.46,48.6,-1.51,-1.122,PL07-71 BC
1359.19,48.7,-1.74,-1.265,PL07-71 BC
1356.92,48.8,-1.91,-1.085,PL07-71 BC
1354.65,48.9,-1.57,-1.085,PL07-71 BC
1352.36,49,-1.61,-1.274,PL07-71 BC
1350.07,49.1,-1.72,-1.141,PL07-71 BC
1347.78,49.2,-1.9,-1.148,PL07-71 BC
1345.48,49.3,-1.38,-1.083,PL07-71 BC
1343.17,49.4,-1.48,-0.963,PL07-71 BC
1340.85,49.5,-1.89,-1.393,PL07-71 BC
1338.53,49.6,-1.83,-1.147,PL07-71 BC
1336.21,49.7,-1.59,-1.089,PL07-71 BC
1333.87,49.8,-2.11,-1.316,PL07-71 BC
1331.53,49.9,-1.93,-1.295,PL07-71 BC
1329.19,50,-1.59,-1.182,PL07-71 BC
1326.83,50.1,-1.76,-1.355,PL07-71 BC
1324.48,50.2,-1.52,-1.173,PL07-71 BC
1322.11,50.3,-1.69,-1.186,PL07-71 BC
1319.74,50.4,-1.23,-1.124,PL07-71 BC
