year (AD) [1-1],d18O (permil) [1-1],year (AD) [2-1],d18O (permil) [2-1],year (AD) [3-1],Sr_Ca (mmol/mol) [3-1],year (AD) [4-1],Sr_Ca (mmol/mol) [4-1]
1390,-0.83,NA,NA,1390,9.556,NA,NA
1386,-0.82,NA,NA,1386,9.686,NA,NA
1383,-0.85,NA,NA,1383,9.683,NA,NA
1380,-0.81,NA,NA,1380,9.681,NA,NA
1377,-0.86,NA,NA,1377,9.615,NA,NA
1372,-0.84,NA,NA,1372,9.675,NA,NA
1369,-0.84,NA,NA,1369,9.672,NA,NA
1365,-0.86,NA,NA,1365,9.639,NA,NA
1361,-0.83,NA,NA,1361,9.661,NA,NA
1356,-0.84,NA,NA,1356,9.744,NA,NA
1353,-0.86,NA,NA,NA,NA,NA,NA
1348,-0.81,NA,NA,NA,NA,NA,NA
1344,-0.85,NA,NA,NA,NA,NA,NA
