year (AD),depth (cm),d18O (permil),TIC (%),CaCO3 (%),d13C (â€°)
1786,64.5,-4.188,2.36,19.67,2.592
1783,65.5,-4.51,1.89,15.75,2.512
1780,66.5,-5.873,1.04,8.67,0.688
1777,67.5,-5.608,1.12,9.33,1.258
1774,68.5,-5.568,1.45,12.08,1.903
1771,69.5,-6.905,0.27,2.25,-3.903
1768,70.5,-6.6755,0.3,2.5,-2.6835
1765,71.5,-5.217,NA,NA,2.075
1762,72.5,-4.979,NA,NA,2.113
1759,73.5,-4.561,NA,NA,3.033
1756,74.5,-4.183,NA,NA,3.198
1753,75.5,-5.599,NA,NA,0.681
1750,76.5,-5.369,NA,NA,1.111
1747,77.5,-4.484,NA,NA,3.321
1744,78.5,-4.147,NA,NA,3.578
1741,79.5,-3.418,2.63,21.92,3.428
1738,80.5,-3.524,2.23,18.58,3.363
1735,81.5,-3.707,2.42,20.17,3.432
1732,82.5,-4.125,2.47,20.58,3.424
1729,83.5,-4.183,3.06,25.5,3.79
1726,84.5,-4.364,2.58,21.5,3.317
1723,85.5,-4.206,2.22,18.5,3.037
1720,86.5,-4.19,2.92,24.33,3.5605
1717,87.5,-4.335,2.53,21.08,3.107
1714,88.5,-4.447,2.23,18.58,3.361
1711,89.5,-4.808,2.37,19.75,3.134
1708,90.5,-4.658,3.42,28.5,3.163
1705,91.5,-4.886,2.86,23.83,2.788
1701,92.5,-6.269,0.13,1.08,-2.754
1698,93.5,-7.162,0.17,1.42,-4.155
1695,94.5,-6.1545,0.5,4.17,0.2045
1692,95.5,-5.825,0.87,7.25,1.814
1689,96.5,-6.059,1.01,8.42,1.186
1686,97.5,-5.269,1.38,11.5,2.92
1683,98.5,-5.582,0.66,5.5,0.78
1680,99.5,-4.341,1.28,10.67,2.603
1677,100.5,-4.0935,2.07,17.25,3.3165
1674,101.5,-4.287,1.81,15.08,2.875
1671,102.5,-4.33,2.02,16.83,3.424
1668,103.5,-4.319,2.37,19.75,3.572
1665,104.5,-4.546,2.07,17.25,3.19
1662,105.5,-5.248,1.26,10.5,2.692
1659,106.5,-5.381,1.36,11.33,2.168
1656,107.5,-4.622,2.18,18.17,3.168
1653,108.5,-4.778,2.38,19.83,3.697
1650,109.5,-4.904,2.08,17.33,3.342
1647,110.5,-4.925,2.05,17.08,3.589
1644,111.5,-4.693,2.58,21.5,3.476
1641,112.5,-4.834,2.3,19.17,3.486
1638,113.5,-4.872,2.23,18.58,3.421
1635,114.5,-5.072,1.8,15,3.024
1632,115.5,-4.846,1.96,16.33,3.435
1629,116.5,-4.177,1.93,16.08,3.5865
1626,117.5,-3.493,1.61,13.42,2.943
1623,118.5,-2.76,2.75,22.92,3.842
1620,119.5,-3.162,1.88,15.67,2.895
1617,120.5,-4.236,1.1,9.17,2.032
1614,121.5,-4.193,1.34,11.17,3.073
1611,122.5,-4.448,0.7,5.83,1.472
1608,123.5,-2.49,1.81,15.08,2.928
1605,124.5,-3.1085,1.56,13,3.455
1602,125.5,-2.637,2.24,18.67,3.836
1598,126.5,-3.366,2.64,22,3.417
1595,127.5,-2.595,2.67,22.25,3.818
1592,128.5,-3.71,1.96,16.33,3.355
1589,129.5,-3.341,2.14,17.83,3.207
1586,130.5,-3.975,1.3,10.83,2.802
1583,131.5,-3.421,1.76,14.67,3.395
1580,132.5,-3.193,1.96,16.33,3.71
1577,133.5,-3.474,1.79,14.92,3.227
1574,134.5,-3.228,2.34,19.5,3.305
1571,135.5,-3.256,2.28,19,3.202
1568,136.5,-3.503,2.12,17.67,3.135
1565,137.5,-3.093,2.79,23.25,3.334
1562,138.5,-4.7165,2.09,17.42,2.279
1559,139.5,-4.904,2.32,19.33,2.823
1556,140.5,-4.915,3.31,27.58,2.945
1553,141.5,-5.561,1.78,14.83,2.555
1550,142.5,-5.781,1.91,15.92,2.519
1547,143.5,-5.612,1.76,14.67,2.525
1544,144.5,-5.855,1.26,10.5,2.377
1541,145.5,-6.792,0.94,7.83,1.745
1538,146.5,-6.129,1.17,9.75,2.1335
1535,147.5,-5.877,1.8,15,2.598
1532,148.5,-5.983,1.61,13.42,2.372
1529,149.5,-5.975,1.7,14.17,2.567
1526,150.5,-5.737,1.56,13,2.411
1523,151.5,-5.474,1.04,8.67,1.308
1520,152.5,-4.764,1.33,11.08,2.75
1517,153.5,-4.32,2.48,20.67,3.201
1514,154.5,-5.295,1.31,10.92,1.5925
1511,155.5,-6.13,0.84,7,0.339
1508,156.5,-5.775,1.04,8.67,1.598
1505,157.5,-5.477,1.54,12.83,1.375
1502,158.5,-5.189,1.68,14,2.826
1499,159.5,-5.091,1.99,16.58,2.795
1495,160.5,-5.243,2.01,16.75,2.6235
1492,161.5,-5.4,2.03,16.92,2.657
1489,162.5,-5.317,2.13,17.75,2.738
1486,163.5,-5.603,2.12,17.67,2.8
1483,164.5,-5.583,2.56,21.33,2.821
1480,165.5,-6.065,1.64,13.67,2.519
1477,166.5,-6.449,1.46,12.17,2.624
1474,167.5,-6.656,1.4,11.67,2.52
1471,168.5,-6.459,2.04,17,2.6955
1468,169.5,-6.731,1.13,9.42,1.445
1465,170.5,-7.1,0.77,6.42,0.567
1462,171.5,-6.232,1.01,8.42,2.222
1459,172.5,-5.902,1.23,10.25,2.348
1456,173.5,-5.105,1.79,14.92,3.597
1453,174.5,-5.181,2.1,17.5,3.787
1450,175.5,-5.699,1.47,12.25,2.379
1447,176.5,-5.4255,1.59,13.25,2.783
1444,177.5,-5.598,1.31,10.92,2.995
1441,178.5,-6.144,0.21,1.75,1.052
1438,179.5,-4.847,1.14,9.5,3.416
1435,180.5,-4.458,2.11,17.58,4.078
1432,181.5,-4.778,1.3,10.83,3.033
1429,182.5,-4.999,1.19,9.92,3.591
1426,183.5,-5.299,1.2,10,3.594
1423,184.5,-5.218,1.56,13,3.552
1420,185.5,-4.96,1.86,15.5,3.742
1417,186.5,-5.359,0.83,6.92,1.911
1414,187.5,-6.322,0.77,6.42,1.486
1411,188.5,-6.024,0.89,7.42,1.906
1408,189.5,-4.675,1.57,13.08,3.349
1405,190.5,-5.532,0.99,8.25,1.537
1402,191.5,-5.082,1.02,8.5,2.331
1399,192.5,-4.292,1.48,12.33,3.3285
1396,193.5,-4.278,1.72,14.33,3.449
1392,194.5,-4.545,0.97,8.08,2.819
1389,195.5,-4.28,1.05,8.75,3.054
1386,196.5,-5.403,0.54,4.5,0.31
1383,197.5,-3.76,0.67,5.58,2.533
1380,198.5,-2.631,1.3,10.83,3.025
1377,199.5,-3.108,1.15,9.58,2.545
1374,200.5,-2.8215,1.31,10.92,3.3745
1371,201.5,-2.811,1.52,12.67,3.569
1368,202.5,-2.899,1.66,13.83,3.548
1365,203.5,-2.813,1.88,15.67,3.57
1362,204.5,-2.733,2.01,16.75,3.579
1359,205.5,-3.132,1.65,13.75,3.458
1356,206.5,-3.294,1.65,13.75,3.459
1353,207.5,-3.246,1.44,12,3.342
1350,208.5,-3.496,1.29,10.75,3.3915
1347,209.5,-4.261,0.8,6.67,2.875
1344,210.5,-4.421,0.69,5.75,2.902
1341,211.5,-4.194,0.78,6.5,2.879
1338,212.5,-3.943,1.13,9.42,3.411
1335,213.5,-3.889,1.33,11.08,3.303
1332,214.5,-3.946,1.42,11.83,3.241
1329,215.5,-4.277,1.15,9.58,3.125
1326,216.5,-4.6045,0.87,7.25,2.8685
1323,217.5,-5.32,0.33,2.75,2.346
1320,218.5,NA,0.08,0.67,NA
1317,219.5,-4.771,0.9,7.5,3.218
1314,220.5,-4.988,1.41,11.75,3.068
1311,221.5,-4.983,1.03,8.58,2.814
1308,222.5,-4.999,0.85,7.08,2.758
1305,223.5,-4.841,1.3,10.83,2.872
1302,224.5,-4.835,1.21,10.08,2.807
1299,225.5,-4.5935,1.21,10.08,2.9095
1296,226.5,-5.023,1.44,12,2.761
1293,227.5,-4.793,1.59,13.25,3.03
1289,228.5,-5.274,0.96,8,2.602
1286,229.5,-5.127,1.65,13.75,2.913
1283,230.5,-4.798,2.19,18.25,3.081
1280,231.5,-4.841,1.77,14.75,2.888
1277,232.5,-5.245,1.39,11.58,2.736
1274,233.5,-5.4445,1.34,11.17,2.75
1271,234.5,-5.537,1.46,12.17,2.811
1268,235.5,-5.315,1.69,14.08,2.951
1265,236.5,-5.5,1.42,11.83,2.741
1262,237.5,-5.886,1.18,9.83,2.573
1259,238.5,-6.071,0.94,7.83,2.493
1256,239.5,-5.969,0.61,5.08,2.471
1253,240.5,-6.004,1.04,8.67,2.684
1250,241.5,-6.3355,0.26,2.17,2.3985
1247,242.5,-6.324,0.32,2.67,2.442
1244,243.5,-6.171,1.34,11.17,2.509
1241,244.5,-6.082,0.92,7.67,2.5
1238,245.5,-6.213,0.71,5.92,2.264
1235,246.5,-5.981,0.67,5.58,2.539
1232,247.5,-5.866,0.32,2.67,2.455
1229,248.5,NA,0,0,NA
1226,249.5,NA,0,0,NA
1223,250.5,NA,0,0,NA
1220,251.5,NA,0,0,NA
1217,252.5,NA,0,0,NA
1214,253.5,-5.125,0.4,3.33,2.588
1211,254.5,-4.9925,1.8,15,2.7765
1208,255.5,-4.256,2.51,20.92,2.97
1205,256.5,-3.439,3.63,30.25,3.139
1202,257.5,-4.057,2.1,17.5,2.91
1199,258.5,-5.048,1.87,15.58,2.734
1196,259.5,-4.567,2.37,19.75,2.85
1193,260.5,-4.478,2.88,24,2.793
1190,261.5,-4.689,2.08,17.33,2.624
1186,262.5,-4.87,1.64,13.67,2.61
1183,263.5,-5.207,2.09,17.42,2.538
1180,264.5,-5.935,1.54,12.83,2.487
1177,265.5,-5.501,1.49,12.42,2.579
1174,266.5,-6.032,1.35,11.25,2.457
1171,267.5,-5.42,1.39,11.58,2.748
1168,268.5,-5.695,0.58,4.83,2.6
1165,269.5,-5.712,0.99,8.25,2.628
1162,270.5,-6.016,2.01,16.75,2.749
1159,271.5,-5.438,1.59,13.25,2.85
1156,272.5,-5.172,2.26,18.83,2.73
1153,273.5,-5.204,2.4,20,2.964
1150,274.5,-5.248,2.57,21.42,2.928
1147,275.5,-5.082,2.92,24.33,3.024
1144,276.5,-4.859,3.22,26.83,2.953
1141,277.5,-5.213,2.63,21.92,2.69
1138,278.5,-5.854,1.62,13.5,2.3115
1135,279.5,-6.824,1.76,14.67,2.215
1132,280.5,-6.265,2.26,18.83,2.402
1129,281.5,-6.311,2.1,17.5,2.432
1126,282.5,-7.299,1.27,10.58,2.152
1123,283.5,-6.898,1.65,13.75,2.4
1120,284.5,-6.819,1.91,15.92,2.35
1117,285.5,-6.428,1.87,15.58,2.186
1114,286.5,-7.439,0.57,4.75,1.422
1111,287.5,-6.899,2.01,16.75,2.191
1108,288.5,-6.916,1.68,14,2.023
1105,289.5,-6.856,1.96,16.33,2.219
1102,290.5,-6.948,1.48,12.33,2.248
1099,291.5,-7.41,1.37,11.42,1.959
1096,292.5,-6.95,1.38,11.5,2.147
1093,293.5,-6.898,2.06,17.17,2.166
1090,294.5,-7.119,2.12,17.67,2.171
1087,295.5,-7.639,0.86,7.17,1.243
1083,296.5,-7.412,1.17,9.75,2.007
1080,297.5,-7.277,0.88,7.33,1.951
1077,298.5,-6.333,1.52,12.67,2.308
1074,299.5,-6.339,1.66,13.83,2.337
1071,300.5,-6.066,1.54,12.83,2.151
1068,301.5,-5.6,1.63,13.58,2.221
1065,302.5,-6.0175,1.59,13.25,2.0995
1062,303.5,-5.342,1.45,12.08,2.107
1059,304.5,-5.112,2.76,23,2.612
1056,305.5,-5.674,1.75,14.58,1.987
1053,306.5,-5.264,2.39,19.92,2.644
1050,307.5,-5.557,1.98,16.5,2.309
1047,308.5,-5.405,1.96,16.33,2.426
1044,309.5,-5.795,1.83,15.25,2.336
1041,310.5,-5.751,1.76,14.67,2.3175
1038,311.5,-6.295,1.82,15.17,2.234
1035,312.5,-5.887,1.72,14.33,2.531
1032,313.5,-5.949,2.78,23.17,2.693
1029,314.5,-6.374,2.58,21.5,2.263
1026,315.5,-6.329,2.41,20.08,2.207
1023,316.5,-6.954,1.96,16.33,1.837
1020,317.5,-7.031,2.03,16.92,1.513
1017,318.5,-7.3145,1.63,13.58,1.3745
1014,319.5,-7.913,1.48,12.33,1.176
1011,320.5,-8.095,1.36,11.33,1.232
1008,321.5,-8.556,1.42,11.83,1.03
1005,322.5,-8.231,1.14,9.5,1.088
1002,323.5,-8.311,0.72,6,0.782
999,324.5,-8.157,0.82,6.83,0.486
996,325.5,-8.434,0.76,6.33,0.496
993,326.5,-8.417,0.66,5.5,0.408
990,327.5,-8.45,0.79,6.58,0.272
987,328.5,-8.448,0.7,5.83,0.45
984,329.5,-8.334,0.78,6.5,0.616
980,330.5,-8.123,0.44,3.67,0.162
977,331.5,-8.306,0.46,3.83,0.226
974,332.5,-8.212,0.57,4.75,0.474
971,333.5,-8.367,0.45,3.75,-0.041
968,334.5,-8.173,0.29,2.42,-0.3305
965,335.5,-8.256,1.15,9.58,0.424
962,336.5,-7.799,0.82,6.83,0.266
959,337.5,-8.101,0.8,6.67,0.112
956,338.5,-8.532,1.56,13,0.36
953,339.5,-9.18,1.79,14.92,0.293
950,340.5,-8.967,0.56,4.67,-0.346
947,341.5,-7.806,0.75,6.25,0.348
944,342.5,-8.06,1.64,13.67,0.749
941,343.5,-8.232,1.56,13,0.649
938,344.5,-8.572,1.4,11.67,0.675
935,345.5,-8.668,1.88,15.67,0.797
932,346.5,-8.149,1.88,15.67,0.92
929,347.5,-7.393,1.72,14.33,0.921
926,348.5,-6.876,2.29,19.08,0.85
923,349.5,-6.133,1.77,14.75,0.56
920,350.5,-5.5375,1.74,14.5,0.322
917,351.5,-5.588,1.75,14.58,-0.09
914,352.5,-5.491,1.93,16.08,-0.412
911,353.5,-5.608,2.03,16.92,-0.81
908,354.5,-5.06,2.01,16.75,-0.53
905,355.5,-5.195,1.63,13.58,-0.11
902,356.5,-4.703,1.66,13.83,0.461
899,357.5,-4.527,1.61,13.42,-0.097
896,358.5,-4.7995,1.98,16.5,-0.6505
893,359.5,-5.795,2.08,17.33,-0.862
890,360.5,-6.27,2,16.67,-0.276
887,361.5,-5.549,2.4,20,0.625
884,362.5,-2.901,1.81,15.08,0.638
881,363.5,-2.927,1.86,15.5,0.791
877,364.5,-3.173,1.81,15.08,0.59
874,365.5,-3.155,1.79,14.92,0.545
871,366.5,-1.6305,1.92,16,1.26
868,367.5,-3.583,1.93,16.08,0.397
865,368.5,-3.9,2.02,16.83,0.288
862,369.5,-4.842,2.06,17.17,-0.074
859,370.5,-5.283,2.11,17.58,-0.069
856,371.5,-5.053,2.2,18.33,0.418
853,372.5,-3.919,2.17,18.08,0.913
850,373.5,-4.11,2.22,18.5,1.101
847,374.5,-3.188,2.28,19,1.5625
844,375.5,-3.423,2.2,18.33,1.09
841,376.5,-4.376,2.3,19.17,0.92
838,377.5,-3.386,2.31,19.25,1.455
835,378.5,-3.507,2.11,17.58,1.619
832,379.5,-3.607,2.26,18.83,1.468
829,380.5,-3,2.2,18.33,1.648
826,381.5,-2.658,2.46,20.5,1.833
823,382.5,-3.6565,2.14,17.83,1.614
820,383.5,-3.166,2.43,20.25,1.717
817,384.5,-2.72,2.24,18.67,1.72
814,385.5,-2.388,2.24,18.67,1.724
811,386.5,-2.38,2.36,19.67,1.712
808,387.5,-2.642,2.2,18.33,1.599
805,388.5,-2.945,2.11,17.58,1.411
802,389.5,-3.056,2.12,17.67,1.35
799,390.5,-2.9115,2.03,16.92,1.3345
796,391.5,-3.208,2.06,17.17,1.035
793,392.5,-3.151,2.06,17.17,1.108
790,393.5,-2.98,2.16,18,1.188
787,394.5,-3.185,2.04,17,1.126
784,395.5,-3.221,2.06,17.17,1.048
781,396.5,-3.484,2.05,17.08,0.795
778,397.5,-3.995,2.05,17.08,0.381
775,398.5,-3.847,1.98,16.5,0.5965
772,399.5,-3.995,1.9,15.83,0.588
769,400.5,-4.016,1.9,15.83,0.56
766,401.5,-4.103,1.81,15.08,0.841
763,402.5,-3.51,2.1,17.5,1.265
759,403.5,-3.676,1.82,15.17,1.447
756,404.5,-3.033,1.81,15.08,2.036
753,405.5,-2.547,1.81,15.08,2.226
750,406.5,-2.6365,1.9,15.83,2.2865
747,407.5,-2.409,1.99,16.58,2.344
744,408.5,-0.987,1.96,16.33,2.421
741,409.5,-0.716,1.58,13.17,1.907
738,410.5,-2.266,1.88,15.67,1.912
735,411.5,-1.778,1.87,15.58,2.298
732,412.5,-1.598,1.8,15,2.165
729,413.5,-1.548,1.72,14.33,1.821
726,414.5,-1.406,1.68,14,1.779
723,415.5,-1.318,1.37,11.42,1.868
720,416.5,-1.257,1.53,12.75,1.92
717,417.5,-1.631,1.68,14,2.22
714,418.5,-1.778,1.84,15.33,2.007
711,419.5,-1.703,1.59,13.25,2.155
708,420.5,-1.829,1.51,12.58,2.449
705,421.5,-1.084,1.71,14.25,2.689
702,422.5,-1.088,1.65,13.75,2.233
699,423.5,-1.303,1.5,12.5,1.665
696,424.5,-1.926,1.37,11.42,1.52
693,425.5,-2.84,1.56,13,0.932
690,426.5,-1.647,1.49,12.42,1.773
687,427.5,-1.6,1.69,14.08,1.791
684,428.5,-2.26,1.72,14.33,1.685
681,429.5,-2.028,1.54,12.83,2.107
678,430.5,-1.266,2.32,19.33,3.062
675,431.5,-2.189,1.78,14.83,3.12
672,432.5,-1.432,1.92,16,3.19
669,433.5,-1.08,2.07,17.25,2.86
666,434.5,-0.943,1.97,16.42,2.546
663,435.5,-1.097,1.83,15.25,2.579
660,436.5,-1.484,1.59,13.25,2.597
657,437.5,-1.376,1.5,12.5,2.619
653,438.5,-1.7775,1.41,11.75,2.2535
650,439.5,-0.446,2.59,21.58,1.979
647,440.5,-0.689,2.17,18.08,2.52
644,441.5,-0.691,2.29,19.08,1.805
641,442.5,-1.22,2.48,20.67,2.564
638,443.5,-1.587,2.02,16.83,2.651
635,444.5,-1.492,2.01,16.75,2.73
632,445.5,-0.208,2.21,18.42,2.694
629,446.5,0.319,2.09,17.42,2.4305
626,447.5,-0.408,1.82,15.17,2.177
623,448.5,0.396,1.79,14.92,1.682
620,449.5,0.802,3.15,26.25,1.306
617,450.5,0.163,2.6,21.67,1.094
614,451.5,0.729,2.62,21.83,1.279
611,452.5,0.4045,2.38,19.83,1.0715
608,453.5,0.653,3.34,27.83,1.266
605,454.5,0.663,2.56,21.33,0.954
602,455.5,-0.297,1.84,15.33,0.719
599,456.5,-0.51,2.38,19.83,0.744
596,457.5,-1.069,2.39,19.92,1.218
593,458.5,-0.875,1.85,15.42,1.4
590,459.5,-1.063,3.12,26,1.536
587,460.5,-0.9465,1.38,11.5,1.365
584,461.5,-1.123,2.4,20,1.498
581,462.5,-0.94,3.69,30.75,1.508
578,463.5,-1.063,2.71,22.58,1.389
575,464.5,-0.67,2.89,24.08,1.273
572,465.5,-1.567,1.76,14.67,1.173
569,466.5,-1.329,2.98,24.83,1.349
566,467.5,-1.369,2.91,24.25,1.415
563,468.5,-0.775,3.43,28.58,1.3415
560,469.5,-3.547,0.28,2.33,0.157
557,470.5,-1.713,0.83,6.92,0.836
554,471.5,-1.108,1.37,11.42,0.975
550,472.5,-0.823,1.41,11.75,1.198
547,473.5,-0.449,2,16.67,1.558
544,474.5,-1.2,1.07,8.92,1.699
