year (AD),depth (m),d18O (permil)
1844,NA,-27.375
1843,NA,-27.49
1842,NA,-27.8619
1841,NA,-28.067
1840,NA,-28.2
1839,NA,-28.4032
1838,NA,-28.4567
1837,NA,-28.12
1836,NA,-28.0894
1835,NA,-28.0847
1834,NA,-28.25
1833,NA,-28.3372
1832,NA,-28.3038
1831,NA,-27.985
1830,NA,-27.38
1829,NA,-27.38
1828,NA,-27.7439
1827,NA,-28.3073
1826,NA,-28.9523
1825,NA,-29.511
1824,NA,-29.26
1823,NA,-29.107
1822,NA,-29.1425
1821,NA,-28.8591
1820,NA,-28.2766
1819,NA,-27.83
1818,NA,-28.0078
1817,NA,-27.8324
1816,NA,-27.7383
1815,NA,-27.7366
1814,NA,-27.5774
1813,NA,-27.1578
1812,NA,-26.8682
1811,NA,-26.8789
1810,NA,-27.1475
1809,NA,-27.9134
1808,NA,-28.8106
1807,NA,-28.8029
1806,NA,-28.1287
1805,NA,-27.5912
1804,NA,-27.5677
1803,NA,-27.7168
1802,NA,-27.8354
1801,NA,-27.8873
1800,NA,-27.8423
1799,NA,-28.3411
1798,NA,-28.2233
1797,NA,-27.9834
1796,NA,-28.0894
1795,NA,-28.0913
1794,NA,-27.9787
1793,NA,-27.8183
1792,NA,-27.794
1791,NA,-27.7193
1790,NA,-28.1185
1789,NA,-28.2812
1788,NA,-28.2333
1787,NA,-28.0132
1786,NA,-27.6157
1785,NA,-27.3363
1784,NA,-27.0847
1783,NA,-27.05
1782,NA,-26.9711
1781,NA,-26.87
1780,NA,-26.8795
1779,NA,-26.915
1778,NA,-27.01
1777,NA,-27.179
1776,NA,-27.6568
1775,NA,-28.26
1774,NA,-27.1514
1773,NA,-27.3987
1772,NA,-27.6656
1771,NA,-28.19
1770,NA,-28.5079
1769,NA,-28.6216
1768,NA,-28.42
1767,NA,-27.9092
1766,NA,-27.7077
1765,NA,-27.67
1764,NA,-28.222
1763,NA,-28.4299
1762,NA,-28.65
1761,NA,-28.5187
1760,NA,-28.4646
1759,NA,-28.44
1758,NA,-28.0194
1757,NA,-27.8252
1756,NA,-27.6324
1755,NA,-27.35
1754,NA,-27.7049
1753,NA,-27.9335
1752,NA,-28.16
1751,NA,-28.5766
1750,NA,-28.7235
1749,NA,-28.8454
1748,NA,-29.03
1747,NA,-29.0126
1746,NA,-28.9334
1745,NA,-28.46
1744,NA,-28.1949
1743,NA,-28.0201
1742,NA,-27.88
1741,NA,-28.0337
1740,NA,-28.1454
1739,NA,-28.6
1738,NA,-28.8134
1737,NA,-28.6378
1736,NA,-27.79
1735,NA,-27.01
1734,NA,-26.7191
1733,NA,-26.54
1732,NA,-26.6913
1731,NA,-26.7683
1730,NA,-26.857
1729,NA,-27.29
1728,NA,-27.3523
1727,NA,-27.5098
1726,NA,-28.47
1725,NA,-28.8777
1724,NA,-29.0978
1723,NA,-28.9
1722,NA,-29.0089
1721,NA,-29.27
1720,NA,-29.8948
1719,NA,-29.5778
1718,NA,-28.48
1717,NA,-27.3847
1716,NA,-27.0647
1715,NA,-26.98
1714,NA,-27.7065
1713,NA,-28.0935
1712,NA,-28.63
1711,NA,-29.4027
1710,NA,-29.6785
1709,NA,-29.47
1708,NA,-29.552
1707,NA,-29.5508
1706,NA,-28.93
1705,NA,-28.9809
1704,NA,-29.03
1703,NA,-28.852
1702,NA,-28.7399
1701,NA,-28.56
1700,NA,-28.3134
1699,NA,-28.7465
1698,NA,-29.77
1697,NA,-29.6283
1696,NA,-29.4061
1695,NA,-29.14
1694,NA,-28.5052
1693,NA,-28.1675
1692,NA,-27.8825
1691,NA,-28.04
1690,NA,-28.1952
1689,NA,-28.274
1688,NA,-28.1
1687,NA,-27.7476
1686,NA,-27.5435
1685,NA,-27.51
1684,NA,-28.5321
1683,NA,-29.0933
1682,NA,-29.28
1681,NA,-29.156
1680,NA,-29.0703
1679,NA,-28.94
1678,NA,-28.7788
1677,NA,-28.7135
1676,NA,-29.07
1675,NA,-28.9485
1674,NA,-28.6271
1673,NA,-28.2502
1672,NA,-27.88
1671,NA,-27.1875
1670,NA,-27.032
1669,NA,-27.0612
1668,NA,-27.26
1667,NA,-27.5185
1666,NA,-27.6985
1665,NA,-27.7729
1664,NA,-27.7555
1663,NA,-27.56
1662,NA,-27.7001
1661,NA,-27.6032
1660,NA,-27.3235
1659,NA,-27.46
1658,NA,-27.8494
1657,NA,-28.0598
1656,NA,-28.1
1655,NA,-27.8004
1654,NA,-27.6225
1653,NA,-27.4204
1652,NA,-27.14
1651,NA,-27.2005
1650,NA,-27.4292
1649,NA,-27.673
1648,NA,-27.86
1647,NA,-27.9921
1646,NA,-28.1869
1645,NA,-28.53
1644,NA,-28.2779
1643,NA,-28.1803
1642,NA,-28.1
1641,NA,-28.0403
1640,NA,-28.085
1639,NA,-28.32
1638,NA,-28.4221
1637,NA,-28.4644
1636,NA,-28.43
1635,NA,-28.4773
1634,NA,-28.5245
1633,NA,-28.9
1632,NA,-28.8571
1631,NA,-28.81
1630,NA,-28.6278
1629,NA,-28.3396
1628,NA,-27.81
1627,NA,-27.3922
1626,NA,-27.1953
1625,NA,-26.89
1624,NA,-27.0242
1623,NA,-27.12
1622,NA,-28.2147
1621,NA,-28.3409
1620,NA,-28.52
1619,NA,-28.3037
1618,NA,-28.1543
1617,NA,-27.69
1616,NA,-27.4234
1615,NA,-27.19
1614,NA,-27.5697
1613,NA,-27.6127
1612,NA,-27.62
1611,NA,-27.613
1610,NA,-27.6216
1609,NA,-27.67
1608,NA,-27.8212
1607,NA,-27.9014
1606,NA,-27.91
1605,NA,-27.8217
1604,NA,-27.7771
1603,NA,-28.07
1602,NA,-27.9905
1601,NA,-27.91
1600,NA,-28.1196
1599,NA,-28.0918
1598,NA,-28.03
1597,NA,-28.0796
1596,NA,-28.0679
1595,NA,-28
1594,NA,-28.6106
1593,NA,-28.9051
1592,NA,-28.96
1591,NA,-28.7827
1590,NA,-28.61
1589,NA,-28.0567
1588,NA,-27.9011
1587,NA,-27.66
1586,NA,-27.474
1585,NA,-27.4009
1584,NA,-27.41
1583,NA,-27.6475
1582,NA,-27.9
1581,NA,-27.611
1580,NA,-27.6383
1579,NA,-27.9
1578,NA,-28.1209
1577,NA,-28.57
1576,NA,-28.684
1575,NA,-28.75
1574,NA,-27.8075
1573,NA,-27.5365
1572,NA,-26.84
1571,NA,-26.6369
1570,NA,-26.47
1569,NA,-27.0488
1568,NA,-27.2179
1567,NA,-27.57
1566,NA,-27.7623
1565,NA,-28.07
1564,NA,-28.2627
1563,NA,-28.36
1562,NA,-28.5798
1561,NA,-28.6515
1560,NA,-28.92
1559,NA,-28.9326
1558,NA,-28.95
1557,NA,-28.8325
1556,NA,-28.77
1555,NA,-27.9872
1554,NA,-27.8976
1553,NA,-27.88
1552,NA,-27.4512
1551,NA,-26.66
1550,NA,-26.3488
1549,NA,-26.1
1548,NA,-25.6498
1547,NA,-25.52
1546,NA,-27.4338
1545,NA,-27.6785
1544,NA,-28.53
1543,NA,-28.5826
1542,NA,-28.68
1541,NA,-28.9571
1540,NA,-29.19
1539,NA,-28.5478
1538,NA,-28.28
1537,NA,-28.6164
1536,NA,-28.6877
1535,NA,-29.48
1534,NA,-29.5267
1533,NA,-29.64
1532,NA,-29.3953
1531,NA,-29.19
1530,NA,-28.653
1529,NA,-28.511
1528,NA,-28.53
1527,NA,-28.3875
1526,NA,-28.03
1525,NA,-28.2039
1524,NA,-28.37
1523,NA,-28.3334
1522,NA,-28.32
1521,NA,-27.5735
1520,NA,-27.4751
1519,NA,-27.17
1518,NA,-27.2763
1517,NA,-27.42
1516,NA,-27.1121
1515,NA,-26.984
1514,NA,-26.75
1513,NA,-26.6344
1512,NA,-26.37
1511,NA,-26.7164
1510,NA,-26.97
1509,NA,-27.3754
1508,NA,-27.5064
1507,NA,-27.98
1506,NA,-28.0418
1505,NA,-28.14
1504,NA,-28.2797
1503,NA,-28.36
1502,NA,-28.9489
1501,NA,-28.9683
1500,NA,-28.5
1499,NA,-28.3646
1498,NA,-28.11
1497,NA,-27.9785
1496,NA,-27.89
1495,NA,-28.2902
1494,NA,-28.3681
1493,NA,-27.98
1492,NA,-28.0061
1491,NA,-28.09
1490,NA,-28.1731
1489,NA,-28.28
1488,NA,-27.9973
1487,NA,-27.85
1486,NA,-27.6049
1485,NA,-27.631
1484,NA,-30.17
1483,NA,-30.3545
1482,NA,-31.08
1481,NA,-30.853
1480,NA,-30.47
1479,NA,-29.3192
1478,NA,-28.32
1477,NA,-27.0655
1476,NA,-26.69
1475,NA,-26.2207
1474,NA,-26.262
1473,NA,-26.41
1472,NA,-26.7037
1471,NA,-27.08
1470,NA,-27.4109
1469,NA,-27.59
1468,NA,-27.9316
1467,NA,-27.9694
1466,NA,-27.6
1465,NA,-27.5508
1464,NA,-27.4
1463,NA,-27.5905
1462,NA,-27.84
1461,NA,-27.8953
1460,NA,-27.93
1459,NA,-28.5452
1458,NA,-28.71
1457,NA,-28.643
1456,NA,-28.6208
1455,NA,-28.48
1454,NA,-28.3058
1453,NA,-27.85
1452,NA,-27.7945
1451,NA,-27.72
1450,NA,-27.9709
1449,NA,-28.16
1448,NA,-28.4292
1447,NA,-28.54
1446,NA,-28.7415
1445,NA,-28.78
1444,NA,-28.5387
1443,NA,-28.5585
1442,NA,-28.87
1441,NA,-28.9369
1440,NA,-29.21
1439,NA,-29.0858
1438,NA,-28.8
1437,NA,-27.9216
1436,NA,-26.62
1435,NA,-26.5307
1434,NA,-26.44
1433,NA,-26.5399
1432,NA,-26.6594
1431,NA,-27.01
1430,NA,-27.3545
1429,NA,-27.4611
1428,NA,-27.9137
1427,NA,-28.4557
1426,NA,-28.8007
1425,NA,-28.9039
1424,NA,-28.99
1423,NA,-28.6953
1422,NA,-28.3618
1421,NA,-27.9935
1420,NA,-27.51
1419,NA,-28.2126
1418,NA,-28.1398
1417,NA,-27.8469
1416,NA,-27.4373
1415,NA,-27.69
1414,NA,-28.1012
1413,NA,-28.0446
1412,NA,-27.7113
1411,NA,-27.16
1410,NA,-26.8532
1409,NA,-26.876
1408,NA,-27.1556
1407,NA,-27.87
1406,NA,-27.8418
1405,NA,-27.9712
1404,NA,-27.853
1403,NA,-27.4043
1402,NA,-26.83
1401,NA,-26.9884
1400,NA,-27.06
1399,NA,-27.0298
1398,NA,-26.9953
1397,NA,-26.97
1396,NA,-26.8705
1395,NA,-27.2082
1394,NA,-27.4527
1393,NA,-26.59
1392,NA,-26.5979
1391,NA,-26.541
1390,NA,-26.5071
1389,NA,-26.86
1388,NA,-27.0413
1387,NA,-27.0883
1386,NA,-27.0304
1385,NA,-26.24
1384,NA,-26.5346
1383,NA,-27.0024
1382,NA,-27.69
1381,NA,-28.4953
1380,NA,-28.7901
1379,NA,-28.7789
1378,NA,-28.22
1377,NA,-27.9832
1376,NA,-27.9678
1375,NA,-28.22
1374,NA,-28.1037
1373,NA,-27.7342
1372,NA,-27.2299
1371,NA,-26.91
1370,NA,-27.1159
1369,NA,-27.2175
1368,NA,-27.253
1367,NA,-27.08
1366,NA,-27.4677
1365,NA,-27.2234
1364,NA,-26.7641
1363,NA,-27.68
1362,NA,-27.8318
1361,NA,-27.94
1360,NA,-27.9157
1359,NA,-27.9548
1358,NA,-28.1552
1357,NA,-28.57
1356,NA,-29.0276
1355,NA,-28.9605
1354,NA,-28.72
1353,NA,-28.1286
1352,NA,-28.1828
1351,NA,-28.2392
1350,NA,-28.3
1349,NA,-28.5846
1348,NA,-28.7321
1347,NA,-28.82
1346,NA,-28.685
1345,NA,-28.5597
1344,NA,-28.42
1343,NA,-28.0524
1342,NA,-27.8949
1341,NA,-27.7533
1340,NA,-27.61
1339,NA,-27.5323
1338,NA,-27.5975
1337,NA,-28
1336,NA,-28.0525
1335,NA,-28.0206
1334,NA,-27.91
1333,NA,-27.3044
1332,NA,-27.1822
1331,NA,-27.14
1330,NA,-27.5296
1329,NA,-28.1911
1328,NA,-29.0664
1327,NA,-29.2499
1326,NA,-29.15
1325,NA,-28.4573
1324,NA,-28.1101
1323,NA,-27.9716
1322,NA,-28.0283
1321,NA,-27.25
1320,NA,-27.25
1319,NA,-27.2918
1318,NA,-27.301
1317,NA,-27.18
1316,NA,-26.9617
1315,NA,-26.9927
1314,NA,-27.0344
1313,NA,-26.79
1312,NA,-27.0588
1311,NA,-27.2772
1310,NA,-27.4381
1309,NA,-27.13
1308,NA,-26.9266
1307,NA,-26.7464
1306,NA,-26.56
1305,NA,-27.0627
1304,NA,-27.6621
