year (AD) [1-1],d18O (permil) [1-1],d18OUncertainty (permil) [1-1],year (AD) [1-2],d18O (permil) [1-2],count_analyses_B3 () [1-2],d18OUncertainty (permil) [1-2],year (AD) [1-3],d18O (permil) [1-3],count_analyses_C2 () [1-3],year (AD) [1-4],d18O (permil) [1-4],count_analyses_C3 () [1-4],year (AD) [1-5],d18O (permil) [1-5],count_analyses_C5 () [1-5],notes_C5 () [1-5],year (AD) [1-6],d18O (permil) [1-6],d18O (permil) [1-6],count_analyses_C6 () [1-6]
710,-6.1,0,1090,-5.98,2,0.03,-8710,-4.76,1,-19530,-5.04,1,-8620,-4.67,1,NA,-10710,-5,0,2
610,-6.09,0,1010,-5.82,2,0.02,-8720,-4.7,1,-19610,-5.15,1,-8660,-4.85,1,NA,-10760,-4.87,0.04,2
510,-6.01,0.01,930,-6.04,2,0.01,-8740,-4.63,1,-19680,-5.24,1,-8700,-4.63,1,NA,-10810,-4.9,0,2
410,-6.05,0.05,860,-6.14,2,0.08,-8750,-4.54,1,-19760,-5.09,1,-8740,-4.68,1,NA,-10860,-4.92,0.01,2
310,-6.28,0.06,780,-6.04,2,0.04,-8770,-4.81,1,-19840,-4.98,1,-8780,-4.63,1,NA,-10900,-4.82,0,2
210,-6.56,0.19,700,-6.11,2,0.01,-8780,-4.51,1,-19910,-5.01,1,-8820,-4.54,1,NA,-10940,-4.69,0.04,2
110,-6.45,0.16,630,-6.08,2,0,-8800,-4.31,1,-19990,-5.24,1,-8880,-4.68,1,NA,-10970,-4.6,0.01,2
10,-6.41,0.16,550,-6.1,2,0,-8810,-4.44,1,-20070,-5.23,1,-8940,-4.56,1,NA,-11000,-4.66,0.01,2
-90,-6.38,0.04,480,-5.96,2,0.01,-8830,-4.39,1,-20140,-5.27,1,-9000,-4.69,1,NA,-11080,-4.66,0.01,2
-190,-6.41,0.21,410,-6.1,2,0.03,-8840,-4.37,1,-20220,-5.18,1,-9170,-4.41,1,NA,-11150,-4.55,0.03,3
-290,-6.22,0.07,340,-6.29,2,0,-8860,-4.47,1,-20290,-5.18,1,-9230,-4.41,1,NA,-11230,-4.52,0.01,2
-390,-6.22,0.12,270,-6.4,2,0.03,-8900,-4.38,1,-20360,-5.05,1,-9290,-4.47,1,NA,-11310,-4.52,0,2
-490,-6.21,0.13,200,-6.37,2,0.01,-8950,-4.23,1,-20440,-5.13,1,-9360,-4.32,1,NA,-11390,-4.58,0.05,3
-590,-6.28,0.12,130,-6.27,2,0.02,-9000,-4.23,1,-20510,-4.75,1,-9420,-4.26,1,NA,-11470,-4.63,0,2
-690,-6.09,0.08,60,-6.32,2,0.01,-9050,-4.19,1,-20590,-5.09,1,-9480,-4.34,1,NA,-11550,-4.59,0,2
-790,-6.12,0.03,-10,-6.23,2,0.04,-9100,-4.22,1,-20660,-5.33,1,-9540,-4.57,1,NA,-11630,-4.51,0.01,2
-890,-6.05,NA,-70,-6.31,2,0.04,-9160,-4.28,1,-20740,-5.04,1,-9630,-4.65,1,NA,-11710,-4.52,0.02,2
-990,-6.07,NA,-120,-6.37,2,0.04,-9210,-4.15,1,-20810,-4.9,1,-9740,-4.69,1,NA,-11790,-4.64,0.01,2
-1090,-6.13,NA,-180,-6.23,3,0.01,-9260,-4.27,1,-20890,-4.93,1,-9850,-4.91,1,NA,-11870,-4.61,0.01,2
-1190,-6.23,NA,-250,-5.97,2,0.01,-9310,-4.18,1,-20960,-5.1,1,-9950,-4.83,1,NA,-11940,-4.54,0.01,2
-1290,-6.06,NA,-330,-6.32,2,0.01,-9360,-4.33,1,-21040,-4.9,1,-10060,-4.86,1,NA,-12020,-4.59,0,2
-1390,-6.03,NA,-420,-6.35,2,0.01,-9410,-4.44,1,-21110,-4.99,1,-10170,-4.77,1,NA,-12100,-4.68,0.04,2
-1490,-6.02,NA,-500,-6.04,2,0.01,-9470,-4.57,1,-21190,-5.06,1,-10280,-4.85,1,NA,-12180,-4.48,0.01,2
-1590,-6.05,NA,-590,-6.16,2,0.01,-9520,-4.67,1,-21260,-4.97,1,-10390,-4.71,1,NA,-12260,-4.64,0.02,2
-1690,-6.11,0.07,-670,-6.14,2,0.05,-9570,-4.57,1,-21340,-4.91,1,-10500,-4.69,1,NA,-12340,-4.54,0.03,2
-1790,-6.09,0.15,-690,-5.99,2,0.03,-9620,-4.66,1,-21410,-4.76,1,-10610,-4.86,1,NA,-12420,-4.55,0.01,2
-1890,-6.09,0.22,-750,-6.13,2,0.03,-9670,-4.55,1,-21480,-5.49,1,-10720,-4.79,1,NA,-12500,-4.44,0.01,2
-1990,-6.39,0.03,-840,-6.05,2,0.02,-9720,-4.41,1,-21520,-5.09,1,-10830,-4.78,1,NA,-12810,-4.84,0.03,3
-2090,-6.38,0.02,-940,-6.04,2,0.04,-9780,-4.6,1,-23970,-4.19,1,-10910,-4.72,1,NA,-13090,-4.69,0.01,2
-2190,-5.98,0.29,-1070,-6.11,2,0.01,-9830,-5.12,1,-24120,-4.03,1,-10970,-4.6,1,NA,-13120,-4.91,0.01,2
-2290,-6.09,0.08,-1190,-6.23,2,0,-9880,-4.47,1,-24280,-4.15,1,-11040,-4.58,1,NA,-13120,-4.93,NA,1
-2390,-6.05,0.15,-1310,-6.02,2,0.01,-9930,-4.86,1,-24430,-4.25,1,-11100,-4.67,1,NA,-13290,-5.02,NA,1
-2490,-6.08,0.12,-1430,-6.03,2,0.03,-9980,-4.89,1,-24580,-4.49,1,-11160,-4.67,1,NA,-13520,-5.18,NA,1
-2590,-5.87,0.28,-1540,-6.02,2,0.01,-10030,-4.58,1,-24740,-4.52,1,-11230,-4.59,1,NA,-13750,-5,NA,1
-2690,-6.03,0.04,-1630,-6.07,2,0.01,-10070,-4.49,1,-24890,-4.36,1,-11290,-4.56,1,NA,-13970,-4.99,NA,1
-2790,-5.89,0.11,-1720,-6.23,2,0.01,-10110,-4.6,1,-25050,-4.33,1,-11360,-4.61,1,NA,-14200,-5.17,NA,1
-2890,-5.96,0.23,-1820,-6.25,2,0.03,-10150,-4.46,1,-25200,-4.33,1,-11420,-4.5,1,NA,-14430,-5.24,NA,1
-2990,-5.84,0.31,-1910,-6.32,2,0.03,-10190,-4.64,1,-25350,-4.34,1,-11480,-4.67,1,NA,-14480,-5.19,NA,1
-3090,-5.99,0.23,-2000,-6.36,2,0.02,-10460,-4.79,1,-25510,-4.45,1,-11550,-4.59,1,NA,-14530,-5.13,NA,1
-3190,-5.91,0.24,-2090,-6.4,2,0.01,-10620,-4.9,1,-25660,-4.22,1,-11610,-4.48,1,NA,-14590,-5.22,NA,1
-3290,-6.05,0.25,-2200,-6.26,2,0.01,-10770,-4.72,1,-25820,-4.06,1,-11670,-4.54,1,NA,-14640,-5.25,0.14,2
-3390,-6.03,0.22,-2310,-6.14,2,0.01,-10960,-4.66,1,NA,NA,NA,-11740,-4.48,1,NA,-14690,-5.09,NA,1
-3490,-6.08,0.12,-2430,-6.23,2,0.05,-11030,-4.65,1,NA,NA,NA,-12360,-4.43,1,NA,-14740,-5.26,NA,1
-3590,-6.05,0.17,-2540,-6.17,2,0.01,-11100,-4.69,1,NA,NA,NA,-12450,-4.45,1,NA,-14800,-5.25,NA,1
-3690,-6.28,0.03,-2650,-6.11,2,0.02,-11180,-4.78,1,NA,NA,NA,-12550,-4.56,1,NA,-14860,-5.2,NA,1
-3790,-6.38,0.04,-2760,-6,2,0.01,-11250,-4.62,1,NA,NA,NA,-12640,-4.49,1,NA,-14930,-5.43,NA,1
-3890,-6.27,0.07,-2850,-5.99,2,0.01,-11320,-4.41,1,NA,NA,NA,-12740,-4.95,1,NA,-15000,-5.5,NA,1
-3990,-6.18,0.02,-2900,-6.25,2,0.05,-11390,-4.62,1,NA,NA,NA,-12830,-4.96,1,NA,-15070,-5.55,NA,1
-4090,-6.37,0.12,-2960,-6.16,2,0.03,-11460,-4.55,1,NA,NA,NA,-12930,-4.89,1,NA,-15130,-5.49,NA,1
-4190,-6.15,0.04,-3000,-6.15,2,0.01,-11540,-4.4,1,NA,NA,NA,-13050,-4.86,1,NA,-15200,-5.48,NA,1
-4290,-6.22,0.03,-3040,-6.24,2,0.01,-11680,-4.29,1,NA,NA,NA,-13350,-5.15,1,NA,-15270,-5.52,NA,1
-4390,-6.24,0.01,-3100,-6.22,2,0.02,NA,NA,NA,NA,NA,NA,-13720,-5.25,1,NA,-15340,-4.93,NA,1
-4490,-6.39,NA,-3150,-6.18,2,0.01,NA,NA,NA,NA,NA,NA,-13840,-5.3,1,NA,-15410,-4.99,NA,1
-4590,-6.35,NA,-3210,-6.14,2,0.01,NA,NA,NA,NA,NA,NA,-13990,-5.24,1,NA,-15480,-5.27,NA,1
-4690,-6.15,NA,-3270,-6.25,2,0.01,NA,NA,NA,NA,NA,NA,-14150,-5.43,1,NA,-15550,-5.09,NA,1
-4790,-6.31,NA,-3330,-6.36,2,0.03,NA,NA,NA,NA,NA,NA,-14310,-5.34,1,NA,-17450,-5.29,0.02,3
-4890,-6.16,NA,-3380,-6.25,2,0.01,NA,NA,NA,NA,NA,NA,-14470,-5.03,1,NA,-17490,-4.93,0.02,3
-4990,-6.14,NA,-3450,-6.18,2,0.03,NA,NA,NA,NA,NA,NA,-14550,-5.07,1,NA,-17530,-5.56,0.02,2
-5090,-6.31,NA,-3520,-6.22,2,0.02,NA,NA,NA,NA,NA,NA,-14580,-4.87,1,NA,-17580,-5.62,0.03,2
-5190,-6.12,NA,-3600,-6.22,2,0.01,NA,NA,NA,NA,NA,NA,-14620,-5.06,1,NA,-17620,-5.61,0.01,2
-5290,-6.19,NA,-3680,-6.29,2,0.04,NA,NA,NA,NA,NA,NA,-14700,-4.97,1,NA,-17660,-5.59,0.02,2
-5390,-6.23,NA,-3750,-6.44,2,0.02,NA,NA,NA,NA,NA,NA,-14780,-4.85,1,NA,-17710,-5.61,0.01,2
-5490,-6.2,NA,-3830,-6.39,2,0.02,NA,NA,NA,NA,NA,NA,-14870,-5.03,1,NA,-17750,-5.63,0,2
-5590,-6.2,NA,-3900,-6.16,2,0.01,NA,NA,NA,NA,NA,NA,-14950,-5.1,1,NA,-17790,-5.62,0.01,2
-5690,-6.1,NA,-3980,-6.14,2,0.03,NA,NA,NA,NA,NA,NA,-15030,-5.12,1,NA,-17840,-5.54,0.02,2
-5790,-6.23,NA,-4060,-6.31,2,0.02,NA,NA,NA,NA,NA,NA,-15110,-5.13,1,Sample corrected for aragonite,-17890,-5.6,0.01,3
-5890,-5.83,NA,-4150,-6.09,2,0.01,NA,NA,NA,NA,NA,NA,-15200,-5.22,1,Sample corrected for aragonite,-17970,-5.71,0.01,2
-5990,-6.08,NA,-4240,-6.34,2,0.01,NA,NA,NA,NA,NA,NA,-15280,-5.16,1,Sample corrected for aragonite,-18040,-5.58,0.01,2
-6090,-5.91,NA,-4330,-6.17,2,0.05,NA,NA,NA,NA,NA,NA,-15360,-5.17,1,Sample corrected for aragonite,-18120,-5.16,0.04,2
-6190,-5.84,NA,-4420,-6.27,2,0.02,NA,NA,NA,NA,NA,NA,-15440,-5.3,1,Sample corrected for aragonite,-18200,-5.36,0.01,2
-6290,-5.51,NA,-4500,-6.41,2,0.02,NA,NA,NA,NA,NA,NA,-15520,-5.19,1,Sample corrected for aragonite,-18280,-5.22,0.01,2
-6390,-5.58,NA,-4590,-6.35,2,0,NA,NA,NA,NA,NA,NA,-15610,-5.05,1,Sample corrected for aragonite,-18360,-5.2,0.02,2
-6490,-5.73,NA,-4640,-6.34,2,0.01,NA,NA,NA,NA,NA,NA,-15690,-4.75,1,Sample corrected for aragonite,-18450,-5.22,0.04,2
-6590,-5.65,0.13,-4680,-6.13,2,0.04,NA,NA,NA,NA,NA,NA,-15770,-4.53,1,Sample corrected for aragonite,-18530,-5.34,0.02,2
-6690,-5.6,0.2,-4730,-6.23,2,0.01,NA,NA,NA,NA,NA,NA,-15850,-4.58,1,Sample corrected for aragonite,-18610,-5.54,0.02,3
-6790,-5.75,0.03,-4770,-6.31,2,0.01,NA,NA,NA,NA,NA,NA,-15940,-4.77,1,Sample corrected for aragonite,-18700,-5.39,0.03,2
-6890,-5.56,0.03,-4820,-6.32,2,0.01,NA,NA,NA,NA,NA,NA,-16020,-4.53,1,Sample corrected for aragonite,-18780,-5.35,0.01,2
-6990,-5.61,0,-4860,-5.93,2,0,NA,NA,NA,NA,NA,NA,-16100,-4.4,1,Sample corrected for aragonite,-18860,-5.41,0.01,2
-7090,-5.57,0.02,-4900,-6.26,2,0.02,NA,NA,NA,NA,NA,NA,-16180,-4.47,1,Sample corrected for aragonite,-18950,-5.23,0,2
-7190,-5.45,0.04,-4950,-6.05,2,0.01,NA,NA,NA,NA,NA,NA,-16260,-4.45,1,Sample corrected for aragonite,-19030,-5.21,0.01,2
-7290,-5.44,0.1,-4990,-6.14,2,0,NA,NA,NA,NA,NA,NA,-16340,-4.6,1,Sample corrected for aragonite,-19110,-5.42,0.01,2
-7390,-5.34,0.15,-5040,-6.37,2,0.02,NA,NA,NA,NA,NA,NA,-16420,-4.52,1,Sample corrected for aragonite,-19190,-5.22,0.03,4
-7490,-5.1,0.02,-5090,-6.32,2,0.01,NA,NA,NA,NA,NA,NA,-16490,-4.73,1,Sample corrected for aragonite,-19280,-5.47,0.03,2
-7590,-5.1,0.11,-5140,-6.09,2,0,NA,NA,NA,NA,NA,NA,-16570,-4.97,1,Sample corrected for aragonite,-19360,-5.4,0,2
-7690,-4.94,0.15,-5200,-6.12,2,0.03,NA,NA,NA,NA,NA,NA,-16650,-4.8,1,Sample corrected for aragonite,-19440,-5.4,0.04,2
-7790,-5.19,0.06,-5250,-6.11,2,0.01,NA,NA,NA,NA,NA,NA,-16730,-5.07,1,Sample corrected for aragonite,-19530,-5.62,0.01,2
-7890,-4.91,0.14,-5300,-6.21,2,0.01,NA,NA,NA,NA,NA,NA,-16810,-5.09,1,Sample corrected for aragonite,-19610,-5.42,0.05,2
-7990,-4.98,0.04,-5360,-6.26,2,0,NA,NA,NA,NA,NA,NA,-16890,-5.11,1,Sample corrected for aragonite,-19690,-5.38,0.01,2
-8090,-4.81,0.19,-5410,-6.22,2,0.01,NA,NA,NA,NA,NA,NA,-16970,-4.98,1,Sample corrected for aragonite,-19770,-5.48,0.01,2
-8190,-4.91,0.05,-5460,-6.17,3,0.06,NA,NA,NA,NA,NA,NA,-17050,-4.89,1,Sample corrected for aragonite,-19850,-5.68,0,2
-8290,-4.91,0.02,-5520,-6.23,2,0.03,NA,NA,NA,NA,NA,NA,-17130,-4.62,1,Sample corrected for aragonite,-19910,-5.51,0,2
-8390,-4.81,0.03,-5570,-6.25,2,0.02,NA,NA,NA,NA,NA,NA,-17200,-5.47,1,Sample corrected for aragonite,-19970,-5.3,0,2
-8490,-4.74,0.06,-5620,-6.12,2,0.02,NA,NA,NA,NA,NA,NA,-17280,-5.43,1,Sample corrected for aragonite,-20040,-5.21,0.01,2
-8590,-4.78,0.11,-5680,-6.09,2,0.04,NA,NA,NA,NA,NA,NA,-17360,-5.49,1,Sample corrected for aragonite,-20100,-5.33,0.02,2
-8690,-4.54,0.07,-5720,-6.13,2,0.02,NA,NA,NA,NA,NA,NA,-17390,-5.69,1,Sample corrected for aragonite,-20160,-5.07,0.01,2
-8790,-4.5,0.06,-5750,-6.2,2,0.01,NA,NA,NA,NA,NA,NA,-17420,-5.41,1,Sample corrected for aragonite,-20230,-5.19,0.01,2
-8890,-4.53,0.07,-5790,-6.23,2,0.04,NA,NA,NA,NA,NA,NA,-17440,-4.8,1,Sample corrected for aragonite,-20290,-5.24,0.01,2
-8990,-4.47,0.13,-5830,-6.22,2,0.02,NA,NA,NA,NA,NA,NA,-17850,-4.76,1,NA,-20360,-5.28,0.01,2
-9090,-4.34,0.1,-5870,-5.8,2,0,NA,NA,NA,NA,NA,NA,-18000,-4.72,1,NA,-20420,-5.22,0.01,2
-9190,-4.31,0.06,-5920,-5.86,2,0.02,NA,NA,NA,NA,NA,NA,-18110,-4.85,1,NA,-20480,-5.07,0.01,2
-9290,-4.32,0.07,-5990,-6.09,2,0.01,NA,NA,NA,NA,NA,NA,-18130,-4.84,1,NA,-20550,-5.13,0.01,2
-9390,-4.29,0.05,-6060,-5.96,2,0.01,NA,NA,NA,NA,NA,NA,-18230,-4.95,1,NA,-20630,-5.15,0.03,2
-9490,-4.55,0.09,-6140,-5.83,2,0.01,NA,NA,NA,NA,NA,NA,-18470,-5.05,1,NA,-20700,-4.99,0.04,2
-9590,-4.65,0.04,-6160,-5.76,2,0.06,NA,NA,NA,NA,NA,NA,-18710,-5.17,1,NA,-20760,-5.17,0.01,2
-9690,-4.55,0.06,-6170,-5.97,1,–,NA,NA,NA,NA,NA,NA,-18950,-5.21,1,NA,-20830,-4.96,0,2
-9790,-4.79,0.01,-6190,-5.82,1,–,NA,NA,NA,NA,NA,NA,-19150,-5.19,1,NA,-20900,-5.16,0.02,2
-9890,-4.72,0.07,-6220,-5.77,1,–,NA,NA,NA,NA,NA,NA,-19320,-5.24,1,NA,-20960,-5.1,0,2
-9990,-4.78,0.03,-6240,-5.73,1,–,NA,NA,NA,NA,NA,NA,-19490,-5.25,1,NA,-21030,-4.96,0,2
-10090,-4.71,0.08,-6270,-5.83,2,0.04,NA,NA,NA,NA,NA,NA,-19660,-5.16,1,NA,-21100,-5.15,0.04,2
-10190,-4.83,0.08,-6300,-5.43,2,0.02,NA,NA,NA,NA,NA,NA,-19830,-4.95,1,NA,-21160,-5.12,0.03,2
-10290,-4.76,0.09,-6340,-5.37,2,0.01,NA,NA,NA,NA,NA,NA,-20010,-5.11,1,NA,-21230,-5.18,0.01,2
-10390,-4.72,0.04,-6400,-5.63,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21300,-5.22,0.02,2
-10490,-4.74,0.1,-6470,-5.73,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21360,-5.15,0.06,2
-10590,-4.77,0.12,-6540,-5.72,2,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21430,-5.11,0.01,2
-10690,-4.86,0.05,-6600,-5.8,2,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21500,-4.9,0.01,2
-10790,-4.79,0.05,-6670,-5.75,2,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21560,-4.99,0.01,2
-10890,-4.75,0.05,-6740,-5.92,2,0.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-10990,-4.63,0.02,-6800,-5.76,2,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11090,-4.66,0.01,-6850,-5.75,2,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11190,-4.64,0.06,-6900,-5.49,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11290,-4.53,0.02,-6970,-5.57,2,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11390,-4.58,0.02,-7040,-5.7,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11490,-4.59,0.05,-7110,-5.49,2,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11590,-4.47,0.06,-7180,-5.4,2,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11690,-4.52,0,-7210,-5.45,2,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11790,-4.64,NA,-7220,-5.47,2,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11890,-4.59,NA,-7240,-5.24,2,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-11990,-4.57,NA,-7320,-5.4,2,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12090,-4.67,NA,-7370,-5.19,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12190,-4.5,NA,-7430,-5.17,2,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12290,-4.6,NA,-7520,-5.1,2,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12390,-4.49,0.05,-7610,-5.25,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12490,-4.47,0.02,-7710,-5.06,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12590,-4.54,0.01,-7800,-5.14,2,0.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12690,-4.7,0.01,-7900,-5.04,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12790,-4.88,0.07,-8000,-4.94,2,0.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12890,-4.86,0.06,-8090,-4.9,2,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-12990,-4.81,0.07,-8150,-4.78,2,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-13090,-4.8,0.11,-8200,-4.9,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-13190,-4.98,0.02,-8270,-4.95,2,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-13290,-5.06,0.04,-8320,-4.85,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-13390,-5.13,0.04,-8400,-4.86,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-13490,-5.17,0.02,-8470,-4.74,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-13590,-5.17,0.05,-8540,-4.85,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-13690,-5.15,0.1,-8620,-4.81,2,0.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-13790,-5.14,0.14,-8690,-4.63,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-13890,-5.14,0.14,-19790,-4.52,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-13990,-5.12,0.12,-20000,-4.88,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-14090,-5.22,0.14,-20270,-4.87,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-14190,-5.29,0.12,-20540,-4.92,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-14290,-5.27,0.08,-20800,-4.9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-14390,-5.21,0.02,-21070,-4.68,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-14490,-5.11,0.07,-21340,-4.68,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-14590,-5.07,0.15,-21610,-4.58,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-14690,-5.04,0.05,-21880,-4.69,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-14790,-5.06,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-14890,-5.17,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-14990,-5.3,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-15090,-5.33,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-15190,-5.35,0.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-15290,-5.26,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-15390,-5.09,0.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-15490,-5.24,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-15590,-5.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-15690,-4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-15790,-4.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-15890,-4.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
