year (AD) [1-1],d18O (permil) [1-1],year (AD) [2-1],Sr_Ca (mmol/mol) [2-1],d18O (permil) [2-1]
1991.96,0.44,1992.04,8.94,-5.17
1991.88,0.34,1991.96,8.94,-5.32
1991.79,0.39,1991.88,8.93,-5.45
1991.71,0.44,1991.79,8.87,-5.55
1991.63,0.42,1991.71,8.85,-5.54
1991.54,0.62,1991.63,8.86,-5.55
1991.46,0.48,1991.54,8.84,-5.38
1991.38,0.45,1991.46,8.89,-5.42
1991.29,0.66,1991.38,8.95,-5.29
1991.21,0.73,1991.29,8.95,-5.09
1991.13,0.74,1991.21,8.92,-5.09
1991.04,0.63,1991.13,8.9,-5.12
1990.96,0.55,1991.04,8.95,-5.12
1990.88,0.49,1990.96,8.91,-5.28
1990.79,0.61,1990.88,8.87,-5.44
1990.71,0.48,1990.79,8.83,-5.43
1990.63,0.27,1990.71,8.91,-5.36
1990.54,0.6,1990.63,8.97,-5.44
1990.46,0.58,1990.54,8.95,-5.15
1990.38,0.62,1990.46,8.96,-5.15
1990.29,0.54,1990.38,8.98,-5.05
1990.21,0.65,1990.29,9,-5.09
1990.13,0.67,1990.21,8.98,-5.03
1990.04,0.65,1990.13,8.96,-5.05
1989.96,0.62,1990.04,8.99,-5
1989.88,0.47,1989.96,8.98,-5.05
1989.79,0.56,1989.88,9.01,-5.13
1989.71,0.5,1989.79,9.01,-5.04
1989.63,0.51,1989.71,8.98,-5.18
1989.54,0.5,1989.63,8.96,-5.22
1989.46,0.52,1989.54,9,-5.14
1989.38,0.66,1989.46,9.02,-5.07
1989.29,0.61,1989.38,9.03,-4.89
1989.21,0.59,1989.29,9.03,-4.94
1989.13,0.68,1989.21,9.06,-4.9
1989.04,0.55,1989.13,9.03,-4.88
1988.96,0.53,1989.04,9.08,-4.88
1988.88,0.57,1988.96,9.11,-4.84
1988.79,0.55,1988.88,9.07,-4.89
1988.71,0.35,1988.79,9.07,-4.91
1988.63,0.64,1988.71,9.09,-5.06
1988.54,0.56,1988.63,9.03,-4.93
1988.46,0.56,1988.54,9.03,-4.99
1988.38,0.59,1988.46,9.03,-5
1988.29,0.64,1988.38,9.01,-5.01
1988.21,0.67,1988.29,9.01,-4.97
1988.13,0.68,1988.21,8.99,-4.99
1988.04,0.68,1988.13,8.99,-4.97
1987.96,0.4,1988.04,8.94,-5.09
1987.88,0.47,1987.96,8.97,-5.29
1987.79,0.39,1987.88,8.88,-5.45
1987.71,0.44,1987.79,8.85,-5.59
1987.63,0.3,1987.71,8.86,-5.52
1987.54,0.47,1987.63,8.96,-5.41
1987.46,0.52,1987.54,8.99,-5.17
1987.38,0.57,1987.46,9.01,-5.08
1987.29,0.55,1987.38,9.02,-5.02
1987.21,0.54,1987.29,9.05,-4.96
1987.13,0.58,1987.21,9.01,-5.05
1987.04,0.37,1987.13,9.04,-4.95
1986.96,0.34,1987.04,9,-5.25
1986.88,0.07,1986.96,9.01,-5.27
1986.79,0.28,1986.88,8.98,-5.61
1986.71,0.18,1986.79,8.89,-5.61
1986.63,0.24,1986.71,8.95,-5.57
1986.54,0.39,1986.63,8.93,-5.56
1986.46,0.25,1986.54,8.96,-5.33
1986.38,0.49,1986.46,9.01,-5.35
1986.29,0.52,1986.38,9.03,-5.07
1986.21,0.44,1986.29,9.04,-5.02
1986.13,0.57,1986.21,9.08,-5.01
1986.04,0.8,1986.13,9.06,-4.91
1985.96,0.71,1986.04,9.02,-4.78
1985.88,0.57,1985.96,8.98,-4.96
1985.79,0.52,1985.88,8.93,-5.21
1985.71,0.63,1985.79,8.94,-5.25
1985.63,0.79,1985.71,8.94,-5.13
1985.54,0.71,1985.63,8.91,-5.05
1985.46,0.65,1985.54,8.93,-5.08
1985.38,0.76,1985.46,9,-4.98
1985.29,0.71,1985.38,8.96,-4.95
1985.21,0.65,1985.29,9,-4.91
1985.13,0.7,1985.21,9.04,-4.89
1985.04,0.87,1985.13,9.04,-4.83
1984.96,0.66,1985.04,8.99,-4.79
1984.88,0.61,1984.96,9.03,-4.91
1984.79,0.72,1984.88,9.03,-4.94
1984.71,0.72,1984.79,8.96,-5
1984.63,0.61,1984.71,8.98,-4.95
1984.54,0.63,1984.63,9.01,-5
1984.46,0.6,1984.54,9,-5
1984.38,0.65,1984.46,9.04,-4.93
1984.29,0.77,1984.38,9.04,-4.88
1984.21,0.65,1984.29,9.03,-4.78
1984.13,0.59,1984.21,9.06,-4.83
1984.04,0.72,1984.13,9.1,-4.8
1983.96,0.79,1984.04,9.04,-4.82
1983.88,0.78,1983.96,9.03,-4.77
1983.79,0.56,1983.88,8.98,-4.9
1983.71,0.52,1983.79,9.05,-4.94
1983.63,0.63,1983.71,8.99,-5.14
1983.54,0.72,1983.63,9.02,-4.95
1983.46,0.56,1983.54,8.96,-5
1983.38,0.72,1983.46,8.9,-5.3
1983.29,0.76,1983.38,8.93,-5.09
1983.21,0.82,1983.29,8.91,-5.08
1983.13,0.7,1983.21,8.92,-5
1983.04,0.74,1983.13,8.96,-5.03
1982.96,0.83,1983.04,8.92,-5.08
1982.88,0.76,1982.96,8.93,-4.96
1982.79,0.76,1982.88,8.93,-5.04
1982.71,0.7,1982.79,8.92,-5.05
1982.63,0.6,1982.71,8.87,-5.24
1982.54,0.68,1982.63,8.84,-5.41
1982.46,0.7,1982.54,8.86,-5.29
1982.38,0.65,1982.46,8.86,-5.26
1982.29,0.5,1982.38,8.92,-5.17
1982.21,0.76,1982.29,9.02,-5.08
1982.13,0.73,1982.21,8.97,-4.93
1982.04,0.75,1982.13,8.96,-4.99
1981.96,0.64,1982.04,8.98,-4.92
1981.88,0.62,1981.96,8.98,-5.04
1981.79,0.66,1981.88,8.96,-5.11
1981.71,0.71,1981.79,8.94,-5.1
1981.63,0.65,1981.71,8.92,-5.12
1981.54,0.63,1981.63,8.92,-5.17
1981.46,0.67,1981.54,8.93,-5.16
1981.38,0.61,1981.46,8.98,-5
1981.29,0.69,1981.38,9,-5.01
1981.21,0.58,1981.29,8.99,-4.95
1981.13,0.63,1981.21,9.05,-4.93
1981.04,0.67,1981.13,9.05,-4.87
1980.96,0.82,1981.04,9.03,-4.88
1980.88,0.74,1980.96,8.94,-4.95
1980.79,0.61,1980.88,8.96,-4.98
1980.71,0.57,1980.79,8.97,-5.08
1980.63,0.4,1980.71,8.92,-5.24
1980.54,0.42,1980.63,8.92,-5.42
1980.46,0.55,1980.54,8.96,-5.29
1980.38,0.84,1980.46,8.97,-5.15
1980.29,0.72,1980.38,8.89,-5.05
1980.21,0.6,1980.29,8.9,-5.14
1980.13,0.62,1980.21,8.99,-5.05
1980.04,0.67,1980.13,8.97,-5.08
1979.96,0.64,1980.04,8.96,-5.05
1979.88,0.57,1979.96,8.96,-5.08
1979.79,0.62,1979.88,8.96,-5.15
1979.71,0.58,1979.79,8.95,-5.12
1979.63,0.44,1979.71,8.94,-5.19
1979.54,0.45,1979.63,8.95,-5.31
1979.46,0.45,1979.54,8.99,-5.2
1979.38,0.63,1979.46,9.03,-5.11
1979.29,0.67,1979.38,8.98,-5.04
1979.21,0.72,1979.29,8.94,-5.11
1979.13,0.72,1979.21,8.97,-4.98
1979.04,0.7,1979.13,9.01,-4.88
1978.96,0.74,1979.04,9.01,-4.89
1978.88,0.84,1978.96,9.03,-4.81
1978.79,0.52,1978.88,8.97,-4.86
1978.71,0.54,1978.79,9.04,-5.01
1978.63,0.62,1978.71,9,-5.08
1978.54,0.6,1978.63,8.96,-5.09
1978.46,0.69,1978.54,8.95,-5.15
1978.38,0.78,1978.46,8.99,-4.96
1978.29,0.71,1978.38,8.95,-4.96
1978.21,0.68,1978.29,9,-4.92
1978.13,0.69,1978.21,9.03,-4.89
1978.04,0.76,1978.13,9.04,-4.85
1977.96,0.8,1978.04,9.01,-4.84
1977.88,0.74,1977.96,8.97,-4.89
1977.79,0.67,1977.88,8.96,-4.98
1977.71,0.56,1977.79,8.93,-5.11
1977.63,0.57,1977.71,8.96,-5.15
1977.54,0.67,1977.63,8.98,-5.1
1977.46,0.78,1977.54,8.94,-5.09
1977.38,0.81,1977.46,8.94,-5
1977.29,0.87,1977.38,8.96,-4.91
1977.21,0.65,1977.29,8.96,-4.85
1977.13,0.71,1977.21,9.06,-4.83
1977.04,0.86,1977.13,9.03,-4.85
1976.96,0.67,1977.04,8.99,-4.79
1976.88,0.56,1976.96,9.01,-4.94
1976.79,0.46,1976.88,9,-5.06
1976.71,0.31,1976.79,8.97,-5.25
1976.63,0.39,1976.71,8.97,-5.39
1976.54,0.48,1976.63,8.92,-5.43
1976.46,0.39,1976.54,8.96,-5.24
1976.38,0.74,1976.46,9.02,-5.18
1976.29,0.8,1976.38,9.01,-4.87
1976.21,0.68,1976.29,9.06,-4.69
1976.13,0.63,1976.21,9.08,-4.75
1976.04,0.67,1976.13,9.17,-4.59
1975.96,0.64,1976.04,9.16,-4.57
1975.88,0.74,1975.96,9.15,-4.63
1975.79,0.82,1975.88,9.09,-4.68
1975.71,0.88,1975.79,9.02,-4.75
1975.63,0.76,1975.71,9,-4.75
1975.54,0.83,1975.63,9.03,-4.79
1975.46,0.79,1975.54,9.05,-4.68
1975.38,0.74,1975.46,9.06,-4.68
1975.29,0.93,1975.38,9.09,-4.66
1975.21,0.85,1975.29,9.01,-4.66
1975.13,0.89,1975.21,9.04,-4.68
1975.04,0.78,1975.13,9.03,-4.66
1974.96,0.83,1975.04,9.03,-4.79
1974.88,0.75,1974.96,9.01,-4.78
1974.79,0.86,1974.88,9.04,-4.78
1974.71,0.57,1974.79,8.95,-4.9
1974.63,0.67,1974.71,8.98,-5.1
1974.54,0.85,1974.63,8.93,-5.14
1974.46,0.88,1974.54,8.92,-4.96
1974.38,0.81,1974.46,8.94,-4.9
1974.29,0.76,1974.38,9.01,-4.79
1974.21,0.84,1974.29,9.04,-4.77
1974.13,0.98,1974.21,9.07,-4.62
1974.04,1.06,1974.13,9.01,-4.63
1973.96,1.14,1974.04,9,-4.57
1973.88,0.99,1973.96,8.97,-4.56
1973.79,1,1973.88,9.01,-4.61
1973.71,1.03,1973.79,8.97,-4.69
1973.63,0.77,1973.71,8.97,-4.66
1973.54,0.83,1973.63,9,-4.86
1973.46,0.88,1973.54,9.02,-4.75
1973.38,0.91,1973.46,9.05,-4.63
1973.29,0.87,1973.38,9,-4.72
1973.21,0.97,1973.29,8.99,-4.79
1973.13,1.08,1973.21,8.97,-4.73
1973.04,0.89,1973.13,8.95,-4.67
1972.96,0.61,1973.04,8.94,-4.88
1972.88,0.58,1972.96,8.9,-5.27
1972.79,0.49,1972.88,8.86,-5.38
1972.71,0.42,1972.79,8.88,-5.42
1972.63,0.54,1972.71,8.9,-5.45
1972.54,0.66,1972.63,8.88,-5.37
1972.46,0.75,1972.54,8.91,-5.18
1972.38,0.84,1972.46,8.94,-5.02
1972.29,0.86,1972.38,8.94,-4.92
1972.21,0.93,1972.29,9.02,-4.72
1972.13,0.84,1972.21,8.97,-4.76
1972.04,0.87,1972.13,9.03,-4.71
1971.96,0.88,1972.04,9,-4.76
1971.88,0.77,1971.96,9.02,-4.7
1971.79,0.86,1971.88,9.04,-4.76
1971.71,0.85,1971.79,8.96,-4.86
1971.63,0.76,1971.71,8.97,-4.86
1971.54,1,1971.63,8.99,-4.89
1971.46,1.1,1971.54,8.95,-4.74
1971.38,0.93,1971.46,8.93,-4.69
1971.29,0.96,1971.38,9.03,-4.63
1971.21,1.01,1971.29,9.01,-4.65
1971.13,1.09,1971.21,8.99,-4.65
1971.04,0.87,1971.13,8.97,-4.61
1970.96,0.79,1971.04,9.04,-4.66
1970.88,0.7,1970.96,9.06,-4.69
1970.79,0.92,1970.88,9.08,-4.73
1970.71,0.88,1970.79,8.98,-4.77
1970.63,0.76,1970.71,8.95,-4.87
1970.54,0.82,1970.63,8.99,-4.89
1970.46,0.79,1970.54,8.98,-4.85
1970.38,0.74,1970.46,9.01,-4.82
1970.29,0.72,1970.38,9.05,-4.78
1970.21,0.73,1970.29,9.04,-4.81
1970.13,0.81,1970.21,9.03,-4.83
1970.04,0.73,1970.13,9.01,-4.79
1969.96,0.76,1970.04,9.01,-4.86
1969.88,0.57,1969.96,8.93,-5.04
1969.79,0.63,1969.88,8.91,-5.28
1969.71,0.54,1969.79,8.93,-5.16
1969.63,0.35,1969.71,8.88,-5.37
1969.54,0.41,1969.63,8.91,-5.49
1969.46,0.47,1969.54,8.91,-5.43
1969.38,0.53,1969.46,8.91,-5.37
1969.29,0.62,1969.38,8.91,-5.31
1969.21,0.7,1969.29,8.92,-5.21
1969.13,0.78,1969.21,8.92,-5.11
1969.04,0.57,1969.13,8.93,-5.02
1968.96,0.77,1969.04,8.96,-5.16
1968.88,0.65,1968.96,8.91,-5.07
1968.79,0.77,1968.88,8.91,-5.19
1968.71,0.65,1968.79,8.84,-5.24
1968.63,0.66,1968.71,8.86,-5.31
1968.54,0.76,1968.63,8.89,-5.23
1968.46,0.87,1968.54,8.93,-5.03
1968.38,0.98,1968.46,8.89,-5.03
1968.29,0.95,1968.38,8.87,-4.97
1968.21,0.94,1968.29,8.89,-4.93
1968.13,0.66,1968.21,8.92,-4.89
1968.04,0.82,1968.13,9.01,-4.94
1967.96,0.7,1968.04,8.95,-4.94
1967.88,0.73,1967.96,8.97,-5
1967.79,0.85,1967.88,8.96,-4.99
1967.71,0.82,1967.79,8.9,-5.02
1967.63,0.66,1967.71,8.88,-5.08
1967.54,0.86,1967.63,8.93,-5.12
1967.46,0.78,1967.54,8.88,-5.05
1967.38,0.79,1967.46,8.91,-5.07
1967.29,0.68,1967.38,8.95,-4.96
1967.21,0.76,1967.29,8.97,-5.01
1967.13,0.71,1967.21,8.96,-4.96
1967.04,0.74,1967.13,9.01,-4.9
1966.96,0.72,1967.04,9,-4.88
1966.88,0.71,1966.96,9,-4.92
1966.79,0.91,1966.88,8.97,-4.98
1966.71,0.85,1966.79,8.88,-5
1966.63,0.74,1966.71,8.83,-5.18
1966.54,0.76,1966.63,8.86,-5.22
1966.46,0.8,1966.54,8.89,-5.13
1966.38,0.85,1966.46,8.9,-5.05
1966.29,0.73,1966.38,8.89,-5.03
1966.21,0.77,1966.29,8.94,-5.04
1966.13,0.76,1966.21,8.94,-5
1966.04,0.71,1966.13,8.93,-5.03
1965.96,0.82,1966.04,8.94,-5.06
1965.88,0.79,1965.96,8.92,-4.99
1965.79,0.66,1965.88,8.9,-5.07
1965.71,0.76,1965.79,8.93,-5.14
1965.63,0.69,1965.71,8.85,-5.21
1965.54,0.62,1965.63,8.82,-5.38
1965.46,0.76,1965.54,8.87,-5.32
1965.38,0.84,1965.46,8.85,-5.23
1965.29,0.83,1965.38,8.9,-5.02
1965.21,0.77,1965.29,8.94,-4.94
1965.13,0.67,1965.21,8.97,-4.92
1965.04,0.88,1965.13,9.03,-4.88
1964.96,0.91,1965.04,8.98,-4.79
1964.88,0.82,1964.96,8.97,-4.78
1964.79,0.77,1964.88,8.99,-4.83
1964.71,0.61,1964.79,9.05,-4.74
1964.63,0.73,1964.71,9.04,-4.92
1964.54,0.8,1964.63,9,-4.91
1964.46,0.83,1964.54,9,-4.83
1964.38,0.75,1964.46,8.98,-4.84
1964.29,0.84,1964.38,8.99,-4.89
1964.21,0.84,1964.29,9,-4.78
1964.13,0.88,1964.21,9,-4.78
1964.04,1,1964.13,8.98,-4.79
1963.96,0.9,1964.04,8.94,-4.78
1963.88,0.91,1963.96,8.93,-4.89
1963.79,0.75,1963.88,8.84,-5.11
1963.71,0.77,1963.79,8.89,-5.14
1963.63,0.84,1963.71,8.87,-5.17
1963.54,0.72,1963.63,8.83,-5.19
1963.46,0.71,1963.54,8.9,-5.14
1963.38,0.75,1963.46,8.91,-5.12
1963.29,0.95,1963.38,8.98,-4.94
1963.21,0.86,1963.29,8.94,-4.83
1963.13,0.73,1963.21,8.99,-4.79
1963.04,0.83,1963.13,9.03,-4.82
1962.96,0.73,1963.04,9,-4.8
1962.88,0.83,1962.96,9.04,-4.8
1962.79,0.83,1962.88,8.99,-4.83
1962.71,0.82,1962.79,8.96,-4.9
1962.63,0.65,1962.71,8.93,-4.97
1962.54,0.68,1962.63,8.97,-5.04
1962.46,0.76,1962.54,8.98,-5
1962.38,0.86,1962.46,8.98,-4.91
1962.29,0.95,1962.38,8.99,-4.79
1962.21,1,1962.29,8.97,-4.74
1962.13,0.94,1962.21,8.97,-4.71
1962.04,0.99,1962.13,8.99,-4.72
1961.96,0.84,1962.04,8.96,-4.73
1961.88,0.93,1961.96,9.01,-4.76
1961.79,1.01,1961.88,8.95,-4.81
1961.71,0.96,1961.79,8.93,-4.77
1961.63,0.82,1961.71,8.95,-4.79
1961.54,0.77,1961.63,8.92,-5
1961.46,0.88,1961.54,8.98,-4.9
1961.38,0.79,1961.46,8.95,-4.87
1961.29,0.74,1961.38,9,-4.84
1961.21,0.87,1961.29,9.04,-4.79
1961.13,0.8,1961.21,8.98,-4.8
1961.04,0.65,1961.13,9.03,-4.75
1960.96,0.64,1961.04,9.05,-4.86
1960.88,0.65,1960.96,9.04,-4.89
1960.79,0.77,1960.88,9.03,-4.9
1960.71,0.86,1960.79,8.98,-4.9
1960.63,0.94,1960.71,8.96,-4.86
1960.54,0.76,1960.63,8.93,-4.87
1960.46,0.72,1960.54,8.98,-4.92
1960.38,0.87,1960.46,9,-4.91
1960.29,0.84,1960.38,8.97,-4.83
1960.21,0.75,1960.29,8.99,-4.82
1960.13,0.8,1960.21,9,-4.87
1960.04,0.77,1960.13,9.02,-4.78
1959.96,0.71,1960.04,9.03,-4.78
1959.88,0.7,1959.96,9.04,-4.82
1959.79,0.7,1959.88,9.01,-4.89
1959.71,0.55,1959.79,8.98,-4.99
1959.63,0.61,1959.71,9,-5.07
1959.54,0.82,1959.63,8.99,-5.05
1959.46,0.75,1959.54,8.92,-5.01
1959.38,0.75,1959.46,8.95,-4.99
1959.29,0.77,1959.38,8.96,-4.97
1959.21,0.74,1959.29,8.95,-4.97
1959.13,0.8,1959.21,8.98,-4.93
1959.04,0.77,1959.13,8.93,-4.99
1958.96,0.65,1959.04,8.95,-4.97
1958.88,0.72,1958.96,8.98,-5.03
1958.79,0.93,1958.88,8.93,-5.07
1958.71,0.86,1958.79,8.83,-5.1
1958.63,0.83,1958.71,8.85,-5.12
1958.54,0.81,1958.63,8.87,-5.1
1958.46,0.71,1958.54,8.91,-5.04
1958.38,0.86,1958.46,8.93,-5.08
1958.29,0.71,1958.38,8.92,-4.97
1958.21,0.75,1958.29,8.98,-4.96
1958.13,0.76,1958.21,8.98,-4.92
1958.04,0.78,1958.13,8.98,-4.91
1957.96,0.48,1958.04,9,-4.91
1957.88,0.66,1957.96,9.07,-5
1957.79,0.49,1957.88,8.96,-5.05
1957.71,0.53,1957.79,9.03,-5.06
1957.63,0.58,1957.71,8.99,-5.13
1957.54,0.49,1957.63,8.99,-5.07
1957.46,0.58,1957.54,9.07,-4.97
1957.38,0.5,1957.46,9.05,-4.92
1957.29,0.61,1957.38,9.09,-4.91
1957.21,0.79,1957.29,9.07,-4.84
1957.13,0.86,1957.21,9.04,-4.74
1957.04,0.62,1957.13,9.04,-4.67
1956.96,0.71,1957.04,9.11,-4.73
1956.88,0.67,1956.96,9.07,-4.75
1956.79,0.62,1956.88,9.05,-4.84
1956.71,0.66,1956.79,9.03,-4.95
1956.63,0.78,1956.71,9.02,-4.92
1956.54,0.88,1956.63,9.01,-4.83
1956.46,0.77,1956.54,8.99,-4.77
1956.38,0.92,1956.46,9.04,-4.76
1956.29,0.91,1956.38,9,-4.72
1956.21,0.83,1956.29,9,-4.72
1956.13,0.87,1956.21,9.05,-4.69
1956.04,0.73,1956.13,9.01,-4.73
1955.96,0.87,1956.04,9.07,-4.74
1955.88,0.85,1955.96,8.96,-4.85
1955.79,0.91,1955.88,8.96,-4.87
1955.71,0.8,1955.79,8.94,-4.87
1955.63,0.75,1955.71,8.99,-4.85
1955.54,0.9,1955.63,8.99,-4.89
1955.46,0.91,1955.54,9.01,-4.71
1955.38,0.92,1955.46,9.03,-4.65
1955.29,0.95,1955.38,9.04,-4.62
1955.21,0.93,1955.29,9.01,-4.65
1955.13,0.89,1955.21,9.01,-4.68
1955.04,0.89,1955.13,9.03,-4.65
1954.96,0.87,1955.04,9,-4.75
1954.88,0.91,1954.96,8.96,-4.86
1954.79,0.88,1954.88,8.93,-4.88
1954.71,0.77,1954.79,8.92,-4.93
1954.63,0.72,1954.71,8.95,-4.98
1954.54,0.9,1954.63,8.93,-5.07
1954.46,1,1954.54,8.93,-4.89
1954.38,0.89,1954.46,8.91,-4.84
1954.29,0.93,1954.38,8.96,-4.84
1954.21,0.86,1954.29,8.96,-4.78
1954.13,0.97,1954.21,8.96,-4.86
1954.04,0.93,1954.13,8.97,-4.73
1953.96,0.9,1954.04,9,-4.7
1953.88,0.99,1953.96,8.99,-4.74
1953.79,0.96,1953.88,8.96,-4.74
1953.71,0.85,1953.79,8.96,-4.77
1953.63,0.74,1953.71,8.89,-5.04
1953.54,0.68,1953.63,8.92,-5.08
1953.46,0.92,1953.54,8.97,-5.02
1953.38,0.96,1953.46,8.92,-4.9
1953.29,0.86,1953.38,8.91,-4.89
1953.21,0.87,1953.29,8.95,-4.89
1953.13,0.94,1953.21,8.95,-4.88
1953.04,0.93,1953.13,9.01,-4.67
1952.96,0.95,1953.04,9,-4.7
1952.88,1.03,1952.96,8.98,-4.73
1952.79,1.04,1952.88,8.95,-4.72
1952.71,0.93,1952.79,8.89,-4.85
1952.63,0.91,1952.71,8.92,-4.89
1952.54,0.97,1952.63,8.92,-4.92
1952.46,0.98,1952.54,8.9,-4.88
1952.38,1,1952.46,8.9,-4.88
1952.29,0.92,1952.38,8.92,-4.82
1952.21,0.93,1952.29,8.92,-4.91
1952.13,0.92,1952.21,8.95,-4.81
1952.04,0.88,1952.13,8.96,-4.81
1951.96,0.9,1952.04,8.94,-4.89
1951.88,0.87,1951.96,8.91,-4.94
1951.79,0.7,1951.88,8.92,-4.95
1951.71,0.69,1951.79,8.89,-5.19
1951.63,0.65,1951.71,8.87,-5.24
1951.54,0.69,1951.63,8.91,-5.18
1951.46,0.71,1951.54,8.97,-5
1951.38,0.73,1951.46,8.99,-4.94
1951.29,1.01,1951.38,9,-4.9
1951.21,1.04,1951.29,8.96,-4.71
1951.13,1.07,1951.21,8.94,-4.72
1951.04,1.12,1951.13,8.96,-4.65
1950.96,1.1,1951.04,8.96,-4.6
1950.88,1.11,1950.96,8.96,-4.63
1950.79,1.16,1950.88,8.94,-4.67
1950.71,1.1,1950.79,8.9,-4.71
1950.63,1.13,1950.71,8.9,-4.78
1950.54,1.16,1950.63,8.88,-4.78
1950.46,1.17,1950.54,8.87,-4.77
1950.38,1.26,1950.46,8.86,-4.79
1950.29,1.23,1950.38,8.91,-4.59
1950.21,1.01,1950.29,8.92,-4.59
1950.13,1.06,1950.21,8.97,-4.69
1950.04,1.07,1950.13,9,-4.57
1949.96,0.99,1950.04,9,-4.55
1949.88,1.13,1949.96,9.02,-4.6
1949.79,1.06,1949.88,8.99,-4.52
1949.71,1.04,1949.79,8.97,-4.63
1949.63,1.08,1949.71,8.95,-4.71
1949.54,1.23,1949.63,8.94,-4.7
1949.46,1.08,1949.54,8.89,-4.65
1949.38,0.97,1949.46,8.94,-4.69
1949.29,0.96,1949.38,8.98,-4.71
1949.21,1,1949.29,9,-4.66
1949.13,1.03,1949.21,8.98,-4.67
1949.04,1.15,1949.13,8.99,-4.61
1948.96,0.97,1949.04,8.93,-4.64
1948.88,0.8,1948.96,8.97,-4.74
1948.79,0.99,1948.88,8.97,-4.9
1948.71,0.95,1948.79,8.93,-4.82
1948.63,0.84,1948.71,8.88,-4.96
1948.54,0.84,1948.63,8.92,-4.97
1948.46,0.79,1948.54,8.95,-4.91
1948.38,0.82,1948.46,8.96,-4.93
1948.29,0.86,1948.38,9.01,-4.78
1948.21,1.02,1948.29,9.06,-4.63
1948.13,0.9,1948.21,8.98,-4.64
1948.04,0.84,1948.13,9.01,-4.7
1947.96,1.03,1948.04,9.04,-4.68
1947.88,0.97,1947.96,8.97,-4.67
1947.79,1,1947.88,8.94,-4.81
1947.71,1.02,1947.79,8.94,-4.77
1947.63,0.95,1947.71,8.94,-4.75
