year (AD) [1-1],depth (cm) [1-1],d18O (permil) [1-1],year (AD) [1-2],d18O (permil) [1-2]
NA,NA,NA,1859,-20.34
NA,NA,NA,1858,-19.64
NA,NA,NA,1857,-19.76
NA,NA,NA,1856,-18.77
NA,NA,NA,1855,-21.03
NA,NA,NA,1854,-20.42
NA,NA,NA,1853,-17.91
NA,NA,NA,1852,-16.27
NA,NA,NA,1851,-17.04
NA,NA,NA,1850,-18.61
NA,NA,NA,1849,-22.25
NA,NA,NA,1848,-21.81
NA,NA,NA,1847,-17.79
NA,NA,NA,1846,-16.05
NA,NA,NA,1845,-19.27
NA,NA,NA,1844,-20.62
NA,NA,NA,1843,-18.52
NA,NA,NA,1842,-20.47
NA,NA,NA,1841,-20.64
NA,NA,NA,1840,-19.73
NA,NA,NA,1839,-19.94
NA,NA,NA,1838,-21.39
NA,NA,NA,1837,-21.41
NA,NA,NA,1836,-20.14
NA,NA,NA,1835,-19.18
NA,NA,NA,1834,-20.93
NA,NA,NA,1833,-18.41
NA,NA,NA,1832,-17.34
NA,NA,NA,1831,-20.22
NA,NA,NA,1830,-20.78
NA,NA,NA,1829,-19.07
NA,NA,NA,1828,-20.03
NA,NA,NA,1827,-15.83
NA,NA,NA,1826,-17.67
NA,NA,NA,1825,-17.08
NA,NA,NA,1824,-19.94
NA,NA,NA,1823,-20.6
NA,NA,NA,1822,-22.91
NA,NA,NA,1821,-20.23
NA,NA,NA,1820,-20.2
NA,NA,NA,1819,-19.36
NA,NA,NA,1818,-20.48
NA,NA,NA,1817,-19
NA,NA,NA,1816,-24.74
NA,NA,NA,1815,-21.07
NA,NA,NA,1814,-20.49
NA,NA,NA,1813,-19.31
NA,NA,NA,1812,-21.03
NA,NA,NA,1811,-21.59
NA,NA,NA,1810,-19.64
NA,NA,NA,1809,-19.44
NA,NA,NA,1808,-18.78
NA,NA,NA,1807,-19.77
NA,NA,NA,1806,-19.43
NA,NA,NA,1805,-21.05
NA,NA,NA,1804,-19.62
NA,NA,NA,1803,-20.16
NA,NA,NA,1802,-20.32
NA,NA,NA,1801,-19.54
NA,NA,NA,1800,-18.18
NA,NA,NA,1799,-18.05
NA,NA,NA,1798,-17.82
NA,NA,NA,1797,-20.06
NA,NA,NA,1796,-17.53
NA,NA,NA,1795,-14.67
NA,NA,NA,1794,-19.14
NA,NA,NA,1793,-19.16
NA,NA,NA,1792,-17.96
NA,NA,NA,1791,-22.05
NA,NA,NA,1790,-20.25
NA,NA,NA,1789,-20.72
NA,NA,NA,1788,-21.29
NA,NA,NA,1787,-20.28
NA,NA,NA,1786,-21.23
NA,NA,NA,1785,-22.87
NA,NA,NA,1784,-18.53
NA,NA,NA,1783,-22.38
NA,NA,NA,1782,-23.18
NA,NA,NA,1781,-23.49
NA,NA,NA,1780,-21.2
NA,NA,NA,1779,-22.41
NA,NA,NA,1778,-21.47
NA,NA,NA,1777,-21.98
NA,NA,NA,1776,-21.8
NA,NA,NA,1775,-20.78
NA,NA,NA,1774,-21.21
NA,NA,NA,1773,-22.33
NA,NA,NA,1772,-21.26
NA,NA,NA,1771,-18.59
NA,NA,NA,1770,-18.54
NA,NA,NA,1769,-19.21
NA,NA,NA,1768,-19.91
NA,NA,NA,1767,-19.93
NA,NA,NA,1766,-21.68
NA,NA,NA,1765,-22.05
NA,NA,NA,1764,-18.78
NA,NA,NA,1763,-21.04
NA,NA,NA,1762,-22.94
NA,NA,NA,1761,-22.27
NA,NA,NA,1760,-23.03
NA,NA,NA,1759,-19.08
NA,NA,NA,1758,-18.91
NA,NA,NA,1757,-19.88
NA,NA,NA,1756,-16.6
NA,NA,NA,1755,-20.34
NA,NA,NA,1754,-23.44
NA,NA,NA,1753,-20.74
NA,NA,NA,1752,-18.63
NA,NA,NA,1751,-19.08
NA,NA,NA,1750,-19.63
NA,NA,NA,1749,-21.66
NA,NA,NA,1748,-19.3
NA,NA,NA,1747,-20.31
NA,NA,NA,1746,-18.94
NA,NA,NA,1745,-19.73
NA,NA,NA,1744,-20.16
NA,NA,NA,1743,-19.33
NA,NA,NA,1742,-18.5
NA,NA,NA,1741,-17.89
NA,NA,NA,1740,-17.12
NA,NA,NA,1739,-22.75
NA,NA,NA,1738,-21.31
NA,NA,NA,1737,-22.45
NA,NA,NA,1736,-22.78
NA,NA,NA,1735,-20.6
NA,NA,NA,1734,-22.37
NA,NA,NA,1733,-21.76
NA,NA,NA,1732,-22.15
NA,NA,NA,1731,-24.46
NA,NA,NA,1730,-19.26
NA,NA,NA,1729,-18.8
NA,NA,NA,1728,-20.36
NA,NA,NA,1727,-19.52
NA,NA,NA,1726,-19.24
NA,NA,NA,1725,-20.37
NA,NA,NA,1724,-20.48
NA,NA,NA,1723,-22.26
NA,NA,NA,1722,-20.97
NA,NA,NA,1721,-17.41
NA,NA,NA,1720,-18.24
NA,NA,NA,1719,-20.82
NA,NA,NA,1718,-20.57
NA,NA,NA,1717,-19.53
NA,NA,NA,1716,-20.35
NA,NA,NA,1715,-22.53
NA,NA,NA,1714,-19.66
NA,NA,NA,1713,-20.02
NA,NA,NA,1712,-21.76
NA,NA,NA,1711,-21.45
NA,NA,NA,1710,-20.1
NA,NA,NA,1709,-18.47
NA,NA,NA,1708,-20.51
NA,NA,NA,1707,-19.39
NA,NA,NA,1706,-20.27
NA,NA,NA,1705,-20.83
NA,NA,NA,1704,-18.51
NA,NA,NA,1703,-19.33
NA,NA,NA,1702,-20
NA,NA,NA,1701,-21.63
NA,NA,NA,1700,-20.38
NA,NA,NA,1699,-18.42
NA,NA,NA,1698,-20.46
NA,NA,NA,1697,-18.86
NA,NA,NA,1696,-17.65
NA,NA,NA,1695,-21.74
NA,NA,NA,1694,-19.05
NA,NA,NA,1693,-18.98
NA,NA,NA,1692,-19.46
NA,NA,NA,1691,-20.04
NA,NA,NA,1690,-19.58
NA,NA,NA,1689,-20.31
NA,NA,NA,1688,-18.02
NA,NA,NA,1687,-20.46
NA,NA,NA,1686,-21.61
NA,NA,NA,1685,-18.39
NA,NA,NA,1684,-17.38
NA,NA,NA,1683,-19.97
NA,NA,NA,1682,-20.03
NA,NA,NA,1681,-19.25
NA,NA,NA,1680,-20.42
NA,NA,NA,1679,-19.76
NA,NA,NA,1678,-20.22
NA,NA,NA,1677,-16.09
NA,NA,NA,1676,-19.25
NA,NA,NA,1675,-19.64
NA,NA,NA,1674,-21.13
NA,NA,NA,1673,-21.25
NA,NA,NA,1672,-18.87
NA,NA,NA,1671,-18.97
NA,NA,NA,1670,-17.65
NA,NA,NA,1669,-19.3
NA,NA,NA,1668,-22.16
NA,NA,NA,1667,-21.61
NA,NA,NA,1666,-20.43
NA,NA,NA,1665,-21.51
NA,NA,NA,1664,-19.26
NA,NA,NA,1663,-20.52
NA,NA,NA,1662,-19.16
NA,NA,NA,1661,-20.74
NA,NA,NA,1660,-21.58
NA,NA,NA,1659,-22.08
NA,NA,NA,1658,-20.51
NA,NA,NA,1657,-20.95
NA,NA,NA,1656,-18.96
NA,NA,NA,1655,-19.15
NA,NA,NA,1654,-21
NA,NA,NA,1653,-21.88
NA,NA,NA,1652,-22
NA,NA,NA,1651,-20.32
NA,NA,NA,1650,-20.38
NA,NA,NA,1649,-19.33
NA,NA,NA,1648,-20.34
NA,NA,NA,1647,-18.55
NA,NA,NA,1646,-20.44
NA,NA,NA,1645,-21.04
NA,NA,NA,1644,-22.82
NA,NA,NA,1643,-19.68
NA,NA,NA,1642,-18.36
NA,NA,NA,1641,-19.6
NA,NA,NA,1640,-19.34
NA,NA,NA,1639,-19.23
NA,NA,NA,1638,-20.22
NA,NA,NA,1637,-21.52
NA,NA,NA,1636,-18.59
NA,NA,NA,1635,-18.48
NA,NA,NA,1634,-20.88
NA,NA,NA,1633,-21.57
NA,NA,NA,1632,-20.5
NA,NA,NA,1631,-21.01
NA,NA,NA,1630,-18.36
NA,NA,NA,1629,-19.92
NA,NA,NA,1628,-21.02
NA,NA,NA,1627,-20.52
NA,NA,NA,1626,-20.46
NA,NA,NA,1625,-21.42
NA,NA,NA,1624,-20.25
NA,NA,NA,1623,-20.16
NA,NA,NA,1622,-21.67
NA,NA,NA,1621,-21.73
NA,NA,NA,1620,-21.27
NA,NA,NA,1619,-21.27
NA,NA,NA,1618,-21.92
NA,NA,NA,1617,-21.17
NA,NA,NA,1616,-21.15
NA,NA,NA,1615,-23.18
NA,NA,NA,1614,-20.74
NA,NA,NA,1613,-19.22
NA,NA,NA,1612,-21.87
NA,NA,NA,1611,-20.72
NA,NA,NA,1610,-21.69
NA,NA,NA,1609,-21.26
NA,NA,NA,1608,-20.14
NA,NA,NA,1607,-21.09
NA,NA,NA,1606,-19.85
NA,NA,NA,1605,-20.23
NA,NA,NA,1604,-19.26
NA,NA,NA,1603,-21.66
NA,NA,NA,1602,-22.05
NA,NA,NA,1601,-21.82
NA,NA,NA,1600,-20.39
NA,NA,NA,1599,-19.55
NA,NA,NA,1598,-19.43
NA,NA,NA,1597,-22.16
NA,NA,NA,1596,-24.13
NA,NA,NA,1595,-22.97
NA,NA,NA,1594,-21.43
NA,NA,NA,1593,-20.43
NA,NA,NA,1592,-20.88
NA,NA,NA,1591,-20.62
NA,NA,NA,1590,-19.43
NA,NA,NA,1589,-19.92
NA,NA,NA,1588,-21.34
NA,NA,NA,1587,-20.09
NA,NA,NA,1586,-20.59
NA,NA,NA,1585,-19.41
NA,NA,NA,1584,-21.18
NA,NA,NA,1583,-20.88
NA,NA,NA,1582,-21.71
NA,NA,NA,1581,-21.69
NA,NA,NA,1580,-21.49
NA,NA,NA,1579,-22.74
NA,NA,NA,1578,-21.82
NA,NA,NA,1577,-21.14
NA,NA,NA,1576,-20.17
NA,NA,NA,1575,-19.48
NA,NA,NA,1574,-21.16
NA,NA,NA,1573,-18.79
NA,NA,NA,1572,-20.01
NA,NA,NA,1571,-20.91
NA,NA,NA,1570,-19.03
NA,NA,NA,1569,-20.34
NA,NA,NA,1568,-22.25
NA,NA,NA,1567,-20.66
NA,NA,NA,1566,-19.64
NA,NA,NA,1565,-19.98
NA,NA,NA,1564,-19.53
NA,NA,NA,1563,-20.57
NA,NA,NA,1562,-21.13
NA,NA,NA,1561,-21.39
NA,NA,NA,1560,-21.65
NA,NA,NA,1559,-20.53
NA,NA,NA,1558,-19.71
NA,NA,NA,1557,-20.5
NA,NA,NA,1556,-20.92
NA,NA,NA,1555,-21.37
NA,NA,NA,1554,-21.34
NA,NA,NA,1553,-20.68
NA,NA,NA,1552,-20.39
NA,NA,NA,1551,-21.18
NA,NA,NA,1550,-20.3
NA,NA,NA,1549,-20.07
NA,NA,NA,1548,-21.14
NA,NA,NA,1547,-19.69
NA,NA,NA,1546,-19.03
NA,NA,NA,1545,-20.56
NA,NA,NA,1544,-19.33
NA,NA,NA,1543,-20.25
NA,NA,NA,1542,-20.36
NA,NA,NA,1541,-20.21
NA,NA,NA,1540,-19.14
NA,NA,NA,1539,-20.25
NA,NA,NA,1538,-20.44
NA,NA,NA,1537,-20.23
NA,NA,NA,1536,-21.6
NA,NA,NA,1535,-21.01
NA,NA,NA,1534,-20.9
NA,NA,NA,1533,-20.26
NA,NA,NA,1532,-19.9
NA,NA,NA,1531,-20.29
NA,NA,NA,1530,-20.75
NA,NA,NA,1529,-21.13
NA,NA,NA,1528,-20.87
NA,NA,NA,1527,-20.8
NA,NA,NA,1526,-19.51
NA,NA,NA,1525,-20.29
NA,NA,NA,1524,-19.97
NA,NA,NA,1523,-22.45
NA,NA,NA,1522,-20.71
NA,NA,NA,1521,-20.43
NA,NA,NA,1520,-20.96
NA,NA,NA,1519,-21.58
NA,NA,NA,1518,-21.66
NA,NA,NA,1517,-22.05
NA,NA,NA,1516,-21.38
NA,NA,NA,1515,-20.88
NA,NA,NA,1514,-21.23
NA,NA,NA,1513,-21.08
NA,NA,NA,1512,-21.74
NA,NA,NA,1511,-21.19
NA,NA,NA,1510,-20.48
NA,NA,NA,1509,-21.12
NA,NA,NA,1508,-20.8
NA,NA,NA,1507,-21.15
NA,NA,NA,1506,-20.74
NA,NA,NA,1505,-19.74
NA,NA,NA,1504,-20.59
NA,NA,NA,1503,-20.18
NA,NA,NA,1502,-20.53
NA,NA,NA,1501,-21.18
NA,NA,NA,1500,-19.55
NA,NA,NA,1499,-19.28
NA,NA,NA,1498,-20.1
NA,NA,NA,1497,-20.16
NA,NA,NA,1496,-19.78
NA,NA,NA,1495,-20.33
NA,NA,NA,1494,-20.16
NA,NA,NA,1493,-20.02
NA,NA,NA,1492,-20.1
NA,NA,NA,1491,-20.99
NA,NA,NA,1490,-18.34
NA,NA,NA,1489,-18.97
NA,NA,NA,1488,-19.63
NA,NA,NA,1487,-21.04
NA,NA,NA,1486,-20.72
NA,NA,NA,1485,-20.22
NA,NA,NA,1484,-20.66
NA,NA,NA,1483,-19.91
NA,NA,NA,1482,-20.09
NA,NA,NA,1481,-20.03
NA,NA,NA,1480,-22.12
NA,NA,NA,1479,-22.46
NA,NA,NA,1478,-21.48
NA,NA,NA,1477,-19.06
NA,NA,NA,1476,-19.12
NA,NA,NA,1475,-20.51
NA,NA,NA,1474,-21.4
NA,NA,NA,1473,-20.03
NA,NA,NA,1472,-21.64
NA,NA,NA,1471,-20.06
NA,NA,NA,1470,-20.06
NA,NA,NA,1469,-19.91
NA,NA,NA,1468,-20.47
NA,NA,NA,1467,-22.37
NA,NA,NA,1466,-19.57
NA,NA,NA,1465,-20.94
NA,NA,NA,1464,-21.39
NA,NA,NA,1463,-20.97
NA,NA,NA,1462,-20.26
NA,NA,NA,1461,-20.5
NA,NA,NA,1460,-21.3
NA,NA,NA,1459,-20.82
NA,NA,NA,1458,-20.25
NA,NA,NA,1457,-20.28
NA,NA,NA,1456,-20.63
NA,NA,NA,1455,-21.06
NA,NA,NA,1454,-20.28
NA,NA,NA,1453,-19.59
NA,NA,NA,1452,-18.79
NA,NA,NA,1451,-19.56
NA,NA,NA,1450,-21.12
