year (AD),depth (cm),d18O (permil),d18O (permil)
1035.3,144,0.24,0.39
1021.1,146,0.1,-2.19
1012.3,147,0.59,NA
1003.4,148,1.19,0.91
994.54,149,0.66,1.59
985.67,150,1.1,-0.77
976.81,151,0.75,1.39
967.94,152,1.05,1.47
959.08,153,0.08,0.06
950.21,154,-0.13,1.01
941.35,155,-0.03,-0.45
932.48,156,-0.36,-3.8
923.62,157,0.16,0.47
914.75,158,0.05,-0.12
905.88,159,-0.25,1.51
897.02,160,-0.9,-0.97
888.15,161,-0.74,-1.79
879.29,162,0.92,0.89
870.42,163,1.3,0.74
861.56,164,0.82,0.76
852.69,165,0.8,NA
843.83,166,0.68,NA
834.96,167,0.71,0.52
826.1,168,0.27,0.51
817.23,169,0.12,0.95
808.37,170,0.08,-0.87
799.5,171,0.16,-0.22
790.63,172,-0.29,-0.55
781.77,173,0.1,0.24
772.9,174,-0.1,0.22
764.04,175,-0.07,-0.29
755.17,176,-0.23,-0.53
746.31,177,-0.05,-1.47
737.44,178,-0.21,-0.22
728.58,179,-0.42,0.94
719.71,180,-0.81,1.37
710.85,181,-0.64,-0.83
701.98,182,0.31,-2.36
693.12,183,-0.05,-1.61
684.25,184,-0.2,0.83
675.38,185,-0.21,-0.57
666.52,186,-0.19,-0.65
657.65,187,0.02,-0.44
648.79,188,-0.52,NA
639.92,189,-0.34,-1.79
631.06,190,0.19,-1.86
622.19,191,-0.47,-0.27
613.33,192,0.6,-0.71
604.46,193,0.67,1.08
595.6,194,0.45,-0.46
586.73,195,0.68,0.77
577.87,196,0.84,NA
569,197,0.44,1.15
563.41,198,0.27,0.95
557.82,199,-0.24,-0.01
552.23,200,-0.46,0.95
546.64,201,-0.11,-0.98
541.05,202,-0.02,0.01
535.46,203,0.05,-0.02
529.87,204,-0.06,0.93
524.28,205,0.09,-2.07
518.69,206,-0.01,-0.08
513.1,207,0.23,-0.38
507.51,208,0.25,-2.89
501.92,209,0.24,-0.62
496.33,210,-0.03,-1.84
490.74,211,-0.01,-0.91
485.15,212,0.15,0.42
479.56,213,0.22,-0.99
473.97,214,-0.65,-0.22
468.38,215,-0.19,0.36
462.79,216,0.31,-1.14
457.2,217,0.16,0.73
451.61,218,-0.08,-0.55
446.02,219,-0.04,0.26
440.43,220,0.85,0.82
434.84,221,0.04,0.13
429.25,222,-0.11,0.68
423.66,223,-0.78,0.74
418.07,224,-0.51,-0.44
412.48,225,0.12,0.73
406.89,226,0.39,1.51
401.3,227,-0.94,-0.04
395.7,228,-0.35,1.25
390.11,229,0.17,-0.1
384.52,230,-0.42,0.23
378.93,231,0.2,0.74
373.34,232,-0.29,0.86
367.75,233,0.19,-0.44
362.16,234,0.12,0.88
356.57,235,-0.07,-2.07
350.98,236,-0.17,0.06
345.39,237,-0.61,-0.44
339.8,238,-0.17,0.34
334.21,239,-0.26,1.03
328.62,240,-0.07,0.9
323.03,241,0.16,0.02
317.44,242,0.3,1.13
311.85,243,-0.09,-1.16
306.26,244,0.21,0.07
300.67,245,-0.7,0.13
295.08,246,-0.59,0.4
289.49,247,0,-1.9
283.9,NA,NA,0.47
278.31,249,-1.12,0.19
272.72,250,-0.84,-1.52
267.13,251,-0.1,-1.44
261.54,252,-0.96,-0.87
255.95,253,-1.35,-1.93
250.36,254,-2.54,-1.41
244.77,255,-0.66,-0.17
239.18,256,-0.08,-0.23
233.59,257,-0.35,-0.06
228,258,0.03,0.67
222.41,259,0.05,-0.73
216.82,260,0.22,1.1
211.23,261,-0.24,-0.37
205.64,262,0.01,-0.19
200.05,263,0.51,0.44
194.46,264,-0.41,0.43
188.87,265,-0.72,-2.57
183.28,266,-0.8,0.83
177.69,267,-0.64,-0.08
172.1,268,-1.34,-0.71
166.51,269,-1.34,-1.13
160.92,270,-0.8,-0.79
155.33,271,-0.14,0.83
149.74,272,-0.56,0.81
144.15,273,-0.87,-3.2
138.56,274,-1.17,-2.03
132.97,275,-0.51,-1.79
127.38,276,-0.86,-0.48
121.79,277,-0.83,-4.54
116.2,278,-0.84,-3.1
110.61,279,-0.9,-0.66
105.02,280,-0.3,0.96
99.426,281,0.95,0.79
93.836,282,-0.09,-0.37
88.246,283,-0.17,0.23
82.656,284,-0.31,-0.28
77.066,285,0.14,-3
71.475,286,-2.2,0.8
65.885,287,-0.49,0.41
60.295,288,-1.3,NA
54.705,289,-3.13,NA
49.115,290,-1.62,NA
43.525,291,-0.59,-1.89
37.934,292,0.19,-0.02
32.344,293,-2.51,-2.86
26.754,294,0.43,NA
21.164,295,-1.35,NA
15.574,296,-1.25,NA
9.9836,297,-1.17,NA
4.3934,298,-1.38,NA
-2.1968,299,0.87,NA
-18.967,302,-0.3,-1.29
-24.557,303,-0.03,0.23
-30.148,304,-0.99,0.51
-35.738,305,-0.75,-1.38
-41.328,306,0.07,-0.45
-46.918,307,-0.92,-2.35
-52.508,308,0.12,0.76
-58.098,309,0.12,-0.52
-63.688,310,-0.09,-2.16
-69.279,311,-0.89,-3.5
-74.869,312,-0.63,NA
-80.459,313,-1.42,1.25
-86.049,314,-1.36,-3.14
-91.639,315,-1.73,-3.22
-97.229,316,-0.96,-1.5
-102.82,317,-0.75,-0.78
-108.41,318,-1.27,-2.74
-114,319,-1.15,-2.27
-119.59,320,-1.56,-2.8
-125.18,321,-0.98,-3.31
-130.77,322,-0.99,-0.48
-136.36,323,-0.54,-0.5
-141.95,324,-0.01,-1.81
-153.13,326,-1.25,NA
-158.72,327,-1.11,-1.21
-164.31,328,-0.85,-0.2
-169.9,329,-0.74,-0.55
-181.08,331,-1.24,-0.92
-186.67,332,-0.21,-1.7
-192.26,333,-1.28,0.85
-197.85,334,-0.58,1.17
-203.44,335,0.11,-1.51
-209.03,336,-1.4,-1.84
-214.62,337,-1.96,-1.07
-220.21,338,-1.08,-2.56
-225.8,339,-0.58,0.16
-231.39,340,-0.33,0.33
-236.98,341,-0.26,-0.32
-242.57,342,-2.2,-2.06
-248.16,343,-2.13,-2.19
-253.75,344,-1.92,-3.03
-259.34,345,-1.58,NA
-264.93,346,-0.76,-0.98
-270.52,347,-1.49,-2.91
-276.11,348,-2.1,-2.74
-281.7,349,-0.15,-0.04
-287.3,350,0.07,0.1
-292.89,351,-0.39,NA
-298.48,352,0.34,NA
-304.07,353,-1.48,-1.5
-309.66,354,-1.41,-0.35
-315.25,355,-0.16,1.36
-320.84,356,-1.62,-0.88
-326.43,357,0.21,0.11
-332.02,358,0.19,NA
-337.61,359,-0.38,NA
-343.2,360,0.37,0.86
-348.79,361,-0.45,0.4
-354.38,362,-1.43,-1.46
-359.97,363,-1.21,0.32
-365.56,364,0.21,-0.4
-371.15,365,0,1.37
-376.74,366,-0.63,-1.62
-382.33,367,-1.25,0.01
-387.92,368,-1.18,-1.28
-393.51,369,-1.2,NA
-399.1,370,-1.12,-0.74
-404.69,371,-1.44,-0.78
-410.28,372,-1.19,-0.39
-415.87,373,-1.23,-2.28
-421.46,374,-0.94,-1.68
-427.05,375,-0.71,-0.31
-432.64,376,-0.09,-1.63
-438.23,377,-0.02,-2.74
-443.82,378,-1.49,-0.99
-449.41,379,-1.55,-3.34
-455,380,-1.95,NA
-459.57,381,-1.54,-1.84
-464.14,382,-0.99,-1.25
-468.71,383,-0.91,-1.83
-473.28,384,0.87,0.92
-477.85,385,-0.66,-2.5
-482.42,386,-0.62,-2.26
-486.99,387,-0.51,-3.74
-491.56,388,-0.45,0.36
-496.13,389,-0.31,0.35
-500.7,390,-0.96,-1.3
-505.27,391,-0.42,-1.56
-509.84,392,-0.18,-0.3
-514.41,393,-0.6,-0.85
-518.98,394,-0.63,-0.06
-523.55,395,-0.37,NA
-528.12,396,-0.38,-2.05
-532.69,397,-0.43,-1.8
-537.26,398,-0.15,NA
-541.83,399,-0.61,0.34
-546.4,400,-0.59,-0.6
-550.97,401,-0.64,-2.59
-555.54,402,-0.72,-0.24
-560.11,403,-0.89,0.72
-564.68,404,-0.79,-1.2
-569.25,405,-1.06,-1.36
-573.82,406,-0.86,-2.93
-578.39,407,-1.11,-1.83
-582.96,408,-1.41,-2.29
-587.54,409,-0.6,0.07
-592.11,410,-0.26,-0.73
-596.68,411,-1.19,-2.95
-601.25,412,-1.04,0.31
-605.82,413,0.25,0.14
-610.39,414,-0.39,-0.89
-614.96,415,-1.72,-2.24
-619.53,416,-0.25,0.27
-624.1,417,-0.75,0.09
-628.67,418,-0.93,-1.4
-633.24,419,-0.71,-1.27
-637.81,420,-0.41,-0.15
-642.38,421,-0.23,-1.16
-646.95,422,0.24,-0.33
-651.52,423,-1.28,0.73
-656.09,424,-0.86,-0.14
-660.66,425,-0.04,0.29
-665.23,426,0.28,0.21
-669.8,427,-0.42,0.36
-674.37,428,-1.13,-0.41
-678.94,429,-0.13,-0.54
-683.51,430,0.4,-0.35
-688.08,431,-0.32,-0.96
-692.65,432,-1.28,-1.46
-697.22,433,-1.65,-1.66
-701.79,434,-0.92,-1.1
-706.36,435,-0.93,-1.2
-710.93,436,-0.44,-1.75
-715.5,437,-0.98,-1.72
-720.07,438,-0.77,-0.77
-724.64,439,-0.97,-0.71
-729.21,440,-0.12,0.49
-733.78,441,-0.87,-0.94
-738.35,442,-0.5,-1.42
-742.92,443,-0.48,-0.17
-747.49,444,-0.68,-0.17
-752.06,445,-0.52,-0.47
-756.63,446,-1.38,-2.2
-761.2,447,-0.62,-1.18
-765.77,448,-1.03,-3.11
-770.34,449,-1.21,-1.36
-774.91,450,0.45,0.36
-784.05,452,-0.58,-0.81
-788.62,453,-0.34,-0.61
-793.19,454,-0.21,-0.48
-797.76,455,-1.18,-0.71
-802.33,456,-1.2,-0.11
-806.9,457,0,0.95
-811.47,458,-1.46,1.07
-816.04,459,NA,-0.45
-820.61,460,NA,0.06
-825.18,461,-0.25,0.7
-829.75,462,0.12,NA
-834.32,463,0.17,-0.14
-838.89,464,0.17,0.35
-843.46,465,-0.23,0.5
-848.04,466,-0.01,0.86
-852.61,467,-0.2,0.61
-857.18,468,0,0.22
-861.75,469,0.4,0.18
-866.32,470,0.37,0.11
-870.89,471,0.46,-0.13
-875.46,472,-0.25,0.58
-880.03,473,-0.97,0.08
-884.6,474,-0.29,-2.96
-889.17,475,0.53,0.59
-893.74,476,-1.11,-1.44
-898.31,477,-0.21,-1.3
-902.88,478,-0.8,-0.6
-907.45,479,-0.07,-0.73
-912.02,480,0.44,0.65
-916.59,481,-0.33,-0.61
-921.16,482,0.07,-0.4
-925.73,483,0.02,-0.52
-930.3,484,-0.47,-0.63
-934.87,485,-0.73,-0.73
-939.44,486,-0.64,-0.81
-944.01,487,-0.75,-0.13
-948.58,488,-0.46,-0.83
-953.15,489,-0.34,-0.76
-957.72,490,0.15,-0.91
-962.29,491,-0.39,-1.86
-966.86,492,-0.97,-0.29
-971.43,493,-0.79,-1.81
-976,494,-0.91,-1.76
-980.57,495,-1.27,NA
-985.14,496,-1.16,-1.08
-989.71,497,-1.39,-2.51
-994.28,498,-1.34,-1.54
-998.85,499,-1.38,-2.59
-1003.4,500,0.2,0.32
-1008,501,0.04,NA
-1012.6,502,0,0.23
-1017.1,503,-0.73,-0.73
-1021.7,504,-0.78,-1.06
-1026.3,505,-0.49,-0.76
-1030.8,506,-0.46,-1.6
-1035.4,507,0.04,-0.11
-1040,508,0.2,-1.02
-1044.6,509,-0.49,-1.27
-1049.1,510,-1.92,-1.17
-1053.7,511,-0.5,-2.52
-1058.3,512,-0.67,-0.75
-1062.8,513,-0.85,-1.7
-1067.4,514,-1.46,-3.49
-1072,515,-0.39,0.23
-1076.5,516,-0.15,-1
-1081.1,517,-0.57,-1.01
-1085.7,518,-0.97,-0.64
-1090.3,519,-0.05,0.16
-1094.8,520,0.14,0.22
-1099.4,521,0.8,0.25
-1104,522,-0.52,-0.55
-1108.5,523,-0.45,-0.82
-1113.1,524,-0.68,0.25
-1117.7,525,-0.12,0.03
-1122.2,526,-0.82,-2.17
-1126.8,527,-0.76,1.32
-1131.4,528,-0.48,-1.37
-1136,529,-0.7,-1.55
-1140.5,530,-0.63,-2.2
-1145.1,531,-0.73,-1.24
-1149.7,532,-0.25,-0.62
-1154.2,533,-0.88,-0.95
-1158.8,534,-0.15,-0.09
-1163.4,535,0.1,-0.71
-1167.9,536,-0.19,-0.44
-1172.5,537,-0.5,-1.33
-1177.1,538,-0.26,-0.69
-1181.7,539,-0.78,0.89
-1186.2,540,0.26,-0.36
-1190.8,541,-0.04,-0.17
-1195.4,542,-0.62,-0.13
-1199.9,543,-0.61,-0.15
-1204.5,544,-0.55,-0.51
-1209.1,545,-1,-0.32
-1213.6,546,-1.71,-2.62
-1218.2,547,-0.89,-1.05
-1222.8,548,-0.47,-0.77
-1227.4,549,-0.02,0.13
-1231.9,550,0.18,-0.46
-1236.5,551,0.17,-0.59
-1241.1,552,-0.37,-0.21
-1245.6,553,-0.02,-0.57
-1250.2,554,-0.22,0.51
-1254.8,555,0.08,-1.16
-1259.4,556,0.08,-0.07
-1263.9,557,-0.13,-0.01
-1268.5,558,-0.01,-0.85
-1273.1,559,0.2,-0.07
-1277.6,560,0.56,0.27
-1282.2,561,-1.15,-1.38
-1286.8,562,-0.77,-1.4
-1291.3,563,0.21,1.01
-1295.9,564,-0.99,-1.32
-1300.5,565,-0.34,-0.54
-1305.1,566,-0.25,-2.22
-1309.6,567,0.12,-0.46
-1314.2,568,0.18,-0.38
-1318.8,569,-0.42,-1.3
-1323.3,570,0.37,-1.42
-1327.9,571,-0.36,-0.19
-1332.5,572,1.09,0.94
-1337,573,0.84,1.49
-1341.6,574,0.49,1.81
-1346.2,575,-0.33,-0.52
-1350.8,576,-0.46,-1.87
-1355.3,577,-0.57,-2.72
-1359.9,578,-0.03,0.27
-1364.5,579,-0.59,-0.58
-1369,580,-0.74,-2.07
-1373.6,581,-0.36,-0.61
-1378.2,582,0.13,-0.78
-1382.7,583,-0.55,-0.24
-1387.3,584,-0.84,-0.02
-1391.9,585,0.07,-0.64
-1396.5,586,-0.32,1.33
-1419.3,591,0,-0.9
-1423.9,592,-1.34,-0.8
-1428.4,593,-0.72,-3.28
-1433,594,-0.72,-0.97
-1437.6,595,-0.82,-0.91
-1442.2,596,-0.43,-1
-1446.7,597,-0.68,-2.19
-1451.3,598,-0.8,-3.71
-1455.9,599,-0.94,-1.91
-1460.4,600,-1.05,1.09
-1465,601,-0.08,0.41
-1469.6,602,-0.32,-0.28
-1474.1,603,-0.38,-1.02
-1478.7,604,-0.02,1.2
-1483.3,605,0.32,-1.33
-1487.9,606,-0.1,-0.28
-1492.4,607,-0.46,-0.09
-1497,608,-0.78,-1.29
-1501.6,609,-0.01,-0.86
-1506.1,610,-0.26,-1.05
-1510.7,611,-0.45,-0.44
-1515.3,612,0.34,0.36
-1519.9,613,0.13,0.18
-1524.4,614,0.27,-0.34
-1529,615,0.19,0.25
-1533.6,616,-0.1,-0.52
-1538.1,617,-0.37,-0.54
-1542.7,618,-0.04,0.7
-1547.3,619,0.02,-0.08
-1551.8,620,0.16,NA
-1556.4,621,-0.38,-0.09
-1561,622,-0.7,-1.55
-1565.6,623,-0.4,-0.75
-1570.1,624,-0.54,0.47
-1574.7,625,-0.76,-1.24
-1579.3,626,0.48,0.58
-1583.8,627,0.02,0.37
-1588.4,628,0.06,0.05
-1593,629,-0.98,-1.39
-1597.6,630,-0.58,-0.89
