year (AD),d18O (permil),thickness (mwe),dust (permil),F (ppb),Cl (ppb),sulfate (ppb),nitrate (ppb),Na (ppb),ammonium (ppb),K (ppb),Mg (ppb),Ca (ppb)
1887,-15.9738,1.2058,20667.5,0,6.83375,0,1.53625,0.87375,7.84,0,0,0
1886,-17.654,1.4463,16800,0.054,9.93,0,2.938,1.866,9.549,0.337,0,0
1885,-19.3143,1.0203,24131.42857,0,9.88,0,5.3928571,0,9.958571,0,0,0
1884,-18.415,1.4847,22164,0.062,11.425,0,4.887,0,11.691,0,0,0
1883,-18.6417,0.9518,15560,0,15.78833,0,7.0216667,0,15.41667,0,0,0
1882,-17.5938,1.2274,17550,0,12.435,0,9.07875,0,13.48125,0,0,0
1881,-17.8483,0.9308,18913.33333,0,11.185,0,7.32,0,11.98667,0,0,0
1880,-16.7557,1.0962,34348.57143,0.07142857,10.17857,0,3.7842857,0,11.83,0,0,0
1879,-18.1871,1.1444,27102.85714,0.1485714,8.36,0,0.89714286,0,9.525714,0,0,0
1878,-19.1433,0.9555,16323.33333,0.2683333,6.78,0.1866667,0,0,7.873333,0,0,0
1877,-15.782,1.631,21152,0,9.083,0.135,13.257,3.56,13.414,0.969,0,0
1876,-18.75,1.5791,26744,0,9.679,0,7.784,1.204,12.258,0.563,0,0
1875,-17.9471,1.1135,18445.71429,0.07428571,12.06286,0,13.658571,0,15.07286,0,0,0
1874,-20.5214,1.1588,14445.71429,0.08857143,16.22429,0,19.618571,0,19.78,0,0,0
1873,-19.84,0.9972,18983.33333,0.09,17.24667,0.1733333,21.358333,20.921667,21.23167,0.67,0,0
1872,-20.528,0.8373,45060,0,16.272,0,10.418,3.716,17.154,0.618,0,0
1871,-19.5333,1.0141,29113.33333,0,17.38667,0,6.35,7.5916667,16.07,0.45,0,0
1870,-19.1133,0.9393,26263.33333,0,15.59167,0,9.4483333,0,16.92833,0,0,0
1869,-18.9612,1.0638,23190,0,23.61125,0.24875,51.03875,27.9125,32.04875,0.74125,0.05125,0.195
1868,-17.9833,1.2091,27691.11111,0,14.35111,0,11.273333,0,15.45556,0,0,0
1867,-20.3038,1.0815,15535,0,15.8375,0.20875,28.70875,5.885,21.63375,0.3625,0.07125,0.25125
1866,-19.0489,1.2052,19415.55556,0,12.98222,0.1366667,48.726667,0,25.68111,0,0.03,0
1865,-15.24,0.8004,26910,0,13.19167,1.121667,92.266667,3.0516667,33.31,1.803333,0.5683333,1.031667
1864,-17.0709,1.4777,17165.45455,0,11.15727,0.1163636,18.243636,0,15.95364,0,0.02545455,0
1863,-21.265,1.083,37462.5,0,9.6925,0,8.9,0,13.6275,0,0.075,0.31875
1862,-18.4071,0.9534,36617.14286,0,10.95286,0,10.55,0,13.88286,0,0,0
1861,-17.6843,0.961,19894.28571,0,12.41429,0,9.0385714,0,15.24571,0,0,0
1860,-20.401,1.3853,16202,0,9.263,0,8.44,0,13.507,0,0,0
1859,-19.5829,0.9764,19051.42857,0,7.301429,0,17.328571,0,15.84857,0,0,0
1858,-18.7871,0.9842,19451.42857,0,8.227143,0,6.8571429,0,11.86571,0,0,0
1857,-18.6913,1.1358,20635,0,9.97,0,10.6075,11.26,12.93,0.36125,0,0
1856,-17.6643,0.9997,20005.71429,0,9.058571,0,13.237143,0,15.51857,0,0,0
1855,-16.2833,0.8613,21216.66667,0,11.52167,0.2716667,24.343333,48.448333,15.73667,1.056667,0.05,0
1854,-17.5257,0.9837,16291.42857,0,6.744286,0,3.0328571,0,10.34143,0,0,0
1853,-18.5367,0.8482,20710,0,6.925,0.29,10.123333,0,11.36,0.4933333,0.1116667,0.3966667
1852,-18.7767,0.8333,32910,0,7.52,0.6366667,26.235,4.6666667,17.185,0,0.1266667,0.54
1851,-17.6511,1.308,21295.55556,0,7.665556,0.1211111,18.7,2.5633333,17.20333,0,0.02888889,0
1850,-19.73,1.0468,17602.85714,0,10.59429,0,8.54,0,15.50714,0,0,0
1849,-18.8714,1.0547,25071.42857,0,10.93857,0,6.0242857,0,15.30714,0,0,0
1848,-20.1643,1.0627,14665.71429,0,11.09,0,8.3428571,2.5114286,15.70714,0,0,0
1847,-17.7533,0.9208,16270,0,11.80167,0,9.0333333,0,15.56667,0,0,0
1846,-15.698,0.7712,25204,0,11.104,0,7.488,0,15.454,0,0,0
1845,-18.225,0.9346,22043.33333,0,13.93833,0,9.985,0,17.50167,0,0,0
1844,-17.314,0.7827,20188,0,12.116,0,12.318,0,19.046,0,0,0
1843,-16.385,0.9484,37043.33333,0,11.145,0.175,5.9866667,0,15.5,0,0.06333333,0.2733333
1842,-18.992,0.7942,28692,0,9.132,0,4.232,0,14.026,0,0,0
1841,-18.0071,1.1189,17991.42857,0,11.64714,0,7.9371429,0,15.24714,0,0,0
1840,-16.86,0.8584,33157.14286,0.26,12.40286,0.1685714,14.188571,2.0657143,16.7,0,0,0
1839,-18.67,0.6469,20686.66667,0.5433333,18.275,0,40.808333,1.0083333,29.61333,0.33,0,0
1838,-16.712,1.0899,25244,0.322,16.923,0.188,16.782,0,21.502,0,0,0
1837,-20.4014,0.7935,22348.57143,0.16,27.47857,0,92.041429,10.818571,47.27,0,0,0
1836,-18.614,1.1055,21598,0,20.198,0,75.159,0,40.451,0,0,0
1835,-16.4922,1.0044,27024.44444,0.1177778,14.84222,0,33.394444,0,25.86778,0,0,0
1834,-19.8888,0.9262,12872.5,0.475,12.32625,0,34.485,0,22.24625,0,0.04625,0
1833,-15.57,0.675,29316.66667,0,13.35,0,41.92,0,26.62,0,0,0
1832,-19.0211,1.0257,15300,0,19.78556,0,77.094444,0,41.93778,0,0,0
1831,-18.066,0.5724,27232,0,21.372,0,138.346,0,61.956,0,0,0
1830,-18.418,1.209,18344,0.06,18.101,0,187.817,1.832,71.616,0,0,0
1829,-17.7225,0.9398,21712.5,0.06375,16.21625,0,246.49375,0,87.94625,0,0.04,0.46
1828,-16.5543,0.8573,20362.85714,0.1785714,14.98143,0,225.13,0,81.14286,0,0,0
1827,-17.4913,1.0038,32025,0.53125,16.09125,0,227.43,0,82.1425,0,0,0.16875
1826,-17.4,0.8304,23820,0.3528571,19.32571,0,96.495714,0,59.86857,0,0,0.2442857
1825,-15.7957,0.836,26277.14286,0.8742857,18.29429,3.18,79.142857,0,63.21571,1.622857,0.09857143,0.9742857
1824,-18.26,1.2395,24506,0.293,17.044,0.21,56.228,1.253,52.255,0,0,0.576
1823,-20.2162,1.0179,22657.5,0.31875,14.07875,0,50.715,4.4675,43.56625,0.24625,0.0875,1.10875
1822,-18.46,0.7668,22426.66667,0.1266667,16.71833,0.4916667,115.47,219.63,43.51167,2.97,0.05666667,0.8416667
1821,-18.6829,0.9582,36617.14286,0.2514286,14.36286,0,44.278571,0,46.48143,0,0.1028571,1.302857
1820,-17.34,0.7971,25416.66667,0.1166667,17.62833,0,46.618333,0,45.49167,0,0.1066667,0.3866667
1819,-24.3456,1.2203,22928.88889,0.2222222,16.15667,0,50.805556,0,43.57222,0,0.03222222,0.3455556
1818,-20.0814,0.9703,18954.28571,0,13.28429,0,50.678571,0,41.46429,0,0.03714286,0.4885714
1817,-20.5244,1.1883,19268.88889,0.25,15.36444,0.2044444,53.414444,0,42.43778,0,0.05222222,0.4866667
1816,-21.058,0.6667,22532,0.2,16.856,0,70.67,13.622,46.834,0,0.062,0.44
1815,-20.13,1.2036,35937.77778,0.2444444,20.44333,0,70.813333,0,63.37222,0,0.08,0.8877778
1814,-19.8412,1.1208,34040,0.22625,16.79875,0,116.825,0,79.19625,0,0,0.26875
1813,-18.3433,0.8337,31943.33333,0,23.69333,3.891667,244.575,291.68167,105.7217,7.948333,0.6883333,2.493333
1812,-19.8025,1.1139,29305,0.21875,14.52375,0,168.22625,0,97.30375,0,0,0.18125
1811,-17.4071,0.979,34168.57143,0.37,18.83857,0,172.70857,0,86.48857,0,0,0
1810,-20.2733,0.8495,41993.33333,0.6333333,17.49,0,107.99667,0,66.06667,0,0.05,0.9333333
1809,-19.7667,0.8476,43126.66667,0.43,8.888333,5.151667,121.69167,28.183333,76.21167,1.188333,0.155,1.078333
1808,-19.6529,0.9757,40828.57143,0.2042857,8.22,0,49.91,0,48.86571,0,0,0
1807,-18.5071,0.9817,43817.14286,0.55,11.60714,0,62.524286,0,57.01714,0,0.08285714,0.1985714
1806,-20.86,0.7609,62396,0.67,20.922,0.942,128.694,131.786,51.148,4.888,0.258,0.948
1805,-18.772,0.6772,36092,1.032,16.238,0.454,44.01,0,42.474,0,0.086,0.422
1804,-14.775,0.8146,38276.66667,1.32,15.105,12.355,41.686667,0,59.19333,4.123333,0.7433333,3.395
1803,-17.4217,0.8195,21076.66667,1.07,13.645,0.755,38.888333,0,38.76,0.58,0.09833333,0.77
1802,-19.0614,0.9968,30700,2.518571,36.36714,0,28.785714,0,42.93143,0,0.07714286,0.7085714
1801,-20.3114,0.9726,28748.57143,2.998571,46.83,0.2014286,29.348571,0,50.02429,0.4428571,0.1757143,1.077143
1800,-18.838,0.6978,23396,2.674,55.278,4.392,31.204,0,62.584,0.614,0.112,0.64
1799,-16.4657,0.9842,14065.71429,2.765714,60.06143,0.5328571,29.532857,0,56.90429,0,0.08571429,0.8885714
1798,-19.93,1.0437,19825.71429,2.32,68.27571,0.25,30.342857,1.3528571,60.28429,3.437143,0.1671429,1.155714
1797,-19.6811,1.3431,11520,1.997778,81.71222,0,26.584444,0,64.75111,0.3788889,0.04222222,0.3144444
1796,-21.206,0.7531,19416,1.922,93.434,0,29.642,0,73.332,0,0.134,0.762
1795,-16.94,1.0542,24317.14286,3,93.73,0,30.638571,0,77.75857,0,0.09714286,0.6814286
1794,-17.726,0.7619,19904,2.074,82.816,0,48.03,0,76.038,0,0,0.614
1793,-16.0529,1.0664,24991.42857,1.977143,49.26714,9.605714,4.2328571,1.5485714,40.08,0.6142857,0.5271429,1.76
1792,-15.7633,0.6832,17646.66667,1.706667,55.09,0,10.04,0,45.37667,1.206667,0.45,1.596667
1791,-16.8675,0.8788,20545,1.7825,57.8875,0.4225,36.97,51.515,44.485,2.5675,0.0925,0
1790,-18.5071,1.149,11802.85714,1.427143,82.45143,0.19,135.32857,23.502857,85.36429,0.8457143,0.06428571,0.2671429
1789,-19.99,0.8888,15446.66667,1.271667,41.065,0,25.071667,0,33.91,0,0,0
1788,-19.7783,0.8938,21493.33333,0.9116667,28.19667,0,7.6116667,0,27.38833,0,0.05166667,0
1787,-17.7633,0.9804,15993.33333,0.7583333,26.08333,0.66,10.651667,0,24.88667,0,0.05333333,0
1786,-19.7133,0.9448,11093.33333,0.3933333,24.54333,0,46.393333,0,30.89167,0,0,0
1785,-19.6543,1.0657,13931.42857,0.4271429,22.72429,2.345714,113.75571,0,49.58286,0.5414286,0.04285714,0.1857143
1784,-19.325,0.9137,13040,0.33,14.195,0.3633333,144.11667,0,54.82667,0,0,0
1783,-14.6343,1.1108,18028.57143,1.032857,28.15286,3.404286,157.23857,2.98,63.09286,4.802857,0.03571429,0.2071429
1782,-19.3825,0.6969,23765,4.7925,13.97,0,226.9525,0,80.4675,0,0,0
1781,-19.152,0.7767,14704,3.014,19.118,3.976,248.994,0,88.232,0,0,0
1780,-17.4883,0.9336,12603.33333,0.1716667,13.74,39.33,75.953333,0,54.15,0.9416667,0,0.5
1779,-20.0914,1.1008,10248.57143,0.1942857,12.66571,2.252857,40.985714,0,32.25429,0,0,0
1778,-21.258,0.875,15460,2.088,15.852,0,46.818,0,37.89,0,0,0
1777,-18.0283,0.9745,17030,3.631667,19.07,0.2183333,69.916667,0,46.985,0,0,0
1776,-19.718,0.8149,12008,1.638,18.948,272.588,216.306,116.79,88.024,10.798,2.67,47.91
1775,-21.36,0.8192,16772,0,25.978,364.964,368.508,272.554,109.44,19,4.414,71.498
1774,-20.0943,1.1564,17791.42857,0,13.71286,0,81.22,0,46.36286,0,0,0.3785714
1773,-17.365,0.9951,29720,0,14.36,6.433333,88.881667,0,60.50667,0.4766667,0.06666667,1.473333
1772,-18.1137,1.3011,20920,0,16.2625,0.53625,137.605,0,72.6125,0,0,0.28
1771,-18.0467,0.9786,32620,0,22.84333,14.83833,367.43333,0.86666667,143.3967,1.433333,0.165,5.251667
1770,-17.4933,0.4918,39520,0,36.47667,2.976667,596.47667,0,206.32,0,0,1.16
1769,-18.5311,1.492,37280,0,28.25444,0.86,564.67667,0,185.7644,0.4233333,0,0.3566667
1768,-20.3535,0.7498,57615,0,13.0875,0,371.6825,0,138.03,0,0,0.94
1767,-20.7796,0.8352,36064,0.102,17.936,0,112.546,0,71.514,0,0,1.288
1766,-17.098,0.8394,22472,0,19.95,0,153.776,0,78.656,0,0,0
1765,-18.7414,1.1829,21611.42857,0,11.62,0,107.49286,0,60.83286,0,0,0
1764,-18.325,0.6819,35545,0.1375,18.925,0,125.31,0,79.7875,0,0,0
1763,-17.908,0.9353,46064,0.248,18.37,0,136.778,0,88.938,0.582,0,0.296
1762,-18.1717,1.0237,25930,0.2683333,14.85333,0.2783333,103.05667,0,77.01667,0,0,0.46
1761,-19.895,1.1222,36926.66667,0,12.44667,5.488333,126.15167,0,80.375,0.3233333,0.04833333,0.7433333
1760,-19.492,0.9491,25968,0,18.732,14.184,142.65,15.594,84.19,1.21,0.23,0.996
1759,-17.57,0.8687,24432,0.102,12.636,124.856,112.454,20.304,82.256,10.502,4.596,12.114
1758,-20.136,0.9583,40112,0,17.478,94.002,129.874,43.792,85.69,9.002,4.058,10.438
1757,-21.626,0.9629,36188,0,11.176,1.182,115.134,31.714,67.306,0.56,0.174,0.41
1756,-20.888,0.9675,22788,0.1,13.528,7.108,75.862,0,62,2.148,0.384,1.09
1755,-18.1,0.7988,15130,0.1425,23.525,0,155.8825,0,76.555,0,0.1275,0.4925
1754,-18.925,1.0637,30550,0.7616667,24.61833,0.195,255.68833,0,110.1517,2.528333,0.06,0.295
1753,-19.735,1.0687,25486.66667,0,11.70333,0,110.09,0,58.10333,0.325,0.04166667,0.23
1752,-19.824,0.898,16300,0,12.538,0.622,132.478,0,63.612,0,0,0.282
1751,-19.58,0.9021,17240,0,14.374,795.51,209.84,122.366,150.2,36.182,23.88,103.642
