year (AD) [1-1],depth (cm) [1-1],d18O (permil) [1-1],year (AD) [2-1],depth (cm) [2-1],d18O (permil) [2-1],year (AD) [3-1],depth (cm) [3-1],d18O (permil) [3-1]
1600.3,66,0.88,1333.6,NA,-0.85,390.04,222,-0.41
1593.9,67,2.98,1326.6,NA,-0.79,381.48,223,-0.24
1587.5,68,1.87,1319.7,NA,-1.28,372.9,224,-0.44
1581.1,69,3.28,1312.7,NA,-1.15,364.31,225,NA
1574.7,70,2.67,1305.7,NA,-0.73,355.71,226,-0.69
1568.2,71,-0.04,1298.7,NA,-0.87,347.1,227,-0.48
1561.7,72,1.82,1291.7,NA,-1.21,338.48,228,-0.85
1555.2,73,0.85,1284.7,NA,-0.66,329.84,229,-0.63
1548.7,74,1.4,1277.6,NA,-0.62,321.19,230,-0.69
1542.2,75,1.35,1270.6,NA,-0.11,312.53,231,-0.42
1535.7,76,2.45,1263.5,NA,-2.89,303.86,232,-0.68
1529.2,77,0.89,1256.4,NA,-0.62,295.17,233,-0.88
1522.6,78,2.96,1249.3,NA,-0.54,286.47,234,-0.69
1516.1,79,0.96,1242.2,NA,-1.38,277.76,235,-1.13
1509.5,80,1.98,1235.1,NA,-1.05,269.04,236,-0.82
1502.9,81,NA,1227.9,NA,-1.24,260.3,237,NA
1496.3,82,-0.58,1220.8,NA,-1.08,251.55,238,-0.68
1489.7,83,0.33,1213.6,NA,-1.6,242.79,239,-0.75
1483,84,1.1,1206.4,NA,-1.61,234.02,240,-0.16
1476.4,85,0.42,1199.2,NA,-2.79,225.24,241,NA
1469.7,86,-0.96,1192,NA,-1.56,216.44,242,-0.46
1463,87,1.33,1184.8,NA,-1.91,207.63,243,-0.32
1456.3,88,-1.13,1177.6,NA,-1.22,198.81,244,-0.47
1449.6,89,-0.3,1170.3,NA,-1.45,192.02,250,-1.03
1442.9,90,0.02,1163,NA,-1.52,183.11,251,NA
1436.2,91,-0.85,1155.8,NA,-1.73,174.17,252,-0.64
1429.4,92,-0.54,1148.5,NA,-1.65,165.22,253,-0.21
1422.7,93,-0.99,1141.2,NA,-1.25,156.26,254,NA
1415.9,94,-0.38,1133.9,NA,-1.67,138.3,256,-0.45
1409.1,95,-0.76,1126.5,NA,-1.18,129.3,257,-0.75
1402.3,96,-0.2,1119.2,NA,-1.02,111.25,259,-0.79
1395.5,97,-0.92,1111.8,NA,-1.38,102.21,260,-1.19
NA,NA,NA,1104.4,NA,-1.11,93.155,261,-1.34
NA,NA,NA,1097.1,NA,-1.54,84.085,262,-0.44
NA,NA,NA,1089.7,NA,NA,75.001,263,-0.56
NA,NA,NA,1082.2,NA,NA,65.903,264,-0.8
NA,NA,NA,1074.8,NA,NA,56.792,265,-0.87
NA,NA,NA,1067.4,NA,NA,47.667,266,-0.82
NA,NA,NA,1059.9,NA,-1.39,38.528,267,-1.41
NA,NA,NA,1052.4,NA,-1.28,29.376,268,-1.21
NA,NA,NA,1045,NA,-1.4,20.21,269,-1.13
NA,NA,NA,1037.5,NA,-1.5,11.03,270,-1.15
NA,NA,NA,1030,NA,-1.6,1.8366,271,-1.43
NA,NA,NA,1022.4,NA,-1.42,-7.3705,272,-1.27
NA,NA,NA,1014.9,NA,-1.09,-16.591,273,-0.73
NA,NA,NA,1007.3,NA,-0.67,-25.826,274,-0.79
NA,NA,NA,999.77,NA,-0.95,-35.074,275,-0.54
NA,NA,NA,992.2,NA,-1.34,-44.336,276,-1.14
NA,NA,NA,984.6,NA,-1.28,-53.611,277,-0.67
NA,NA,NA,977,NA,-0.9,-62.901,278,-0.54
NA,NA,NA,969.38,NA,-0.89,-81.52,280,-0.76
NA,NA,NA,961.74,NA,-0.74,-90.85,281,-0.94
NA,NA,NA,954.1,NA,-0.84,-100.19,282,-1.13
NA,NA,NA,946.44,NA,-0.18,-109.55,283,-0.54
NA,NA,NA,938.76,NA,-0.85,-118.92,284,-0.39
NA,NA,NA,931.07,NA,-1.17,-128.31,285,-0.33
NA,NA,NA,923.37,NA,-1.03,-137.71,286,-0.25
NA,NA,NA,915.66,NA,-0.83,-147.12,287,-1.15
NA,NA,NA,907.93,NA,-1.1,-156.55,288,-1.97
NA,NA,NA,900.19,NA,-0.79,-165.99,289,-1.36
NA,NA,NA,892.43,NA,-1.1,-175.44,290,-1.99
NA,NA,NA,884.66,NA,-1.45,-184.91,291,-1.9
NA,NA,NA,876.87,NA,-1.52,-194.39,292,-1.57
NA,NA,NA,869.08,NA,-1.14,-203.88,293,-1.84
NA,NA,NA,861.27,NA,-0.62,-213.39,294,-1.65
NA,NA,NA,853.44,NA,-1.27,-222.91,295,-1.65
NA,NA,NA,845.6,NA,-1.35,-232.45,296,-1.93
NA,NA,NA,837.75,NA,-1.25,-242,297,-2.26
NA,NA,NA,829.88,NA,-1.31,-251.56,298,-1.85
NA,NA,NA,822,NA,-1.13,-261.14,299,-1.83
NA,NA,NA,814.11,NA,-1.23,-270.73,300,-1.81
NA,NA,NA,806.2,NA,-1.37,-280.33,301,-1.97
NA,NA,NA,798.28,NA,-1.06,-289.95,302,-1.75
NA,NA,NA,790.35,NA,-1.25,-299.58,303,-2.05
NA,NA,NA,782.4,NA,-0.73,-309.22,304,-1.24
NA,NA,NA,774.44,NA,-0.63,-318.88,305,-1.46
NA,NA,NA,766.46,NA,-0.88,-328.56,306,-2.2
NA,NA,NA,758.47,NA,-0.62,-338.24,307,-2
NA,NA,NA,750.47,NA,-1.36,-347.94,308,-2.08
NA,NA,NA,742.45,NA,-1.6,-357.65,309,-2.39
NA,NA,NA,734.42,NA,-1.06,-367.38,310,-1.84
NA,NA,NA,726.38,NA,-0.8,-377.12,311,-1.91
NA,NA,NA,718.32,NA,-0.32,-386.88,312,-2.34
NA,NA,NA,710.25,NA,-0.98,-396.65,313,-2.27
NA,NA,NA,702.17,NA,-0.92,-406.43,314,-2.65
NA,NA,NA,694.07,NA,-0.94,-416.22,315,-2.65
NA,NA,NA,685.96,NA,-1.03,-426.03,316,-2.23
NA,NA,NA,677.83,NA,-1.01,-435.85,317,-2.36
NA,NA,NA,669.69,NA,-0.64,-445.69,318,-2.27
NA,NA,NA,661.54,NA,-0.57,-455.54,319,-2.42
NA,NA,NA,653.37,NA,-0.75,-465.41,320,NA
NA,NA,NA,645.19,NA,-1.35,-475.28,321,-2.58
NA,NA,NA,636.99,NA,-0.35,-485.17,322,NA
NA,NA,NA,628.79,NA,-0.44,-495.08,323,-2.19
NA,NA,NA,620.56,NA,-1.24,-505,324,-2.43
NA,NA,NA,612.33,NA,-1.53,-514.93,325,-2.64
NA,NA,NA,604.08,NA,-0.73,-524.88,326,-2.38
NA,NA,NA,595.82,NA,0.23,-534.84,327,-2.54
NA,NA,NA,587.54,NA,-0.7,-544.81,328,-2.68
NA,NA,NA,579.25,NA,-1.13,-554.8,329,-2.6
NA,NA,NA,570.95,NA,-0.2,-564.8,330,-2.27
NA,NA,NA,562.63,NA,-0.37,-574.81,331,-2.68
NA,NA,NA,554.3,NA,-0.88,-584.84,332,-2.53
NA,NA,NA,545.95,NA,-1.16,-594.88,333,-3.17
NA,NA,NA,537.59,NA,-0.3,-604.94,334,-2.57
NA,NA,NA,529.22,NA,-0.75,-615.01,335,-2.13
NA,NA,NA,520.83,NA,-1.1,-625.09,336,-2.86
NA,NA,NA,512.44,NA,-1.33,-635.19,337,-2.22
NA,NA,NA,504.02,NA,-0.97,-645.3,338,-2.16
NA,NA,NA,495.59,NA,-1.12,-655.42,339,-2.42
NA,NA,NA,487.15,NA,-1.61,-665.56,340,NA
NA,NA,NA,478.7,NA,-0.46,-675.71,341,-2.54
NA,NA,NA,470.23,NA,0.08,-685.88,342,-2.53
NA,NA,NA,461.75,NA,-1.3,-696.05,343,NA
NA,NA,NA,453.25,NA,-0.25,-706.25,344,-2.55
NA,NA,NA,444.74,NA,-0.51,-716.45,345,-2.22
NA,NA,NA,436.22,NA,-0.61,-726.67,346,-2.52
NA,NA,NA,427.69,NA,-0.36,-736.91,347,-2.14
NA,NA,NA,419.13,NA,-0.1,-767.69,350,-1.71
NA,NA,NA,410.57,NA,NA,-767.69,350,NA
NA,NA,NA,401.99,NA,NA,-777.98,351,-2.2
NA,NA,NA,393.4,NA,NA,-788.28,352,-1.93
NA,NA,NA,384.8,NA,-0.95,-798.59,353,-1.65
NA,NA,NA,376.18,NA,-1.21,-808.92,354,-1.64
NA,NA,NA,367.55,NA,-0.74,-819.27,355,-1.78
NA,NA,NA,358.9,NA,-1.31,-829.62,356,-1.74
NA,NA,NA,350.24,NA,-1.11,-839.99,357,-1.36
NA,NA,NA,341.57,NA,-1.05,-850.38,358,-1.38
NA,NA,NA,332.88,NA,-1.1,-860.78,359,-1.27
NA,NA,NA,324.18,NA,-0.63,-871.19,360,-2.05
NA,NA,NA,315.46,NA,-1.15,-881.61,361,-1.49
NA,NA,NA,306.74,NA,-1.31,-892.05,362,-1.63
NA,NA,NA,297.99,NA,-0.96,-902.5,363,-1.86
NA,NA,NA,289.24,NA,-0.68,-912.97,364,-1.4
NA,NA,NA,280.47,NA,-1.01,-923.45,365,NA
NA,NA,NA,271.69,NA,-1.3,-933.94,366,-2.06
NA,NA,NA,262.89,NA,-1.63,-944.45,367,NA
NA,NA,NA,254.08,NA,-1.64,-954.97,368,-1.31
NA,NA,NA,245.26,NA,-1.46,-976.05,370,NA
NA,NA,NA,236.42,NA,-0.92,-986.62,371,-1.9
NA,NA,NA,227.57,NA,-1.23,-997.19,372,NA
NA,NA,NA,218.7,NA,-0.88,-1007.8,373,-1.69
NA,NA,NA,209.82,NA,-0.72,-1018.4,374,NA
NA,NA,NA,200.93,NA,-0.85,-1029,375,NA
NA,NA,NA,192.02,NA,-0.91,-1039.6,376,-1.84
NA,NA,NA,183.11,NA,-1.12,-1060.9,378,NA
NA,NA,NA,174.17,NA,-1.01,-1071.6,379,-2.08
NA,NA,NA,165.22,NA,-0.9,-1082.3,380,NA
NA,NA,NA,156.26,NA,-0.75,-1093,381,-1.9
NA,NA,NA,147.29,NA,-0.34,-1103.7,382,NA
NA,NA,NA,138.3,NA,-1.39,-1114.4,383,-2.33
NA,NA,NA,129.3,NA,-0.95,-1125.2,384,NA
NA,NA,NA,120.28,NA,-0.79,-1135.9,385,-2.69
NA,NA,NA,NA,NA,NA,-1146.7,386,-2.42
NA,NA,NA,NA,NA,NA,-1157.5,387,-2.38
NA,NA,NA,NA,NA,NA,-1168.3,388,-3.04
NA,NA,NA,NA,NA,NA,-1179.1,389,-3.08
NA,NA,NA,NA,NA,NA,-1200.7,391,NA
NA,NA,NA,NA,NA,NA,-1233.3,394,-2.45
NA,NA,NA,NA,NA,NA,-1244.2,395,NA
NA,NA,NA,NA,NA,NA,-1255.1,396,-2.27
NA,NA,NA,NA,NA,NA,-1266,397,NA
NA,NA,NA,NA,NA,NA,-1277,398,-2.4
NA,NA,NA,NA,NA,NA,-1287.9,399,-2.5
NA,NA,NA,NA,NA,NA,-1298.9,400,-2.39
NA,NA,NA,NA,NA,NA,-1309.8,401,-2.4
NA,NA,NA,NA,NA,NA,-1320.8,402,-2.4
NA,NA,NA,NA,NA,NA,-1331.8,403,-2.88
NA,NA,NA,NA,NA,NA,-1342.8,404,-2.84
NA,NA,NA,NA,NA,NA,-1353.9,405,-2.91
NA,NA,NA,NA,NA,NA,-1364.9,406,-2.83
NA,NA,NA,NA,NA,NA,-1376,407,-2.7
NA,NA,NA,NA,NA,NA,-1387,408,-2.64
NA,NA,NA,NA,NA,NA,-1398.1,409,-3.12
NA,NA,NA,NA,NA,NA,-1409.2,410,-2.69
NA,NA,NA,NA,NA,NA,-1420.3,411,-2.9
NA,NA,NA,NA,NA,NA,-1431.4,412,-2.89
NA,NA,NA,NA,NA,NA,-1442.6,413,-2.85
NA,NA,NA,NA,NA,NA,-1453.7,414,-3.07
NA,NA,NA,NA,NA,NA,-1464.9,415,-2.59
NA,NA,NA,NA,NA,NA,-1476.1,416,-2.72
NA,NA,NA,NA,NA,NA,-1487.3,417,-2.81
NA,NA,NA,NA,NA,NA,-1498.5,418,-2.98
NA,NA,NA,NA,NA,NA,-1509.7,419,-3.14
NA,NA,NA,NA,NA,NA,-1520.9,420,-3.03
NA,NA,NA,NA,NA,NA,-1532.2,421,-3.13
NA,NA,NA,NA,NA,NA,-1543.4,422,-2.78
NA,NA,NA,NA,NA,NA,-1554.7,423,-2.69
NA,NA,NA,NA,NA,NA,-1566,424,-2.89
NA,NA,NA,NA,NA,NA,-1577.3,425,-3.66
NA,NA,NA,NA,NA,NA,-1588.6,426,-2.84
NA,NA,NA,NA,NA,NA,-1599.9,427,-2.86
NA,NA,NA,NA,NA,NA,-1611.3,428,-2.92
NA,NA,NA,NA,NA,NA,-1622.6,429,-2.73
NA,NA,NA,NA,NA,NA,-1634,430,-2.73
NA,NA,NA,NA,NA,NA,-1645.4,431,-2.64
NA,NA,NA,NA,NA,NA,-1656.8,432,-2.65
NA,NA,NA,NA,NA,NA,-1668.2,433,-2.93
NA,NA,NA,NA,NA,NA,-1679.6,434,-2.78
NA,NA,NA,NA,NA,NA,-1691,435,-2.73
NA,NA,NA,NA,NA,NA,-1702.5,436,-2.76
NA,NA,NA,NA,NA,NA,-1714,437,-2.63
NA,NA,NA,NA,NA,NA,-1725.4,438,-2.26
NA,NA,NA,NA,NA,NA,-1736.9,439,-2.98
NA,NA,NA,NA,NA,NA,-1748.4,440,-2.67
NA,NA,NA,NA,NA,NA,-1760,441,-2.69
NA,NA,NA,NA,NA,NA,-1771.5,442,-2.98
NA,NA,NA,NA,NA,NA,-1783,443,-2.61
NA,NA,NA,NA,NA,NA,-1794.6,444,-2.59
NA,NA,NA,NA,NA,NA,-1806.2,445,-2.76
NA,NA,NA,NA,NA,NA,-1817.8,446,-3.24
NA,NA,NA,NA,NA,NA,-1829.4,447,-2.5
NA,NA,NA,NA,NA,NA,-1864.3,450,-1.28
NA,NA,NA,NA,NA,NA,-1875.9,451,-2.39
NA,NA,NA,NA,NA,NA,-1887.6,452,-1.76
NA,NA,NA,NA,NA,NA,-1899.3,453,-2.04
NA,NA,NA,NA,NA,NA,-1911,454,-1.71
NA,NA,NA,NA,NA,NA,-1922.7,455,-2.67
NA,NA,NA,NA,NA,NA,-1934.4,456,-2.77
NA,NA,NA,NA,NA,NA,-1946.1,457,-2.8
NA,NA,NA,NA,NA,NA,-1957.9,458,-3.3
NA,NA,NA,NA,NA,NA,-1969.7,459,-3.15
NA,NA,NA,NA,NA,NA,-1981.4,460,-2.5
NA,NA,NA,NA,NA,NA,-1993.2,461,-2.78
NA,NA,NA,NA,NA,NA,-2005,462,-2.76
NA,NA,NA,NA,NA,NA,-2016.9,463,-2.59
NA,NA,NA,NA,NA,NA,-2028.7,464,NA
NA,NA,NA,NA,NA,NA,-2040.5,465,-2.59
NA,NA,NA,NA,NA,NA,-2052.4,466,-2.95
NA,NA,NA,NA,NA,NA,-2064.3,467,-2.57
NA,NA,NA,NA,NA,NA,-2076.2,468,-2.93
NA,NA,NA,NA,NA,NA,-2088.1,469,-2.79
NA,NA,NA,NA,NA,NA,-2100,470,-2.73
NA,NA,NA,NA,NA,NA,-2111.9,471,-2.44
NA,NA,NA,NA,NA,NA,-2123.9,472,-2.64
NA,NA,NA,NA,NA,NA,-2135.8,473,-2.72
NA,NA,NA,NA,NA,NA,-2147.8,474,-2.44
NA,NA,NA,NA,NA,NA,-2159.8,475,-2.15
NA,NA,NA,NA,NA,NA,-2171.8,476,-2.52
NA,NA,NA,NA,NA,NA,-2183.8,477,-2.59
NA,NA,NA,NA,NA,NA,-2195.8,478,-3.34
NA,NA,NA,NA,NA,NA,-2219.9,480,-3.11
NA,NA,NA,NA,NA,NA,-2232,481,-2.87
NA,NA,NA,NA,NA,NA,-2244.1,482,-2.98
NA,NA,NA,NA,NA,NA,-2256.1,483,NA
NA,NA,NA,NA,NA,NA,-2268.3,484,NA
NA,NA,NA,NA,NA,NA,-2280.4,485,NA
NA,NA,NA,NA,NA,NA,-2292.5,486,-2.8
NA,NA,NA,NA,NA,NA,-2304.7,487,NA
NA,NA,NA,NA,NA,NA,-2316.8,488,-2.72
NA,NA,NA,NA,NA,NA,-2329,489,NA
NA,NA,NA,NA,NA,NA,-2341.2,490,NA
NA,NA,NA,NA,NA,NA,-2353.4,491,NA
NA,NA,NA,NA,NA,NA,-2365.6,492,NA
NA,NA,NA,NA,NA,NA,-2377.8,493,-2.75
NA,NA,NA,NA,NA,NA,-2390.1,494,-2.73
NA,NA,NA,NA,NA,NA,-2402.4,495,-2.66
NA,NA,NA,NA,NA,NA,-2414.6,496,-2.69
NA,NA,NA,NA,NA,NA,-2426.9,497,NA
NA,NA,NA,NA,NA,NA,-2439.2,498,-2.37
NA,NA,NA,NA,NA,NA,-2451.5,499,NA
NA,NA,NA,NA,NA,NA,-2463.9,500,-2.65
NA,NA,NA,NA,NA,NA,-2476.2,501,-2.8
NA,NA,NA,NA,NA,NA,-2488.5,502,-2.44
NA,NA,NA,NA,NA,NA,-2500.9,503,NA
NA,NA,NA,NA,NA,NA,-2513.3,504,-2.78
NA,NA,NA,NA,NA,NA,-2525.7,505,-2.92
NA,NA,NA,NA,NA,NA,-2538.1,506,-3.1
NA,NA,NA,NA,NA,NA,-2550.5,507,-2.9
NA,NA,NA,NA,NA,NA,-2563,508,NA
NA,NA,NA,NA,NA,NA,-2575.4,509,-2.62
NA,NA,NA,NA,NA,NA,-2587.9,510,NA
NA,NA,NA,NA,NA,NA,-2600.4,511,-2.67
NA,NA,NA,NA,NA,NA,-2612.8,512,-2.52
