year (AD),depth (cm),depth (cm),dD (permil),dD (permil),dD (permil),dD (permil),dD (permil),dDUncertainty (permil),dDUncertainty (permil),dDUncertainty (permil),dDUncertainty (permil),dDUncertainty (permil)
1952,156.2,153.1,-212.1,-243.6,-245.6,-240.8,-241.5,21.1,0.8,11.5,7.2,4.1
1950.5,160.5,156.2,-238.8,-256.4,-254.3,-244,-250,4.7,4.6,4.5,7.1,1.4
1948.5,163.6,160.5,-227.7,-245.1,-250.5,-240.6,-259.5,3.1,0.1,2,1.6,0.9
1940,230,220,NA,NA,-257.7,NA,NA,NA,NA,1.7,NA,NA
1920,290,280,NA,NA,-259.2,NA,NA,NA,NA,2.7,NA,NA
1900,300,290,NA,NA,-256.6,NA,NA,NA,NA,0.1,NA,NA
1880,360,350,NA,NA,-260,NA,NA,NA,NA,2.4,NA,NA
1860,370,360,NA,NA,-256.8,NA,NA,NA,NA,0.9,NA,NA
1846,440,430,NA,NA,-258.8,NA,NA,NA,NA,3,NA,NA
1821,460,450,NA,NA,-265.9,NA,NA,NA,NA,2.6,NA,NA
1786,510,500,NA,NA,-259,NA,NA,NA,NA,3.3,NA,NA
1751,560,550,NA,NA,-262,NA,NA,NA,NA,0.7,NA,NA
1709,660,650,NA,NA,-260.8,NA,NA,NA,NA,1.4,NA,NA
1661,790,780,NA,NA,-260.1,NA,NA,NA,NA,NA,NA,NA
1631,860,850,NA,NA,-259.8,NA,NA,NA,NA,2.6,NA,NA
1596,960,950,NA,NA,-258.9,NA,NA,NA,NA,1.8,NA,NA
1566,1050,1040,NA,NA,-263.1,NA,NA,NA,NA,0.7,NA,NA
1521,1160,1150,NA,NA,-255.1,NA,NA,NA,NA,2,NA,NA
1486,1260,1250,NA,NA,-261.5,NA,NA,NA,NA,2.4,NA,NA
1451,1360,1350,NA,NA,-253.6,NA,NA,NA,NA,1.9,NA,NA
