year (AD),depth (cm),d18O (permil),d13C (â€°)
-287,88.725,-8.75,0.46
-301,89.3,-8.12,1.19
-311,89.6,-9.23,1.46
-319,89.95,-8.33,1.11
-326,90.25,-8.71,1.13
-336,90.6,-8.65,1.24
-341,90.9,-8.28,1.11
-349,91.15,-8.47,1.28
-359,91.5,-9,1.49
-369,91.9,-8.69,1.38
-378,92.3,-8.5,1.38
-388,92.7,-8.52,1.21
-397,93.1,-7.51,1.34
-407,93.5,-7.62,1.41
-413,93.85,-7.9,1.29
-420,94.15,-8.01,1.28
-427,94.45,-8.08,1.28
-432,94.7,-8.7,1.09
-436,94.9,-8.64,1.13
-443,95.15,-9.79,0.85
-449,95.45,-8.42,1.4
-456,95.75,-8.32,1.61
-462,96.05,-7.67,1.5
-467,96.3,-7.71,1.49
-473,96.55,-7.55,1.44
-477,96.8,-8.24,1.21
-486,97.1,-8,1.54
-494,97.5,-7.77,1.13
-504,97.95,-8.33,0.79
-508,98.3,-8.75,0.73
-514,98.55,-8.1,1.26
-800,112.45,-8.41,1.14
-876,115.45,-8.26,1.61
-939,117.95,-9.24,1.33
-990,119.95,-10.39,0.58
-1091,123.95,-8.99,0.7
-1154,126.45,-10.69,-0.66
-1205,128.45,-9.55,0.89
-1293,131.95,-9.61,1.02
-1357,134.45,-9.2,1.01
-1420,136.95,-9.84,0.8
-1470,138.95,-9.27,1.24
-1521,140.95,-9.58,1.35
-1572,142.95,-9.5,1.13
-1622,144.95,-8.66,2.12
-1723,148.95,-8.56,1.78
-1787,151.45,-10.25,0.96
-1850,153.95,-9.15,1.69
-1901,155.95,-8.72,1.78
-1964,158.45,-9.08,1.62
-2014,160.45,-8.8,1.36
-2078,162.95,-9.15,2.21
-2166,166.45,-8.9,-1.18
-2242,169.45,-9.49,-1.64
-2293,171.45,-9.02,1.61
-2369,174.45,-9.14,0.93
-2457,177.95,-9.46,1.27
-2558,181.95,-10.33,0.32
-2660,185.95,-9.91,1.33
-2723,188.45,-9.46,1.34
-2812,191.95,-9.86,1.86
-2862,193.95,-10.1,2.13
-2925,196.45,-9.16,2.5
-3014,199.95,-9.66,2.23
-3065,201.95,-9.99,1.83
-3128,204.45,-9.79,1.72
-3191,206.95,-9.54,1.41
-3280,210.45,-9.14,1.95
-3330,212.45,-9.59,1.24
-3368,213.95,-10.13,1.21
-3419,215.95,-9.84,1.86
-3469,217.95,-8.96,2.16
-3533,220.45,-9.13,2.08
-3596,222.95,-9.4,2.32
-3672,225.95,-8.52,2.17
-3735,228.45,-8.64,1.85
-3786,230.45,-9.18,2.44
-3950,236.95,-10.01,1.36
-4026,239.95,-8.37,1.67
-4127,243.95,-9.42,2.16
-4191,246.45,-9.94,1.97
-4254,248.95,-9.01,2.32
-4418,255.45,-10.96,0.65
-4482,257.95,-10.36,1.23
-4570,261.45,-9.79,1.78
-4633,263.95,-9.69,1.81
-4703,266.7,-10.12,1.52
-4798,270.45,-9.54,2.15
-4848,272.45,-9.94,2.14
-4912,274.95,-9.59,2.42
-5013,278.95,-10.01,2.21
-5089,281.95,-10.04,1.96
-5139,283.95,-10.53,1.9
-5582,301.45,-10.46,2.14
-5671,304.95,-11.2,1.44
-5721,306.95,-10.49,2.08
-5785,309.45,-10.62,1.74
-5873,312.95,-10.48,1.77
-5924,314.95,-10.91,1.62
-6000,317.95,-10.91,1.37
-6114,322.45,-11.5,1.2
-6177,324.95,-11.6,1.25
-6228,326.95,-11.66,0.75
-6430,334.95,-11.75,-1.06
-6670,344.45,-11.91,-0.38
-6898,353.45,-11.35,0.4
-7120,362.2,-12.66,0.19
-7252,367.45,-13.38,0.44
