year (AD),depth (m),d18O (normalized)
1512,NA,-0.2
1511,NA,-0.1
1510,NA,0.1
1509,NA,-0.1
1508,NA,0.2
1507,NA,0.6
1506,NA,0.6
1505,NA,0.3
1504,NA,0.6
1503,NA,0.7
1502,NA,0.4
1501,NA,0.3
1500,NA,0.3
1499,NA,0.1
1498,NA,0.1
1497,NA,0.2
1496,NA,0.3
1495,NA,0.2
1494,NA,0.1
1493,NA,0.1
1492,NA,0.1
1491,NA,0.2
1490,NA,0.5
1489,NA,0.4
1488,NA,0.2
1487,NA,0.1
1486,NA,0.2
1485,NA,0.2
1484,NA,0.3
1483,NA,0.2
1482,NA,0.2
1481,NA,0.1
1480,NA,0
1479,NA,-0.1
1478,NA,0.1
1477,NA,0
1476,NA,-0.1
1475,NA,-0.2
1474,NA,-0.1
1473,NA,-0.2
1472,NA,-0.6
1471,NA,-0.7
1470,NA,-0.6
1469,NA,-0.5
1468,NA,-0.4
1467,NA,0
1466,NA,0
1465,NA,0
1464,NA,-0.1
1463,NA,-0.1
1462,NA,0
1461,NA,0
1460,NA,-0.2
1459,NA,-0.6
1458,NA,-0.5
1457,NA,0
1456,NA,0.1
1455,NA,0.3
1454,NA,0
1453,NA,0.1
1452,NA,0.5
1451,NA,0.8
1450,NA,0.3
1449,NA,0
1448,NA,0
1447,NA,0.2
1446,NA,0.3
1445,NA,0.2
1444,NA,0
1443,NA,-0.1
1442,NA,0.1
1441,NA,0.3
1440,NA,0.3
1439,NA,0.4
1438,NA,0.2
1437,NA,-0.1
1436,NA,-0.1
1435,NA,-0.1
1434,NA,0.2
1433,NA,0.4
1432,NA,0.1
1431,NA,0.3
1430,NA,0.8
1429,NA,0.8
1428,NA,0.7
1427,NA,0.6
1426,NA,0.4
1425,NA,0.5
1424,NA,0.9
1423,NA,0.7
1422,NA,0.8
1421,NA,1
1420,NA,0.8
1419,NA,0.8
1418,NA,0.9
1417,NA,1.3
1416,NA,1.3
1415,NA,1.1
1414,NA,1.1
1413,NA,1.3
1412,NA,1.5
1411,NA,0.9
1410,NA,0.1
1409,NA,0
1408,NA,0.3
1407,NA,0.3
1406,NA,0.2
1405,NA,0.3
1404,NA,0.3
1403,NA,0.1
1402,NA,0
1401,NA,0
1400,NA,-0.2
1399,NA,-0.2
1398,NA,-0.2
1397,NA,-0.3
1396,NA,0
1395,NA,0.2
1394,NA,0.5
1393,NA,0.6
1392,NA,0.3
1391,NA,0
1390,NA,-0.4
1389,NA,-0.7
1388,NA,-0.7
1387,NA,-0.8
1386,NA,-0.6
1385,NA,-0.5
1384,NA,-0.5
1383,NA,-0.3
1382,NA,-0.2
1381,NA,-0.1
1380,NA,-0.4
1379,NA,0
1378,NA,0.1
1377,NA,-0.4
1376,NA,-0.7
1375,NA,-0.8
1374,NA,-0.9
1373,NA,-0.7
1372,NA,-0.4
1371,NA,0
1370,NA,0
1369,NA,0.1
1368,NA,0.7
1367,NA,1.2
1366,NA,0.7
1365,NA,0.5
1364,NA,0.2
1363,NA,-0.1
1362,NA,-0.3
1361,NA,0.4
1360,NA,0.6
1359,NA,0.4
1358,NA,-0.2
1357,NA,-0.6
1356,NA,-0.3
1355,NA,-0.3
1354,NA,-0.4
1353,NA,-0.1
1352,NA,0.1
1351,NA,0.1
1350,NA,0.4
1349,NA,0.6
1348,NA,-0.1
1347,NA,0
1346,NA,0.6
1345,NA,0.4
1344,NA,0.5
1343,NA,0.7
1342,NA,0.3
1341,NA,0.4
1340,NA,-0.2
1339,NA,-0.5
1338,NA,-0.6
1337,NA,-0.4
1336,NA,0
1335,NA,-0.4
1334,NA,-0.5
1333,NA,-0.4
1332,NA,-0.4
1331,NA,0
1330,NA,-0.3
1329,NA,-0.4
1328,NA,-0.3
1327,NA,-0.1
1326,NA,0.1
1325,NA,-0.2
1324,NA,-0.4
1323,NA,-0.6
1322,NA,-0.3
1321,NA,0.1
1320,NA,-0.1
1319,NA,-0.1
1318,NA,-0.1
1317,NA,-0.1
1316,NA,-0.5
1315,NA,-0.6
1314,NA,0
1313,NA,0.4
1312,NA,0.2
1311,NA,0
1310,NA,-0.4
1309,NA,-0.6
1308,NA,-0.4
1307,NA,0.2
1306,NA,0.2
1305,NA,0.1
1304,NA,0.2
1303,NA,0.5
1302,NA,-0.2
1301,NA,0
1300,NA,0.3
1299,NA,0.2
1298,NA,0.2
1297,NA,0.5
1296,NA,0
1295,NA,-0.6
1294,NA,-0.4
1293,NA,-0.1
1292,NA,0
1291,NA,0
1290,NA,0.5
1289,NA,0.7
1288,NA,-0.2
1287,NA,-0.1
1286,NA,-0.4
1285,NA,0.3
1284,NA,0.1
1283,NA,0
1282,NA,0.3
1281,NA,0.6
1280,NA,1.1
1279,NA,1
1278,NA,0.6
1277,NA,0.2
1276,NA,0.2
1275,NA,0
1274,NA,0
1273,NA,0.2
1272,NA,0
1271,NA,-0.1
1270,NA,0
1269,NA,0
1268,NA,0
1267,NA,-0.2
1266,NA,-0.1
1265,NA,-0.8
1264,NA,-1.1
1263,NA,-0.7
1262,NA,-0.5
1261,NA,-0.8
1260,NA,-0.4
1259,NA,-0.3
1258,NA,-0.4
1257,NA,-0.6
1256,NA,-0.5
1255,NA,-0.3
1254,NA,-0.3
1253,NA,0.2
1252,NA,0.4
1251,NA,0.1
1250,NA,0
1249,NA,0.2
1248,NA,-0.3
1247,NA,-0.1
1246,NA,0.2
1245,NA,0.1
1244,NA,-0.2
1243,NA,-0.5
1242,NA,-0.5
1241,NA,-0.9
1240,NA,-0.2
1239,NA,0.6
1238,NA,-0.1
1237,NA,-0.4
1236,NA,-0.3
1235,NA,0.1
1234,NA,0.3
1233,NA,0
1232,NA,0.5
1231,NA,0.6
1230,NA,-0.2
1229,NA,-0.7
1228,NA,-0.2
1227,NA,0.5
1226,NA,0.5
1225,NA,0.2
1224,NA,-0.2
1223,NA,-0.3
1222,NA,0.4
1221,NA,0.3
1220,NA,-0.2
1219,NA,-0.4
1218,NA,-0.1
1217,NA,0
1216,NA,0.6
1215,NA,0.5
1214,NA,0.4
1213,NA,0
1212,NA,0.4
1211,NA,0.2
1210,NA,0.8
1209,NA,0
1208,NA,-0.2
1207,NA,0.6
1206,NA,1
1205,NA,0.9
1204,NA,0.7
1203,NA,0.2
1202,NA,-0.5
1201,NA,-0.3
1200,NA,-0.2
1199,NA,-0.5
1198,NA,-0.1
1197,NA,-0.1
1196,NA,-0.1
1195,NA,-0.6
1194,NA,-0.9
1193,NA,-1
1192,NA,-0.2
1191,NA,0
1190,NA,0
1189,NA,-0.6
1188,NA,-0.8
1187,NA,-0.8
1186,NA,-0.7
1185,NA,-0.1
1184,NA,0.4
1183,NA,0.5
1182,NA,-0.2
1181,NA,0
1180,NA,0.7
1179,NA,0.9
1178,NA,0.7
1177,NA,0.9
1176,NA,0.7
1175,NA,0.8
1174,NA,0.8
1173,NA,0.4
1172,NA,0
1171,NA,-0.4
1170,NA,-0.4
1169,NA,-0.3
1168,NA,0.1
1167,NA,0.2
1166,NA,-0.1
1165,NA,-0.4
1164,NA,-0.1
1163,NA,0.4
1162,NA,0.6
1161,NA,0.2
1160,NA,-0.3
1159,NA,-0.4
1158,NA,-0.4
1157,NA,-0.2
1156,NA,0
1155,NA,0
1154,NA,0.5
1153,NA,1
1152,NA,1.4
1151,NA,1
1150,NA,0.6
1149,NA,1.2
1148,NA,0.7
1147,NA,0.3
1146,NA,0
1145,NA,-0.4
1144,NA,-0.2
1143,NA,0.3
1142,NA,0.2
1141,NA,0
1140,NA,-0.2
1139,NA,-0.4
1138,NA,-0.6
1137,NA,-0.7
1136,NA,-0.6
1135,NA,-0.3
1134,NA,-0.3
1133,NA,0
1132,NA,-0.2
1131,NA,-0.6
1130,NA,-0.1
1129,NA,0.1
1128,NA,0.1
1127,NA,-0.2
1126,NA,-0.2
1125,NA,-0.1
1124,NA,0.3
1123,NA,0.6
1122,NA,0.1
1121,NA,0.3
1120,NA,0
1119,NA,-0.2
1118,NA,0.1
1117,NA,0.3
1116,NA,0.5
1115,NA,0
1114,NA,-0.6
1113,NA,-0.9
1112,NA,-1
1111,NA,-0.6
1110,NA,-0.4
1109,NA,-0.5
1108,NA,-0.5
1107,NA,-0.7
1106,NA,-0.7
1105,NA,0
1104,NA,0
1103,NA,-0.1
1102,NA,0.1
1101,NA,-0.1
1100,NA,-0.6
1099,NA,-0.4
1098,NA,-0.3
1097,NA,-0.1
1096,NA,-0.2
1095,NA,0.2
1094,NA,-0.1
1093,NA,-0.5
1092,NA,-0.3
1091,NA,0.1
1090,NA,0
1089,NA,0.4
1088,NA,0.3
1087,NA,0.3
1086,NA,0
1085,NA,0.5
1084,NA,0.7
1083,NA,0.9
1082,NA,0.7
1081,NA,0.7
1080,NA,0.9
1079,NA,0.5
1078,NA,0.4
1077,NA,0.1
1076,NA,-0.5
1075,NA,-0.3
1074,NA,0.1
1073,NA,0.3
1072,NA,0.3
1071,NA,0.2
1070,NA,0
1069,NA,0.5
1068,NA,0.7
1067,NA,0.6
1066,NA,0.5
1065,NA,0.1
1064,NA,-0.1
1063,NA,-0.4
1062,NA,-0.3
1061,NA,-0.3
1060,NA,-0.3
1059,NA,-0.3
1058,NA,0
1057,NA,-0.3
1056,NA,-0.1
1055,NA,-0.3
1054,NA,-0.6
1053,NA,-0.2
1052,NA,0.2
1051,NA,0.2
1050,NA,0.2
1049,NA,0.6
1048,NA,0.9
1047,NA,0.9
1046,NA,0.9
1045,NA,0.5
1044,NA,0.5
1043,NA,0.4
1042,NA,0.2
1041,NA,0.3
1040,NA,0.6
1039,NA,0.5
1038,NA,0.5
1037,NA,0.1
1036,NA,-0.5
1035,NA,-0.1
1034,NA,0.3
1033,NA,0.1
1032,NA,0.9
1031,NA,0.8
1030,NA,0.2
1029,NA,0.2
1028,NA,0
1027,NA,0.1
1026,NA,0.6
1025,NA,0.6
1024,NA,0.2
1023,NA,-0.1
1022,NA,-0.3
1021,NA,0
1020,NA,-0.1
1019,NA,0.7
1018,NA,1
1017,NA,1.2
1016,NA,0.7
1015,NA,0.7
1014,NA,0
1013,NA,-0.9
1012,NA,-0.1
1011,NA,-0.1
1010,NA,-0.5
1009,NA,-0.3
1008,NA,-0.1
1007,NA,-0.1
1006,NA,0.3
1005,NA,0.6
1004,NA,0.7
1003,NA,0.4
1002,NA,-0.2
1001,NA,-0.6
1000,NA,-0.1
999,NA,0.1
998,NA,0.5
997,NA,0.5
996,NA,-0.3
995,NA,-0.5
994,NA,-0.4
993,NA,-0.9
992,NA,-0.8
991,NA,-0.4
990,NA,0
989,NA,0.4
988,NA,0.7
987,NA,0.8
986,NA,0.6
985,NA,0
984,NA,-0.2
983,NA,0
982,NA,0.4
981,NA,0.5
980,NA,0.4
979,NA,0.3
978,NA,0.6
977,NA,1
976,NA,1
975,NA,0.5
974,NA,-0.1
973,NA,0
972,NA,0
971,NA,0.2
970,NA,0.2
969,NA,0.5
968,NA,0.8
967,NA,0.7
966,NA,0.2
965,NA,0.3
964,NA,0.8
963,NA,1.2
962,NA,1
961,NA,1
960,NA,0.7
959,NA,0.3
958,NA,0.3
957,NA,0
956,NA,0
955,NA,0.3
954,NA,0.4
953,NA,0.4
952,NA,0.6
951,NA,0.7
950,NA,0.2
949,NA,0.3
948,NA,0.4
947,NA,0.2
946,NA,0.7
945,NA,0.8
944,NA,1.1
943,NA,0.8
942,NA,0.1
941,NA,0.4
940,NA,0.3
939,NA,0.4
938,NA,1
937,NA,0.9
936,NA,0.4
935,NA,-0.2
934,NA,0
933,NA,0.3
932,NA,0.4
931,NA,0.5
930,NA,0.5
929,NA,0.7
928,NA,0.8
927,NA,0.8
926,NA,0.8
925,NA,0.7
924,NA,0.3
923,NA,-0.1
922,NA,-0.6
921,NA,-0.5
920,NA,-0.1
919,NA,0.1
918,NA,0.5
917,NA,0.4
916,NA,0.1
915,NA,0.1
914,NA,-0.2
913,NA,-0.3
912,NA,-0.1
911,NA,-0.2
910,NA,-0.3
909,NA,0.2
908,NA,0.2
907,NA,0.5
906,NA,0.6
905,NA,0.3
904,NA,0
903,NA,-0.4
902,NA,-0.3
901,NA,-0.2
900,NA,0.3
899,NA,0.4
898,NA,0.3
897,NA,0.2
896,NA,-0.2
895,NA,0.2
894,NA,0.3
893,NA,0.2
892,NA,-0.3
891,NA,-0.1
890,NA,0.1
889,NA,0.2
888,NA,0.6
887,NA,0.5
886,NA,0.5
885,NA,0.5
884,NA,0.6
883,NA,0.6
882,NA,0.5
881,NA,0.2
880,NA,0
879,NA,-0.2
878,NA,0
877,NA,0.3
876,NA,0.6
875,NA,0.2
874,NA,0.2
873,NA,0.6
872,NA,0.5
871,NA,0
870,NA,0.5
869,NA,0.6
868,NA,0.2
867,NA,0.1
866,NA,0.4
865,NA,1
864,NA,0.6
863,NA,0
862,NA,-0.3
861,NA,-0.8
860,NA,-0.5
859,NA,-0.2
858,NA,-0.4
857,NA,-0.1
856,NA,-0.4
855,NA,0.4
854,NA,0.4
853,NA,-0.4
852,NA,-0.5
851,NA,-0.2
850,NA,0.3
849,NA,0.4
848,NA,0.5
847,NA,0.6
846,NA,0.3
845,NA,0.4
844,NA,0.9
843,NA,0.1
842,NA,0.1
841,NA,-0.4
840,NA,-0.1
839,NA,-0.2
838,NA,-0.8
837,NA,-0.2
836,NA,-0.3
835,NA,-1.3
834,NA,-1.2
833,NA,-0.8
832,NA,-0.7
831,NA,-0.5
830,NA,0.1
829,NA,-0.1
828,NA,0
827,NA,0.8
826,NA,1.2
825,NA,0.7
824,NA,0.3
823,NA,-0.2
822,NA,-0.1
821,NA,0.4
820,NA,0.5
819,NA,0.4
818,NA,0.6
817,NA,0.8
816,NA,0.2
815,NA,0.2
814,NA,0.2
813,NA,-0.1
812,NA,0
811,NA,-0.4
810,NA,-0.7
809,NA,-1.2
808,NA,-1
807,NA,-0.3
806,NA,0
805,NA,0.3
804,NA,-0.5
803,NA,-0.7
802,NA,-1.1
801,NA,-0.6
800,NA,0.5
799,NA,0.2
798,NA,-0.1
797,NA,-0.1
796,NA,-0.1
795,NA,0.3
794,NA,0.2
793,NA,-0.2
792,NA,-0.2
791,NA,-0.2
790,NA,-0.1
789,NA,-0.5
788,NA,-0.4
787,NA,-0.2
786,NA,0.2
785,NA,0.3
784,NA,0.4
783,NA,0.3
782,NA,0.2
781,NA,0.3
780,NA,0.8
779,NA,0.6
778,NA,0.2
777,NA,-0.6
776,NA,-0.7
775,NA,-0.4
774,NA,-0.2
773,NA,0.4
772,NA,0.5
771,NA,0.3
770,NA,-0.3
769,NA,0.4
768,NA,1.1
767,NA,0.2
766,NA,-0.2
765,NA,-0.6
764,NA,-0.7
763,NA,0
762,NA,0.7
761,NA,0.3
760,NA,0.4
759,NA,1.2
758,NA,1
757,NA,0.8
756,NA,-0.2
755,NA,0
754,NA,-1
753,NA,-0.5
