year (AD),d18O (permil),depthice (m),depthwe (m),Accumulation rate ice (kg/m2/yr) (kg/m2/yr)
1891,-35.5,30.32,14.59,152
1890,-35.7,30.56,14.74,152
1889,-35.4,30.8,14.9,152
1888,-35.9,31.04,15.05,152
1887,-36.4,31.27,15.2,152
1886,-36.3,31.51,15.35,152
1885,-37.1,31.75,15.5,152
1884,-36.2,31.98,15.65,152
1883,-37,32.22,15.81,152
1882,-37,32.45,15.96,152
1881,-34.9,32.68,16.11,152
1880,-34,32.92,16.26,152
1879,-32.8,33.15,16.41,152
1878,-32.7,33.38,16.57,152
1877,-33.7,33.61,16.72,152
1876,-34.4,33.84,16.87,152
1875,-35.1,34.07,17.02,152
1874,-35.2,34.3,17.17,152
1873,-35.4,34.53,17.32,152
1872,-35.4,34.76,17.48,152
1871,-35.4,34.99,17.63,152
1870,-34.8,35.21,17.78,152
1869,-36.2,35.44,17.93,152
1868,-37.9,35.67,18.08,152
1867,-37.3,35.89,18.23,152
1866,-36,36.12,18.39,152
1865,-36.7,36.34,18.54,152
1864,-36.6,36.57,18.69,152
1863,-36.1,36.79,18.84,152
1862,-36,37.02,18.99,152
1861,-34.8,37.24,19.14,152
1860,-35.2,37.46,19.3,152
1859,-35.7,37.68,19.45,152
1858,-34.9,37.91,19.6,152
1857,-35.5,38.13,19.75,152
1856,-34.5,38.35,19.9,152
1855,-35.2,38.57,20.05,152
1854,-36.6,38.79,20.21,152
1853,-36,39.01,20.36,152
1852,-35.4,39.23,20.51,152
1851,-34.6,39.44,20.66,152
1850,-33.8,39.66,20.81,152
1849,-35.5,39.88,20.96,152
1848,-35.2,40.1,21.12,152
1847,-35.5,40.32,21.27,152
1846,-35.8,40.53,21.42,152
1845,-34.6,40.75,21.57,152
1844,-34.4,40.96,21.72,152
1843,-35.3,41.18,21.87,152
1842,-35.7,41.4,22.03,152
1841,-35.3,41.61,22.18,152
1840,-35.4,41.82,22.33,152
1839,-34.9,42.04,22.48,152
1838,-34.3,42.25,22.63,152
1837,-34.8,42.47,22.79,152
1836,-35.9,42.68,22.94,152
1835,-38,42.89,23.09,152
1834,-39.2,43.1,23.24,152
1833,-37.9,43.32,23.39,152
1832,-35.8,43.53,23.54,152
1831,-35.2,43.74,23.7,152
1830,-35.5,43.95,23.85,152
1829,-35.8,44.16,24,152
1828,-35,44.37,24.15,152
1827,-34.8,44.58,24.3,152
1826,-33.9,44.79,24.45,152
1825,-34.5,45,24.61,152
1824,-36,45.21,24.76,152
1823,-35.9,45.42,24.91,152
1822,-36.8,45.63,25.06,152
1821,-36.8,45.84,25.21,152
1820,-36.9,46.03,25.36,152
1819,-36.8,46.24,25.52,152
1818,-37.1,46.45,25.67,152
1817,-36.8,46.68,25.82,152
1816,-37.4,46.88,25.97,161
1815,-38.1,47.09,26.13,161
1814,-37,47.31,26.29,161
1813,-36,47.53,26.45,161
1812,-35.5,47.75,26.61,161
1811,-36.1,47.97,26.78,161
1810,-37.8,48.18,26.94,161
1809,-37.3,48.4,27.1,161
1808,-37.3,48.62,27.26,161
1807,-37.4,48.83,27.42,161
1806,-36.7,49.05,27.58,161
1805,-34.9,49.27,27.74,161
1804,-33.5,49.48,27.9,161
1803,-33.7,49.7,28.06,161
1802,-34.4,49.91,28.22,161
1801,-35.9,50.13,28.38,161
1800,-36.2,50.34,28.54,161
1799,-36.7,50.56,28.7,161
1798,-36.4,50.77,28.87,161
1797,-36.4,50.98,29.03,161
1796,-36.5,51.2,29.19,161
1795,-36,51.41,29.35,161
1794,-35.6,51.62,29.51,161
1793,-34,51.84,29.67,161
1792,-33.6,52.05,29.83,161
1791,-34.9,52.26,29.99,161
1790,-36.2,52.47,30.15,161
1789,-35.7,52.68,30.31,161
1788,-34.4,52.9,30.47,161
1787,-34.2,53.11,30.63,161
1786,-34,53.32,30.8,161
1785,-34.4,53.53,30.96,161
1784,-36.1,53.74,31.12,161
1783,-35.7,53.95,31.28,145
1782,-36.2,54.14,31.42,145
1781,-36.3,54.33,31.57,145
1780,-37.4,54.52,31.71,145
1779,-38.9,54.71,31.86,145
1778,-37.7,54.9,32.01,145
1777,-35.1,55.09,32.15,145
1776,-35,55.28,32.3,145
1775,-34.3,55.47,32.44,145
1774,-33.9,55.65,32.59,145
1773,-33.5,55.84,32.73,145
1772,-33.1,56.03,32.88,145
1771,-34.4,56.22,33.02,145
1770,-34.4,56.41,33.17,145
1769,-34.6,56.59,33.31,145
1768,-34.8,56.78,33.46,145
1767,-37.1,56.97,33.6,145
1766,-36.9,57.16,33.75,145
1765,-36.1,57.34,33.9,145
1764,-35.2,57.53,34.04,145
1763,-34.1,57.72,34.19,145
1762,-34.2,57.9,34.33,145
1761,-35.4,58.09,34.48,145
1760,-34.4,58.28,34.62,145
1759,-32.8,58.46,34.77,145
1758,-34.3,58.65,34.91,145
1757,-35.3,58.83,35.06,145
1756,-36.5,59.02,35.2,145
1755,-36.3,59.2,35.35,145
1754,-35.3,59.39,35.5,145
1753,-36.4,59.58,35.64,145
1752,-36.2,59.76,35.79,145
1751,-35.2,59.95,35.93,145
1750,-34,60.13,36.08,145
1749,-35.1,60.31,36.22,146
1748,-37,60.5,36.37,145
1747,-36.7,60.68,36.51,145
1746,-36.8,60.87,36.66,145
1745,-37.3,61.05,36.8,145
1744,-38.1,61.24,36.95,145
1743,-38.9,61.42,37.09,145
1742,-36.8,61.6,37.24,145
1741,-34.7,61.79,37.39,145
1740,-35.2,61.97,37.53,145
1739,-35.7,62.15,37.68,145
1738,-34.5,62.34,37.82,145
1737,-34.5,62.52,37.97,145
1736,-34.8,62.7,38.11,146
1735,-35.4,62.88,38.26,145
1734,-36.5,63.08,38.4,145
1733,-36.5,63.26,38.55,145
1732,-34.9,63.44,38.69,145
1731,-34,63.57,38.84,145
1730,-33.1,63.76,38.99,145
1729,-34.1,63.94,39.13,145
1728,-35.9,64.12,39.28,145
1727,-34.9,64.3,39.42,145
1726,-35.4,64.48,39.57,145
1725,-36.6,64.66,39.71,145
1724,-36,64.85,39.86,145
1723,-36.1,65.03,40,146
1722,-35.4,65.21,40.15,145
1721,-35.2,65.39,40.29,145
1720,-36.4,65.57,40.44,145
1719,-37.4,65.75,40.58,145
1718,-36.8,65.93,40.73,145
1717,-35.4,66.11,40.88,145
1716,-34.6,66.29,41.02,145
1715,-36.5,66.47,41.17,145
1714,-36.5,66.65,41.31,145
1713,-34.6,66.83,41.46,145
1712,-34.4,67.01,41.6,145
1711,-36.3,67.19,41.75,145
1710,-36.1,67.37,41.89,145
1709,-35.6,67.55,42.04,145
1708,-36,67.73,42.18,145
1707,-36.7,67.91,42.33,145
1706,-35.7,68.09,42.48,145
1705,-35,68.27,42.62,145
1704,-35.5,68.45,42.77,145
1703,-35.9,68.63,42.91,145
1702,-34.8,68.8,43.06,145
1701,-35.1,68.98,43.2,145
1700,-36.5,69.16,43.35,145
1699,-36.4,69.34,43.49,145
1698,-36.9,69.52,43.64,145
1697,-37.3,69.7,43.78,145
1696,-38.2,69.88,43.93,145
1695,-38.2,70.05,44.07,145
1694,-37.4,70.23,44.22,153
1693,-36.6,70.42,44.37,153
1692,-36.7,70.61,44.53,153
1691,-35.6,70.79,44.68,153
1690,-34.3,70.98,44.83,153
1689,-35.6,71.17,44.99,153
1688,-36.9,71.35,45.14,153
1687,-37.1,71.54,45.29,153
1686,-37.3,71.73,45.44,153
1685,-36.3,71.91,45.6,153
1684,-36.7,72.1,45.75,153
1683,-36.7,72.28,45.9,153
1682,-35.2,72.47,46.06,153
1681,-35,72.66,46.21,153
1680,-35.7,72.84,46.36,153
1679,-36.4,73.03,46.52,153
1678,-36.4,73.21,46.67,153
1677,-36.2,73.4,46.82,153
1676,-35.6,73.58,46.97,153
1675,-36.5,73.77,47.13,153
1674,-37.4,73.96,47.28,153
1673,-38.4,74.14,47.43,153
1672,-37.4,74.33,47.59,153
1671,-34.8,74.51,47.74,153
1670,-33.9,74.7,47.89,153
1669,-35.8,74.88,48.05,153
1668,-36.6,75.06,48.2,153
1667,-35.4,75.25,48.35,153
1666,-34.9,75.43,48.5,148
1665,-35.8,75.61,48.65,148
1664,-35.8,75.79,48.8,148
1663,-34.7,75.97,48.95,148
1662,-33.6,76.15,49.1,148
1661,-34.6,76.33,49.24,148
1660,-35.5,76.5,49.39,148
1659,-35.9,76.68,49.54,148
1658,-35.3,76.86,49.69,148
1657,-35,77.04,49.84,148
1656,-35.6,77.22,49.99,148
1655,-35.2,77.39,50.13,148
1654,-34.9,77.57,50.28,148
1653,-35.8,77.75,50.43,148
1652,-35.7,77.93,50.58,148
1651,-35.8,78.1,50.73,148
1650,-37.6,78.28,50.87,148
1649,-38,78.46,51.02,148
1648,-37,78.63,51.17,148
1647,-36.1,78.81,51.32,148
1646,-35.3,78.99,51.47,148
1645,-35.3,79.17,51.61,148
1644,-35.8,79.34,51.76,148
1643,-35.2,79.52,51.91,148
1642,-35.6,79.7,52.06,148
1641,-36.6,79.87,52.21,148
1640,-36.4,80.05,52.36,151
1639,-36.1,80.23,52.51,151
1638,-37,80.41,52.66,151
1637,-37,80.59,52.81,151
1636,-37,80.77,52.96,151
1635,-38.3,80.95,53.11,151
1634,-37.6,81.13,53.26,151
1633,-36.7,81.31,53.41,151
1632,-36.8,81.49,53.56,151
1631,-36.2,81.67,53.72,151
1630,-36.7,81.85,53.87,151
1629,-37.1,82.03,54.02,151
1628,-35.1,82.2,54.17,151
1627,-34.7,82.38,54.32,151
1626,-35.6,82.57,54.47,151
1625,-35.9,82.75,54.62,151
1624,-35.2,82.93,54.77,151
1623,-35.8,83.11,54.92,151
1622,-35.8,83.28,55.08,151
1621,-36.2,83.47,55.23,151
1620,-36.9,83.64,55.38,151
1619,-35.6,83.82,55.53,151
1618,-34.3,83.99,55.68,151
1617,-35.4,84.17,55.83,151
1616,-35.1,84.35,55.98,151
1615,-33.9,84.54,56.13,151
1614,-34.1,84.71,56.29,151
1613,-34.8,84.89,56.44,151
1612,-35.1,85.06,56.59,151
1611,-35.1,85.24,56.74,151
1610,-36.3,85.42,56.89,151
1609,-36.3,85.6,57.04,151
1608,-36.9,85.78,57.19,151
1607,-36.9,85.95,57.34,151
1606,-36.3,86.13,57.49,151
1605,-34.5,86.31,57.65,151
1604,-34,86.46,57.8,151
1603,-34.6,86.62,57.95,151
1602,-35.1,86.79,58.1,151
1601,-35.5,87,58.25,152
1600,-35.5,87.21,58.4,152
1599,-35.1,87.39,58.55,152
1598,-35.8,87.57,58.71,152
1597,-37.6,87.74,58.86,152
1596,-36.4,87.92,59.01,152
1595,-35.5,88.1,59.16,152
1594,-35.8,88.27,59.32,152
1593,-34.7,88.45,59.47,152
1592,-34.6,88.63,59.62,152
1591,-34.8,88.77,59.77,152
1590,-36,88.96,59.92,152
1589,-36.1,89.16,60.08,152
1588,-35,89.34,60.23,152
1587,-34.5,89.52,60.38,152
1586,-34.8,89.69,60.53,152
1585,-33.8,89.87,60.68,152
1584,-33.4,90.05,60.84,152
1583,-34.2,90.23,60.99,152
1582,-35.7,90.4,61.14,152
1581,-36.2,90.58,61.29,152
1580,-35.6,90.76,61.44,152
1579,-36.1,90.94,61.6,152
1578,-36.9,91.11,61.75,152
1577,-37.2,91.29,61.9,152
1576,-35.9,91.47,62.05,152
1575,-35.8,91.65,62.21,152
1574,-37.4,91.82,62.36,152
1573,-36.2,92,62.51,152
1572,-34.1,92.18,62.66,152
1571,-35,92.35,62.81,152
1570,-34.9,92.53,62.97,152
1569,-33.9,92.71,63.12,152
1568,-34,92.88,63.27,152
1567,-34.9,93.06,63.42,152
1566,-36.5,93.24,63.57,152
1565,-36.9,93.42,63.73,152
1564,-36.2,93.59,63.88,152
1563,-36.3,93.77,64.03,152
1562,-36.2,93.94,64.18,152
1561,-35.1,94.12,64.34,152
1560,-33.4,94.3,64.49,152
1559,-33.3,94.47,64.64,152
1558,-34.8,94.65,64.79,152
1557,-36.1,94.83,64.94,152
1556,-36.5,95,65.1,152
1555,-36.5,95.18,65.25,152
1554,-36.8,95.36,65.4,152
1553,-36.9,95.53,65.55,152
1552,-35.9,95.71,65.7,152
1551,-35.4,95.88,65.86,152
1550,-35.2,96.06,66.01,152
1549,-35.2,96.24,66.16,152
1548,-34.4,96.41,66.31,152
1547,-35.1,96.59,66.47,152
1546,-36.5,96.76,66.62,152
1545,-36.3,96.94,66.77,152
1544,-36.7,97.11,66.92,152
1543,-37.6,97.29,67.07,152
1542,-38.4,97.47,67.23,152
1541,-36.9,97.64,67.38,152
1540,-34.9,97.82,67.53,152
1539,-35.7,97.99,67.68,152
1538,-36.9,98.17,67.83,152
1537,-36.5,98.34,67.99,152
1536,-35,98.52,68.14,152
1535,-34,98.69,68.29,152
1534,-34.2,98.87,68.44,152
1533,-34.7,99.04,68.6,152
1532,-35.7,99.22,68.75,152
1531,-35.7,99.4,68.9,152
1530,-35.3,99.57,69.05,152
1529,-34.9,99.75,69.2,152
1528,-35.4,99.92,69.36,152
1527,-35.5,100.1,69.51,152
1526,-36.4,100.27,69.66,152
1525,-36.2,100.45,69.81,152
1524,-34.9,100.62,69.96,152
1523,-34.3,100.8,70.12,152
1522,-35.8,100.97,70.27,152
1521,-36,101.14,70.42,152
1520,-36.1,101.32,70.57,152
1519,-38.3,101.49,70.73,152
1518,-38,101.67,70.88,152
1517,-36.7,101.84,71.03,152
1516,-36.7,102.02,71.18,152
1515,-34.9,102.19,71.33,152
1514,-35.3,102.37,71.49,152
1513,-36.5,102.54,71.64,152
1512,-37.7,102.72,71.79,152
1511,-36.3,102.89,71.94,152
1510,-34.9,103.06,72.09,152
1509,-35.5,103.24,72.25,152
1508,-35.8,103.41,72.4,152
1507,-35.6,103.59,72.55,152
1506,-36.2,103.76,72.7,152
1505,-36.8,103.94,72.86,152
1504,-35.3,104.11,73.01,152
1503,-34.8,104.28,73.16,152
1502,-36.2,104.46,73.31,152
1501,-36.7,104.63,73.46,152
1500,-35.1,104.81,73.62,152
1499,-36.1,104.98,73.77,152
1498,-36.1,105.15,73.92,152
1497,-35.1,105.33,74.07,152
1496,-35.3,105.5,74.22,152
1495,-35.4,105.68,74.38,152
1494,-34.6,105.85,74.53,152
1493,-35,106.02,74.68,152
1492,-36,106.2,74.83,152
1491,-35.1,106.37,74.99,152
1490,-33.6,106.54,75.14,152
1489,-34.1,106.72,75.29,152
1488,-35.7,106.89,75.44,152
1487,-35.5,107.07,75.59,152
1486,-35.8,107.24,75.75,152
1485,-36.4,107.41,75.9,152
1484,-36.3,107.59,76.05,152
1483,-36.5,107.76,76.2,152
1482,-35.6,107.93,76.35,152
1481,-35,108.11,76.51,152
1480,-35.6,108.28,76.66,152
1479,-36.2,108.45,76.81,152
1478,-36.2,108.63,76.96,152
1477,-36.4,108.8,77.12,152
1476,-35.9,108.97,77.27,152
1475,-36.2,109.15,77.42,152
1474,-36.6,109.32,77.57,152
1473,-35.9,109.49,77.72,152
1472,-35.7,109.66,77.88,152
1471,-36.1,109.84,78.03,152
