year (AD),d18O (permil),Sr_Ca (mmol/mol)
1990.63,-4.2781,8.7995
1990.54,-4.2557,8.8328
1990.46,-4.239,8.871
1990.38,-4.1146,8.8838
1990.29,-4.0117,8.8956
1990.21,-3.936,8.906
1990.13,-4.1943,8.8695
1990.04,-4.3861,8.8493
1989.96,-4.493,8.85
1989.88,-4.5052,8.8468
1989.79,-4.4613,8.8343
1989.71,-4.346,8.81
1989.63,-4.3216,8.8491
1989.54,-4.2151,8.8753
1989.46,-4.004,8.885
1989.38,-3.9976,8.91
1989.29,-3.939,8.9307
1989.21,-3.814,8.946
1989.13,-3.752,8.9275
1989.04,-3.8553,8.9001
1988.96,-4.114,8.884
1988.88,-4.2233,8.8284
1988.79,-4.3844,8.8183
1988.71,-4.42,8.786
1988.63,-4.4142,8.7993
1988.54,-4.3037,8.8447
1988.46,-4.1575,8.878
1988.38,-4.0403,8.8923
1988.29,-3.9575,8.8982
1988.21,-3.8,8.904
1988.13,-3.825,8.9085
1988.04,-3.8738,8.8976
1987.96,-3.953,8.867
1987.88,-4.0876,8.8446
1987.79,-4.181,8.8076
1987.71,-4.222,8.752
1987.63,-4.3933,8.7757
1987.54,-4.4123,8.803
1987.46,-4.467,8.789
1987.38,-4.3363,8.85
1987.29,-4.1087,8.8827
1987.21,-3.868,8.916
1987.13,-4.0239,8.8871
1987.04,-4.1798,8.8582
1986.96,-4.3041,8.8344
1986.88,-4.4272,8.8109
1986.79,-4.4907,8.8224
1986.71,-4.549,8.837
1986.63,-4.3957,8.8437
1986.54,-4.2143,8.853
1986.46,-4.105,8.8775
1986.38,-4.0107,8.9043
1986.29,-3.8698,8.923
1986.21,-3.769,8.953
1986.13,-3.764,8.9388
1986.04,-3.927,8.922
1985.96,-4.129,8.903
1985.88,-4.2823,8.8813
1985.79,-4.3553,8.8592
1985.71,-4.387,8.845
1985.63,-4.2556,8.8623
1985.54,-4.1151,8.8925
1985.46,-3.963,8.939
1985.38,-3.9322,8.9544
1985.29,-3.8786,8.967
1985.21,-3.796,8.976
1985.13,-3.9506,8.9491
1985.04,-4.1393,8.9183
1984.96,-4.363,8.892
1984.88,-4.488,8.8846
1984.79,-4.5047,8.838
1984.71,-4.291,8.818
1984.63,-4.326,8.8155
1984.54,-4.2343,8.8463
1984.46,-4.111,8.878
1984.38,-3.9617,8.9027
1984.29,-3.7998,8.9218
1984.21,-3.744,8.931
1984.13,-3.8725,8.8961
1984.04,-3.9607,8.898
1983.96,-4.075,8.8516
1983.88,-4.2371,8.8263
1983.79,-4.2966,8.7958
1983.71,-4.374,8.774
1983.63,-4.3973,8.7815
1983.54,-4.3853,8.8057
1983.46,-4.3245,8.8265
1983.38,-4.1947,8.8403
1983.29,-4.025,8.8548
1983.21,-3.95,8.884
1983.13,-3.94,8.879
1983.04,-3.986,8.8807
1982.96,-4.0805,8.862
1982.88,-4.2293,8.8343
1982.79,-4.3965,8.8158
1982.71,-4.449,8.8
1982.63,-4.359,8.8058
1982.54,-4.3483,8.8363
1982.46,-4.2945,8.849
1982.38,-4.178,8.8577
1982.29,-4.0705,8.8817
1982.21,-4.123,8.895
1982.13,-3.9775,8.8469
1982.04,-3.9959,8.8121
1981.96,-4.223,8.794
1981.88,-4.3935,8.7709
1978.7,-4.516,8.859
1978.62,-4.4242,8.869
1978.53,-4.3788,8.87
1978.45,-4.386,8.892
1978.37,-4.091,8.8957
1978.28,-4.017,8.9143
1978.2,-3.914,8.941
1978.12,-3.9418,8.957
1978.03,-3.9529,8.9342
1977.95,-3.951,8.881
1977.87,-4.1642,8.8449
1977.78,-4.2853,8.8107
1977.7,-4.334,8.778
1977.62,-4.4319,8.8492
1977.53,-4.2041,8.8788
1977.45,-4.045,8.82
1977.37,-3.9819,8.9348
1977.28,-3.9051,8.9292
1977.2,-3.747,8.928
1977.12,-3.7421,8.9551
1977.03,-3.7877,8.9462
1976.95,-3.873,8.909
1976.87,-4.0063,8.8889
1976.78,-4.1425,8.8563
1976.7,-4.281,8.814
1976.62,-4.2502,8.8373
1976.53,-4.1767,8.874
1976.45,-4.0925,8.8865
1976.37,-3.956,8.8977
1976.28,-3.7425,8.9333
1976.2,-3.535,8.965
1976.12,-3.6286,8.94
1976.03,-3.7222,8.915
1975.95,-3.7915,8.8915
1975.87,-3.8623,8.8687
1975.78,-3.9957,8.8608
1975.7,-4.129,8.853
1975.62,-4.2611,8.8574
1975.53,-4.1399,8.8916
1975.45,-4.022,8.933
1975.37,-3.8618,8.9195
1975.28,-3.8062,8.9075
1975.2,-3.896,8.969
1975.12,-3.9362,8.942
1975.03,-3.9764,8.9151
1974.95,-4.0685,8.9115
1974.87,-4.1629,8.9078
1974.78,-4.2594,8.8769
1974.7,-4.356,8.846
1974.62,-4.2192,8.8766
1974.53,-4.1188,8.8965
1974.45,-4.047,8.908
1974.37,-3.8699,8.9434
1974.28,-3.7683,8.9572
1974.2,-3.726,8.954
1974.12,-3.7539,8.9422
1974.03,-3.7819,8.9305
1973.95,-3.998,8.92
1973.87,-4.2112,8.909
1973.78,-4.1671,8.884
1973.7,-4.123,8.859
1973.62,-4.1987,8.8646
1973.53,-4.1272,8.8781
1973.45,-3.94,8.898
1973.37,-3.9122,8.9022
1973.28,-3.8551,8.9108
1973.2,-3.775,8.923
1973.12,-3.9188,8.9244
1973.03,-4.0366,8.8956
1972.95,-4.134,8.843
1972.87,-4.3416,8.8479
1972.78,-4.3957,8.8425
1972.7,-4.329,8.829
1972.62,-4.206,8.8486
1972.53,-4.0829,8.8682
1972.45,-3.9725,8.874
1972.37,-3.8664,8.8804
1972.28,-3.8502,8.9157
1972.2,-3.834,8.951
1972.12,-3.8432,8.9185
1972.03,-3.8523,8.9053
1971.95,-4.077,8.8675
1971.87,-4.29,8.8353
1971.78,-4.2785,8.8357
1971.7,-4.301,8.814
1971.62,-4.2755,8.8385
1971.53,-4.25,8.863
1971.45,-4.103,8.8955
1971.37,-3.9532,8.9272
1971.28,-3.8586,8.9311
1971.2,-3.764,8.935
1971.12,-3.8182,8.9258
1971.03,-3.883,8.8947
1970.95,-4.002,8.8645
1970.87,-4.096,8.8373
1970.78,-4.1215,8.816
1970.7,-4.229,8.826
1970.62,-4.1273,8.8568
1970.53,-4.447,8.8477
1970.45,-4.452,8.854
1970.37,-4.2427,8.8723
1970.28,-4.1348,8.8867
1970.2,-4.039,8.915
1970.12,-3.9864,8.9139
1970.03,-4.1456,8.8611
1969.95,-4.12,8.853
1969.87,-4.2887,8.8385
1969.78,-4.2553,8.8505
1969.7,-4.439,8.786
1969.62,-4.3983,8.813
1969.53,-4.3576,8.8399
1969.45,-4.289,8.828
1969.37,-4.2179,8.8163
1969.28,-4.1155,8.8492
1969.2,-4.013,8.882
1969.12,-4.0483,8.8791
1969.03,-4.0836,8.8761
1968.95,-3.9855,8.864
1968.87,-3.8933,8.8507
1968.78,-4.0746,8.8194
1968.7,-4.256,8.788
1968.62,-4.2393,8.7993
1968.53,-4.2227,8.8105
1968.45,-4.2375,8.8395
1968.37,-4.2473,8.8697
1968.28,-4.1047,8.9118
1968.2,-3.962,8.954
1968.12,-3.8134,8.8991
1968.03,-3.7595,8.8592
1967.95,-3.78,8.831
1967.87,-3.939,8.8629
1967.78,-4.1228,8.8501
1967.7,-4.326,8.802
1967.62,-4.2941,8.8284
1967.53,-4.1978,8.8597
1967.45,-4.051,8.895
1967.37,-4.0427,8.911
1967.28,-3.9288,8.9478
1967.2,-3.732,9.001
1967.12,-3.7514,8.9774
1967.03,-3.8228,8.944
1966.95,-3.935,8.903
1966.87,-4.0961,8.8752
1966.78,-4.2474,8.8422
1966.7,-4.391,8.805
1966.62,-4.3018,8.8124
1966.53,-4.2126,8.8197
1966.45,-4.181,8.8445
1966.37,-4.1499,8.8699
1966.28,-4.0719,8.8935
1966.2,-3.994,8.917
1966.12,-3.9329,8.9149
1966.03,-3.9232,8.9014
1965.95,-3.954,8.879
1965.87,-4.1144,8.8693
1965.78,-4.2069,8.855
1965.7,-4.246,8.837
1965.62,-4.191,8.852
1965.53,-4.0107,8.9343
1965.45,-3.95,8.991
1965.37,-3.942,9.0083
1965.28,-3.8567,9.0125
1965.2,-3.75,9.03
1965.12,-3.7701,9.0029
1965.03,-3.8407,8.9759
1964.95,-3.951,8.949
1964.87,-4.0649,8.9032
1964.78,-4.208,8.8712
1964.7,-4.374,8.85
1964.62,-4.2557,8.9075
1964.53,-4.1693,8.901
1964.45,-4.072,8.9075
1964.37,-3.9843,8.923
1964.28,-3.8998,8.9312
1964.2,-3.694,8.972
1964.12,-3.7593,8.972
1964.03,-3.8185,8.9426
1963.95,-3.873,8.89
1963.87,-3.9938,8.8476
1963.78,-4.1841,8.8186
1963.7,-4.429,8.8
1963.62,-4.3621,8.8461
1963.53,-4.2659,8.8999
1963.45,-4.015,8.901
1963.37,-3.8907,8.9291
1963.28,-3.7823,8.9569
1963.2,-3.658,8.981
1963.12,-3.7688,8.9035
1963.03,-4.073,8.874
1962.95,-4.2525,8.8715
1962.87,-4.3267,8.871
1962.78,-4.3822,8.8602
1962.7,-4.303,8.856
1962.62,-4.2419,8.8511
1962.53,-4.1935,8.8598
1962.45,-4.155,8.879
1962.37,-3.9349,8.9082
1962.28,-3.768,8.9235
1962.2,-3.643,8.928
1962.12,-3.6736,8.9037
1962.03,-3.7943,8.9023
1961.95,-3.986,8.919
1961.87,-4.0846,8.9058
1961.78,-4.2414,8.867
1961.7,-4.444,8.808
1961.62,-4.3415,8.8538
1961.53,-4.2317,8.8803
1961.45,-4.0445,8.902
1961.37,-3.9033,8.9293
1961.28,-3.8795,8.9588
1961.2,-3.747,8.963
1961.12,-3.8612,8.9472
1961.03,-3.9407,8.9307
1960.95,-4.0585,8.917
1960.87,-4.1997,8.8877
1960.78,-4.3215,8.8352
1960.7,-4.414,8.796
1960.62,-4.4557,8.831
1960.53,-4.3987,8.844
1960.45,-4.299,8.8635
1960.37,-4.218,8.8813
1960.28,-4.1548,8.9027
1960.2,-3.979,8.996
1960.12,-3.9661,8.9475
1960.03,-3.9019,8.9555
1959.95,-3.8985,8.9435
1959.87,-3.9923,8.9383
1959.78,-4.1797,8.9019
1959.7,-4.329,8.906
1959.62,-4.2982,8.891
1959.53,-4.3453,8.8913
1959.45,-4.282,8.9055
1959.37,-4.147,8.9277
1959.28,-4.0398,8.9557
1959.2,-3.954,8.999
1959.12,-3.8312,8.9484
1959.03,-3.899,8.955
1958.95,-4.076,8.984
1958.87,-4.1937,8.9261
1958.78,-4.3997,8.897
1958.7,-4.497,8.88
1958.62,-4.4862,8.8317
1958.53,-4.514,8.8247
1958.45,-4.405,8.8475
1958.37,-4.245,8.8957
1958.28,-4.1653,8.9492
1958.2,-4.127,8.95
1958.12,-4.0402,8.9194
1958.03,-4.0311,8.8931
1957.95,-4.083,8.87
1957.87,-4.2837,8.8485
1957.78,-4.3745,8.8361
1957.7,-4.379,8.831
1957.62,-4.4954,8.8381
1957.53,-4.2046,8.8649
1957.45,-4.277,8.859
1957.37,-3.9517,8.8863
1957.28,-3.8933,8.9447
1957.2,-3.659,8.993
1957.12,-3.5356,8.9924
1957.03,-3.5744,8.9536
1956.95,-3.537,8.976
1956.87,-4.0699,8.9689
1956.78,-4.1671,8.9421
1956.7,-4.099,8.912
1956.62,-4.1796,8.9203
1956.53,-4.1701,8.9236
1956.45,-4.09,8.923
1956.37,-3.9421,8.948
1956.28,-3.8077,8.9683
1956.2,-3.684,8.985
1956.12,-3.7118,8.9496
1956.03,-3.7186,8.9354
1955.95,-3.709,8.938
1955.87,-3.9979,8.8651
1955.78,-4.195,8.8273
1955.7,-4.32,8.817
1955.62,-4.245,8.8052
1955.53,-4.236,8.7975
1955.45,-4.279,8.793
1955.37,-4.1005,8.8437
1955.28,-3.9007,8.8962
1955.2,-3.684,8.95
1955.12,-3.729,8.945
1955.03,-3.672,8.9273
1954.95,-3.7635,8.9255
1954.87,-4.023,8.909
1954.78,-4.2883,8.8527
1954.7,-4.265,8.801
1954.62,-4.2421,8.8093
1954.53,-4.1247,8.8345
1954.45,-3.933,8.873
1954.37,-3.9518,8.8959
1954.28,-3.8695,8.9214
1954.2,-3.708,8.949
1954.12,-3.8066,8.9032
1954.03,-3.9232,8.8769
1953.95,-4.054,8.866
1953.87,-4.12,8.8549
1953.78,-4.2499,8.8547
1953.7,-4.43,8.863
1953.62,-4.2367,8.8747
1953.53,-4.316,8.8777
1953.45,-4.1605,8.9225
1953.37,-3.8887,8.974
1953.28,-3.7378,8.9897
1953.2,-3.557,8.998
1953.12,-3.5953,8.9338
1953.03,-3.7883,8.9123
1952.95,-4.0165,8.8595
1952.87,-4.1483,8.8253
1952.78,-4.182,8.8518
1952.7,-4.387,8.841
1952.62,-4.2726,8.8557
1952.53,-4.0884,8.8634
1952.45,-4.1,8.886
1952.37,-3.9228,8.9086
1952.28,-3.8126,8.9171
1952.2,-3.677,8.934
1952.12,-3.8144,8.9363
1952.03,-3.7756,8.9437
1951.95,-4.134,8.891
1951.87,-4.0727,8.8975
1951.78,-4.3653,8.8605
1951.7,-4.281,8.852
1951.62,-4.2866,8.8735
1951.53,-4.1853,8.8841
1951.45,-4,8.886
1951.37,-3.9646,8.9402
1951.28,-3.9135,8.9837
1951.2,-3.85,9.019
1951.12,-3.7592,8.9716
1951.03,-3.7138,8.9364
1950.95,-3.958,8.895
1950.87,-4.1697,8.8819
1950.78,-4.3383,8.9032
1950.7,-4.454,8.833
1950.62,-4.2523,8.8397
1950.53,-4.0693,8.873
1950.45,-3.9485,8.9075
1950.37,-3.8937,8.9323
1950.28,-3.8597,8.9425
1950.2,-3.743,8.93
1950.12,-3.7488,8.9458
1950.03,-3.9273,8.9163
1949.95,-4.0635,8.8955
1949.87,-4.1617,8.883
1949.78,-4.3065,8.859
1949.7,-4.524,8.819
1949.62,-4.4282,8.8282
1949.53,-4.2837,8.8513
1949.45,-4.1495,8.8675
1949.37,-4.0197,8.887
1949.28,-3.8832,8.9172
1949.2,-3.784,8.928
1949.12,-3.8,8.9211
1949.03,-3.8903,8.9051
1948.95,-4.039,8.882
1948.87,-4.1543,8.8591
1948.78,-4.2703,8.8167
1948.7,-4.387,8.759
1948.62,-4.3415,8.8133
1948.53,-4.4045,8.8707
1948.45,-4.233,8.908
1948.37,-3.9525,8.9589
1948.28,-3.7905,8.9821
1948.2,-3.668,8.995
1948.12,-3.7513,8.9568
1948.03,-3.8756,8.9192
1947.95,-4.032,8.882
1947.87,-4.1973,8.8667
1947.78,-4.2535,8.8474
1947.7,-4.224,8.825
1947.62,-4.1539,8.8479
1947.53,-4.0921,8.8695
1947.45,-4.037,8.89
1947.37,-3.9377,8.9018
1947.28,-3.8703,8.9113
1947.2,-3.828,8.919
1947.12,-3.7923,8.9086
1947.03,-3.7997,8.8974
1946.95,-3.954,8.863
1946.87,-4.1295,8.8729
1946.78,-4.1425,8.8951
1946.7,-4.308,8.871
1946.62,-4.335,8.8902
1946.53,-4.061,8.9189
1946.45,-4.022,8.922
1946.37,-3.871,8.971
1946.28,-3.72,8.97
1946.2,-3.671,8.98
1946.12,-3.7975,8.9465
1946.03,-3.7855,8.9335
1945.95,-3.983,8.924
1945.87,-4.1818,8.9217
1945.78,-4.4022,8.8653
1945.7,-4.416,8.815
1945.62,-4.4122,8.8455
1945.53,-4.2168,8.8835
1945.45,-4.266,8.92
1945.37,-4.0695,8.9591
1945.28,-3.9325,8.9859000000000009
1945.2,-3.948,9.017
1945.12,-3.9455,8.9945
1945.03,-3.999,8.984
1944.95,-4.1375,8.968
1944.87,-4.34,8.9317
1944.78,-4.5437,8.882
1944.7,-4.652,8.867
1944.62,-4.4117,8.8823
1944.53,-4.3143,8.9174
1944.45,-4.329,8.968
1944.37,-4.2505,8.9624
1944.28,-4.0505,8.9621
1944.2,-3.755,8.966
1944.12,-3.8033,8.9802
1944.03,-3.7403,8.9757
1943.95,-3.7635,8.941
1943.87,-3.902,8.9107
1943.78,-4.0975,8.9088
1943.7,-4.285,8.893
1943.62,-4.3091,8.8946
1943.53,-4.3869,8.9084
1943.45,-4.334,8.906
1943.37,-4.0825,8.9621
1943.28,-3.9205,9.0159
1943.2,-3.807,9.001
1943.12,-3.755,8.9855
1943.03,-3.7904,8.9483
1942.95,-3.944,8.9265
1942.87,-4.235,8.9128
1942.78,-4.3429,8.9137
1942.7,-4.635,8.854
1942.62,-4.2836,8.9214
1942.53,-4.1484,8.9424
1942.45,-4.183,8.927
1942.37,-4.1274,8.9464
1942.28,-4.094,8.9507
1942.2,-4.078,8.943
1942.12,-4.0079,8.934
1942.03,-3.9716,8.9049
1941.95,-3.962,8.86
1941.87,-4.0731,8.8385
1941.78,-4.1945,8.8229
1941.7,-4.324,8.812
1941.62,-4.3695,8.8755
1941.53,-4.4406,8.8537
1941.45,-4.3885,8.8705
1941.37,-4.2528,8.8873
1941.28,-4.1122,8.9497
1941.2,-3.809,8.953
1941.12,-3.8032,8.993
1941.03,-3.9107,8.9683
1940.95,-4.138,8.9085
1940.87,-4.3377,8.8567
1940.78,-4.3898,8.8367
1940.7,-4.384,8.82
1940.62,-4.3715,8.8575
1940.53,-4.3089,8.8815
1940.45,-4.207,8.895
1940.37,-4.1646,8.9242
1940.28,-4.1381,8.9424
1940.2,-4.124,8.952
1940.12,-3.9515,8.9078
1940.03,-4.0117,8.8657
1939.95,-4.0935,8.8455
1939.87,-4.2177,8.8393
1939.78,-4.4137,8.8367
1939.7,-4.497,8.85
1939.62,-4.5462,8.8225
1939.53,-4.3467,8.8623
1939.45,-4.1255,8.905
1939.37,-3.9483,8.9363
1939.28,-3.8133,8.964
1939.2,-3.745,8.989
1939.12,-3.7948,8.982
1939.03,-3.8142,8.956
1938.95,-3.981,8.896
1938.87,-4.0511,8.9152
1938.78,-4.3029,8.8689
1938.7,-4.328,8.893
1938.62,-4.3872,8.8713
1938.53,-4.3277,8.8863
1938.45,-4.105,8.916
1938.37,-3.8447,8.9473
1938.28,-3.6825,8.9727
1938.2,-3.605,8.986
1938.12,-3.8084,8.9482
1938.03,-4.0119,8.9105
1937.95,-4.0745,8.8975
1937.87,-4.1344,8.885
1937.78,-4.2702,8.86
1937.7,-4.406,8.835
1937.62,-4.4368,8.895
1937.53,-4.267,8.885
1937.45,-4.177,8.881
1937.37,-4.1183,8.9013
1937.28,-3.9763,8.9337
1937.2,-3.833,8.962
1937.12,-3.8448,8.9648
1937.03,-3.9204,8.9355
1936.95,-4.046,8.881
1936.87,-4.2773,8.8588
1936.78,-4.4192,8.8673
1936.7,-4.491,8.9
1936.62,-4.4219,8.8701
1936.53,-4.3528,8.8402
1936.45,-4.324,8.88
1936.37,-4.2935,8.921
1936.28,-4.1813,8.921
1936.2,-4.069,8.921
1936.12,-3.9815,8.9064
1936.03,-3.9864,8.8806
1935.95,-4.064,8.846
1935.87,-4.2036,8.8425
1935.78,-4.3264,8.8414
1935.7,-4.436,8.842
1935.62,-4.5027,8.8441
1935.53,-4.4602,8.8486
1935.45,-4.332,8.855
1935.37,-4.2028,8.8682
1935.28,-4.0347,8.902
1935.2,-3.836,8.952
1935.12,-3.8835,8.9103
1935.03,-3.9543,8.9153
1934.95,-4.0885,8.895
1934.87,-4.1857,8.8747
1934.78,-4.2503,8.8812
1934.7,-4.637,8.847
1934.62,-4.3773,8.8589
1934.53,-4.2837,8.8561
1934.45,-3.937,8.966
1934.37,-3.9676,8.922
1934.28,-3.7334,8.946
1934.2,-3.665,8.973
1934.12,-3.758,8.9505
1934.03,-3.709,8.9375
1933.95,-3.835,8.918
1933.87,-4.0299,8.9188
1933.78,-4.2281,8.8892
1933.7,-4.284,8.85
1933.62,-4.2457,8.9
1933.53,-4.194,8.8987
1933.45,-4.0855,8.9215
1933.37,-3.9223,8.963
1933.28,-3.7542,8.9948
1933.2,-3.68,9.024
1933.12,-3.6442,9.009
1933.03,-3.7297,9.018
1932.95,-3.7675,8.9755
1932.87,-3.8557,8.91
1932.78,-4.1033,8.8713
1932.7,-4.375,8.848
1932.62,-4.2578,8.8999
1932.53,-4.2532,8.9231
1932.45,-4.195,8.943
1932.37,-4.012,8.9694
1932.28,-3.863,9.0056
1932.2,-3.788,9.002
1932.12,-3.8405,8.9912
1932.03,-3.797,9.0037
1931.95,-3.86,8.946
1931.87,-3.9913,8.885
1931.78,-4.1098,8.8878
1931.7,-4.289,8.862
1931.62,-4.2702,8.8516
1931.53,-4.2641,8.8628
1931.45,-4.268,8.891
1931.37,-4.1347,8.9334
1931.28,-4.0064,8.962
1931.2,-3.882,8.98
1931.12,-3.8262,8.965
1931.03,-3.8017,8.962
1930.95,-3.866,8.943
1930.87,-4.032,8.9033
1930.78,-4.2285,8.868
1930.7,-4.261,8.898
1930.62,-4.2245,8.9326
1930.53,-4.2365,8.8964
1930.45,-3.996,8.944
1930.37,-4.0612,8.9681
1930.28,-3.8418,8.9959
1930.2,-3.831,9.009
1930.12,-3.7484,8.9743
1930.03,-3.8093,8.9439
1929.95,-3.983,8.917
1929.87,-4.1274,8.9045
1929.78,-4.2991,8.8785
1929.7,-4.492,8.842
1929.62,-4.3719,8.8739
1929.53,-4.2066,8.9088
1929.45,-4.006,8.946
1929.37,-3.9761,8.9807
1929.28,-3.8374,9.0071
1929.2,-3.613,9.027
1929.12,-3.7331,8.9779
1929.03,-3.8403,8.9771
1928.95,-3.9395,8.938
1928.87,-4.1841,8.9181
1928.78,-4.3331,8.9291
1928.7,-4.401,8.908
1928.62,-4.3452,8.8905
1928.53,-4.2587,8.8797
1928.45,-4.158,8.9065
1928.37,-4.0323,8.9457
1928.28,-3.9108,8.9635
1928.2,-3.93,8.966
1928.12,-3.81,8.9427
1928.03,-3.904,8.894
1927.95,-3.933,8.8465
1927.87,-4.0017,8.8323
1927.78,-4.2152,8.8562
1927.7,-4.296,8.862
1927.62,-4.4102,8.8512
1927.53,-4.3103,8.8683
1927.45,-4.1085,8.9115
1927.37,-3.9407,8.963
1927.28,-3.8658,8.9982
1927.2,-3.765,8.994
1927.12,-3.759,8.9799
1927.03,-3.934,8.9271
1926.95,-4.047,8.883
1926.87,-4.2303,8.8769
1926.78,-4.3377,8.8501
1926.7,-4.309,8.846
1926.62,-4.289,8.8527
1926.53,-4.2057,8.8947
1926.45,-4.057,8.939
1926.37,-3.9123,8.9683
1926.28,-3.8343,8.986
1926.2,-3.801,9.021
1926.12,-3.8475,9.0182
1926.03,-3.9631,9.0037
1925.95,-4.133,8.98
1925.87,-4.2455,8.9369
1925.78,-4.3374,8.9051
1925.7,-4.413,8.882
1925.62,-4.3522,8.8778
1925.53,-4.2767,8.8883
1925.45,-4.1325,8.929
1925.37,-4.0367,8.9737
1925.28,-4.0528,8.9928
1925.2,-3.967,8.992
1925.12,-3.8948,8.9739
1925.03,-3.8253,8.9416
1924.95,-3.758,8.898
1924.87,-4.0024,8.8918
1924.78,-4.1847,8.8825
1924.7,-4.318,8.871
1924.62,-4.4024,8.8889
1924.53,-4.2616,8.8861
1924.45,-4.238,8.915
1924.37,-3.9626,8.9175
1924.28,-3.9264,8.9295
1924.2,-3.929,8.976
1924.12,-3.7773,8.9385
1924.03,-3.805,8.9103
1923.95,-3.9335,8.89
1923.87,-4.1227,8.8827
1923.78,-4.322,8.892
1923.7,-4.422,8.912
1923.62,-4.2993,8.9069
1923.53,-4.1862,8.9004
1923.45,-3.979,8.9745
1923.37,-3.7885,9.0096
1923.28,-3.5951,9.0171
1923.2,-3.619,9.04
1923.12,-3.6944,9.0376
1923.03,-3.9546,9.0034
1922.95,-4.196,8.936
1922.87,-4.1005,8.9594
1922.78,-4.2625,8.9946
1922.7,-4.34,8.906
1922.62,-4.306,8.9234000000000009
1922.53,-4.2232,8.9342
1922.45,-4.102,8.94
1922.37,-4.1263,8.9664
1922.28,-4.0379,8.9737
1922.2,-3.861,8.966
1922.12,-3.8635,8.956
1922.03,-3.962,8.9193
1921.95,-4.005,8.8825
1921.87,-4.0813,8.8567
1921.78,-4.257,8.8455
1921.7,-4.312,8.853
1921.62,-4.3978,8.8488
1921.53,-4.3643,8.872
1921.45,-4.274,8.887
1921.37,-4.1447,8.9063
1921.28,-4.0023,8.9522
1921.2,-3.934,9.018
1921.12,-3.9198,8.9897
1921.03,-3.9063,8.9393
1920.95,-4.1005,8.895
1920.87,-4.3867,8.8757
1920.78,-4.5537,8.8725
1920.7,-4.522,8.83
1920.62,-4.3862,8.8583
1920.53,-4.2237,8.902
1920.45,-4.1085,8.9165
1920.37,-4.0253,8.941
1920.28,-3.9305,8.9942
1920.2,-3.813,8.97
1920.12,-3.8629,8.9903
1920.03,-3.9601,8.9217
1919.95,-4.125,8.905
