age (yr bp) [1-1],year (AD) [1-1],d2H C24 (per mil) [1-1],d2H C26 (per mil) [1-1],d2H C28 (per mil) [1-1],Core name (unitless) [1-1],MidpointDepth (cm) [1-1],stdev C24 (per mil) [1-1],n C24 (unitless) [1-1],stdev C26 (per mil) [1-1],n C26 (unitless) [1-1],stdev C28 (per mil) [1-1],n C28 (unitless) [1-1],Thickness (cm) [1-1],year (AD) [1-2],d2HC24 (per mil) [1-2],d2HC26 (unitless) [1-2],d2HC28 (per mil) [1-2],CoreName (unitless) [1-2],MidpointDepth (cm) [1-2],stdevC24 (per mil) [1-2],nC24 (unitless) [1-2],stdevC26 (per mil) [1-2],nC26 (unitless) [1-2],stdevC28 (per mil) [1-2],nC28 (unitless) [1-2],Thickness (cm) [1-2]
1007.84808,942.15192,-213.7,-191.3,-179.9,10N32A,15.25,2.3,5,1.5,2,4.7,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1200.626878,749.373122,-211.72,-194.7,-184.7,10N32A,18.25,1.4,2,1.3,2,0.5,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1285.725382,664.2746184,-215.72,-198.7,-188.2,10N32A,19.75,1.4,3,1.3,3,1.3,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1363.435249,586.564751,-207.21,-190.1,-180.3,10N32A,20.75,1.6,3,0.6,3,2,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1484.254348,465.745652,-204.24,-190.6,-183.9,10N32A,22.25,5.7,7,0.1,2,0.6,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1721.92,228.08,-212.58,-181.7,-172.4,10N32A,25.75,0.4,2,0.7,2,0.9,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1780.772331,169.227669,-212.25,-188.2,-180.2,10N32A,26.75,0.6,3,0.4,3,0.8,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1862.361811,87.638189,-223.8,-196.3,-186.1,10N32A,28.25,0.7,3,1.1,3,3.4,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981.162791,-31.162791,-219.69,-192,-182.5,10N32A,30.25,1.8,3,2.4,3,0.7,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2088.434542,-138.4345424,NA,-195.2,-184.5,10N32A,31.75,NA,NA,1.8,3,2.8,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2234.183415,-284.183415,-229.16,-192.7,-181.7,10N32A,33.75,3,3,2.1,3,4.9,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2353.220422,-403.2204216,-241.25,-192.3,-179.5,10N32A,35.75,0.6,4,1.3,3,1.1,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2449.751504,-499.7515042,-235.81,-190.6,-184.9,10N32A,37.25,0.3,2,1.1,2,1.2,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2578.781287,-628.7812867,-248.41,-196.4,-187.5,10N32A,39.75,1.4,3,1.8,3,3.6,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2664.089565,-714.0895648,-224.65,-194.7,-182.4,10N32A,41.75,2.7,2,1.4,2,1.4,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2774.188172,-824.1881716,-247.43,-186.7,-177.5,10N32A,44.75,0,1,3,3,2.9,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2853.994086,-903.9940858,-243.73,-192.3,-183.2,10N32A,46.75,0.3,2,2.1,2,2.2,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3097.862261,-1147.862261,-235.62,-194.1,-184.5,10N32A,53.25,1.3,5,1.1,2,1.5,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3225.333335,-1275.333335,-243.34,-188.2,-180.9,10N32A,56.75,0.8,4,1.4,4,1.5,4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3255.170696,-1305.170696,-253.44,-195.9,-188.8,10N32A,57.5,0.3,2,1.2,2,1.1,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3366.915919,-1416.915919,-247.23,NA,NA,10N32A,60.25,1.2,6,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3448.994663,-1498.994663,-247.17,-196.9,-187.5,10N32A,62.25,2.6,2,0.3,2,0.8,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3674.21982,-1724.21982,-260.01,-193.5,-181.6,10N32A,67.75,2,3,0.2,3,1.1,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3862.540635,-1912.540635,-258.61,-192.6,-185.2,10N32A,72.75,6.5,2,0.6,2,3.1,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4025.934389,-2075.934389,-283.26,-189.1,-178.5,10N32A,77.75,0.1,3,1.8,3,1,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4156.873325,-2206.873325,NA,-196.8,-186.9,10N32A,81.75,NA,NA,1.7,3,2.1,5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4293.9111,-2343.9111,-277.33,-198.4,-189.7,10N32A,85.75,1.4,2,0.5,2,1.4,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4382.435369,-2432.435369,-301.73,-193.5,-186.7,10N32A,88.25,2.3,2,1.2,3,2.3,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4437.451636,-2487.451636,-317.78,-201.4,-186.6,10N32A,89.75,0.3,3,1.8,6,1.4,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4570.353568,-2620.353568,-309.42,-192,-177.6,10N32A,93.25,7.4,4,0.4,3,3,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4799.987554,-2849.987554,-324.6,-202.1,-178.3,10N32A,98.75,0.3,2,0.2,2,0.8,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4870.406672,-2920.406672,NA,-201.5,-186.6,10N32A,100.75,NA,NA,0.6,3,1.5,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4953.940868,-3003.940868,-311,-202.6,-184.6,10N32A,103.75,1.3,3,1.3,3,0.7,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5056.301241,-3106.301241,-229.27,-198.6,-180.7,10N32A,106.75,1.3,3,1.7,3,1.4,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5258.856533,-3308.856533,-216.86,-193.9,-180.7,10N32A,112.75,1.1,2,1.7,3,0.1,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5360.473946,-3410.473946,-313.72,-198.3,-175.6,10N32A,115.75,1.5,2,0.6,2,0.7,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5455.206532,-3505.206532,-309.4,-194.4,-177,10N32A,118.25,4.9,5,2.1,5,0.8,5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5567.824339,-3617.824339,-305.6,-193,-175.6,10N32A,121.75,0.2,2,0.4,2,1.5,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5629.841328,-3679.841328,-299.5,NA,NA,10N32A,124.25,5,2,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5667.545611,-3717.545611,-299.36,-192.3,-180.5,10N32A,125.75,0.4,2,0.9,2,1,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5709.4284,-3759.4284,NA,-209.2,-184,10N32A,127.25,NA,NA,2.2,3,5.2,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5754.328749,-3804.328749,-259.57,-180.4,-173.7,10N32A,128.75,2.7,3,0.5,3,2.2,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5867.433557,-3917.433557,-287.65,-190.5,-177.1,10N32A,133.25,0.2,2,0,2,0.3,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5891.377477,-3941.377477,-266.04,NA,NA,10N32A,134.25,1.1,3,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5990.642154,-4040.642154,-271.94,-186.5,-175.8,10N32A,137.75,1.9,2,0.3,2,2,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6043.037511,-4093.037511,-241.42,-182.8,-175,10N32A,139.75,5.5,4,0,1,NA,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6087.529648,-4137.529648,-255.21,-186.4,-189.4,10N32A,141.25,1.1,3,0.6,3,6.5,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6188.409701,-4238.409701,-251.25,-182.7,-179.6,10N32A,145.25,0.5,2,0.8,2,2.1,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6261.246403,-4311.246403,-287.16,-188.6,-178.2,10N32A,147.75,1,2,1,2,4.4,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6326.396743,-4376.396743,-259.2,-178.8,-174.9,10N32A,150.25,0.3,2,4.7,2,4.2,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6390.245585,-4440.245585,-209.03,-185.1,-181.5,10N32A,152.75,2.3,2,1.3,3,3,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6511.724508,-4561.724508,-254.81,NA,NA,10N32A,157.25,2.8,3,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6551.148624,-4601.148624,-268.29,-191.7,-180,10N32A,158.75,2.1,2,0.1,2,1.1,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6593.653443,-4643.653443,-240.14,-191.5,-180,10N32A,160.25,0,1,5,4,1.3,4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6722.944928,-4772.944928,-230.51,-184.3,-175.6,10N32A,165.25,3.8,3,2.6,3,1.7,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6829.073676,-4879.073676,-244.86,-189.7,-174,10N32A,169.25,3.2,6,1.7,2,1.9,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6873.54675,-4923.54675,-264.06,-187.1,-178.8,10N32A,170.75,1.8,2,0.5,5,2.7,5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6948.242306,-4998.242306,-225.96,-181.8,-172.6,10N32A,173.25,4.3,6,2.6,2,2.7,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7062.046489,-5112.046489,-249.25,-183.9,-176.2,10N32A,177.25,0.1,2,1.9,2,1.5,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7174.951912,-5224.951912,-242.37,-185.6,-178.7,10N32A,181.25,0.7,5,1.5,2,1,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7201.867353,-5251.867353,-260.21,-189.4,-184.6,10N32A,182.25,0.4,2,1.8,2,0.1,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7255.393951,-5305.393951,-228.5,-167.3,-165,10N32A,184.25,18.2,2,0,1,0,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7353.01198,-5403.01198,NA,-189,-166.3,10N32A,187.75,NA,NA,0.4,3,0.9,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7457.966169,-5507.966169,-234.65,-180.9,-166.6,10N32A,191.75,4.9,3,1,2,3.4,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7591.830242,-5641.830242,-200.67,-181.1,-169.4,10N32A,196.75,1.8,2,3,2,0.3,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7605.722066,-5655.722066,-183.18,NA,NA,10N32A,197.25,2.6,3,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7687.087556,-5737.087556,-185.64,-175.2,-163.8,10N32A,200.25,3.1,3,2.1,3,1,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7743.631132,-5793.631132,-195.66,-181,-166.8,10N32A,202.25,3.1,3,1.7,3,1,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7799.353082,-5849.353082,-200.47,-184.3,-177,10N32A,204.25,1.7,7,3.1,2,0.8,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
