year (AD),depth (cm),d18O (permil),d13C (permil)
1839,7.49,-8.72,-11.29
1824,7.89,-8.7,-10.85
1816,8.09,-8.43,-10.4
1809,8.29,-8.45,-10.44
1801,8.48,-8.6,-11.09
1794,8.68,-8.8,-11.1
1786,8.88,-8.95,-11.02
1778,9.08,-9.08,-11.31
1771,9.27,-9.19,-11.25
1763,9.47,-8.93,-11.77
1759,9.59,-8.84,-11.44
1754,9.72,-8.75,-11.77
1749,9.84,-8.38,-11.71
1745,9.96,-8.3,-11.72
1740,10.08,-8.54,-11.59
1735,10.2,-8.41,-11.99
1731,10.33,-8.32,-12.11
1726,10.45,-8.16,-12.1
1721,10.57,-8.12,-12.06
1716,10.69,-8.31,-11.65
1712,10.81,-7.89,-12.07
1707,10.94,-8.16,-12.09
1702,11.06,-8.15,-11.78
1698,11.18,-8.15,-11.8
1693,11.3,-8.3,-11.54
1688,11.42,-8.03,-11.51
1684,11.55,-7.68,-11.22
1679,11.67,-7.99,-11.67
1674,11.79,-7.91,-11.74
1670,11.91,-7.4,-11.19
1665,12.03,-7.71,-11.32
1660,12.16,-8,-11.5
1656,12.28,-7.63,-10.44
1651,12.4,-7.84,-10.68
1646,12.52,-7.86,-11.54
1642,12.64,-8.12,-11.16
1637,12.77,-7.78,-10.67
1632,12.89,-7.95,-10.87
1628,13.01,-8.37,-11.1
1625,13.13,-8.17,-11.11
1623,13.25,-7.98,-10.73
1621,13.37,-8.12,-11.63
1619,13.5,-8.3,-11.87
1617,13.62,-8.31,-11.72
1615,13.74,-8.65,-11.83
1612,13.86,-8.21,-12.35
1610,13.98,-7.98,-12.21
1608,14.11,-8.02,-12.13
1606,14.23,-8.23,-12.29
1604,14.35,-7.82,-10.87
1601,14.47,-8.06,-11.83
1599,14.59,-7.96,-11.69
1597,14.72,-7.81,-11.38
1595,14.84,-7.57,-10.02
1593,14.96,-7.71,-10.38
1590,15.08,-8,-10.18
1588,15.2,-7.73,-10.51
1586,15.33,-8.42,-10.61
1584,15.45,-8.48,-10.92
1582,15.57,-7.95,-10.41
1579,15.69,-8.03,-10.21
1577,15.81,-8.48,-10.41
1575,15.94,-8.01,-9.95
1573,16.06,-7.94,-9.86
1571,16.18,-8.03,-10.17
1568,16.3,-7.63,-11
1566,16.42,-8.02,-11.16
1564,16.55,-7.85,-10.93
1562,16.67,-7.96,-10.82
1557,16.91,-8.16,-10.38
1555,17.03,-8.12,-10.5
1553,17.16,-7.98,-10.67
1551,17.28,-7.95,-10.73
1549,17.4,-8.41,-10.53
1546,17.52,-8.11,-10.96
1544,17.64,-8.33,-10.93
1542,17.77,-8.34,-11.12
1540,17.89,-9.2,-11.46
1538,18.01,-8.94,-11.82
1536,18.13,-8.59,-11.56
1533,18.25,-8.2,-11.41
1531,18.38,-8.08,-11.32
1529,18.5,-8.24,-11.35
1527,18.62,-8.34,-11.59
1525,18.74,-7.91,-11.22
1522,18.86,-7.94,-11.25
1520,18.99,-7.92,-11.27
1518,19.11,-7.81,-11.21
1516,19.23,-8.27,-10.4
1514,19.35,-7.88,-11.38
1511,19.47,-7.62,-11.09
1509,19.6,-7.92,-11.48
1507,19.72,-7.67,-10.93
1505,19.84,-7.79,-10.61
1503,19.96,-7.86,-11.19
1500,20.08,-7.59,-10.71
1498,20.21,-7.67,-10.84
1496,20.33,-7.72,-10.85
1494,20.45,-7.89,-9.95
1492,20.57,-7.81,-10.86
1489,20.69,-7.59,-10.51
1487,20.82,-7.63,-10.62
1485,20.94,-7.71,-10.71
1483,21.06,-7.74,-11.24
1481,21.18,-7.45,-10.08
1478,21.3,-7.62,-10.34
1476,21.43,-7.66,-10.49
1474,21.55,-7.46,-10.12
1472,21.67,-7.35,-10.67
1470,21.79,-7.34,-10.14
1467,21.91,-7.52,-10.22
1465,22.04,-7.66,-10.23
1463,22.16,-7.75,-10.13
1461,22.28,-7.89,-10.11
1459,22.4,-7.89,-10.2
1456,22.52,-7.75,-10.38
1454,22.65,-7.8,-10.43
1452,22.77,-7.93,-10.79
1450,22.89,-7.67,-10.61
1448,23.01,-8.05,-10.93
1446,23.13,-7.86,-10.42
1443,23.26,-8.11,-11.07
1441,23.38,-8.28,-11.47
1439,23.5,-8.01,-11.49
1437,23.62,-8.24,-11.2
1435,23.74,-8.14,-11.06
1432,23.86,-8.16,-10.39
1430,23.99,-8.02,-10.7
1428,24.11,-8.06,-11.73
1426,24.23,-7.99,-10.6
1424,24.35,-7.82,-10.31
1421,24.47,-7.99,-9.85
1419,24.6,-7.63,-10.05
1417,24.72,-8.13,-11.31
1415,24.84,-7.78,-9.9
1413,24.96,-8.04,-10.23
1410,25.08,-8.11,-10.25
1408,25.21,-8.01,-10.11
1406,25.33,-8.21,-10.33
1404,25.45,-7.89,-10.27
1402,25.57,-8.21,-10.32
1399,25.69,-8.09,-10.08
1397,25.82,-7.81,-9.95
1395,25.94,-8.06,-10.14
1393,26.06,-7.91,-9.86
1391,26.18,-7.96,-9.84
1388,26.3,-8.08,-9.94
1386,26.43,-8.02,-9.91
1384,26.55,-8.21,-10.1
1382,26.67,-8.04,-9.98
1380,26.79,-8.1,-10.06
1377,26.91,-8.18,-10.39
1375,27.04,-8.14,-10.15
1371,27.28,-7.97,-10.28
1369,27.4,-8.23,-10.93
1367,27.52,-7.96,-10.3
1364,27.65,-7.97,-10.38
1362,27.77,-7.99,-9.79
1360,27.88,-7.45,-9.44
1358,27.99,-7.99,-9.57
1356,28.1,-8.09,-9.68
1354,28.22,-7.88,-9.56
1352,28.33,-8.17,-9.91
1350,28.44,-7.95,-10.09
1348,28.55,-8.07,-10.26
1346,28.66,-8.35,-10.41
1343,28.78,-8.29,-10.12
1337,29,-7.96,-9.89
1334,29.11,-7.99,-10.13
1331,29.23,-7.86,-9.78
1328,29.34,-8.02,-9.99
1324,29.45,-8.13,-10.41
1321,29.56,-8.41,-10.85
1318,29.67,-8.37,-10.73
1315,29.79,-8.44,-10.75
1312,29.9,-8.17,-10.21
1309,30.01,-8.45,-11.16
1306,30.12,-8.52,-10.95
1303,30.23,-8.47,-11.01
1300,30.35,-8.46,-10.92
1297,30.46,-8.4,-10.69
1294,30.57,-8.71,-11.32
1291,30.68,-8.58,-10.86
1288,30.79,-8.59,-10.85
1284,30.91,-8.56,-10.91
1281,31.02,-8.85,-11.27
1278,31.13,-8.42,-10.79
1275,31.25,-8.81,-10.96
1272,31.37,-8.65,-11.03
1268,31.5,-8.8,-11.04
1265,31.62,-8.64,-10.7
1262,31.74,-8.47,-10.94
1258,31.86,-8.66,-10.91
1251,32.11,-8.82,-10.7
1248,32.23,-8.45,-10.21
1245,32.35,-8.09,-10.19
1241,32.47,-7.77,-10.16
1238,32.59,-7.87,-10.13
1235,32.72,-7.92,-10.26
1231,32.84,-7.8,-10.05
1228,32.96,-7.95,-10.5
1225,33.08,-7.72,-10.43
1221,33.2,-7.84,-10.58
1218,33.33,-7.84,-10.77
1215,33.45,-7.78,-10.64
1211,33.57,-8.07,-11.16
1208,33.69,-7.83,-10.95
1205,33.81,-8.07,-10.93
1201,33.94,-8.21,-11.11
1198,34.06,-8.34,-11.02
1195,34.18,-8.63,-11.49
1191,34.3,-8.62,-11.38
1188,34.42,-8.64,-11.45
1185,34.55,-8.67,-11.59
1178,34.79,-8.66,-11.81
1175,34.89,-8.53,-11.53
1173,34.98,-8.35,-11.26
1170,35.08,-7.72,-10.28
1167,35.17,-8.36,-11.22
1165,35.27,-7.91,-11.25
1157,35.55,-8.61,-11.21
1152,35.75,-8.54,-11.45
1149,35.84,-8.95,-11.12
1146,35.94,-9.54,-11.3
1141,36.13,-9.76,-11.58
1136,36.32,-8.53,-11.12
1133,36.41,-8.67,-11.38
1131,36.51,-8.42,-11.05
1128,36.61,-8.31,-10.86
1125,36.7,-8.65,-11.19
1120,36.89,-8.36,-10.75
1115,37.08,-8.28,-10.59
1112,37.18,-8.34,-10.84
1110,37.28,-8.15,-10.43
1107,37.37,-8.07,-10.61
1104,37.47,-8.03,-10.73
1102,37.56,-7.99,-10.83
1099,37.66,-8.03,-11.03
1096,37.77,-8.13,-11.11
1093,37.89,-8.01,-11.03
1090,38,-8.03,-10.9
1086,38.12,-7.97,-10.84
1083,38.23,-8.04,-11.3
1080,38.35,-8.03,-11.24
1077,38.47,-8.04,-11.2
1074,38.58,-8.18,-11.27
1071,38.7,-8.31,-11.25
1064,38.93,-8.28,-11.38
1061,39.04,-8.34,-11.15
1058,39.16,-8.36,-11.21
1055,39.27,-8.38,-11.4
1052,39.39,-8.34,-11.55
1048,39.5,-8.3,-11.06
1045,39.62,-8.27,-10.85
1042,39.73,-8.27,-10.91
1039,39.85,-8.28,-10.96
1036,39.97,-8.29,-10.91
1033,40.08,-8.37,-11.18
1029,40.2,-8.24,-10.44
1026,40.31,-8.42,-10.99
1023,40.43,-8.37,-10.74
1020,40.54,-8.48,-11.33
1017,40.66,-8.37,-11.25
1014,40.77,-8.51,-11.23
1007,41,-8.27,-10.44
1004,41.12,-8.44,-10.69
1003,41.16,-8.18,-10.03
1000,41.26,-7.93,-9.63
998,41.34,-8.11,-9.6
997,41.37,-8,-9.7
996,41.41,-8.05,-9.94
995,41.45,-8.08,-10.08
994,41.48,-7.95,-10.15
993,41.52,-7.92,-10.89
992,41.55,-8.02,-11.04
991,41.59,-7.93,-10.92
990,41.63,-8.13,-10.93
989,41.66,-8.09,-11.27
988,41.7,-8.03,-10.74
987,41.74,-8.1,-11.01
985,41.81,-8.05,-10.9
984,41.84,-7.97,-10.79
983,41.88,-7.65,-10.36
982,41.92,-8.29,-10.41
981,41.95,-8.52,-10.47
980,41.99,-8.37,-11.04
979,42.03,-8.12,-11.45
977,42.1,-8.54,-11.34
976,42.13,-8.47,-11.17
975,42.17,-8.58,-11.3
974,42.21,-8.02,-11.47
973,42.24,-8.34,-10.72
972,42.28,-8.25,-10.78
971,42.32,-8.35,-10.62
970,42.35,-8.05,-10.12
969,42.39,-7.9,-10.24
966,42.5,-8.24,-10.49
965,42.53,-8.28,-11.02
964,42.57,-8.45,-11.48
959,42.75,-7.75,-10.41
957,42.82,-8.15,-10.44
956,42.86,-8.12,-10.54
955,42.9,-8.21,-11.07
954,42.93,-7.58,-10.06
953,42.97,-7.93,-9.96
952,43,-7.86,-10.05
951,43.04,-7.42,-9.98
950,43.08,-7.29,-10.09
949,43.11,-7.51,-10.38
948,43.15,-7.42,-10.36
947,43.19,-7.33,-10.09
945,43.26,-7.4,-10.41
944,43.29,-7.47,-10.51
943,43.35,-7.65,-10.38
941,43.4,-7.82,-10.65
940,43.45,-7.69,-10.45
938,43.51,-7.58,-9.83
937,43.56,-7.6,-9.83
936,43.61,-7.71,-9.44
934,43.66,-7.66,-8.96
933,43.72,-7.71,-8.98
930,43.82,-7.6,-9.83
928,43.87,-7.76,-9.71
927,43.93,-7.92,-9.98
925,43.98,-7.83,-10.07
924,44.03,-7.84,-10.37
921,44.14,-8.12,-11.42
920,44.19,-8.21,-11.63
918,44.24,-8.15,-11.49
917,44.3,-7.89,-11.2
914,44.4,-7.87,-10.79
912,44.46,-7.93,-10.69
911,44.51,-7.81,-10.54
910,44.56,-7.87,-10.78
908,44.61,-7.9,-10.99
907,44.67,-7.84,-10.8
904,44.77,-7.84,-11.09
902,44.82,-8.03,-11.38
901,44.88,-8.13,-11.59
900,44.91,-8.05,-11.18
899,44.95,-8.12,-11.39
896,45.06,-8.05,-11.12
895,45.09,-8.29,-10.78
894,45.13,-8.01,-10.86
893,45.17,-7.99,-10.88
892,45.2,-7.91,-10.65
891,45.24,-8.03,-10.9
890,45.28,-8.02,-10.72
889,45.31,-8.03,-10.74
888,45.35,-7.92,-10.54
887,45.38,-7.98,-10.46
886,45.42,-7.97,-10.65
885,45.46,-7.94,-10.36
884,45.49,-7.98,-10.65
883,45.53,-8.03,-10.92
882,45.57,-7.98,-10.8
881,45.6,-8.06,-11.17
880,45.64,-7.95,-10.88
879,45.67,-7.94,-11.05
878,45.71,-7.92,-11.2
877,45.75,-8.01,-11.27
876,45.78,-8.07,-11.64
875,45.82,-8.01,-11.22
874,45.86,-7.88,-11.33
873,45.89,-7.86,-11.56
872,45.93,-8.03,-11.64
871,45.96,-7.85,-11.67
869,46.03,-7.79,-11.51
867,46.1,-7.83,-11.63
865,46.17,-7.75,-11.41
863,46.24,-7.62,-11.39
861,46.31,-7.8,-11.57
860,46.38,-7.61,-11.13
856,46.52,-7.97,-10.86
854,46.59,-7.96,-11.07
852,46.66,-8.14,-11.34
850,46.73,-8.07,-11.62
848,46.8,-8.16,-11.99
846,46.86,-8.02,-11.44
844,46.93,-8.06,-11.17
842,47,-8.21,-11.53
841,47.07,-8.19,-11.42
839,47.14,-8.21,-11.39
837,47.21,-8.1,-11.09
835,47.28,-8.31,-11.51
833,47.35,-8.15,-11.57
831,47.41,-8.29,-11.59
829,47.47,-8.25,-11.99
828,47.54,-8.5,-12.33
826,47.6,-8.25,-12.23
824,47.66,-8.29,-12.23
823,47.73,-8.19,-12.14
821,47.79,-8.23,-11.98
819,47.85,-8.34,-11.78
817,47.91,-8.32,-11.77
816,47.98,-8.37,-11.53
814,48.04,-8.24,-11.24
812,48.1,-8.38,-11.46
811,48.16,-8.25,-11.2
809,48.23,-8.19,-10.96
807,48.29,-8.33,-11.44
805,48.35,-8.35,-11.72
804,48.41,-8.35,-11.77
802,48.48,-8.47,-11.94
800,48.54,-8.36,-11.73
799,48.6,-8.33,-11.68
797,48.66,-8.47,-11.76
795,48.73,-8.56,-11.78
790,48.92,-8.34,-11.65
788,48.98,-8.31,-11.52
786,49.04,-8.09,-11.33
785,49.1,-7.78,-11.15
783,49.17,-7.68,-11.29
781,49.23,-7.75,-11.93
779,49.32,-7.97,-11.93
776,49.41,-7.96,-11.84
771,49.6,-8.26,-12.17
769,49.69,-8.43,-12.25
766,49.78,-8.24,-12.08
764,49.87,-8.14,-11.94
759,50.06,-8.21,-11.96
756,50.15,-8.31,-12.1
753,50.24,-8.12,-11.88
746,50.52,-8.08,-11.74
743,50.61,-8.2,-11.89
741,50.71,-7.96,-11.64
738,50.8,-7.88,-11.39
736,50.89,-8.08,-11.9
731,51.07,-7.87,-11.38
728,51.17,-7.71,-11.22
726,51.26,-7.38,-10.81
723,51.35,-7.64,-11.12
721,51.44,-7.63,-11.15
718,51.54,-7.77,-11.12
715,51.63,-7.7,-11.03
713,51.72,-7.69,-10.92
710,51.81,-7.76,-11.25
708,51.91,-8.05,-11.56
705,52,-8.34,-11.75
703,52.07,-8.42,-11.55
701,52.15,-8.4,-11.48
699,52.22,-8.42,-11.59
695,52.38,-8.35,-11.89
691,52.53,-8.33,-11.55
687,52.68,-8.27,-11.32
684,52.76,-8.12,-11.41
682,52.83,-8.25,-11.19
680,52.91,-7.96,-10.78
678,52.98,-7.93,-10.47
674,53.06,-8.04,-10.94
670,53.21,-8.14,-11.33
668,53.29,-8.07,-11.37
666,53.36,-8.05,-11.09
664,53.44,-8.02,-11.02
662,53.51,-7.99,-11.1
660,53.59,-8.16,-11.24
658,53.67,-8.19,-11.32
657,53.74,-8.2,-11.41
655,53.82,-8.19,-11.42
653,53.89,-8.31,-11.74
651,53.97,-8.5,-11.76
647,54.12,-8.33,-11.37
645,54.2,-8.16,-10.93
643,54.27,-7.9,-10.94
640,54.37,-7.98,-10.82
638,54.47,-7.75,-10.4
635,54.57,-7.49,-9.98
630,54.77,-7.4,-10.23
625,54.96,-7.79,-11.24
623,55.06,-7.97,-11.41
620,55.16,-7.92,-11.38
618,55.26,-7.91,-11.1
615,55.36,-7.82,-11.02
612,55.46,-8.27,-11.37
610,55.56,-7.76,-10.79
607,55.66,-7.81,-10.91
605,55.76,-7.89,-10.74
602,55.85,-7.91,-10.76
600,55.95,-8.08,-10.96
597,56.05,-8.17,-11.03
595,56.15,-8.36,-11.15
592,56.25,-8.45,-11.16
587,56.45,-8.54,-11.35
582,56.65,-8.43,-11.49
579,56.74,-8.46,-11.46
577,56.84,-8.39,-11.21
574,56.94,-8.35,-10.85
572,57.04,-8.34,-10.87
569,57.14,-8.32,-11.2
567,57.24,-8.53,-11.12
565,57.31,-8.62,-11.13
563,57.38,-8.52,-10.96
561,57.45,-8.53,-10.89
558,57.59,-8.09,-9.91
556,57.65,-8.23,-10.16
554,57.72,-8.33,-10.68
553,57.79,-8,-10.03
551,57.86,-8.04,-10.72
549,57.93,-8.23,-10.7
547,58,-7.48,-11.14
545,58.07,-7.99,-11.31
544,58.14,-7.89,-11.25
542,58.21,-7.9,-10.79
540,58.28,-8.51,-10.76
538,58.35,-7.92,-10.34
537,58.42,-7.94,-10.23
535,58.49,-8,-10.17
533,58.55,-8.15,-10.44
531,58.62,-8.22,-10.48
529,58.69,-8.25,-10.58
528,58.76,-8.29,-10.71
526,58.83,-8.49,-11.05
524,58.9,-8.55,-11
519,59.04,-8.51,-10.97
512,59.18,-8.32,-9.93
508,59.25,-8.2,-9.81
502,59.38,-8.2,-10.52
498,59.45,-8.31,-10.65
495,59.52,-8.3,-10.76
492,59.59,-8.33,-10.82
488,59.66,-8.23,-10.93
485,59.73,-8.37,-11.02
481,59.8,-8.46,-11.07
478,59.87,-8.59,-11.16
475,59.94,-8.86,-11.25
471,60.01,-8.51,-10.92
468,60.08,-8.26,-10.55
464,60.15,-8.29,-10.58
461,60.22,-8.15,-10.71
458,60.28,-8.27,-11.04
454,60.35,-8.27,-11.06
451,60.42,-8.23,-11.06
448,60.49,-8.33,-11.41
444,60.56,-8.3,-11.42
441,60.63,-8.49,-11.6
437,60.7,-8.36,-11.3
434,60.77,-8.15,-10.75
431,60.84,-8.06,-10.59
427,60.91,-8.08,-10.71
424,60.98,-8.05,-10.95
420,61.05,-7.74,-10.96
417,61.12,-7.97,-10.94
414,61.18,-8.04,-11.05
410,61.25,-7.97,-10.91
407,61.32,-8.03,-10.86
404,61.39,-7.91,-10.75
399,61.48,-8.19,-10.79
391,61.65,-8.46,-10.89
387,61.74,-8.38,-10.89
383,61.82,-8.18,-10.75
378,61.91,-8.29,-10.53
374,61.99,-8.18,-10.71
370,62.08,-8.35,-10.85
366,62.16,-8.37,-11.04
362,62.25,-8.31,-11.39
353,62.42,-8.41,-11.21
349,62.51,-8.41,-11.28
345,62.59,-8.37,-11.19
341,62.68,-8.34,-11.35
337,62.76,-8.57,-11.56
332,62.85,-8.66,-11.62
328,62.94,-8.77,-11.85
324,63.02,-8.83,-11.82
320,63.11,-8.59,-11.59
316,63.19,-8.75,-11.49
311,63.28,-8.66,-11.29
307,63.36,-8.63,-11.27
303,63.45,-8.6,-11.21
299,63.54,-8.58,-11.21
295,63.62,-8.5,-11.28
290,63.71,-8.37,-11.15
286,63.79,-8.33,-10.92
282,63.88,-8.39,-11.05
278,63.96,-8.48,-11.62
274,64.04,-8.32,-11.71
271,64.11,-8.44,-11.82
267,64.18,-8.51,-11.97
264,64.25,-8.46,-12
260,64.33,-8.8,-12.17
257,64.4,-8.68,-12.05
253,64.47,-8.65,-11.94
250,64.54,-8.54,-11.72
246,64.62,-8.58,-11.74
242,64.69,-8.59,-11.66
239,64.76,-8.61,-11.59
235,64.83,-8.55,-11.53
232,64.91,-8.52,-11.31
228,64.98,-8.57,-11.11
225,65.05,-8.5,-10.57
214,65.27,-8.37,-10.97
211,65.34,-8.32,-11
207,65.41,-8.24,-10.77
203,65.49,-8.12,-10.77
200,65.56,-8.37,-11.61
196,65.63,-8.46,-11.56
193,65.7,-8.49,-11.6
186,65.85,-8.65,-11.5
182,65.92,-8.49,-10.98
179,65.99,-8.35,-10.76
172,66.14,-8.51,-11.32
163,66.32,-8.6,-11.26
159,66.41,-8.96,-11.36
150,66.58,-8.46,-10.58
146,66.67,-8.66,-10.62
137,66.85,-8.53,-10.5
132,66.94,-8.45,-10.74
128,67.03,-8.49,-10.93
128,67.12,-9.13,-10.93
125,67.21,-9.14,-10.98
122,67.3,-9.17,-10.93
119,67.38,-9.16,-10.91
116,67.47,-8.86,-11.34
113,67.56,-8.98,-10.57
110,67.65,-8.77,-10.21
107,67.74,-8.89,-10.05
104,67.83,-8.75,-10.63
101,67.92,-8.2,-10.75
98,68.01,-8.78,-10.63
95,68.1,-8.63,-10.78
92,68.19,-8.74,-10.71
89,68.27,-8.85,-10.57
86,68.36,-8.4,-10.99
83,68.45,-8.9,-10.71
80,68.54,-8.83,-10.87
74,68.72,-8.43,-10.54
71,68.81,-8.26,-10.88
68,68.88,-8.43,-10.75
66,68.95,-8.73,-11.31
63,69.03,-8.9,-11.77
61,69.1,-8.9,-11.46
59,69.17,-8.67,-11.53
56,69.24,-8.79,-11.42
54,69.32,-8.7,-11.21
51,69.39,-8.55,-11.02
49,69.46,-8.64,-11.02
46,69.53,-8.45,-10.72
44,69.61,-8.32,-10.78
41,69.68,-8.31,-11.02
39,69.75,-8.27,-11.29
36,69.82,-8.23,-11.52
34,69.9,-8.13,-11.73
32,69.97,-8.39,-11.58
29,70.04,-8.28,-11.6
27,70.11,-8.6,-11.72
24,70.19,-8.5,-11.72
22,70.26,-8.47,-11.77
19,70.33,-8.52,-11.55
17,70.4,-8.47,-11.41
14,70.48,-8.12,-11.2
12,70.55,-8.27,-11.26
9,70.62,-8.62,-11.77
7,70.69,-8.93,-12.03
5,70.77,-8.84,-11.83
2,70.84,-8.7,-11.66
0,70.91,-8.7,-11.53
-3,70.98,-8.44,-11
-6,71.08,-8.22,-10.22
-10,71.18,-8.23,-10.03
-13,71.28,-8.16,-9.89
-16,71.38,-8.27,-10.39
-20,71.48,-8.14,-10.39
-23,71.58,-8.37,-10.59
-26,71.68,-8.32,-10.77
-30,71.78,-8.42,-10.86
-33,71.87,-8.31,-10.8
-36,71.97,-8.22,-10.73
-40,72.07,-8.34,-10.6
-43,72.17,-8.66,-11.09
-46,72.27,-8.33,-10.33
-50,72.37,-8.53,-10.69
-53,72.47,-8.24,-10.37
-56,72.57,-8.38,-10.65
-60,72.67,-8.34,-10.44
-63,72.76,-8.38,-10.41
-66,72.86,-8.36,-10.52
-73,73.06,-8.64,-11.36
-76,73.16,-8.82,-11.72
-80,73.26,-8.86,-11.88
-83,73.36,-8.84,-11.79
-86,73.46,-8.99,-11.72
-90,73.56,-8.65,-11.42
-97,73.75,-8.5,-11.06
-103,73.95,-8.33,-10.82
-111,74.19,-8.26,-11.29
-115,74.31,-8.66,-11.35
-119,74.43,-8.45,-10.8
-123,74.54,-8.44,-10.57
-127,74.66,-8.6,-10.61
-139,75.02,-9.03,-11.22
-143,75.14,-9.26,-11.64
-147,75.26,-9.04,-11
-151,75.38,-8.8,-11.12
-155,75.49,-9.08,-11.52
-159,75.61,-8.98,-11.52
-163,75.73,-8.96,-11.75
-171,75.97,-8.7,-10.57
-184,76.33,-8.49,-11.73
-188,76.44,-8.39,-11.64
-192,76.56,-8.24,-11.45
-196,76.68,-8.39,-11.33
-200,76.8,-8.46,-11.27
-204,76.92,-8.35,-11.28
-212,77.16,-8.38,-10.95
-216,77.28,-8.38,-11.27
-220,77.39,-8.33,-11.14
-224,77.51,-8.09,-10.83
-242,78.04,-8.94,-11.64
-259,78.57,-8.46,-9.95
-277,79.09,-8.67,-11.47
-294,79.62,-8.19,-10.81
-313,80.15,-8.34,-10.68
-331,80.68,-8.55,-10.86
-350,81.2,-8.22,-10.65
-369,81.73,-8.21,-10.56
-388,82.26,-8.47,-11.12
-399,82.58,-8.19,-10.87
-403,82.68,-8.23,-10.68
-406,82.79,-8.35,-10.72
-410,82.89,-8.43,-10.95
