year (AD),depth (cm),d18O (permil),Accumulation rate ice (kg/m2/yr) (kg/m2/yr)
1486,47.57,-34.5,90
1485,47.66,-34.6,90
1484,47.75,-35,90
1483,47.84,-35.3,90
1482,47.93,-35.2,90
1481,48.02,-34.9,90
1480,48.11,-34.4,90
1479,48.2,-34.1,90
1478,48.29,-34.3,90
1477,48.38,-34.7,90
1476,48.47,-35.7,90
1475,48.56,-36.9,90
1474,48.65,-36.5,90
1473,48.74,-35.3,90
1472,48.83,-34.4,90
1471,48.92,-34.3,90
1470,49.01,-34.8,90
1469,49.1,-34.3,90
1468,49.19,-32.3,90
1467,49.28,-31.3,90
1466,49.37,-32.7,90
1465,49.46,-33.7,90
1464,49.55,-34.1,90
1463,49.64,-34.8,90
1462,49.73,-35.6,90
1461,49.82,-36.3,90
1460,49.91,-36.5,90
1459,50,-36.7,90
1458,50.09,-37,90
1457,50.18,-37.3,90
1456,50.27,-36.6,90
1455,50.36,-36.1,90
1454,50.45,-37.1,90
1453,50.54,-37.1,90
1452,50.63,-36.1,90
1451,50.72,-35.8,90
1450,50.81,-36,90
1449,50.9,-36.2,90
1448,50.99,-35.8,90
1447,51.08,-35.1,90
1446,51.17,-34.6,90
1445,51.26,-34.5,90
1444,51.35,-34.7,90
1443,51.44,-35,90
1442,51.53,-35.1,90
1441,51.62,-35.3,90
1440,51.71,-35.4,90
1439,51.8,-35.4,90
1438,51.89,-35,90
1437,51.98,-34.9,90
1436,52.07,-35,90
1435,52.17,-34.7,90
1434,52.26,-34.6,90
1433,52.35,-35,90
1432,52.44,-35.2,90
1431,52.53,-35.2,90
1430,52.62,-34.4,90
1429,52.71,-33.7,90
1428,52.8,-33.8,90
1427,52.89,-34.2,90
1426,52.98,-34.3,90
1425,53.07,-34.4,90
1424,53.16,-34.8,90
1423,53.25,-35.1,90
1422,53.34,-34.5,90
1421,53.43,-34.5,90
1420,53.52,-35.1,90
1419,53.61,-35.4,90
1418,53.7,-34.4,90
1417,53.79,-33.3,90
1416,53.88,-32.8,90
1415,53.97,-33.3,90
1414,54.06,-33.7,90
1413,54.15,-33.9,90
1412,54.24,-33.9,90
1411,54.33,-34.1,90
1410,54.42,-35.7,90
1409,54.51,-37.5,90
1408,54.6,-36.3,90
1407,54.69,-34.7,90
1406,54.78,-34.2,90
1405,54.87,-34.2,90
1404,54.96,-34.6,90
1403,55.05,-34.9,90
1402,55.14,-34.9,90
1401,55.23,-34.3,90
1400,55.32,-34.4,90
1399,55.41,-35.9,90
1398,55.5,-37.2,90
1397,55.59,-36.5,90
1396,55.68,-34.3,90
1395,55.77,-33.1,90
1394,55.86,-32.7,90
1393,55.95,-33.1,90
1392,56.04,-34.1,90
1391,56.13,-34.9,90
1390,56.22,-34.9,90
1389,56.31,-35,90
1388,56.4,-35.5,90
1387,56.49,-35.6,90
1386,56.58,-35.6,90
1385,56.67,-34.6,90
1384,56.76,-33.8,90
1383,56.85,-33,90
1382,56.94,-33,90
1381,57.03,-33.8,90
1380,57.12,-34.4,90
1379,57.21,-34.7,90
1378,57.3,-35,90
1377,57.39,-36.1,90
1376,57.48,-37.3,90
1375,57.57,-38.2,90
1374,57.66,-38.4,90
1373,57.75,-38.1,90
1372,57.84,-37.7,90
1371,57.93,-37.4,90
1370,58.02,-36.1,90
1369,58.11,-35.4,90
1368,58.2,-34.9,90
1367,58.29,-34.5,90
1366,58.38,-34.9,90
1365,58.48,-35.5,90
1364,58.57,-36.4,90
1363,58.66,-36.7,90
1362,58.75,-36.1,90
1361,58.84,-35.3,90
1360,58.93,-35,90
1359,59.02,-35.8,90
1358,59.11,-36.5,90
1357,59.2,-36.7,90
1356,59.29,-36.9,90
1355,59.38,-35.4,90
1354,59.47,-34.4,90
1353,59.56,-34.5,90
1352,59.65,-34.1,90
1351,59.74,-34.2,90
1350,59.83,-34.6,90
1349,59.92,-34.3,90
1348,60.01,-34.1,90
1347,60.1,-34.3,90
1346,60.19,-35.3,90
1345,60.28,-35,90
1344,60.37,-34.1,90
1343,60.46,-33.6,90
1342,60.55,-33.6,90
1341,60.64,-34.7,90
1340,60.73,-35.2,90
1339,60.82,-34.2,90
1338,60.91,-33.8,90
1337,61,-34.3,90
1336,61.09,-34.4,90
1335,61.18,-34.1,90
1334,61.27,-34.7,90
1333,61.36,-36.1,90
1332,61.45,-35.8,90
1331,61.54,-34.7,90
1330,61.63,-34.3,90
1329,61.72,-35.1,90
1328,61.81,-36,90
1327,61.9,-36.1,90
1326,61.99,-35.9,90
1325,62.08,-36,90
1324,62.17,-36.5,90
1323,62.26,-36.3,90
1322,62.35,-36.1,90
1321,62.44,-35.8,90
1320,62.53,-35.2,90
1319,62.62,-35.1,90
1318,62.71,-35.2,90
1317,62.8,-34.9,90
1316,62.89,-34.9,90
1315,62.98,-35.9,90
1314,63.07,-36.1,90
1313,63.16,-35.6,90
1312,63.25,-35.7,90
1311,63.34,-36.7,90
1310,63.43,-37.5,90
1309,63.52,-38.3,90
1308,63.61,-36.7,90
1307,63.7,-34.9,90
1306,63.79,-35.3,90
1305,63.88,-36.2,90
1304,63.97,-36.4,90
1303,64.06,-36,90
1302,64.15,-34.9,90
1301,64.24,-34.4,90
1300,64.33,-34.3,90
1299,64.42,-34.2,90
1298,64.51,-34.2,90
1297,64.6,-34.1,90
1296,64.69,-35.2,90
1295,64.78,-36.4,90
1294,64.88,-36.6,90
1293,64.97,-35.9,90
1292,65.06,-34.9,90
1291,65.15,-34.9,90
1290,65.24,-35.2,90
1289,65.33,-35.3,90
1288,65.42,-36.5,90
1287,65.51,-37,90
1286,65.6,-37.5,90
1285,65.69,-36.4,90
1284,65.78,-34.7,90
1283,65.87,-34.8,90
1282,65.96,-35.9,90
1281,66.05,-35.1,90
1280,66.14,-33.8,90
1279,66.23,-33.8,90
1278,66.32,-34.9,90
1277,66.41,-35.1,90
1276,66.5,-35,90
1275,66.59,-34.8,90
1274,66.68,-35.4,90
1273,66.77,-36.3,90
1272,66.86,-37.2,90
1271,66.95,-37.4,90
1270,67.04,-36.8,90
1269,67.13,-36.8,90
1268,67.22,-36.5,90
1267,67.31,-35.5,90
1266,67.4,-35.4,90
1265,67.49,-36,90
1264,67.58,-37.4,90
1263,67.67,-37.6,90
1262,67.76,-37.6,90
1261,67.85,-36.8,90
1260,67.94,-34.7,90
1259,68.03,-34.9,96
1258,68.13,-35.7,96
1257,68.22,-36.8,96
1256,68.32,-37.5,96
1255,68.41,-36.8,96
1254,68.51,-35.4,96
1253,68.61,-34.3,96
1252,68.7,-34.6,96
1251,68.8,-35.3,96
1250,68.89,-36.1,96
1249,68.99,-36.3,96
1248,69.09,-35.8,96
1247,69.18,-35.6,96
1246,69.28,-35.9,96
1245,69.37,-36.2,96
1244,69.47,-36,96
1243,69.56,-35.8,96
1242,69.66,-35.4,96
1241,69.76,-34.7,96
1240,69.85,-34.8,96
1239,69.95,-36.1,96
1238,70.04,-37.5,96
1237,70.14,-37.4,96
1236,70.24,-36.4,96
1235,70.33,-35.8,96
1234,70.43,-35,96
1233,70.52,-34.7,96
1232,70.62,-36,96
1231,70.72,-36.2,96
1230,70.81,-36.9,96
1229,70.91,-37.6,96
1228,71,-37.2,96
1227,71.1,-36.1,96
1226,71.2,-35.3,96
1225,71.29,-35.9,96
1224,71.39,-35.8,96
1223,71.48,-35.4,96
1222,71.58,-34.5,96
1221,71.67,-33.4,96
1220,71.77,-33.5,96
1219,71.87,-34.1,96
1218,71.96,-34.8,96
1217,72.06,-35.2,96
1216,72.15,-34.3,96
1215,72.25,-34.6,96
1214,72.35,-35.1,96
1213,72.44,-34.3,96
1212,72.54,-33,96
1211,72.63,-33.2,96
1210,72.73,-34.7,96
1209,72.83,-35.4,96
1208,72.92,-35.4,96
1207,73.02,-34.6,96
1206,73.11,-34.3,96
1205,73.21,-34.7,96
1204,73.31,-35.5,96
1203,73.4,-35.3,96
1202,73.5,-34.8,96
1201,73.59,-34.2,96
1200,73.69,-34.8,96
1199,73.79,-36.5,96
1198,73.88,-37.6,96
1197,73.98,-38.3,96
1196,74.07,-38.9,96
1195,74.17,-39.4,96
1194,74.26,-38.8,96
1193,74.36,-37.6,96
1192,74.46,-36.4,96
1191,74.55,-36,96
1190,74.65,-36.2,96
1189,74.74,-36.4,96
1188,74.84,-36.3,96
1187,74.94,-36.2,96
1186,75.03,-36,96
1185,75.13,-34.9,96
1184,75.22,-33.8,96
1183,75.32,-34.5,96
1182,75.42,-35.5,96
1181,75.51,-35.2,96
1180,75.61,-33.2,96
1179,75.7,-32.5,96
1178,75.8,-33.3,96
1177,75.9,-35,96
1176,75.99,-35.7,96
1175,76.09,-34.8,96
1174,76.18,-34.2,96
1173,76.28,-34.9,96
1172,76.37,-35.9,96
1171,76.47,-37,96
1170,76.57,-38.3,96
1169,76.66,-38.5,96
1168,76.76,-37.4,96
1167,76.85,-35.9,96
1166,76.95,-35.2,96
1165,77.05,-35.5,96
1164,77.14,-35.2,96
1163,77.24,-35.2,96
1162,77.33,-35.4,96
1161,77.43,-35.8,96
1160,77.53,-36.5,96
1159,77.62,-37.5,96
1158,77.72,-37.2,96
1157,77.81,-36.3,96
1156,77.91,-35.2,96
1155,78.01,-34.2,96
1154,78.1,-33.4,96
1153,78.2,-32.8,96
1152,78.29,-32,96
1151,78.39,-33,96
1150,78.48,-35,96
1149,78.58,-35.9,96
1148,78.68,-36.3,96
1147,78.77,-36.3,96
1146,78.87,-36.1,96
1145,78.96,-35.9,96
1144,79.06,-36.2,96
1143,79.16,-36.7,96
1142,79.25,-37.3,96
1141,79.35,-38.3,96
1140,79.44,-38.7,96
1139,79.54,-38,96
1138,79.64,-38.3,96
1137,79.73,-38.7,96
1136,79.83,-37.6,96
1135,79.92,-36.5,96
1134,80.02,-35,96
1133,80.12,-34.8,96
1132,80.21,-36,96
1131,80.31,-36.7,96
1130,80.4,-36,96
1129,80.5,-35.3,96
1128,80.6,-35.5,96
1127,80.69,-35.7,96
1126,80.79,-35.6,96
1125,80.88,-36.8,96
1124,80.98,-37.4,96
1123,81.07,-36.8,96
1122,81.17,-35.4,96
1121,81.27,-35.9,96
1120,81.36,-36.9,96
1119,81.46,-35.7,96
1118,81.55,-34.3,96
1117,81.65,-34.1,96
1116,81.75,-35.6,96
1115,81.84,-37,96
1114,81.94,-37.9,96
1113,82.03,-38,96
1112,82.13,-37.9,96
1111,82.23,-37.9,96
1110,82.32,-37.5,96
1109,82.42,-37.2,96
1108,82.51,-37.3,96
1107,82.61,-37.2,96
1106,82.71,-35.8,96
1105,82.8,-34.7,96
1104,82.9,-35.5,96
1103,82.99,-36.1,96
1102,83.09,-36.6,96
1101,83.18,-37.6,96
1100,83.28,-37.9,96
1099,83.38,-37.7,96
1098,83.47,-37.7,96
1097,83.57,-37.1,96
1096,83.66,-37.2,96
1095,83.76,-37.6,96
1094,83.86,-37.9,96
1093,83.95,-38.9,96
1092,84.05,-39.1,96
1091,84.14,-37.3,96
1090,84.24,-34.6,96
1089,84.34,-33.5,96
1088,84.43,-33.9,96
1087,84.53,-34.3,96
1086,84.62,-34.5,96
1085,84.72,-34.9,96
1084,84.82,-35,96
1083,84.91,-34.8,96
1082,85.01,-34.9,96
1081,85.1,-35.5,96
1080,85.2,-35.2,96
1079,85.3,-34.4,96
1078,85.39,-34.9,96
1077,85.49,-36.1,96
1076,85.58,-36.6,96
1075,85.68,-36.6,96
1074,85.77,-36.9,96
1073,85.87,-37.5,96
1072,85.97,-36.7,96
1071,86.06,-35.5,96
1070,86.16,-34.8,96
1069,86.25,-35.2,96
1068,86.35,-36.1,96
1067,86.45,-36.5,96
1066,86.54,-36.4,96
1065,86.64,-36,96
1064,86.73,-34.6,96
1063,86.83,-34.6,96
1062,86.93,-36.3,96
1061,87.02,-37.3,96
1060,87.12,-36.1,96
1059,87.21,-35.1,96
1058,87.31,-34.7,96
1057,87.41,-34.7,96
1056,87.5,-33.8,96
1055,87.6,-33.9,96
1054,87.69,-35.2,96
1053,87.79,-35.7,96
1052,87.88,-35.4,96
1051,87.98,-35.1,96
1050,88.08,-34.7,96
1049,88.17,-33.4,96
1048,88.27,-33.1,96
1047,88.36,-33.8,96
1046,88.46,-34.1,96
1045,88.56,-34.4,96
1044,88.65,-35.5,96
1043,88.75,-36.1,96
1042,88.84,-35.6,96
1041,88.94,-34.4,96
1040,89.04,-33.1,96
1039,89.13,-32.8,96
1038,89.23,-34.1,96
1037,89.32,-36.7,96
1036,89.42,-38.7,96
1035,89.52,-38,96
1034,89.61,-36,96
1033,89.71,-35.4,96
1032,89.8,-35.1,96
1031,89.9,-34.7,96
1030,90,-34.6,96
1029,90.09,-35.3,96
1028,90.19,-35.3,96
1027,90.28,-34.7,96
1026,90.38,-34.7,96
1025,90.47,-35.7,96
1024,90.57,-36.7,96
1023,90.67,-36.9,96
1022,90.76,-36.1,96
1021,90.86,-35.1,96
1020,90.95,-33.9,96
1019,91.05,-32.7,96
1018,91.15,-32.9,96
1017,91.24,-33.7,96
1016,91.34,-34.7,96
1015,91.43,-35.3,96
1014,91.53,-35.9,96
1013,91.63,-37,96
1012,91.72,-37.5,96
1011,91.82,-37.6,96
1010,91.91,-38.2,96
1009,92.01,-38.5,96
1008,92.11,-38,96
1007,92.2,-36.2,96
1006,92.3,-34.3,96
1005,92.39,-33.4,96
1004,92.49,-34.1,96
1003,92.58,-34.8,96
1002,92.68,-34.8,96
1001,92.78,-35.4,96
1000,92.87,-35.9,96
999,92.97,-35.5,96
998,93.06,-35,96
997,93.16,-35,96
996,93.26,-34.6,96
995,93.35,-34.9,96
994,93.45,-36.4,96
993,93.54,-37.3,96
992,93.64,-36.6,96
991,93.74,-34.9,96
990,93.83,-33.6,96
989,93.93,-33.8,96
988,94.02,-34,96
987,94.12,-34.9,96
986,94.22,-36.3,96
985,94.31,-37.3,96
984,94.41,-37.4,96
983,94.5,-36.5,96
982,94.6,-35.7,96
981,94.69,-35.1,96
980,94.79,-34.7,96
979,94.89,-34.3,96
978,94.98,-34.3,96
977,95.08,-34.5,96
976,95.17,-34.1,96
975,95.27,-33.5,96
974,95.37,-33,96
973,95.46,-33.5,96
972,95.56,-34.3,96
971,95.65,-33.9,96
970,95.75,-33.2,96
969,95.85,-33,96
968,95.94,-34,96
967,96.04,-35,96
966,96.13,-34.7,96
965,96.23,-33.4,96
964,96.33,-33.1,96
963,96.42,-33.2,96
962,96.52,-33.3,96
961,96.61,-33.3,96
960,96.71,-33.9,96
959,96.81,-34.3,96
958,96.9,-34.2,96
957,97,-35.4,96
956,97.09,-36.1,96
955,97.19,-35.9,96
954,97.28,-36,96
953,97.38,-36.4,96
952,97.48,-35.8,96
951,97.57,-35.3,96
950,97.67,-35.7,96
949,97.76,-35.6,96
948,97.86,-34,96
947,97.96,-33.6,96
946,98.05,-34.1,96
945,98.15,-34,96
944,98.24,-33.4,96
943,98.34,-34.2,96
942,98.44,-34.7,96
941,98.53,-35.1,96
