year (AD),depth (cm),d13C (permil)
-592,14.05,-4.98
-596,14.1,-5.31
-600,14.15,-4.95
-604,14.2,-5.04
-608,14.25,-5.19
-612,14.3,-5.11
-616,14.35,-5.07
-620,14.4,-4.61
-624,14.45,-5.04
-628,14.5,-5.3
-632,14.55,-5.11
-636,14.6,-4.62
-640,14.65,-4.66
-644,14.7,-4.85
-648,14.75,-5.27
-652,14.8,-4.78
-656,14.85,-5.36
-660,14.9,-5.13
-664,14.95,-4.95
-668,15,-4.57
-672,15.05,-5.11
-676,15.1,-5.66
-680,15.15,-5.34
-684,15.2,-5.41
-688,15.25,-5.21
-692,15.3,-5.07
-696,15.35,-4.76
-700,15.4,-4.8
-704,15.45,-4.86
-708,15.5,-4.78
-712,15.55,-3.93
-716,15.6,-3.66
-720,15.65,-3.8
-724,15.7,-3.79
-728,15.75,-3.85
-732,15.8,-3.76
-736,15.85,-4.12
-740,15.9,-4.45
-744,15.95,-4.02
-748,16,-4.17
-752,16.05,-4.25
-756,16.1,-4.31
-760,16.15,-4.46
-764,16.2,-3.92
-768,16.25,-4.51
-772,16.3,-4.41
-776,16.35,-4.86
-780,16.4,-4.14
-784,16.45,-4.61
-788,16.5,-4.17
-792,16.55,-4.21
-796,16.6,-4.63
-800,16.65,-4.88
-804,16.7,-4.38
-808,16.75,-4.37
-812,16.8,-4.39
-816,16.85,-3.94
-820,16.9,-4.13
-824,16.95,-4.18
-828,17,-4.28
-832,17.05,-4.94
-836,17.1,-5.03
-840,17.15,-4.74
-844,17.2,-4.62
-848,17.25,-4.35
-852,17.3,-4.65
-856,17.35,-4.55
-860,17.4,-4.38
-864,17.45,-4.75
-868,17.5,-4.48
-872,17.55,-4.55
-876,17.6,-4.39
-880,17.65,-4.69
-884,17.7,-4.19
-888,17.75,-4.97
-892,17.8,-4.71
-896,17.85,-4.65
-900,17.9,-4.39
-904,17.95,-4.15
-908,18,-3.96
-912,18.05,-3.89
-916,18.1,-4.27
-920,18.15,-4.68
-928,18.2,-4.76
-935.9,18.25,-4.25
-943.9,18.3,-4.29
-951.8,18.35,-4.47
-959.8,18.4,-4.62
-967.8,18.45,-4.44
-975.7,18.5,-4.67
-983.7,18.55,-4.6
-991.6,18.6,-4.35
-999.6,18.65,-4.25
-1007.5,18.7,-4.5
-1015.5,18.75,-4.09
-1023.5,18.8,-3.9
-1031.4,18.85,-3.74
-1039.4,18.9,-3.87
-1047.3,18.95,-3.98
-1055.3,19,-3.67
-1063.3,19.05,-3.99
-1071.2,19.1,-3.44
-1079.2,19.15,-3.86
-1087.1,19.2,-3.68
-1095.1,19.25,-3.93
-1103,19.3,-3.43
-1111,19.35,-3.49
-1119.9,19.4,-3.61
-1128.8,19.45,-3.97
-1137.7,19.5,-3.99
-1146.7,19.55,-3.69
-1155.6,19.6,-4.04
-1164.5,19.65,-3.84
-1173.4,19.7,-4.12
-1182.3,19.75,-4.44
-1191.2,19.85,-4.3
-1200.1,19.9,-4.17
-1209,19.95,-4
-1218,20,-4.11
-1226.9,20.05,-4.35
-1235.8,20.1,-4.43
-1244.7,20.15,-4.58
-1253.6,20.2,-4.55
-1262.5,20.25,-4.16
-1271.4,20.3,-4.49
-1280.3,20.35,-4.36
-1289.3,20.4,-4.17
-1298.2,20.45,-3.63
-1307.1,20.5,-3.95
-1316,20.55,-4.03
-1324.9,20.6,-4.33
-1333.8,20.65,-4.37
-1342.7,20.7,-4.46
-1351.6,20.75,-4.48
-1360.6,20.8,-4.4
-1369.5,20.85,-5.63
-1378.4,20.9,-5.12
-1387.3,20.95,-6.36
-1396.2,21,-5.84
-1405.1,21.05,-5.91
-1414,21.1,-5.63
-1422.9,21.15,-5.71
-1431.9,21.2,-5.56
-1440.8,21.25,-5.84
-1449.7,21.3,-6.05
-1458.6,21.35,-5.55
-1467.5,21.4,-5.46
-1476.4,21.45,-5.58
-1485.3,21.5,-5.84
-1494.2,21.55,-5.22
-1503.2,21.6,-5.69
-1512.1,21.65,-5.94
-1521,21.7,-5.63
-1529.9,21.75,-5.29
-1538.8,21.8,-5.44
-1547.7,21.85,-5.46
-1556.6,21.9,-5.46
-1565.5,21.95,-5.57
-1574.5,22,-5.4
-1583.4,22.05,-5.49
-1592.3,22.1,-5.85
-1601.2,22.15,-5.39
-1610.1,22.2,-5.44
-1619,22.25,-5.47
-1627.9,22.3,-5.41
-1636.8,22.35,-5.31
-1645.8,22.4,-5.38
-1654.7,22.45,-5.81
-1663.6,22.5,-5.55
-1672.5,22.55,-6
-1681.4,22.6,-5.58
-1690.3,22.65,-5.61
-1699.2,22.7,-5.4
-1708.1,22.75,-5.21
-1717.1,22.8,-5.58
-1726,22.85,-5.63
-1734.9,22.9,-6.02
-1743.8,22.95,-5.74
-1752.7,23,-5.46
-1761.6,23.05,-5.64
-1770.5,23.1,-6.15
-1779.4,23.15,-5.65
-1788.4,23.2,-5.43
-1797.3,23.25,-5.99
-1806.2,23.3,-5.49
-1815.1,23.35,-6.11
-1824,23.4,-5.85
-1832.9,23.45,-5.71
-1841.8,23.5,-5.65
-1850.7,23.55,-5.74
-1859.7,23.6,-6.25
-1868.6,23.65,-6.05
-1877.5,23.7,-5.77
-1886.4,23.75,-5.49
-1895.3,23.8,-5.43
-1904.2,23.85,-5.72
-1913.1,23.9,-5.96
-1922,23.95,-6.02
-1931,24,-5.47
-1939.9,24.05,-5.51
-1948.8,24.1,-5.74
-1957.7,24.15,-5.64
-1966.6,24.2,-5.55
-1975.5,24.25,-5.73
-1984.4,24.3,-5.99
-1993.3,24.35,-5.74
-2002.3,24.4,-5.73
-2011.2,24.45,-5.7
-2020.1,24.5,-5.52
-2029,24.55,-4.38
-2037.3,24.6,-5.32
-2045.6,24.65,-4.87
-2053.9,24.7,-4.57
-2062.2,24.75,-5.11
-2070.5,24.8,-4.8
-2078.8,24.85,-4.72
-2087.1,24.9,-4.49
-2095.4,24.95,-4.15
-2103.7,25,-4.89
-2112,25.05,-4.96
-2120.4,25.1,-5.37
-2128.7,25.15,-5.24
-2137,25.2,-5.14
-2145.3,25.25,-5.79
-2153.6,25.3,-5.64
-2161.9,25.35,-5.83
-2170.2,25.4,-5.49
-2178.5,25.45,-5.29
-2186.8,25.5,-5.31
-2195.1,25.55,-5.11
-2203.4,25.6,-5.21
-2211.7,25.65,-5.49
-2220,25.7,-5.65
-2228.3,25.75,-5.46
-2236.6,25.8,-4.99
-2244.9,25.85,-4.73
-2253.2,25.9,-4.7
-2261.5,25.95,-4.71
-2269.8,26,-5.08
-2278.1,26.05,-5.23
-2286.4,26.1,-5.39
-2294.7,26.15,-5.27
-2303.1,26.2,-4.79
-2311.4,26.25,-4.56
-2319.7,26.3,-4.59
-2328,26.35,-5.04
-2336.3,26.4,-4.91
-2344.6,26.45,-5.12
-2352.9,26.5,-5.33
-2361.2,26.55,-5.37
-2369.5,26.6,-5.3
-2377.8,26.65,-5.52
-2386.1,26.7,-5.79
-2394.4,26.75,-5.43
-2402.7,26.8,-5.73
-2411,26.85,-5.5
-2419.3,26.9,-5.65
-2427.6,26.95,-5.22
-2435.9,27,-5.53
-2444.2,27.05,-5.64
-2452.5,27.1,-5.52
-2460.8,27.15,-5.6
-2469.1,27.2,-4.94
-2477.5,27.25,-5.77
-2485.8,27.3,-5.56
-2494.1,27.35,-5.66
-2502.4,27.4,-5.34
-2510.7,27.45,-5.32
-2519,27.5,-5.66
-2527.3,27.55,-5.71
-2535.6,27.6,-5.76
-2543.9,27.65,-5.72
-2552.2,27.7,-6.58
-2560.5,27.75,-6.42
-2568.8,27.8,-5.97
-2577.1,27.85,-5.93
-2585.4,27.9,-5.77
-2593.7,27.95,-5.49
-2602,28,-5.58
-2610.3,28.05,-5.08
-2618.6,28.1,-5.29
-2626.9,28.15,-5.48
-2635.2,28.2,-5.65
-2643.5,28.25,-5.65
-2651.8,28.3,-5.43
-2660.2,28.35,-5.09
-2668.5,28.4,-5.8
-2676.8,28.45,-6.13
-2685.1,28.5,-6.02
-2693.4,28.55,-6.19
-2701.7,28.6,-5.91
-2710,28.65,-6.16
-2718.3,28.7,-6.28
-2726.6,28.75,-6.25
-2734.9,28.8,-5.82
-2743.2,28.85,-5.7
-2751.5,28.9,-5.64
-2759.8,28.95,-5.09
-2768.1,29,-5.45
-2776.4,29.05,-5.4
-2784.7,29.1,-5.56
-2793,29.15,-5.87
-2801.3,29.2,-6.06
-2809.6,29.25,-6.43
-2817.9,29.3,-6.77
-2826.2,29.35,-6.44
-2834.5,29.4,-6.44
-2842.9,29.45,-6.51
-2851.2,29.5,-6.45
-2859.5,29.55,-6.35
-2867.8,29.6,-6.23
-2876.1,29.65,-6.47
-2884.4,29.7,-6.31
-2892.7,29.75,-5.96
-2901,29.8,-6.17
-2909.3,29.85,-5.97
-2917.6,30,-6.31
-2925.9,30.05,-5.76
-2934.2,30.1,-6.24
-2942.5,30.15,-6.26
-2950.8,30.2,-6
-2959.1,30.25,-6.09
-2967.4,30.3,-6.21
-2975.7,30.35,-6.19
-2984,30.4,-6.47
-2992.3,30.45,-5.94
-3000.6,30.5,-5.98
-3008.9,30.55,-6.29
-3017.3,30.6,-6.49
-3025.6,30.65,-6.49
-3033.9,30.7,-6.31
-3042.2,30.75,-6.26
-3050.5,30.8,-6.35
-3058.8,30.85,-6.51
-3067.1,30.9,-6.69
-3075.4,30.95,-6.46
-3083.7,31,-6.48
-3092,31.05,-6.18
-3100.3,31.1,-6.36
-3108.6,31.15,-6.39
-3116.9,31.2,-6.82
-3125.2,31.25,-6.95
-3133.5,31.3,-6.79
-3141.8,31.35,-6.57
-3150.1,31.4,-6.21
-3158.4,31.45,-6.19
-3166.7,31.5,-6.38
-3175,31.55,-6.77
-3183.3,31.6,-6.51
-3191.6,31.65,-6.87
-3200,31.7,-5.41
-3208.3,31.75,-5.48
-3216.6,31.8,-6.08
-3224.9,31.85,-5.66
-3233.2,31.9,-5.94
-3241.5,31.95,-5.91
-3249.8,32,-6.02
-3258.1,32.05,-5.93
-3266.4,32.1,-5.92
-3274.7,32.15,-6.01
-3283,32.2,-5.62
-3290.6,32.25,-5.83
-3298.2,32.3,-5.56
-3305.8,32.35,-5.91
-3313.4,32.4,-5.98
-3321.1,32.45,-5.42
-3328.7,32.5,-5.66
-3336.3,32.55,-5.71
-3343.9,32.6,-5.79
-3351.5,32.65,-5.56
-3359.1,32.7,-5.82
-3366.7,32.75,-5.5
-3374.3,32.8,-5.77
-3382,32.85,-5.82
-3389.6,32.9,-6.09
-3397.2,32.95,-5.88
-3404.8,33,-6.01
-3412.4,33.05,-6.02
-3420,33.1,-6
-3427.6,33.15,-6.07
-3435.2,33.2,-5.9
-3442.9,33.25,-5.75
-3450.5,33.3,-5.93
-3458.1,33.35,-5.78
-3465.7,33.4,-5.15
-3473.3,33.45,-5.23
-3480.9,33.5,-5.41
-3488.5,33.55,-5.67
-3496.1,33.6,-5.92
-3503.8,33.65,-6.59
-3511.4,33.7,-6.51
-3519,33.75,-6.22
-3526.6,33.8,-6.09
-3534.2,33.85,-5.81
-3541.8,33.9,-5.81
-3549.4,33.95,-6.16
-3557,34,-5.98
-3564.7,34.05,-6
-3572.3,34.1,-6.17
-3579.9,34.15,-5.75
-3587.5,34.2,-5.97
-3595.1,34.25,-5.97
-3602.7,34.3,-5.98
-3610.3,34.35,-6
-3617.9,34.4,-5.86
-3625.6,34.45,-6.17
-3633.2,34.5,-5.8
-3640.8,34.55,-5.92
-3648.4,34.6,-5.63
-3656,34.65,-6.09
-3663.6,34.7,-6.05
-3671.2,34.75,-5.79
-3678.8,34.8,-5.68
-3686.5,34.85,-5.62
-3694.1,34.9,-5.84
-3701.7,34.95,-6.14
-3709.3,35,-5.54
-3716.9,35.05,-5.62
-3724.5,35.1,-6.13
-3732.1,35.15,-4.79
-3739.7,35.2,-4.8
-3747.4,35.25,-5.14
-3755,35.3,-4.96
-3762.6,35.35,-5.15
-3770.2,35.4,-4.84
-3777.8,35.45,-5.56
-3785.4,35.5,-5.41
-3793,35.55,-5.43
-3800.6,35.6,-5.96
-3808.3,35.65,-6.03
-3815.9,35.7,-5.8
-3823.5,35.75,-5.84
-3831.1,35.8,-5.71
-3838.7,35.85,-5.42
-3846.3,35.9,-5.52
-3853.9,35.95,-5.72
-3861.5,36,-6.22
-3869.2,36.05,-4.93
-3876.8,36.1,-4.52
-3884.4,36.15,-4.96
-3892,36.2,-4.81
-3899.6,36.25,-5.11
-3907.2,36.3,-4.72
-3914.8,36.35,-4.81
-3922.4,36.4,-4.74
-3930.1,36.45,-4.37
-3937.7,36.5,-4.76
-3945.3,36.55,-4.25
-3952.9,36.6,-4.53
-3960.5,36.65,-4.76
-3968.1,36.7,-4.84
-3975.7,36.75,-4.86
-3983.3,36.8,-5.38
-3990.9,36.85,-5.11
-3998.6,36.9,-4.91
-4006.2,36.95,-5.03
-4013.8,37,-4.8
-4021.4,37.05,-4.6
-4029,37.1,-5.01
-4036.6,37.15,-5.03
-4044.2,37.2,-5.44
-4051.8,37.25,-5.2
-4059.5,37.3,-5.24
-4067.1,37.35,-4.96
-4074.7,37.4,-4.84
-4082.3,37.45,-4.95
-4089.9,37.5,-4.6
-4097.5,37.55,-4.34
-4105.1,37.6,-4.5
-4112.7,37.65,-4.5
-4120.4,37.7,-4.13
-4128,37.75,-4.45
-4135.6,37.8,-4.72
-4143.2,37.85,-4.67
-4150.8,37.9,-4.82
-4158.4,37.95,-4.81
-4166,38,-4.84
-4173.6,38.05,-5.46
-4181.3,38.1,-5.42
-4188.9,38.15,-5.54
-4196.5,38.2,-5.54
-4204.1,38.25,-5.75
-4211.7,38.3,-5.49
-4219.3,38.35,-5.91
-4226.9,38.4,-5.98
-4234.5,38.45,-5.45
-4242.2,38.5,-5.52
-4249.8,38.55,-4.67
-4257.4,38.6,-5.09
-4265,38.65,-5.34
-4272.6,38.7,-5.58
-4280.2,38.75,-5.48
-4287.8,38.8,-6.09
-4295.4,38.85,-6.14
-4303.1,38.9,-6.43
-4310.7,38.95,-6.31
-4318.3,39,-6.34
-4325.9,39.05,-5.7
-4333.5,39.1,-5.58
-4341.1,39.15,-5.83
-4348.7,39.2,-6.03
-4356.3,39.25,-5.74
-4364,39.3,-5.77
-4371.6,39.35,-5.51
-4379.2,39.4,-5.28
-4386.8,39.45,-5.36
-4394.4,39.5,-5.3
-4402,39.55,-5.58
-4409.6,39.6,-5.94
-4417.2,39.65,-6.11
-4424.9,39.7,-6.05
-4432.5,39.75,-5.97
-4440.1,39.8,-5.21
-4447.7,39.85,-5.66
-4455.3,39.9,-5.58
-4462.9,39.95,-5.49
-4470.5,40,-5.2
-4478.1,40.05,-5.32
-4485.8,40.1,-5.42
-4493.4,40.15,-5.69
-4501,40.2,-6.07
-4508.6,40.25,-6.21
-4516.2,40.3,-5.84
-4523.8,40.35,-5.58
-4531.4,40.4,-5.46
-4539,40.45,-5.33
-4546.7,40.5,-5.35
-4554.3,40.55,-5.23
-4561.9,40.6,-5.21
-4569.5,40.65,-5.01
-4577.1,40.7,-4.82
-4584.7,40.75,-4.63
-4592.3,40.8,-4.89
-4599.9,40.85,-4.73
-4607.6,40.9,-4.98
-4615.2,40.95,-4.55
-4622.8,41,-4.91
-4630.4,41.05,-5.23
-4638,41.15,-4.73
