year (AD) [1-1],depth (cm) [1-1],d18O (permil) [1-1],year (AD) [2-1],depth (cm) [2-1],d18O (permil) [2-1],year (AD) [3-1],depth (cm) [3-1],d18O (permil) [3-1]
1654399169,NA,-6858089633,-7169980049,NA,-2395027683,NA,NA,NA
1649696939,NA,-7222737459,-6959572315,NA,-2430992246,NA,NA,NA
1645917514,NA,-7453793743,-712296772,NA,-2477826352,NA,NA,NA
1640667,NA,-7125174432,-7193482876,NA,-2519089617,NA,NA,NA
1635975406,NA,-7509813677,-7116423087,NA,-2569340859,NA,NA,NA
1628658181,NA,-7655764393,-6957303524,NA,-2614022326,NA,NA,NA
1613646817,NA,NA,-6922603607,NA,-2662024009,NA,NA,NA
1586373075,NA,-7501869208,-6929708958,NA,-2716500914,NA,NA,NA
1538864619,NA,-7284059972,-6642807007,NA,-2759676618,NA,NA,NA
1498115707,NA,-6980243903,-6748628616,NA,-280201474,NA,NA,NA
145615847,NA,-6386417254,-6748087406,NA,-2853119987,NA,NA,NA
1403285127,NA,-7002723662,-7056422234,NA,-2894210718,NA,NA,NA
1361691144,NA,NA,-674305582,NA,-2935690208,NA,NA,NA
1322650888,NA,-6807757305,-6553081989,NA,-2987111823,NA,NA,NA
1276806915,NA,-7253181835,-6458114147,NA,-3029654786,NA,NA,NA
1239403535,NA,-6719504607,-664240694,NA,-3084485571,NA,NA,NA
1194660491,NA,-6982074874,-6614348888,NA,-3131065036,NA,NA,NA
1158204191,NA,-7130994754,-6417607307,NA,-3174991368,NA,NA,NA
1122057589,NA,-7085905314,-6384930101,NA,-3222619968,NA,NA,NA
1080222659,NA,-7547248376,-6912575245,NA,-3262351447,NA,NA,NA
1043370175,NA,-7676312523,-6966852665,NA,-3302701434,NA,NA,NA
9991554642,NA,-7505031233,-6876823425,NA,-3351931856,NA,NA,NA
9618275735,NA,-7012265082,-643676281,NA,-3391681598,NA,NA,NA
9240302976,NA,-7037763339,-6802256107,NA,-3430241364,NA,NA,NA
8754830033,NA,-7239966515,-6637888432,NA,-3477019863,NA,NA,NA
833810631,NA,-6782970451,-5984689236,NA,-3513592209,NA,NA,NA
7914262297,NA,-7202407003,-671213913,NA,-3548982181,NA,NA,NA
7401781921,NA,-7228105198,-6860919476,NA,-3590904456,NA,NA,NA
6992965994,NA,-6733414833,-6624507904,NA,-3624283478,NA,NA,NA
6569561507,NA,-704881155,-6971086979,NA,-3666532354,NA,NA,NA
6335952191,NA,-7010309152,-6888138294,NA,-3700104049,NA,NA,NA
6178704712,NA,-6950852924,-6918456078,NA,-3733823377,NA,NA,NA
6011681491,NA,-7324243384,-7121111393,NA,-3774213152,NA,NA,NA
5882974677,NA,-7016780423,-6989212036,NA,-3808253473,NA,NA,NA
573693971,NA,-7137508264,-6845491409,NA,-3841723168,NA,NA,NA
561794946,NA,-6624857462,-6908681393,NA,-3882034945,NA,NA,NA
5502716563,NA,-8028112174,-6637980461,NA,-3916088949,NA,NA,NA
5362406427,NA,-7602948417,-7263170719,NA,-3950107404,NA,NA,NA
5246339974,NA,-7744133003,-6718932152,NA,-3992033008,NA,NA,NA
5126126041,NA,-75025323,-6676968575,NA,-4028543676,NA,NA,NA
4974590727,NA,-753353282,-6208383083,NA,-4072585416,NA,NA,NA
4848850921,NA,-7840788922,-6638708591,NA,-4108878667,NA,NA,NA
4692183931,NA,-6935472835,-6594958782,NA,-4146774719,NA,NA,NA
4550756319,NA,-7576784543,-6592763901,NA,-4190657038,NA,NA,NA
4410440119,NA,-7482015999,-6422458649,NA,-4227488453,NA,NA,NA
4246383685,NA,-6397434357,-6357094288,NA,-42658395,NA,NA,NA
4113658011,NA,-7050894179,-6556667328,NA,-4316093158,NA,NA,NA
3956980456,NA,-6710594041,-6411856174,NA,-4360035399,NA,NA,NA
3833940784,NA,-7176209002,-6465538502,NA,-4402135628,NA,NA,NA
371052844,NA,-677083002,-6611381531,NA,-4450141522,NA,NA,NA
3568834963,NA,NA,-6395192146,NA,-4487900039,NA,NA,NA
3454965049,NA,-6839635371,-6494163036,NA,-4526024185,NA,NA,NA
3348633991,NA,-6937779912,-6624330521,NA,-4555490564,NA,NA,NA
3213576447,NA,-6885662354,-6325917721,NA,-4583746475,NA,NA,NA
310215445,NA,NA,-6167373657,NA,-4616306929,NA,NA,NA
2971964037,NA,-7087363806,-6552659512,NA,-4642661345,NA,NA,NA
2863709504,NA,-6897435868,-6005749702,NA,-4668176204,NA,NA,NA
2757010372,NA,-6505778367,-5868747234,NA,-469904385,NA,NA,NA
2629143002,NA,-8461618916,-6130624294,NA,-4724285798,NA,NA,NA
2529385084,NA,-7240335216,-6497066021,NA,-4749436962,NA,NA,NA
2401097499,NA,-6974228804,-6471690655,NA,-4778478389,NA,NA,NA
2295847175,NA,-6627447313,-6086638927,NA,-4802589512,NA,NA,NA
2193208365,NA,-6892987447,-6018377781,NA,-4830707872,NA,NA,NA
2072378372,NA,-6942465082,-6066959381,NA,-4854424418,NA,NA,NA
1971076564,NA,-7029999265,-5964006424,NA,-4878374941,NA,NA,NA
1874856679,NA,-6891185869,-6230976582,NA,-4906555382,NA,NA,NA
1754240093,NA,-752281876,-6488701344,NA,-4929409306,NA,NA,NA
1647662926,NA,-6578744754,-6048938274,NA,-4951788799,NA,NA,NA
1520317886,NA,-6657133322,-6361801624,NA,-4979152854,NA,NA,NA
1412781756,NA,-6485207674,-6166929245,NA,-500116241,NA,NA,NA
1304871585,NA,-6936362174,-626861763,NA,-5023582438,NA,NA,NA
1172759998,NA,-7227094616,-6490420818,NA,-5050866023,NA,NA,NA
1057402324,NA,-6922948545,-6188338757,NA,-5072734551,NA,NA,NA
9175749026,NA,-6852610917,-6353205681,NA,-5093211392,NA,NA,NA
8114792042,NA,-6658465724,-6344074249,NA,-5118901474,NA,NA,NA
695998036,NA,-6699963732,-6343137264,NA,-5141373658,NA,NA,NA
5524529306,NA,-7187766718,-6384343624,NA,-5166304685,NA,NA,NA
4225370206,NA,-7669587788,-630012989,NA,-5186823949,NA,NA,NA
2878154755,NA,-7023015591,-6177074432,NA,-5209199586,NA,NA,NA
1063967966,NA,-6972970166,-5857032299,NA,-5234984484,NA,NA,NA
-5135133597,NA,NA,-6379042625,NA,-5255127284,NA,NA,NA
-240965161,NA,-7225055465,-5892127037,NA,-5276218445,NA,NA,NA
-4036890122,NA,-7278881099,-6262559652,NA,-530458571,NA,NA,NA
-548127845,NA,-7037278294,-5776446342,NA,-532690564,NA,NA,NA
-7093370204,NA,-7323368559,-599287234,NA,-5347917289,NA,NA,NA
-8424056612,NA,-7362295455,-6231130123,NA,-537368611,NA,NA,NA
-1002823882,NA,-7296439064,-6191320419,NA,-5394206142,NA,NA,NA
-1111278532,NA,-7437206787,-5906630516,NA,-5419137218,NA,NA,NA
-1223947918,NA,-734041026,-6013231277,NA,-5442035663,NA,NA,NA
-136033818,NA,-7124195077,-6238811016,NA,-5464330741,NA,NA,NA
-1463148339,NA,-7291906435,-5937089682,NA,-5492003021,NA,NA,NA
-156286532,NA,-7242691266,-5802394867,NA,-5513272634,NA,NA,NA
-1685281983,NA,-724376007,-6104001045,NA,-5534686054,NA,NA,NA
-1787609643,NA,-7568359092,-5744592667,NA,-5560255925,NA,NA,NA
-1908557722,NA,-7439657315,-6046587944,NA,-5581419363,NA,NA,NA
-2009193583,NA,-6919343345,-623046875,NA,-5602439818,NA,NA,NA
-2107252084,NA,-6666670541,-6062804699,NA,-5626242867,NA,NA,NA
-2230872866,NA,-7003845501,-5730232239,NA,-5646670642,NA,NA,NA
-2329850239,NA,-7116838932,-6300853729,NA,-5671724742,NA,NA,NA
-2449282447,NA,-710706167,-573027277,NA,-5693406491,NA,NA,NA
-2540298637,NA,-7393298913,-6128819466,NA,-5715818052,NA,NA,NA
-2633337009,NA,-7783134875,-6094869614,NA,-5741762891,NA,NA,NA
-2746842257,NA,-6980222847,-6064202668,NA,-57635168,NA,NA,NA
-2841961072,NA,-6953638549,-634805727,NA,-5785853921,NA,NA,NA
-2932531299,NA,-6746651422,-6406880379,NA,-5813454309,NA,NA,NA
-3048216518,NA,-6760009897,-6039999008,NA,-5835142589,NA,NA,NA
-3142253323,NA,-6496909228,-5862519503,NA,-5857843677,NA,NA,NA
-3252634431,NA,-6857489774,-6088654041,NA,-5887197,NA,NA,NA
-3350986348,NA,-6836342691,-615742445,NA,-5912224018,NA,NA,NA
-3446080551,NA,-6996989357,-6020360947,NA,-5940696373,NA,NA,NA
-3571016342,NA,-6766133445,-6205857992,NA,-5963661752,NA,NA,NA
-3667912156,NA,-7323741176,-5163009167,NA,-5987723905,NA,NA,NA
-3784958813,NA,-6888983616,-6975662708,NA,-6018714671,NA,NA,NA
-3881356431,NA,-713164137,-6466824532,NA,-6043694939,NA,NA,NA
-3979586573,NA,-7292136517,-6074095011,NA,-6068657853,NA,NA,NA
-4103541314,NA,-7450548944,-6174610615,NA,-6100419948,NA,NA,NA
-420616949,NA,-7525189105,-6357892752,NA,-6125956166,NA,NA,NA
-430379626,NA,-7549748507,-6438906193,NA,-6152512371,NA,NA,NA
-4422277082,NA,-7276318449,-6908546686,NA,-6184908497,NA,NA,NA
-4521482904,NA,-7450493438,-6152063847,NA,-6210667889,NA,NA,NA
-4647579042,NA,-7572208017,-5690945864,NA,-6237825957,NA,NA,NA
-4751020569,NA,-7732510317,-5982012272,NA,-6270973361,NA,NA,NA
-4856206813,NA,-7355293344,-6191308975,NA,-6297826253,NA,NA,NA
-4982223399,NA,-7796611745,-5904332638,NA,-6332724343,NA,NA,NA
-5089899009,NA,-8306362788,-6073869228,NA,-6359856708,NA,NA,NA
-5221674847,NA,-7584078868,-6233223438,NA,-6388141665,NA,NA,NA
-5336605583,NA,-7485745902,-5933135033,NA,-6425093173,NA,NA,NA
-5455351912,NA,NA,-5890852928,NA,-6454167578,NA,NA,NA
-5602927824,NA,-7604404004,-5738995552,NA,-6482823215,NA,NA,NA
-5726196472,NA,-7331875716,-6343436241,NA,-6519864262,NA,NA,NA
-5846660795,NA,-7181264778,-6060233593,NA,-6550475639,NA,NA,NA
-6000474268,NA,-7107299587,-5805383205,NA,-6581604307,NA,NA,NA
-6122630466,NA,-7251073133,-5773893833,NA,-6617709796,NA,NA,NA
-6274068182,NA,-6977460306,NA,NA,-6646278865,NA,NA,NA
-6387254645,NA,-7905887237,-6208127975,NA,-6678355665,NA,NA,NA
-6489290932,NA,-7977888105,NA,NA,-67045066,NA,NA,NA
-6598896517,NA,-699258016,-5763545513,NA,-6730496395,NA,NA,NA
-6679171077,NA,-7371110071,-6149478436,NA,-6761877258,NA,NA,NA
-6775379727,NA,-7016073871,-5904538155,NA,-67870025,NA,NA,NA
-6850066556,NA,-782812716,-6238843918,NA,-6813297235,NA,NA,NA
-6921172795,NA,-700854752,-6006657124,NA,-6844752579,NA,NA,NA
-7005895223,NA,-7254077942,-5496204376,NA,-6868977217,NA,NA,NA
-70700923,NA,-7368567777,-5617906094,NA,-6893749924,NA,NA,NA
-7131130471,NA,-7373986416,-5718628883,NA,-6923160685,NA,NA,NA
-7209729797,NA,-7171324797,-6069823742,NA,-694774114,NA,NA,NA
-7277391183,NA,-7027324889,-6150129795,NA,-6977278974,NA,NA,NA
-7356050338,NA,-7109547445,-5946099281,NA,-7001541933,NA,NA,NA
-7419795512,NA,-7205063672,-6078850269,NA,-7027463179,NA,NA,NA
-7482890182,NA,-7286779714,-5708777905,NA,-7058902221,NA,NA,NA
-7555360735,NA,-747391347,-576952219,NA,-7083960273,NA,NA,NA
-7615935655,NA,-7516887969,-5776823044,NA,-7109417194,NA,NA,NA
-7685906389,NA,NA,-5389618874,NA,-7141189222,NA,NA,NA
-7745966717,NA,-7067162475,-5490924358,NA,-7167925737,NA,NA,NA
-780793333,NA,-7503829795,-5705624104,NA,-7196065627,NA,NA,NA
-7878528177,NA,-7267026995,-5367487907,NA,-7229923552,NA,NA,NA
-7937549697,NA,-7201390457,-5485666275,NA,-7258522138,NA,NA,NA
-799374708,NA,-6998633425,-5516497135,NA,-7294364774,NA,NA,NA
-806571075,NA,-7166588011,-5738230705,NA,-7325861402,NA,NA,NA
-8120919267,NA,-7010259634,-5609792233,NA,-7358028922,NA,NA,NA
-8189382492,NA,-703455286,-4266309261,NA,-7395374416,NA,NA,NA
-8244086049,NA,-729378619,-5726408958,NA,-7425677828,NA,NA,NA
-8301032098,NA,-7073663277,-5398015499,NA,-7453516701,NA,NA,NA
-8370503617,NA,-6604326943,-5494867325,NA,-7484014297,NA,NA,NA
-842826318,NA,-7163605372,-5528614044,NA,-7507198411,NA,NA,NA
-8499306554,NA,-6962412537,-5462310314,NA,-7530168049,NA,NA,NA
-8559456332,NA,-7196337998,-5890185833,NA,-7555849295,NA,NA,NA
-8617411223,NA,-7702670918,-5309761047,NA,-7577464539,NA,NA,NA
-8687554153,NA,-7641326592,-5524133205,NA,-759951999,NA,NA,NA
-8743173876,NA,-7436194448,-546442318,NA,-7627235722,NA,NA,NA
-8797878118,NA,-7611017156,-5578186512,NA,-7648808069,NA,NA,NA
-8866529353,NA,-6967351237,-5585936546,NA,-7674594701,NA,NA,NA
-8921205007,NA,-7679863991,-563398838,NA,-7695085444,NA,NA,NA
-8989832596,NA,-7293093674,-5529568195,NA,-7715039709,NA,NA,NA
-9045975968,NA,-7547050141,-5501260281,NA,-7739419428,NA,NA,NA
-9107553301,NA,-7402939667,-5617705345,NA,-7760035859,NA,NA,NA
-917961276,NA,-7381980095,-5556106091,NA,-7780932836,NA,NA,NA
-923150789,NA,-6976171056,-543542099,NA,-7805619045,NA,NA,NA
-9301304326,NA,-7392929213,-5630855083,NA,-782511399,NA,NA,NA
-9358237184,NA,-7048276199,-5764018536,NA,-7844707501,NA,NA,NA
-9412514594,NA,-7036912767,-58626194,NA,-7868293125,NA,NA,NA
-9482842141,NA,-702211261,-5685266972,NA,-7888226677,NA,NA,NA
-9538482819,NA,-7010620374,-5931033134,NA,-7910432371,NA,NA,NA
-9596372552,NA,-7321822694,-5613576889,NA,-7929414358,NA,NA,NA
-9670970746,NA,-7557821156,-5659981251,NA,-7948747494,NA,NA,NA
-9732811148,NA,-7615577071,-561706686,NA,-7971585054,NA,NA,NA
-9804993802,NA,-7740090701,-5608920574,NA,-7990191857,NA,NA,NA
-9862534206,NA,-8268985642,-5958342075,NA,-801004171,NA,NA,NA
-9921981881,NA,-7914644821,-5809835434,NA,-8033246013,NA,NA,NA
-9998984143,NA,-7393352202,-5762579918,NA,-8051973789,NA,NA,NA
-1006318191,NA,-7624397573,-5894073963,NA,-8071324298,NA,NA,NA
-101422001,NA,-7579046063,-5614600182,NA,-8093935571,NA,NA,NA
-1020450086,NA,-7501719253,-5552818298,NA,-8113354819,NA,NA,NA
-1026702714,NA,-7522339764,-5934092999,NA,-8136077743,NA,NA,NA
-1035226508,NA,-7414928365,-5847254276,NA,-8154886731,NA,NA,NA
-1042138497,NA,-750685037,-5888444901,NA,-81752052,NA,NA,NA
-1048758196,NA,-7401605416,-5882301807,NA,-8200232559,NA,NA,NA
-1057396775,NA,-7884795248,-591809988,NA,-8220063868,NA,NA,NA
-1064927198,NA,-7264883898,-5102033138,NA,-8239329359,NA,NA,NA
-1074664203,NA,-736764315,-5609965324,NA,-8264842892,NA,NA,NA
-1082782711,NA,-6839024937,-5463870662,NA,-8286679383,NA,NA,NA
-1091180429,NA,-6923275343,-5866276264,NA,-830868825,NA,NA,NA
-1102202721,NA,-7300856164,-5903078079,NA,-8336183643,NA,NA,NA
-1110931708,NA,-7175204308,-6104037285,NA,-8360302902,NA,NA,NA
-1122751773,NA,-7105857189,-5949227333,NA,-8390100652,NA,NA,NA
-1136117835,NA,-7186136746,-5973042965,NA,-842052239,NA,NA,NA
-1159830429,NA,-7056463943,-5746180534,NA,-8461254295,NA,NA,NA
-1193277279,NA,-701313271,-5805265903,NA,-8541439106,NA,NA,NA
-1222138252,NA,-7161876593,-5608693123,NA,-8686431502,NA,NA,NA
-1250328206,NA,-7564585948,-5519360065,NA,-8841247653,NA,NA,NA
-1282670768,NA,-747270392,-5685853481,NA,-8978264982,NA,NA,NA
-1309580858,NA,-7231589346,-5760953426,NA,-9030576183,NA,NA,NA
-1343180593,NA,-781962852,-5682750225,NA,-9076555355,NA,NA,NA
-1369595218,NA,-7633523443,-6188457489,NA,-9130644771,NA,NA,NA
-1396200501,NA,-7122406318,-5808504105,NA,-917615666,NA,NA,NA
-1426410062,NA,-7118298029,-5531705856,NA,-9219767145,NA,NA,NA
-1452659748,NA,-7077974562,-5235655308,NA,-9273974606,NA,NA,NA
-1484756398,NA,-7065171515,-5441591263,NA,-9318700513,NA,NA,NA
-1511503461,NA,-7213568446,-5908936024,NA,-9372240637,NA,NA,NA
-1541533685,NA,-6614814746,-5933217525,NA,-9415616745,NA,NA,NA
-1579239187,NA,-7372672606,-594942379,NA,-9457421656,NA,NA,NA
-1612301084,NA,-7359551786,-5876008511,NA,-9509135331,NA,NA,NA
-1644384485,NA,-6787559522,-5753063679,NA,-9549594233,NA,NA,NA
-1677929741,NA,-6868881365,-583423996,NA,-9588594827,NA,NA,NA
-1699403111,NA,-721097921,-5872419834,NA,-9636328606,NA,NA,NA
-172065436,NA,-7320050265,-5827715397,NA,-9675048431,NA,NA,NA
-173547706,NA,-7237510876,-594213438,NA,-9711296643,NA,NA,NA
-175080571,NA,-7819538847,-582117033,NA,-9756021606,NA,NA,NA
-1766238656,NA,-7440518159,-5843009949,NA,-9792404754,NA,NA,NA
-1777672177,NA,-7451274458,-5855484009,NA,-9837271314,NA,NA,NA
-1792345658,NA,-6766932121,-5998785496,NA,-9873904855,NA,NA,NA
-1803677186,NA,-7093784945,-5923427105,NA,-9909507532,NA,NA,NA
-1813794803,NA,-716804086,-6159328461,NA,-995871374,NA,NA,NA
-1826255853,NA,-6640291695,-5861608505,NA,-9994709193,NA,NA,NA
-1836168735,NA,-7247124262,-575854063,NA,-1003141385,NA,NA,NA
-184654863,NA,-7314147839,-5889217377,NA,-1007452151,NA,NA,NA
-1858603311,NA,-6924224798,-5791360855,NA,-1010983777,NA,NA,NA
-1867833587,NA,-6550207729,-6613441944,NA,-1014625913,NA,NA,NA
-187995408,NA,-6806755728,-601087141,NA,-101926987,NA,NA,NA
-1889112679,NA,-700307335,-5983140945,NA,-1023186711,NA,NA,NA
-1898627343,NA,-7273150276,-6155272961,NA,-1027847791,NA,NA,NA
-1910070509,NA,-7510951108,-6032285213,NA,-1031199071,NA,NA,NA
-191835507,NA,-7004228768,-6442461729,NA,-1034938176,NA,NA,NA
-1930113437,NA,-7196832948,-5707649708,NA,-1039644181,NA,NA,NA
-1939131043,NA,-7416074012,-57560215,NA,-1043591532,NA,NA,NA
-1948562897,NA,-8108295248,-585191679,NA,-1047252626,NA,NA,NA
-1960591229,NA,-7623147065,-6000554562,NA,-1051777079,NA,NA,NA
-1970132508,NA,-737256033,-6315388203,NA,-1055555842,NA,NA,NA
-1979295833,NA,-7334695907,-5983870997,NA,-1059244611,NA,NA,NA
-1990720019,NA,-6953562261,-6723989608,NA,-1063797256,NA,NA,NA
-1999503329,NA,-7167103947,-6526429056,NA,-1067758101,NA,NA,NA
-2010044939,NA,-6932895346,-6049059818,NA,-107256751,NA,NA,NA
-2018263508,NA,-7204733071,-6241890499,NA,-1076340004,NA,NA,NA
-2026453796,NA,-7253247112,-6203894726,NA,-1080467393,NA,NA,NA
-2036181063,NA,-6750903625,-6649848194,NA,-1085480971,NA,NA,NA
-2044871591,NA,-6497494467,-6609769521,NA,-1089575248,NA,NA,NA
-2056051575,NA,-6668439386,-6671432804,NA,-1093720702,NA,NA,NA
-2064393766,NA,-710785284,-6797128779,NA,-1098929361,NA,NA,NA
-2072534289,NA,-6944081294,-6986853082,NA,-1103389336,NA,NA,NA
-2082870634,NA,-680857431,-7405633955,NA,-1107979507,NA,NA,NA
-209203666,NA,-6983619631,-7009888489,NA,-1113552018,NA,NA,NA
-2100497488,NA,-683858106,-721557822,NA,-1118041886,NA,NA,NA
-2111378991,NA,-7392148972,-6785368761,NA,-1122520301,NA,NA,NA
-2120050568,NA,-672979522,-6598859728,NA,-1127915688,NA,NA,NA
-213036811,NA,-7029805035,-6194249437,NA,-1131976317,NA,NA,NA
-213930436,NA,-6946021773,-6414716338,NA,-1135676404,NA,NA,NA
-2148466665,NA,-6926094713,-6378888853,NA,-1137078767,NA,NA,NA
-2159424033,NA,-6459496023,-6434026409,NA,-1138171187,NA,NA,NA
-2167807366,NA,-7128615112,-6778926285,NA,-1139112366,NA,NA,NA
-2181072585,NA,-6874226284,-6512823843,NA,-1139821553,NA,NA,NA
-2191834521,NA,-6794126453,-6785361258,NA,-1140512223,NA,NA,NA
-2203256479,NA,-6851021532,-650776373,NA,-1141319656,NA,NA,NA
-2217349455,NA,-6776581686,-6425306344,NA,-1142188714,NA,NA,NA
-2229564436,NA,-7019246264,-6584500383,NA,-1143017424,NA,NA,NA
-2242988736,NA,-6886229637,-6673293902,NA,-114375158,NA,NA,NA
-2260368666,NA,-713753181,-6014410081,NA,-1144418734,NA,NA,NA
-2274557533,NA,-6721556736,NA,NA,NA,NA,NA,NA
-2290395101,NA,-7131060493,NA,NA,NA,NA,NA,NA
-2303686183,NA,-6930531884,NA,NA,NA,NA,NA,NA
-2318487706,NA,-6483875238,NA,NA,NA,NA,NA,NA
-2336964906,NA,-6862687293,NA,NA,NA,NA,NA,NA
-2352062426,NA,-6468737298,NA,NA,NA,NA,NA,NA
