year (AD),d18O (permil)
1961.21,-5.06
1961.12,-5.09
1961.04,-5.25
1960.96,-5.26
1960.87,-5.37
1960.79,-5.29
1960.71,-5.2
1960.62,-5.32
1960.54,-5.15
1960.46,-5.23
1960.37,-5.06
1960.29,-5.03
1960.21,-5.02
1960.12,-5.09
1960.04,-5.07
1959.96,-5.12
1959.87,-5.28
1959.79,-5.19
1959.71,-5.34
1959.62,-5.15
1959.54,-5.05
1959.46,-5.01
1959.37,-5.02
1959.29,-5
1959.21,-5
1959.12,-4.74
1959.04,-4.99
1958.96,-5.07
1958.87,-5.1
1958.79,-5.23
1958.71,-5.12
1958.62,-5.03
1958.54,-4.85
1958.46,-4.97
1958.37,-4.85
1958.29,-4.76
1958.21,-4.69
1958.12,-4.62
1958.04,-4.83
1957.96,-4.98
1957.87,-5.02
1957.79,-5.07
1957.71,-5.05
1957.62,-5
1957.54,-5.1
1957.46,-5.06
1957.37,-5.02
1957.29,-4.98
1957.21,-4.95
1957.12,-5
1957.04,-5.06
1956.96,-5.07
1956.87,-5.03
1956.79,-4.93
1956.71,-4.97
1956.62,-5.22
1956.54,-5.13
1956.46,-5.03
1956.37,-5
1956.29,-4.88
1956.21,-5.04
1956.12,-4.93
1956.04,-5
1955.96,-5.09
1955.87,-5.32
1955.79,-5.16
1955.71,-5.09
1955.62,-4.95
1955.54,-5.06
1955.46,-5.04
1955.37,-5.15
1955.29,-5.06
1955.21,-5.1
1955.12,-4.99
1955.04,-5.02
1954.96,-5.03
1954.87,-5.05
1954.79,-5.25
1954.71,-5.15
1954.62,-5.25
1954.54,-5.12
1954.46,-5.12
1954.37,-5
1954.29,-5.01
1954.21,-5.01
1954.12,-5.02
1954.04,-5.07
1953.96,-5.16
1953.87,-5.08
1953.79,-5.13
1953.71,-5.12
1953.62,-5.27
1953.54,-5.24
1953.46,-5.15
1953.37,-5.18
1953.29,-5.13
1953.21,-4.94
1953.12,-5.03
1953.04,-5.03
1952.96,-5.11
1952.87,-5.09
1952.79,-5.07
1952.71,-5.19
1952.62,-5.31
1952.54,-5.23
1952.46,-5.14
1952.37,-5.02
1952.29,-5.04
1952.21,-4.98
1952.12,-4.91
1952.04,-5.01
1951.96,-4.93
1951.87,-4.95
1951.79,-5.05
1951.71,-5.08
1951.62,-5.04
1951.54,-5.01
1951.46,-4.93
1951.37,-4.86
1951.29,-4.85
1951.21,-4.85
1951.12,-4.85
1951.04,-5.06
1950.96,-5.06
1950.87,-5.15
1950.79,-5.1
1950.71,-5.12
1950.62,-5.23
1950.54,-5.16
1950.46,-5.08
1950.37,-5.16
1950.29,-5.05
1950.21,-5.01
1950.12,-4.97
1950.04,-5.07
1949.96,-5.06
1949.87,-5.11
1949.79,-4.99
1949.71,-5.14
1949.62,-5.23
1949.54,-5.09
1949.46,-5.1
1949.37,-5.09
1949.29,-5.06
1949.21,-5.07
1949.12,-5.02
1949.04,-5.1
1948.96,-5.06
1948.87,-5.13
1948.79,-5.13
1948.71,-5.17
1948.62,-5.2
1948.54,-5.13
1948.46,-5.12
1948.37,-5.05
1948.29,-5.04
1948.21,-5.03
1948.12,-5.03
1948.04,-5.06
1947.96,-5.09
1947.87,-5.1
1947.79,-5.1
1947.71,-5.11
1947.62,-5.1
1947.54,-5.05
1947.46,-5
1947.37,-5.17
1947.29,-5.03
1947.21,-5.06
1947.12,-4.87
1947.04,-4.99
1946.96,-5
1946.87,-4.97
1946.79,-4.94
1946.71,-5.13
1946.62,-5.22
1946.54,-5.05
1946.46,-4.91
1946.37,-4.96
1946.29,-4.91
1946.21,-4.97
1946.12,-4.6
1946.04,-5.07
1945.96,-4.99
1945.87,-5.12
1945.79,-5.03
1945.71,-5.11
1945.62,-5.26
1945.54,-5.1
1945.46,-5.06
1945.37,-5.01
1945.29,-5.11
1945.21,-5.06
1945.12,-5.01
1945.04,-5.03
1944.96,-5.05
1944.87,-5.22
1944.79,-5.34
1944.71,-5.15
1944.62,-5.17
1944.54,-5.09
1944.46,-5.24
1944.37,-5.28
1944.29,-5.21
1944.21,-5.2
1944.12,-5.19
1944.04,-5.23
1943.96,-5.27
1943.87,-5.3
1943.79,-5.34
1943.71,-5.41
1943.62,-5.49
1943.54,-5.35
1943.46,-5.19
1943.37,-5.25
1943.29,-5.24
1943.21,-5.23
1943.12,-5.21
1943.04,-5.21
1942.96,-5.22
1942.87,-5.25
1942.79,-5.35
1942.71,-5.31
1942.62,-5.43
1942.54,-5.24
1942.46,-5.11
1942.37,-5.11
1942.29,-5.04
1942.21,-5.06
1942.12,-4.98
1942.04,-5.07
1941.96,-5.15
1941.87,-5.19
1941.79,-5.22
1941.71,-5.31
1941.62,-5.3
1941.54,-5.22
1941.46,-5.06
1941.37,-5.06
1941.29,-4.93
1941.21,-5.01
1941.12,-4.94
1941.04,-5.01
1940.96,-5.08
1940.87,-5.01
1940.79,-5.19
1940.71,-5.2
1940.62,-5.28
1940.54,-5.13
1940.46,-4.89
1940.37,-4.93
1940.29,-4.96
1940.21,-4.96
1940.12,-4.95
1940.04,-4.97
1939.96,-5
1939.87,-5.15
1939.79,-5.18
1939.71,-5.2
1939.62,-5.32
1939.54,-5.22
1939.46,-5.19
1939.37,-5.08
1939.29,-5.05
1939.21,-5.02
1939.12,-5
1939.04,-5.02
1938.96,-5.14
1938.87,-5.08
1938.79,-5.22
1938.71,-5.28
1938.62,-5.4
1938.54,-5.32
1938.46,-5.09
1938.37,-5.08
1938.29,-5.02
1938.21,-5.06
1938.12,-4.95
1938.04,-5.09
1937.96,-5.2
1937.87,-5.23
1937.79,-5.28
1937.71,-5.2
1937.62,-5.26
1937.54,-5.3
1937.46,-5.22
1937.37,-4.99
1937.29,-4.97
1937.21,-4.93
1937.12,-4.88
1937.04,-4.96
1936.96,-4.94
1936.87,-5.03
1936.79,-5.17
1936.71,-5.23
1936.62,-5.27
1936.54,-5.04
1936.46,-4.95
1936.37,-5.02
1936.29,-5.03
1936.21,-5.04
1936.12,-4.89
1936.04,-4.98
1935.96,-5.01
1935.87,-5.08
1935.79,-5.18
1935.71,-5.21
1935.62,-5.21
1935.54,-5.15
1935.46,-5
1935.37,-5.01
1935.29,-5.01
1935.21,-4.97
1935.12,-4.92
1935.04,-4.97
1934.96,-5.06
1934.87,-5.06
1934.79,-5.01
1934.71,-5.17
1934.62,-5.32
1934.54,-5.27
1934.46,-5.14
1934.37,-5.16
1934.29,-5.08
1934.21,-5.11
1934.12,-5.09
1934.04,-5.13
1933.96,-5.07
1933.87,-5.2
1933.79,-5.27
1933.71,-5.31
1933.62,-5.39
1933.54,-5.25
1933.46,-5.04
1933.37,-5.06
1933.29,-5.14
1933.21,-5.08
1933.12,-5.08
1933.04,-5.1
1932.96,-5.15
1932.87,-5.21
1932.79,-5.37
1932.71,-5.36
1932.62,-5.4
1932.54,-5.17
1932.46,-5.04
1932.37,-5.01
1932.29,-5.03
1932.21,-4.96
1932.12,-4.9
1932.04,-5.09
1931.96,-5.15
1931.87,-5.11
1931.79,-5.37
1931.71,-5.32
1931.62,-5.34
1931.54,-5.23
1931.46,-4.98
