year (AD),depth (cm),deuteriumExcess (permil)
1786,NA,4.677
1785,NA,8.54044
1784,NA,8.0896
1783,NA,4.91654
1782,NA,6.68432
1781,NA,4.37612
1780,NA,8.3237
1779,NA,7.35016
1778,NA,10.62908
1777,NA,6.90462
1776,NA,3.5734
1775,NA,8.6406
1773,NA,7.87184
1772,NA,10.39482
1771,NA,8.57364
1770,NA,6.99798
1769,NA,9.38032
1768,NA,7.3558
1767,NA,8.405186667
1766,NA,5.48628
1765,NA,7.028448
1764,NA,6.805022857
1763,NA,4.82332
1762,NA,2.95474
1761,NA,3.624853333
1760,NA,4.38574
1759,NA,4.93615
1758,NA,9.67858
1757,NA,6.179853333
1756,NA,6.317466667
1755,NA,5.948626667
1754,NA,5.965064
1753,NA,25.233
1752,NA,10.71056
1751,NA,7.76752
1750,NA,7.49596
1749,NA,8.57618
1748,NA,9.08552
1747,NA,6.78032
1746,NA,9.96996
1745,NA,6.55568
1744,NA,12.10928
1743,NA,2.58408
1742,NA,14.13732
1741,NA,6.92612
1740,NA,7.5246
1737,NA,2.53964
1736,NA,12.0764
1734,NA,2.4448
1733,NA,10.36104
1730,NA,11.7692
1729,NA,4.61416
1727,NA,9.17172
1725,NA,5.3364
1724,NA,8.8466
1723,NA,8.48896
1722,NA,10.09492
1721,NA,5.63088
1720,NA,6.09192
1719,NA,4.85108
1718,NA,11.58728
1717,NA,5.20616
1714,NA,7.0641
1712,NA,8.44748
1710,NA,6.58936
1709,NA,11.51684
1707,NA,7.08164
1706,NA,11.95248
1705,NA,6.71472
1699,NA,9.32444
1698,NA,6.25708
1697,NA,10.47416
1696,NA,7.01672
1695,NA,7.6358
1694,NA,6.76988
1692,NA,14.37696
1689,NA,9.24692
1686,NA,11.24188
1683,NA,4.52916
1680,NA,8.85736
1679,NA,5.76736
1678,NA,10.45488
1675,NA,3.94988
1674,NA,8.2576
1671,NA,5.16784
1669,NA,15.43544
1668,NA,0.84168
1666,NA,10.28572
1664,NA,5.69844
1663,NA,9.02992
1662,NA,2.24348
1660,NA,7.16396
1658,NA,5.42864
1657,NA,8.94756
1655,NA,5.5136
1653,NA,8.64888
1651,NA,5.26048
1649,NA,10.45616
1648,NA,4.91372
1646,NA,5.87268
1644,NA,10.76984
1641,NA,-1.06336
1639,NA,6.72284
1638,NA,6.01256
1636,NA,7.05748
1633,NA,-2.6858
1632,NA,7.7362
1630,NA,12.64172
1628,NA,9.29628
1627,NA,9.44332
1625,NA,11.5788
1623,NA,11.04828
1621,NA,8.06992
1619,NA,8.94836
1618,NA,11.25624
1617,NA,9.96212
1615,NA,8.02512
1614,NA,3.25572
1612,NA,10.40148
1610,NA,4.3408
1608,NA,11.40952
1607,NA,3.20144
1605,NA,9.63852
1603,NA,3.29148
1601,NA,8.91684
1600,NA,4.16276
1598,NA,7.95904
1597,NA,11.61908
1596,NA,8.71434
1595,NA,7.36132
1594,NA,7.56666
1593,NA,10.91584
1592,NA,7.96788
1591,NA,6.6868
1590,NA,11.9495
1589,NA,8.5661
1588,NA,10.45076
1587,NA,13.22664
1586,NA,12.04686
1585,NA,12.00194
1584,NA,9.12156
1583,NA,8.60742
1582,NA,12.32718
1581,NA,12.2786
1580,NA,9.42324
1579,NA,11.82992
1578,NA,10.18434
1577,NA,11.27496
1576,NA,11.4167
1575,NA,13.3214
1573,NA,6.45252
1571,NA,9.4462
1569,NA,4.68996
1568,NA,-2.75648
1565,NA,7.36144
1564,NA,-1.46764
1562,NA,4.43816
1560,NA,-0.89372
1558,NA,6.4686
1556,NA,-1.79232
1554,NA,7.989
1553,NA,0.76204
1550,NA,9.60476
1548,NA,11.04968
1545,NA,7.33296
1544,NA,-1.78248
1541,NA,9.48336
1539,NA,-4.76156
1537,NA,8.34772
1535,NA,13.74048
1533,NA,10.91248
1531,NA,9.00728
1529,NA,13.4444
1527,NA,7.60864
1523,NA,11.99364
1521,NA,9.83556
1518,NA,12.71644
1516,NA,12.4898
1514,NA,10.2204
1512,NA,12.59116
1509,NA,10.21752
1505,NA,12.09656
1502,NA,9.95004
1499,NA,11.2658
1497,NA,11.36696
1495,NA,9.31648
1492,NA,10.22448
1489,NA,12.39028
1486,NA,13.83548
1484,NA,8.5654
1481,NA,9.04256
1478,NA,8.61328
1475,NA,10.18288
1473,NA,8.17452
1468,NA,9.98652
1465,NA,12.48284
1462,NA,11.65532
1459,NA,11.8416
1456,NA,10.9808
1453,NA,4.70432
1450,NA,11.37844
1448,NA,11.13796
1446,NA,10.96484
1444,NA,15.52428
1443,NA,14.89417333
1442,NA,11.5012
1441,NA,10.47866667
1440,NA,9.01538
1439,NA,8.15396
1438,NA,10.12046667
1437,NA,10.248
1436,NA,11.09214
1435,NA,9.066506667
1434,NA,9.03432
1433,NA,8.54672
1432,NA,7.2635
1431,NA,10.8252
1424,NA,7.25816
1421,NA,11.27196
1417,NA,10.29064
1414,NA,12.86612
1410,NA,14.28612
1406,NA,14.75044
1403,NA,14.92664
1400,NA,15.23268
1396,NA,10.1236
1393,NA,13.75584
1389,NA,13.642760000000001
1386,NA,12.3658
1382,NA,10.57768
1373,NA,10.1246
1371,NA,10.58676
1360,NA,11.85864
1355,NA,7.96676
1351,NA,12.03964
1339,NA,8.42212
1337,NA,11.018
1323,NA,13.01036
1318,NA,9.76456
1305,NA,7.91464
1296,NA,10.34028
1290,NA,8.22216
1260,NA,10.91552
1252,NA,7.55544
1247,NA,12.31532
1230,NA,6.88608
1216,NA,11.37168
1207,NA,8.87772
1163,NA,10.36284
1149,NA,8.75012
1122,NA,10.0042
1110,NA,9.51376
1102,NA,10.66092
1093,NA,9.14636
1063,NA,7.00984
1052,NA,8.091
1043,NA,8.68736
1029,NA,7.77612
1015,NA,9.09652
1001,NA,8.75552
985,NA,12.59972
964,NA,10.03952
950,NA,12.1974
930,NA,8.35876
909,NA,8.36496
881,NA,8.1292
863,NA,9.96848
836,NA,7.72224
777,NA,7.13812
