year (AD),depth (cm),temperature (degC),d18O (permil),d18O (permil),Mg_Ca (mmol/mol)
1321.017,25.5,24.4165,0.6186041667,-1.634,4.042052
1308.684,26,23.72044,0.8005916667,-1.307,3.796604
1296.351,26.5,23.81895,0.6961145833,-1.432,3.830416
1284.018,27,23.29044,0.6120083333,-1.406,3.652483
1271.685,27.5,23.2246,0.4472916667,-1.557,3.630904
1259.352,28,23.33839,0.3509979167,-1.677,3.668279
1247.019,28.5,23.96318,0.8561625,-1.302,3.88046
1234.686,29,NA,NA,-1.321,NA
1222.353,29.5,23.91283,0.6196729167,-1.528,3.862916
1210.02,30,23.95501,0.7074604167,-1.449,3.877608
1197.687,30.5,24.61689,0.5983520833,-1.696,4.115614
1185.354,31,23.80408,0.7240166667,-1.401,3.825292
1173.021,31.5,23.2091,0.3950625,-1.606,3.625841
1160.688,32,23.88813,0.5445270833,-1.598,3.854338
1148.355,32.5,24.1119,0.6091458333,-1.58,3.932748
1136.022,33,24.39357,0.8178270833,-1.43,4.033718
1123.689,33.5,24.99661,0.8684604167,-1.505,4.258695
1111.356,34,23.2242,0.5462083333,-1.458,3.630773
1099.023,34.5,23.90744,0.78955,-1.357,3.861043
1086.69,35,22.60171,0.4175229167,-1.457,3.432954
1074.357,35.5,23.66687,0.55143125,-1.545,3.778345
1062.024,36,22.74083,0.11150625,-1.792,3.476208
1049.691,36.5,24.46848,0.4664333333,-1.797,4.061006
1037.358,37,24.81698,0.8920375,-1.444,4.190397
1025.025,37.5,24.44779,0.7741229167,-1.485,4.053451
1012.692,38,22.42973,0.49169375,-1.347,3.380229
1000.359,38.5,24.40914,0.9740708333,-1.277,4.039377
988.026,39,26.72809,1.078185417,-1.656,4.976845
975.693,39.5,25.0132,0.4959166667,-1.881,4.265056
963.36,40,24.81174,1.158945833,-1.176,4.188423
951.027,40.5,26.59889,1.11526875,-1.592,4.919305
938.694,41,24.17975,0.74828125,-1.455,3.956838
926.361,41.5,24.23745,1.026302083,-1.189,3.977439
914.028,42,26.10568,1.520516667,-1.084,4.70572
901.695,42.5,26.91553,1.566235417,-1.207,5.061513
889.362,43,26.05313,1.45856875,-1.135,4.683517
877.029,43.5,25.81584,1.125133333,-1.419,4.584556
864.696,44,25.21538,0.8120375,-1.607,4.343375
852.363,44.5,24.59483,0.86875625,-1.421,4.107449
840.03,45,24.02828,0.629725,-1.542,3.903263
827.697,45.5,24.09801,0.5312520833,-1.655,3.927837
815.364,46,24.40719,0.7856645833,-1.465,4.038665
803.031,46.5,NA,NA,-1.322,NA
790.698,47,24.84296,0.99745,-1.344,4.200206
778.365,47.5,24.75623,0.91938125,-1.404,4.167549
766.032,48,24.78501,0.8873770833,-1.442,4.178358
753.699,48.5,26.43351,1.282814583,-1.39,4.846629
741.366,49,25.93273,1.100485417,-1.468,4.633039
729.033,49.5,23.84965,0.7835104167,-1.351,3.841014
716.7,50,24.03932,0.530025,-1.644,3.907143
704.367,50.5,25.79418,1.342620833,-1.197,4.575628
692.034,51,25.80656,0.8312,-1.711,4.580727
679.701,51.5,26.11094,NA,NA,4.707949
667.368,52,26.53417,NA,NA,4.890734
655.035,52.5,25.89646,0.9189291667,-1.642,4.617943
642.702,53,26.40259,0.9113729167,-1.755,4.833161
630.369,53.5,26.33967,1.189264583,-1.464,4.80587
618.036,54,26.29656,0.8842833333,-1.76,4.787259
605.703,54.5,25.78457,0.98461875,-1.553,4.571673
593.37,55,26.44368,1.142933333,-1.532,4.851069
581.037,55.5,25.27728,0.8319333333,-1.6,4.367642
568.704,56,25.24675,1.239572917,-1.186,4.355656
556.371,56.5,25.22645,0.96834375,-1.453,4.347705
544.038,57,24.90526,1.030429167,-1.324,4.223823
531.705,57.5,24.54175,0.6646979167,-1.614,4.087874
519.372,58,24.60784,0.7294666667,-1.563,4.112262
507.039,58.5,24.17864,1.07805,-1.125,3.956442
494.706,59,23.58835,0.3660729167,-1.714,3.751737
