Int Chron (years),d18O (per mil),Sr/Ca (mmol/mol)
38.8125,-3.7293,9.1396
38.9792,-3.539,9.1857
39.1458,-3.42,9.2385
39.3125,-3.4,9.267
39.4792,-3.4,9.259
39.6458,-3.4,9.251
39.8125,-3.4,9.243
39.9792,-3.528,9.305
40.1458,-3.82,9.334
40.3125,-3.3714,9.3811
40.4792,-3.1086,9.364
40.6458,-3.0657,9.355
40.8125,-3.0743,9.3156
40.9792,-2.93,9.317
