year (AD),depth (cm),depth (cm),d18O (permil),d18O (permil),d18O (permil),core (),d18O (permil),Mg_Ca (mmol/mol),temperature (deg C)
-510,0.59,0.3,1.831,1.28,NA,GeoB6211-2,-0.874,3.642,25.026
-610,0.6,0.31,1.627,0.94,NA,GeoB6211-2,-0.743,4.366,23.538
-710,0.61,0.32,1.388,0.79,NA,GeoB6211-2,-0.931,3.751,23.316
-810,0.62,0.33,1.378,0.87,NA,GeoB6211-2,-0.721,3.667,22.343
-910,0.63,0.34,1.484,0.97,NA,GeoB6211-2,-0.644,3.321,22.474
-1010,0.64,0.35,1.187,1.05,NA,GeoB6211-2,-1.048,3.366,22.953
-1100,0.65,0.36,1.281,1.11,NA,GeoB6211-2,-0.915,3.534,22.78
-1200,0.66,0.37,1.454,0.92,NA,GeoB6211-2,-0.824,3.472,23.142
-1290,0.67,0.38,1.789,0.89,NA,GeoB6211-2,-0.477,3.603,23.093
-1390,0.68,0.39,1.67,0.93,NA,GeoB6211-2,-0.811,3.585,24.048
-1480,0.69,0.4,1.197,1.17,NA,GeoB6211-2,-0.955,3.952,22.589
-1580,0.7,0.41,NA,0.91,NA,GeoB6211-2,NA,3.405,NA
-1670,0.71,0.42,1.25,0.99,NA,GeoB6211-2,-0.976,3.69,22.918
-1770,0.72,0.43,NA,0.97,NA,GeoB6211-2,-0.731,3.521,NA
-1860,0.73,0.44,1.403,1.09,NA,GeoB6211-2,-0.613,3.887,21.998
-1960,0.74,0.45,1.805,1.12,NA,GeoB6211-2,-0.725,3.206,24.28
-2050,0.75,0.46,NA,1.01,NA,GeoB6211-2,-0.287,4.046,NA
-2140,0.76,0.47,2.032,1.17,NA,GeoB6211-2,-0.731,3.36,25.321
-2240,0.77,0.48,1.521,1.05,NA,GeoB6211-2,-0.633,4.499,22.616
-2330,0.78,0.49,NA,0.98,NA,GeoB6211-2,-0.364,3.415,NA
-2430,0.79,0.5,1.334,1.08,NA,GeoB6211-2,-0.67,NA,21.957
-2520,0.8,0.51,1.583,1.06,NA,GeoB6211-2,-0.543,3.192,22.5
-2620,0.81,0.52,1.77,1.16,NA,GeoB6211-2,-0.364,3.374,22.538
-2710,0.82,0.53,1.89,0.95,NA,GeoB6211-2,-0.459,3.387,23.497
-2810,0.83,0.54,1.297,0.96,NA,GeoB6211-2,-0.513,3.736,21.104
-2900,0.84,0.55,NA,0.99,NA,GeoB6211-2,-0.722,2.926,NA
-3050,0.85,0.56,NA,1.07,NA,GeoB6211-2,NA,NA,NA
-3210,0.86,0.57,NA,1.09,NA,GeoB6211-2,NA,NA,NA
-3360,0.87,0.58,NA,0.93,NA,GeoB6211-2,NA,NA,NA
-3510,0.88,0.59,NA,1.42,NA,GeoB6211-2,NA,NA,NA
-3670,0.89,0.6,NA,1.14,NA,GeoB6211-2,NA,NA,NA
-3820,0.9,0.61,NA,1.09,NA,GeoB6211-2,NA,NA,NA
-3970,0.91,0.62,NA,1.06,NA,GeoB6211-2,NA,NA,NA
-4130,0.92,0.63,NA,1.11,NA,GeoB6211-2,NA,NA,NA
-4280,0.93,0.64,NA,1,NA,GeoB6211-2,NA,NA,NA
-4430,0.94,0.65,NA,0.99,NA,GeoB6211-2,NA,NA,NA
-4590,0.95,0.66,NA,1.22,NA,GeoB6211-2,NA,NA,NA
-4740,0.96,0.67,NA,1.18,NA,GeoB6211-2,NA,NA,NA
-4890,0.97,0.68,NA,1.26,NA,GeoB6211-2,NA,NA,NA
-5050,0.98,0.69,NA,1.16,NA,GeoB6211-2,NA,NA,NA
-5200,0.99,0.7,NA,1.23,NA,GeoB6211-2,NA,NA,NA
-5350,1,0.71,NA,1.19,NA,GeoB6211-2,NA,NA,NA
-5510,1.01,0.72,NA,1.2,NA,GeoB6211-2,NA,NA,NA
-5660,1.02,0.73,NA,1.05,NA,GeoB6211-2,NA,NA,NA
-5860,1.03,0.74,NA,1.22,NA,GeoB6211-2,NA,NA,NA
-6060,1.04,0.75,NA,1.05,NA,GeoB6211-2,NA,NA,NA
-6260,1.05,0.76,NA,1.16,NA,GeoB6211-2,NA,NA,NA
-6460,1.06,0.77,NA,1.11,NA,GeoB6211-2,NA,NA,NA
-6660,1.07,0.78,NA,1.46,NA,GeoB6211-2,NA,NA,NA
-6860,1.08,0.79,NA,1.24,NA,GeoB6211-2,NA,NA,NA
-7050,1.09,0.8,NA,1.4,NA,GeoB6211-2,NA,NA,NA
-7250,1.1,0.81,NA,1.94,NA,GeoB6211-2,NA,NA,NA
-7450,1.11,0.82,NA,1.65,NA,GeoB6211-2,NA,NA,NA
-7650,1.12,0.83,NA,1.84,NA,GeoB6211-2,NA,NA,NA
-7850,1.13,0.84,NA,1.71,NA,GeoB6211-2,NA,NA,NA
-8050,1.14,0.85,NA,1.94,NA,GeoB6211-2,NA,NA,NA
-8250,1.15,0.86,NA,1.62,NA,GeoB6211-2,NA,NA,NA
-8300,1.16,0.87,NA,1.92,NA,GeoB6211-2,NA,NA,NA
-8350,1.17,0.88,NA,1.76,NA,GeoB6211-2,NA,NA,NA
-8400,1.18,0.89,NA,1.36,NA,GeoB6211-2,NA,NA,NA
-8450,1.19,0.9,NA,1.73,NA,GeoB6211-2,NA,NA,NA
-8500,1.2,0.91,NA,1.62,NA,GeoB6211-2,NA,NA,NA
-8550,1.21,0.92,NA,1.72,NA,GeoB6211-2,NA,NA,NA
-8600,1.22,0.93,NA,1.89,NA,GeoB6211-2,NA,NA,NA
-8650,1.23,0.94,NA,1.78,NA,GeoB6211-2,NA,NA,NA
-8700,1.24,0.95,NA,1.9,NA,GeoB6211-2,NA,NA,NA
-8750,1.25,0.96,NA,1.31,NA,GeoB6211-2,NA,NA,NA
-8800,1.26,0.97,NA,1.49,NA,GeoB6211-2,NA,NA,NA
-8850,1.27,0.98,NA,1.74,NA,GeoB6211-2,NA,NA,NA
-8980,1.28,0.99,NA,1.8,NA,GeoB6211-2,NA,NA,NA
-9110,1.29,1,NA,2.05,NA,GeoB6211-2,NA,NA,NA
-9240,1.3,1.01,NA,2.02,NA,GeoB6211-2,NA,NA,NA
-9370,1.31,1.02,NA,1.73,NA,GeoB6211-2,NA,NA,NA
-9500,1.32,1.03,NA,1.77,NA,GeoB6211-2,NA,NA,NA
-9630,1.33,1.04,NA,1.81,NA,GeoB6211-2,NA,NA,NA
-9760,1.34,1.05,NA,1.92,NA,GeoB6211-2,NA,NA,NA
-9890,1.35,1.06,NA,2.15,NA,GeoB6211-2,NA,NA,NA
-10020,1.36,1.07,NA,1.74,NA,GeoB6211-2,NA,NA,NA
-10150,1.37,1.08,NA,1.74,NA,GeoB6211-2,NA,NA,NA
-10280,1.38,1.09,NA,1.81,NA,GeoB6211-2,NA,NA,NA
-10410,1.39,1.1,NA,1.73,NA,GeoB6211-2,NA,NA,NA
-10540,1.4,1.11,NA,1.81,NA,GeoB6211-2,NA,NA,NA
-10670,1.41,1.12,NA,1.87,NA,GeoB6211-2,NA,NA,NA
-10800,1.42,1.13,NA,1.74,NA,GeoB6211-2,NA,NA,NA
-10930,1.43,1.14,NA,1.96,NA,GeoB6211-2,NA,NA,NA
-11060,1.44,1.15,NA,1.78,NA,GeoB6211-2,NA,NA,NA
-11190,1.45,1.16,NA,1.89,NA,GeoB6211-2,NA,NA,NA
-11320,1.46,1.17,NA,1.82,NA,GeoB6211-2,NA,NA,NA
-11450,1.47,1.18,NA,1.97,NA,GeoB6211-2,NA,NA,NA
-11580,1.48,1.19,NA,1.98,NA,GeoB6211-2,NA,NA,NA
-11710,1.49,1.2,NA,1.99,NA,GeoB6211-2,NA,NA,NA
-11840,1.5,1.21,NA,2.15,NA,GeoB6211-2,NA,NA,NA
-11970,1.51,1.22,NA,1.97,NA,GeoB6211-2,NA,NA,NA
