year (AD),depth (m),dD (permil)
1057.5,106.81,-143.12
1052.5,106.83,-140.3
1047.5,106.86,-138.61
1042.5,106.89,-139.82
1037.5,106.91,-140.8
1032.5,106.94,-139.74
1027.5,106.97,-138.95
1022.5,106.99,-137.25
1017.5,107.01,-136.09
1012.5,107.04,-137.1
1007.5,107.06,-139.85
1002.5,107.08,-139.72
997.5,107.11,-136.26
